QUARTER,TIME_REMAINING,BOSTON_ACTION,CHICAGO_ACTION,BOSTON_SCORE,CHICAGO_SCORE
2,6:28.0,Offensive rebound by J. Tatum,,48,30
2,6:23.0,T. Rozier misses 3-pt jump shot from 24 ft,,48,30
2,6:20.0,,Defensive rebound by L. Markkanen,48,30
2,6:17.0,,Z. LaVine makes 2-pt dunk from 1 ft,48,32
2,6:17.0,,Shooting foul by G. Yabusele (drawn by Z. LaVine),48,32
2,6:17.0,,Chicago full timeout,48,32
2,6:17.0,M. Smart enters the game for G. Hayward,,48,32
2,6:17.0,D. Theis enters the game for G. Yabusele,,48,32
2,6:17.0,,Z. LaVine makes free throw 1 of 1,48,33
2,6:06.0,Shooting foul by Z. LaVine (drawn by J. Brown),,48,33
2,6:06.0,J. Brown makes free throw 1 of 2,,49,33
2,6:06.0,J. Brown makes free throw 2 of 2,,50,33
2,5:41.0,,Turnover by Z. LaVine (bad pass; steal by D. Theis),50,33
2,5:40.0,Personal foul by J. Holiday (drawn by J. Tatum),,50,33
2,5:40.0,,J. Parker enters the game for W. Carter,50,33
2,5:29.0,Shooting foul by J. Parker (drawn by J. Brown),,50,33
2,5:29.0,J. Brown makes free throw 1 of 2,,51,33
2,5:29.0,K. Irving enters the game for T. Rozier,,51,33
2,5:29.0,J. Brown makes free throw 2 of 2,,52,33
2,5:05.0,,L. Markkanen misses 2-pt hook shot from 4 ft,52,33
2,5:02.0,,Offensive rebound by Z. LaVine,52,33
2,5:01.0,,Z. LaVine makes 2-pt layup from 1 ft,52,35
2,4:48.0,J. Tatum misses 2-pt jump shot from 19 ft,,52,35
2,4:45.0,,Defensive rebound by Z. LaVine,52,35
2,4:34.0,,J. Holiday misses 3-pt jump shot from 25 ft,52,35
2,4:31.0,,Offensive rebound by Team,52,35
2,4:31.0,G. Hayward enters the game for J. Brown,,52,35
2,4:31.0,M. Morris enters the game for J. Tatum,,52,35
2,4:29.0,,J. Holiday misses 3-pt jump shot from 25 ft,52,35
2,4:24.0,Defensive rebound by M. Morris,,52,35
2,4:20.0,Shooting foul by L. Markkanen (drawn by D. Theis),,52,35
2,4:20.0,D. Theis makes free throw 1 of 2,,53,35
2,4:20.0,D. Theis makes free throw 2 of 2,,54,35
2,3:59.0,,Z. LaVine makes 2-pt layup from 2 ft,54,37
2,3:33.0,K. Irving misses 2-pt jump shot from 11 ft,,54,37
2,3:32.0,Offensive rebound by Team,,54,37
2,3:32.0,,Loose ball foul by J. Holiday (drawn by D. Theis),54,37
2,3:32.0,D. Theis makes free throw 1 of 2,,55,37
2,3:32.0,D. Theis misses free throw 2 of 2,,55,37
2,3:29.0,,Defensive rebound by L. Markkanen,55,37
2,3:14.0,,L. Markkanen makes 2-pt jump shot from 10 ft (assist by Z. LaVine),55,39
2,2:56.0,G. Hayward misses 3-pt jump shot from 26 ft,,55,39
2,2:53.0,,Defensive rebound by R. Arcidiacono,55,39
2,2:43.0,,J. Holiday makes 2-pt jump shot from 16 ft (assist by L. Markkanen),55,41
2,2:43.0,Boston full timeout,,55,41
2,2:33.0,Personal foul by Z. LaVine (drawn by K. Irving),,55,41
2,2:33.0,K. Irving makes free throw 1 of 2,,56,41
2,2:33.0,K. Irving misses free throw 2 of 2,,56,41
2,2:31.0,,Defensive rebound by J. Parker,56,41
2,2:17.0,,J. Parker makes 2-pt jump shot from 18 ft (assist by Z. LaVine),56,43
2,1:59.0,M. Smart misses 2-pt jump shot from 14 ft,,56,43
2,1:56.0,Offensive rebound by D. Theis,,56,43
2,1:54.0,G. Hayward misses 3-pt jump shot from 25 ft,,56,43
2,1:46.0,D. Theis misses 2-pt layup at rim,,56,43
2,1:46.0,Offensive rebound by D. Theis,,56,43
2,1:45.0,,Defensive rebound by L. Markkanen,56,43
2,1:29.0,,Turnover by L. Markkanen (lost ball; steal by M. Smart),56,43
2,1:29.0,,R. Lopez enters the game for L. Markkanen,56,43
2,1:21.0,M. Morris misses 2-pt layup from 4 ft (block by R. Lopez),,56,43
2,1:18.0,Offensive rebound by K. Irving,,56,43
2,1:14.0,D. Theis makes 3-pt jump shot from 25 ft (assist by K. Irving),,59,43
2,0:50.0,,Turnover by Z. LaVine (traveling),59,43
2,0:50.0,,S. Harrison enters the game for Z. LaVine,59,43
2,0:33.0,K. Irving makes 2-pt jump shot from 11 ft,,61,43
2,0:26.0,,J. Parker misses 2-pt layup from 3 ft (block by D. Theis),61,43
2,0:24.0,Defensive rebound by M. Morris,,61,43
2,0:22.0,M. Smart misses 3-pt jump shot from 24 ft,,61,43
2,0:17.0,Offensive rebound by M. Morris,,61,43
2,0:09.0,M. Smart makes 3-pt jump shot from 26 ft (assist by K. Irving),,64,43
2,0:00.0,,R. Lopez misses 3-pt jump shot from 26 ft,64,43
2,0:00.0,,Offensive rebound by Team,64,43
3,11:48.0,Turnover by K. Irving (offensive foul),,64,43
3,11:48.0,Offensive foul by K. Irving (drawn by W. Carter),,64,43
3,11:41.0,,Offensive foul by R. Arcidiacono (drawn by M. Smart),64,43
3,11:41.0,,Turnover by R. Arcidiacono (offensive foul),64,43
3,11:26.0,Shooting foul by J. Holiday (drawn by D. Theis),,64,43
3,11:26.0,D. Theis misses free throw 1 of 2,,64,43
3,11:26.0,Offensive rebound by Team,,64,43
3,11:26.0,D. Theis makes free throw 2 of 2,,65,43
3,11:02.0,,J. Holiday misses 3-pt jump shot from 26 ft,65,43
3,11:00.0,,Offensive rebound by Z. LaVine,65,43
3,10:50.0,,L. Markkanen misses 2-pt jump shot from 11 ft,65,43
3,10:46.0,Defensive rebound by M. Morris,,65,43
3,10:42.0,K. Irving makes 2-pt layup from 1 ft,,67,43
3,10:27.0,,Turnover by W. Carter (lost ball; steal by M. Smart),67,43
3,10:21.0,J. Tatum makes 2-pt layup from 1 ft,,69,43
3,10:11.0,,L. Markkanen makes 3-pt jump shot from 26 ft (assist by R. Arcidiacono),69,46
3,9:42.0,D. Theis misses 2-pt jump shot from 13 ft,,69,46
3,9:39.0,,Defensive rebound by W. Carter,69,46
3,9:19.0,,Turnover by Team (shot clock),69,46
3,9:08.0,M. Morris misses 3-pt jump shot from 26 ft,,69,46
3,9:04.0,,Defensive rebound by R. Arcidiacono,69,46
3,9:02.0,Violation by Team (kicked ball),,69,46
3,9:02.0,,S. Harrison enters the game for R. Arcidiacono,69,46
3,9:02.0,,C. Hutchison enters the game for W. Carter,69,46
3,9:02.0,,R. Lopez enters the game for J. Holiday,69,46
3,9:02.0,,J. Parker enters the game for Z. LaVine,69,46
3,9:02.0,,C. Payne enters the game for L. Markkanen,69,46
3,8:54.0,,R. Lopez misses 2-pt hook shot from 2 ft,69,46
3,8:52.0,Defensive rebound by M. Morris,,69,46
3,8:49.0,K. Irving misses 3-pt jump shot from 25 ft,,69,46
3,8:47.0,,Defensive rebound by C. Hutchison,69,46
3,8:47.0,,Personal foul by K. Irving (drawn by C. Hutchison),69,46
3,8:28.0,,C. Payne misses 3-pt jump shot from 25 ft,69,46
3,8:26.0,Defensive rebound by K. Irving,,69,46
3,8:20.0,J. Tatum makes 3-pt jump shot from 22 ft (assist by M. Smart),,72,46
3,8:00.0,,S. Harrison makes 2-pt layup from 3 ft,72,48
3,7:49.0,D. Theis makes 3-pt jump shot from 25 ft (assist by K. Irving),,75,48
3,7:38.0,,Personal foul by D. Theis (drawn by R. Lopez),75,48
3,7:32.0,,Turnover by R. Lopez (offensive foul),75,48
3,7:32.0,,Offensive foul by R. Lopez (drawn by D. Theis),75,48
3,7:21.0,D. Theis makes 2-pt dunk from 1 ft (assist by K. Irving),,77,48
3,7:12.0,,S. Harrison makes 3-pt jump shot from 25 ft (assist by J. Parker),77,51
3,6:46.0,J. Tatum makes 3-pt jump shot from 26 ft,,80,51
3,6:29.0,,C. Payne misses 2-pt layup from 3 ft,80,51
3,6:26.0,Defensive rebound by M. Morris,,80,51
3,6:24.0,M. Morris misses 3-pt jump shot from 26 ft,,80,51
3,6:18.0,,Defensive rebound by C. Payne,80,51
3,6:10.0,,Chicago full timeout,80,51
3,6:10.0,,A. Blakeney enters the game for C. Payne,80,51
3,5:58.0,,Turnover by J. Parker (bad pass),80,51
3,5:41.0,K. Irving makes 3-pt jump shot from 26 ft (assist by D. Theis),,83,51
3,5:14.0,,A. Blakeney misses 2-pt jump shot from 22 ft,83,51
3,5:10.0,Defensive rebound by J. Tatum,,83,51
3,5:02.0,M. Smart misses 3-pt jump shot from 26 ft,,83,51
3,4:59.0,,Defensive rebound by C. Hutchison,83,51
3,4:49.0,,Shooting foul by K. Irving (drawn by A. Blakeney),83,51
3,4:49.0,,A. Blakeney makes free throw 1 of 2,83,52
3,4:49.0,J. Brown enters the game for K. Irving,,83,52
3,4:49.0,G. Hayward enters the game for M. Smart,,83,52
3,4:49.0,T. Rozier enters the game for J. Tatum,,83,52
3,4:49.0,,C. Felício enters the game for R. Lopez,83,52
3,4:49.0,,A. Blakeney makes free throw 2 of 2,83,53
3,4:34.0,T. Rozier misses 3-pt jump shot from 25 ft,,83,53
3,4:31.0,,Defensive rebound by C. Hutchison,83,53
3,4:17.0,,A. Blakeney misses 2-pt jump shot from 16 ft,83,53
3,4:15.0,Defensive rebound by M. Morris,,83,53
3,4:11.0,Personal foul by C. Hutchison (drawn by T. Rozier),,83,53
3,4:01.0,J. Brown makes 2-pt layup from 1 ft (assist by D. Theis),,85,53
3,3:52.0,,J. Parker misses 2-pt jump shot from 20 ft,85,53
3,3:49.0,Defensive rebound by J. Brown,,85,53
3,3:42.0,Turnover by M. Morris (3 sec),,85,53
3,3:30.0,,J. Parker misses 2-pt jump shot from 13 ft,85,53
3,3:27.0,Defensive rebound by T. Rozier,,85,53
3,3:22.0,J. Brown makes 2-pt jump shot from 15 ft (assist by T. Rozier),,87,53
3,3:03.0,,S. Harrison makes 3-pt jump shot from 23 ft (assist by J. Parker),87,56
3,2:46.0,M. Morris misses 2-pt jump shot from 18 ft,,87,56
3,2:43.0,,Defensive rebound by C. Hutchison,87,56
3,2:32.0,,Turnover by S. Harrison (bad pass; steal by M. Morris),87,56
3,2:25.0,D. Theis makes 2-pt layup from 5 ft (assist by M. Morris),,89,56
3,2:25.0,Shooting foul by C. Felício (drawn by D. Theis),,89,56
3,2:25.0,Boston full timeout,,89,56
3,2:25.0,S. Ojeleye enters the game for M. Morris,,89,56
3,2:25.0,,C. Payne enters the game for C. Hutchison,89,56
3,2:25.0,D. Theis misses free throw 1 of 1,,89,56
3,2:25.0,,Defensive rebound by C. Felício,89,56
3,2:03.0,,C. Felício makes 2-pt layup from 1 ft,89,58
3,1:48.0,J. Brown misses 2-pt layup from 1 ft,,89,58
3,1:48.0,,Defensive rebound by C. Felício,89,58
3,1:42.0,,Turnover by C. Payne (bad pass; steal by T. Rozier),89,58
3,1:38.0,G. Hayward misses 3-pt jump shot from 23 ft,,89,58
3,1:35.0,Offensive rebound by J. Brown,,89,58
3,1:34.0,J. Brown makes 2-pt layup from 1 ft,,91,58
3,1:20.0,,A. Blakeney misses 2-pt layup from 3 ft (block by D. Theis),91,58
3,1:19.0,,Offensive rebound by C. Felício,91,58
3,1:18.0,,C. Felício makes 2-pt layup at rim,91,60
3,1:18.0,,Shooting foul by S. Ojeleye (drawn by C. Felício),91,60
3,1:18.0,,C. Felício misses free throw 1 of 1,91,60
3,1:18.0,Defensive rebound by S. Ojeleye,,91,60
3,1:00.0,G. Hayward misses 2-pt jump shot from 21 ft,,91,60
3,0:57.0,,Defensive rebound by S. Harrison,91,60
3,0:41.0,,Turnover by C. Felício (bad pass; steal by T. Rozier),91,60
3,0:33.0,D. Theis makes 2-pt dunk from 1 ft (assist by G. Hayward),,93,60
3,0:25.0,Violation by Team (kicked ball),,93,60
3,0:13.0,,Turnover by C. Payne (bad pass; steal by T. Rozier),93,60
3,0:11.0,Turnover by T. Rozier (offensive foul),,93,60
3,0:11.0,Offensive foul by T. Rozier (drawn by C. Payne),,93,60
3,0:11.0,,Chicago full timeout,93,60
3,0:02.0,,C. Payne misses 2-pt jump shot from 20 ft,93,60
3,0:00.0,Defensive rebound by G. Hayward,,93,60
4,11:48.0,,C. Payne makes 2-pt layup from 1 ft,93,62
4,11:33.0,S. Ojeleye misses 3-pt jump shot from 25 ft,,93,62
4,11:31.0,,Defensive rebound by J. Parker,93,62
4,11:25.0,,J. Parker makes 2-pt layup from 2 ft,93,64
4,11:02.0,T. Rozier misses 3-pt jump shot from 25 ft,,93,64
4,11:02.0,Offensive rebound by G. Yabusele,,93,64
4,11:02.0,J. Brown makes 3-pt jump shot from 24 ft (assist by S. Ojeleye),,96,64
4,10:44.0,,S. Harrison misses 3-pt jump shot from 23 ft,96,64
4,10:44.0,Defensive rebound by T. Rozier,,96,64
4,10:35.0,J. Brown makes 2-pt layup from 2 ft,,98,64
4,10:20.0,,Shooting foul by S. Ojeleye (drawn by S. Harrison),98,64
4,10:20.0,,S. Harrison makes free throw 1 of 2,98,65
4,10:20.0,,S. Harrison misses free throw 2 of 2,98,65
4,10:17.0,Defensive rebound by J. Brown,,98,65
4,10:04.0,G. Hayward makes 3-pt jump shot from 25 ft (assist by J. Brown),,101,65
4,9:53.0,,A. Blakeney misses 2-pt jump shot from 16 ft,101,65
4,9:47.0,Defensive rebound by J. Brown,,101,65
4,9:47.0,Turnover by J. Brown (lost ball; steal by C. Felício),,101,65
4,9:47.0,,Chicago full timeout,101,65
4,9:38.0,,Turnover by A. Blakeney (bad pass; steal by J. Brown),101,65
4,9:34.0,J. Brown makes 2-pt dunk at rim,,103,65
4,9:09.0,,A. Blakeney makes 2-pt dunk from 1 ft (assist by C. Payne),103,67
4,8:46.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by G. Yabusele),,106,67
4,8:27.0,,C. Felício misses 2-pt hook shot from 2 ft,106,67
4,8:25.0,Defensive rebound by S. Ojeleye,,106,67
4,8:19.0,J. Brown makes 3-pt jump shot from 23 ft (assist by G. Hayward),,109,67
4,8:01.0,,S. Harrison makes 2-pt layup from 2 ft,109,69
4,7:40.0,S. Ojeleye misses 2-pt jump shot from 20 ft,,109,69
4,7:38.0,,Defensive rebound by C. Felício,109,69
4,7:33.0,,S. Harrison misses 3-pt jump shot from 26 ft,109,69
4,7:30.0,Defensive rebound by G. Hayward,,109,69
4,7:21.0,S. Ojeleye misses 3-pt jump shot from 23 ft,,109,69
4,7:18.0,Offensive rebound by G. Hayward,,109,69
4,7:17.0,S. Ojeleye makes 3-pt jump shot from 24 ft (assist by G. Hayward),,112,69
4,7:16.0,,Chicago full timeout,112,69
4,7:16.0,B. Wanamaker enters the game for G. Hayward,,112,69
4,7:16.0,,C. Hutchison enters the game for J. Parker,112,69
4,7:03.0,,Turnover by C. Payne (bad pass; steal by G. Yabusele),112,69
4,6:51.0,G. Yabusele misses 3-pt jump shot from 26 ft,,112,69
4,6:48.0,,Defensive rebound by C. Felício,112,69
4,6:32.0,,Personal foul by G. Yabusele (drawn by C. Hutchison),112,69
4,6:18.0,,S. Harrison makes 2-pt layup from 1 ft (assist by A. Blakeney),112,71
4,6:10.0,Boston full timeout,,112,71
4,6:10.0,D. Theis enters the game for G. Yabusele,,112,71
4,5:58.0,S. Ojeleye makes 3-pt jump shot from 25 ft (assist by D. Theis),,115,71
4,5:36.0,,C. Payne makes 2-pt jump shot from 20 ft (assist by S. Harrison),115,73
4,5:16.0,T. Rozier misses 2-pt layup from 5 ft,,115,73
4,5:16.0,Offensive rebound by D. Theis,,115,73
4,5:12.0,D. Theis misses 2-pt layup from 1 ft,,115,73
4,5:10.0,Offensive rebound by D. Theis,,115,73
4,5:10.0,D. Theis misses 2-pt layup from 1 ft,,115,73
4,5:08.0,Offensive rebound by T. Rozier,,115,73
4,5:08.0,T. Rozier makes 2-pt layup from 1 ft,,117,73
4,4:59.0,,S. Harrison misses 2-pt layup from 4 ft (block by D. Theis),117,73
4,4:55.0,Defensive rebound by D. Theis,,117,73
4,4:53.0,B. Wanamaker misses 3-pt jump shot from 25 ft,,117,73
4,4:53.0,,Defensive rebound by C. Felício,117,73
4,4:41.0,,A. Blakeney misses 2-pt jump shot from 2 ft,117,73
4,4:36.0,,Offensive rebound by C. Felício,117,73
4,4:36.0,,C. Felício misses 2-pt layup at rim,117,73
4,4:36.0,Defensive rebound by D. Theis,,117,73
4,4:23.0,S. Ojeleye makes 3-pt jump shot from 23 ft (assist by J. Brown),,120,73
4,4:08.0,,Shooting foul by D. Theis (drawn by C. Hutchison),120,73
4,4:08.0,,C. Hutchison misses free throw 1 of 2,120,73
4,4:08.0,,Offensive rebound by Team,120,73
4,4:08.0,,C. Hutchison misses free throw 2 of 2,120,73
4,4:05.0,Defensive rebound by S. Ojeleye,,120,73
4,3:45.0,J. Brown misses 2-pt dunk from 2 ft,,120,73
4,3:43.0,,Defensive rebound by C. Hutchison,120,73
4,3:41.0,,Turnover by C. Hutchison (lost ball; steal by J. Brown),120,73
4,3:37.0,T. Rozier misses 2-pt dunk from 1 ft,,120,73
4,3:35.0,Offensive rebound by S. Ojeleye,,120,73
4,3:30.0,D. Theis makes 2-pt dunk from 1 ft (assist by B. Wanamaker),,122,73
4,3:19.0,,C. Hutchison misses 3-pt jump shot from 27 ft,122,73
4,3:16.0,Defensive rebound by T. Rozier,,122,73
4,3:12.0,J. Brown makes 3-pt jump shot from 23 ft (assist by B. Wanamaker),,125,73
4,2:52.0,,A. Blakeney misses 2-pt jump shot from 15 ft,125,73
4,2:49.0,Defensive rebound by B. Wanamaker,,125,73
4,2:45.0,B. Wanamaker makes 2-pt layup from 1 ft,,127,73
4,2:37.0,,S. Harrison misses 2-pt layup from 2 ft,127,73
4,2:31.0,Defensive rebound by D. Theis,,127,73
4,2:31.0,B. Wanamaker makes 2-pt layup from 2 ft (assist by D. Theis),,129,73
4,2:28.0,Violation by Team (delay of game),,129,73
4,2:24.0,Violation by Team (kicked ball),,129,73
4,2:17.0,,C. Payne makes 2-pt jump shot from 9 ft,129,75
4,1:59.0,D. Theis misses 3-pt jump shot from 25 ft,,129,75
4,1:59.0,,Defensive rebound by C. Payne,129,75
4,1:48.0,,A. Blakeney misses 2-pt layup from 4 ft (block by D. Theis),129,75
4,1:45.0,Defensive rebound by T. Rozier,,129,75
4,1:45.0,S. Ojeleye makes 2-pt dunk from 1 ft (assist by J. Brown),,131,75
4,1:37.0,Violation by Team (kicked ball),,131,75
4,1:30.0,,A. Blakeney misses 2-pt jump shot from 12 ft,131,75
4,1:28.0,Defensive rebound by D. Theis,,131,75
4,1:07.0,S. Ojeleye misses 3-pt jump shot from 27 ft,,131,75
4,1:07.0,,Defensive rebound by Team,131,75
4,0:46.0,,S. Harrison misses 2-pt jump shot from 20 ft,131,75
4,0:44.0,Defensive rebound by T. Rozier,,131,75
4,0:26.0,S. Ojeleye makes 2-pt layup from 1 ft,,133,75
