QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,SACRAMENTO_ACTION,CHARLOTTE_SCORE,SACRAMENTO_SCORE
1,0:46.0,Turnover by M. Monk (out of bounds lost ball),,27,32
1,0:46.0,J. Lamb enters the game for M. Monk,,27,32
1,0:34.0,,M. Bagley misses 2-pt layup from 2 ft (block by J. Lamb),27,32
1,0:34.0,,Offensive rebound by Team,27,32
1,0:28.0,,B. Bogdanović makes 3-pt jump shot from 23 ft,27,35
1,0:12.0,J. Lamb makes 2-pt jump shot from 10 ft,,29,35
1,0:02.0,,B. Bogdanović misses 2-pt layup from 2 ft,29,35
1,0:02.0,Defensive rebound by M. Bridges,,29,35
1,0:01.0,M. Bridges misses 3-pt jump shot from 75 ft,,29,35
1,0:01.0,Offensive rebound by Team,,29,35
2,11:43.0,M. Monk makes 2-pt dunk from 2 ft,,31,35
2,11:22.0,,H. Giles makes 2-pt hook shot from 5 ft,31,37
2,11:05.0,Shooting foul by N. Bjelica (drawn by J. Lamb),,31,37
2,11:05.0,J. Lamb makes free throw 1 of 2,,32,37
2,11:05.0,J. Lamb makes free throw 2 of 2,,33,37
2,10:51.0,,J. Jackson misses 3-pt jump shot from 23 ft,33,37
2,10:46.0,Defensive rebound by M. Williams,,33,37
2,10:40.0,D. Graham makes 2-pt layup from 2 ft,,35,37
2,10:25.0,,Y. Ferrell misses 3-pt jump shot from 25 ft,35,37
2,10:23.0,Defensive rebound by J. Lamb,,35,37
2,10:16.0,M. Monk misses 3-pt jump shot from 25 ft,,35,37
2,10:13.0,,Defensive rebound by Y. Ferrell,35,37
2,10:07.0,,H. Giles makes 2-pt hook shot from 6 ft (assist by Y. Ferrell),35,39
2,9:43.0,M. Kidd-Gilchrist makes 2-pt dunk from 2 ft (assist by D. Graham),,37,39
2,9:42.0,,Sacramento full timeout,37,39
2,9:42.0,,W. Cauley-Stein enters the game for N. Bjelica,37,39
2,9:42.0,,B. Hield enters the game for B. Bogdanović,37,39
2,9:19.0,,Y. Ferrell makes 3-pt jump shot from 25 ft (assist by H. Giles),37,42
2,9:02.0,M. Williams misses 3-pt jump shot from 26 ft,,37,42
2,8:58.0,,Defensive rebound by W. Cauley-Stein,37,42
2,8:54.0,,Personal foul by M. Williams (drawn by H. Giles),37,42
2,8:54.0,B. Biyombo enters the game for D. Graham,,37,42
2,8:54.0,K. Walker enters the game for M. Kidd-Gilchrist,,37,42
2,8:45.0,,B. Hield misses 2-pt jump shot from 14 ft,37,42
2,8:42.0,Defensive rebound by M. Williams,,37,42
2,8:34.0,M. Williams makes 3-pt jump shot from 25 ft (assist by J. Lamb),,40,42
2,8:19.0,,Personal foul by M. Monk (drawn by Y. Ferrell),40,42
2,8:10.0,,Y. Ferrell misses 3-pt jump shot from 25 ft,40,42
2,8:08.0,Defensive rebound by B. Biyombo,,40,42
2,7:53.0,J. Lamb misses 2-pt jump shot from 17 ft,,40,42
2,7:50.0,Offensive rebound by B. Biyombo,,40,42
2,7:38.0,Turnover by Team (shot clock),,40,42
2,7:17.0,,H. Giles misses 2-pt jump shot from 21 ft,40,42
2,7:14.0,Defensive rebound by B. Biyombo,,40,42
2,7:06.0,K. Walker misses 3-pt jump shot from 25 ft,,40,42
2,7:03.0,,Defensive rebound by H. Giles,40,42
2,6:56.0,,Turnover by W. Cauley-Stein (bad pass; steal by M. Monk),40,42
2,6:54.0,Personal take foul by J. Jackson (drawn by M. Monk),,40,42
2,6:54.0,N. Batum enters the game for J. Lamb,,40,42
2,6:54.0,M. Bridges enters the game for M. Monk,,40,42
2,6:44.0,M. Williams misses 2-pt layup from 5 ft,,40,42
2,6:39.0,Offensive rebound by B. Biyombo,,40,42
2,6:37.0,M. Bridges misses 2-pt hook shot from 4 ft,,40,42
2,6:37.0,,Defensive rebound by W. Cauley-Stein,40,42
2,6:29.0,,J. Jackson misses 3-pt jump shot from 25 ft,40,42
2,6:26.0,Defensive rebound by M. Williams,,40,42
2,6:20.0,K. Walker misses 2-pt jump shot from 17 ft,,40,42
2,6:17.0,,Defensive rebound by H. Giles,40,42
2,6:08.0,,B. Hield makes 3-pt jump shot from 24 ft (assist by Y. Ferrell),40,45
2,5:54.0,Turnover by N. Batum (bad pass),,40,45
2,5:54.0,,D. Fox enters the game for Y. Ferrell,40,45
2,5:54.0,,I. Shumpert enters the game for H. Giles,40,45
2,5:42.0,,W. Cauley-Stein misses 2-pt layup from 3 ft (block by M. Williams),40,45
2,5:39.0,Defensive rebound by K. Walker,,40,45
2,5:36.0,K. Walker makes 2-pt layup from 2 ft,,42,45
2,5:19.0,,I. Shumpert misses 2-pt jump shot from 16 ft,42,45
2,5:14.0,Defensive rebound by N. Batum,,42,45
2,5:04.0,M. Williams misses 2-pt layup from 4 ft (block by I. Shumpert),,42,45
2,5:03.0,Offensive rebound by M. Williams,,42,45
2,5:03.0,M. Williams makes 2-pt layup from 3 ft,,44,45
2,5:03.0,Shooting foul by I. Shumpert (drawn by M. Williams),,44,45
2,5:03.0,M. Williams makes free throw 1 of 1,,45,45
2,4:57.0,,Shooting foul by K. Walker (drawn by D. Fox),45,45
2,4:57.0,,D. Fox makes free throw 1 of 2,45,46
2,4:57.0,M. Kidd-Gilchrist enters the game for M. Williams,,45,46
2,4:57.0,,D. Fox makes free throw 2 of 2,45,47
2,4:42.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft,,47,47
2,4:26.0,,J. Jackson misses 3-pt jump shot from 25 ft,47,47
2,4:22.0,Defensive rebound by N. Batum,,47,47
2,4:19.0,Personal foul by J. Jackson (drawn by K. Walker),,47,47
2,4:14.0,K. Walker misses 3-pt jump shot from 25 ft,,47,47
2,4:10.0,,Defensive rebound by W. Cauley-Stein,47,47
2,4:03.0,,W. Cauley-Stein misses 2-pt layup from 2 ft,47,47
2,4:00.0,Defensive rebound by M. Kidd-Gilchrist,,47,47
2,3:52.0,K. Walker misses 2-pt layup from 2 ft,,47,47
2,3:51.0,Offensive rebound by Team,,47,47
2,3:51.0,Charlotte full timeout,,47,47
2,3:51.0,J. Lamb enters the game for M. Bridges,,47,47
2,3:51.0,,B. Bogdanović enters the game for J. Jackson,47,47
2,3:45.0,N. Batum makes 3-pt jump shot from 25 ft (assist by J. Lamb),,50,47
2,3:31.0,,B. Bogdanović makes 2-pt jump shot from 10 ft,50,49
2,3:17.0,K. Walker misses 3-pt jump shot from 26 ft,,50,49
2,3:17.0,,Defensive rebound by W. Cauley-Stein,50,49
2,3:01.0,,B. Hield misses 3-pt jump shot from 25 ft,50,49
2,2:58.0,Defensive rebound by M. Kidd-Gilchrist,,50,49
2,2:52.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft,,52,49
2,2:44.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),52,51
2,2:17.0,M. Kidd-Gilchrist makes 3-pt jump shot from 25 ft (assist by K. Walker),,55,51
2,2:05.0,,B. Hield misses 3-pt jump shot from 25 ft,55,51
2,2:00.0,Defensive rebound by B. Biyombo,,55,51
2,1:53.0,Turnover by J. Lamb (bad pass; steal by W. Cauley-Stein),,55,51
2,1:43.0,,Turnover by B. Hield (bad pass; steal by N. Batum),55,51
2,1:38.0,Turnover by J. Lamb (bad pass),,55,51
2,1:38.0,M. Williams enters the game for B. Biyombo,,55,51
2,1:21.0,,W. Cauley-Stein misses 2-pt layup from 3 ft,55,51
2,1:18.0,Defensive rebound by J. Lamb,,55,51
2,1:05.0,J. Lamb misses 2-pt layup from 7 ft,,55,51
