QUARTER,TIME_REMAINING,DENVER_ACTION,NEW ORLEANS_ACTION,DENVER_SCORE,NEW ORLEANS_SCORE
2,9:14.0,,Shooting foul by T. Lyles (drawn by T. Frazier),33,30
2,9:14.0,,T. Frazier makes free throw 1 of 2,33,31
2,9:14.0,,T. Frazier makes free throw 2 of 2,33,32
2,8:50.0,M. Plumlee makes 2-pt hook shot from 5 ft (assist by T. Lyles),,35,32
2,8:39.0,,K. Williams makes 3-pt jump shot from 23 ft (assist by I. Clark),35,35
2,8:24.0,W. Barton misses 2-pt jump shot from 7 ft,,35,35
2,8:23.0,,Defensive rebound by Team,35,35
2,8:23.0,Loose ball foul by M. Plumlee (drawn by C. Diallo),,35,35
2,8:23.0,P. Millsap enters the game for M. Plumlee,,35,35
2,8:07.0,,I. Clark misses 2-pt layup from 4 ft (block by P. Millsap),35,35
2,8:07.0,,Offensive rebound by Team,35,35
2,8:07.0,M. Morris enters the game for M. Beasley,,35,35
2,7:55.0,,Turnover by K. Williams (bad pass; steal by J. Hernangómez),35,35
2,7:46.0,M. Morris makes 2-pt layup from 3 ft (assist by J. Hernangómez),,37,35
2,7:37.0,,C. Diallo misses 2-pt layup from 1 ft (block by P. Millsap),37,35
2,7:37.0,,Offensive rebound by Team,37,35
2,7:30.0,,T. Frazier misses 3-pt jump shot from 25 ft,37,35
2,7:26.0,Defensive rebound by P. Millsap,,37,35
2,7:15.0,Shooting foul by S. Hill (drawn by T. Lyles),,37,35
2,7:15.0,T. Lyles misses free throw 1 of 2,,37,35
2,7:15.0,Offensive rebound by Team,,37,35
2,7:15.0,G. Harris enters the game for J. Hernangómez,,37,35
2,7:15.0,,J. Holiday enters the game for I. Clark,37,35
2,7:15.0,,F. Jackson enters the game for C. Diallo,37,35
2,7:15.0,,J. Okafor enters the game for T. Frazier,37,35
2,7:15.0,T. Lyles misses free throw 2 of 2,,37,35
2,7:13.0,,Defensive rebound by K. Williams,37,35
2,6:54.0,,J. Okafor makes 2-pt jump shot from 3 ft,37,37
2,6:41.0,T. Lyles makes 2-pt dunk at rim (assist by W. Barton),,39,37
2,6:31.0,,New Orleans full timeout,39,37
2,6:31.0,N. Jokić enters the game for T. Lyles,,39,37
2,6:26.0,,J. Holiday makes 2-pt layup from 4 ft (assist by K. Williams),39,39
2,6:07.0,P. Millsap makes 2-pt layup from 3 ft,,41,39
2,6:07.0,Shooting foul by S. Hill (drawn by P. Millsap),,41,39
2,6:07.0,P. Millsap makes free throw 1 of 1,,42,39
2,5:56.0,,J. Okafor makes 2-pt jump shot from 8 ft (assist by K. Williams),42,41
2,5:45.0,G. Harris misses 3-pt jump shot from 23 ft,,42,41
2,5:41.0,Offensive rebound by N. Jokić,,42,41
2,5:28.0,M. Morris makes 3-pt jump shot from 25 ft (assist by N. Jokić),,45,41
2,5:17.0,,Turnover by J. Holiday (bad pass),45,41
2,5:04.0,G. Harris makes 2-pt layup from 3 ft (assist by P. Millsap),,47,41
2,4:53.0,,F. Jackson misses 2-pt jump shot from 15 ft,47,41
2,4:51.0,Defensive rebound by Team,,47,41
2,4:38.0,G. Harris misses 2-pt layup from 2 ft,,47,41
2,4:36.0,,Defensive rebound by J. Okafor,47,41
2,4:28.0,,K. Williams misses 3-pt jump shot from 24 ft,47,41
2,4:25.0,Defensive rebound by N. Jokić,,47,41
2,4:23.0,Turnover by N. Jokić (bad pass),,47,41
2,4:23.0,,D. Miller enters the game for S. Hill,47,41
2,4:08.0,,F. Jackson makes 3-pt jump shot from 23 ft (assist by K. Williams),47,44
2,3:53.0,Turnover by G. Harris (bad pass; steal by J. Okafor),,47,44
2,3:47.0,,Turnover by F. Jackson (bad pass; steal by G. Harris),47,44
2,3:47.0,Personal foul by K. Williams (drawn by G. Harris),,47,44
2,3:30.0,N. Jokić misses 2-pt layup from 3 ft,,47,44
2,3:27.0,,Defensive rebound by D. Miller,47,44
2,3:20.0,,J. Okafor makes 2-pt dunk from 1 ft (assist by D. Miller),47,46
2,3:00.0,N. Jokić makes 2-pt layup from 3 ft,,49,46
2,2:40.0,,D. Miller makes 3-pt jump shot from 27 ft,49,49
2,2:26.0,Turnover by W. Barton (lost ball; steal by D. Miller),,49,49
2,2:22.0,,F. Jackson makes 2-pt layup from 1 ft (assist by D. Miller),49,51
2,2:22.0,Denver full timeout,,49,51
2,1:58.0,N. Jokić misses 2-pt hook shot from 8 ft,,49,51
2,1:55.0,,Defensive rebound by K. Williams,49,51
2,1:32.0,,J. Okafor misses 2-pt layup from 5 ft (block by G. Harris),49,51
2,1:30.0,Defensive rebound by G. Harris,,49,51
2,1:28.0,M. Morris makes 2-pt layup from 2 ft (assist by G. Harris),,51,51
2,1:16.0,,J. Holiday misses 3-pt jump shot from 25 ft,51,51
2,1:13.0,,Offensive rebound by J. Okafor,51,51
2,1:01.0,,J. Okafor makes 2-pt jump shot from 8 ft (assist by D. Miller),51,53
2,0:48.0,W. Barton misses 2-pt jump shot from 16 ft,,51,53
2,0:46.0,,Defensive rebound by D. Miller,51,53
2,0:39.0,,F. Jackson makes 2-pt layup from 3 ft (assist by J. Holiday),51,55
2,0:30.0,M. Morris misses 2-pt layup from 3 ft (block by K. Williams),,51,55
2,0:30.0,Offensive rebound by Team,,51,55
2,0:30.0,M. Beasley enters the game for W. Barton,,51,55
2,0:25.0,N. Jokić makes 2-pt layup from 2 ft,,53,55
2,0:10.0,,Personal take foul by G. Harris (drawn by J. Holiday),53,55
2,0:07.0,,Shooting foul by P. Millsap (drawn by J. Holiday),53,55
2,0:07.0,,J. Holiday misses free throw 1 of 2,53,55
2,0:07.0,,Offensive rebound by Team,53,55
2,0:07.0,,J. Holiday makes free throw 2 of 2,53,56
2,0:00.0,G. Harris misses 2-pt layup from 5 ft (block by J. Okafor),,53,56
2,0:00.0,Offensive rebound by Team,,53,56
3,11:50.0,,Turnover by J. Holiday (lost ball; steal by G. Harris),53,56
3,11:43.0,Personal foul by D. Miller (drawn by P. Millsap),,53,56
3,11:36.0,G. Harris misses 2-pt jump shot from 7 ft,,53,56
3,11:33.0,Offensive rebound by P. Millsap,,53,56
3,11:28.0,N. Jokić misses 2-pt jump shot from 16 ft,,53,56
3,11:21.0,Offensive rebound by P. Millsap,,53,56
3,11:21.0,P. Millsap misses 2-pt layup from 1 ft,,53,56
3,11:21.0,Offensive rebound by P. Millsap,,53,56
3,11:20.0,P. Millsap makes 2-pt layup from 1 ft,,55,56
3,11:12.0,,Turnover by J. Okafor (bad pass; steal by N. Jokić),55,56
3,10:54.0,Turnover by N. Jokić (lost ball; steal by D. Miller),,55,56
3,10:48.0,,D. Miller misses 3-pt jump shot from 25 ft,55,56
3,10:44.0,Defensive rebound by W. Barton,,55,56
3,10:41.0,W. Barton makes 2-pt layup from 2 ft,,57,56
3,10:41.0,Shooting foul by J. Holiday (drawn by W. Barton),,57,56
3,10:41.0,,New Orleans full timeout,57,56
3,10:41.0,W. Barton makes free throw 1 of 1,,58,56
3,10:21.0,,J. Okafor misses 2-pt jump shot from 9 ft,58,56
3,10:17.0,Defensive rebound by M. Morris,,58,56
3,9:59.0,M. Morris makes 3-pt jump shot from 22 ft (assist by N. Jokić),,61,56
3,9:40.0,,J. Okafor misses 2-pt jump shot from 6 ft,61,56
3,9:40.0,Defensive rebound by N. Jokić,,61,56
3,9:29.0,W. Barton misses 2-pt jump shot from 11 ft,,61,56
3,9:26.0,,Defensive rebound by J. Holiday,61,56
3,9:18.0,,J. Holiday misses 2-pt layup from 3 ft,61,56
3,9:18.0,,Offensive rebound by J. Okafor,61,56
3,9:16.0,,J. Okafor misses 2-pt layup from 2 ft (block by N. Jokić),61,56
3,9:16.0,,Offensive rebound by Team,61,56
3,9:06.0,,J. Okafor misses 2-pt layup from 1 ft (block by W. Barton),61,56
3,9:04.0,,Offensive rebound by Team,61,56
3,9:04.0,,Turnover by Team (shot clock),61,56
3,8:54.0,W. Barton makes 2-pt layup from 1 ft (assist by M. Morris),,63,56
3,8:54.0,Shooting foul by J. Okafor (drawn by W. Barton),,63,56
3,8:54.0,W. Barton misses free throw 1 of 1,,63,56
3,8:53.0,Offensive rebound by P. Millsap,,63,56
3,8:49.0,G. Harris misses 3-pt jump shot from 24 ft,,63,56
3,8:46.0,,Defensive rebound by J. Okafor,63,56
3,8:28.0,,S. Hill misses 3-pt jump shot from 25 ft,63,56
3,8:28.0,Defensive rebound by M. Morris,,63,56
3,8:28.0,Offensive foul by P. Millsap (drawn by S. Hill),,63,56
3,8:28.0,Turnover by P. Millsap (offensive foul),,63,56
3,8:06.0,,J. Holiday misses 2-pt jump shot from 20 ft,63,56
3,7:59.0,,Offensive rebound by S. Hill,63,56
3,7:59.0,,S. Hill makes 2-pt layup at rim,63,58
3,7:56.0,Personal foul by D. Miller (drawn by P. Millsap),,63,58
3,7:56.0,,K. Williams enters the game for S. Hill,63,58
3,7:43.0,W. Barton makes 2-pt layup from 2 ft,,65,58
3,7:43.0,Shooting foul by J. Okafor (drawn by W. Barton),,65,58
3,7:43.0,W. Barton makes free throw 1 of 1,,66,58
3,7:34.0,,D. Miller misses 3-pt jump shot from 23 ft,66,58
3,7:32.0,Defensive rebound by Team,,66,58
3,7:18.0,G. Harris misses 3-pt jump shot from 23 ft,,66,58
3,7:16.0,,Defensive rebound by F. Jackson,66,58
3,7:03.0,,J. Okafor makes 2-pt layup from 4 ft (assist by J. Holiday),66,60
3,6:52.0,W. Barton misses 3-pt jump shot from 28 ft,,66,60
3,6:48.0,,Defensive rebound by F. Jackson,66,60
3,6:32.0,,J. Okafor misses 2-pt jump shot from 8 ft,66,60
3,6:30.0,Defensive rebound by P. Millsap,,66,60
3,6:23.0,P. Millsap misses 2-pt layup from 2 ft,,66,60
3,6:21.0,,Defensive rebound by K. Williams,66,60
3,6:14.0,,Turnover by K. Williams (bad pass; steal by N. Jokić),66,60
3,6:09.0,M. Morris makes 3-pt jump shot from 26 ft (assist by P. Millsap),,69,60
3,6:09.0,,New Orleans full timeout,69,60
3,5:56.0,,D. Miller makes 3-pt jump shot from 24 ft (assist by J. Holiday),69,63
3,5:28.0,N. Jokić makes 2-pt jump shot from 11 ft,,71,63
3,5:16.0,,D. Miller makes 3-pt jump shot from 26 ft (assist by J. Holiday),71,66
3,5:14.0,Denver full timeout,,71,66
3,5:14.0,M. Beasley enters the game for W. Barton,,71,66
3,5:14.0,,T. Frazier enters the game for F. Jackson,71,66
3,4:52.0,N. Jokić misses 3-pt jump shot from 25 ft,,71,66
3,4:49.0,,Defensive rebound by T. Frazier,71,66
3,4:37.0,,D. Miller misses 2-pt jump shot from 14 ft,71,66
3,4:33.0,Defensive rebound by P. Millsap,,71,66
3,4:17.0,G. Harris makes 3-pt jump shot from 26 ft (assist by N. Jokić),,74,66
3,4:01.0,,Personal foul by G. Harris (drawn by J. Okafor),74,66
3,3:53.0,,Turnover by J. Okafor (bad pass; steal by M. Morris),74,66
3,3:44.0,G. Harris makes 3-pt jump shot from 23 ft (assist by M. Beasley),,77,66
3,3:17.0,,T. Frazier makes 2-pt jump shot from 9 ft,77,68
3,3:07.0,Personal foul by T. Frazier (drawn by P. Millsap),,77,68
3,3:07.0,P. Millsap misses free throw 1 of 2,,77,68
3,3:07.0,Offensive rebound by Team,,77,68
3,3:07.0,,C. Diallo enters the game for J. Okafor,77,68
3,3:07.0,P. Millsap makes free throw 2 of 2,,78,68
3,2:52.0,,K. Williams misses 3-pt jump shot from 25 ft,78,68
3,2:48.0,,Offensive rebound by T. Frazier,78,68
3,2:45.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by T. Frazier),78,71
3,2:20.0,M. Beasley makes 2-pt layup from 2 ft (assist by N. Jokić),,80,71
3,2:07.0,,C. Diallo misses 2-pt jump shot from 7 ft,80,71
3,2:04.0,Defensive rebound by N. Jokić,,80,71
3,2:02.0,G. Harris misses 3-pt jump shot from 26 ft,,80,71
3,1:58.0,,Defensive rebound by J. Holiday,80,71
3,1:48.0,,K. Williams makes 2-pt layup from 1 ft (assist by T. Frazier),80,73
3,1:34.0,M. Morris makes 2-pt layup from 2 ft (assist by N. Jokić),,82,73
3,1:34.0,Shooting foul by D. Miller (drawn by M. Morris),,82,73
3,1:34.0,T. Craig enters the game for G. Harris,,82,73
3,1:34.0,M. Plumlee enters the game for P. Millsap,,82,73
3,1:34.0,,I. Clark enters the game for J. Holiday,82,73
3,1:34.0,M. Morris makes free throw 1 of 1,,83,73
3,1:14.0,,I. Clark misses 2-pt layup from 2 ft (block by T. Craig),83,73
3,1:10.0,Defensive rebound by M. Morris,,83,73
3,1:09.0,Offensive foul by T. Craig (drawn by T. Frazier),,83,73
3,1:09.0,Turnover by T. Craig (offensive foul),,83,73
3,0:48.0,,D. Miller misses 2-pt jump shot from 8 ft,83,73
3,0:46.0,,Offensive rebound by C. Diallo,83,73
3,0:45.0,,C. Diallo makes 2-pt layup from 2 ft,83,75
3,0:35.0,M. Beasley makes 3-pt jump shot from 26 ft (assist by M. Morris),,86,75
3,0:16.0,,K. Williams misses 2-pt layup from 2 ft,86,75
3,0:13.0,Defensive rebound by M. Beasley,,86,75
3,0:00.0,M. Plumlee misses 2-pt dunk from 1 ft,,86,75
3,0:00.0,Offensive rebound by Team,,86,75
4,11:36.0,T. Craig misses 3-pt jump shot from 23 ft,,86,75
4,11:33.0,,Defensive rebound by T. Frazier,86,75
4,11:28.0,,K. Williams makes 3-pt jump shot from 26 ft (assist by T. Frazier),86,78
4,11:26.0,Denver full timeout,,86,78
4,11:12.0,T. Lyles misses 2-pt layup from 4 ft,,86,78
4,11:08.0,Offensive rebound by M. Plumlee,,86,78
4,11:07.0,M. Plumlee misses 2-pt layup from 3 ft (block by K. Williams),,86,78
4,11:07.0,,Defensive rebound by I. Clark,86,78
4,10:53.0,,D. Miller misses 3-pt jump shot from 25 ft,86,78
4,10:50.0,Defensive rebound by T. Craig,,86,78
4,10:44.0,W. Barton misses 3-pt jump shot from 26 ft,,86,78
4,10:41.0,,Defensive rebound by C. Diallo,86,78
4,10:32.0,,K. Williams makes 2-pt layup from 3 ft (assist by C. Diallo),86,80
4,10:09.0,Shooting foul by C. Diallo (drawn by M. Plumlee),,86,80
4,10:09.0,M. Plumlee makes free throw 1 of 2,,87,80
4,10:09.0,M. Morris enters the game for T. Craig,,87,80
4,10:09.0,M. Plumlee makes free throw 2 of 2,,88,80
4,9:50.0,,T. Frazier misses 3-pt jump shot from 24 ft,88,80
4,9:46.0,Defensive rebound by W. Barton,,88,80
4,9:36.0,M. Morris misses 3-pt jump shot from 26 ft,,88,80
4,9:34.0,,Defensive rebound by Team,88,80
4,9:34.0,Loose ball foul by W. Barton (drawn by I. Clark),,88,80
4,9:20.0,,I. Clark makes 3-pt jump shot from 23 ft (assist by T. Frazier),88,83
4,9:02.0,T. Lyles misses 3-pt jump shot from 26 ft,,88,83
4,8:59.0,,Defensive rebound by D. Miller,88,83
4,8:50.0,,Personal foul by M. Beasley (drawn by C. Diallo),88,83
4,8:46.0,,K. Williams makes 3-pt jump shot from 25 ft (assist by T. Frazier),88,86
4,8:24.0,Offensive foul by M. Plumlee (drawn by C. Diallo),,88,86
4,8:24.0,Turnover by M. Plumlee (offensive foul),,88,86
4,8:24.0,G. Harris enters the game for W. Barton,,88,86
4,8:24.0,N. Jokić enters the game for T. Lyles,,88,86
4,8:24.0,P. Millsap enters the game for M. Plumlee,,88,86
4,8:15.0,,Shooting foul by P. Millsap (drawn by C. Diallo),88,86
4,8:15.0,,C. Diallo misses free throw 1 of 2,88,86
4,8:15.0,,Offensive rebound by Team,88,86
4,8:15.0,,J. Holiday enters the game for D. Miller,88,86
4,8:15.0,,C. Diallo misses free throw 2 of 2,88,86
4,8:12.0,Defensive rebound by N. Jokić,,88,86
4,7:56.0,M. Beasley makes 3-pt jump shot from 25 ft (assist by N. Jokić),,91,86
4,7:36.0,,K. Williams makes 3-pt jump shot from 26 ft (assist by T. Frazier),91,89
4,7:21.0,M. Beasley misses 3-pt jump shot from 25 ft,,91,89
4,7:18.0,,Defensive rebound by K. Williams,91,89
4,7:06.0,,C. Diallo misses 2-pt jump shot from 6 ft,91,89
4,7:04.0,Defensive rebound by N. Jokić,,91,89
4,6:59.0,M. Beasley makes 2-pt layup from 2 ft (assist by N. Jokić),,93,89
4,6:49.0,,Personal foul by N. Jokić (drawn by T. Frazier),93,89
4,6:49.0,,J. Okafor enters the game for C. Diallo,93,89
4,6:46.0,,J. Holiday makes 2-pt jump shot from 15 ft (assist by T. Frazier),93,91
4,6:19.0,N. Jokić misses 3-pt jump shot from 29 ft,,93,91
4,6:16.0,,Defensive rebound by J. Holiday,93,91
4,6:03.0,,J. Okafor misses 2-pt jump shot from 5 ft,93,91
4,6:01.0,Defensive rebound by M. Morris,,93,91
4,5:57.0,M. Morris misses 2-pt jump shot from 3 ft,,93,91
4,5:55.0,,Defensive rebound by J. Holiday,93,91
4,5:47.0,,I. Clark misses 3-pt jump shot from 25 ft,93,91
4,5:44.0,Defensive rebound by N. Jokić,,93,91
4,5:26.0,N. Jokić misses 2-pt jump shot from 18 ft,,93,91
4,5:22.0,,Defensive rebound by T. Frazier,93,91
4,5:00.0,,Turnover by I. Clark (lost ball; steal by G. Harris),93,91
4,4:54.0,M. Beasley makes 2-pt layup from 1 ft (assist by M. Morris),,95,91
4,4:54.0,,New Orleans full timeout,95,91
4,4:54.0,,D. Miller enters the game for I. Clark,95,91
4,4:42.0,,K. Williams misses 3-pt jump shot from 23 ft,95,91
4,4:38.0,Defensive rebound by N. Jokić,,95,91
4,4:27.0,P. Millsap makes 2-pt dunk from 1 ft (assist by G. Harris),,97,91
4,4:17.0,,Personal foul by G. Harris (drawn by J. Holiday),97,91
4,4:17.0,,J. Holiday makes free throw 1 of 2,97,92
4,4:17.0,,J. Holiday makes free throw 2 of 2,97,93
4,4:01.0,G. Harris misses 2-pt jump shot from 11 ft,,97,93
4,3:56.0,,Defensive rebound by D. Miller,97,93
4,3:48.0,,T. Frazier misses 2-pt jump shot from 20 ft,97,93
4,3:47.0,,Offensive rebound by J. Okafor,97,93
4,3:40.0,,J. Okafor misses 2-pt layup at rim,97,93
4,3:39.0,Defensive rebound by N. Jokić,,97,93
4,3:24.0,M. Beasley makes 3-pt jump shot from 26 ft (assist by M. Morris),,100,93
4,3:12.0,,Turnover by J. Holiday (bad pass; steal by M. Morris),100,93
4,3:07.0,M. Morris misses 2-pt layup from 3 ft,,100,93
4,3:04.0,,Defensive rebound by J. Holiday,100,93
4,2:56.0,,D. Miller misses 3-pt jump shot from 26 ft,100,93
4,2:53.0,Defensive rebound by M. Beasley,,100,93
4,2:40.0,Personal foul by J. Okafor (drawn by N. Jokić),,100,93
4,2:40.0,,I. Clark enters the game for T. Frazier,100,93
4,2:36.0,Personal foul by J. Okafor (drawn by N. Jokić),,100,93
4,2:24.0,P. Millsap misses 2-pt layup from 3 ft,,100,93
4,2:22.0,,Defensive rebound by K. Williams,100,93
4,2:16.0,,I. Clark misses 2-pt jump shot from 6 ft,100,93
4,2:13.0,,Offensive rebound by J. Holiday,100,93
4,2:12.0,,I. Clark makes 3-pt jump shot from 24 ft (assist by J. Holiday),100,96
4,1:46.0,N. Jokić misses 2-pt jump shot from 16 ft,,100,96
