QUARTER,TIME_REMAINING,PORTLAND_ACTION,ATLANTA_ACTION,PORTLAND_SCORE,ATLANTA_SCORE
2,5:27.0,,J. Collins enters the game for K. Bazemore,52,42
2,5:27.0,,T. Young enters the game for V. Carter,52,42
2,5:14.0,,D. Davis makes 2-pt dunk from 1 ft (assist by T. Young),52,44
2,4:47.0,A. Aminu misses 2-pt jump shot from 10 ft,,52,44
2,4:45.0,Offensive rebound by E. Freedom,,52,44
2,4:44.0,E. Freedom misses 2-pt jump shot from 1 ft (block by J. Collins),,52,44
2,4:44.0,,Defensive rebound by K. Huerter,52,44
2,4:35.0,,D. Davis misses 2-pt jump shot from 18 ft,52,44
2,4:32.0,Defensive rebound by A. Aminu,,52,44
2,4:14.0,R. Hood makes 3-pt jump shot from 25 ft (assist by A. Aminu),,55,44
2,3:59.0,,T. Young misses 3-pt jump shot from 26 ft,55,44
2,3:55.0,Defensive rebound by S. Curry,,55,44
2,3:54.0,,Violation by Team (kicked ball),55,44
2,3:54.0,M. Harkless enters the game for R. Hood,,55,44
2,3:54.0,D. Lillard enters the game for E. Turner,,55,44
2,3:47.0,S. Curry misses 2-pt jump shot from 18 ft,,55,44
2,3:46.0,,Defensive rebound by Team,55,44
2,3:35.0,,K. Huerter misses 3-pt jump shot from 23 ft,55,44
2,3:29.0,Defensive rebound by A. Aminu,,55,44
2,3:17.0,Turnover by E. Freedom (lost ball; steal by D. Davis),,55,44
2,3:11.0,,T. Young makes 2-pt layup from 1 ft,55,46
2,2:55.0,M. Harkless misses 3-pt jump shot from 24 ft,,55,46
2,2:52.0,,Defensive rebound by T. Young,55,46
2,2:38.0,,J. Collins makes 3-pt jump shot from 23 ft (assist by J. Anderson),55,49
2,2:21.0,D. Lillard makes 3-pt jump shot from 26 ft,,58,49
2,2:07.0,,T. Young misses 3-pt jump shot from 26 ft,58,49
2,2:06.0,Defensive rebound by Team,,58,49
2,2:06.0,Portland full timeout,,58,49
2,2:06.0,,D. Bembry enters the game for D. Davis,58,49
2,2:06.0,,D. Dedmon enters the game for K. Huerter,58,49
2,1:46.0,D. Lillard misses 2-pt jump shot from 22 ft,,58,49
2,1:42.0,,Defensive rebound by D. Bembry,58,49
2,1:27.0,,D. Bembry makes 2-pt layup from 1 ft (assist by T. Young),58,51
2,1:02.0,Turnover by D. Lillard (bad pass),,58,51
2,0:45.0,,T. Young misses 3-pt jump shot from 29 ft,58,51
2,0:42.0,Defensive rebound by D. Lillard,,58,51
2,0:31.0,D. Lillard makes 2-pt layup from 1 ft,,60,51
2,0:20.0,,T. Young misses 2-pt layup from 1 ft (block by A. Aminu),60,51
2,0:18.0,,Offensive rebound by T. Young,60,51
2,0:14.0,,J. Anderson misses 3-pt jump shot from 27 ft,60,51
2,0:11.0,Defensive rebound by A. Aminu,,60,51
2,0:02.0,A. Aminu misses 2-pt dunk from 1 ft (block by J. Anderson),,60,51
2,0:02.0,Offensive rebound by Team,,60,51
2,0:02.0,Personal foul by D. Dedmon (drawn by A. Aminu),,60,51
2,0:00.0,D. Lillard misses 3-pt jump shot from 26 ft,,60,51
2,0:00.0,Offensive rebound by Team,,60,51
3,11:49.0,Personal foul by J. Anderson (drawn by A. Aminu),,60,51
3,11:36.0,D. Lillard misses 3-pt jump shot from 25 ft,,60,51
3,11:33.0,,Defensive rebound by D. Dedmon,60,51
3,11:30.0,,K. Huerter misses 3-pt jump shot from 25 ft,60,51
3,11:28.0,,Offensive rebound by J. Anderson,60,51
3,11:26.0,,K. Huerter misses 2-pt jump shot from 7 ft,60,51
3,11:23.0,,Offensive rebound by Team,60,51
3,11:06.0,,J. Anderson misses 2-pt jump shot from 5 ft (block by E. Freedom),60,51
3,11:03.0,Defensive rebound by A. Aminu,,60,51
3,10:57.0,Personal foul by D. Dedmon (drawn by E. Freedom),,60,51
3,10:49.0,D. Lillard misses 2-pt layup from 1 ft,,60,51
3,10:47.0,Offensive rebound by E. Freedom,,60,51
3,10:46.0,E. Freedom makes 2-pt layup from 2 ft,,62,51
3,10:32.0,,K. Huerter misses 3-pt jump shot from 23 ft,62,51
3,10:29.0,Defensive rebound by E. Freedom,,62,51
3,10:07.0,A. Aminu misses 2-pt jump shot from 19 ft,,62,51
3,10:02.0,Offensive rebound by E. Freedom,,62,51
3,10:02.0,E. Freedom misses 2-pt layup at rim,,62,51
3,10:02.0,,Defensive rebound by T. Young,62,51
3,9:59.0,,J. Anderson makes 3-pt jump shot from 25 ft (assist by T. Young),62,54
3,9:32.0,D. Lillard misses 3-pt jump shot from 23 ft,,62,54
3,9:29.0,,Defensive rebound by D. Dedmon,62,54
3,9:26.0,,K. Huerter makes 3-pt jump shot from 25 ft,62,57
3,9:24.0,Portland full timeout,,62,57
3,9:08.0,E. Freedom makes 2-pt hook shot from 8 ft (assist by D. Lillard),,64,57
3,8:56.0,,Shooting foul by E. Freedom (drawn by J. Collins),64,57
3,8:56.0,,J. Collins makes free throw 1 of 2,64,58
3,8:56.0,,J. Collins makes free throw 2 of 2,64,59
3,8:38.0,D. Lillard makes 2-pt dunk from 1 ft (assist by A. Aminu),,66,59
3,8:20.0,,J. Collins makes 2-pt dunk at rim (assist by J. Anderson),66,61
3,8:02.0,J. Layman misses 3-pt jump shot from 23 ft,,66,61
3,7:57.0,Offensive rebound by M. Harkless,,66,61
3,7:57.0,M. Harkless makes 2-pt layup at rim,,68,61
3,7:41.0,,J. Anderson makes 3-pt jump shot from 26 ft (assist by K. Huerter),68,64
3,7:25.0,D. Lillard makes 2-pt jump shot from 9 ft,,70,64
3,7:12.0,,Turnover by D. Dedmon (bad pass),70,64
3,7:00.0,M. Harkless misses 3-pt jump shot from 25 ft,,70,64
3,6:56.0,,Defensive rebound by T. Young,70,64
3,6:52.0,,T. Young misses 3-pt jump shot from 27 ft,70,64
3,6:49.0,Defensive rebound by A. Aminu,,70,64
3,6:39.0,A. Aminu makes 2-pt layup from 1 ft,,72,64
3,6:20.0,,D. Dedmon makes 3-pt jump shot from 26 ft (assist by J. Collins),72,67
3,5:55.0,M. Harkless misses 2-pt layup from 3 ft,,72,67
3,5:54.0,Offensive rebound by J. Layman,,72,67
3,5:54.0,J. Layman makes 2-pt layup from 2 ft,,74,67
3,5:54.0,Shooting foul by J. Collins (drawn by J. Layman),,74,67
3,5:54.0,J. Layman makes free throw 1 of 1,,75,67
3,5:45.0,,T. Young misses 2-pt layup from 2 ft,75,67
3,5:42.0,Defensive rebound by E. Freedom,,75,67
3,5:38.0,D. Lillard misses 2-pt layup from 1 ft (block by D. Dedmon),,75,67
3,5:38.0,Offensive rebound by Team,,75,67
3,5:38.0,,J. Adams enters the game for D. Dedmon,75,67
3,5:38.0,,D. Davis enters the game for T. Young,75,67
3,5:27.0,Shooting foul by J. Adams (drawn by D. Lillard),,75,67
3,5:27.0,D. Lillard makes free throw 1 of 2,,76,67
3,5:27.0,,K. Bazemore enters the game for J. Anderson,76,67
3,5:27.0,,D. Bembry enters the game for K. Huerter,76,67
3,5:27.0,D. Lillard makes free throw 2 of 2,,77,67
3,5:15.0,,K. Bazemore misses 2-pt jump shot from 16 ft,77,67
3,5:12.0,Defensive rebound by A. Aminu,,77,67
3,5:05.0,Personal foul by J. Adams (drawn by D. Lillard),,77,67
3,5:05.0,D. Lillard makes free throw 1 of 2,,78,67
3,5:05.0,D. Lillard makes free throw 2 of 2,,79,67
3,4:51.0,,D. Bembry misses 2-pt jump shot from 12 ft (block by M. Harkless),79,67
3,4:47.0,Defensive rebound by J. Layman,,79,67
3,4:46.0,M. Harkless makes 2-pt layup from 2 ft (assist by D. Lillard),,81,67
3,4:46.0,Shooting foul by D. Bembry (drawn by M. Harkless),,81,67
3,4:46.0,,Atlanta full timeout,81,67
3,4:46.0,R. Hood enters the game for J. Layman,,81,67
3,4:46.0,,V. Carter enters the game for J. Collins,81,67
3,4:46.0,M. Harkless misses free throw 1 of 1,,81,67
3,4:42.0,,Defensive rebound by K. Bazemore,81,67
3,4:36.0,,V. Carter misses 3-pt jump shot from 25 ft,81,67
3,4:32.0,Defensive rebound by E. Freedom,,81,67
3,4:20.0,D. Lillard misses 2-pt layup from 1 ft,,81,67
3,4:18.0,,Defensive rebound by D. Bembry,81,67
3,4:11.0,,Offensive foul by D. Bembry (drawn by D. Lillard),81,67
3,4:11.0,,Turnover by D. Bembry (offensive foul),81,67
3,3:52.0,Personal foul by V. Carter (drawn by A. Aminu),,81,67
3,3:52.0,A. Aminu makes free throw 1 of 2,,82,67
3,3:52.0,Z. Collins enters the game for M. Harkless,,82,67
3,3:52.0,S. Curry enters the game for E. Freedom,,82,67
3,3:52.0,A. Aminu makes free throw 2 of 2,,83,67
3,3:42.0,,K. Bazemore misses 2-pt layup from 3 ft,83,67
3,3:39.0,Defensive rebound by Z. Collins,,83,67
3,3:35.0,D. Lillard misses 2-pt layup from 12 ft (block by J. Adams),,83,67
3,3:33.0,Offensive rebound by Team,,83,67
3,3:27.0,A. Aminu makes 3-pt jump shot from 25 ft (assist by D. Lillard),,86,67
3,3:12.0,,V. Carter misses 3-pt jump shot from 26 ft,86,67
3,3:09.0,Defensive rebound by A. Aminu,,86,67
3,2:55.0,Z. Collins makes 2-pt jump shot from 9 ft (assist by R. Hood),,88,67
3,2:55.0,Shooting foul by K. Bazemore (drawn by Z. Collins),,88,67
3,2:55.0,Z. Collins misses free throw 1 of 1,,88,67
3,2:51.0,,Defensive rebound by J. Adams,88,67
3,2:46.0,,J. Adams misses 3-pt jump shot from 25 ft,88,67
3,2:42.0,Defensive rebound by D. Lillard,,88,67
3,2:39.0,S. Curry misses 2-pt jump shot from 22 ft,,88,67
3,2:39.0,,Defensive rebound by D. Davis,88,67
3,2:30.0,,Atlanta full timeout,88,67
3,2:24.0,,V. Carter makes 3-pt jump shot from 25 ft (assist by J. Adams),88,70
3,2:02.0,Turnover by S. Curry (bad pass; steal by K. Bazemore),,88,70
3,1:58.0,,Shooting foul by A. Aminu (drawn by K. Bazemore),88,70
3,1:58.0,,K. Bazemore makes free throw 1 of 2,88,71
3,1:58.0,,J. Collins enters the game for D. Davis,88,71
3,1:58.0,,K. Bazemore misses free throw 2 of 2,88,71
3,1:56.0,Defensive rebound by A. Aminu,,88,71
3,1:42.0,A. Aminu makes 2-pt jump shot from 7 ft,,90,71
3,1:30.0,,Turnover by J. Collins (off goaltending),90,71
3,1:17.0,D. Lillard misses 3-pt jump shot from 26 ft,,90,71
3,1:13.0,,Defensive rebound by K. Bazemore,90,71
3,1:07.0,,J. Collins misses 3-pt jump shot from 25 ft,90,71
3,1:04.0,,Offensive rebound by J. Adams,90,71
3,0:59.0,,J. Collins makes 2-pt layup from 1 ft,90,73
3,0:59.0,,Shooting foul by A. Aminu (drawn by J. Collins),90,73
3,0:59.0,,J. Collins makes free throw 1 of 1,90,74
3,0:39.0,A. Aminu misses 3-pt jump shot from 25 ft,,90,74
3,0:36.0,,Defensive rebound by V. Carter,90,74
3,0:30.0,,Shooting foul by S. Curry (drawn by J. Adams),90,74
3,0:30.0,,J. Adams makes free throw 1 of 2,90,75
3,0:30.0,,J. Adams makes free throw 2 of 2,90,76
3,0:19.0,S. Curry misses 3-pt jump shot from 23 ft,,90,76
3,0:15.0,,Defensive rebound by K. Bazemore,90,76
3,0:10.0,,J. Adams misses 3-pt jump shot from 24 ft,90,76
3,0:06.0,,Offensive rebound by V. Carter,90,76
3,0:00.0,,D. Bembry misses 3-pt jump shot from 22 ft,90,76
3,0:00.0,,Offensive rebound by Team,90,76
4,11:50.0,,T. Young misses 2-pt jump shot from 11 ft,90,76
4,11:46.0,Defensive rebound by S. Curry,,90,76
4,11:36.0,E. Turner misses 2-pt jump shot from 11 ft,,90,76
4,11:33.0,,Defensive rebound by K. Bazemore,90,76
4,11:29.0,,K. Bazemore misses 2-pt layup from 3 ft,90,76
4,11:26.0,Defensive rebound by E. Turner,,90,76
4,11:17.0,Turnover by R. Hood (bad pass; steal by V. Carter),,90,76
4,11:17.0,,Turnover by D. Bembry (bad pass),90,76
4,10:58.0,S. Curry makes 2-pt jump shot from 9 ft (assist by R. Hood),,92,76
4,10:46.0,,T. Young makes 2-pt jump shot from 13 ft,92,78
4,10:20.0,R. Hood misses 3-pt jump shot from 25 ft,,92,78
4,10:18.0,,Defensive rebound by T. Young,92,78
4,10:11.0,,J. Collins makes 2-pt layup from 5 ft (assist by T. Young),92,80
4,9:58.0,Turnover by Z. Collins (bad pass),,92,80
4,9:48.0,,T. Young makes 2-pt jump shot from 11 ft,92,82
4,9:29.0,R. Hood misses 2-pt layup from 6 ft,,92,82
4,9:24.0,Offensive rebound by Z. Collins,,92,82
4,9:24.0,Z. Collins makes 2-pt dunk at rim,,94,82
4,9:11.0,,Turnover by K. Bazemore (bad pass; steal by Z. Collins),94,82
4,9:07.0,J. Layman makes 2-pt layup from 5 ft,,96,82
4,9:07.0,Shooting foul by V. Carter (drawn by J. Layman),,96,82
4,9:07.0,,K. Huerter enters the game for K. Bazemore,96,82
4,9:07.0,J. Layman makes free throw 1 of 1,,97,82
4,9:01.0,,T. Young misses 3-pt jump shot from 30 ft,97,82
4,8:58.0,Defensive rebound by Z. Collins,,97,82
4,8:55.0,Personal foul by T. Young (drawn by J. Layman),,97,82
4,8:55.0,,D. Dedmon enters the game for V. Carter,97,82
4,8:48.0,Turnover by S. Curry (out of bounds lost ball),,97,82
4,8:38.0,,T. Young misses 2-pt jump shot from 12 ft,97,82
4,8:37.0,,Offensive rebound by J. Collins,97,82
4,8:37.0,,Personal foul by Z. Collins (drawn by J. Collins),97,82
4,8:37.0,M. Harkless enters the game for J. Layman,,97,82
4,8:34.0,,J. Collins misses 3-pt jump shot from 25 ft,97,82
4,8:29.0,Defensive rebound by E. Turner,,97,82
4,8:23.0,Turnover by E. Turner (out of bounds lost ball),,97,82
4,8:13.0,,Offensive foul by J. Collins (drawn by E. Turner),97,82
4,8:13.0,,Turnover by J. Collins (offensive foul),97,82
4,8:01.0,R. Hood misses 2-pt jump shot from 19 ft,,97,82
4,7:57.0,,Defensive rebound by T. Young,97,82
4,7:52.0,,Personal foul by M. Harkless (drawn by D. Dedmon),97,82
4,7:43.0,,T. Young misses 2-pt layup from 1 ft,97,82
4,7:43.0,,Offensive rebound by T. Young,97,82
4,7:31.0,,J. Collins misses 2-pt layup from 1 ft,97,82
4,7:29.0,Defensive rebound by M. Harkless,,97,82
4,7:22.0,R. Hood misses 3-pt jump shot from 22 ft,,97,82
4,7:18.0,,Defensive rebound by Team,97,82
4,7:05.0,,K. Huerter makes 2-pt jump shot from 5 ft,97,84
4,6:49.0,Z. Collins misses 3-pt jump shot from 25 ft,,97,84
4,6:47.0,Offensive rebound by Team,,97,84
4,6:47.0,,Atlanta full timeout,97,84
4,6:47.0,E. Freedom enters the game for Z. Collins,,97,84
4,6:47.0,D. Lillard enters the game for R. Hood,,97,84
4,6:47.0,,J. Adams enters the game for D. Bembry,97,84
4,6:47.0,,J. Anderson enters the game for J. Collins,97,84
4,6:47.0,,D. Davis enters the game for T. Young,97,84
4,6:35.0,M. Harkless misses 3-pt jump shot from 25 ft,,97,84
4,6:32.0,,Defensive rebound by D. Davis,97,84
4,6:19.0,,K. Huerter misses 2-pt jump shot from 16 ft,97,84
4,6:16.0,Defensive rebound by E. Turner,,97,84
4,6:11.0,D. Lillard misses 3-pt jump shot from 25 ft,,97,84
4,6:07.0,,Defensive rebound by K. Huerter,97,84
4,6:04.0,,D. Dedmon makes 2-pt dunk from 1 ft (assist by K. Huerter),97,86
4,5:40.0,Shooting foul by D. Dedmon (drawn by S. Curry),,97,86
4,5:40.0,S. Curry makes free throw 1 of 2,,98,86
4,5:40.0,S. Curry makes free throw 2 of 2,,99,86
4,5:29.0,,J. Adams makes 2-pt jump shot from 22 ft,99,88
4,5:07.0,D. Lillard makes 2-pt jump shot from 17 ft,,101,88
4,4:48.0,,K. Huerter makes 2-pt jump shot from 9 ft,101,90
4,4:31.0,E. Freedom misses 2-pt layup from 7 ft (block by D. Dedmon),,101,90
4,4:31.0,Offensive rebound by Team,,101,90
4,4:31.0,A. Aminu enters the game for E. Turner,,101,90
4,4:27.0,Shooting foul by J. Adams (drawn by M. Harkless),,101,90
4,4:27.0,M. Harkless makes free throw 1 of 2,,102,90
4,4:27.0,M. Harkless makes free throw 2 of 2,,103,90
4,4:05.0,,K. Huerter misses 3-pt jump shot from 25 ft,103,90
4,4:00.0,Defensive rebound by M. Harkless,,103,90
4,3:54.0,D. Lillard makes 3-pt jump shot from 25 ft,,106,90
4,3:41.0,,Shooting foul by E. Freedom (drawn by J. Adams),106,90
4,3:41.0,Portland full timeout,,106,90
4,3:41.0,G. Trent enters the game for A. Aminu,,106,90
4,3:41.0,,J. Collins enters the game for D. Davis,106,90
4,3:41.0,,J. Adams makes free throw 1 of 2,106,91
4,3:41.0,,J. Adams makes free throw 2 of 2,106,92
4,3:30.0,E. Freedom makes 2-pt hook shot from 7 ft (assist by D. Lillard),,108,92
4,3:15.0,,J. Collins misses 2-pt jump shot from 20 ft,108,92
4,3:11.0,Defensive rebound by M. Harkless,,108,92
4,3:00.0,E. Freedom makes 2-pt layup from 1 ft (assist by M. Harkless),,110,92
4,2:44.0,,J. Adams misses 3-pt jump shot from 25 ft,110,92
4,2:38.0,Defensive rebound by M. Harkless,,110,92
4,2:37.0,E. Freedom makes 2-pt dunk from 1 ft (assist by M. Harkless),,112,92
4,2:37.0,,Atlanta full timeout,112,92
4,2:37.0,Z. Collins enters the game for M. Harkless,,112,92
