QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,SAN ANTONIO_ACTION,OKLAHOMA CITY_SCORE,SAN ANTONIO_SCORE
2,6:58.0,,D. White makes 2-pt layup from 2 ft,37,53
2,6:45.0,P. Patterson makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,40,53
2,6:36.0,,Personal foul by D. Schröder (drawn by D. DeRozan),40,53
2,6:36.0,S. Adams enters the game for H. Diallo,,40,53
2,6:36.0,P. George enters the game for J. Grant,,40,53
2,6:36.0,,L. Aldridge enters the game for J. Poeltl,40,53
2,6:21.0,,B. Forbes makes 2-pt layup from 2 ft (assist by D. DeRozan),40,55
2,6:09.0,Personal foul by D. Bertāns (drawn by S. Adams),,40,55
2,6:09.0,,P. Gasol enters the game for D. Bertāns,40,55
2,6:01.0,Turnover by R. Westbrook (bad pass; steal by D. DeRozan),,40,55
2,5:52.0,,Turnover by L. Aldridge (lost ball; steal by S. Adams),40,55
2,5:39.0,P. George makes 2-pt jump shot from 16 ft,,42,55
2,5:38.0,,San Antonio full timeout,42,55
2,5:38.0,J. Grant enters the game for P. Patterson,,42,55
2,5:19.0,,D. DeRozan misses 2-pt jump shot from 13 ft,42,55
2,5:18.0,Defensive rebound by P. George,,42,55
2,5:05.0,P. George makes 2-pt layup from 2 ft (assist by R. Westbrook),,44,55
2,4:48.0,,D. DeRozan makes 2-pt layup from 1 ft (assist by D. White),44,57
2,4:34.0,R. Westbrook makes 2-pt jump shot from 18 ft,,46,57
2,4:34.0,,P. Mills enters the game for B. Forbes,46,57
2,4:10.0,,D. White makes 2-pt jump shot from 17 ft (assist by D. DeRozan),46,59
2,3:58.0,P. George makes 2-pt layup from 2 ft,,48,59
2,3:58.0,Shooting foul by P. Gasol (drawn by P. George),,48,59
2,3:58.0,P. George misses free throw 1 of 1,,48,59
2,3:53.0,Offensive rebound by J. Grant,,48,59
2,3:50.0,P. George makes 3-pt jump shot from 26 ft (assist by J. Grant),,51,59
2,3:32.0,,Turnover by D. DeRozan (lost ball; steal by P. George),51,59
2,3:30.0,Shooting foul by P. Mills (drawn by P. George),,51,59
2,3:30.0,P. George makes free throw 1 of 2,,52,59
2,3:30.0,,M. Belinelli enters the game for P. Gasol,52,59
2,3:30.0,P. George makes free throw 2 of 2,,53,59
2,3:13.0,,P. Mills makes 2-pt jump shot from 23 ft (assist by L. Aldridge),53,61
2,3:03.0,J. Grant misses 3-pt jump shot from 25 ft,,53,61
2,2:59.0,,Defensive rebound by D. White,53,61
2,2:52.0,,D. DeRozan makes 2-pt jump shot from 8 ft,53,63
2,2:42.0,D. Schröder misses 2-pt jump shot from 15 ft,,53,63
2,2:39.0,,Defensive rebound by L. Aldridge,53,63
2,2:31.0,,M. Belinelli misses 2-pt jump shot from 19 ft,53,63
2,2:29.0,Defensive rebound by R. Westbrook,,53,63
2,2:26.0,Personal foul by P. Mills (drawn by S. Adams),,53,63
2,2:26.0,S. Adams makes free throw 1 of 2,,54,63
2,2:26.0,S. Adams makes free throw 2 of 2,,55,63
2,2:14.0,,L. Aldridge makes 2-pt dunk at rim (assist by D. DeRozan),55,65
2,1:53.0,P. George misses 3-pt jump shot from 25 ft,,55,65
2,1:50.0,Offensive rebound by Team,,55,65
2,1:42.0,D. Schröder misses 3-pt jump shot from 25 ft,,55,65
2,1:38.0,,Defensive rebound by L. Aldridge,55,65
2,1:25.0,,Shooting foul by S. Adams (drawn by L. Aldridge),55,65
2,1:25.0,,L. Aldridge makes free throw 1 of 2,55,66
2,1:25.0,,L. Aldridge makes free throw 2 of 2,55,67
2,1:16.0,Shooting foul by M. Belinelli (drawn by R. Westbrook),,55,67
2,1:16.0,R. Westbrook misses free throw 1 of 2,,55,67
2,1:16.0,Offensive rebound by Team,,55,67
2,1:16.0,R. Westbrook misses free throw 2 of 2,,55,67
2,1:08.0,Offensive rebound by S. Adams,,55,67
2,1:08.0,S. Adams makes 2-pt layup at rim,,57,67
2,0:58.0,,M. Belinelli makes 3-pt jump shot from 25 ft (assist by D. DeRozan),57,70
2,0:52.0,J. Grant makes 2-pt layup from 2 ft (assist by R. Westbrook),,59,70
2,0:35.0,,D. DeRozan misses 2-pt jump shot from 16 ft,59,70
2,0:33.0,Defensive rebound by R. Westbrook,,59,70
2,0:28.0,R. Westbrook makes 2-pt layup from 1 ft,,61,70
2,0:05.0,,L. Aldridge misses 2-pt jump shot from 13 ft,61,70
2,0:03.0,Defensive rebound by R. Westbrook,,61,70
2,0:01.0,D. Schröder makes 2-pt layup from 1 ft,,63,70
3,11:43.0,,Turnover by L. Aldridge (bad pass; steal by R. Westbrook),63,70
3,11:38.0,J. Grant misses 3-pt jump shot from 23 ft,,63,70
3,11:35.0,,Defensive rebound by D. DeRozan,63,70
3,11:22.0,,L. Aldridge makes 2-pt layup from 2 ft (assist by D. DeRozan),63,72
3,10:59.0,Turnover by S. Adams (lost ball; steal by P. Gasol),,63,72
3,10:47.0,,L. Aldridge misses 2-pt layup from 2 ft (block by S. Adams),63,72
3,10:44.0,Defensive rebound by R. Westbrook,,63,72
3,10:42.0,J. Grant makes 2-pt jump shot from 11 ft (assist by R. Westbrook),,65,72
3,10:25.0,,B. Forbes misses 2-pt jump shot from 15 ft,65,72
3,10:25.0,,Offensive rebound by L. Aldridge,65,72
3,10:25.0,,Shooting foul by J. Grant (drawn by L. Aldridge),65,72
3,10:25.0,,L. Aldridge makes free throw 1 of 2,65,73
3,10:25.0,,L. Aldridge makes free throw 2 of 2,65,74
3,10:14.0,Personal foul by P. Gasol (drawn by S. Adams),,65,74
3,10:07.0,S. Adams makes 2-pt hook shot from 8 ft (assist by R. Westbrook),,67,74
3,9:54.0,,D. DeRozan misses 2-pt jump shot from 8 ft,67,74
3,9:51.0,Defensive rebound by P. George,,67,74
3,9:51.0,Personal take foul by D. DeRozan (drawn by P. George),,67,74
3,9:43.0,J. Grant misses 2-pt layup from 2 ft (block by L. Aldridge),,67,74
3,9:41.0,,Defensive rebound by D. DeRozan,67,74
3,9:38.0,,D. White makes 2-pt layup from 2 ft,67,76
3,9:21.0,Turnover by S. Adams (bad pass; steal by D. White),,67,76
3,9:12.0,,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. DeRozan),67,79
3,8:54.0,S. Adams makes 2-pt jump shot from 9 ft (assist by R. Westbrook),,69,79
3,8:35.0,,Turnover by L. Aldridge (out of bounds lost ball),69,79
3,8:28.0,Shooting foul by D. White (drawn by J. Grant),,69,79
3,8:28.0,J. Grant makes free throw 1 of 2,,70,79
3,8:28.0,J. Grant makes free throw 2 of 2,,71,79
3,8:08.0,,L. Aldridge makes 2-pt jump shot from 11 ft (assist by D. White),71,81
3,7:57.0,P. George makes 2-pt jump shot from 9 ft,,73,81
3,7:40.0,,B. Forbes makes 3-pt jump shot from 25 ft,73,84
3,7:33.0,J. Grant misses 2-pt layup from 3 ft (block by P. Gasol),,73,84
3,7:33.0,Offensive rebound by Team,,73,84
3,7:33.0,D. Schröder enters the game for J. Grant,,73,84
3,7:33.0,,D. Bertāns enters the game for P. Gasol,73,84
3,7:20.0,P. George misses 2-pt layup from 6 ft,,73,84
3,7:20.0,,Defensive rebound by Team,73,84
3,7:12.0,,Offensive foul by L. Aldridge (drawn by P. George),73,84
3,7:12.0,,Turnover by L. Aldridge (offensive foul),73,84
3,7:01.0,R. Westbrook makes 2-pt layup from 2 ft,,75,84
3,6:46.0,,Shooting foul by R. Westbrook (drawn by L. Aldridge),75,84
3,6:46.0,,San Antonio full timeout,75,84
3,6:46.0,,L. Aldridge makes free throw 1 of 2,75,85
3,6:46.0,,L. Aldridge makes free throw 2 of 2,75,86
3,6:39.0,Personal foul by D. Bertāns (drawn by R. Westbrook),,75,86
3,6:31.0,R. Westbrook makes 2-pt jump shot from 11 ft,,77,86
3,6:31.0,Shooting foul by D. White (drawn by R. Westbrook),,77,86
3,6:31.0,R. Westbrook makes free throw 1 of 1,,78,86
3,6:19.0,,B. Forbes makes 3-pt jump shot from 23 ft (assist by D. White),78,89
3,6:00.0,P. George misses 2-pt jump shot from 18 ft,,78,89
3,5:58.0,,Defensive rebound by B. Forbes,78,89
3,5:41.0,,D. Bertāns makes 3-pt jump shot from 28 ft (assist by D. DeRozan),78,92
3,5:27.0,T. Ferguson makes 3-pt jump shot from 27 ft (assist by R. Westbrook),,81,92
3,5:09.0,,Personal foul by R. Westbrook (drawn by D. White),81,92
3,4:55.0,,D. White misses 3-pt jump shot from 26 ft,81,92
3,4:53.0,Defensive rebound by P. George,,81,92
3,4:46.0,P. George makes 2-pt jump shot from 18 ft (assist by R. Westbrook),,83,92
3,4:30.0,,L. Aldridge makes 2-pt dunk at rim (assist by D. White),83,94
3,4:16.0,R. Westbrook misses 2-pt jump shot from 18 ft,,83,94
3,4:14.0,,Defensive rebound by D. DeRozan,83,94
3,3:55.0,,Shooting foul by D. Schröder (drawn by B. Forbes),83,94
3,3:55.0,,B. Forbes makes free throw 1 of 3,83,95
3,3:55.0,,M. Belinelli enters the game for D. DeRozan,83,95
3,3:55.0,,P. Mills enters the game for D. White,83,95
3,3:55.0,,B. Forbes makes free throw 2 of 3,83,96
3,3:55.0,,B. Forbes makes free throw 3 of 3,83,97
3,3:44.0,S. Adams misses 2-pt jump shot from 6 ft,,83,97
3,3:43.0,,Defensive rebound by B. Forbes,83,97
3,3:39.0,,Offensive foul by P. Mills (drawn by D. Schröder),83,97
3,3:39.0,,Turnover by P. Mills (offensive foul),83,97
3,3:39.0,Oklahoma City full timeout,,83,97
3,3:39.0,,D. White enters the game for B. Forbes,83,97
3,3:28.0,R. Westbrook makes 2-pt layup from 2 ft,,85,97
3,3:02.0,,D. White makes 2-pt layup from 1 ft (assist by L. Aldridge),85,99
3,2:46.0,P. George makes 3-pt jump shot from 25 ft (assist by D. Schröder),,88,99
3,2:36.0,,Turnover by M. Belinelli (out of bounds lost ball),88,99
3,2:30.0,R. Westbrook makes 2-pt jump shot from 17 ft,,90,99
3,2:06.0,,Shooting foul by S. Adams (drawn by L. Aldridge),90,99
3,2:06.0,,L. Aldridge makes free throw 1 of 2,90,100
3,2:06.0,J. Grant enters the game for T. Ferguson,,90,100
3,2:06.0,,L. Aldridge makes free throw 2 of 2,90,101
3,1:46.0,J. Grant makes 2-pt dunk at rim (assist by R. Westbrook),,92,101
3,1:30.0,,L. Aldridge makes 2-pt jump shot from 16 ft,92,103
3,1:21.0,S. Adams misses 2-pt hook shot from 9 ft,,92,103
3,1:18.0,,Defensive rebound by P. Mills,92,103
3,1:02.0,,L. Aldridge misses 2-pt jump shot from 11 ft,92,103
3,1:00.0,Defensive rebound by J. Grant,,92,103
3,0:51.0,J. Grant misses 3-pt jump shot from 26 ft,,92,103
3,0:48.0,,Defensive rebound by M. Belinelli,92,103
3,0:28.0,,L. Aldridge misses 2-pt layup from 5 ft (block by S. Adams),92,103
3,0:28.0,,Offensive rebound by Team,92,103
3,0:25.0,,L. Aldridge makes 2-pt jump shot from 14 ft (assist by D. White),92,105
3,0:06.0,Shooting foul by D. Bertāns (drawn by J. Grant),,92,105
3,0:06.0,J. Grant misses free throw 1 of 2,,92,105
3,0:06.0,Offensive rebound by Team,,92,105
3,0:06.0,A. Nader enters the game for R. Westbrook,,92,105
3,0:06.0,J. Grant makes free throw 2 of 2,,93,105
3,0:00.0,,D. White misses 2-pt layup from 2 ft,93,105
3,0:00.0,Defensive rebound by A. Nader,,93,105
4,11:46.0,J. Grant makes 2-pt dunk from 1 ft (assist by D. Schröder),,95,105
4,11:37.0,,D. DeRozan makes 2-pt jump shot from 8 ft,95,107
4,11:37.0,,Shooting foul by J. Grant (drawn by D. DeRozan),95,107
4,11:37.0,,D. DeRozan makes free throw 1 of 1,95,108
4,11:27.0,P. Patterson misses 3-pt jump shot from 26 ft,,95,108
4,11:23.0,,Defensive rebound by M. Belinelli,95,108
4,11:16.0,,D. DeRozan misses 2-pt jump shot from 7 ft,95,108
4,11:14.0,Defensive rebound by A. Nader,,95,108
4,11:06.0,D. Schröder misses 2-pt layup from 10 ft,,95,108
4,11:05.0,Offensive rebound by D. Schröder,,95,108
4,10:56.0,J. Grant makes 2-pt dunk at rim (assist by H. Diallo),,97,108
4,10:44.0,,D. DeRozan makes 2-pt layup from 4 ft,97,110
4,10:34.0,D. Schröder makes 3-pt jump shot from 25 ft,,100,110
4,10:14.0,,D. DeRozan misses 2-pt jump shot from 18 ft,100,110
4,10:12.0,Defensive rebound by H. Diallo,,100,110
4,10:06.0,Shooting foul by D. Bertāns (drawn by D. Schröder),,100,110
4,10:06.0,D. Schröder makes free throw 1 of 2,,101,110
4,10:06.0,,B. Forbes enters the game for D. Bertāns,101,110
4,10:06.0,D. Schröder makes free throw 2 of 2,,102,110
4,9:43.0,,D. DeRozan misses 2-pt jump shot from 14 ft (block by J. Grant),102,110
4,9:40.0,Defensive rebound by J. Grant,,102,110
4,9:36.0,D. Schröder misses 2-pt layup from 3 ft (block by J. Poeltl),,102,110
4,9:36.0,Offensive rebound by Team,,102,110
4,9:36.0,S. Adams enters the game for J. Grant,,102,110
4,9:36.0,,L. Aldridge enters the game for J. Poeltl,102,110
4,9:27.0,Offensive foul by D. Schröder (drawn by P. Mills),,102,110
4,9:27.0,Turnover by D. Schröder (offensive foul),,102,110
4,9:18.0,,Turnover by D. DeRozan (bad pass),102,110
4,9:18.0,R. Westbrook enters the game for D. Schröder,,102,110
4,9:08.0,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),,104,110
4,9:08.0,,San Antonio full timeout,104,110
4,9:08.0,T. Ferguson enters the game for P. Patterson,,104,110
4,8:46.0,,M. Belinelli makes 2-pt jump shot from 15 ft (assist by D. DeRozan),104,112
4,8:30.0,A. Nader makes 2-pt layup from 3 ft (assist by R. Westbrook),,106,112
4,8:14.0,,Offensive foul by B. Forbes (drawn by R. Westbrook),106,112
4,8:14.0,,Turnover by B. Forbes (offensive foul),106,112
4,8:06.0,R. Westbrook makes 2-pt jump shot from 19 ft,,108,112
4,7:52.0,,L. Aldridge makes 2-pt hook shot from 6 ft (assist by P. Mills),108,114
4,7:42.0,S. Adams misses 2-pt layup from 2 ft (block by M. Belinelli),,108,114
4,7:42.0,Offensive rebound by Team,,108,114
4,7:42.0,,D. White enters the game for P. Mills,108,114
4,7:33.0,A. Nader makes 2-pt layup from 1 ft (assist by R. Westbrook),,110,114
4,7:13.0,,Turnover by D. White (bad pass; steal by R. Westbrook),110,114
4,7:05.0,T. Ferguson misses 2-pt layup from 6 ft (block by L. Aldridge),,110,114
4,7:01.0,,Defensive rebound by D. DeRozan,110,114
4,6:56.0,,D. White misses 2-pt layup from 3 ft,110,114
4,6:53.0,Defensive rebound by S. Adams,,110,114
4,6:46.0,R. Westbrook misses 2-pt layup at rim,,110,114
4,6:42.0,Offensive rebound by A. Nader,,110,114
4,6:42.0,A. Nader makes 2-pt dunk from 1 ft,,112,114
4,6:26.0,,L. Aldridge misses 2-pt jump shot from 9 ft,112,114
4,6:23.0,Defensive rebound by R. Westbrook,,112,114
4,6:17.0,R. Westbrook misses 2-pt layup from 2 ft,,112,114
4,6:11.0,Offensive rebound by S. Adams,,112,114
4,6:11.0,S. Adams makes 2-pt layup from 1 ft,,114,114
4,6:01.0,,D. DeRozan misses 2-pt jump shot from 20 ft,114,114
4,5:59.0,Defensive rebound by R. Westbrook,,114,114
4,5:56.0,Oklahoma City full timeout,,114,114
4,5:56.0,P. George enters the game for H. Diallo,,114,114
4,5:56.0,,D. Bertāns enters the game for M. Belinelli,114,114
4,5:47.0,Turnover by R. Westbrook (traveling),,114,114
4,5:30.0,,Shooting foul by R. Westbrook (drawn by L. Aldridge),114,114
4,5:30.0,P. Patterson enters the game for S. Adams,,114,114
4,5:30.0,,L. Aldridge makes free throw 1 of 2,114,115
4,5:30.0,J. Grant enters the game for A. Nader,,114,115
4,5:30.0,,L. Aldridge makes free throw 2 of 2,114,116
4,5:16.0,R. Westbrook misses 2-pt jump shot from 13 ft,,114,116
4,5:13.0,,Defensive rebound by B. Forbes,114,116
4,4:59.0,,L. Aldridge makes 2-pt hook shot from 4 ft,114,118
4,4:44.0,Personal foul by D. DeRozan (drawn by P. George),,114,118
4,4:44.0,D. Schröder enters the game for P. Patterson,,114,118
4,4:38.0,D. Schröder makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,117,118
4,4:11.0,,L. Aldridge makes 2-pt layup at rim,117,120
4,3:55.0,R. Westbrook misses 2-pt jump shot from 15 ft,,117,120
4,3:52.0,,Defensive rebound by D. DeRozan,117,120
4,3:39.0,,L. Aldridge makes 2-pt jump shot from 13 ft,117,122
4,3:31.0,P. George misses 2-pt layup from 9 ft (block by D. DeRozan),,117,122
4,3:31.0,,Defensive rebound by Team,117,122
4,3:14.0,,L. Aldridge makes 2-pt jump shot from 11 ft (assist by D. Bertāns),117,124
4,2:58.0,P. George misses 2-pt jump shot from 23 ft,,117,124
4,2:56.0,,Defensive rebound by D. Bertāns,117,124
