QUARTER,TIME_REMAINING,ATLANTA_ACTION,MILWAUKEE_ACTION,ATLANTA_SCORE,MILWAUKEE_SCORE
2,11:06.0,Defensive rebound by T. Young,,16,43
2,11:00.0,K. Huerter makes 3-pt jump shot from 28 ft (assist by T. Young),,19,43
2,10:32.0,,B. Lopez misses 2-pt jump shot from 10 ft,19,43
2,10:32.0,,Offensive rebound by Team,19,43
2,10:32.0,Loose ball foul by T. Young (drawn by G. Hill),,19,43
2,10:32.0,,E. Bledsoe enters the game for G. Hill,19,43
2,10:24.0,,G. Antetokounmpo makes 2-pt jump shot from 18 ft,19,45
2,10:06.0,Turnover by D. Dedmon (bad pass; steal by T. Snell),,19,45
2,10:04.0,,Personal take foul by D. Dedmon (drawn by G. Antetokounmpo),19,45
2,10:02.0,,E. Bledsoe misses 2-pt layup from 3 ft,19,45
2,9:59.0,Defensive rebound by D. Dedmon,,19,45
2,9:52.0,T. Young misses 2-pt jump shot from 19 ft (block by E. Bledsoe),,19,45
2,9:48.0,,Defensive rebound by M. Brogdon,19,45
2,9:42.0,,M. Brogdon misses 3-pt jump shot from 27 ft,19,45
2,9:39.0,Defensive rebound by J. Collins,,19,45
2,9:29.0,Shooting foul by G. Antetokounmpo (drawn by J. Collins),,19,45
2,9:29.0,J. Collins makes free throw 1 of 2,,20,45
2,9:29.0,A. Len enters the game for D. Dedmon,,20,45
2,9:29.0,J. Collins misses free throw 2 of 2,,20,45
2,9:25.0,,Defensive rebound by B. Lopez,20,45
2,9:10.0,,Shooting foul by J. Collins (drawn by B. Lopez),20,45
2,9:10.0,,B. Lopez misses free throw 1 of 2,20,45
2,9:10.0,,Offensive rebound by Team,20,45
2,9:10.0,,B. Lopez makes free throw 2 of 2,20,46
2,8:49.0,K. Huerter misses 2-pt jump shot from 8 ft,,20,46
2,8:49.0,,Defensive rebound by Team,20,46
2,8:38.0,,T. Snell misses 2-pt jump shot from 20 ft,20,46
2,8:35.0,,Offensive rebound by G. Antetokounmpo,20,46
2,8:34.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,20,48
2,8:20.0,A. Len makes 2-pt dunk from 1 ft (assist by D. Hamilton),,22,48
2,8:06.0,,E. Bledsoe misses 3-pt jump shot from 22 ft,22,48
2,8:03.0,Defensive rebound by A. Len,,22,48
2,7:56.0,J. Collins misses 3-pt jump shot from 25 ft,,22,48
2,7:52.0,,Defensive rebound by E. Bledsoe,22,48
2,7:46.0,,M. Brogdon makes 2-pt layup from 2 ft,22,50
2,7:44.0,Atlanta full timeout,,22,50
2,7:44.0,D. Dedmon enters the game for A. Len,,22,50
2,7:44.0,,K. Middleton enters the game for G. Antetokounmpo,22,50
2,7:44.0,,D. Wilson enters the game for T. Snell,22,50
2,7:26.0,J. Collins misses 2-pt layup from 4 ft (block by B. Lopez),,22,50
2,7:23.0,,Defensive rebound by E. Bledsoe,22,50
2,7:21.0,,E. Bledsoe makes 2-pt layup from 1 ft,22,52
2,7:05.0,D. Dedmon makes 2-pt jump shot from 11 ft (assist by T. Young),,24,52
2,6:43.0,,M. Brogdon makes 2-pt layup from 2 ft,24,54
2,6:27.0,D. Dedmon makes 3-pt jump shot from 25 ft (assist by T. Young),,27,54
2,6:14.0,,K. Middleton makes 2-pt jump shot from 11 ft,27,56
2,5:54.0,Turnover by D. Hamilton (lost ball; steal by K. Middleton),,27,56
2,5:44.0,,Turnover by M. Brogdon (bad pass; steal by J. Collins),27,56
2,5:41.0,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),,29,56
2,5:41.0,Shooting foul by B. Lopez (drawn by J. Collins),,29,56
2,5:41.0,D. Bembry enters the game for D. Hamilton,,29,56
2,5:41.0,J. Lin enters the game for K. Huerter,,29,56
2,5:41.0,,G. Hill enters the game for M. Brogdon,29,56
2,5:41.0,,E. İlyasova enters the game for B. Lopez,29,56
2,5:41.0,J. Collins misses free throw 1 of 1,,29,56
2,5:31.0,,Defensive rebound by E. İlyasova,29,56
2,5:31.0,,Shooting foul by D. Bembry (drawn by K. Middleton),29,56
2,5:31.0,,K. Middleton misses free throw 1 of 2,29,56
2,5:31.0,,Offensive rebound by Team,29,56
2,5:31.0,,K. Middleton makes free throw 2 of 2,29,57
2,5:13.0,J. Lin misses 2-pt jump shot from 16 ft,,29,57
2,5:07.0,,Defensive rebound by E. Bledsoe,29,57
2,5:05.0,,E. Bledsoe makes 2-pt layup from 2 ft,29,59
2,4:48.0,Turnover by T. Young (bad pass; steal by D. Wilson),,29,59
2,4:43.0,,E. Bledsoe misses 2-pt layup from 3 ft,29,59
2,4:42.0,,G. Hill makes 2-pt layup from 2 ft,29,61
2,4:42.0,,Offensive rebound by G. Hill,29,61
2,4:42.0,Atlanta full timeout,,29,61
2,4:42.0,J. Anderson enters the game for J. Collins,,29,61
2,4:42.0,K. Huerter enters the game for T. Young,,29,61
2,4:29.0,Personal foul by E. Bledsoe (drawn by K. Huerter),,29,61
2,4:18.0,D. Bembry makes 2-pt layup from 1 ft,,31,61
2,4:07.0,,E. İlyasova makes 2-pt jump shot from 7 ft (assist by E. Bledsoe),31,63
2,3:42.0,K. Huerter misses 3-pt jump shot from 26 ft,,31,63
2,3:39.0,,Defensive rebound by G. Hill,31,63
2,3:27.0,,E. İlyasova misses 3-pt jump shot from 26 ft,31,63
2,3:27.0,Defensive rebound by Team,,31,63
2,3:27.0,,P. Connaughton enters the game for E. Bledsoe,31,63
2,3:19.0,Personal foul by P. Connaughton (drawn by K. Huerter),,31,63
2,3:12.0,Turnover by K. Huerter (bad pass; steal by G. Hill),,31,63
2,3:09.0,,Shooting foul by D. Dedmon (drawn by G. Hill),31,63
2,3:09.0,,G. Hill makes free throw 1 of 2,31,64
2,3:09.0,T. Dorsey enters the game for D. Bembry,,31,64
2,3:09.0,A. Len enters the game for D. Dedmon,,31,64
2,3:09.0,,G. Hill makes free throw 2 of 2,31,65
2,2:58.0,Shooting foul by E. İlyasova (drawn by A. Len),,31,65
2,2:58.0,A. Len makes free throw 1 of 2,,32,65
2,2:58.0,A. Len makes free throw 2 of 2,,33,65
2,2:51.0,,Personal foul by J. Lin (drawn by G. Hill),33,65
2,2:51.0,,G. Hill misses free throw 1 of 2,33,65
2,2:51.0,,Offensive rebound by Team,33,65
2,2:51.0,,G. Hill makes free throw 2 of 2,33,66
2,2:35.0,Turnover by J. Lin (bad pass; steal by E. İlyasova),,33,66
2,2:31.0,,E. İlyasova makes 2-pt layup from 2 ft (assist by P. Connaughton),33,68
2,2:22.0,Shooting foul by P. Connaughton (drawn by K. Huerter),,33,68
2,2:22.0,K. Huerter misses free throw 1 of 2,,33,68
2,2:22.0,Offensive rebound by Team,,33,68
2,2:22.0,,M. Brogdon enters the game for G. Hill,33,68
2,2:22.0,,T. Maker enters the game for E. İlyasova,33,68
2,2:22.0,,T. Snell enters the game for K. Middleton,33,68
2,2:22.0,K. Huerter makes free throw 2 of 2,,34,68
2,2:09.0,,Personal foul by J. Lin (drawn by M. Brogdon),34,68
2,2:09.0,,M. Brogdon makes free throw 1 of 2,34,69
2,2:09.0,,M. Brogdon makes free throw 2 of 2,34,70
2,2:02.0,Personal foul by M. Brogdon (drawn by J. Lin),,34,70
2,2:02.0,J. Lin makes free throw 1 of 2,,35,70
2,2:02.0,,J. Smith enters the game for D. Wilson,35,70
2,2:02.0,J. Lin makes free throw 2 of 2,,36,70
2,1:53.0,,P. Connaughton misses 2-pt layup from 3 ft (block by T. Dorsey),36,70
2,1:48.0,Defensive rebound by K. Huerter,,36,70
2,1:43.0,T. Dorsey misses 3-pt jump shot from 24 ft,,36,70
2,1:40.0,,Defensive rebound by M. Brogdon,36,70
2,1:32.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by M. Brogdon),36,73
2,1:18.0,J. Lin makes 2-pt layup from 3 ft,,38,73
2,1:09.0,,M. Brogdon makes 2-pt layup from 1 ft,38,75
2,1:09.0,,Shooting foul by T. Dorsey (drawn by M. Brogdon),38,75
2,1:09.0,,M. Brogdon makes free throw 1 of 1,38,76
2,1:00.0,J. Anderson misses 2-pt hook shot from 8 ft,,38,76
2,0:55.0,Offensive rebound by A. Len,,38,76
2,0:52.0,T. Dorsey makes 3-pt jump shot from 27 ft (assist by A. Len),,41,76
2,0:41.0,,T. Maker misses 2-pt layup from 2 ft,41,76
2,0:38.0,Defensive rebound by T. Dorsey,,41,76
2,0:34.0,Shooting foul by J. Smith (drawn by J. Lin),,41,76
2,0:34.0,J. Lin makes free throw 1 of 2,,42,76
2,0:34.0,J. Lin makes free throw 2 of 2,,43,76
2,0:27.0,,T. Maker misses 3-pt jump shot from 25 ft,43,76
2,0:25.0,Defensive rebound by A. Len,,43,76
2,0:18.0,J. Lin misses 2-pt layup from 2 ft (block by T. Maker),,43,76
2,0:14.0,,Defensive rebound by J. Smith,43,76
2,0:00.0,,T. Maker misses 3-pt jump shot from 22 ft,43,76
2,0:00.0,Defensive rebound by A. Len,,43,76
2,0:00.0,A. Len misses 3-pt jump shot from 60 ft (block by T. Snell),,43,76
2,0:00.0,Offensive rebound by Team,,43,76
3,11:40.0,Shooting foul by E. Bledsoe (drawn by D. Bembry),,43,76
3,11:40.0,D. Bembry makes free throw 1 of 2,,44,76
3,11:40.0,D. Bembry makes free throw 2 of 2,,45,76
3,11:30.0,,E. Bledsoe makes 2-pt layup from 1 ft,45,78
3,11:18.0,D. Dedmon makes 3-pt jump shot from 27 ft (assist by T. Young),,48,78
3,11:00.0,,Shooting foul by J. Collins (drawn by M. Brogdon),48,78
3,11:00.0,,M. Brogdon makes free throw 1 of 2,48,79
3,11:00.0,,M. Brogdon makes free throw 2 of 2,48,80
3,10:46.0,D. Bembry makes 3-pt jump shot from 25 ft (assist by D. Dedmon),,51,80
3,10:33.0,,K. Middleton makes 2-pt jump shot from 19 ft (assist by G. Antetokounmpo),51,82
3,10:18.0,D. Dedmon makes 3-pt jump shot from 27 ft (assist by T. Young),,54,82
3,10:09.0,,Turnover by K. Middleton (lost ball; steal by T. Young),54,82
3,9:53.0,Turnover by D. Dedmon (bad pass),,54,82
3,9:40.0,,Shooting foul by K. Huerter (drawn by M. Brogdon),54,82
3,9:40.0,,M. Brogdon makes free throw 1 of 2,54,83
3,9:40.0,,M. Brogdon makes free throw 2 of 2,54,84
3,9:33.0,K. Huerter misses 3-pt jump shot from 27 ft,,54,84
3,9:28.0,,Defensive rebound by E. Bledsoe,54,84
3,9:25.0,,Turnover by E. Bledsoe (bad pass; steal by J. Collins),54,84
3,9:20.0,D. Bembry makes 3-pt jump shot from 28 ft (assist by J. Collins),,57,84
3,9:07.0,,K. Middleton makes 2-pt jump shot from 8 ft,57,86
3,8:54.0,D. Dedmon misses 3-pt jump shot from 27 ft,,57,86
3,8:52.0,Offensive rebound by J. Collins,,57,86
3,8:51.0,J. Collins misses 2-pt layup from 2 ft (block by G. Antetokounmpo),,57,86
3,8:51.0,,Defensive rebound by K. Middleton,57,86
3,8:47.0,,Personal foul by D. Bembry (drawn by K. Middleton),57,86
3,8:39.0,,Shooting foul by D. Dedmon (drawn by G. Antetokounmpo),57,86
3,8:39.0,,G. Antetokounmpo misses free throw 1 of 2,57,86
3,8:39.0,,Offensive rebound by Team,57,86
3,8:39.0,A. Len enters the game for D. Dedmon,,57,86
3,8:39.0,,G. Antetokounmpo misses free throw 2 of 2,57,86
3,8:35.0,Defensive rebound by J. Collins,,57,86
3,8:27.0,T. Young misses 3-pt jump shot from 27 ft,,57,86
3,8:24.0,,Defensive rebound by B. Lopez,57,86
3,8:14.0,,E. Bledsoe misses 2-pt layup from 7 ft,57,86
3,8:09.0,,Offensive rebound by E. Bledsoe,57,86
3,8:07.0,,Personal foul by T. Young (drawn by B. Lopez),57,86
3,8:07.0,,B. Lopez misses free throw 1 of 2,57,86
3,8:07.0,,Offensive rebound by Team,57,86
3,8:07.0,,B. Lopez makes free throw 2 of 2,57,87
3,7:59.0,A. Len makes 3-pt jump shot from 26 ft (assist by T. Young),,60,87
3,7:42.0,,Shooting foul by J. Collins (drawn by G. Antetokounmpo),60,87
3,7:42.0,,G. Antetokounmpo makes free throw 1 of 2,60,88
3,7:42.0,,G. Antetokounmpo makes free throw 2 of 2,60,89
3,7:33.0,Personal foul by E. Bledsoe (drawn by T. Young),,60,89
3,7:33.0,V. Carter enters the game for J. Collins,,60,89
3,7:33.0,,P. Connaughton enters the game for M. Brogdon,60,89
3,7:25.0,Turnover by A. Len (dbl dribble),,60,89
3,7:13.0,,B. Lopez misses 3-pt jump shot from 26 ft,60,89
3,7:10.0,Defensive rebound by A. Len,,60,89
3,7:04.0,V. Carter makes 3-pt jump shot from 28 ft (assist by T. Young),,63,89
3,6:50.0,,G. Antetokounmpo makes 2-pt hook shot from 4 ft (assist by K. Middleton),63,91
3,6:28.0,A. Len misses 3-pt jump shot from 25 ft,,63,91
3,6:25.0,,Defensive rebound by G. Antetokounmpo,63,91
3,6:15.0,,K. Middleton makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),63,94
3,5:59.0,Turnover by K. Huerter (bad pass; steal by G. Antetokounmpo),,63,94
3,5:53.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),63,97
3,5:52.0,Atlanta full timeout,,63,97
3,5:52.0,D. Hamilton enters the game for D. Bembry,,63,97
3,5:52.0,J. Lin enters the game for T. Young,,63,97
3,5:38.0,Shooting foul by G. Antetokounmpo (drawn by A. Len),,63,97
3,5:38.0,A. Len misses free throw 1 of 3,,63,97
3,5:38.0,Offensive rebound by Team,,63,97
3,5:38.0,A. Len misses free throw 2 of 3,,63,97
3,5:38.0,Offensive rebound by Team,,63,97
3,5:38.0,A. Len makes free throw 3 of 3,,64,97
3,5:24.0,,E. Bledsoe misses 2-pt jump shot from 16 ft,64,97
3,5:22.0,Defensive rebound by D. Hamilton,,64,97
3,5:18.0,V. Carter makes 3-pt jump shot from 24 ft (assist by J. Lin),,67,97
3,5:03.0,,E. Bledsoe makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),67,99
3,4:45.0,Turnover by D. Hamilton (bad pass; steal by B. Lopez),,67,99
3,4:41.0,,Turnover by E. Bledsoe (bad pass),67,99
3,4:41.0,,G. Hill enters the game for E. Bledsoe,67,99
3,4:31.0,J. Lin makes 2-pt jump shot from 9 ft (assist by V. Carter),,69,99
3,4:20.0,,K. Middleton makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),69,102
3,4:06.0,Shooting foul by B. Lopez (drawn by A. Len),,69,102
3,4:06.0,A. Len misses free throw 1 of 2,,69,102
3,4:06.0,Offensive rebound by Team,,69,102
3,4:06.0,T. Dorsey enters the game for D. Hamilton,,69,102
3,4:06.0,,E. İlyasova enters the game for G. Antetokounmpo,69,102
3,4:06.0,,D. Wilson enters the game for B. Lopez,69,102
3,4:06.0,A. Len misses free throw 2 of 2,,69,102
3,4:02.0,,Defensive rebound by E. İlyasova,69,102
3,3:51.0,,D. Wilson makes 2-pt layup from 4 ft (assist by K. Middleton),69,104
3,3:51.0,,T. Snell enters the game for K. Middleton,69,104
3,3:28.0,K. Huerter misses 2-pt layup from 3 ft,,69,104
3,3:25.0,Offensive rebound by A. Len,,69,104
3,3:25.0,A. Len makes 2-pt layup at rim,,71,104
3,3:08.0,,G. Hill makes 3-pt jump shot from 25 ft (assist by D. Wilson),71,107
3,2:58.0,Turnover by V. Carter (bad pass),,71,107
3,2:58.0,,Milwaukee full timeout,71,107
3,2:58.0,J. Anderson enters the game for V. Carter,,71,107
3,2:58.0,J. Collins enters the game for K. Huerter,,71,107
3,2:40.0,,E. İlyasova makes 2-pt jump shot from 18 ft (assist by T. Snell),71,109
3,2:26.0,Turnover by J. Collins (out of bounds lost ball),,71,109
3,2:16.0,,T. Snell makes 2-pt layup from 1 ft (assist by D. Wilson),71,111
3,2:03.0,A. Len misses 2-pt jump shot from 12 ft,,71,111
3,2:01.0,,Defensive rebound by P. Connaughton,71,111
3,1:52.0,,P. Connaughton makes 2-pt layup from 5 ft (assist by E. İlyasova),71,113
3,1:39.0,J. Lin misses 3-pt jump shot from 25 ft,,71,113
3,1:36.0,,Defensive rebound by P. Connaughton,71,113
3,1:34.0,,Turnover by P. Connaughton (lost ball; steal by A. Len),71,113
3,1:31.0,A. Len makes 2-pt layup from 1 ft,,73,113
3,1:20.0,,T. Snell misses 2-pt layup from 3 ft (block by A. Len),73,113
3,1:20.0,,Offensive rebound by Team,73,113
3,1:07.0,,D. Wilson makes 3-pt jump shot from 24 ft (assist by P. Connaughton),73,116
3,0:58.0,J. Collins makes 2-pt jump shot from 8 ft (assist by J. Lin),,75,116
3,0:58.0,Shooting foul by D. Wilson (drawn by J. Collins),,75,116
3,0:58.0,D. Bembry enters the game for A. Len,,75,116
3,0:58.0,J. Collins makes free throw 1 of 1,,76,116
3,0:46.0,,G. Hill misses 3-pt jump shot from 26 ft,76,116
3,0:43.0,,Offensive rebound by T. Snell,76,116
3,0:30.0,,Turnover by T. Snell (bad pass; steal by D. Bembry),76,116
3,0:28.0,T. Dorsey makes 2-pt layup from 1 ft,,78,116
3,0:28.0,Shooting foul by P. Connaughton (drawn by T. Dorsey),,78,116
3,0:28.0,T. Dorsey makes free throw 1 of 1,,79,116
3,0:07.0,,G. Hill makes 2-pt jump shot from 8 ft (assist by T. Snell),79,118
3,0:02.0,D. Bembry misses 2-pt layup from 3 ft,,79,118
3,0:02.0,,Defensive rebound by E. İlyasova,79,118
4,11:38.0,,T. Maker misses 3-pt jump shot from 26 ft,79,118
4,11:35.0,Defensive rebound by J. Anderson,,79,118
4,11:19.0,D. Dedmon misses 3-pt jump shot from 25 ft,,79,118
4,11:16.0,,Defensive rebound by T. Snell,79,118
4,11:05.0,,Turnover by J. Smith (lost ball; steal by D. Dedmon),79,118
4,11:00.0,D. Bembry makes 2-pt dunk from 1 ft (assist by J. Lin),,81,118
4,10:39.0,,Personal foul by J. Lin (drawn by T. Maker),81,118
4,10:35.0,,D. Wilson misses 2-pt jump shot from 8 ft,81,118
4,10:32.0,Defensive rebound by T. Dorsey,,81,118
4,10:30.0,T. Dorsey misses 3-pt jump shot from 27 ft,,81,118
4,10:27.0,,Defensive rebound by D. Wilson,81,118
4,10:09.0,,J. Smith makes 3-pt jump shot from 24 ft (assist by G. Hill),81,121
4,9:55.0,J. Anderson makes 3-pt jump shot from 27 ft (assist by J. Lin),,84,121
4,9:39.0,,G. Hill makes 2-pt layup from 1 ft (assist by D. Wilson),84,123
4,9:21.0,J. Anderson misses 2-pt layup from 4 ft,,84,123
4,9:18.0,,Defensive rebound by T. Snell,84,123
4,9:12.0,,Shooting foul by D. Dedmon (drawn by T. Maker),84,123
