QUARTER,TIME_REMAINING,BOSTON_ACTION,CLEVELAND_ACTION,BOSTON_SCORE,CLEVELAND_SCORE
2,10:12.0,,L. Nance makes 3-pt jump shot from 25 ft (assist by J. Clarkson),30,36
2,9:52.0,J. Brown makes 2-pt jump shot from 10 ft (assist by D. Theis),,32,36
2,9:31.0,,Turnover by J. Clarkson (bad pass; steal by D. Theis),32,36
2,9:28.0,G. Hayward makes 2-pt layup from 2 ft (assist by S. Ojeleye),,34,36
2,9:28.0,,Cleveland full timeout,34,36
2,9:28.0,,A. Burks enters the game for C. Sexton,34,36
2,9:10.0,,M. Dellavedova misses 3-pt jump shot from 26 ft,34,36
2,9:08.0,,Offensive rebound by J. Clarkson,34,36
2,8:54.0,,J. Clarkson misses 3-pt jump shot from 25 ft,34,36
2,8:51.0,Defensive rebound by G. Hayward,,34,36
2,8:40.0,D. Theis makes 2-pt dunk from 1 ft (assist by G. Hayward),,36,36
2,8:25.0,Violation by Team (kicked ball),,36,36
2,8:25.0,,D. Adel enters the game for J. Blossomgame,36,36
2,8:13.0,,D. Adel misses 3-pt jump shot from 26 ft,36,36
2,8:09.0,Defensive rebound by J. Brown,,36,36
2,8:03.0,J. Brown misses 2-pt layup from 1 ft,,36,36
2,8:00.0,,Defensive rebound by A. Burks,36,36
2,7:55.0,,Turnover by A. Burks (bad pass; steal by S. Ojeleye),36,36
2,7:54.0,Personal take foul by L. Nance (drawn by S. Ojeleye),,36,36
2,7:54.0,,C. Sexton enters the game for M. Dellavedova,36,36
2,7:46.0,G. Hayward misses 2-pt layup from 1 ft,,36,36
2,7:43.0,,Defensive rebound by L. Nance,36,36
2,7:41.0,,Turnover by L. Nance (bad pass; steal by J. Brown),36,36
2,7:37.0,J. Brown makes 2-pt dunk from 1 ft,,38,36
2,7:14.0,,L. Nance misses 2-pt jump shot from 3 ft (block by D. Theis),38,36
2,7:08.0,,Offensive rebound by L. Nance,38,36
2,7:08.0,,Turnover by L. Nance (lost ball; steal by S. Ojeleye),38,36
2,7:08.0,J. Brown makes 2-pt dunk at rim (assist by S. Ojeleye),,40,36
2,7:08.0,,Cleveland full timeout,40,36
2,7:08.0,T. Rozier enters the game for G. Hayward,,40,36
2,7:08.0,,D. Nwaba enters the game for J. Clarkson,40,36
2,7:08.0,,A. Žižić enters the game for L. Nance,40,36
2,6:56.0,,Turnover by C. Sexton (bad pass; steal by J. Brown),40,36
2,6:51.0,B. Wanamaker makes 2-pt layup from 1 ft,,42,36
2,6:37.0,,C. Sexton makes 2-pt jump shot from 13 ft,42,38
2,6:22.0,B. Wanamaker misses 3-pt jump shot from 27 ft,,42,38
2,6:19.0,,Defensive rebound by D. Nwaba,42,38
2,6:10.0,,C. Sexton misses 3-pt jump shot from 27 ft,42,38
2,6:08.0,Defensive rebound by S. Ojeleye,,42,38
2,5:58.0,T. Rozier makes 2-pt layup from 1 ft,,44,38
2,5:34.0,,A. Burks makes 2-pt jump shot from 16 ft,44,40
2,5:12.0,J. Brown misses 3-pt jump shot from 24 ft,,44,40
2,5:10.0,,Defensive rebound by A. Burks,44,40
2,4:53.0,,A. Burks makes 2-pt jump shot from 11 ft,44,42
2,4:53.0,,Shooting foul by S. Ojeleye (drawn by A. Burks),44,42
2,4:53.0,A. Horford enters the game for D. Theis,,44,42
2,4:53.0,J. Tatum enters the game for B. Wanamaker,,44,42
2,4:53.0,,A. Burks makes free throw 1 of 1,44,43
2,4:38.0,J. Brown makes 2-pt jump shot from 2 ft (assist by J. Tatum),,46,43
2,4:10.0,,A. Burks misses 2-pt jump shot from 24 ft,46,43
2,4:07.0,Defensive rebound by J. Brown,,46,43
2,3:59.0,A. Horford misses 3-pt jump shot from 26 ft,,46,43
2,3:57.0,,Defensive rebound by A. Žižić,46,43
2,3:48.0,,C. Sexton makes 2-pt jump shot from 1 ft,46,45
2,3:40.0,T. Rozier misses 3-pt jump shot from 27 ft,,46,45
2,3:36.0,,Defensive rebound by A. Žižić,46,45
2,3:29.0,,C. Sexton misses 2-pt layup from 1 ft,46,45
2,3:27.0,Defensive rebound by J. Tatum,,46,45
2,3:16.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by T. Rozier),,49,45
2,2:51.0,,Personal foul by T. Rozier (drawn by C. Sexton),49,45
2,2:51.0,G. Hayward enters the game for J. Brown,,49,45
2,2:51.0,M. Smart enters the game for S. Ojeleye,,49,45
2,2:41.0,Violation by Team (kicked ball),,49,45
2,2:28.0,,A. Burks makes 2-pt jump shot from 10 ft,49,47
2,2:09.0,A. Horford makes 2-pt jump shot from 14 ft,,51,47
2,1:45.0,,C. Sexton misses 2-pt jump shot from 17 ft,51,47
2,1:41.0,Defensive rebound by T. Rozier,,51,47
2,1:40.0,Offensive foul by T. Rozier (drawn by D. Adel),,51,47
2,1:40.0,Turnover by T. Rozier (offensive foul),,51,47
2,1:17.0,,C. Sexton makes 2-pt jump shot from 5 ft (assist by D. Adel),51,49
2,1:00.0,G. Hayward makes 2-pt jump shot from 7 ft,,53,49
2,0:47.0,,A. Burks misses 2-pt jump shot from 5 ft,53,49
2,0:45.0,,Offensive rebound by A. Burks,53,49
2,0:45.0,,A. Burks makes 2-pt layup from 1 ft,53,51
2,0:32.0,A. Horford makes 3-pt jump shot from 25 ft (assist by G. Hayward),,56,51
2,0:06.0,,C. Sexton misses 2-pt jump shot from 9 ft,56,51
2,0:03.0,Defensive rebound by M. Smart,,56,51
2,0:01.0,T. Rozier makes 3-pt jump shot from 30 ft (assist by M. Smart),,59,51
3,11:47.0,Turnover by A. Horford (bad pass),,59,51
3,11:36.0,,C. Sexton misses 2-pt layup from 2 ft (block by A. Horford),59,51
3,11:35.0,,Offensive rebound by A. Žižić,59,51
3,11:34.0,,A. Žižić makes 2-pt layup from 1 ft,59,53
3,11:17.0,T. Rozier misses 3-pt jump shot from 27 ft,,59,53
3,11:15.0,,Defensive rebound by A. Žižić,59,53
3,10:52.0,,D. Nwaba makes 2-pt layup from 1 ft (assist by A. Žižić),59,55
3,10:42.0,M. Smart makes 3-pt jump shot from 26 ft (assist by T. Rozier),,62,55
3,10:12.0,,C. Sexton makes 2-pt jump shot from 5 ft,62,57
3,10:03.0,T. Rozier misses 3-pt jump shot from 23 ft,,62,57
3,10:00.0,Offensive rebound by A. Horford,,62,57
3,9:54.0,J. Brown misses 2-pt jump shot from 13 ft,,62,57
3,9:52.0,Offensive rebound by J. Brown,,62,57
3,9:50.0,J. Brown misses 2-pt layup from 2 ft,,62,57
3,9:47.0,,Defensive rebound by A. Žižić,62,57
3,9:42.0,,D. Adel misses 3-pt jump shot from 27 ft (block by J. Tatum),62,57
3,9:39.0,Defensive rebound by M. Smart,,62,57
3,9:31.0,J. Tatum misses 2-pt jump shot from 5 ft,,62,57
3,9:28.0,,Defensive rebound by D. Adel,62,57
3,9:23.0,,A. Burks misses 2-pt layup from 1 ft (block by A. Horford),62,57
3,9:20.0,Defensive rebound by M. Smart,,62,57
3,9:13.0,J. Tatum misses 2-pt jump shot from 21 ft,,62,57
3,9:10.0,,Defensive rebound by D. Nwaba,62,57
3,9:05.0,,D. Nwaba makes 2-pt jump shot from 10 ft,62,59
3,9:04.0,Boston full timeout,,62,59
3,8:50.0,M. Smart misses 2-pt jump shot from 12 ft,,62,59
3,8:47.0,,Defensive rebound by A. Žižić,62,59
3,8:34.0,,Turnover by C. Sexton (bad pass; steal by M. Smart),62,59
3,8:32.0,T. Rozier misses 2-pt layup from 1 ft,,62,59
3,8:30.0,Offensive rebound by A. Horford,,62,59
3,8:30.0,A. Horford makes 2-pt layup at rim,,64,59
3,8:05.0,,A. Žižić misses 2-pt layup from 2 ft,64,59
3,8:03.0,Defensive rebound by J. Brown,,64,59
3,7:59.0,Turnover by J. Brown (lost ball; steal by A. Burks),,64,59
3,7:53.0,,D. Nwaba misses 2-pt layup from 1 ft,64,59
3,7:46.0,,Offensive rebound by A. Žižić,64,59
3,7:46.0,,A. Žižić makes 2-pt layup from 1 ft,64,61
3,7:34.0,J. Brown misses 3-pt jump shot from 26 ft,,64,61
3,7:31.0,,Defensive rebound by A. Žižić,64,61
3,7:23.0,,Personal foul by T. Rozier (drawn by C. Sexton),64,61
3,7:23.0,G. Hayward enters the game for J. Brown,,64,61
3,7:23.0,,J. Clarkson enters the game for D. Nwaba,64,61
3,7:08.0,,D. Adel makes 2-pt jump shot from 2 ft,64,63
3,7:01.0,Turnover by T. Rozier (bad pass; steal by C. Sexton),,64,63
3,6:54.0,,C. Sexton misses 2-pt layup from 1 ft,64,63
3,6:51.0,,Offensive rebound by C. Sexton,64,63
3,6:49.0,,C. Sexton makes 2-pt jump shot from 13 ft,64,65
3,6:35.0,A. Horford misses 3-pt jump shot from 25 ft,,64,65
3,6:32.0,,Defensive rebound by J. Clarkson,64,65
3,6:25.0,,C. Sexton misses 3-pt jump shot from 22 ft,64,65
3,6:22.0,Defensive rebound by J. Tatum,,64,65
3,6:13.0,G. Hayward makes 2-pt dunk from 1 ft (assist by A. Horford),,66,65
3,5:55.0,,C. Sexton makes 3-pt jump shot from 26 ft (assist by J. Clarkson),66,68
3,5:32.0,G. Hayward misses 2-pt jump shot from 13 ft,,66,68
3,5:30.0,,Defensive rebound by A. Žižić,66,68
3,5:20.0,,A. Burks makes 2-pt jump shot from 17 ft,66,70
3,5:11.0,M. Smart makes 3-pt jump shot from 25 ft,,69,70
3,5:11.0,Shooting foul by D. Adel (drawn by M. Smart),,69,70
3,5:11.0,,L. Nance enters the game for A. Žižić,69,70
3,5:11.0,M. Smart makes free throw 1 of 1,,70,70
3,4:54.0,,Turnover by A. Burks (bad pass; steal by T. Rozier),70,70
3,4:53.0,Personal take foul by C. Sexton (drawn by T. Rozier),,70,70
3,4:53.0,,J. Blossomgame enters the game for D. Adel,70,70
3,4:43.0,Turnover by G. Hayward (bad pass; steal by A. Burks),,70,70
3,4:40.0,,A. Burks misses 2-pt layup from 1 ft (block by G. Hayward),70,70
3,4:40.0,,Offensive rebound by Team,70,70
3,4:37.0,,J. Clarkson misses 2-pt jump shot from 13 ft,70,70
3,4:34.0,Defensive rebound by T. Rozier,,70,70
3,4:28.0,T. Rozier misses 2-pt jump shot from 10 ft,,70,70
3,4:25.0,,Defensive rebound by L. Nance,70,70
3,4:16.0,,J. Clarkson misses 3-pt jump shot from 25 ft,70,70
3,4:14.0,Defensive rebound by M. Smart,,70,70
3,4:04.0,J. Tatum makes 2-pt jump shot from 16 ft,,72,70
3,3:39.0,,Turnover by A. Burks (bad pass; steal by T. Rozier),72,70
3,3:39.0,Personal foul by A. Burks (drawn by T. Rozier),,72,70
3,3:39.0,J. Brown enters the game for T. Rozier,,72,70
3,3:39.0,,M. Dellavedova enters the game for A. Burks,72,70
3,3:29.0,J. Tatum makes 2-pt layup from 1 ft (assist by M. Smart),,74,70
3,3:18.0,,Shooting foul by M. Smart (drawn by C. Sexton),74,70
3,3:18.0,,C. Sexton makes free throw 1 of 2,74,71
3,3:18.0,D. Theis enters the game for A. Horford,,74,71
3,3:18.0,,C. Sexton makes free throw 2 of 2,74,72
3,3:06.0,G. Hayward makes 2-pt jump shot from 15 ft (assist by D. Theis),,76,72
3,2:52.0,,Turnover by M. Dellavedova (bad pass),76,72
3,2:52.0,,Cleveland full timeout,76,72
3,2:46.0,Personal foul by J. Clarkson (drawn by J. Tatum),,76,72
3,2:36.0,Shooting foul by J. Clarkson (drawn by J. Tatum),,76,72
3,2:36.0,J. Tatum makes free throw 1 of 2,,77,72
3,2:36.0,J. Tatum makes free throw 2 of 2,,78,72
3,2:23.0,,M. Dellavedova makes 3-pt jump shot from 25 ft (assist by L. Nance),78,75
3,2:12.0,M. Smart misses 3-pt jump shot from 25 ft,,78,75
3,2:09.0,,Defensive rebound by L. Nance,78,75
3,1:55.0,,M. Dellavedova misses 3-pt jump shot from 25 ft,78,75
3,1:52.0,Defensive rebound by J. Tatum,,78,75
3,1:44.0,J. Brown makes 3-pt jump shot from 28 ft (assist by J. Tatum),,81,75
3,1:24.0,,J. Clarkson misses 2-pt jump shot from 6 ft (block by D. Theis),81,75
3,1:23.0,Defensive rebound by J. Tatum,,81,75
3,1:23.0,Personal foul by L. Nance (drawn by J. Tatum),,81,75
3,1:23.0,J. Tatum makes free throw 1 of 2,,82,75
3,1:23.0,B. Wanamaker enters the game for M. Smart,,82,75
3,1:23.0,J. Tatum makes free throw 2 of 2,,83,75
3,1:12.0,,Turnover by M. Dellavedova (bad pass),83,75
3,0:57.0,G. Hayward makes 2-pt jump shot from 19 ft (assist by D. Theis),,85,75
3,0:47.0,,L. Nance makes 2-pt jump shot from 10 ft (assist by C. Sexton),85,77
3,0:33.0,J. Tatum misses 3-pt jump shot from 27 ft,,85,77
3,0:30.0,,Defensive rebound by C. Sexton,85,77
3,0:07.0,,J. Blossomgame misses 3-pt jump shot from 23 ft,85,77
3,0:03.0,,Offensive rebound by L. Nance,85,77
3,0:03.0,,L. Nance makes 2-pt layup from 1 ft,85,79
3,0:00.0,Turnover by J. Tatum (bad pass; steal by M. Dellavedova),,85,79
4,11:43.0,,J. Clarkson makes 3-pt jump shot from 26 ft (assist by M. Dellavedova),85,82
4,11:32.0,G. Hayward makes 2-pt layup from 1 ft (assist by B. Wanamaker),,87,82
4,11:12.0,,J. Clarkson misses 3-pt jump shot from 26 ft,87,82
4,11:09.0,Defensive rebound by G. Hayward,,87,82
4,11:04.0,Offensive foul by J. Brown (drawn by J. Clarkson),,87,82
4,11:04.0,Turnover by J. Brown (offensive foul),,87,82
4,10:50.0,,C. Sexton misses 2-pt jump shot from 14 ft,87,82
4,10:47.0,,Offensive rebound by L. Nance,87,82
4,10:37.0,,M. Dellavedova makes 2-pt jump shot from 8 ft,87,84
4,10:19.0,J. Brown misses 3-pt jump shot from 25 ft,,87,84
4,10:16.0,,Defensive rebound by L. Nance,87,84
4,10:09.0,,M. Dellavedova misses 2-pt jump shot from 9 ft,87,84
4,10:06.0,Defensive rebound by B. Wanamaker,,87,84
4,10:04.0,B. Wanamaker makes 2-pt jump shot from 8 ft,,89,84
4,10:04.0,Shooting foul by M. Dellavedova (drawn by B. Wanamaker),,89,84
4,10:04.0,,A. Burks enters the game for C. Sexton,89,84
4,10:04.0,B. Wanamaker makes free throw 1 of 1,,90,84
4,9:56.0,,Personal foul by J. Brown (drawn by J. Blossomgame),90,84
4,9:37.0,,M. Dellavedova makes 3-pt jump shot from 31 ft (assist by J. Blossomgame),90,87
4,9:19.0,J. Brown misses 2-pt jump shot from 8 ft,,90,87
4,9:17.0,Offensive rebound by J. Brown,,90,87
4,9:16.0,J. Brown makes 2-pt layup at rim,,92,87
4,9:02.0,,J. Clarkson misses 2-pt layup from 2 ft,92,87
4,9:02.0,Defensive rebound by G. Hayward,,92,87
4,8:58.0,Offensive foul by S. Ojeleye (drawn by M. Dellavedova),,92,87
4,8:58.0,Turnover by S. Ojeleye (offensive foul),,92,87
4,8:43.0,,J. Clarkson misses 3-pt jump shot from 26 ft,92,87
4,8:40.0,Defensive rebound by D. Theis,,92,87
4,8:23.0,J. Brown misses 2-pt jump shot from 8 ft,,92,87
4,8:20.0,,Defensive rebound by J. Clarkson,92,87
4,8:00.0,,M. Dellavedova misses 3-pt jump shot from 25 ft,92,87
4,7:58.0,Defensive rebound by G. Hayward,,92,87
4,7:50.0,B. Wanamaker misses 3-pt jump shot from 22 ft,,92,87
4,7:49.0,Offensive rebound by Team,,92,87
4,7:28.0,,J. Blossomgame makes 2-pt dunk at rim (assist by M. Dellavedova),92,89
4,7:28.0,T. Rozier enters the game for J. Brown,,92,89
4,7:11.0,G. Hayward misses 3-pt jump shot from 26 ft,,92,89
4,7:09.0,,Defensive rebound by Team,92,89
4,6:58.0,,Turnover by M. Dellavedova (bad pass; steal by G. Hayward),92,89
4,6:54.0,B. Wanamaker makes 2-pt layup at rim (assist by G. Hayward),,94,89
4,6:53.0,,Cleveland full timeout,94,89
4,6:53.0,A. Horford enters the game for G. Hayward,,94,89
4,6:53.0,M. Smart enters the game for D. Theis,,94,89
4,6:26.0,,L. Nance makes 2-pt layup from 1 ft (assist by M. Dellavedova),94,91
4,6:11.0,M. Smart makes 2-pt jump shot from 11 ft (assist by A. Horford),,96,91
4,5:51.0,,J. Clarkson misses 2-pt jump shot from 11 ft,96,91
4,5:48.0,Defensive rebound by A. Horford,,96,91
4,5:33.0,Turnover by M. Smart (bad pass; steal by J. Clarkson),,96,91
4,5:27.0,,J. Clarkson misses 3-pt jump shot from 27 ft,96,91
4,5:25.0,,Offensive rebound by Team,96,91
4,5:25.0,J. Tatum enters the game for B. Wanamaker,,96,91
4,5:25.0,,D. Nwaba enters the game for J. Blossomgame,96,91
4,5:25.0,,C. Sexton enters the game for M. Dellavedova,96,91
4,5:12.0,,C. Sexton misses 3-pt jump shot from 26 ft (block by S. Ojeleye),96,91
4,5:10.0,,Offensive rebound by Team,96,91
4,5:10.0,,Turnover by Team (shot clock),96,91
4,5:03.0,Turnover by A. Horford (bad pass),,96,91
4,4:39.0,,C. Sexton misses 2-pt jump shot from 17 ft,96,91
4,4:37.0,Defensive rebound by T. Rozier,,96,91
4,4:32.0,M. Smart makes 3-pt jump shot from 29 ft (assist by T. Rozier),,99,91
4,4:07.0,,J. Clarkson misses 2-pt jump shot from 6 ft,99,91
4,4:05.0,Defensive rebound by A. Horford,,99,91
4,4:00.0,J. Tatum makes 2-pt layup from 2 ft (assist by T. Rozier),,101,91
4,4:00.0,,Cleveland full timeout,101,91
4,4:00.0,G. Hayward enters the game for S. Ojeleye,,101,91
4,4:00.0,,A. Žižić enters the game for J. Clarkson,101,91
4,3:38.0,,C. Sexton misses 2-pt jump shot from 14 ft,101,91
4,3:37.0,,Offensive rebound by Team,101,91
4,3:37.0,,Turnover by Team (shot clock),101,91
4,3:19.0,J. Tatum misses 2-pt jump shot from 18 ft,,101,91
4,3:16.0,,Defensive rebound by A. Žižić,101,91
4,3:01.0,,D. Nwaba misses 2-pt jump shot from 11 ft,101,91
4,2:58.0,,Offensive rebound by Team,101,91
4,2:58.0,Loose ball foul by A. Horford (drawn by D. Nwaba),,101,91
4,2:47.0,,A. Burks makes 2-pt dunk from 2 ft (assist by C. Sexton),101,93
4,2:27.0,A. Horford misses 2-pt jump shot from 19 ft,,101,93
4,2:24.0,,Defensive rebound by C. Sexton,101,93
4,2:20.0,,Personal foul by M. Smart (drawn by C. Sexton),101,93
4,2:05.0,,A. Burks makes 3-pt jump shot from 24 ft (assist by D. Nwaba),101,96
4,1:54.0,Personal foul by D. Nwaba (drawn by J. Tatum),,101,96
4,1:47.0,Turnover by G. Hayward (bad pass),,101,96
4,1:35.0,,A. Žižić misses 2-pt layup from 2 ft (block by J. Tatum),101,96
4,1:35.0,Defensive rebound by T. Rozier,,101,96
4,1:35.0,Personal foul by L. Nance (drawn by J. Tatum),,101,96
4,1:35.0,J. Tatum makes free throw 1 of 2,,102,96
4,1:35.0,J. Tatum makes free throw 2 of 2,,103,96
4,1:25.0,,A. Burks misses 3-pt jump shot from 26 ft,103,96
4,1:24.0,Defensive rebound by Team,,103,96
4,0:59.0,A. Horford misses 2-pt jump shot from 14 ft,,103,96
4,0:57.0,Offensive rebound by M. Smart,,103,96
4,0:55.0,M. Smart misses 2-pt layup from 1 ft,,103,96
4,0:52.0,,Defensive rebound by L. Nance,103,96
4,0:40.0,,A. Burks misses 2-pt layup at rim,103,96
4,0:37.0,Defensive rebound by A. Horford,,103,96
4,0:23.0,A. Horford misses 3-pt jump shot from 27 ft,,103,96
4,0:19.0,,Defensive rebound by L. Nance,103,96
4,0:09.0,,C. Sexton misses 3-pt jump shot from 25 ft,103,96
