QUARTER,TIME_REMAINING,WASHINGTON_ACTION,ORLANDO_ACTION,WASHINGTON_SCORE,ORLANDO_SCORE
1,4:00.0,,J. Simmons enters the game for E. Fournier,12,13
1,4:00.0,T. Ariza misses free throw 2 of 2,,12,13
1,3:58.0,,Defensive rebound by J. Isaac,12,13
1,3:41.0,,Turnover by J. Grant (bad pass),12,13
1,3:41.0,B. Beal misses 2-pt jump shot from 15 ft,,12,13
1,3:29.0,,Defensive rebound by N. Vučević,12,13
1,3:23.0,,N. Vučević makes 3-pt jump shot from 26 ft (assist by J. Simmons),12,16
1,3:04.0,T. Satoranský makes 3-pt jump shot from 23 ft (assist by I. Mahinmi),,15,16
1,2:48.0,,Orlando full timeout,15,16
1,2:48.0,S. Dekker enters the game for T. Ariza,,15,16
1,2:48.0,,M. Bamba enters the game for J. Isaac,15,16
1,2:48.0,,A. Gordon enters the game for N. Vučević,15,16
1,2:43.0,,T. Ross misses 2-pt layup from 4 ft,15,16
1,2:37.0,,Offensive rebound by M. Bamba,15,16
1,2:37.0,,M. Bamba makes 2-pt dunk at rim,15,18
1,2:26.0,B. Beal makes 2-pt jump shot from 13 ft,,17,18
1,2:13.0,,A. Gordon makes 3-pt jump shot from 23 ft (assist by M. Bamba),17,21
1,1:56.0,B. Beal makes 2-pt jump shot from 15 ft,,19,21
1,1:41.0,,T. Ross misses 2-pt hook shot from 10 ft,19,21
1,1:37.0,,Offensive rebound by A. Gordon,19,21
1,1:33.0,,T. Ross misses 3-pt jump shot from 24 ft,19,21
1,1:30.0,Defensive rebound by O. Porter,,19,21
1,1:23.0,S. Dekker makes 2-pt layup from 2 ft (assist by T. Satoranský),,21,21
1,0:57.0,,A. Gordon misses 2-pt jump shot from 5 ft (block by S. Dekker),21,21
1,0:55.0,Defensive rebound by B. Beal,,21,21
1,0:49.0,O. Porter misses 3-pt jump shot from 25 ft,,21,21
1,0:49.0,,Defensive rebound by A. Gordon,21,21
1,0:33.0,,A. Gordon misses 3-pt jump shot from 23 ft,21,21
1,0:30.0,Defensive rebound by B. Beal,,21,21
1,0:12.0,B. Beal makes 3-pt jump shot from 24 ft (assist by O. Porter),,24,21
1,0:05.0,,Personal take foul by T. Satoranský (drawn by J. Grant),24,21
1,0:05.0,C. Randle enters the game for T. Satoranský,,24,21
1,0:01.0,,J. Grant misses 3-pt jump shot from 25 ft,24,21
1,0:01.0,Defensive rebound by B. Beal,,24,21
2,11:49.0,,Turnover by A. Gordon (bad pass; steal by I. Mahinmi),24,21
2,11:32.0,O. Porter misses 2-pt jump shot from 22 ft,,24,21
2,11:29.0,,Defensive rebound by M. Bamba,24,21
2,11:22.0,,J. Grant makes 2-pt jump shot from 8 ft (assist by J. Simmons),24,23
2,11:08.0,S. Dekker misses 2-pt jump shot from 7 ft,,24,23
2,11:04.0,,Defensive rebound by M. Bamba,24,23
2,10:51.0,,T. Ross misses 2-pt jump shot from 21 ft,24,23
2,10:46.0,,Offensive rebound by A. Gordon,24,23
2,10:46.0,,A. Gordon makes 2-pt layup at rim,24,25
2,10:32.0,C. Randle misses 2-pt jump shot from 18 ft,,24,25
2,10:30.0,,Defensive rebound by J. Simmons,24,25
2,10:27.0,,A. Gordon misses 3-pt jump shot from 25 ft,24,25
2,10:24.0,Defensive rebound by O. Porter,,24,25
2,10:07.0,O. Porter misses 2-pt layup from 4 ft (block by M. Bamba),,24,25
2,10:03.0,,Defensive rebound by J. Grant,24,25
2,10:00.0,,J. Grant makes 2-pt layup from 1 ft,24,27
2,9:39.0,Shooting foul by J. Grant (drawn by O. Porter),,24,27
2,9:39.0,O. Porter makes free throw 1 of 2,,25,27
2,9:39.0,O. Porter makes free throw 2 of 2,,26,27
2,9:24.0,,A. Gordon makes 2-pt layup from 1 ft (assist by J. Grant),26,29
2,9:03.0,O. Porter misses 2-pt jump shot from 21 ft,,26,29
2,8:57.0,,Defensive rebound by M. Bamba,26,29
2,8:51.0,,Turnover by M. Bamba (lost ball; steal by I. Mahinmi),26,29
2,8:38.0,I. Mahinmi makes 2-pt hook shot from 8 ft,,28,29
2,8:17.0,,A. Gordon misses 3-pt jump shot from 26 ft,28,29
2,8:15.0,Defensive rebound by O. Porter,,28,29
2,8:00.0,C. Randle misses 3-pt jump shot from 23 ft,,28,29
2,7:58.0,Offensive rebound by S. Dekker,,28,29
2,7:56.0,J. Green makes 3-pt jump shot from 26 ft (assist by S. Dekker),,31,29
2,7:29.0,,Turnover by J. Simmons (bad pass; steal by I. Mahinmi),31,29
2,7:23.0,I. Mahinmi makes 2-pt hook shot from 3 ft,,33,29
2,7:07.0,,A. Gordon misses 3-pt jump shot from 26 ft,33,29
2,7:04.0,Defensive rebound by O. Porter,,33,29
2,6:52.0,J. Green misses 2-pt layup from 4 ft (block by A. Gordon),,33,29
2,6:52.0,Offensive rebound by Team,,33,29
2,6:52.0,,Orlando full timeout,33,29
2,6:52.0,,D. Augustin enters the game for M. Bamba,33,29
2,6:52.0,,E. Fournier enters the game for J. Grant,33,29
2,6:52.0,,N. Vučević enters the game for T. Ross,33,29
2,6:45.0,C. Randle misses 2-pt jump shot from 19 ft,,33,29
2,6:40.0,,Defensive rebound by N. Vučević,33,29
2,6:26.0,,Personal foul by I. Mahinmi (drawn by E. Fournier),33,29
2,6:17.0,,A. Gordon misses 3-pt jump shot from 26 ft,33,29
2,6:15.0,Defensive rebound by I. Mahinmi,,33,29
2,6:04.0,S. Dekker misses 2-pt layup from 3 ft,,33,29
2,5:59.0,Offensive rebound by I. Mahinmi,,33,29
2,5:59.0,I. Mahinmi misses 2-pt layup from 1 ft,,33,29
2,5:58.0,,Defensive rebound by A. Gordon,33,29
2,5:57.0,,E. Fournier misses 3-pt jump shot from 25 ft,33,29
2,5:53.0,Defensive rebound by J. Green,,33,29
2,5:37.0,I. Mahinmi makes 2-pt hook shot from 8 ft (assist by J. Green),,35,29
2,5:19.0,,J. Simmons misses 3-pt jump shot from 28 ft,35,29
2,5:16.0,Defensive rebound by O. Porter,,35,29
2,5:03.0,O. Porter misses 2-pt jump shot from 14 ft,,35,29
2,4:58.0,,Defensive rebound by N. Vučević,35,29
2,4:55.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by D. Augustin),35,31
2,4:53.0,Washington full timeout,,35,31
2,4:53.0,T. Ariza enters the game for S. Dekker,,35,31
2,4:53.0,B. Beal enters the game for I. Mahinmi,,35,31
2,4:53.0,T. Satoranský enters the game for C. Randle,,35,31
2,4:53.0,,J. Isaac enters the game for A. Gordon,35,31
2,4:53.0,,T. Ross enters the game for J. Simmons,35,31
2,4:43.0,J. Green misses 2-pt layup from 2 ft,,35,31
2,4:41.0,,Defensive rebound by J. Isaac,35,31
2,4:39.0,,Turnover by D. Augustin (bad pass; steal by O. Porter),35,31
2,4:33.0,Turnover by T. Satoranský (bad pass),,35,31
2,4:23.0,,N. Vučević makes 2-pt hook shot from 10 ft,35,33
2,4:02.0,J. Green makes 3-pt jump shot from 26 ft (assist by B. Beal),,38,33
2,3:50.0,,Personal foul by J. Green (drawn by T. Ross),38,33
2,3:37.0,,E. Fournier misses 2-pt layup from 3 ft,38,33
2,3:28.0,,Offensive rebound by N. Vučević,38,33
2,3:28.0,,N. Vučević makes 2-pt layup at rim,38,35
2,3:17.0,J. Green makes 3-pt jump shot from 26 ft (assist by T. Satoranský),,41,35
2,3:00.0,,J. Isaac misses 3-pt jump shot from 28 ft,41,35
2,2:56.0,Defensive rebound by J. Green,,41,35
2,2:52.0,O. Porter makes 3-pt jump shot from 24 ft (assist by T. Ariza),,44,35
2,2:40.0,,Orlando full timeout,44,35
2,2:30.0,,J. Isaac misses 3-pt jump shot from 25 ft,44,35
2,2:27.0,Defensive rebound by J. Green,,44,35
2,2:18.0,Turnover by B. Beal (bad pass; steal by T. Ross),,44,35
2,2:14.0,,D. Augustin makes 3-pt jump shot from 27 ft (assist by T. Ross),44,38
2,1:52.0,J. Green makes 3-pt jump shot from 27 ft (assist by T. Ariza),,47,38
2,1:35.0,,E. Fournier misses 3-pt jump shot from 26 ft,47,38
2,1:33.0,Defensive rebound by J. Green,,47,38
2,1:19.0,J. Green misses 3-pt jump shot from 27 ft,,47,38
2,1:15.0,,Defensive rebound by T. Ross,47,38
2,1:09.0,,Turnover by T. Ross (bad pass; steal by T. Satoranský),47,38
2,1:01.0,O. Porter makes 3-pt jump shot from 27 ft (assist by T. Ariza),,50,38
2,0:47.0,,J. Isaac misses 2-pt layup from 2 ft,50,38
2,0:43.0,Defensive rebound by J. Green,,50,38
2,0:42.0,Turnover by J. Green (out of bounds lost ball),,50,38
2,0:42.0,,A. Gordon enters the game for J. Isaac,50,38
2,0:31.0,,Turnover by D. Augustin (bad pass; steal by B. Beal),50,38
2,0:10.0,B. Beal misses 3-pt jump shot from 23 ft,,50,38
2,0:07.0,,Defensive rebound by D. Augustin,50,38
2,0:03.0,,Personal foul by T. Satoranský (drawn by D. Augustin),50,38
2,0:03.0,C. Randle enters the game for T. Satoranský,,50,38
2,0:01.0,,E. Fournier misses 3-pt jump shot from 25 ft,50,38
2,0:01.0,,Offensive rebound by Team,50,38
3,11:42.0,,Turnover by N. Vučević (bad pass),50,38
3,11:27.0,T. Bryant misses 2-pt jump shot from 15 ft,,50,38
3,11:21.0,,Defensive rebound by N. Vučević,50,38
3,11:14.0,,A. Gordon makes 3-pt jump shot from 23 ft (assist by D. Augustin),50,41
3,10:59.0,T. Satoranský misses 3-pt jump shot from 25 ft,,50,41
3,10:56.0,,Defensive rebound by J. Isaac,50,41
3,10:45.0,,J. Isaac makes 2-pt layup from 2 ft,50,43
3,10:21.0,J. Green makes 3-pt jump shot from 27 ft (assist by B. Beal),,53,43
3,10:06.0,,N. Vučević misses 3-pt jump shot from 26 ft,53,43
3,10:03.0,Defensive rebound by T. Bryant,,53,43
3,9:51.0,Shooting foul by N. Vučević (drawn by T. Bryant),,53,43
3,9:51.0,T. Bryant misses free throw 1 of 2,,53,43
3,9:51.0,Offensive rebound by Team,,53,43
3,9:51.0,T. Bryant makes free throw 2 of 2,,54,43
3,9:39.0,,Turnover by E. Fournier (bad pass),54,43
3,9:29.0,B. Beal makes 3-pt jump shot from 28 ft (assist by T. Satoranský),,57,43
3,9:07.0,,Shooting foul by T. Bryant (drawn by N. Vučević),57,43
3,9:07.0,,N. Vučević makes free throw 1 of 2,57,44
3,9:07.0,,N. Vučević makes free throw 2 of 2,57,45
3,8:47.0,J. Green misses 3-pt jump shot from 25 ft,,57,45
3,8:44.0,Offensive rebound by B. Beal,,57,45
3,8:42.0,B. Beal makes 3-pt jump shot from 24 ft,,60,45
3,8:30.0,,Shooting foul by B. Beal (drawn by A. Gordon),60,45
3,8:30.0,,A. Gordon misses free throw 1 of 2,60,45
3,8:30.0,,Offensive rebound by Team,60,45
3,8:30.0,,A. Gordon makes free throw 2 of 2,60,46
3,8:19.0,T. Bryant makes 2-pt layup from 2 ft (assist by T. Ariza),,62,46
3,8:06.0,,Turnover by N. Vučević (bad pass),62,46
3,7:45.0,T. Bryant makes 2-pt dunk from 1 ft (assist by T. Satoranský),,64,46
3,7:31.0,,N. Vučević makes 2-pt layup from 3 ft (assist by J. Isaac),64,48
3,7:31.0,,Shooting foul by T. Bryant (drawn by N. Vučević),64,48
3,7:31.0,,N. Vučević makes free throw 1 of 1,64,49
3,7:18.0,T. Satoranský makes 2-pt jump shot from 10 ft (assist by B. Beal),,66,49
3,7:18.0,,Orlando full timeout,66,49
3,6:51.0,,N. Vučević makes 2-pt hook shot from 8 ft,66,51
3,6:43.0,Offensive foul by B. Beal (drawn by A. Gordon),,66,51
3,6:43.0,Turnover by B. Beal (offensive foul),,66,51
3,6:34.0,,A. Gordon makes 2-pt dunk from 2 ft (assist by N. Vučević),66,53
3,6:16.0,J. Green makes 2-pt layup from 9 ft (assist by B. Beal),,68,53
3,6:04.0,,N. Vučević makes 2-pt layup from 2 ft (assist by A. Gordon),68,55
3,5:50.0,T. Ariza misses 2-pt layup from 7 ft,,68,55
3,5:47.0,,Defensive rebound by A. Gordon,68,55
3,5:38.0,,E. Fournier misses 3-pt jump shot from 27 ft,68,55
3,5:35.0,Defensive rebound by T. Satoranský,,68,55
3,5:21.0,Shooting foul by N. Vučević (drawn by T. Satoranský),,68,55
3,5:21.0,T. Satoranský makes free throw 1 of 2,,69,55
3,5:21.0,,T. Ross enters the game for J. Isaac,69,55
3,5:21.0,T. Satoranský makes free throw 2 of 2,,70,55
3,5:09.0,,Turnover by E. Fournier (bad pass; steal by B. Beal),70,55
3,5:04.0,T. Ariza misses 3-pt jump shot from 26 ft,,70,55
3,5:01.0,,Defensive rebound by A. Gordon,70,55
3,4:42.0,,D. Augustin misses 2-pt jump shot from 13 ft,70,55
3,4:37.0,Defensive rebound by T. Bryant,,70,55
3,4:27.0,B. Beal misses 2-pt jump shot from 17 ft,,70,55
3,4:25.0,Offensive rebound by T. Bryant,,70,55
3,4:23.0,J. Green makes 3-pt jump shot from 26 ft (assist by T. Bryant),,73,55
3,3:56.0,,D. Augustin makes 2-pt jump shot from 18 ft (assist by T. Ross),73,57
3,3:53.0,Washington full timeout,,73,57
3,3:53.0,O. Porter enters the game for T. Ariza,,73,57
3,3:53.0,,J. Grant enters the game for D. Augustin,73,57
3,3:53.0,,J. Simmons enters the game for E. Fournier,73,57
3,3:40.0,T. Bryant misses 2-pt jump shot from 20 ft,,73,57
3,3:36.0,,Defensive rebound by N. Vučević,73,57
3,3:21.0,,N. Vučević makes 2-pt hook shot from 7 ft (assist by J. Simmons),73,59
3,2:54.0,T. Bryant makes 2-pt jump shot from 16 ft (assist by T. Satoranský),,75,59
3,2:33.0,,T. Ross makes 2-pt dunk from 2 ft (assist by A. Gordon),75,61
3,2:08.0,T. Satoranský misses 2-pt layup from 3 ft,,75,61
3,2:05.0,,Defensive rebound by N. Vučević,75,61
3,2:05.0,,Personal foul by T. Satoranský (drawn by J. Grant),75,61
3,2:05.0,C. Randle enters the game for T. Satoranský,,75,61
3,2:05.0,,M. Bamba enters the game for N. Vučević,75,61
3,1:51.0,,Def 3 sec tech foul by Team,75,61
3,1:51.0,,T. Ross makes technical free throw,75,62
3,1:51.0,S. Dekker enters the game for J. Green,,75,62
3,1:37.0,,Shooting foul by O. Porter (drawn by A. Gordon),75,62
3,1:37.0,,A. Gordon makes free throw 1 of 2,75,63
3,1:37.0,,A. Gordon makes free throw 2 of 2,75,64
3,1:24.0,Turnover by C. Randle (traveling),,75,64
3,1:06.0,,J. Grant misses 3-pt jump shot from 25 ft,75,64
3,1:03.0,Defensive rebound by O. Porter,,75,64
3,0:53.0,S. Dekker misses 2-pt jump shot from 8 ft,,75,64
3,0:50.0,,Defensive rebound by M. Bamba,75,64
3,0:41.0,,M. Bamba makes 2-pt dunk at rim (assist by J. Simmons),75,66
3,0:36.0,Personal foul by J. Simmons (drawn by B. Beal),,75,66
3,0:20.0,O. Porter misses 2-pt jump shot from 21 ft,,75,66
3,0:16.0,,Defensive rebound by A. Gordon,75,66
3,0:01.0,,T. Ross makes 3-pt jump shot from 28 ft (assist by M. Bamba),75,69
4,11:40.0,Personal foul by J. Simmons (drawn by O. Porter),,75,69
4,11:36.0,T. Satoranský misses 2-pt jump shot from 10 ft (block by M. Bamba),,75,69
4,11:32.0,,Defensive rebound by A. Gordon,75,69
4,11:31.0,,T. Ross makes 2-pt dunk from 2 ft (assist by A. Gordon),75,71
4,11:08.0,O. Porter misses 2-pt jump shot from 23 ft,,75,71
4,11:05.0,,Defensive rebound by J. Simmons,75,71
4,11:00.0,,J. Simmons misses 3-pt jump shot from 27 ft,75,71
4,10:57.0,,Offensive rebound by J. Simmons,75,71
4,10:55.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by J. Simmons),75,74
4,10:38.0,T. Ariza makes 3-pt jump shot from 26 ft (assist by T. Satoranský),,78,74
4,10:26.0,,J. Grant misses 2-pt jump shot from 8 ft,78,74
4,10:23.0,Defensive rebound by I. Mahinmi,,78,74
4,10:19.0,O. Porter makes 2-pt layup from 1 ft (assist by T. Satoranský),,80,74
4,10:01.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by A. Gordon),80,77
4,9:37.0,O. Porter misses 3-pt jump shot from 26 ft,,80,77
4,9:35.0,,Defensive rebound by M. Bamba,80,77
4,9:22.0,,T. Ross misses 3-pt jump shot from 26 ft,80,77
4,9:19.0,Defensive rebound by T. Ariza,,80,77
4,9:07.0,Turnover by T. Satoranský (bad pass),,80,77
4,8:48.0,,Turnover by A. Gordon (bad pass; steal by S. Dekker),80,77
4,8:31.0,I. Mahinmi misses 2-pt hook shot from 10 ft (block by M. Bamba),,80,77
4,8:27.0,,Defensive rebound by M. Bamba,80,77
4,8:20.0,,Turnover by J. Simmons (bad pass),80,77
4,8:20.0,Washington full timeout,,80,77
4,8:20.0,B. Beal enters the game for T. Satoranský,,80,77
4,8:07.0,B. Beal makes 2-pt layup from 3 ft,,82,77
4,7:51.0,,M. Bamba makes 2-pt dunk from 2 ft (assist by A. Gordon),82,79
4,7:31.0,Turnover by I. Mahinmi (traveling),,82,79
4,7:31.0,J. Green enters the game for I. Mahinmi,,82,79
4,7:06.0,,A. Gordon makes 2-pt layup from 1 ft (assist by T. Ross),82,81
4,6:43.0,J. Green misses 2-pt jump shot from 13 ft,,82,81
4,6:41.0,Offensive rebound by T. Ariza,,82,81
4,6:41.0,T. Ariza misses 3-pt jump shot from 23 ft,,82,81
4,6:41.0,,Defensive rebound by M. Bamba,82,81
4,6:41.0,,M. Bamba misses 2-pt layup from 1 ft,82,81
4,6:38.0,,Offensive rebound by M. Bamba,82,81
4,6:38.0,,M. Bamba misses 2-pt layup from 1 ft,82,81
4,6:37.0,Defensive rebound by J. Green,,82,81
4,6:29.0,B. Beal makes 2-pt jump shot from 14 ft,,84,81
4,6:13.0,,T. Ross misses 3-pt jump shot from 27 ft,84,81
4,6:09.0,Defensive rebound by B. Beal,,84,81
4,6:04.0,B. Beal makes 3-pt jump shot from 26 ft,,87,81
4,5:46.0,,T. Ross makes 2-pt dunk from 1 ft (assist by J. Grant),87,83
4,5:27.0,Turnover by J. Green (out of bounds lost ball),,87,83
4,5:27.0,T. Satoranský enters the game for S. Dekker,,87,83
4,5:27.0,,D. Augustin enters the game for M. Bamba,87,83
4,5:27.0,,N. Vučević enters the game for J. Grant,87,83
4,5:06.0,,Personal foul by T. Ariza (drawn by A. Gordon),87,83
4,5:06.0,,E. Fournier enters the game for A. Gordon,87,83
4,5:06.0,,J. Isaac enters the game for J. Simmons,87,83
4,4:54.0,,T. Ross misses 2-pt jump shot from 8 ft,87,83
4,4:48.0,,Offensive rebound by J. Isaac,87,83
4,4:48.0,,J. Isaac makes 2-pt layup from 1 ft,87,85
4,4:29.0,B. Beal misses 2-pt jump shot from 21 ft,,87,85
4,4:27.0,,Defensive rebound by T. Ross,87,85
4,4:24.0,,J. Isaac makes 2-pt dunk at rim (assist by T. Ross),87,87
4,4:24.0,Washington full timeout,,87,87
4,3:57.0,T. Ariza misses 2-pt jump shot from 20 ft,,87,87
4,3:54.0,,Defensive rebound by E. Fournier,87,87
4,3:39.0,,D. Augustin misses 3-pt jump shot from 27 ft,87,87
4,3:35.0,Defensive rebound by T. Satoranský,,87,87
4,3:33.0,Offensive foul by O. Porter (drawn by D. Augustin),,87,87
4,3:33.0,Turnover by O. Porter (offensive foul),,87,87
4,3:33.0,,A. Gordon enters the game for J. Isaac,87,87
4,3:13.0,,T. Ross misses 2-pt jump shot from 7 ft,87,87
4,3:12.0,,Offensive rebound by T. Ross,87,87
4,3:05.0,,E. Fournier misses 2-pt jump shot from 19 ft,87,87
4,3:01.0,Defensive rebound by T. Ariza,,87,87
4,2:58.0,Shooting foul by N. Vučević (drawn by B. Beal),,87,87
4,2:58.0,B. Beal makes free throw 1 of 2,,88,87
4,2:58.0,B. Beal makes free throw 2 of 2,,89,87
4,2:46.0,,Turnover by N. Vučević (out of bounds lost ball),89,87
4,2:27.0,O. Porter misses 3-pt jump shot from 26 ft,,89,87
4,2:23.0,,Defensive rebound by D. Augustin,89,87
4,2:15.0,,D. Augustin misses 2-pt layup from 2 ft,89,87
4,2:10.0,,Offensive rebound by A. Gordon,89,87
4,2:10.0,,A. Gordon makes 2-pt layup from 1 ft,89,89
4,1:57.0,B. Beal misses 2-pt jump shot from 17 ft,,89,89
4,1:53.0,,Defensive rebound by T. Ross,89,89
4,1:37.0,,N. Vučević makes 2-pt layup from 2 ft,89,91
4,1:16.0,B. Beal makes 2-pt dunk from 1 ft,,91,91
4,0:59.0,,Shooting foul by J. Green (drawn by N. Vučević),91,91
4,0:59.0,,N. Vučević misses free throw 1 of 2,91,91
4,0:59.0,,Offensive rebound by Team,91,91
4,0:59.0,,N. Vučević misses free throw 2 of 2,91,91
4,0:56.0,Defensive rebound by T. Ariza,,91,91
4,0:42.0,J. Green makes 2-pt layup from 4 ft (assist by B. Beal),,93,91
4,0:25.0,,Turnover by A. Gordon (lost ball; steal by T. Ariza),93,91
4,0:23.0,Personal take foul by T. Ross (drawn by T. Satoranský),,93,91
4,0:23.0,,J. Simmons enters the game for T. Ross,93,91
4,0:10.0,Turnover by B. Beal (lost ball; steal by N. Vučević),,93,91
4,0:08.0,Washington full timeout,,93,91
4,0:08.0,,Turnover by D. Augustin (bad pass),93,91
4,0:08.0,,J. Grant enters the game for D. Augustin,93,91
4,0:03.0,Personal take foul by N. Vučević (drawn by T. Ariza),,93,91
4,0:03.0,T. Ariza makes free throw 1 of 2,,94,91
4,0:03.0,T. Ariza makes free throw 2 of 2,,95,91
4,0:03.0,,Orlando full timeout,95,91
4,0:03.0,,D. Augustin enters the game for J. Grant,95,91
4,0:03.0,,T. Ross enters the game for J. Simmons,95,91
4,0:01.0,,N. Vučević misses 3-pt jump shot from 27 ft,95,91
4,0:01.0,,Offensive rebound by T. Ross,95,91
