QUARTER,TIME_REMAINING,CLEVELAND_ACTION,OKLAHOMA CITY_ACTION,CLEVELAND_SCORE,OKLAHOMA CITY_SCORE
2,4:42.0,Turnover by C. Sexton (bad pass; steal by D. Schröder),,42,36
2,4:37.0,,Turnover by D. Schröder (bad pass; steal by C. Sexton),42,36
2,4:19.0,C. Sexton misses 2-pt jump shot from 7 ft (block by J. Grant),,42,36
2,4:15.0,,Defensive rebound by J. Grant,42,36
2,4:07.0,,D. Schröder makes 2-pt layup from 2 ft,42,38
2,3:44.0,R. Hood misses 3-pt jump shot from 25 ft,,42,38
2,3:41.0,,Defensive rebound by R. Westbrook,42,38
2,3:34.0,,R. Westbrook misses 2-pt layup at rim,42,38
2,3:33.0,,Offensive rebound by R. Westbrook,42,38
2,3:32.0,,R. Westbrook makes 2-pt layup from 1 ft,42,40
2,3:09.0,T. Thompson misses 2-pt jump shot from 4 ft,,42,40
2,3:07.0,,Defensive rebound by S. Adams,42,40
2,2:59.0,,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),42,42
2,2:58.0,Cleveland full timeout,,42,42
2,2:58.0,Violation by Team (delay of game),,42,42
2,2:33.0,J. Clarkson misses 2-pt jump shot from 24 ft,,42,42
2,2:31.0,,Defensive rebound by R. Westbrook,42,42
2,2:24.0,,J. Grant makes 2-pt layup from 1 ft (assist by R. Westbrook),42,44
2,2:09.0,T. Thompson makes 2-pt layup from 1 ft (assist by C. Sexton),,44,44
2,1:59.0,,S. Adams misses 2-pt jump shot from 4 ft,44,44
2,1:56.0,Defensive rebound by C. Osman,,44,44
2,1:48.0,R. Hood misses 3-pt jump shot from 23 ft,,44,44
2,1:45.0,,Defensive rebound by R. Westbrook,44,44
2,1:38.0,,J. Grant makes 3-pt jump shot from 23 ft (assist by R. Westbrook),44,47
2,1:08.0,Turnover by Team (shot clock),,44,47
2,0:43.0,,D. Schröder misses 2-pt jump shot from 14 ft,44,47
2,0:40.0,Defensive rebound by J. Clarkson,,44,47
2,0:31.0,J. Clarkson makes 3-pt jump shot from 27 ft (assist by T. Thompson),,47,47
2,0:09.0,,J. Grant misses 3-pt jump shot from 26 ft,47,47
2,0:06.0,Defensive rebound by C. Osman,,47,47
2,0:02.0,R. Hood misses 2-pt layup from 1 ft,,47,47
2,0:00.0,Offensive rebound by C. Sexton,,47,47
2,0:00.0,C. Sexton misses 2-pt layup from 1 ft,,47,47
2,0:00.0,Offensive rebound by Team,,47,47
3,11:53.0,,Personal foul by R. Hood (drawn by P. George),47,47
3,11:47.0,,Offensive foul by P. George (drawn by L. Nance),47,47
3,11:47.0,,Turnover by P. George (offensive foul),47,47
3,11:35.0,T. Thompson misses 2-pt jump shot from 6 ft,,47,47
3,11:32.0,,Defensive rebound by R. Westbrook,47,47
3,11:20.0,,P. George misses 3-pt jump shot from 26 ft,47,47
3,11:18.0,Defensive rebound by C. Osman,,47,47
3,11:09.0,T. Thompson makes 2-pt hook shot from 8 ft (assist by C. Osman),,49,47
3,10:57.0,,Personal foul by R. Hood (drawn by P. George),49,47
3,10:50.0,,R. Westbrook makes 2-pt layup from 2 ft,49,49
3,10:35.0,R. Hood makes 2-pt dunk from 1 ft (assist by T. Thompson),,51,49
3,10:13.0,,Á. Abrines misses 3-pt jump shot from 26 ft,51,49
3,10:10.0,Defensive rebound by R. Hood,,51,49
3,10:02.0,T. Thompson misses 2-pt jump shot from 18 ft,,51,49
3,9:59.0,,Defensive rebound by P. George,51,49
3,9:48.0,,Shooting foul by L. Nance (drawn by J. Grant),51,49
3,9:48.0,,J. Grant makes free throw 1 of 2,51,50
