QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MINNESOTA_ACTION,SACRAMENTO_SCORE,MINNESOTA_SCORE
1,4:49.0,T. Williams enters the game for W. Cauley-Stein,,17,22
1,4:49.0,,D. Šarić enters the game for T. Gibson,17,22
1,4:36.0,,G. Dieng makes 2-pt layup from 1 ft (assist by D. Rose),17,24
1,4:20.0,K. Koufos misses 2-pt jump shot from 6 ft,,17,24
1,4:17.0,,Defensive rebound by D. Šarić,17,24
1,4:11.0,,D. Rose misses 2-pt layup from 2 ft (block by Y. Ferrell),17,24
1,4:09.0,,Offensive rebound by D. Rose,17,24
1,4:07.0,,D. Rose misses 2-pt layup from 3 ft (block by T. Williams),17,24
1,4:05.0,Defensive rebound by Y. Ferrell,,17,24
1,3:59.0,B. Hield misses 3-pt jump shot from 26 ft,,17,24
1,3:56.0,,Defensive rebound by D. Šarić,17,24
1,3:38.0,,D. Šarić makes 2-pt layup from 1 ft (assist by D. Rose),17,26
1,3:24.0,Offensive foul by J. Jackson (drawn by G. Dieng),,17,26
1,3:24.0,Turnover by J. Jackson (offensive foul),,17,26
1,3:24.0,,T. Jones enters the game for R. Covington,17,26
1,3:24.0,,J. Okogie enters the game for D. Rose,17,26
1,3:09.0,,A. Wiggins makes 2-pt jump shot from 19 ft,17,28
1,3:00.0,Y. Ferrell makes 2-pt jump shot from 9 ft,,19,28
1,3:00.0,Shooting foul by T. Jones (drawn by Y. Ferrell),,19,28
1,3:00.0,Y. Ferrell misses free throw 1 of 1,,19,28
1,2:58.0,,Defensive rebound by G. Dieng,19,28
1,2:43.0,,A. Wiggins makes 2-pt layup from 2 ft (assist by D. Šarić),19,30
1,2:31.0,Sacramento full timeout,,19,30
1,2:31.0,B. Bogdanović enters the game for B. Hield,,19,30
1,2:21.0,Y. Ferrell makes 2-pt jump shot from 22 ft,,21,30
1,2:03.0,,J. Okogie misses 2-pt layup from 3 ft,21,30
1,2:02.0,,Offensive rebound by Team,21,30
1,1:57.0,,G. Dieng makes 2-pt jump shot from 20 ft (assist by A. Wiggins),21,32
1,1:31.0,T. Williams misses 3-pt jump shot from 26 ft,,21,32
1,1:28.0,,Defensive rebound by A. Wiggins,21,32
1,1:22.0,,A. Wiggins misses 3-pt jump shot from 25 ft,21,32
1,1:20.0,Defensive rebound by Y. Ferrell,,21,32
1,1:17.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,21,32
1,1:14.0,Offensive rebound by K. Koufos,,21,32
1,1:13.0,Personal foul by J. Okogie (drawn by K. Koufos),,21,32
1,1:07.0,Turnover by B. Bogdanović (lost ball),,21,32
1,1:07.0,Loose ball foul by B. Bogdanović (drawn by A. Wiggins),,21,32
1,1:07.0,,A. Wiggins makes free throw 1 of 2,21,33
1,1:07.0,,A. Wiggins makes free throw 2 of 2,21,34
1,0:48.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,21,34
1,0:43.0,,Defensive rebound by G. Dieng,21,34
1,0:35.0,,Shooting foul by K. Koufos (drawn by D. Šarić),21,34
1,0:35.0,,D. Šarić makes free throw 1 of 2,21,35
1,0:35.0,,D. Šarić makes free throw 2 of 2,21,36
1,0:29.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,21,36
1,0:26.0,,Defensive rebound by G. Dieng,21,36
1,0:07.0,,T. Jones makes 2-pt jump shot from 7 ft (assist by A. Wiggins),21,38
1,0:01.0,B. Bogdanović makes 2-pt jump shot from 5 ft,,23,38
1,0:00.0,,G. Dieng misses 3-pt jump shot from 25 ft,23,38
1,0:00.0,,Offensive rebound by Team,23,38
2,11:48.0,Personal foul by J. Okogie (drawn by K. Koufos),,23,38
2,11:36.0,K. Koufos misses 2-pt hook shot from 9 ft,,23,38
2,11:33.0,,Defensive rebound by G. Dieng,23,38
2,11:26.0,,G. Dieng makes 2-pt layup from 3 ft (assist by T. Jones),23,40
2,11:26.0,,Shooting foul by T. Williams (drawn by G. Dieng),23,40
2,11:26.0,,G. Dieng makes free throw 1 of 1,23,41
2,11:10.0,J. Jackson misses 2-pt jump shot from 13 ft,,23,41
2,11:07.0,,Defensive rebound by R. Covington,23,41
2,11:01.0,,Personal foul by K. Koufos (drawn by R. Covington),23,41
2,11:01.0,H. Giles enters the game for K. Koufos,,23,41
2,10:52.0,,D. Šarić misses 2-pt jump shot from 19 ft,23,41
2,10:49.0,Defensive rebound by B. Bogdanović,,23,41
2,10:43.0,B. Bogdanović misses 2-pt layup from 6 ft (block by R. Covington),,23,41
2,10:41.0,,Defensive rebound by Team,23,41
2,10:24.0,,G. Dieng makes 2-pt dunk from 1 ft (assist by D. Šarić),23,43
2,10:03.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by J. Jackson),,26,43
2,9:45.0,,T. Jones makes 2-pt layup at rim,26,45
2,9:34.0,T. Williams misses 3-pt jump shot from 23 ft,,26,45
2,9:30.0,,Defensive rebound by G. Dieng,26,45
2,9:26.0,,D. Šarić makes 2-pt layup from 1 ft (assist by R. Covington),26,47
2,9:19.0,Personal foul by D. Šarić (drawn by H. Giles),,26,47
2,9:19.0,Sacramento full timeout,,26,47
2,9:19.0,S. Labissière enters the game for B. Bogdanović,,26,47
2,9:05.0,H. Giles misses 2-pt jump shot from 11 ft,,26,47
2,9:02.0,,Defensive rebound by R. Covington,26,47
2,8:49.0,,Shooting foul by S. Labissière (drawn by D. Šarić),26,47
2,8:49.0,,D. Šarić misses free throw 1 of 2,26,47
2,8:49.0,,Offensive rebound by Team,26,47
2,8:49.0,B. Hield enters the game for Y. Ferrell,,26,47
2,8:49.0,F. Mason enters the game for J. Jackson,,26,47
2,8:49.0,,D. Šarić makes free throw 2 of 2,26,48
2,8:34.0,Turnover by H. Giles (bad pass; steal by J. Okogie),,26,48
2,8:30.0,,J. Okogie makes 2-pt dunk from 1 ft,26,50
2,8:10.0,T. Williams misses 2-pt layup from 3 ft (block by J. Okogie),,26,50
2,8:06.0,,Defensive rebound by D. Šarić,26,50
2,8:01.0,,G. Dieng makes 2-pt dunk from 1 ft (assist by J. Okogie),26,52
2,7:51.0,Personal foul by T. Jones (drawn by F. Mason),,26,52
2,7:51.0,Personal foul by G. Dieng (drawn by S. Labissière),,26,52
2,7:38.0,Turnover by S. Labissière (lost ball; steal by T. Jones),,26,52
2,7:32.0,,R. Covington makes 2-pt layup from 1 ft (assist by T. Jones),26,54
2,7:24.0,S. Labissière misses 2-pt layup from 2 ft,,26,54
2,7:22.0,,Defensive rebound by D. Šarić,26,54
2,7:18.0,,J. Okogie makes 2-pt layup from 2 ft (assist by T. Jones),26,56
2,7:18.0,Sacramento full timeout,,26,56
2,7:07.0,S. Labissière makes 2-pt dunk from 1 ft (assist by F. Mason),,28,56
2,6:54.0,,J. Okogie makes 2-pt dunk from 1 ft (assist by T. Jones),28,58
2,6:35.0,B. Hield misses 3-pt jump shot from 26 ft,,28,58
2,6:33.0,,Defensive rebound by D. Šarić,28,58
2,6:25.0,,T. Jones makes 2-pt jump shot from 8 ft,28,60
2,6:15.0,F. Mason misses 2-pt jump shot from 18 ft,,28,60
2,6:13.0,,Defensive rebound by R. Covington,28,60
2,6:07.0,,R. Covington misses 3-pt jump shot from 26 ft,28,60
2,6:06.0,,Offensive rebound by Team,28,60
2,6:06.0,Loose ball foul by H. Giles (drawn by G. Dieng),,28,60
2,6:06.0,,D. Rose enters the game for G. Dieng,28,60
2,6:06.0,,K. Towns enters the game for T. Jones,28,60
2,6:00.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by D. Rose),28,63
2,5:44.0,H. Giles makes 2-pt jump shot from 17 ft (assist by F. Mason),,30,63
2,5:27.0,,J. Okogie misses 3-pt jump shot from 24 ft,30,63
2,5:23.0,,Offensive rebound by K. Towns,30,63
2,5:23.0,,K. Towns misses 2-pt layup from 1 ft (block by T. Williams),30,63
2,5:23.0,Defensive rebound by F. Mason,,30,63
2,5:15.0,Shooting foul by R. Covington (drawn by B. Hield),,30,63
2,5:15.0,B. Hield makes free throw 1 of 2,,31,63
2,5:15.0,,T. Gibson enters the game for D. Šarić,31,63
2,5:15.0,B. Hield makes free throw 2 of 2,,32,63
2,4:59.0,,K. Towns makes 2-pt layup from 2 ft (assist by D. Rose),32,65
2,4:59.0,Violation by Team (def goaltending),,32,65
2,4:48.0,F. Mason misses 3-pt jump shot from 25 ft,,32,65
2,4:48.0,,Defensive rebound by J. Okogie,32,65
2,4:36.0,,D. Rose misses 2-pt jump shot from 9 ft,32,65
2,4:34.0,Defensive rebound by F. Mason,,32,65
2,4:31.0,Turnover by F. Mason (bad pass; steal by J. Okogie),,32,65
2,4:26.0,,K. Towns makes 2-pt dunk from 1 ft (assist by D. Rose),32,67
2,3:58.0,H. Giles makes 2-pt jump shot from 21 ft,,34,67
2,3:43.0,,Shooting foul by B. Hield (drawn by J. Okogie),34,67
2,3:43.0,,J. Okogie misses free throw 1 of 2,34,67
2,3:43.0,,Offensive rebound by Team,34,67
2,3:43.0,,J. Okogie makes free throw 2 of 2,34,68
2,3:33.0,B. Hield misses 3-pt jump shot from 26 ft,,34,68
2,3:31.0,,Defensive rebound by K. Towns,34,68
2,3:25.0,,Turnover by D. Rose (bad pass; steal by H. Giles),34,68
2,3:19.0,T. Williams makes 2-pt dunk from 2 ft (assist by B. Hield),,36,68
2,3:11.0,,T. Gibson misses 2-pt layup from 1 ft,36,68
2,3:09.0,Defensive rebound by T. Williams,,36,68
2,3:05.0,B. Hield misses 3-pt jump shot from 26 ft,,36,68
2,3:02.0,,Defensive rebound by K. Towns,36,68
2,2:51.0,,T. Gibson makes 2-pt layup from 1 ft (assist by D. Rose),36,70
2,2:37.0,S. Labissière misses 2-pt layup from 2 ft,,36,70
2,2:34.0,,Defensive rebound by T. Gibson,36,70
2,2:28.0,,Shooting foul by H. Giles (drawn by K. Towns),36,70
2,2:28.0,,K. Towns makes free throw 1 of 2,36,71
2,2:28.0,K. Koufos enters the game for H. Giles,,36,71
2,2:28.0,B. McLemore enters the game for T. Williams,,36,71
2,2:28.0,,A. Wiggins enters the game for J. Okogie,36,71
2,2:28.0,,K. Towns makes free throw 2 of 2,36,72
2,2:18.0,K. Koufos makes 2-pt layup from 1 ft (assist by F. Mason),,38,72
2,2:18.0,Shooting foul by D. Rose (drawn by K. Koufos),,38,72
2,2:18.0,K. Koufos misses free throw 1 of 1,,38,72
2,2:16.0,,Defensive rebound by K. Towns,38,72
2,2:09.0,,Shooting foul by F. Mason (drawn by D. Rose),38,72
2,2:09.0,,D. Rose makes free throw 1 of 2,38,73
2,2:09.0,,D. Rose makes free throw 2 of 2,38,74
2,1:55.0,B. McLemore misses 3-pt jump shot from 24 ft,,38,74
2,1:51.0,,Defensive rebound by K. Towns,38,74
2,1:39.0,,T. Gibson misses 3-pt jump shot from 22 ft,38,74
2,1:37.0,Defensive rebound by K. Koufos,,38,74
2,1:32.0,F. Mason makes 3-pt jump shot from 25 ft,,41,74
2,1:13.0,,Turnover by A. Wiggins (traveling),41,74
2,1:13.0,Violation by Team (delay of game),,41,74
2,0:56.0,B. Hield misses 3-pt jump shot from 23 ft,,41,74
2,0:52.0,Offensive rebound by B. Hield,,41,74
2,0:46.0,B. Hield makes 3-pt jump shot from 25 ft (assist by F. Mason),,44,74
2,0:20.0,,D. Rose misses 2-pt jump shot from 15 ft,44,74
2,0:20.0,Defensive rebound by B. McLemore,,44,74
2,0:20.0,B. McLemore misses 2-pt layup from 2 ft,,44,74
2,0:18.0,,Defensive rebound by K. Towns,44,74
2,0:01.0,,A. Wiggins misses 2-pt layup from 2 ft,44,74
2,0:00.0,Defensive rebound by F. Mason,,44,74
3,11:47.0,J. Jackson misses 2-pt jump shot from 19 ft,,44,74
3,11:43.0,,Defensive rebound by T. Gibson,44,74
3,11:33.0,,T. Gibson makes 2-pt jump shot from 19 ft (assist by D. Rose),44,76
3,11:11.0,K. Koufos misses 2-pt layup from 4 ft (block by K. Towns),,44,76
3,11:11.0,Offensive rebound by Team,,44,76
3,11:06.0,K. Koufos misses 2-pt jump shot from 12 ft (block by T. Gibson),,44,76
3,11:03.0,,Defensive rebound by A. Wiggins,44,76
3,11:00.0,,R. Covington misses 3-pt jump shot from 26 ft,44,76
3,10:58.0,Defensive rebound by K. Koufos,,44,76
3,10:50.0,Shooting foul by T. Gibson (drawn by Y. Ferrell),,44,76
3,10:50.0,Y. Ferrell makes free throw 1 of 2,,45,76
3,10:50.0,Y. Ferrell makes free throw 2 of 2,,46,76
3,10:39.0,,D. Rose misses 3-pt jump shot from 26 ft,46,76
3,10:37.0,Defensive rebound by T. Williams,,46,76
3,10:27.0,Y. Ferrell makes 2-pt jump shot from 22 ft (assist by K. Koufos),,48,76
3,10:10.0,,K. Towns misses 2-pt layup from 2 ft,48,76
3,10:08.0,,Offensive rebound by K. Towns,48,76
3,10:07.0,,K. Towns misses 2-pt layup from 2 ft,48,76
3,10:05.0,Defensive rebound by K. Koufos,,48,76
3,9:59.0,S. Labissière makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),,51,76
3,9:58.0,,Minnesota full timeout,51,76
3,9:35.0,,R. Covington misses 2-pt jump shot from 13 ft,51,76
3,9:32.0,Defensive rebound by J. Jackson,,51,76
3,9:27.0,J. Jackson makes 2-pt jump shot from 20 ft (assist by T. Williams),,53,76
3,9:13.0,,Shooting foul by K. Koufos (drawn by D. Rose),53,76
3,9:13.0,,D. Rose misses free throw 1 of 2,53,76
3,9:13.0,,Offensive rebound by Team,53,76
3,9:13.0,,D. Rose makes free throw 2 of 2,53,77
3,9:03.0,Y. Ferrell makes 3-pt jump shot from 24 ft,,56,77
3,8:47.0,,T. Gibson misses 2-pt layup from 3 ft,56,77
3,8:47.0,,Offensive rebound by T. Gibson,56,77
3,8:46.0,,T. Gibson misses 2-pt layup from 2 ft,56,77
3,8:46.0,Defensive rebound by S. Labissière,,56,77
3,8:36.0,S. Labissière makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),,59,77
3,8:19.0,,A. Wiggins misses 3-pt jump shot from 25 ft,59,77
3,8:17.0,Defensive rebound by K. Koufos,,59,77
3,8:05.0,J. Jackson makes 3-pt jump shot from 23 ft (assist by T. Williams),,62,77
3,8:04.0,,Minnesota full timeout,62,77
3,8:00.0,,D. Rose misses 2-pt layup from 1 ft (block by S. Labissière),62,77
3,7:56.0,Defensive rebound by Y. Ferrell,,62,77
3,7:54.0,J. Jackson makes 3-pt jump shot from 24 ft (assist by Y. Ferrell),,65,77
3,7:37.0,,K. Towns misses 3-pt jump shot from 26 ft,65,77
3,7:34.0,Defensive rebound by J. Jackson,,65,77
3,7:26.0,K. Koufos misses 2-pt jump shot from 6 ft,,65,77
3,7:24.0,,Defensive rebound by K. Towns,65,77
3,7:15.0,,Offensive foul by T. Gibson (drawn by J. Jackson),65,77
3,7:15.0,,Turnover by T. Gibson (offensive foul),65,77
3,7:03.0,Turnover by T. Williams (traveling),,65,77
3,6:49.0,,D. Rose misses 2-pt jump shot from 19 ft,65,77
3,6:46.0,,Offensive rebound by T. Gibson,65,77
3,6:43.0,,R. Covington makes 2-pt layup from 4 ft (assist by T. Gibson),65,79
3,6:43.0,,Shooting foul by S. Labissière (drawn by R. Covington),65,79
3,6:43.0,,R. Covington makes free throw 1 of 1,65,80
3,6:34.0,Personal foul by T. Gibson (drawn by Y. Ferrell),,65,80
3,6:28.0,Y. Ferrell misses 3-pt jump shot from 27 ft,,65,80
3,6:24.0,,Defensive rebound by T. Gibson,65,80
3,6:22.0,,Shooting foul by T. Williams (drawn by D. Rose),65,80
3,6:22.0,,D. Rose makes free throw 1 of 2,65,81
3,6:22.0,,D. Rose makes free throw 2 of 2,65,82
3,6:05.0,Turnover by K. Koufos (bad pass; steal by R. Covington),,65,82
3,6:02.0,,Offensive foul by R. Covington (drawn by Y. Ferrell),65,82
3,6:02.0,,Turnover by R. Covington (offensive foul),65,82
3,6:02.0,H. Giles enters the game for K. Koufos,,65,82
3,6:02.0,B. McLemore enters the game for T. Williams,,65,82
3,5:41.0,B. McLemore misses 2-pt jump shot from 12 ft,,65,82
3,5:38.0,,Defensive rebound by K. Towns,65,82
3,5:26.0,,A. Wiggins misses 2-pt jump shot from 12 ft,65,82
3,5:23.0,,Offensive rebound by T. Gibson,65,82
3,5:23.0,,T. Gibson makes 2-pt layup from 1 ft,65,84
3,5:07.0,B. McLemore makes 3-pt jump shot from 24 ft (assist by S. Labissière),,68,84
3,4:59.0,,Personal foul by H. Giles (drawn by K. Towns),68,84
3,4:50.0,,Turnover by K. Towns (bad pass),68,84
3,4:43.0,H. Giles misses 2-pt jump shot from 12 ft,,68,84
3,4:41.0,,Defensive rebound by R. Covington,68,84
3,4:37.0,,Shooting foul by H. Giles (drawn by R. Covington),68,84
3,4:37.0,,R. Covington makes free throw 1 of 2,68,85
3,4:37.0,,R. Covington makes free throw 2 of 2,68,86
3,4:24.0,Personal foul by R. Covington (drawn by Y. Ferrell),,68,86
3,4:12.0,Y. Ferrell misses 2-pt jump shot from 12 ft,,68,86
3,4:10.0,Offensive rebound by H. Giles,,68,86
3,4:09.0,H. Giles makes 2-pt hook shot from 6 ft,,70,86
3,3:49.0,,K. Towns misses 2-pt hook shot from 5 ft,70,86
3,3:46.0,,Offensive rebound by T. Gibson,70,86
3,3:44.0,,R. Covington makes 3-pt jump shot from 24 ft (assist by T. Gibson),70,89
3,3:35.0,Y. Ferrell makes 2-pt layup from 2 ft,,72,89
3,3:17.0,,T. Gibson makes 2-pt layup at rim (assist by K. Towns),72,91
3,3:05.0,Turnover by Y. Ferrell (bad pass; steal by A. Wiggins),,72,91
3,3:01.0,,R. Covington misses 3-pt jump shot from 25 ft,72,91
3,2:59.0,Defensive rebound by S. Labissière,,72,91
3,2:55.0,B. McLemore misses 3-pt jump shot from 25 ft,,72,91
3,2:52.0,,Defensive rebound by K. Towns,72,91
3,2:41.0,,Shooting foul by B. McLemore (drawn by A. Wiggins),72,91
3,2:41.0,,A. Wiggins makes free throw 1 of 2,72,92
3,2:41.0,F. Mason enters the game for Y. Ferrell,,72,92
3,2:41.0,T. Williams enters the game for J. Jackson,,72,92
3,2:41.0,,G. Dieng enters the game for R. Covington,72,92
3,2:41.0,,J. Okogie enters the game for T. Gibson,72,92
3,2:41.0,,D. Šarić enters the game for K. Towns,72,92
3,2:41.0,,A. Wiggins makes free throw 2 of 2,72,93
3,2:32.0,H. Giles misses 2-pt layup from 1 ft,,72,93
3,2:30.0,,Defensive rebound by A. Wiggins,72,93
3,2:22.0,,Turnover by A. Wiggins (lost ball; steal by B. McLemore),72,93
3,2:16.0,Shooting foul by G. Dieng (drawn by H. Giles),,72,93
3,2:16.0,H. Giles makes free throw 1 of 2,,73,93
3,2:16.0,,T. Jones enters the game for D. Rose,73,93
3,2:16.0,H. Giles misses free throw 2 of 2,,73,93
3,2:14.0,,Defensive rebound by G. Dieng,73,93
3,2:04.0,,Personal foul by B. McLemore (drawn by A. Wiggins),73,93
3,2:04.0,,A. Wiggins makes free throw 1 of 2,73,94
3,2:04.0,,A. Wiggins makes free throw 2 of 2,73,95
3,1:47.0,F. Mason makes 2-pt layup from 3 ft,,75,95
3,1:39.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by T. Jones),75,98
3,1:33.0,Personal foul by D. Šarić (drawn by S. Labissière),,75,98
3,1:33.0,S. Labissière misses free throw 1 of 2,,75,98
3,1:33.0,Offensive rebound by Team,,75,98
3,1:33.0,S. Labissière misses free throw 2 of 2,,75,98
3,1:31.0,,Defensive rebound by G. Dieng,75,98
3,1:09.0,,J. Okogie misses 2-pt layup from 1 ft,75,98
3,1:06.0,Defensive rebound by T. Williams,,75,98
3,0:59.0,B. McLemore misses 3-pt jump shot from 23 ft,,75,98
3,0:57.0,,Defensive rebound by A. Wiggins,75,98
3,0:49.0,,Shooting foul by S. Labissière (drawn by A. Wiggins),75,98
3,0:49.0,,A. Wiggins makes free throw 1 of 2,75,99
3,0:49.0,K. Koufos enters the game for S. Labissière,,75,99
3,0:49.0,,A. Wiggins makes free throw 2 of 2,75,100
3,0:38.0,T. Williams misses 3-pt jump shot from 26 ft,,75,100
3,0:35.0,,Defensive rebound by J. Okogie,75,100
3,0:27.0,,A. Wiggins makes 3-pt jump shot from 23 ft (assist by D. Šarić),75,103
3,0:08.0,H. Giles makes 2-pt hook shot from 5 ft,,77,103
3,0:00.0,,A. Wiggins misses 2-pt jump shot from 23 ft,77,103
3,0:00.0,,Offensive rebound by Team,77,103
4,11:44.0,,Personal foul by T. Williams (drawn by A. Wiggins),77,103
4,11:44.0,,R. Covington enters the game for A. Wiggins,77,103
4,11:39.0,,G. Dieng misses 2-pt jump shot from 7 ft,77,103
4,11:35.0,Defensive rebound by T. Williams,,77,103
4,11:22.0,B. McLemore misses 2-pt jump shot from 20 ft,,77,103
4,11:19.0,,Defensive rebound by Team,77,103
4,11:09.0,,Turnover by J. Okogie (lost ball; steal by T. Williams),77,103
4,11:05.0,K. Koufos makes 2-pt layup from 2 ft (assist by F. Mason),,79,103
4,10:52.0,,Personal foul by K. Koufos (drawn by J. Okogie),79,103
4,10:52.0,S. Labissière enters the game for H. Giles,,79,103
4,10:45.0,,T. Jones makes 2-pt jump shot from 13 ft,79,105
4,10:30.0,F. Mason makes 2-pt layup from 1 ft,,81,105
4,10:30.0,,Violation by Team (def goaltending),81,105
4,10:20.0,,J. Okogie makes 3-pt jump shot from 27 ft (assist by T. Jones),81,108
4,10:04.0,S. Labissière misses 3-pt jump shot from 26 ft,,81,108
4,10:04.0,,Defensive rebound by T. Jones,81,108
4,9:54.0,,G. Dieng makes 2-pt jump shot from 20 ft (assist by T. Jones),81,110
4,9:37.0,T. Williams misses 3-pt jump shot from 25 ft,,81,110
4,9:35.0,Offensive rebound by F. Mason,,81,110
4,9:33.0,F. Mason makes 2-pt layup from 2 ft,,83,110
4,9:19.0,,D. Šarić misses 3-pt jump shot from 25 ft,83,110
4,9:16.0,Defensive rebound by K. Koufos,,83,110
4,9:11.0,F. Mason misses 3-pt jump shot from 26 ft,,83,110
4,9:08.0,,Defensive rebound by D. Šarić,83,110
4,8:59.0,,Personal foul by S. Labissière (drawn by D. Šarić),83,110
4,8:52.0,,T. Jones makes 2-pt jump shot from 10 ft,83,112
4,8:38.0,K. Koufos misses 2-pt hook shot from 7 ft,,83,112
4,8:36.0,,Defensive rebound by G. Dieng,83,112
4,8:29.0,,T. Jones misses 2-pt jump shot from 15 ft,83,112
4,8:29.0,Defensive rebound by B. McLemore,,83,112
4,8:29.0,Sacramento full timeout,,83,112
4,8:29.0,Y. Ferrell enters the game for S. Labissière,,83,112
4,8:29.0,J. Jackson enters the game for T. Williams,,83,112
4,8:13.0,F. Mason misses 3-pt jump shot from 23 ft,,83,112
4,8:09.0,,Defensive rebound by T. Jones,83,112
4,7:53.0,,Turnover by G. Dieng (bad pass; steal by F. Mason),83,112
4,7:51.0,Shooting foul by R. Covington (drawn by B. McLemore),,83,112
4,7:51.0,B. McLemore makes free throw 1 of 2,,84,112
4,7:51.0,B. McLemore makes free throw 2 of 2,,85,112
