QUARTER,TIME_REMAINING,CHICAGO_ACTION,INDIANA_ACTION,CHICAGO_SCORE,INDIANA_SCORE
3,11:10.0,J. Holiday misses 2-pt dunk from 2 ft (block by M. Turner),,45,45
3,11:06.0,Offensive rebound by J. Holiday,,45,45
3,10:59.0,Turnover by L. Markkanen (lost ball; steal by T. Young),,45,45
3,10:49.0,,M. Turner misses 3-pt jump shot from 25 ft,45,45
3,10:45.0,Defensive rebound by W. Carter,,45,45
3,10:38.0,Turnover by R. Arcidiacono (traveling),,45,45
3,10:22.0,,T. Young makes 2-pt layup from 7 ft (assist by M. Turner),45,47
3,10:03.0,Z. LaVine makes 3-pt jump shot from 26 ft,,48,47
3,9:41.0,,D. Collison makes 3-pt jump shot from 24 ft (assist by M. Turner),48,50
3,9:29.0,J. Holiday makes 3-pt jump shot from 27 ft (assist by L. Markkanen),,51,50
3,9:22.0,,Shooting foul by R. Arcidiacono (drawn by D. Collison),51,50
3,9:22.0,,D. Collison makes free throw 1 of 2,51,51
3,9:22.0,,D. Collison makes free throw 2 of 2,51,52
3,9:07.0,R. Arcidiacono misses 3-pt jump shot from 27 ft,,51,52
3,9:04.0,,Defensive rebound by M. Turner,51,52
3,8:57.0,,Shooting foul by W. Carter (drawn by M. Turner),51,52
3,8:57.0,,M. Turner misses free throw 1 of 2,51,52
3,8:57.0,,Offensive rebound by Team,51,52
3,8:57.0,,M. Turner misses free throw 2 of 2,51,52
3,8:55.0,Defensive rebound by W. Carter,,51,52
3,8:51.0,Chicago full timeout,,51,52
3,8:44.0,L. Markkanen misses 2-pt hook shot from 2 ft (block by M. Turner),,51,52
3,8:41.0,,Defensive rebound by M. Turner,51,52
3,8:31.0,,T. Young misses 2-pt layup from 5 ft,51,52
3,8:29.0,Defensive rebound by Team,,51,52
3,8:12.0,W. Carter makes 2-pt layup from 3 ft,,53,52
3,7:58.0,,B. Bogdanović makes 2-pt jump shot from 16 ft (assist by T. Evans),53,54
3,7:48.0,Personal foul by T. Evans (drawn by Z. LaVine),,53,54
3,7:40.0,Z. LaVine makes 2-pt layup at rim,,55,54
3,7:25.0,,Shooting foul by L. Markkanen (drawn by T. Evans),55,54
3,7:25.0,,T. Evans makes free throw 1 of 2,55,55
3,7:25.0,,T. Evans makes free throw 2 of 2,55,56
3,7:12.0,Turnover by Z. LaVine (bad pass; steal by T. Evans),,55,56
3,7:08.0,,T. Young makes 2-pt layup from 2 ft (assist by D. Collison),55,58
3,6:51.0,J. Holiday misses 2-pt jump shot from 17 ft,,55,58
3,6:48.0,,Defensive rebound by T. Evans,55,58
3,6:48.0,,Personal foul by L. Markkanen (drawn by T. Evans),55,58
3,6:24.0,,T. Evans misses 3-pt jump shot from 28 ft,55,58
3,6:21.0,Defensive rebound by W. Carter,,55,58
3,6:10.0,Personal foul by B. Bogdanović (drawn by L. Markkanen),,55,58
3,6:04.0,J. Holiday misses 3-pt jump shot from 23 ft,,55,58
3,6:02.0,Offensive rebound by Team,,55,58
3,6:02.0,,Loose ball foul by T. Young (drawn by L. Markkanen),55,58
3,5:56.0,W. Carter makes 2-pt jump shot from 10 ft (assist by Z. LaVine),,57,58
3,5:43.0,,Turnover by T. Evans (step out of bounds),57,58
3,5:35.0,L. Markkanen makes 3-pt jump shot from 25 ft (assist by J. Holiday),,60,58
3,5:13.0,,D. Collison makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),60,61
3,5:02.0,L. Markkanen makes 3-pt jump shot from 27 ft (assist by Z. LaVine),,63,61
3,4:53.0,,Indiana full timeout,63,61
3,4:53.0,J. Parker enters the game for W. Carter,,63,61
3,4:53.0,,D. Sabonis enters the game for T. Young,63,61
3,4:42.0,,M. Turner misses 2-pt jump shot from 19 ft,63,61
3,4:39.0,,Offensive rebound by D. Sabonis,63,61
3,4:39.0,,D. Sabonis makes 2-pt layup from 1 ft,63,63
3,4:22.0,L. Markkanen misses 3-pt jump shot from 26 ft,,63,63
3,4:19.0,,Defensive rebound by B. Bogdanović,63,63
3,4:18.0,,Turnover by B. Bogdanović (out of bounds lost ball),63,63
3,4:02.0,J. Parker misses 2-pt jump shot from 20 ft,,63,63
3,3:58.0,,Defensive rebound by D. Sabonis,63,63
3,3:48.0,,M. Turner misses 2-pt layup from 3 ft (block by L. Markkanen),63,63
3,3:46.0,Defensive rebound by L. Markkanen,,63,63
3,3:42.0,L. Markkanen misses 2-pt layup from 2 ft,,63,63
3,3:40.0,,Defensive rebound by T. Evans,63,63
3,3:36.0,,T. Evans misses 2-pt layup from 1 ft,63,63
3,3:34.0,,Offensive rebound by M. Turner,63,63
3,3:33.0,,M. Turner makes 2-pt layup from 1 ft,63,65
3,3:20.0,L. Markkanen misses 3-pt jump shot from 27 ft,,63,65
3,3:18.0,,Defensive rebound by M. Turner,63,65
3,3:07.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,63,65
3,3:03.0,Defensive rebound by R. Arcidiacono,,63,65
3,2:54.0,Z. LaVine makes 2-pt layup from 2 ft,,65,65
3,2:32.0,,Turnover by T. Evans (bad pass; steal by R. Arcidiacono),65,65
3,2:11.0,Z. LaVine misses 2-pt layup from 2 ft (block by M. Turner),,65,65
3,2:08.0,,Defensive rebound by D. Collison,65,65
3,2:04.0,,Turnover by D. Sabonis (bad pass; steal by J. Holiday),65,65
3,2:00.0,Z. LaVine makes 2-pt dunk from 1 ft (assist by R. Arcidiacono),,67,65
3,1:49.0,,Personal foul by R. Arcidiacono (drawn by D. Collison),67,65
3,1:49.0,,D. Collison makes free throw 1 of 2,67,66
3,1:49.0,W. Carter enters the game for R. Arcidiacono,,67,66
3,1:49.0,C. Hutchison enters the game for J. Holiday,,67,66
3,1:49.0,C. Payne enters the game for L. Markkanen,,67,66
3,1:49.0,,C. Joseph enters the game for B. Bogdanović,67,66
3,1:49.0,,D. McDermott enters the game for T. Evans,67,66
3,1:49.0,,T. Young enters the game for M. Turner,67,66
3,1:49.0,,D. Collison makes free throw 2 of 2,67,67
3,1:40.0,C. Payne misses 3-pt jump shot from 24 ft,,67,67
3,1:38.0,,Defensive rebound by T. Young,67,67
3,1:22.0,,D. Collison makes 2-pt jump shot from 18 ft,67,69
3,1:03.0,C. Hutchison misses 2-pt layup from 2 ft,,67,69
3,1:00.0,,Defensive rebound by D. Collison,67,69
3,0:49.0,,Personal foul by W. Carter (drawn by D. Sabonis),67,69
3,0:49.0,,D. Sabonis misses free throw 1 of 2,67,69
3,0:49.0,,Offensive rebound by Team,67,69
3,0:49.0,S. Harrison enters the game for Z. LaVine,,67,69
3,0:49.0,,D. Sabonis makes free throw 2 of 2,67,70
3,0:33.0,C. Hutchison misses 2-pt layup from 2 ft,,67,70
3,0:31.0,,Defensive rebound by C. Joseph,67,70
3,0:17.0,,C. Joseph misses 3-pt jump shot from 28 ft,67,70
3,0:15.0,Defensive rebound by J. Parker,,67,70
3,0:07.0,Turnover by J. Parker (bad pass; steal by C. Joseph),,67,70
3,0:03.0,,D. McDermott misses 3-pt jump shot from 27 ft,67,70
3,0:03.0,,Offensive rebound by Team,67,70
4,11:47.0,J. Parker makes 2-pt dunk from 1 ft (assist by C. Payne),,69,70
4,11:21.0,,Turnover by C. Joseph (bad pass),69,70
4,11:10.0,J. Holiday misses 3-pt jump shot from 28 ft,,69,70
4,11:08.0,,Defensive rebound by D. Sabonis,69,70
4,10:53.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by D. McDermott),69,72
4,10:30.0,W. Carter misses 2-pt jump shot from 13 ft,,69,72
4,10:27.0,Offensive rebound by W. Carter,,69,72
4,10:26.0,W. Carter misses 2-pt layup from 3 ft (block by D. Sabonis),,69,72
4,10:26.0,,Defensive rebound by D. Sabonis,69,72
4,10:12.0,,C. Joseph makes 3-pt jump shot from 25 ft (assist by A. Holiday),69,75
4,10:10.0,Chicago full timeout,,69,75
4,10:00.0,S. Harrison misses 2-pt layup from 2 ft,,69,75
4,9:59.0,Offensive rebound by Team,,69,75
4,9:59.0,,Loose ball foul by A. Holiday (drawn by W. Carter),69,75
4,9:54.0,C. Payne makes 2-pt jump shot from 8 ft,,71,75
4,9:40.0,,D. Sabonis makes 2-pt jump shot from 17 ft (assist by A. Holiday),71,77
4,9:18.0,J. Parker misses 3-pt jump shot from 26 ft,,71,77
4,9:17.0,Offensive rebound by Team,,71,77
4,9:17.0,,Loose ball foul by D. Sabonis (drawn by W. Carter),71,77
4,9:11.0,C. Payne makes 2-pt layup from 2 ft,,73,77
4,8:56.0,,A. Holiday makes 2-pt jump shot from 8 ft,73,79
4,8:49.0,Turnover by C. Payne (lost ball; steal by A. Holiday),,73,79
4,8:41.0,,D. McDermott misses 3-pt jump shot from 27 ft,73,79
4,8:39.0,Defensive rebound by J. Parker,,73,79
4,8:30.0,J. Parker misses 2-pt layup from 7 ft,,73,79
4,8:28.0,,Defensive rebound by D. Sabonis,73,79
4,8:19.0,,A. Holiday misses 3-pt jump shot from 28 ft,73,79
4,8:19.0,Defensive rebound by J. Holiday,,73,79
4,8:00.0,J. Holiday misses 2-pt layup from 1 ft,,73,79
4,7:59.0,,Defensive rebound by D. Sabonis,73,79
4,7:59.0,,Personal foul by W. Carter (drawn by D. Sabonis),73,79
4,7:41.0,,Turnover by D. Sabonis (off goaltending),73,79
4,7:41.0,Z. LaVine enters the game for W. Carter,,73,79
4,7:41.0,L. Markkanen enters the game for S. Harrison,,73,79
4,7:22.0,L. Markkanen misses 2-pt layup from 7 ft,,73,79
4,7:21.0,Offensive rebound by Team,,73,79
4,7:21.0,Turnover by L. Markkanen (traveling),,73,79
4,7:21.0,,B. Bogdanović enters the game for A. Holiday,73,79
4,7:21.0,,D. Collison enters the game for D. McDermott,73,79
4,7:11.0,,D. Sabonis makes 2-pt jump shot from 16 ft (assist by C. Joseph),73,81
4,6:57.0,J. Parker makes 2-pt hook shot from 11 ft (assist by Z. LaVine),,75,81
4,6:47.0,,C. Joseph misses 2-pt jump shot from 18 ft,75,81
4,6:44.0,Defensive rebound by L. Markkanen,,75,81
4,6:37.0,Turnover by J. Parker (bad pass),,75,81
4,6:34.0,,Indiana full timeout,75,81
4,6:34.0,R. Arcidiacono enters the game for C. Payne,,75,81
4,6:34.0,,M. Turner enters the game for T. Young,75,81
4,6:25.0,,B. Bogdanović misses 2-pt jump shot from 16 ft,75,81
4,6:23.0,Defensive rebound by Z. LaVine,,75,81
4,6:07.0,J. Parker makes 2-pt dunk from 1 ft (assist by Z. LaVine),,77,81
4,5:45.0,,M. Turner misses 2-pt jump shot from 18 ft,77,81
4,5:44.0,,Offensive rebound by Team,77,81
4,5:44.0,Loose ball foul by J. Parker (drawn by D. Sabonis),,77,81
4,5:30.0,,M. Turner makes 2-pt dunk from 1 ft (assist by D. Collison),77,83
4,5:20.0,Personal foul by B. Bogdanović (drawn by J. Holiday),,77,83
4,5:15.0,L. Markkanen misses 2-pt jump shot from 9 ft,,77,83
4,5:13.0,Offensive rebound by L. Markkanen,,77,83
4,5:07.0,L. Markkanen misses 3-pt jump shot from 27 ft (block by M. Turner),,77,83
4,5:03.0,,Defensive rebound by D. Collison,77,83
4,4:55.0,,D. Sabonis misses 2-pt hook shot from 11 ft,77,83
4,4:54.0,,Offensive rebound by Team,77,83
4,4:46.0,,Turnover by M. Turner (traveling),77,83
4,4:28.0,Z. LaVine misses 2-pt jump shot from 15 ft,,77,83
4,4:25.0,,Defensive rebound by B. Bogdanović,77,83
4,4:02.0,,Turnover by D. Collison (bad pass; steal by L. Markkanen),77,83
4,4:01.0,Turnover by J. Holiday (bad pass; steal by C. Joseph),,77,83
4,3:58.0,,Turnover by C. Joseph (bad pass),77,83
4,3:58.0,Chicago full timeout,,77,83
4,3:46.0,J. Holiday makes 2-pt layup from 3 ft,,79,83
4,3:32.0,,C. Joseph makes 2-pt jump shot at rim,79,85
4,3:18.0,Z. LaVine misses 2-pt layup from 1 ft,,79,85
4,3:15.0,Offensive rebound by L. Markkanen,,79,85
4,3:15.0,L. Markkanen misses 2-pt layup at rim,,79,85
4,3:14.0,,Defensive rebound by B. Bogdanović,79,85
4,2:57.0,,M. Turner misses 2-pt jump shot from 11 ft,79,85
4,2:54.0,Defensive rebound by L. Markkanen,,79,85
4,2:43.0,L. Markkanen makes 3-pt jump shot from 27 ft (assist by J. Holiday),,82,85
4,2:26.0,,B. Bogdanović misses 3-pt jump shot from 28 ft,82,85
4,2:24.0,,Offensive rebound by D. Sabonis,82,85
4,2:24.0,,Personal foul by J. Parker (drawn by D. Sabonis),82,85
4,2:24.0,W. Carter enters the game for J. Parker,,82,85
4,2:11.0,,D. Collison makes 2-pt jump shot from 20 ft,82,87
4,1:58.0,Turnover by R. Arcidiacono (bad pass; steal by D. Sabonis),,82,87
4,1:55.0,,Shooting foul by Z. LaVine (drawn by B. Bogdanović),82,87
4,1:55.0,,B. Bogdanović makes free throw 1 of 2,82,88
4,1:55.0,C. Payne enters the game for R. Arcidiacono,,82,88
4,1:55.0,,B. Bogdanović misses free throw 2 of 2,82,88
4,1:53.0,Defensive rebound by L. Markkanen,,82,88
4,1:38.0,C. Payne makes 3-pt jump shot from 25 ft (assist by Z. LaVine),,85,88
4,1:17.0,,M. Turner makes 2-pt jump shot from 17 ft (assist by D. Collison),85,90
4,1:07.0,Personal foul by M. Turner (drawn by W. Carter),,85,90
4,0:59.0,Z. LaVine misses 2-pt layup from 3 ft,,85,90
4,0:58.0,,Defensive rebound by D. Collison,85,90
4,0:37.0,,M. Turner misses 2-pt jump shot from 22 ft,85,90
4,0:34.0,Defensive rebound by W. Carter,,85,90
4,0:29.0,Z. LaVine misses 3-pt jump shot from 27 ft,,85,90
4,0:26.0,,Defensive rebound by M. Turner,85,90
