QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MEMPHIS_ACTION,NEW ORLEANS_SCORE,MEMPHIS_SCORE
1,5:26.0,,Shooting foul by T. Frazier (drawn by M. Conley),14,7
1,5:26.0,,M. Conley makes free throw 1 of 2,14,8
1,5:26.0,C. Diallo enters the game for A. Davis,,14,8
1,5:26.0,,M. Conley makes free throw 2 of 2,14,9
1,5:17.0,J. Randle makes 2-pt jump shot from 14 ft (assist by T. Frazier),,16,9
1,4:56.0,,Turnover by D. Wright (bad pass; steal by J. Randle),16,9
1,4:52.0,J. Randle makes 2-pt layup at rim (assist by T. Frazier),,18,9
1,4:52.0,Shooting foul by D. Wright (drawn by J. Randle),,18,9
1,4:52.0,,B. Caboclo enters the game for M. Conley,18,9
1,4:52.0,,J. Carter enters the game for I. Rabb,18,9
1,4:52.0,J. Randle misses free throw 1 of 1,,18,9
1,4:52.0,Offensive rebound by Team,,18,9
1,4:52.0,,Loose ball foul by B. Caboclo (drawn by T. Frazier),18,9
1,4:52.0,T. Frazier makes free throw 1 of 2,,19,9
1,4:52.0,T. Frazier makes free throw 2 of 2,,20,9
1,4:31.0,,B. Caboclo makes 2-pt layup from 2 ft (assist by J. Carter),20,11
1,4:17.0,C. Diallo makes 2-pt dunk at rim (assist by J. Randle),,22,11
1,4:17.0,Shooting foul by B. Caboclo (drawn by C. Diallo),,22,11
1,4:17.0,,C. Miles enters the game for B. Caboclo,22,11
1,4:17.0,C. Diallo misses free throw 1 of 1,,22,11
1,4:15.0,,Defensive rebound by J. Holiday,22,11
1,4:03.0,,J. Carter misses 2-pt layup from 3 ft,22,11
1,3:59.0,,Offensive rebound by J. Noah,22,11
1,3:59.0,,J. Noah misses 2-pt layup at rim,22,11
1,3:59.0,Defensive rebound by J. Randle,,22,11
1,3:54.0,C. Diallo makes 2-pt jump shot from 1 ft (assist by J. Randle),,24,11
1,3:53.0,,Memphis full timeout,24,11
1,3:38.0,,J. Holiday misses 3-pt jump shot from 25 ft,24,11
1,3:36.0,,Offensive rebound by J. Noah,24,11
1,3:26.0,,Personal foul by F. Jackson (drawn by D. Wright),24,11
1,3:26.0,,D. Wright misses free throw 1 of 2,24,11
1,3:26.0,,Offensive rebound by Team,24,11
1,3:26.0,S. Johnson enters the game for F. Jackson,,24,11
1,3:26.0,,D. Wright makes free throw 2 of 2,24,12
1,3:13.0,E. Moore makes 2-pt jump shot from 12 ft (assist by T. Frazier),,26,12
1,3:01.0,,J. Noah makes 2-pt dunk at rim (assist by J. Holiday),26,14
1,2:48.0,E. Moore misses 2-pt jump shot from 22 ft,,26,14
1,2:46.0,,Defensive rebound by J. Noah,26,14
1,2:39.0,,Turnover by J. Holiday (dbl dribble),26,14
1,2:39.0,,I. Rabb enters the game for J. Holiday,26,14
1,2:25.0,J. Randle misses 3-pt jump shot from 25 ft,,26,14
1,2:22.0,,Defensive rebound by I. Rabb,26,14
1,2:13.0,,I. Rabb makes 2-pt layup at rim (assist by C. Miles),26,16
1,1:50.0,Turnover by J. Randle (lost ball; steal by J. Carter),,26,16
1,1:45.0,,C. Miles misses 3-pt jump shot from 26 ft,26,16
1,1:42.0,,Offensive rebound by J. Noah,26,16
1,1:41.0,,J. Noah makes 2-pt layup from 1 ft,26,18
1,1:22.0,Turnover by T. Frazier (bad pass),,26,18
1,1:06.0,,J. Noah misses 2-pt layup from 2 ft (block by C. Diallo),26,18
1,1:02.0,Defensive rebound by E. Moore,,26,18
1,0:56.0,Shooting foul by C. Miles (drawn by J. Randle),,26,18
1,0:56.0,J. Randle makes free throw 1 of 2,,27,18
1,0:56.0,J. Randle makes free throw 2 of 2,,28,18
1,0:40.0,,J. Noah makes 2-pt dunk from 1 ft (assist by I. Rabb),28,20
1,0:31.0,E. Moore misses 2-pt jump shot from 16 ft,,28,20
1,0:26.0,,Defensive rebound by J. Carter,28,20
1,0:09.0,,J. Carter misses 2-pt jump shot from 19 ft,28,20
1,0:06.0,Defensive rebound by J. Randle,,28,20
1,0:01.0,T. Frazier misses 3-pt jump shot from 25 ft,,28,20
1,0:01.0,,Defensive rebound by I. Rabb,28,20
2,11:35.0,,I. Rabb makes 2-pt layup at rim (assist by J. Noah),28,22
2,11:15.0,J. Randle misses 3-pt jump shot from 26 ft,,28,22
2,11:11.0,,Defensive rebound by J. Carter,28,22
2,11:09.0,,J. Noah makes 2-pt layup from 1 ft (assist by J. Carter),28,24
2,11:09.0,,Shooting foul by C. Diallo (drawn by J. Noah),28,24
2,11:09.0,,J. Noah makes free throw 1 of 1,28,25
2,10:55.0,E. Moore misses 3-pt jump shot from 23 ft,,28,25
2,10:54.0,,Defensive rebound by C. Miles,28,25
2,10:46.0,,Personal foul by T. Frazier (drawn by J. Carter),28,25
2,10:41.0,,C. Miles makes 2-pt layup from 1 ft (assist by I. Rabb),28,27
2,10:34.0,New Orleans full timeout,,28,27
2,10:34.0,A. Davis enters the game for C. Diallo,,28,27
2,10:34.0,K. Williams enters the game for J. Randle,,28,27
2,10:23.0,Personal foul by J. Noah (drawn by T. Frazier),,28,27
2,10:12.0,S. Johnson misses 2-pt jump shot from 22 ft,,28,27
2,10:10.0,,Defensive rebound by I. Rabb,28,27
2,10:05.0,,Personal foul by S. Johnson (drawn by C. Miles),28,27
2,9:51.0,,D. Wright makes 2-pt jump shot from 6 ft,28,29
2,9:34.0,Turnover by E. Moore (bad pass; steal by J. Carter),,28,29
2,9:30.0,,D. Wright misses 3-pt jump shot from 26 ft,28,29
2,9:25.0,Defensive rebound by S. Johnson,,28,29
2,9:10.0,E. Moore makes 3-pt jump shot from 23 ft (assist by K. Williams),,31,29
2,8:55.0,,C. Miles makes 2-pt jump shot from 11 ft,31,31
2,8:39.0,S. Johnson misses 3-pt jump shot from 26 ft,,31,31
2,8:37.0,,Defensive rebound by I. Rabb,31,31
2,8:28.0,,Turnover by J. Noah (bad pass; steal by S. Johnson),31,31
2,8:24.0,K. Williams makes 2-pt layup at rim (assist by A. Davis),,33,31
2,8:24.0,,Memphis full timeout,33,31
2,8:24.0,J. Holiday enters the game for T. Frazier,,33,31
2,8:24.0,F. Jackson enters the game for E. Moore,,33,31
2,8:24.0,,B. Caboclo enters the game for J. Noah,33,31
2,8:24.0,,J. Jackson enters the game for I. Rabb,33,31
2,8:12.0,,J. Jackson misses 2-pt layup from 1 ft,33,31
2,8:08.0,Defensive rebound by A. Davis,,33,31
2,8:06.0,F. Jackson misses 2-pt layup from 1 ft,,33,31
2,8:01.0,Offensive rebound by K. Williams,,33,31
2,7:54.0,S. Johnson misses 3-pt jump shot from 24 ft,,33,31
2,7:53.0,,Defensive rebound by Team,33,31
2,7:53.0,Loose ball foul by F. Jackson (drawn by J. Jackson),,33,31
2,7:53.0,J. Randle enters the game for S. Johnson,,33,31
2,7:30.0,,D. Wright misses 2-pt jump shot from 8 ft,33,31
2,7:27.0,Defensive rebound by J. Randle,,33,31
2,7:21.0,F. Jackson makes 2-pt jump shot from 8 ft (assist by J. Holiday),,35,31
2,7:02.0,,J. Jackson misses 3-pt jump shot from 25 ft,35,31
2,7:00.0,Defensive rebound by A. Davis,,35,31
2,6:47.0,J. Randle misses 2-pt jump shot from 8 ft,,35,31
2,6:45.0,,Defensive rebound by D. Wright,35,31
2,6:41.0,,C. Miles misses 3-pt jump shot from 26 ft,35,31
2,6:38.0,,Offensive rebound by B. Caboclo,35,31
2,6:31.0,,J. Carter misses 3-pt jump shot from 26 ft,35,31
2,6:29.0,Defensive rebound by K. Williams,,35,31
2,6:29.0,Personal foul by B. Caboclo (drawn by K. Williams),,35,31
2,6:29.0,,A. Bradley enters the game for J. Carter,35,31
2,6:29.0,,M. Conley enters the game for C. Miles,35,31
2,6:29.0,,J. Holiday enters the game for D. Wright,35,31
2,6:12.0,J. Holiday makes 2-pt jump shot from 12 ft,,37,31
2,5:51.0,,M. Conley misses 2-pt layup from 4 ft,37,31
2,5:48.0,,Offensive rebound by M. Conley,37,31
2,5:37.0,,Shooting foul by A. Davis (drawn by J. Jackson),37,31
2,5:37.0,,J. Jackson makes free throw 1 of 2,37,32
2,5:37.0,,J. Jackson makes free throw 2 of 2,37,33
2,5:25.0,Turnover by J. Randle (step out of bounds),,37,33
2,5:13.0,,M. Conley makes 2-pt layup from 1 ft,37,35
2,4:57.0,K. Williams misses 3-pt jump shot from 26 ft,,37,35
2,4:54.0,Offensive rebound by J. Holiday,,37,35
2,4:53.0,F. Jackson misses 2-pt jump shot from 8 ft,,37,35
2,4:49.0,Offensive rebound by F. Jackson,,37,35
2,4:48.0,F. Jackson misses 2-pt layup from 2 ft,,37,35
2,4:43.0,Offensive rebound by A. Davis,,37,35
2,4:43.0,A. Davis misses 2-pt layup from 1 ft,,37,35
2,4:43.0,,Defensive rebound by M. Conley,37,35
2,4:42.0,,J. Holiday misses 2-pt layup from 1 ft,37,35
2,4:42.0,,Offensive rebound by J. Holiday,37,35
2,4:36.0,,J. Holiday makes 2-pt layup at rim,37,37
2,4:28.0,J. Holiday misses 2-pt layup from 2 ft (block by B. Caboclo),,37,37
2,4:28.0,Offensive rebound by Team,,37,37
2,4:25.0,F. Jackson misses 2-pt jump shot from 17 ft,,37,37
2,4:19.0,Offensive rebound by K. Williams,,37,37
2,4:09.0,F. Jackson misses 2-pt layup from 2 ft,,37,37
2,4:09.0,,Defensive rebound by B. Caboclo,37,37
2,4:06.0,,Turnover by B. Caboclo (bad pass; steal by A. Davis),37,37
2,4:04.0,,Violation by Team (kicked ball),37,37
2,4:04.0,,I. Rabb enters the game for B. Caboclo,37,37
2,3:59.0,Personal foul by A. Bradley (drawn by J. Holiday),,37,37
2,3:53.0,J. Holiday misses 3-pt jump shot from 28 ft,,37,37
2,3:50.0,Offensive rebound by K. Williams,,37,37
2,3:48.0,J. Holiday makes 2-pt layup at rim (assist by K. Williams),,39,37
2,3:33.0,,A. Bradley misses 3-pt jump shot from 26 ft,39,37
2,3:30.0,Defensive rebound by A. Davis,,39,37
2,3:21.0,J. Holiday misses 2-pt jump shot from 13 ft,,39,37
2,3:19.0,Offensive rebound by J. Randle,,39,37
2,3:19.0,Personal foul by I. Rabb (drawn by J. Randle),,39,37
2,3:12.0,F. Jackson misses 3-pt jump shot from 26 ft,,39,37
2,3:07.0,Offensive rebound by J. Holiday,,39,37
2,3:06.0,K. Williams makes 3-pt jump shot from 26 ft (assist by J. Holiday),,42,37
2,2:45.0,,Shooting foul by J. Randle (drawn by I. Rabb),42,37
2,2:45.0,,I. Rabb makes free throw 1 of 2,42,38
2,2:45.0,,J. Noah enters the game for J. Jackson,42,38
2,2:45.0,,I. Rabb makes free throw 2 of 2,42,39
2,2:24.0,J. Randle misses 2-pt jump shot from 10 ft,,42,39
2,2:21.0,,Defensive rebound by I. Rabb,42,39
2,2:13.0,,A. Bradley misses 2-pt jump shot from 8 ft,42,39
2,2:10.0,Defensive rebound by A. Davis,,42,39
2,2:00.0,F. Jackson misses 2-pt layup from 2 ft,,42,39
2,1:57.0,,Defensive rebound by I. Rabb,42,39
2,1:50.0,,M. Conley misses 3-pt jump shot from 25 ft,42,39
2,1:46.0,Defensive rebound by K. Williams,,42,39
2,1:39.0,Offensive foul by A. Davis (drawn by J. Holiday),,42,39
2,1:39.0,Turnover by A. Davis (offensive foul),,42,39
2,1:20.0,,I. Rabb misses 2-pt jump shot from 20 ft,42,39
2,1:15.0,Defensive rebound by J. Holiday,,42,39
2,1:09.0,F. Jackson misses 3-pt jump shot from 23 ft,,42,39
2,1:05.0,,Defensive rebound by J. Noah,42,39
2,1:02.0,,J. Holiday makes 2-pt dunk from 1 ft (assist by J. Noah),42,41
2,0:49.0,K. Williams misses 3-pt jump shot from 26 ft,,42,41
2,0:47.0,,Defensive rebound by I. Rabb,42,41
2,0:33.0,,A. Bradley misses 2-pt jump shot from 19 ft,42,41
2,0:30.0,,Offensive rebound by I. Rabb,42,41
2,0:28.0,,J. Holiday misses 3-pt jump shot from 24 ft,42,41
2,0:25.0,Defensive rebound by J. Holiday,,42,41
2,0:05.0,J. Holiday misses 2-pt jump shot from 12 ft,,42,41
2,0:05.0,Offensive rebound by J. Randle,,42,41
2,0:00.0,J. Randle makes 2-pt jump shot from 9 ft,,44,41
3,11:45.0,,I. Rabb makes 2-pt dunk at rim (assist by M. Conley),44,43
3,11:32.0,Turnover by J. Holiday (lost ball; steal by A. Bradley),,44,43
3,11:30.0,,A. Bradley makes 2-pt layup from 1 ft,44,45
3,11:18.0,Personal foul by I. Rabb (drawn by J. Holiday),,44,45
3,11:07.0,Turnover by A. Davis (traveling),,44,45
3,10:51.0,,A. Bradley makes 3-pt jump shot from 23 ft (assist by M. Conley),44,48
3,10:41.0,J. Holiday makes 2-pt layup from 1 ft,,46,48
3,10:27.0,,A. Bradley misses 2-pt jump shot from 22 ft,46,48
3,10:25.0,Defensive rebound by A. Davis,,46,48
3,10:18.0,D. Miller misses 2-pt jump shot from 15 ft,,46,48
3,10:15.0,,Defensive rebound by I. Rabb,46,48
3,10:10.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by A. Bradley),46,51
3,10:09.0,New Orleans full timeout,,46,51
3,9:51.0,D. Miller makes 3-pt jump shot from 23 ft (assist by A. Davis),,49,51
3,9:34.0,,Turnover by A. Bradley (lost ball; steal by F. Jackson),49,51
3,9:30.0,F. Jackson makes 2-pt layup from 1 ft,,51,51
3,9:13.0,,Turnover by J. Holiday (out of bounds lost ball),51,51
3,9:13.0,T. Frazier enters the game for F. Jackson,,51,51
3,9:02.0,J. Holiday misses 2-pt jump shot from 2 ft,,51,51
3,8:59.0,,Defensive rebound by J. Jackson,51,51
3,8:44.0,,J. Holiday makes 2-pt jump shot from 20 ft (assist by I. Rabb),51,53
3,8:20.0,D. Miller makes 2-pt jump shot from 6 ft (assist by K. Williams),,53,53
3,8:02.0,,J. Jackson misses 2-pt jump shot from 15 ft,53,53
3,7:59.0,Defensive rebound by K. Williams,,53,53
3,7:50.0,D. Miller misses 3-pt jump shot from 26 ft,,53,53
3,7:48.0,,Defensive rebound by M. Conley,53,53
3,7:40.0,,J. Jackson makes 2-pt hook shot from 5 ft (assist by M. Conley),53,55
3,7:30.0,A. Davis misses 3-pt jump shot from 25 ft,,53,55
3,7:26.0,,Defensive rebound by J. Jackson,53,55
3,7:18.0,,Personal foul by A. Davis (drawn by I. Rabb),53,55
3,7:06.0,,J. Jackson misses 2-pt layup from 2 ft,53,55
3,7:04.0,Defensive rebound by A. Davis,,53,55
3,6:58.0,K. Williams makes 2-pt layup at rim,,55,55
3,6:39.0,,I. Rabb misses 2-pt hook shot from 8 ft,55,55
3,6:36.0,Defensive rebound by A. Davis,,55,55
3,6:32.0,J. Holiday makes 2-pt dunk from 1 ft (assist by A. Davis),,57,55
3,6:32.0,,Memphis full timeout,57,55
3,6:32.0,E. Moore enters the game for J. Holiday,,57,55
3,6:32.0,,J. Noah enters the game for A. Bradley,57,55
3,6:32.0,,D. Wright enters the game for I. Rabb,57,55
3,6:16.0,,J. Jackson misses 2-pt hook shot from 7 ft,57,55
3,6:12.0,,Offensive rebound by J. Noah,57,55
3,6:12.0,,J. Noah makes 2-pt layup from 1 ft,57,57
3,5:53.0,Turnover by E. Moore (palming),,57,57
3,5:29.0,,J. Noah misses 2-pt layup from 2 ft (block by K. Williams),57,57
3,5:29.0,,Offensive rebound by Team,57,57
3,5:29.0,,Turnover by Team (shot clock),57,57
3,5:18.0,D. Miller misses 3-pt jump shot from 25 ft,,57,57
3,5:15.0,,Defensive rebound by J. Noah,57,57
3,5:06.0,,D. Wright misses 3-pt jump shot from 23 ft,57,57
3,5:03.0,Defensive rebound by A. Davis,,57,57
3,4:54.0,A. Davis makes 2-pt layup from 1 ft (assist by K. Williams),,59,57
3,4:54.0,Shooting foul by J. Noah (drawn by A. Davis),,59,57
3,4:54.0,J. Randle enters the game for D. Miller,,59,57
3,4:54.0,A. Davis makes free throw 1 of 1,,60,57
3,4:43.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by M. Conley),60,60
3,4:26.0,E. Moore misses 2-pt jump shot from 9 ft,,60,60
3,4:22.0,,Defensive rebound by M. Conley,60,60
3,4:18.0,,J. Noah makes 2-pt dunk from 1 ft (assist by M. Conley),60,62
3,3:59.0,K. Williams misses 2-pt layup from 1 ft (block by J. Jackson),,60,62
3,3:59.0,Offensive rebound by Team,,60,62
3,3:59.0,C. Diallo enters the game for A. Davis,,60,62
3,3:50.0,J. Randle misses 3-pt jump shot from 24 ft,,60,62
3,3:48.0,,Defensive rebound by J. Noah,60,62
3,3:43.0,,M. Conley makes 2-pt layup from 5 ft,60,64
3,3:28.0,Offensive foul by C. Diallo (drawn by M. Conley),,60,64
3,3:28.0,Turnover by C. Diallo (offensive foul),,60,64
3,3:10.0,,M. Conley misses 3-pt jump shot from 27 ft,60,64
3,3:06.0,Defensive rebound by C. Diallo,,60,64
3,2:59.0,E. Moore misses 3-pt jump shot from 25 ft,,60,64
3,2:55.0,Offensive rebound by C. Diallo,,60,64
3,2:54.0,K. Williams misses 3-pt jump shot from 25 ft,,60,64
3,2:51.0,Offensive rebound by E. Moore,,60,64
3,2:48.0,Turnover by E. Moore (lost ball; steal by J. Jackson),,60,64
3,2:42.0,,Personal foul by T. Frazier (drawn by M. Conley),60,64
3,2:42.0,New Orleans full timeout,,60,64
3,2:42.0,,J. Carter enters the game for M. Conley,60,64
3,2:42.0,,C. Miles enters the game for J. Holiday,60,64
3,2:35.0,,J. Noah makes 2-pt layup from 3 ft (assist by D. Wright),60,66
3,2:35.0,D. Miller enters the game for K. Williams,,60,66
3,2:14.0,Turnover by J. Randle (lost ball),,60,66
3,2:04.0,,C. Miles makes 2-pt layup from 1 ft (assist by J. Jackson),60,68
3,1:46.0,Personal foul by J. Carter (drawn by J. Randle),,60,68
3,1:38.0,D. Miller misses 3-pt jump shot from 26 ft,,60,68
3,1:36.0,,Defensive rebound by J. Jackson,60,68
3,1:31.0,,J. Jackson misses 2-pt hook shot from 7 ft,60,68
3,1:22.0,Defensive rebound by C. Diallo,,60,68
3,1:13.0,Turnover by T. Frazier (bad pass),,60,68
3,1:12.0,Loose ball foul by T. Frazier (drawn by J. Jackson),,60,68
3,1:07.0,,C. Miles makes 2-pt jump shot from 22 ft (assist by D. Wright),60,70
3,0:44.0,E. Moore misses 2-pt layup from 3 ft,,60,70
3,0:44.0,Offensive rebound by J. Randle,,60,70
3,0:44.0,J. Randle makes 2-pt layup at rim,,62,70
3,0:32.0,,Shooting foul by J. Randle (drawn by J. Noah),62,70
3,0:32.0,,J. Noah makes free throw 1 of 2,62,71
3,0:32.0,,B. Caboclo enters the game for J. Jackson,62,71
3,0:32.0,,J. Noah makes free throw 2 of 2,62,72
3,0:10.0,J. Randle misses 2-pt layup from 2 ft,,62,72
3,0:08.0,,Defensive rebound by J. Noah,62,72
3,0:01.0,,J. Carter misses 3-pt jump shot from 23 ft,62,72
3,0:01.0,,Offensive rebound by Team,62,72
4,11:43.0,J. Holiday misses 2-pt jump shot from 11 ft,,62,72
4,11:42.0,Offensive rebound by Team,,62,72
4,11:42.0,,Loose ball foul by B. Caboclo (drawn by J. Randle),62,72
4,11:35.0,Shooting foul by D. Wright (drawn by A. Davis),,62,72
4,11:35.0,A. Davis makes free throw 1 of 2,,63,72
4,11:35.0,A. Davis makes free throw 2 of 2,,64,72
4,11:22.0,,D. Wright makes 2-pt jump shot from 12 ft,64,74
4,11:08.0,I. Clark misses 3-pt jump shot from 27 ft,,64,74
4,11:05.0,,Defensive rebound by J. Noah,64,74
4,10:53.0,,B. Caboclo misses 3-pt jump shot from 23 ft,64,74
4,10:51.0,Defensive rebound by A. Davis,,64,74
4,10:46.0,J. Holiday makes 2-pt jump shot from 4 ft,,66,74
4,10:28.0,,B. Caboclo misses 3-pt jump shot from 26 ft,66,74
4,10:26.0,Defensive rebound by J. Holiday,,66,74
4,10:21.0,Shooting foul by B. Caboclo (drawn by J. Randle),,66,74
4,10:21.0,J. Randle makes free throw 1 of 2,,67,74
4,10:21.0,,I. Rabb enters the game for B. Caboclo,67,74
4,10:21.0,J. Randle misses free throw 2 of 2,,67,74
4,10:15.0,Offensive rebound by A. Davis,,67,74
4,10:10.0,J. Holiday misses 2-pt jump shot from 3 ft,,67,74
4,10:08.0,Offensive rebound by J. Holiday,,67,74
4,10:05.0,A. Davis misses 2-pt jump shot from 18 ft,,67,74
4,10:04.0,,Defensive rebound by Team,67,74
4,9:50.0,,Turnover by J. Carter (out of bounds lost ball),67,74
4,9:35.0,J. Randle makes 2-pt layup from 2 ft (assist by A. Davis),,69,74
4,9:33.0,,Memphis full timeout,69,74
4,9:33.0,,M. Conley enters the game for J. Carter,69,74
4,9:16.0,,C. Miles makes 3-pt jump shot from 26 ft (assist by M. Conley),69,77
4,9:00.0,I. Clark misses 3-pt jump shot from 24 ft,,69,77
4,8:57.0,,Defensive rebound by C. Miles,69,77
4,8:45.0,,J. Noah misses 2-pt jump shot from 21 ft,69,77
4,8:41.0,Defensive rebound by K. Williams,,69,77
4,8:37.0,Offensive foul by J. Randle (drawn by J. Noah),,69,77
4,8:37.0,Turnover by J. Randle (offensive foul),,69,77
4,8:23.0,,J. Noah makes 2-pt dunk at rim (assist by C. Miles),69,79
4,8:09.0,J. Randle makes 2-pt dunk from 1 ft (assist by A. Davis),,71,79
4,7:49.0,,D. Wright misses 3-pt jump shot from 25 ft,71,79
4,7:46.0,Defensive rebound by A. Davis,,71,79
4,7:38.0,Turnover by I. Clark (bad pass; steal by D. Wright),,71,79
4,7:35.0,,D. Wright makes 2-pt layup from 2 ft (assist by M. Conley),71,81
4,7:35.0,Violation by Team (def goaltending),,71,81
4,7:09.0,I. Clark makes 2-pt jump shot from 9 ft (assist by J. Holiday),,73,81
4,6:52.0,,C. Miles makes 2-pt jump shot from 20 ft (assist by J. Noah),73,83
4,6:32.0,Personal foul by I. Rabb (drawn by A. Davis),,73,83
4,6:32.0,F. Jackson enters the game for I. Clark,,73,83
4,6:32.0,D. Miller enters the game for J. Randle,,73,83
4,6:32.0,,A. Bradley enters the game for I. Rabb,73,83
4,6:32.0,,J. Jackson enters the game for D. Wright,73,83
4,6:30.0,Personal foul by A. Bradley (drawn by A. Davis),,73,83
4,6:30.0,A. Davis makes free throw 1 of 2,,74,83
4,6:30.0,A. Davis makes free throw 2 of 2,,75,83
4,6:18.0,,J. Noah misses 2-pt jump shot from 8 ft (block by A. Davis),75,83
4,6:18.0,,Offensive rebound by Team,75,83
4,6:15.0,,M. Conley misses 3-pt jump shot from 25 ft,75,83
4,6:13.0,,Offensive rebound by Team,75,83
4,6:00.0,,M. Conley misses 3-pt jump shot from 26 ft,75,83
4,5:57.0,Defensive rebound by A. Davis,,75,83
4,5:55.0,Personal foul by J. Noah (drawn by A. Davis),,75,83
4,5:55.0,A. Davis misses free throw 1 of 2,,75,83
4,5:55.0,Offensive rebound by Team,,75,83
4,5:55.0,,J. Holiday enters the game for J. Noah,75,83
4,5:55.0,A. Davis makes free throw 2 of 2,,76,83
4,5:47.0,,Shooting foul by A. Davis (drawn by J. Jackson),76,83
4,5:47.0,,J. Jackson misses free throw 1 of 2,76,83
4,5:47.0,,Offensive rebound by Team,76,83
4,5:47.0,J. Randle enters the game for A. Davis,,76,83
4,5:47.0,,J. Jackson makes free throw 2 of 2,76,84
4,5:34.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by D. Miller),,79,84
4,5:16.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by A. Bradley),79,87
4,5:05.0,Personal foul by J. Holiday (drawn by J. Randle),,79,87
4,5:05.0,J. Randle makes free throw 1 of 2,,80,87
4,5:05.0,J. Randle makes free throw 2 of 2,,81,87
