QUARTER,TIME_REMAINING,INDIANA_ACTION,NEW ORLEANS_ACTION,INDIANA_SCORE,NEW ORLEANS_SCORE
1,1:59.0,Offensive rebound by Team,,18,17
1,1:59.0,T. Evans enters the game for B. Bogdanović,,18,17
1,1:59.0,A. Holiday enters the game for D. Collison,,18,17
1,1:59.0,E. Sumner enters the game for C. Joseph,,18,17
1,1:59.0,,T. Frazier enters the game for J. Holiday,18,17
1,1:59.0,,J. Okafor enters the game for K. Williams,18,17
1,1:59.0,M. Turner makes free throw 2 of 2,,19,17
1,1:36.0,,C. Diallo misses 2-pt jump shot from 8 ft,19,17
1,1:34.0,Defensive rebound by D. Sabonis,,19,17
1,1:29.0,D. Sabonis misses 2-pt layup from 5 ft,,19,17
1,1:18.0,Offensive rebound by D. Sabonis,,19,17
1,1:18.0,D. Sabonis makes 2-pt layup at rim,,21,17
1,1:11.0,,I. Clark misses 3-pt jump shot from 24 ft,21,17
1,1:11.0,Defensive rebound by E. Sumner,,21,17
1,1:00.0,M. Turner makes 2-pt jump shot from 13 ft (assist by A. Holiday),,23,17
1,0:45.0,,Shooting foul by A. Holiday (drawn by D. Miller),23,17
1,0:45.0,,D. Miller makes free throw 1 of 2,23,18
1,0:45.0,T. Leaf enters the game for M. Turner,,23,18
1,0:45.0,,D. Miller misses free throw 2 of 2,23,18
1,0:44.0,Defensive rebound by D. Sabonis,,23,18
1,0:35.0,Shooting foul by C. Diallo (drawn by A. Holiday),,23,18
1,0:35.0,A. Holiday makes free throw 1 of 2,,24,18
1,0:35.0,A. Holiday makes free throw 2 of 2,,25,18
1,0:29.0,,Personal foul by A. Holiday (drawn by T. Frazier),25,18
1,0:29.0,,T. Frazier makes free throw 1 of 2,25,19
1,0:29.0,,T. Frazier makes free throw 2 of 2,25,20
1,0:07.0,E. Sumner misses 3-pt jump shot from 25 ft,,25,20
1,0:04.0,Offensive rebound by A. Holiday,,25,20
1,0:02.0,A. Holiday misses 3-pt jump shot from 28 ft,,25,20
1,0:02.0,Offensive rebound by Team,,25,20
2,11:41.0,,J. Okafor makes 2-pt layup from 5 ft,25,22
2,11:27.0,T. Evans misses 2-pt jump shot from 13 ft,,25,22
2,11:27.0,,Defensive rebound by C. Diallo,25,22
2,11:19.0,,F. Jackson makes 2-pt layup from 2 ft (assist by T. Frazier),25,24
2,11:10.0,T. Leaf makes 2-pt hook shot from 5 ft (assist by T. Evans),,27,24
2,10:58.0,,I. Clark misses 3-pt jump shot from 26 ft,27,24
2,10:58.0,Defensive rebound by D. Sabonis,,27,24
2,10:41.0,D. Sabonis makes 2-pt layup from 3 ft (assist by E. Sumner),,29,24
2,10:25.0,,J. Okafor makes 2-pt layup from 3 ft (assist by T. Frazier),29,26
2,10:20.0,Shooting foul by I. Clark (drawn by A. Holiday),,29,26
2,10:20.0,A. Holiday misses free throw 1 of 2,,29,26
2,10:20.0,Offensive rebound by Team,,29,26
2,10:20.0,A. Holiday makes free throw 2 of 2,,30,26
2,10:03.0,,Turnover by T. Frazier (traveling),30,26
2,9:51.0,T. Evans misses 2-pt layup from 3 ft (block by J. Okafor),,30,26
2,9:46.0,,Defensive rebound by F. Jackson,30,26
2,9:32.0,,J. Okafor misses 2-pt jump shot from 11 ft,30,26
2,9:30.0,Defensive rebound by T. Leaf,,30,26
2,9:24.0,A. Holiday misses 2-pt jump shot from 9 ft,,30,26
2,9:22.0,,Defensive rebound by C. Diallo,30,26
2,9:18.0,,C. Diallo makes 2-pt layup from 2 ft (assist by F. Jackson),30,28
2,8:55.0,T. Leaf misses 3-pt jump shot from 27 ft,,30,28
2,8:52.0,,Defensive rebound by T. Frazier,30,28
2,8:44.0,,I. Clark misses 2-pt jump shot from 16 ft,30,28
2,8:44.0,Defensive rebound by Team,,30,28
2,8:44.0,,Loose ball foul by J. Okafor (drawn by D. Sabonis),30,28
2,8:44.0,,J. Holiday enters the game for I. Clark,30,28
2,8:44.0,,K. Williams enters the game for C. Diallo,30,28
2,8:28.0,D. Sabonis makes 2-pt hook shot from 6 ft,,32,28
2,8:16.0,,J. Okafor misses 2-pt layup from 2 ft,32,28
2,8:16.0,Defensive rebound by D. Sabonis,,32,28
2,8:09.0,T. Leaf makes 3-pt jump shot from 25 ft,,35,28
2,7:57.0,,J. Okafor makes 2-pt layup from 2 ft (assist by F. Jackson),35,30
2,7:45.0,T. Evans misses 2-pt layup from 2 ft (block by K. Williams),,35,30
2,7:42.0,,Defensive rebound by J. Okafor,35,30
2,7:37.0,,T. Frazier misses 2-pt layup from 2 ft,35,30
2,7:35.0,Defensive rebound by D. Sabonis,,35,30
2,7:27.0,A. Holiday misses 3-pt jump shot from 26 ft,,35,30
2,7:23.0,,Defensive rebound by J. Okafor,35,30
2,7:12.0,,J. Okafor makes 2-pt layup from 2 ft,35,32
2,7:06.0,Indiana full timeout,,35,32
2,7:06.0,B. Bogdanović enters the game for A. Holiday,,35,32
2,7:06.0,D. Collison enters the game for T. Leaf,,35,32
2,7:06.0,T. Young enters the game for E. Sumner,,35,32
2,6:55.0,Turnover by T. Evans (bad pass; steal by J. Okafor),,35,32
2,6:50.0,,J. Holiday misses 3-pt jump shot from 27 ft,35,32
2,6:46.0,Defensive rebound by D. Sabonis,,35,32
2,6:36.0,D. Sabonis makes 2-pt layup from 1 ft (assist by B. Bogdanović),,37,32
2,6:20.0,,J. Holiday makes 2-pt layup from 2 ft (assist by K. Williams),37,34
2,6:01.0,T. Evans misses 3-pt jump shot from 26 ft,,37,34
2,5:58.0,,Defensive rebound by J. Okafor,37,34
2,5:43.0,,J. Okafor misses 2-pt hook shot from 7 ft,37,34
2,5:41.0,Defensive rebound by D. Sabonis,,37,34
2,5:28.0,T. Evans makes 2-pt layup from 2 ft (assist by T. Young),,39,34
2,5:15.0,,K. Williams misses 3-pt jump shot from 25 ft,39,34
2,5:11.0,Defensive rebound by D. Sabonis,,39,34
2,5:01.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,39,34
2,4:57.0,,Defensive rebound by J. Okafor,39,34
2,4:36.0,,F. Jackson misses 2-pt jump shot from 8 ft,39,34
2,4:34.0,Defensive rebound by T. Evans,,39,34
2,4:29.0,Turnover by B. Bogdanović (lost ball; steal by T. Frazier),,39,34
2,4:26.0,,Turnover by T. Frazier (lost ball; steal by D. Collison),39,34
2,4:21.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by D. Collison),,41,34
2,4:02.0,,K. Williams makes 3-pt jump shot from 28 ft (assist by T. Frazier),41,37
2,3:53.0,T. Evans makes 3-pt jump shot from 29 ft (assist by D. Collison),,44,37
2,3:38.0,,J. Holiday misses 3-pt jump shot from 23 ft,44,37
2,3:35.0,,Offensive rebound by J. Okafor,44,37
2,3:34.0,,J. Okafor makes 2-pt layup from 2 ft,44,39
2,3:21.0,T. Evans misses 2-pt layup from 3 ft,,44,39
2,3:18.0,,Defensive rebound by J. Holiday,44,39
2,3:15.0,,J. Holiday makes 2-pt layup from 1 ft,44,41
2,3:15.0,,Shooting foul by D. Sabonis (drawn by J. Holiday),44,41
2,3:15.0,C. Joseph enters the game for T. Evans,,44,41
2,3:15.0,M. Turner enters the game for D. Sabonis,,44,41
2,3:15.0,,C. Diallo enters the game for T. Frazier,44,41
2,3:15.0,,D. Miller enters the game for J. Okafor,44,41
2,3:15.0,,J. Holiday makes free throw 1 of 1,44,42
2,2:55.0,D. Collison misses 3-pt jump shot from 26 ft,,44,42
2,2:51.0,,Defensive rebound by K. Williams,44,42
2,2:31.0,,C. Diallo makes 2-pt jump shot from 10 ft (assist by K. Williams),44,44
2,2:18.0,T. Young makes 2-pt layup from 2 ft (assist by B. Bogdanović),,46,44
2,2:08.0,,F. Jackson misses 2-pt layup from 3 ft,46,44
2,2:05.0,Defensive rebound by C. Joseph,,46,44
2,2:02.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by C. Joseph),,49,44
2,1:51.0,,Shooting foul by B. Bogdanović (drawn by J. Holiday),49,44
2,1:51.0,,New Orleans full timeout,49,44
2,1:51.0,,J. Holiday makes free throw 1 of 2,49,45
2,1:51.0,,J. Holiday makes free throw 2 of 2,49,46
2,1:36.0,T. Young misses 2-pt layup from 5 ft (block by C. Diallo),,49,46
2,1:33.0,,Defensive rebound by C. Diallo,49,46
2,1:22.0,,D. Miller makes 2-pt jump shot from 13 ft,49,48
2,1:09.0,M. Turner makes 2-pt dunk from 2 ft (assist by D. Collison),,51,48
2,0:53.0,,K. Williams misses 3-pt jump shot from 22 ft,51,48
2,0:49.0,,Offensive rebound by J. Holiday,51,48
2,0:44.0,,J. Holiday makes 2-pt dunk from 1 ft,51,50
2,0:34.0,D. Collison makes 2-pt jump shot from 18 ft,,53,50
2,0:14.0,,K. Williams misses 3-pt jump shot from 23 ft,53,50
2,0:10.0,Defensive rebound by B. Bogdanović,,53,50
2,0:00.0,M. Turner misses 2-pt jump shot from 15 ft,,53,50
2,0:00.0,Offensive rebound by Team,,53,50
3,11:42.0,,K. Williams makes 3-pt jump shot from 23 ft (assist by D. Miller),53,53
3,11:12.0,T. Young makes 2-pt hook shot from 7 ft (assist by B. Bogdanović),,55,53
3,11:06.0,,D. Miller misses 3-pt jump shot from 25 ft,55,53
3,11:03.0,Defensive rebound by M. Turner,,55,53
3,10:56.0,Shooting foul by K. Williams (drawn by B. Bogdanović),,55,53
3,10:56.0,B. Bogdanović misses free throw 1 of 2,,55,53
3,10:56.0,Offensive rebound by Team,,55,53
3,10:56.0,B. Bogdanović makes free throw 2 of 2,,56,53
3,10:42.0,,F. Jackson misses 3-pt jump shot from 24 ft,56,53
3,10:39.0,,Offensive rebound by K. Williams,56,53
3,10:37.0,,Turnover by J. Holiday (traveling),56,53
3,10:25.0,M. Turner makes 2-pt dunk from 1 ft,,58,53
3,10:00.0,,K. Williams misses 3-pt jump shot from 25 ft,58,53
3,9:59.0,,Offensive rebound by J. Okafor,58,53
3,9:56.0,,K. Williams makes 2-pt dunk at rim (assist by J. Okafor),58,55
3,9:41.0,C. Joseph makes 3-pt jump shot from 27 ft (assist by T. Young),,61,55
3,9:23.0,,D. Miller misses 2-pt jump shot from 18 ft,61,55
3,9:18.0,Defensive rebound by M. Turner,,61,55
3,9:13.0,D. Collison misses 3-pt jump shot from 27 ft,,61,55
3,9:09.0,,Defensive rebound by F. Jackson,61,55
3,8:59.0,,Shooting foul by M. Turner (drawn by J. Okafor),61,55
3,8:59.0,,J. Okafor makes free throw 1 of 2,61,56
3,8:59.0,,J. Okafor makes free throw 2 of 2,61,57
3,8:48.0,M. Turner misses 3-pt jump shot from 26 ft,,61,57
3,8:44.0,Offensive rebound by T. Young,,61,57
3,8:42.0,T. Young makes 2-pt hook shot from 5 ft,,63,57
3,8:25.0,,F. Jackson misses 3-pt jump shot from 23 ft,63,57
3,8:22.0,Defensive rebound by T. Young,,63,57
3,8:07.0,Shooting foul by J. Okafor (drawn by M. Turner),,63,57
3,8:07.0,M. Turner makes free throw 1 of 2,,64,57
3,8:07.0,M. Turner makes free throw 2 of 2,,65,57
3,7:50.0,,Turnover by F. Jackson (out of bounds lost ball),65,57
3,7:39.0,Personal foul by K. Williams (drawn by T. Young),,65,57
3,7:39.0,,I. Clark enters the game for F. Jackson,65,57
3,7:39.0,,C. Diallo enters the game for J. Okafor,65,57
3,7:29.0,C. Joseph misses 3-pt jump shot from 25 ft,,65,57
3,7:26.0,,Defensive rebound by C. Diallo,65,57
3,7:14.0,,C. Diallo makes 2-pt layup from 1 ft (assist by J. Holiday),65,59
3,7:14.0,,Shooting foul by D. Collison (drawn by C. Diallo),65,59
3,7:14.0,,C. Diallo makes free throw 1 of 1,65,60
3,7:00.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Collison),,68,60
3,6:46.0,,Turnover by J. Holiday (bad pass),68,60
3,6:46.0,,New Orleans full timeout,68,60
3,6:46.0,,T. Frazier enters the game for K. Williams,68,60
3,6:34.0,B. Bogdanović misses 2-pt jump shot from 10 ft (block by J. Holiday),,68,60
3,6:33.0,,Defensive rebound by J. Holiday,68,60
3,6:26.0,,D. Miller misses 3-pt jump shot from 25 ft,68,60
3,6:22.0,,Offensive rebound by J. Holiday,68,60
3,6:19.0,,T. Frazier misses 3-pt jump shot from 25 ft,68,60
3,6:17.0,Defensive rebound by M. Turner,,68,60
3,5:59.0,C. Joseph makes 2-pt jump shot from 20 ft (assist by D. Collison),,70,60
3,5:44.0,,I. Clark makes 3-pt jump shot from 25 ft (assist by J. Holiday),70,63
3,5:27.0,M. Turner misses 2-pt jump shot from 18 ft,,70,63
3,5:21.0,,Defensive rebound by D. Miller,70,63
3,5:13.0,,I. Clark misses 2-pt jump shot from 10 ft,70,63
3,5:10.0,,Offensive rebound by I. Clark,70,63
3,5:07.0,,C. Diallo makes 2-pt jump shot from 12 ft (assist by I. Clark),70,65
3,4:54.0,Personal foul by T. Frazier (drawn by D. Collison),,70,65
3,4:48.0,B. Bogdanović misses 2-pt layup from 2 ft,,70,65
3,4:46.0,,Defensive rebound by C. Diallo,70,65
3,4:41.0,,J. Holiday misses 2-pt layup from 2 ft,70,65
3,4:41.0,,Offensive rebound by C. Diallo,70,65
3,4:36.0,,C. Diallo makes 2-pt layup at rim,70,67
3,4:15.0,D. Collison makes 2-pt jump shot from 21 ft,,72,67
3,4:02.0,,Turnover by I. Clark (lost ball; steal by B. Bogdanović),72,67
3,3:58.0,D. Collison makes 2-pt jump shot from 19 ft (assist by B. Bogdanović),,74,67
3,3:58.0,,New Orleans full timeout,74,67
3,3:58.0,T. Evans enters the game for B. Bogdanović,,74,67
3,3:58.0,D. Sabonis enters the game for T. Young,,74,67
3,3:50.0,,D. Miller misses 3-pt jump shot from 26 ft,74,67
3,3:48.0,,Offensive rebound by C. Diallo,74,67
3,3:39.0,,Shooting foul by M. Turner (drawn by C. Diallo),74,67
3,3:39.0,,C. Diallo misses free throw 1 of 2,74,67
3,3:39.0,,Offensive rebound by Team,74,67
3,3:39.0,,J. Okafor enters the game for J. Holiday,74,67
3,3:39.0,,C. Diallo makes free throw 2 of 2,74,68
3,3:26.0,Personal foul by C. Diallo (drawn by D. Sabonis),,74,68
3,3:26.0,D. Sabonis makes free throw 1 of 2,,75,68
3,3:26.0,E. Sumner enters the game for C. Joseph,,75,68
3,3:26.0,D. Sabonis makes free throw 2 of 2,,76,68
3,3:07.0,,C. Diallo misses 2-pt layup from 1 ft (block by M. Turner),76,68
3,3:04.0,Defensive rebound by T. Evans,,76,68
3,3:01.0,T. Evans makes 2-pt layup from 3 ft,,78,68
3,2:46.0,,Turnover by I. Clark (out of bounds lost ball),78,68
3,2:33.0,Personal foul by I. Clark (drawn by E. Sumner),,78,68
3,2:33.0,E. Sumner misses free throw 1 of 2,,78,68
3,2:33.0,Offensive rebound by Team,,78,68
3,2:33.0,A. Holiday enters the game for D. Collison,,78,68
3,2:33.0,,K. Williams enters the game for D. Miller,78,68
3,2:33.0,E. Sumner makes free throw 2 of 2,,79,68
3,2:13.0,,I. Clark makes 2-pt jump shot from 6 ft,79,70
3,2:07.0,Turnover by T. Evans (out of bounds lost ball),,79,70
3,1:55.0,,I. Clark makes 2-pt jump shot from 9 ft,79,72
3,1:42.0,M. Turner makes 2-pt layup from 2 ft (assist by A. Holiday),,81,72
3,1:42.0,Shooting foul by J. Okafor (drawn by M. Turner),,81,72
3,1:42.0,M. Turner misses free throw 1 of 1,,81,72
3,1:38.0,,Defensive rebound by C. Diallo,81,72
3,1:27.0,,Offensive foul by I. Clark (drawn by E. Sumner),81,72
3,1:27.0,,Turnover by I. Clark (offensive foul),81,72
3,1:27.0,T. Young enters the game for M. Turner,,81,72
3,1:27.0,,S. Hill enters the game for J. Okafor,81,72
3,1:14.0,Turnover by E. Sumner (bad pass; steal by K. Williams),,81,72
3,0:51.0,,T. Frazier misses 3-pt jump shot from 27 ft,81,72
3,0:51.0,,Offensive rebound by Team,81,72
3,0:51.0,,Turnover by Team (shot clock),81,72
3,0:30.0,E. Sumner misses 2-pt jump shot from 17 ft,,81,72
3,0:28.0,,Defensive rebound by C. Diallo,81,72
3,0:16.0,,I. Clark misses 3-pt jump shot from 25 ft,81,72
3,0:13.0,,Offensive rebound by S. Hill,81,72
3,0:13.0,,Shooting foul by D. Sabonis (drawn by S. Hill),81,72
3,0:13.0,B. Bogdanović enters the game for E. Sumner,,81,72
3,0:13.0,,S. Hill makes free throw 1 of 2,81,73
3,0:13.0,,S. Hill makes free throw 2 of 2,81,74
3,0:00.0,T. Young makes 2-pt jump shot from 21 ft (assist by T. Evans),,83,74
4,11:39.0,A. Holiday makes 2-pt layup from 1 ft (assist by D. Sabonis),,85,74
4,11:11.0,,D. Miller makes 3-pt jump shot from 23 ft (assist by J. Holiday),85,77
4,10:58.0,T. Evans makes 2-pt layup from 1 ft,,87,77
4,10:47.0,,Shooting foul by E. Sumner (drawn by J. Holiday),87,77
4,10:47.0,,J. Holiday makes free throw 1 of 2,87,78
4,10:47.0,,J. Holiday makes free throw 2 of 2,87,79
4,10:32.0,D. Sabonis misses 2-pt jump shot from 13 ft,,87,79
4,10:30.0,,Defensive rebound by J. Okafor,87,79
4,10:07.0,,J. Holiday misses 3-pt jump shot from 25 ft,87,79
4,10:05.0,,Offensive rebound by D. Miller,87,79
4,10:03.0,,D. Miller misses 3-pt jump shot from 24 ft,87,79
4,9:57.0,Defensive rebound by A. Holiday,,87,79
4,9:54.0,A. Holiday makes 3-pt jump shot from 26 ft,,90,79
4,9:38.0,,J. Okafor makes 2-pt layup from 2 ft (assist by J. Holiday),90,81
4,9:38.0,,Shooting foul by T. Young (drawn by J. Okafor),90,81
4,9:38.0,Technical foul by D. Sabonis,,90,81
4,9:38.0,,I. Clark makes technical free throw,90,82
4,9:38.0,,J. Okafor makes free throw 1 of 1,90,83
4,9:26.0,T. Evans misses 2-pt layup from 2 ft,,90,83
4,9:21.0,Offensive rebound by D. Sabonis,,90,83
4,9:21.0,D. Sabonis makes 2-pt dunk from 1 ft,,92,83
4,9:18.0,,D. Miller makes 3-pt jump shot from 24 ft (assist by J. Holiday),92,86
4,9:17.0,,Technical foul by N. McMillan,92,86
4,9:17.0,,I. Clark makes technical free throw,92,87
4,9:17.0,C. Joseph enters the game for E. Sumner,,92,87
4,9:06.0,D. Sabonis makes 2-pt jump shot from 22 ft (assist by C. Joseph),,94,87
4,8:59.0,,Turnover by J. Holiday (bad pass),94,87
4,8:44.0,T. Evans misses 2-pt layup from 2 ft,,94,87
4,8:41.0,,Defensive rebound by D. Miller,94,87
4,8:29.0,,J. Okafor misses 2-pt layup from 4 ft,94,87
4,8:27.0,Defensive rebound by C. Joseph,,94,87
4,8:12.0,T. Evans misses 3-pt jump shot from 26 ft,,94,87
4,8:09.0,,Defensive rebound by J. Holiday,94,87
4,8:01.0,,D. Miller makes 3-pt jump shot from 24 ft (assist by J. Holiday),94,90
4,7:59.0,Indiana full timeout,,94,90
4,7:59.0,B. Bogdanović enters the game for T. Evans,,94,90
4,7:59.0,D. Collison enters the game for A. Holiday,,94,90
4,7:59.0,E. Sumner enters the game for T. Young,,94,90
4,7:59.0,,K. Williams enters the game for S. Hill,94,90
4,7:39.0,D. Collison makes 3-pt jump shot from 23 ft (assist by C. Joseph),,97,90
4,7:28.0,,Offensive foul by D. Miller (drawn by C. Joseph),97,90
4,7:28.0,,Turnover by D. Miller (offensive foul),97,90
4,7:15.0,B. Bogdanović misses 2-pt jump shot from 5 ft,,97,90
4,7:15.0,,Defensive rebound by Team,97,90
4,7:15.0,Loose ball foul by D. Sabonis (drawn by J. Okafor),,97,90
4,7:15.0,Technical foul by A. Gentry,,97,90
4,7:15.0,B. Bogdanović makes technical free throw,,98,90
4,7:06.0,,Shooting foul by B. Bogdanović (drawn by J. Holiday),98,90
4,7:06.0,,J. Holiday makes free throw 1 of 2,98,91
4,7:06.0,,J. Holiday misses free throw 2 of 2,98,91
4,7:03.0,Defensive rebound by D. Sabonis,,98,91
4,6:47.0,C. Joseph misses 2-pt jump shot from 18 ft,,98,91
4,6:44.0,,Defensive rebound by D. Miller,98,91
4,6:38.0,,J. Okafor makes 2-pt dunk from 1 ft (assist by D. Miller),98,93
4,6:37.0,Indiana full timeout,,98,93
4,6:37.0,M. Turner enters the game for D. Sabonis,,98,93
4,6:37.0,T. Young enters the game for E. Sumner,,98,93
4,6:30.0,Offensive foul by M. Turner (drawn by K. Williams),,98,93
4,6:30.0,Turnover by M. Turner (offensive foul),,98,93
4,6:06.0,,J. Okafor makes 2-pt layup from 2 ft (assist by I. Clark),98,95
4,5:56.0,Shooting foul by J. Okafor (drawn by B. Bogdanović),,98,95
4,5:56.0,B. Bogdanović makes free throw 1 of 2,,99,95
4,5:56.0,,C. Diallo enters the game for J. Okafor,99,95
4,5:56.0,B. Bogdanović misses free throw 2 of 2,,99,95
4,5:56.0,,Defensive rebound by C. Diallo,99,95
4,5:41.0,,I. Clark misses 2-pt hook shot from 6 ft,99,95
4,5:39.0,Defensive rebound by M. Turner,,99,95
4,5:32.0,M. Turner misses 2-pt jump shot from 20 ft,,99,95
4,5:28.0,Offensive rebound by C. Joseph,,99,95
4,5:13.0,D. Collison makes 2-pt jump shot from 21 ft (assist by C. Joseph),,101,95
4,5:05.0,,J. Holiday misses 3-pt jump shot from 24 ft,101,95
4,5:05.0,,Offensive rebound by C. Diallo,101,95
4,5:00.0,,C. Diallo misses 2-pt hook shot from 2 ft,101,95
4,5:00.0,Defensive rebound by Team,,101,95
4,4:39.0,T. Young misses 2-pt hook shot from 9 ft,,101,95
4,4:36.0,,Defensive rebound by C. Diallo,101,95
4,4:30.0,,J. Holiday misses 3-pt jump shot from 24 ft,101,95
4,4:27.0,Defensive rebound by M. Turner,,101,95
4,4:15.0,M. Turner misses 2-pt jump shot from 14 ft,,101,95
4,4:12.0,Offensive rebound by M. Turner,,101,95
4,4:10.0,M. Turner makes 2-pt layup from 2 ft,,103,95
