QUARTER,TIME_REMAINING,MIAMI_ACTION,PHILADELPHIA_ACTION,MIAMI_SCORE,PHILADELPHIA_SCORE
1,3:29.0,Turnover by D. Wade (offensive foul),,13,23
1,3:11.0,,B. Simmons misses 2-pt hook shot from 5 ft,13,23
1,3:06.0,Defensive rebound by R. McGruder,,13,23
1,3:02.0,D. Wade makes 2-pt jump shot from 8 ft,,15,23
1,2:54.0,,B. Simmons makes 2-pt dunk from 1 ft,15,25
1,2:36.0,J. Richardson misses 3-pt jump shot from 27 ft,,15,25
1,2:33.0,,Defensive rebound by J. Redick,15,25
1,2:28.0,,J. Redick misses 3-pt jump shot from 26 ft,15,25
1,2:25.0,Defensive rebound by R. McGruder,,15,25
1,2:04.0,J. Richardson makes 2-pt layup from 1 ft (assist by R. McGruder),,17,25
1,1:42.0,,J. Redick makes 2-pt jump shot from 17 ft (assist by J. Simmons),17,27
1,1:21.0,,Violation by Team (kicked ball),17,27
1,1:13.0,D. Wade misses 2-pt layup from 1 ft,,17,27
1,1:10.0,,Defensive rebound by B. Simmons,17,27
1,1:07.0,,Turnover by B. Simmons (bad pass; steal by B. Adebayo),17,27
1,1:02.0,D. Wade makes 2-pt dunk at rim (assist by B. Adebayo),,19,27
1,0:44.0,,B. Simmons makes 2-pt hook shot from 8 ft,19,29
1,0:27.0,J. Johnson makes 2-pt layup from 1 ft,,21,29
1,0:05.0,,J. Simmons misses 3-pt jump shot from 23 ft,21,29
1,0:02.0,Defensive rebound by B. Adebayo,,21,29
2,11:52.0,,Personal foul by J. Richardson (drawn by J. Bolden),21,29
2,11:37.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by M. Scott),21,32
2,11:05.0,D. Wade misses 2-pt layup from 1 ft,,21,32
2,11:02.0,Offensive rebound by R. McGruder,,21,32
2,11:01.0,R. McGruder makes 2-pt layup from 2 ft,,23,32
2,10:53.0,,M. Scott misses 3-pt jump shot from 23 ft,23,32
2,10:50.0,Defensive rebound by J. Johnson,,23,32
2,10:42.0,J. Johnson misses 2-pt layup from 1 ft,,23,32
2,10:42.0,Offensive rebound by Team,,23,32
2,10:32.0,B. Adebayo makes 2-pt hook shot from 8 ft (assist by J. Richardson),,25,32
2,10:21.0,,J. Redick misses 3-pt jump shot from 25 ft,25,32
2,10:17.0,Defensive rebound by B. Adebayo,,25,32
2,10:09.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by R. McGruder),,27,32
2,10:09.0,,Philadelphia full timeout,27,32
2,9:55.0,,Shooting foul by R. McGruder (drawn by J. Redick),27,32
2,9:55.0,,J. Redick makes free throw 1 of 2,27,33
2,9:55.0,,J. Redick makes free throw 2 of 2,27,34
