QUARTER,TIME_REMAINING,PORTLAND_ACTION,MINNESOTA_ACTION,PORTLAND_SCORE,MINNESOTA_SCORE
2,4:19.0,,Turnover by D. Šarić (offensive foul),37,44
2,4:19.0,A. Aminu enters the game for Z. Collins,,37,44
2,4:19.0,J. Layman enters the game for A. Simons,,37,44
2,4:19.0,,T. Gibson enters the game for D. Rose,37,44
2,4:19.0,,A. Wiggins enters the game for D. Šarić,37,44
2,4:02.0,Turnover by J. Nurkić (lost ball; steal by K. Towns),,37,44
2,3:53.0,,K. Towns misses 2-pt layup from 1 ft,37,44
2,3:52.0,Defensive rebound by A. Aminu,,37,44
2,3:48.0,Offensive foul by D. Lillard (drawn by J. Teague),,37,44
2,3:48.0,Turnover by D. Lillard (offensive foul),,37,44
2,3:35.0,,Shooting foul by J. Nurkić (drawn by A. Wiggins),37,44
2,3:35.0,,A. Wiggins makes free throw 1 of 2,37,45
2,3:35.0,,A. Wiggins makes free throw 2 of 2,37,46
2,3:28.0,Turnover by D. Lillard (out of bounds lost ball),,37,46
2,3:19.0,,A. Wiggins makes 2-pt jump shot from 5 ft (assist by J. Teague),37,48
2,3:03.0,Turnover by C. McCollum (step out of bounds),,37,48
2,2:53.0,,Turnover by A. Wiggins (traveling),37,48
2,2:53.0,,Minnesota full timeout,37,48
2,2:53.0,E. Turner enters the game for J. Layman,,37,48
2,2:42.0,Def 3 sec tech foul by Team,,37,48
2,2:42.0,D. Lillard misses technical free throw,,37,48
2,2:42.0,Offensive rebound by Team,,37,48
2,2:37.0,D. Lillard misses 3-pt jump shot from 25 ft,,37,48
2,2:33.0,,Defensive rebound by A. Wiggins,37,48
2,2:20.0,,J. Teague misses 2-pt layup from 2 ft,37,48
2,2:20.0,,Offensive rebound by R. Covington,37,48
2,2:17.0,,R. Covington makes 3-pt jump shot from 27 ft,37,51
2,1:59.0,C. McCollum makes 2-pt jump shot from 20 ft,,39,51
2,1:42.0,,R. Covington makes 2-pt layup from 3 ft (assist by T. Gibson),39,53
2,1:31.0,Personal foul by R. Covington (drawn by D. Lillard),,39,53
2,1:19.0,A. Aminu misses 3-pt jump shot from 25 ft,,39,53
2,1:18.0,Offensive rebound by Team,,39,53
2,1:18.0,,Loose ball foul by R. Covington (drawn by J. Nurkić),39,53
2,1:18.0,J. Nurkić makes free throw 1 of 2,,40,53
2,1:18.0,,D. Rose enters the game for R. Covington,40,53
2,1:18.0,J. Nurkić makes free throw 2 of 2,,41,53
2,1:02.0,,T. Gibson misses 2-pt hook shot from 1 ft,41,53
2,0:59.0,Defensive rebound by A. Aminu,,41,53
2,0:48.0,Turnover by J. Nurkić (traveling),,41,53
2,0:39.0,,Personal foul by D. Lillard (drawn by J. Teague),41,53
2,0:39.0,,J. Teague makes free throw 1 of 2,41,54
2,0:39.0,M. Leonard enters the game for J. Nurkić,,41,54
2,0:39.0,,J. Teague misses free throw 2 of 2,41,54
2,0:36.0,Defensive rebound by A. Aminu,,41,54
2,0:30.0,D. Lillard misses 2-pt layup from 4 ft,,41,54
2,0:28.0,,Defensive rebound by J. Teague,41,54
2,0:12.0,,Turnover by J. Teague (bad pass; steal by A. Aminu),41,54
2,0:08.0,C. McCollum misses 2-pt layup from 6 ft (block by A. Wiggins),,41,54
2,0:05.0,Offensive rebound by D. Lillard,,41,54
2,0:05.0,D. Lillard makes 2-pt layup from 1 ft,,43,54
2,0:02.0,,Shooting foul by E. Turner (drawn by D. Rose),43,54
2,0:02.0,,D. Rose makes free throw 1 of 2,43,55
2,0:02.0,Z. Collins enters the game for A. Aminu,,43,55
2,0:02.0,,D. Rose misses free throw 2 of 2,43,55
2,0:00.0,Defensive rebound by M. Leonard,,43,55
3,11:46.0,,Personal foul by A. Aminu (drawn by K. Towns),43,55
3,11:35.0,,K. Towns misses 2-pt hook shot from 8 ft,43,55
3,11:34.0,Defensive rebound by J. Nurkić,,43,55
3,11:27.0,D. Lillard makes 2-pt layup from 2 ft,,45,55
3,11:13.0,,A. Wiggins misses 2-pt jump shot from 16 ft,45,55
3,11:10.0,Defensive rebound by J. Nurkić,,45,55
3,11:03.0,D. Lillard makes 3-pt jump shot from 26 ft,,48,55
3,10:44.0,,T. Gibson makes 2-pt layup from 2 ft (assist by K. Towns),48,57
3,10:27.0,Turnover by C. McCollum (lost ball; steal by R. Covington),,48,57
3,10:22.0,,R. Covington misses 3-pt jump shot from 26 ft,48,57
3,10:19.0,Defensive rebound by A. Aminu,,48,57
3,10:08.0,Shooting foul by T. Gibson (drawn by C. McCollum),,48,57
3,10:08.0,C. McCollum makes free throw 1 of 2,,49,57
3,10:08.0,C. McCollum misses free throw 2 of 2,,49,57
3,10:08.0,,Defensive rebound by K. Towns,49,57
3,9:55.0,,A. Wiggins misses 2-pt jump shot from 8 ft,49,57
3,9:53.0,Defensive rebound by A. Aminu,,49,57
3,9:43.0,D. Lillard misses 2-pt jump shot from 2 ft,,49,57
3,9:40.0,,Defensive rebound by A. Wiggins,49,57
3,9:28.0,,R. Covington makes 3-pt jump shot from 24 ft (assist by T. Gibson),49,60
3,9:10.0,J. Layman misses 2-pt layup from 1 ft (block by K. Towns),,49,60
3,9:09.0,,Defensive rebound by K. Towns,49,60
3,9:09.0,,Turnover by K. Towns (step out of bounds),49,60
3,9:03.0,Turnover by J. Nurkić (lost ball; steal by J. Teague),,49,60
3,8:57.0,,K. Towns misses 3-pt jump shot from 25 ft,49,60
3,8:53.0,Defensive rebound by A. Aminu,,49,60
3,8:48.0,Shooting foul by A. Wiggins (drawn by D. Lillard),,49,60
3,8:48.0,D. Lillard makes free throw 1 of 2,,50,60
3,8:48.0,D. Lillard makes free throw 2 of 2,,51,60
3,8:36.0,,A. Wiggins misses 2-pt jump shot from 6 ft,51,60
3,8:34.0,Defensive rebound by J. Nurkić,,51,60
3,8:29.0,D. Lillard misses 2-pt layup from 2 ft,,51,60
3,8:26.0,Offensive rebound by A. Aminu,,51,60
3,8:25.0,J. Layman misses 3-pt jump shot from 23 ft,,51,60
3,8:23.0,Offensive rebound by J. Layman,,51,60
3,8:23.0,Shooting foul by R. Covington (drawn by J. Layman),,51,60
3,8:23.0,,D. Rose enters the game for R. Covington,51,60
3,8:23.0,J. Layman makes free throw 1 of 2,,52,60
3,8:23.0,J. Layman misses free throw 2 of 2,,52,60
3,8:23.0,,Defensive rebound by Team,52,60
3,8:22.0,Loose ball foul by J. Nurkić (drawn by K. Towns),,52,60
3,8:10.0,,K. Towns misses 2-pt hook shot from 3 ft,52,60
3,8:10.0,,Offensive rebound by Team,52,60
3,7:59.0,,A. Wiggins makes 2-pt layup from 1 ft,52,62
3,7:49.0,C. McCollum makes 2-pt jump shot from 9 ft,,54,62
3,7:33.0,,D. Rose misses 2-pt jump shot from 11 ft,54,62
3,7:30.0,Defensive rebound by D. Lillard,,54,62
3,7:21.0,C. McCollum makes 2-pt layup at rim,,56,62
3,7:16.0,,Minnesota full timeout,56,62
3,7:04.0,,K. Towns makes 3-pt jump shot from 26 ft (assist by A. Wiggins),56,65
3,6:44.0,D. Lillard makes 2-pt jump shot from 23 ft,,58,65
3,6:29.0,,K. Towns misses 2-pt hook shot from 5 ft,58,65
3,6:28.0,,Offensive rebound by K. Towns,58,65
3,6:28.0,,Offensive foul by K. Towns (drawn by A. Aminu),58,65
3,6:28.0,,Turnover by K. Towns (offensive foul),58,65
3,6:07.0,J. Nurkić misses 2-pt jump shot from 8 ft,,58,65
3,6:04.0,,Defensive rebound by T. Gibson,58,65
3,5:56.0,,T. Gibson makes 2-pt layup from 1 ft (assist by J. Teague),58,67
3,5:39.0,J. Layman misses 2-pt jump shot from 16 ft,,58,67
3,5:36.0,,Defensive rebound by J. Teague,58,67
3,5:27.0,,J. Teague makes 2-pt jump shot from 8 ft,58,69
3,5:06.0,J. Layman misses 3-pt jump shot from 26 ft,,58,69
3,5:02.0,,Defensive rebound by D. Rose,58,69
3,4:51.0,,T. Gibson makes 2-pt dunk from 1 ft (assist by D. Rose),58,71
3,4:51.0,Portland full timeout,,58,71
3,4:51.0,M. Leonard enters the game for J. Layman,,58,71
3,4:51.0,E. Turner enters the game for J. Nurkić,,58,71
3,4:33.0,C. McCollum misses 3-pt jump shot from 26 ft,,58,71
3,4:30.0,,Defensive rebound by K. Towns,58,71
3,4:14.0,,Turnover by A. Wiggins (lost ball; steal by A. Aminu),58,71
3,4:00.0,E. Turner misses 3-pt jump shot from 24 ft,,58,71
3,3:57.0,,Defensive rebound by D. Rose,58,71
3,3:52.0,,A. Wiggins misses 3-pt jump shot from 24 ft,58,71
3,3:49.0,Defensive rebound by C. McCollum,,58,71
3,3:44.0,C. McCollum makes 2-pt jump shot from 7 ft,,60,71
3,3:25.0,,A. Wiggins makes 2-pt layup from 3 ft (assist by T. Gibson),60,73
3,3:07.0,A. Aminu misses 3-pt jump shot from 23 ft,,60,73
3,3:05.0,Offensive rebound by M. Leonard,,60,73
3,3:04.0,M. Leonard makes 2-pt jump shot from 8 ft,,62,73
3,2:48.0,,T. Gibson misses 2-pt layup from 1 ft,62,73
3,2:46.0,Defensive rebound by M. Leonard,,62,73
3,2:32.0,Turnover by D. Lillard (lost ball; steal by J. Teague),,62,73
3,2:28.0,,J. Teague makes 2-pt layup from 1 ft (assist by T. Gibson),62,75
3,2:08.0,M. Leonard misses 2-pt dunk from 1 ft,,62,75
3,2:07.0,,Defensive rebound by A. Wiggins,62,75
3,2:07.0,,Personal foul by C. McCollum (drawn by A. Wiggins),62,75
3,2:07.0,Z. Collins enters the game for A. Aminu,,62,75
3,2:07.0,N. Stauskas enters the game for C. McCollum,,62,75
3,2:07.0,,G. Dieng enters the game for T. Gibson,62,75
3,2:07.0,,D. Šarić enters the game for K. Towns,62,75
3,1:57.0,,D. Rose makes 2-pt jump shot from 7 ft (assist by J. Teague),62,77
3,1:39.0,Turnover by N. Stauskas (bad pass; steal by A. Wiggins),,62,77
3,1:36.0,,A. Wiggins makes 2-pt dunk at rim,62,79
3,1:13.0,N. Stauskas makes 2-pt jump shot from 15 ft,,64,79
3,0:50.0,,A. Wiggins makes 2-pt jump shot from 7 ft,64,81
3,0:32.0,Shooting foul by J. Teague (drawn by D. Lillard),,64,81
3,0:32.0,D. Lillard makes free throw 1 of 3,,65,81
3,0:32.0,D. Lillard makes free throw 2 of 3,,66,81
3,0:32.0,D. Lillard makes free throw 3 of 3,,67,81
3,0:23.0,,Personal foul by E. Turner (drawn by A. Wiggins),67,81
3,0:10.0,,G. Dieng makes 2-pt jump shot from 14 ft (assist by D. Šarić),67,83
3,0:03.0,D. Lillard misses 2-pt layup from 4 ft,,67,83
3,0:00.0,,Defensive rebound by Team,67,83
3,0:00.0,,A. Wiggins misses 3-pt jump shot from 25 ft,67,83
3,0:00.0,,Offensive rebound by Team,67,83
4,11:42.0,M. Leonard makes 2-pt dunk from 3 ft (assist by D. Lillard),,69,83
4,11:21.0,,D. Rose misses 2-pt jump shot from 8 ft,69,83
4,11:19.0,Defensive rebound by Z. Collins,,69,83
4,11:13.0,Turnover by D. Lillard (bad pass; steal by G. Dieng),,69,83
4,11:03.0,,G. Dieng misses 2-pt jump shot from 6 ft,69,83
4,11:01.0,Defensive rebound by Z. Collins,,69,83
4,10:55.0,Personal foul by G. Dieng (drawn by D. Lillard),,69,83
4,10:44.0,Z. Collins misses 2-pt hook shot from 4 ft,,69,83
4,10:40.0,,Defensive rebound by G. Dieng,69,83
4,10:31.0,,T. Jones makes 2-pt jump shot from 9 ft,69,85
4,10:14.0,D. Lillard misses 3-pt jump shot from 26 ft,,69,85
4,10:12.0,Offensive rebound by Team,,69,85
4,10:11.0,N. Stauskas makes 2-pt dunk from 1 ft (assist by E. Turner),,71,85
4,9:55.0,,D. Rose makes 2-pt jump shot from 8 ft,71,87
4,9:55.0,,Away from play foul by E. Turner (drawn by G. Dieng),71,87
4,9:55.0,,G. Dieng misses free throw 1 of 1,71,87
4,9:53.0,Defensive rebound by Z. Collins,,71,87
4,9:46.0,D. Lillard misses 3-pt jump shot from 26 ft,,71,87
4,9:44.0,Offensive rebound by Team,,71,87
4,9:44.0,,Loose ball foul by R. Covington (drawn by M. Leonard),71,87
4,9:44.0,,J. Teague enters the game for R. Covington,71,87
4,9:32.0,E. Turner misses 2-pt jump shot from 10 ft,,71,87
4,9:31.0,Offensive rebound by Team,,71,87
4,9:31.0,,Loose ball foul by D. Šarić (drawn by Z. Collins),71,87
4,9:31.0,A. Aminu enters the game for M. Leonard,,71,87
4,9:31.0,C. McCollum enters the game for E. Turner,,71,87
4,9:31.0,,K. Towns enters the game for G. Dieng,71,87
4,9:31.0,,A. Wiggins enters the game for T. Jones,71,87
4,9:21.0,N. Stauskas makes 2-pt layup from 1 ft,,73,87
4,9:06.0,,D. Šarić misses 3-pt jump shot from 25 ft,73,87
4,9:04.0,Defensive rebound by N. Stauskas,,73,87
4,8:54.0,D. Lillard misses 2-pt layup from 1 ft,,73,87
4,8:52.0,,Defensive rebound by D. Rose,73,87
4,8:48.0,,A. Wiggins makes 3-pt jump shot from 27 ft (assist by J. Teague),73,90
4,8:46.0,Portland full timeout,,73,90
4,8:31.0,C. McCollum misses 2-pt jump shot from 8 ft,,73,90
4,8:27.0,Offensive rebound by Z. Collins,,73,90
4,8:22.0,C. McCollum makes 2-pt jump shot from 7 ft,,75,90
4,8:01.0,,A. Wiggins makes 3-pt jump shot from 27 ft,75,93
4,7:52.0,Personal foul by K. Towns (drawn by C. McCollum),,75,93
4,7:46.0,C. McCollum makes 3-pt jump shot from 26 ft,,78,93
4,7:34.0,,J. Teague makes 2-pt layup from 1 ft,78,95
4,7:19.0,Z. Collins misses 2-pt layup from 2 ft,,78,95
4,7:17.0,,Defensive rebound by K. Towns,78,95
4,7:09.0,,Shooting foul by Z. Collins (drawn by D. Šarić),78,95
4,7:09.0,,D. Šarić makes free throw 1 of 2,78,96
4,7:09.0,J. Nurkić enters the game for Z. Collins,,78,96
4,7:09.0,,D. Šarić makes free throw 2 of 2,78,97
4,7:00.0,C. McCollum misses 3-pt jump shot from 26 ft,,78,97
4,6:59.0,,Defensive rebound by Team,78,97
4,6:47.0,,D. Rose makes 2-pt jump shot from 11 ft,78,99
4,6:33.0,D. Lillard misses 3-pt jump shot from 26 ft,,78,99
4,6:31.0,Offensive rebound by J. Nurkić,,78,99
4,6:31.0,J. Nurkić misses 2-pt layup from 1 ft,,78,99
4,6:29.0,,Defensive rebound by D. Šarić,78,99
4,6:18.0,,D. Rose misses 2-pt jump shot from 22 ft,78,99
4,6:16.0,Defensive rebound by J. Nurkić,,78,99
4,6:03.0,C. McCollum misses 2-pt jump shot from 4 ft (block by D. Šarić),,78,99
4,6:00.0,,Defensive rebound by K. Towns,78,99
4,5:46.0,,J. Teague makes 3-pt jump shot from 24 ft (assist by D. Rose),78,102
4,5:44.0,Portland full timeout,,78,102
4,5:44.0,W. Baldwin enters the game for A. Aminu,,78,102
4,5:44.0,Z. Collins enters the game for D. Lillard,,78,102
4,5:44.0,A. Simons enters the game for C. McCollum,,78,102
4,5:44.0,C. Swanigan enters the game for J. Nurkić,,78,102
4,5:44.0,G. Trent enters the game for N. Stauskas,,78,102
4,5:29.0,G. Trent makes 2-pt jump shot from 17 ft,,80,102
4,5:13.0,,D. Rose misses 2-pt jump shot from 11 ft,80,102
4,5:10.0,Defensive rebound by Z. Collins,,80,102
4,5:06.0,G. Trent misses 2-pt jump shot from 11 ft,,80,102
4,5:02.0,Offensive rebound by W. Baldwin,,80,102
4,5:00.0,G. Trent makes 3-pt jump shot from 26 ft (assist by W. Baldwin),,83,102
4,4:36.0,,A. Wiggins misses 2-pt jump shot from 13 ft,83,102
4,4:32.0,Defensive rebound by G. Trent,,83,102
4,4:25.0,W. Baldwin misses 3-pt jump shot from 26 ft,,83,102
4,4:20.0,,Defensive rebound by D. Rose,83,102
4,4:03.0,,K. Towns makes 2-pt dunk from 1 ft (assist by D. Šarić),83,104
4,3:47.0,G. Trent makes 3-pt jump shot from 26 ft,,86,104
4,3:30.0,,K. Towns misses 2-pt jump shot from 7 ft,86,104
4,3:28.0,Defensive rebound by Z. Collins,,86,104
4,3:22.0,W. Baldwin makes 2-pt layup from 2 ft,,88,104
4,3:01.0,,J. Teague makes 3-pt jump shot from 25 ft (assist by D. Rose),88,107
4,2:51.0,A. Simons misses 3-pt jump shot from 23 ft (block by J. Teague),,88,107
4,2:51.0,Offensive rebound by Team,,88,107
4,2:51.0,,G. Dieng enters the game for J. Teague,88,107
4,2:51.0,,T. Jones enters the game for K. Towns,88,107
4,2:43.0,C. Swanigan misses 2-pt layup from 6 ft,,88,107
4,2:41.0,,Defensive rebound by D. Rose,88,107
