QUARTER,TIME_REMAINING,BROOKLYN_ACTION,INDIANA_ACTION,BROOKLYN_SCORE,INDIANA_SCORE
1,7:01.0,J. Allen misses 2-pt layup from 1 ft,,11,9
1,6:59.0,Offensive rebound by D. Russell,,11,9
1,6:59.0,D. Russell misses 2-pt layup from 1 ft,,11,9
1,6:58.0,,Defensive rebound by M. Turner,11,9
1,6:53.0,,M. Turner makes 3-pt jump shot from 26 ft (assist by D. Collison),11,12
1,6:37.0,J. Allen misses 2-pt hook shot from 8 ft,,11,12
1,6:35.0,,Defensive rebound by M. Turner,11,12
1,6:13.0,,W. Matthews misses 3-pt jump shot from 27 ft,11,12
1,6:09.0,Defensive rebound by J. Allen,,11,12
1,6:02.0,D. Carroll misses 2-pt layup at rim,,11,12
1,5:59.0,Offensive rebound by J. Allen,,11,12
1,5:59.0,J. Allen makes 2-pt dunk from 1 ft,,13,12
1,5:41.0,,Personal foul by J. Allen (drawn by T. Young),13,12
1,5:41.0,S. Dinwiddie enters the game for D. Carroll,,13,12
1,5:41.0,J. Dudley enters the game for R. Kurucs,,13,12
1,5:41.0,,D. Sabonis enters the game for T. Young,13,12
1,5:34.0,,D. Sabonis misses 2-pt layup at rim (block by J. Allen),13,12
1,5:32.0,Defensive rebound by J. Dudley,,13,12
1,5:25.0,Shooting foul by D. Collison (drawn by D. Russell),,13,12
1,5:25.0,D. Russell makes free throw 1 of 2,,14,12
1,5:25.0,D. Russell makes free throw 2 of 2,,15,12
1,5:16.0,,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by D. Collison),15,15
1,5:01.0,J. Harris makes 2-pt layup from 1 ft (assist by D. Russell),,17,15
1,4:48.0,,D. Collison misses 3-pt jump shot from 26 ft,17,15
1,4:45.0,Defensive rebound by S. Dinwiddie,,17,15
1,4:41.0,Turnover by S. Dinwiddie (bad pass; steal by D. Collison),,17,15
1,4:36.0,,W. Matthews makes 3-pt jump shot from 28 ft (assist by D. Collison),17,18
1,4:19.0,D. Russell makes 2-pt jump shot from 9 ft (assist by J. Dudley),,19,18
1,4:07.0,,Personal foul by S. Dinwiddie (drawn by B. Bogdanović),19,18
1,4:07.0,C. LeVert enters the game for D. Russell,,19,18
1,4:03.0,,D. Collison misses 2-pt jump shot from 19 ft,19,18
1,4:00.0,Defensive rebound by J. Dudley,,19,18
1,3:42.0,S. Dinwiddie misses 3-pt jump shot from 23 ft,,19,18
1,3:39.0,,Defensive rebound by D. Collison,19,18
1,3:17.0,,D. Collison misses 2-pt jump shot from 9 ft,19,18
1,3:15.0,Defensive rebound by J. Dudley,,19,18
1,3:10.0,J. Allen misses 2-pt layup from 2 ft,,19,18
1,3:07.0,Offensive rebound by C. LeVert,,19,18
1,3:07.0,C. LeVert makes 2-pt layup from 1 ft,,21,18
1,2:51.0,,Turnover by D. Sabonis (bad pass; steal by C. LeVert),21,18
1,2:48.0,C. LeVert misses 3-pt jump shot from 27 ft,,21,18
1,2:45.0,,Defensive rebound by D. Sabonis,21,18
1,2:27.0,,M. Turner misses 2-pt layup from 3 ft (block by J. Dudley),21,18
1,2:25.0,Defensive rebound by J. Dudley,,21,18
1,2:13.0,J. Harris makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,24,18
1,2:11.0,,Indiana full timeout,24,18
1,2:11.0,D. Carroll enters the game for J. Allen,,24,18
1,2:11.0,E. Davis enters the game for J. Harris,,24,18
1,2:11.0,,A. Holiday enters the game for B. Bogdanović,24,18
1,2:11.0,,C. Joseph enters the game for D. Collison,24,18
1,2:11.0,,T. Leaf enters the game for W. Matthews,24,18
1,2:11.0,,D. McDermott enters the game for M. Turner,24,18
1,1:52.0,,C. Joseph misses 2-pt jump shot from 19 ft,24,18
1,1:49.0,Defensive rebound by E. Davis,,24,18
1,1:39.0,D. Carroll misses 3-pt jump shot from 26 ft,,24,18
1,1:36.0,,Defensive rebound by C. Joseph,24,18
1,1:31.0,,D. McDermott makes 3-pt jump shot from 26 ft (assist by C. Joseph),24,21
1,1:08.0,C. LeVert makes 2-pt jump shot from 11 ft,,26,21
1,0:51.0,,D. Sabonis makes 2-pt dunk from 3 ft (assist by A. Holiday),26,23
1,0:37.0,J. Dudley makes 3-pt jump shot from 28 ft (assist by C. LeVert),,29,23
1,0:32.0,,C. Joseph makes 2-pt layup from 3 ft,29,25
1,0:19.0,Shooting foul by A. Holiday (drawn by E. Davis),,29,25
1,0:19.0,E. Davis makes free throw 1 of 2,,30,25
1,0:19.0,E. Davis makes free throw 2 of 2,,31,25
1,0:00.0,,C. Joseph misses 2-pt jump shot from 21 ft,31,25
1,0:00.0,,Offensive rebound by Team,31,25
2,11:40.0,,T. Leaf makes 2-pt layup from 2 ft (assist by D. Sabonis),31,27
2,11:28.0,Turnover by J. Dudley (bad pass),,31,27
2,11:19.0,,D. McDermott misses 2-pt jump shot from 12 ft,31,27
2,11:16.0,Defensive rebound by D. Carroll,,31,27
2,11:11.0,J. Dudley misses 3-pt jump shot from 28 ft,,31,27
2,11:07.0,,Defensive rebound by T. Leaf,31,27
2,11:01.0,,A. Holiday misses 3-pt jump shot from 28 ft,31,27
2,10:58.0,Defensive rebound by D. Carroll,,31,27
2,10:40.0,Personal foul by A. Holiday (drawn by C. LeVert),,31,27
2,10:40.0,T. Graham enters the game for D. Carroll,,31,27
2,10:40.0,D. Russell enters the game for S. Dinwiddie,,31,27
2,10:35.0,C. LeVert misses 2-pt jump shot from 10 ft,,31,27
2,10:33.0,Offensive rebound by C. LeVert,,31,27
2,10:22.0,D. Russell misses 3-pt jump shot from 27 ft,,31,27
2,10:20.0,,Defensive rebound by D. Sabonis,31,27
2,10:13.0,,T. Leaf makes 2-pt jump shot from 9 ft (assist by C. Joseph),31,29
2,9:54.0,Personal foul by D. McDermott (drawn by E. Davis),,31,29
2,9:49.0,T. Graham misses 3-pt jump shot from 25 ft,,31,29
2,9:46.0,,Defensive rebound by C. Joseph,31,29
2,9:40.0,,C. Joseph makes 2-pt jump shot from 21 ft,31,31
2,9:19.0,D. Russell misses 2-pt layup from 1 ft,,31,31
2,9:18.0,,Defensive rebound by D. Sabonis,31,31
2,9:09.0,,C. Joseph misses 3-pt jump shot from 27 ft,31,31
2,9:04.0,,Offensive rebound by T. Leaf,31,31
2,9:02.0,,D. McDermott misses 3-pt jump shot from 27 ft,31,31
2,8:59.0,Defensive rebound by Team,,31,31
2,8:57.0,T. Graham makes 3-pt jump shot from 30 ft (assist by J. Dudley),,34,31
2,8:53.0,,Indiana full timeout,34,31
2,8:53.0,,B. Bogdanović enters the game for C. Joseph,34,31
2,8:42.0,,D. Sabonis misses 2-pt jump shot from 19 ft,34,31
2,8:39.0,Defensive rebound by C. LeVert,,34,31
2,8:31.0,C. LeVert makes 2-pt layup from 1 ft,,36,31
2,8:31.0,Shooting foul by D. Sabonis (drawn by C. LeVert),,36,31
2,8:31.0,C. LeVert makes free throw 1 of 1,,37,31
2,8:12.0,,D. Sabonis makes 2-pt jump shot from 10 ft (assist by A. Holiday),37,33
2,7:59.0,J. Dudley misses 3-pt jump shot from 29 ft,,37,33
2,7:56.0,,Defensive rebound by B. Bogdanović,37,33
2,7:48.0,,B. Bogdanović misses 2-pt jump shot from 17 ft,37,33
2,7:43.0,Defensive rebound by E. Davis,,37,33
2,7:37.0,D. Russell misses 2-pt jump shot from 9 ft,,37,33
2,7:35.0,Offensive rebound by E. Davis,,37,33
2,7:32.0,D. Russell misses 3-pt jump shot from 27 ft,,37,33
2,7:29.0,,Defensive rebound by B. Bogdanović,37,33
2,7:20.0,,Turnover by A. Holiday (bad pass; steal by T. Graham),37,33
2,7:16.0,Turnover by J. Dudley (bad pass; steal by B. Bogdanović),,37,33
2,7:16.0,S. Dinwiddie enters the game for J. Dudley,,37,33
2,7:16.0,J. Harris enters the game for C. LeVert,,37,33
2,7:16.0,,T. Young enters the game for T. Leaf,37,33
2,7:08.0,,A. Holiday makes 3-pt jump shot from 27 ft (assist by T. Young),37,36
2,6:48.0,Personal foul by T. Young (drawn by S. Dinwiddie),,37,36
2,6:37.0,Personal foul by A. Holiday (drawn by D. Russell),,37,36
2,6:37.0,D. Russell makes free throw 1 of 2,,38,36
2,6:37.0,D. Russell makes free throw 2 of 2,,39,36
2,6:21.0,,A. Holiday misses 3-pt jump shot from 25 ft,39,36
2,6:16.0,Defensive rebound by T. Graham,,39,36
2,6:07.0,D. Russell misses 3-pt jump shot from 28 ft,,39,36
2,6:02.0,Offensive rebound by D. Russell,,39,36
2,6:01.0,J. Harris makes 3-pt jump shot from 27 ft (assist by D. Russell),,42,36
2,5:44.0,,A. Holiday misses 2-pt jump shot from 17 ft,42,36
2,5:40.0,Defensive rebound by T. Graham,,42,36
2,5:28.0,Turnover by D. Russell (bad pass),,42,36
2,5:28.0,J. Allen enters the game for E. Davis,,42,36
2,5:28.0,,D. Collison enters the game for A. Holiday,42,36
2,5:28.0,,W. Matthews enters the game for D. McDermott,42,36
2,5:06.0,,D. Collison misses 3-pt jump shot from 22 ft,42,36
2,5:02.0,Defensive rebound by J. Harris,,42,36
2,4:53.0,S. Dinwiddie misses 3-pt jump shot from 23 ft,,42,36
2,4:49.0,Offensive rebound by T. Graham,,42,36
2,4:46.0,J. Harris makes 3-pt jump shot from 28 ft (assist by T. Graham),,45,36
2,4:29.0,,W. Matthews misses 3-pt jump shot from 26 ft,45,36
2,4:25.0,Defensive rebound by J. Allen,,45,36
2,4:10.0,J. Harris misses 3-pt jump shot from 23 ft,,45,36
2,4:07.0,Offensive rebound by J. Allen,,45,36
2,4:03.0,J. Allen misses 3-pt jump shot from 23 ft,,45,36
2,3:59.0,Offensive rebound by J. Harris,,45,36
2,3:57.0,J. Harris misses 2-pt jump shot from 4 ft,,45,36
2,3:54.0,,Defensive rebound by D. Sabonis,45,36
2,3:48.0,,T. Young misses 2-pt jump shot from 2 ft,45,36
2,3:44.0,,Offensive rebound by D. Sabonis,45,36
2,3:44.0,,D. Sabonis misses 2-pt dunk at rim,45,36
2,3:44.0,Defensive rebound by T. Graham,,45,36
2,3:40.0,Turnover by D. Russell (bad pass),,45,36
2,3:40.0,C. LeVert enters the game for D. Russell,,45,36
2,3:40.0,,M. Turner enters the game for D. Sabonis,45,36
2,3:32.0,,B. Bogdanović misses 2-pt jump shot from 18 ft,45,36
2,3:32.0,Defensive rebound by T. Graham,,45,36
2,3:19.0,J. Harris makes 3-pt jump shot from 27 ft (assist by S. Dinwiddie),,48,36
2,2:59.0,,T. Young makes 2-pt layup from 2 ft (assist by B. Bogdanović),48,38
2,2:59.0,,Shooting foul by S. Dinwiddie (drawn by T. Young),48,38
2,2:59.0,Brooklyn full timeout,,48,38
2,2:59.0,R. Kurucs enters the game for T. Graham,,48,38
2,2:59.0,,T. Young misses free throw 1 of 1,48,38
2,2:57.0,Defensive rebound by J. Allen,,48,38
2,2:41.0,J. Allen makes 2-pt dunk from 2 ft (assist by R. Kurucs),,50,38
2,2:31.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by T. Young),50,40
2,2:19.0,J. Allen makes 2-pt hook shot from 8 ft (assist by C. LeVert),,52,40
2,2:00.0,,T. Young makes 2-pt jump shot from 10 ft (assist by D. Collison),52,42
2,1:43.0,R. Kurucs misses 3-pt jump shot from 26 ft,,52,42
2,1:40.0,,Defensive rebound by Team,52,42
2,1:31.0,,Turnover by B. Bogdanović (traveling),52,42
2,1:20.0,C. LeVert misses 3-pt jump shot from 30 ft,,52,42
2,1:17.0,,Defensive rebound by Team,52,42
2,1:09.0,,T. Young misses 2-pt jump shot from 20 ft,52,42
2,1:05.0,Defensive rebound by R. Kurucs,,52,42
2,1:01.0,Offensive foul by J. Harris (drawn by D. Collison),,52,42
2,1:01.0,Turnover by J. Harris (offensive foul),,52,42
2,0:50.0,,M. Turner misses 2-pt layup from 3 ft (block by C. LeVert),52,42
2,0:47.0,Defensive rebound by C. LeVert,,52,42
2,0:44.0,C. LeVert misses 2-pt layup from 2 ft,,52,42
2,0:43.0,Offensive rebound by J. Allen,,52,42
2,0:43.0,Turnover by J. Allen (step out of bounds),,52,42
2,0:35.0,,Personal foul by C. LeVert (drawn by D. Collison),52,42
2,0:28.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by T. Young),52,44
2,0:10.0,J. Harris misses 3-pt jump shot from 28 ft,,52,44
2,0:08.0,,Defensive rebound by Team,52,44
2,0:03.0,,D. Collison misses 3-pt jump shot from 27 ft,52,44
2,0:03.0,Defensive rebound by R. Kurucs,,52,44
3,11:49.0,,B. Bogdanović misses 2-pt layup at rim,52,44
3,11:46.0,Defensive rebound by R. Kurucs,,52,44
3,11:41.0,Turnover by J. Harris (dbl dribble),,52,44
3,11:29.0,,D. Collison misses 2-pt layup from 2 ft,52,44
3,11:26.0,,Offensive rebound by T. Young,52,44
3,11:26.0,,T. Young makes 2-pt layup from 1 ft,52,46
3,11:09.0,Turnover by D. Russell (bad pass; steal by M. Turner),,52,46
3,10:56.0,,T. Young makes 2-pt layup from 1 ft,52,48
3,10:55.0,Brooklyn full timeout,,52,48
3,10:43.0,J. Allen makes 2-pt dunk from 3 ft (assist by D. Russell),,54,48
3,10:22.0,,D. Collison misses 2-pt jump shot from 20 ft,54,48
3,10:21.0,Defensive rebound by Team,,54,48
3,9:59.0,D. Carroll misses 3-pt jump shot from 25 ft,,54,48
3,9:57.0,Offensive rebound by R. Kurucs,,54,48
3,9:57.0,R. Kurucs misses 2-pt layup from 1 ft (block by M. Turner),,54,48
3,9:55.0,Offensive rebound by R. Kurucs,,54,48
3,9:55.0,Turnover by R. Kurucs (bad pass; steal by D. Collison),,54,48
3,9:38.0,,T. Young makes 2-pt layup from 4 ft,54,50
3,9:26.0,D. Russell makes 2-pt jump shot from 16 ft,,56,50
3,9:15.0,,M. Turner misses 3-pt jump shot from 28 ft,56,50
3,9:11.0,Defensive rebound by D. Carroll,,56,50
3,9:02.0,D. Russell makes 2-pt layup from 1 ft,,58,50
3,8:48.0,,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by T. Young),58,53
3,8:25.0,D. Russell makes 2-pt jump shot from 17 ft,,60,53
3,8:05.0,,D. Collison misses 3-pt jump shot from 25 ft,60,53
3,8:02.0,Defensive rebound by D. Carroll,,60,53
3,7:48.0,D. Carroll makes 2-pt jump shot from 11 ft (assist by J. Harris),,62,53
3,7:43.0,,Indiana full timeout,62,53
3,7:43.0,,D. Sabonis enters the game for M. Turner,62,53
3,7:31.0,,Shooting foul by D. Russell (drawn by B. Bogdanović),62,53
3,7:31.0,,B. Bogdanović makes free throw 1 of 2,62,54
3,7:31.0,,B. Bogdanović misses free throw 2 of 2,62,54
3,7:30.0,Defensive rebound by J. Allen,,62,54
3,7:21.0,R. Kurucs misses 3-pt jump shot from 27 ft,,62,54
3,7:17.0,,Defensive rebound by W. Matthews,62,54
3,7:03.0,,T. Young makes 2-pt jump shot from 5 ft,62,56
3,6:52.0,D. Russell makes 2-pt jump shot from 4 ft,,64,56
3,6:41.0,,Turnover by T. Young (bad pass; steal by J. Harris),64,56
3,6:36.0,D. Carroll misses 2-pt jump shot from 5 ft,,64,56
3,6:33.0,Offensive rebound by D. Carroll,,64,56
3,6:33.0,D. Carroll makes 2-pt layup from 2 ft,,66,56
3,6:19.0,,D. Collison makes 2-pt jump shot from 18 ft,66,58
3,6:07.0,R. Kurucs misses 2-pt layup from 3 ft,,66,58
3,6:05.0,,Defensive rebound by D. Sabonis,66,58
3,6:02.0,,Personal take foul by D. Carroll (drawn by D. Collison),66,58
3,6:02.0,S. Dinwiddie enters the game for D. Carroll,,66,58
3,6:02.0,J. Dudley enters the game for R. Kurucs,,66,58
3,5:44.0,,D. Sabonis misses 2-pt layup from 3 ft,66,58
3,5:41.0,,T. Young makes 2-pt layup from 1 ft,66,60
3,5:41.0,,Offensive rebound by T. Young,66,60
3,5:31.0,Personal foul by D. Collison (drawn by J. Allen),,66,60
3,5:31.0,C. LeVert enters the game for D. Russell,,66,60
3,5:31.0,,D. McDermott enters the game for B. Bogdanović,66,60
3,5:17.0,J. Allen makes 2-pt hook shot from 8 ft (assist by S. Dinwiddie),,68,60
3,5:02.0,,D. Sabonis makes 2-pt jump shot from 8 ft (assist by D. Collison),68,62
3,4:42.0,J. Allen makes 2-pt dunk from 1 ft (assist by S. Dinwiddie),,70,62
3,4:23.0,,Turnover by D. Collison (bad pass; steal by C. LeVert),70,62
3,4:21.0,Shooting foul by W. Matthews (drawn by C. LeVert),,70,62
3,4:21.0,C. LeVert makes free throw 1 of 2,,71,62
3,4:21.0,E. Davis enters the game for J. Allen,,71,62
3,4:21.0,T. Graham enters the game for J. Harris,,71,62
3,4:21.0,,C. Joseph enters the game for D. Collison,71,62
3,4:21.0,C. LeVert misses free throw 2 of 2,,71,62
3,4:19.0,,Defensive rebound by D. Sabonis,71,62
3,4:08.0,,D. McDermott misses 2-pt jump shot from 17 ft,71,62
3,4:06.0,Defensive rebound by E. Davis,,71,62
3,3:56.0,Turnover by S. Dinwiddie (bad pass),,71,62
3,3:56.0,,T. Leaf enters the game for T. Young,71,62
3,3:48.0,,Shooting foul by J. Dudley (drawn by D. Sabonis),71,62
3,3:48.0,,Offensive rebound by Team,71,62
3,3:48.0,,D. Sabonis misses free throw 1 of 2,71,62
3,3:48.0,,D. Sabonis makes free throw 2 of 2,71,63
3,3:34.0,J. Dudley misses 3-pt jump shot from 26 ft,,71,63
3,3:31.0,,Defensive rebound by D. Sabonis,71,63
3,3:21.0,,T. Leaf makes 2-pt jump shot from 9 ft (assist by C. Joseph),71,65
3,3:07.0,Shooting foul by C. Joseph (drawn by S. Dinwiddie),,71,65
3,3:07.0,S. Dinwiddie makes free throw 1 of 2,,72,65
3,3:07.0,S. Dinwiddie makes free throw 2 of 2,,73,65
3,2:56.0,,C. Joseph makes 2-pt jump shot from 12 ft,73,67
3,2:46.0,C. LeVert misses 2-pt jump shot at rim,,73,67
3,2:46.0,Offensive rebound by E. Davis,,73,67
3,2:34.0,Shooting foul by W. Matthews (drawn by S. Dinwiddie),,73,67
3,2:34.0,S. Dinwiddie makes free throw 1 of 2,,74,67
3,2:34.0,,A. Holiday enters the game for W. Matthews,74,67
3,2:34.0,S. Dinwiddie makes free throw 2 of 2,,75,67
3,2:21.0,,D. Sabonis makes 2-pt hook shot from 6 ft,75,69
3,2:05.0,E. Davis makes 2-pt dunk from 1 ft (assist by J. Dudley),,77,69
3,1:43.0,,Turnover by D. Sabonis (bad pass; steal by J. Dudley),77,69
3,1:38.0,J. Dudley makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,80,69
3,1:13.0,,Turnover by D. Sabonis (traveling),80,69
3,1:04.0,J. Dudley misses 3-pt jump shot from 27 ft,,80,69
3,1:01.0,Offensive rebound by Team,,80,69
3,1:00.0,C. LeVert makes 2-pt dunk from 1 ft (assist by T. Graham),,82,69
3,0:38.0,,C. Joseph misses 3-pt jump shot from 23 ft,82,69
3,0:36.0,Defensive rebound by Team,,82,69
3,0:31.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,,82,69
3,0:28.0,,Defensive rebound by Team,82,69
3,0:13.0,,Personal take foul by S. Dinwiddie (drawn by A. Holiday),82,69
3,0:07.0,,A. Holiday misses 2-pt jump shot from 15 ft,82,69
3,0:04.0,Defensive rebound by C. LeVert,,82,69
3,0:00.0,C. LeVert misses 2-pt layup from 3 ft,,82,69
3,0:00.0,,Defensive rebound by D. Sabonis,82,69
4,11:44.0,C. LeVert makes 2-pt jump shot from 3 ft,,84,69
4,11:44.0,Shooting foul by C. Joseph (drawn by C. LeVert),,84,69
4,11:44.0,C. LeVert misses free throw 1 of 1,,84,69
4,11:43.0,,Defensive rebound by D. Sabonis,84,69
4,11:20.0,,Turnover by A. Holiday (bad pass; steal by E. Davis),84,69
4,11:04.0,C. LeVert misses 2-pt jump shot from 7 ft,,84,69
4,11:01.0,,Defensive rebound by D. Sabonis,84,69
4,10:53.0,,Shooting foul by C. LeVert (drawn by D. McDermott),84,69
4,10:53.0,,D. McDermott makes free throw 1 of 2,84,70
4,10:53.0,,D. McDermott makes free throw 2 of 2,84,71
4,10:44.0,Offensive foul by S. Dinwiddie (drawn by A. Holiday),,84,71
4,10:44.0,Turnover by S. Dinwiddie (offensive foul),,84,71
4,10:32.0,,T. Leaf misses 2-pt jump shot from 6 ft,84,71
4,10:29.0,Defensive rebound by E. Davis,,84,71
4,10:22.0,S. Dinwiddie misses 3-pt jump shot from 23 ft,,84,71
4,10:19.0,,Defensive rebound by D. Sabonis,84,71
4,10:11.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by C. Joseph),84,73
4,10:00.0,C. LeVert misses 2-pt layup from 2 ft,,84,73
4,9:56.0,,Defensive rebound by T. Leaf,84,73
4,9:51.0,,D. McDermott misses 3-pt jump shot from 29 ft,84,73
4,9:46.0,Defensive rebound by T. Graham,,84,73
4,9:37.0,S. Dinwiddie makes 3-pt jump shot from 29 ft,,87,73
4,9:20.0,,C. Joseph makes 3-pt jump shot from 27 ft (assist by D. McDermott),87,76
4,9:09.0,S. Dinwiddie makes 2-pt layup from 3 ft,,89,76
4,8:55.0,,D. McDermott misses 3-pt jump shot from 24 ft,89,76
4,8:40.0,Defensive rebound by Team,,89,76
4,8:40.0,Brooklyn full timeout,,89,76
4,8:40.0,D. Russell enters the game for C. LeVert,,89,76
4,8:28.0,T. Graham makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,92,76
4,8:13.0,,D. McDermott makes 2-pt layup from 1 ft (assist by D. Sabonis),92,78
4,7:59.0,S. Dinwiddie makes 2-pt layup from 2 ft,,94,78
4,7:59.0,Shooting foul by T. Leaf (drawn by S. Dinwiddie),,94,78
4,7:59.0,S. Dinwiddie makes free throw 1 of 1,,95,78
4,7:52.0,,Personal foul by D. Russell (drawn by A. Holiday),95,78
4,7:39.0,,A. Holiday misses 2-pt jump shot from 10 ft,95,78
4,7:34.0,Defensive rebound by S. Dinwiddie,,95,78
4,7:19.0,Brooklyn full timeout,,95,78
4,7:19.0,,B. Bogdanović enters the game for T. Leaf,95,78
4,7:19.0,,T. Young enters the game for D. McDermott,95,78
4,7:13.0,S. Dinwiddie misses 3-pt jump shot from 32 ft,,95,78
4,7:11.0,,Defensive rebound by C. Joseph,95,78
4,6:49.0,,C. Joseph makes 3-pt jump shot from 28 ft (assist by D. Sabonis),95,81
4,6:24.0,Personal foul by T. Young (drawn by S. Dinwiddie),,95,81
4,6:24.0,J. Harris enters the game for S. Dinwiddie,,95,81
4,6:24.0,C. LeVert enters the game for J. Dudley,,95,81
4,6:15.0,Shooting foul by T. Young (drawn by E. Davis),,95,81
4,6:15.0,Offensive rebound by Team,,95,81
4,6:15.0,E. Davis misses free throw 1 of 2,,95,81
4,6:15.0,E. Davis misses free throw 2 of 2,,95,81
4,6:14.0,,Defensive rebound by B. Bogdanović,95,81
4,6:03.0,,D. Sabonis makes 2-pt jump shot from 16 ft (assist by A. Holiday),95,83
4,5:49.0,Turnover by J. Harris (out of bounds lost ball),,95,83
4,5:28.0,,D. Sabonis makes 2-pt dunk from 1 ft (assist by B. Bogdanović),95,85
4,5:14.0,D. Russell makes 2-pt layup from 2 ft,,97,85
4,5:14.0,Shooting foul by D. Sabonis (drawn by D. Russell),,97,85
4,5:14.0,J. Allen enters the game for E. Davis,,97,85
4,5:14.0,D. Russell makes free throw 1 of 1,,98,85
4,4:58.0,,D. Sabonis makes 2-pt jump shot from 20 ft (assist by A. Holiday),98,87
4,4:40.0,C. LeVert makes 2-pt jump shot from 4 ft,,100,87
4,4:24.0,,Turnover by T. Young (out of bounds lost ball),100,87
4,4:24.0,J. Dudley enters the game for T. Graham,,100,87
4,4:11.0,Shooting foul by D. Sabonis (drawn by J. Harris),,100,87
4,4:11.0,J. Harris makes free throw 1 of 2,,101,87
4,4:11.0,J. Harris misses free throw 2 of 2,,101,87
4,4:10.0,,Defensive rebound by Team,101,87
4,3:55.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,101,87
4,3:52.0,Defensive rebound by J. Harris,,101,87
4,3:35.0,D. Russell misses 2-pt jump shot from 13 ft,,101,87
4,3:33.0,,Defensive rebound by B. Bogdanović,101,87
4,3:28.0,,B. Bogdanović misses 2-pt layup from 1 ft (block by D. Russell),101,87
4,3:28.0,Defensive rebound by Team,,101,87
4,3:10.0,C. LeVert makes 2-pt layup from 2 ft,,103,87
4,3:10.0,,Indiana full timeout,103,87
4,3:10.0,,T. Leaf enters the game for B. Bogdanović,103,87
4,3:10.0,,D. McDermott enters the game for D. Sabonis,103,87
4,3:10.0,,K. O'Quinn enters the game for T. Young,103,87
4,2:47.0,,K. O'Quinn misses 3-pt jump shot from 26 ft,103,87
4,2:41.0,Defensive rebound by D. Russell,,103,87
4,2:25.0,Shooting foul by K. O'Quinn (drawn by C. LeVert),,103,87
4,2:25.0,C. LeVert makes free throw 1 of 2,,104,87
4,2:25.0,,D. Reed enters the game for C. Joseph,104,87
4,2:25.0,,E. Sumner enters the game for D. McDermott,104,87
4,2:25.0,C. LeVert makes free throw 2 of 2,,105,87
