QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MINNESOTA_ACTION,LA LAKERS_SCORE,MINNESOTA_SCORE
1,2:14.0,,G. Dieng enters the game for J. Okogie,12,31
1,2:14.0,,A. Tolliver enters the game for K. Towns,12,31
1,2:08.0,J. Hart misses 2-pt jump shot from 19 ft,,12,31
1,2:06.0,Offensive rebound by T. Chandler,,12,31
1,2:02.0,L. Stephenson makes 2-pt jump shot from 18 ft (assist by T. Chandler),,14,31
1,1:47.0,,Def 3 sec tech foul by Team,14,31
1,1:47.0,,T. Jones makes technical free throw,14,32
1,1:37.0,,T. Jones misses 3-pt jump shot from 25 ft,14,32
1,1:33.0,,Offensive rebound by D. Šarić,14,32
1,1:26.0,,D. Šarić misses 2-pt jump shot from 4 ft,14,32
1,1:24.0,Defensive rebound by M. Beasley,,14,32
1,1:19.0,M. Beasley misses 2-pt layup from 2 ft,,14,32
1,1:16.0,,Defensive rebound by G. Dieng,14,32
1,1:11.0,,A. Wiggins misses 3-pt jump shot from 23 ft,14,32
1,1:08.0,Defensive rebound by L. Stephenson,,14,32
1,0:55.0,M. Beasley makes 2-pt dunk from 1 ft (assist by K. Caldwell-Pope),,16,32
1,0:48.0,,A. Wiggins makes 3-pt jump shot from 22 ft (assist by D. Šarić),16,35
1,0:41.0,Personal foul by A. Tolliver (drawn by L. Stephenson),,16,35
1,0:41.0,L. Stephenson makes free throw 1 of 2,,17,35
1,0:41.0,M. Wagner enters the game for M. Beasley,,17,35
1,0:41.0,L. Stephenson misses free throw 2 of 2,,17,35
1,0:39.0,,Defensive rebound by G. Dieng,17,35
1,0:20.0,,G. Dieng misses 2-pt jump shot from 22 ft,17,35
1,0:17.0,Defensive rebound by T. Chandler,,17,35
1,0:03.0,L. Stephenson makes 2-pt layup from 2 ft,,19,35
1,0:00.0,,A. Wiggins misses 3-pt jump shot from 31 ft,19,35
1,0:00.0,,Offensive rebound by Team,19,35
2,11:52.0,,Personal foul by K. Caldwell-Pope (drawn by T. Jones),19,35
2,11:39.0,,A. Wiggins misses 2-pt jump shot from 20 ft,19,35
2,11:36.0,Defensive rebound by I. Zubac,,19,35
2,11:28.0,K. Caldwell-Pope makes 2-pt jump shot from 14 ft (assist by L. Stephenson),,21,35
2,11:13.0,,Turnover by A. Tolliver (bad pass),21,35
2,10:59.0,Turnover by K. Caldwell-Pope (bad pass; steal by G. Dieng),,21,35
2,10:54.0,,T. Jones makes 2-pt layup from 2 ft,21,37
2,10:37.0,M. Wagner misses 3-pt jump shot from 26 ft,,21,37
2,10:35.0,Offensive rebound by L. Stephenson,,21,37
2,10:28.0,Personal foul by A. Tolliver (drawn by I. Zubac),,21,37
2,10:25.0,Turnover by B. Ingram (traveling),,21,37
2,10:14.0,,A. Wiggins makes 2-pt dunk from 1 ft (assist by T. Jones),21,39
2,9:59.0,B. Ingram misses 2-pt layup from 3 ft,,21,39
2,9:57.0,Offensive rebound by I. Zubac,,21,39
2,9:57.0,Shooting foul by G. Dieng (drawn by I. Zubac),,21,39
2,9:57.0,I. Zubac makes free throw 1 of 2,,22,39
2,9:57.0,I. Zubac makes free throw 2 of 2,,23,39
2,9:42.0,,A. Wiggins makes 2-pt jump shot from 16 ft,23,41
2,9:30.0,Turnover by L. Stephenson (lost ball; steal by T. Jones),,23,41
2,9:23.0,,D. Šarić makes 2-pt layup from 2 ft (assist by T. Jones),23,43
2,9:07.0,L. Stephenson makes 2-pt layup at rim,,25,43
2,8:43.0,,D. Šarić misses 3-pt jump shot from 25 ft,25,43
2,8:41.0,Defensive rebound by Team,,25,43
2,8:41.0,L. Ball enters the game for L. Stephenson,,25,43
2,8:27.0,M. Wagner makes 2-pt jump shot from 8 ft (assist by L. Ball),,27,43
2,8:06.0,,A. Wiggins misses 2-pt jump shot from 8 ft,27,43
2,8:05.0,Defensive rebound by I. Zubac,,27,43
2,8:01.0,Turnover by I. Zubac (lost ball; steal by T. Jones),,27,43
2,7:56.0,,A. Wiggins misses 3-pt jump shot from 26 ft,27,43
2,7:54.0,Defensive rebound by L. Ball,,27,43
2,7:52.0,Personal foul by A. Tolliver (drawn by K. Caldwell-Pope),,27,43
2,7:52.0,,J. Okogie enters the game for G. Dieng,27,43
2,7:52.0,,K. Towns enters the game for A. Wiggins,27,43
2,7:46.0,K. Caldwell-Pope misses 2-pt jump shot from 21 ft,,27,43
2,7:41.0,Offensive rebound by M. Wagner,,27,43
2,7:41.0,M. Wagner misses 2-pt layup from 1 ft,,27,43
2,7:41.0,,Defensive rebound by T. Jones,27,43
2,7:27.0,,K. Towns misses 2-pt layup from 1 ft,27,43
2,7:24.0,Defensive rebound by L. Ball,,27,43
2,7:18.0,Turnover by I. Zubac (3 sec),,27,43
2,7:01.0,,K. Towns makes 2-pt jump shot from 3 ft (assist by T. Jones),27,45
2,7:01.0,,Shooting foul by I. Zubac (drawn by K. Towns),27,45
2,7:01.0,M. Beasley enters the game for M. Wagner,,27,45
2,7:01.0,J. McGee enters the game for I. Zubac,,27,45
2,7:01.0,,K. Towns makes free throw 1 of 1,27,46
2,6:46.0,Turnover by B. Ingram (bad pass; steal by T. Jones),,27,46
2,6:41.0,,Turnover by K. Towns (bad pass),27,46
2,6:41.0,,Minnesota full timeout,27,46
2,6:41.0,J. Hart enters the game for K. Caldwell-Pope,,27,46
2,6:41.0,,J. Teague enters the game for T. Jones,27,46
2,6:30.0,B. Ingram makes 2-pt layup from 1 ft,,29,46
2,6:30.0,,Violation by Team (def goaltending),29,46
2,6:13.0,,K. Towns makes 2-pt hook shot from 2 ft (assist by J. Teague),29,48
2,5:59.0,J. Hart makes 3-pt jump shot from 23 ft (assist by M. Beasley),,32,48
2,5:41.0,,Personal foul by M. Beasley (drawn by K. Towns),32,48
2,5:41.0,,T. Gibson enters the game for D. Šarić,32,48
2,5:29.0,,Turnover by J. Okogie (bad pass; steal by J. McGee),32,48
2,5:13.0,J. Hart misses 2-pt layup from 1 ft (block by K. Towns),,32,48
2,5:13.0,,Defensive rebound by Team,32,48
2,4:47.0,,K. Towns misses 2-pt hook shot from 8 ft,32,48
2,4:45.0,Defensive rebound by B. Ingram,,32,48
2,4:40.0,B. Ingram makes 2-pt layup from 3 ft,,34,48
2,4:33.0,,J. Teague misses 3-pt jump shot from 24 ft,34,48
2,4:32.0,Defensive rebound by B. Ingram,,34,48
2,4:24.0,B. Ingram misses 2-pt layup from 2 ft,,34,48
2,4:21.0,Offensive rebound by B. Ingram,,34,48
2,4:20.0,M. Beasley misses 3-pt jump shot from 23 ft,,34,48
2,4:19.0,,Defensive rebound by J. Okogie,34,48
2,4:19.0,,Personal foul by J. McGee (drawn by J. Okogie),34,48
2,4:19.0,T. Chandler enters the game for M. Beasley,,34,48
2,4:19.0,,A. Wiggins enters the game for A. Tolliver,34,48
2,4:19.0,Technical foul by M. Beasley,,34,48
2,4:19.0,,Technical foul by K. Towns,34,48
2,4:08.0,,J. Teague makes 3-pt jump shot from 25 ft,34,51
2,4:02.0,Personal foul by J. Teague (drawn by L. Ball),,34,51
2,3:55.0,B. Ingram makes 2-pt layup from 1 ft,,36,51
2,3:55.0,Shooting foul by T. Gibson (drawn by B. Ingram),,36,51
2,3:55.0,B. Ingram makes free throw 1 of 1,,37,51
2,3:41.0,,J. Okogie misses 3-pt jump shot from 24 ft,37,51
2,3:38.0,Defensive rebound by L. Ball,,37,51
2,3:34.0,B. Ingram makes 2-pt layup from 1 ft (assist by L. Ball),,39,51
2,3:28.0,,Minnesota full timeout,39,51
2,3:12.0,,A. Wiggins misses 2-pt layup from 2 ft,39,51
2,3:11.0,Defensive rebound by J. Hart,,39,51
2,3:07.0,J. Hart misses 2-pt layup from 1 ft (block by J. Okogie),,39,51
2,3:04.0,,Defensive rebound by T. Gibson,39,51
2,3:01.0,,J. Okogie misses 3-pt jump shot from 25 ft,39,51
2,3:01.0,Defensive rebound by L. Ball,,39,51
2,2:55.0,J. Hart misses 3-pt jump shot from 24 ft,,39,51
2,2:51.0,,Defensive rebound by J. Teague,39,51
2,2:37.0,,K. Towns makes 2-pt dunk from 2 ft (assist by J. Teague),39,53
2,2:18.0,B. Ingram misses 2-pt jump shot from 22 ft,,39,53
2,2:14.0,Offensive rebound by B. Ingram,,39,53
2,2:14.0,Personal foul by J. Okogie (drawn by B. Ingram),,39,53
2,2:14.0,B. Ingram makes free throw 1 of 2,,40,53
2,2:14.0,B. Ingram makes free throw 2 of 2,,41,53
2,2:10.0,,Shooting foul by L. Ball (drawn by A. Wiggins),41,53
2,2:10.0,,A. Wiggins makes free throw 1 of 2,41,54
2,2:10.0,,A. Wiggins makes free throw 2 of 2,41,55
2,1:57.0,J. Hart misses 3-pt jump shot from 25 ft,,41,55
2,1:54.0,Offensive rebound by J. McGee,,41,55
2,1:51.0,J. Hart makes 2-pt layup from 1 ft (assist by J. McGee),,43,55
2,1:36.0,,J. Teague makes 2-pt jump shot from 7 ft,43,57
2,1:26.0,B. Ingram misses 2-pt jump shot from 13 ft,,43,57
2,1:24.0,,Defensive rebound by J. Teague,43,57
2,1:14.0,,A. Wiggins misses 3-pt jump shot from 24 ft,43,57
2,1:11.0,Defensive rebound by J. Hart,,43,57
2,1:08.0,B. Ingram makes 2-pt dunk from 1 ft (assist by J. Hart),,45,57
2,0:56.0,,T. Gibson makes 2-pt layup from 1 ft (assist by J. Teague),45,59
2,0:44.0,B. Ingram misses 2-pt layup from 6 ft (block by K. Towns),,45,59
2,0:41.0,,Defensive rebound by J. Teague,45,59
2,0:39.0,,A. Wiggins makes 2-pt layup at rim (assist by J. Teague),45,61
2,0:31.0,Turnover by J. McGee (bad pass),,45,61
2,0:12.0,,A. Wiggins makes 3-pt jump shot from 26 ft,45,64
2,0:00.0,J. McGee misses 3-pt jump shot from 23 ft,,45,64
2,0:00.0,Offensive rebound by Team,,45,64
3,11:45.0,,J. Teague misses 2-pt jump shot from 20 ft,45,64
3,11:40.0,Defensive rebound by M. Beasley,,45,64
3,11:28.0,L. Ball misses 2-pt jump shot from 13 ft,,45,64
3,11:26.0,,Defensive rebound by K. Towns,45,64
3,11:19.0,,A. Wiggins misses 3-pt jump shot from 22 ft,45,64
3,11:15.0,,Offensive rebound by K. Towns,45,64
3,11:15.0,,K. Towns makes 2-pt dunk from 1 ft,45,66
3,11:06.0,L. Ball misses 3-pt jump shot from 26 ft,,45,66
3,11:06.0,,Defensive rebound by K. Towns,45,66
3,10:52.0,,K. Towns makes 2-pt jump shot from 20 ft,45,68
3,10:27.0,M. Beasley makes 3-pt jump shot from 22 ft (assist by L. Ball),,48,68
3,10:11.0,,Turnover by A. Wiggins (bad pass; steal by J. McGee),48,68
3,10:05.0,Personal foul by T. Gibson (drawn by J. Hart),,48,68
3,9:54.0,Shooting foul by A. Wiggins (drawn by J. McGee),,48,68
3,9:54.0,J. McGee makes free throw 1 of 2,,49,68
3,9:54.0,J. McGee makes free throw 2 of 2,,50,68
3,9:39.0,,K. Towns misses 2-pt jump shot from 19 ft,50,68
3,9:36.0,,Offensive rebound by T. Gibson,50,68
3,9:35.0,,T. Gibson makes 2-pt layup from 1 ft,50,70
3,9:23.0,M. Beasley misses 3-pt jump shot from 23 ft,,50,70
3,9:22.0,Offensive rebound by Team,,50,70
3,9:20.0,Personal foul by T. Gibson (drawn by M. Beasley),,50,70
3,9:13.0,B. Ingram misses 2-pt jump shot from 15 ft,,50,70
3,9:11.0,,Defensive rebound by A. Wiggins,50,70
3,9:08.0,,A. Wiggins makes 2-pt layup from 1 ft,50,72
3,9:08.0,,Shooting foul by L. Ball (drawn by A. Wiggins),50,72
3,9:08.0,T. Chandler enters the game for J. McGee,,50,72
3,9:08.0,,A. Wiggins makes free throw 1 of 1,50,73
3,8:54.0,Turnover by L. Ball (bad pass),,50,73
3,8:46.0,,J. Teague misses 2-pt jump shot from 9 ft,50,73
3,8:44.0,Defensive rebound by T. Chandler,,50,73
3,8:39.0,J. Hart misses 2-pt layup from 3 ft (block by J. Okogie),,50,73
3,8:39.0,Offensive rebound by Team,,50,73
3,8:33.0,Personal foul by J. Teague (drawn by T. Chandler),,50,73
3,8:24.0,J. Hart misses 2-pt layup from 4 ft (block by K. Towns),,50,73
3,8:21.0,,Defensive rebound by T. Gibson,50,73
3,8:17.0,,Turnover by K. Towns (bad pass; steal by J. Hart),50,73
3,8:16.0,Personal foul by J. Okogie (drawn by J. Hart),,50,73
3,8:16.0,J. Hart makes free throw 1 of 2,,51,73
3,8:16.0,J. Hart makes free throw 2 of 2,,52,73
3,8:03.0,,T. Gibson misses 2-pt jump shot from 21 ft,52,73
3,8:01.0,Defensive rebound by Team,,52,73
3,7:47.0,Turnover by B. Ingram (bad pass; steal by K. Towns),,52,73
3,7:35.0,,K. Towns makes 2-pt dunk from 1 ft (assist by J. Teague),52,75
3,7:17.0,J. Hart misses 3-pt jump shot from 25 ft,,52,75
3,7:16.0,Offensive rebound by T. Chandler,,52,75
3,7:16.0,T. Chandler makes 2-pt dunk at rim,,54,75
3,6:57.0,,Minnesota full timeout,54,75
3,6:55.0,,Turnover by T. Gibson (lost ball; steal by M. Beasley),54,75
3,6:51.0,L. Ball misses 2-pt layup from 2 ft (block by J. Okogie),,54,75
3,6:51.0,Offensive rebound by Team,,54,75
3,6:45.0,Personal foul by J. Okogie (drawn by B. Ingram),,54,75
3,6:45.0,B. Ingram misses free throw 1 of 2,,54,75
3,6:45.0,Offensive rebound by Team,,54,75
3,6:45.0,B. Ingram misses free throw 2 of 2,,54,75
3,6:43.0,,Defensive rebound by K. Towns,54,75
3,6:25.0,,J. Okogie misses 2-pt layup from 8 ft (block by B. Ingram),54,75
3,6:25.0,,Offensive rebound by Team,54,75
3,6:22.0,,J. Okogie misses 3-pt jump shot from 23 ft (block by B. Ingram),54,75
3,6:20.0,,Offensive rebound by A. Wiggins,54,75
3,6:19.0,,A. Wiggins misses 2-pt jump shot from 8 ft,54,75
3,6:17.0,Defensive rebound by T. Chandler,,54,75
3,6:11.0,M. Beasley makes 2-pt layup from 2 ft (assist by B. Ingram),,56,75
3,5:58.0,,Shooting foul by T. Chandler (drawn by A. Wiggins),56,75
3,5:58.0,,A. Wiggins misses free throw 1 of 2,56,75
3,5:58.0,,Offensive rebound by Team,56,75
3,5:58.0,,A. Wiggins misses free throw 2 of 2,56,75
3,5:55.0,,Offensive rebound by K. Towns,56,75
3,5:51.0,,A. Wiggins misses 3-pt jump shot from 25 ft,56,75
3,5:48.0,Defensive rebound by L. Ball,,56,75
3,5:36.0,Turnover by M. Beasley (lost ball; steal by J. Teague),,56,75
3,5:23.0,,A. Wiggins misses 2-pt hook shot from 8 ft,56,75
3,5:19.0,,Offensive rebound by T. Gibson,56,75
3,5:18.0,,K. Towns misses 3-pt jump shot from 25 ft,56,75
3,5:15.0,Defensive rebound by B. Ingram,,56,75
3,5:09.0,B. Ingram misses 2-pt jump shot from 11 ft,,56,75
3,5:06.0,,Defensive rebound by T. Gibson,56,75
3,4:59.0,,J. Okogie makes 2-pt layup from 1 ft (assist by J. Teague),56,77
3,4:49.0,Shooting foul by K. Towns (drawn by T. Chandler),,56,77
3,4:49.0,T. Chandler makes free throw 1 of 2,,57,77
3,4:49.0,K. Caldwell-Pope enters the game for L. Ball,,57,77
3,4:49.0,L. Stephenson enters the game for M. Beasley,,57,77
3,4:49.0,M. Wagner enters the game for J. Hart,,57,77
3,4:49.0,T. Chandler misses free throw 2 of 2,,57,77
3,4:46.0,,Defensive rebound by K. Towns,57,77
3,4:45.0,,Shooting foul by L. Stephenson (drawn by A. Wiggins),57,77
3,4:45.0,,A. Wiggins misses free throw 1 of 2,57,77
3,4:45.0,,Offensive rebound by Team,57,77
3,4:45.0,,A. Wiggins misses free throw 2 of 2,57,77
3,4:41.0,Defensive rebound by M. Wagner,,57,77
3,4:29.0,B. Ingram misses 2-pt layup from 4 ft (block by A. Wiggins),,57,77
3,4:28.0,Offensive rebound by Team,,57,77
3,4:19.0,B. Ingram misses 2-pt jump shot from 10 ft,,57,77
3,4:18.0,Offensive rebound by Team,,57,77
3,4:18.0,,D. Šarić enters the game for T. Gibson,57,77
3,4:16.0,K. Caldwell-Pope makes 2-pt jump shot from 17 ft (assist by L. Stephenson),,59,77
3,4:07.0,,J. Okogie makes 3-pt jump shot from 23 ft (assist by J. Teague),59,80
3,3:48.0,L. Stephenson misses 2-pt jump shot from 18 ft,,59,80
3,3:46.0,,Defensive rebound by K. Towns,59,80
3,3:32.0,,J. Okogie makes 2-pt layup from 1 ft,59,82
3,3:32.0,LA Lakers full timeout,,59,82
3,3:32.0,S. Mykhailiuk enters the game for B. Ingram,,59,82
3,3:20.0,L. Stephenson makes 2-pt layup from 2 ft,,61,82
3,3:20.0,Shooting foul by A. Wiggins (drawn by L. Stephenson),,61,82
3,3:20.0,L. Stephenson makes free throw 1 of 1,,62,82
3,3:02.0,Loose ball foul by M. Wagner (drawn by A. Wiggins),,62,82
3,2:49.0,,A. Wiggins misses 3-pt jump shot from 25 ft,62,82
3,2:48.0,Defensive rebound by Team,,62,82
3,2:40.0,M. Wagner makes 3-pt jump shot from 25 ft (assist by L. Stephenson),,65,82
3,2:39.0,,Minnesota full timeout,65,82
3,2:39.0,,T. Jones enters the game for J. Okogie,65,82
3,2:39.0,,A. Tolliver enters the game for J. Teague,65,82
3,2:24.0,,Personal foul by M. Wagner (drawn by D. Šarić),65,82
3,2:24.0,,D. Šarić makes free throw 1 of 2,65,83
3,2:24.0,,D. Šarić misses free throw 2 of 2,65,83
3,2:24.0,Defensive rebound by L. Stephenson,,65,83
3,2:10.0,Turnover by S. Mykhailiuk (bad pass),,65,83
3,1:57.0,,Turnover by A. Wiggins (bad pass; steal by K. Caldwell-Pope),65,83
3,1:49.0,L. Stephenson makes 2-pt layup from 2 ft,,67,83
3,1:49.0,Shooting foul by A. Tolliver (drawn by L. Stephenson),,67,83
3,1:49.0,L. Stephenson misses free throw 1 of 1,,67,83
3,1:49.0,,Defensive rebound by A. Tolliver,67,83
3,1:28.0,,T. Jones misses 3-pt jump shot from 25 ft,67,83
3,1:26.0,Defensive rebound by M. Wagner,,67,83
3,1:13.0,Shooting foul by K. Towns (drawn by T. Chandler),,67,83
3,1:13.0,T. Chandler misses free throw 1 of 2,,67,83
3,1:13.0,Offensive rebound by Team,,67,83
3,1:13.0,T. Chandler makes free throw 2 of 2,,68,83
3,1:02.0,,Offensive foul by A. Tolliver (drawn by M. Wagner),68,83
3,1:02.0,,Turnover by A. Tolliver (offensive foul),68,83
3,0:41.0,M. Wagner misses 3-pt jump shot from 26 ft,,68,83
3,0:38.0,Offensive rebound by T. Chandler,,68,83
3,0:33.0,M. Wagner misses 2-pt layup from 2 ft,,68,83
3,0:31.0,,Defensive rebound by K. Towns,68,83
3,0:20.0,,A. Tolliver misses 3-pt jump shot from 23 ft,68,83
3,0:17.0,Defensive rebound by T. Chandler,,68,83
3,0:00.0,Turnover by L. Stephenson (bad pass),,68,83
4,11:50.0,S. Mykhailiuk misses 3-pt jump shot from 25 ft,,68,83
4,11:46.0,,Defensive rebound by G. Dieng,68,83
4,11:27.0,,Personal foul by M. Wagner (drawn by A. Wiggins),68,83
4,11:21.0,,T. Jones misses 2-pt jump shot from 10 ft,68,83
4,11:20.0,Defensive rebound by Team,,68,83
4,11:20.0,,Loose ball foul by G. Dieng (drawn by I. Zubac),68,83
4,11:08.0,Personal foul by G. Dieng (drawn by I. Zubac),,68,83
4,11:03.0,I. Zubac makes 2-pt dunk from 2 ft (assist by S. Mykhailiuk),,70,83
4,10:46.0,,G. Dieng makes 2-pt layup from 1 ft (assist by D. Šarić),70,85
4,10:36.0,L. Stephenson misses 2-pt jump shot from 5 ft,,70,85
4,10:34.0,,Defensive rebound by A. Wiggins,70,85
4,10:31.0,,Personal foul by L. Stephenson (drawn by A. Wiggins),70,85
4,10:20.0,,G. Dieng makes 3-pt jump shot from 23 ft (assist by T. Jones),70,88
4,10:03.0,Offensive foul by K. Caldwell-Pope (drawn by G. Dieng),,70,88
4,10:03.0,Turnover by K. Caldwell-Pope (offensive foul),,70,88
4,9:46.0,,T. Jones misses 2-pt jump shot from 10 ft,70,88
4,9:44.0,Defensive rebound by I. Zubac,,70,88
4,9:38.0,Turnover by M. Wagner (traveling),,70,88
4,9:24.0,,D. Šarić misses 2-pt jump shot from 19 ft,70,88
4,9:21.0,Defensive rebound by I. Zubac,,70,88
4,9:16.0,S. Mykhailiuk makes 2-pt jump shot from 20 ft,,72,88
4,9:01.0,,A. Wiggins misses 2-pt jump shot from 21 ft,72,88
4,8:57.0,Defensive rebound by M. Wagner,,72,88
4,8:51.0,M. Wagner misses 2-pt layup from 2 ft,,72,88
4,8:48.0,,Defensive rebound by A. Wiggins,72,88
4,8:43.0,,Personal foul by M. Wagner (drawn by G. Dieng),72,88
4,8:43.0,M. Beasley enters the game for M. Wagner,,72,88
4,8:43.0,,T. Gibson enters the game for G. Dieng,72,88
4,8:43.0,,J. Okogie enters the game for D. Šarić,72,88
4,8:43.0,,K. Towns enters the game for A. Wiggins,72,88
4,8:35.0,,K. Towns makes 2-pt hook shot from 5 ft (assist by T. Jones),72,90
4,8:22.0,K. Caldwell-Pope misses 2-pt jump shot from 13 ft,,72,90
4,8:21.0,,Defensive rebound by T. Jones,72,90
4,8:15.0,,K. Towns misses 3-pt jump shot from 23 ft,72,90
4,8:13.0,Defensive rebound by M. Beasley,,72,90
4,8:07.0,Shooting foul by K. Towns (drawn by L. Stephenson),,72,90
4,8:07.0,L. Stephenson misses free throw 1 of 2,,72,90
4,8:07.0,Offensive rebound by Team,,72,90
4,8:07.0,L. Stephenson misses free throw 2 of 2,,72,90
4,8:07.0,,Defensive rebound by T. Gibson,72,90
4,7:54.0,,T. Jones misses 2-pt jump shot from 7 ft,72,90
