QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,INDIANA_ACTION,NEW ORLEANS_SCORE,INDIANA_SCORE
2,7:08.0,Personal foul by T. Evans (drawn by J. Okafor),,50,36
2,7:08.0,,K. O'Quinn enters the game for D. Sabonis,50,36
2,6:58.0,J. Okafor misses 2-pt jump shot from 10 ft,,50,36
2,6:56.0,,Defensive rebound by K. O'Quinn,50,36
2,6:47.0,,C. Joseph misses 3-pt jump shot from 24 ft,50,36
2,6:43.0,,Offensive rebound by K. O'Quinn,50,36
2,6:41.0,,C. Joseph makes 2-pt layup at rim (assist by K. O'Quinn),50,38
2,6:33.0,New Orleans full timeout,,50,38
2,6:33.0,C. Diallo enters the game for J. Randle,,50,38
2,6:33.0,,B. Bogdanović enters the game for D. McDermott,50,38
2,6:15.0,J. Okafor makes 2-pt jump shot from 3 ft (assist by E. Payton),,52,38
2,6:15.0,,D. Collison enters the game for T. Evans,52,38
2,6:15.0,,W. Matthews enters the game for C. Joseph,52,38
2,5:50.0,,B. Bogdanović misses 2-pt jump shot from 18 ft,52,38
2,5:47.0,Defensive rebound by J. Holiday,,52,38
2,5:43.0,Personal foul by B. Bogdanović (drawn by J. Okafor),,52,38
2,5:38.0,E. Payton makes 2-pt layup from 2 ft,,54,38
2,5:38.0,Shooting foul by D. Collison (drawn by E. Payton),,54,38
2,5:38.0,E. Payton misses free throw 1 of 1,,54,38
2,5:37.0,,Defensive rebound by B. Bogdanović,54,38
2,5:21.0,,T. Young misses 3-pt jump shot from 27 ft,54,38
2,5:18.0,,Offensive rebound by D. Collison,54,38
2,5:15.0,,W. Matthews makes 3-pt jump shot from 28 ft (assist by D. Collison),54,41
2,5:02.0,J. Holiday makes 3-pt jump shot from 28 ft,,57,41
2,4:49.0,,W. Matthews misses 2-pt jump shot from 13 ft,57,41
2,4:47.0,,Offensive rebound by K. O'Quinn,57,41
2,4:33.0,,K. O'Quinn makes 2-pt jump shot from 13 ft (assist by D. Collison),57,43
2,4:22.0,C. Diallo misses 2-pt layup from 3 ft,,57,43
2,4:21.0,Offensive rebound by J. Okafor,,57,43
2,4:21.0,J. Okafor makes 2-pt layup from 1 ft,,59,43
2,4:11.0,,T. Young makes 2-pt layup at rim (assist by D. Collison),59,45
2,4:02.0,F. Jackson makes 2-pt jump shot from 14 ft (assist by C. Diallo),,61,45
2,3:39.0,,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by D. Collison),61,48
2,3:26.0,J. Holiday misses 3-pt jump shot from 26 ft,,61,48
2,3:23.0,,Defensive rebound by B. Bogdanović,61,48
2,3:15.0,,Shooting foul by E. Payton (drawn by B. Bogdanović),61,48
2,3:15.0,,B. Bogdanović makes free throw 1 of 2,61,49
2,3:15.0,E. Moore enters the game for F. Jackson,,61,49
2,3:15.0,J. Randle enters the game for J. Okafor,,61,49
2,3:15.0,K. Williams enters the game for E. Payton,,61,49
2,3:15.0,,B. Bogdanović misses free throw 2 of 2,61,49
2,3:14.0,Defensive rebound by C. Diallo,,61,49
2,2:59.0,Shooting foul by T. Young (drawn by J. Randle),,61,49
2,2:59.0,J. Randle makes free throw 1 of 2,,62,49
2,2:59.0,,D. Sabonis enters the game for K. O'Quinn,62,49
2,2:59.0,J. Randle makes free throw 2 of 2,,63,49
2,2:41.0,,T. Young misses 2-pt layup from 1 ft,63,49
2,2:40.0,,Offensive rebound by D. Sabonis,63,49
2,2:38.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,63,49
2,2:35.0,Defensive rebound by J. Randle,,63,49
2,2:28.0,J. Randle misses 2-pt hook shot from 2 ft,,63,49
2,2:26.0,Offensive rebound by C. Diallo,,63,49
2,2:26.0,Shooting foul by W. Matthews (drawn by C. Diallo),,63,49
2,2:26.0,,Technical foul by T. Young,63,49
2,2:26.0,J. Holiday makes technical free throw,,64,49
2,2:26.0,C. Diallo makes free throw 1 of 2,,65,49
2,2:26.0,C. Diallo makes free throw 2 of 2,,66,49
2,2:18.0,,W. Matthews misses 3-pt jump shot from 26 ft,66,49
2,2:15.0,Defensive rebound by J. Holiday,,66,49
2,2:11.0,J. Holiday misses 2-pt jump shot from 18 ft,,66,49
2,2:10.0,Offensive rebound by C. Diallo,,66,49
2,2:09.0,C. Diallo makes 2-pt layup at rim,,68,49
2,1:55.0,,D. Collison makes 2-pt jump shot from 18 ft (assist by B. Bogdanović),68,51
2,1:46.0,C. Diallo makes 2-pt layup from 1 ft (assist by J. Holiday),,70,51
2,1:46.0,Shooting foul by B. Bogdanović (drawn by C. Diallo),,70,51
2,1:46.0,,D. McDermott enters the game for B. Bogdanović,70,51
2,1:46.0,C. Diallo makes free throw 1 of 1,,71,51
2,1:32.0,,D. Collison makes 2-pt jump shot from 19 ft (assist by D. Sabonis),71,53
2,1:13.0,Turnover by E. Moore (step out of bounds),,71,53
2,0:59.0,,Personal foul by J. Holiday (drawn by W. Matthews),71,53
2,0:53.0,,Shooting foul by E. Moore (drawn by D. Collison),71,53
2,0:53.0,,D. Collison makes free throw 1 of 2,71,54
2,0:53.0,,D. Collison makes free throw 2 of 2,71,55
2,0:37.0,J. Randle misses 3-pt jump shot from 24 ft,,71,55
2,0:35.0,,Defensive rebound by W. Matthews,71,55
2,0:33.0,,Turnover by W. Matthews (bad pass; steal by J. Holiday),71,55
2,0:21.0,K. Williams misses 3-pt jump shot from 26 ft,,71,55
2,0:19.0,,Defensive rebound by D. Sabonis,71,55
2,0:05.0,,T. Young misses 3-pt jump shot from 23 ft,71,55
2,0:02.0,,Offensive rebound by Team,71,55
2,0:00.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by D. Sabonis),71,58
3,11:45.0,Shooting foul by T. Young (drawn by A. Davis),,71,58
3,11:45.0,A. Davis makes free throw 1 of 2,,72,58
3,11:45.0,A. Davis makes free throw 2 of 2,,73,58
3,11:32.0,,T. Young misses 2-pt jump shot from 8 ft,73,58
3,11:30.0,Defensive rebound by A. Davis,,73,58
3,11:14.0,Def 3 sec tech foul by Team,,73,58
3,11:14.0,J. Holiday makes technical free throw,,74,58
3,11:05.0,K. Williams misses 3-pt jump shot from 23 ft,,74,58
3,11:03.0,Offensive rebound by A. Davis,,74,58
3,11:01.0,Shooting foul by K. O'Quinn (drawn by A. Davis),,74,58
3,11:01.0,A. Davis misses free throw 1 of 2,,74,58
3,11:01.0,Offensive rebound by Team,,74,58
3,11:01.0,A. Davis misses free throw 2 of 2,,74,58
3,11:01.0,,Defensive rebound by K. O'Quinn,74,58
3,10:50.0,,T. Young makes 2-pt layup from 1 ft (assist by D. Collison),74,60
3,10:50.0,,Shooting foul by J. Randle (drawn by T. Young),74,60
3,10:50.0,,T. Young makes free throw 1 of 1,74,61
3,10:29.0,J. Holiday misses 3-pt jump shot from 25 ft,,74,61
3,10:26.0,,Defensive rebound by T. Young,74,61
3,10:10.0,,W. Matthews makes 3-pt jump shot from 27 ft,74,64
3,9:56.0,J. Randle misses 2-pt jump shot from 5 ft,,74,64
3,9:56.0,,Defensive rebound by Team,74,64
3,9:35.0,,Turnover by B. Bogdanović (offensive foul),74,64
3,9:35.0,,Offensive foul by B. Bogdanović (drawn by K. Williams),74,64
3,9:28.0,Offensive foul by K. Williams (drawn by W. Matthews),,74,64
3,9:28.0,Turnover by K. Williams (offensive foul),,74,64
3,9:28.0,New Orleans full timeout,,74,64
3,9:28.0,,D. McDermott enters the game for B. Bogdanović,74,64
3,9:16.0,,Def 3 sec tech foul by Team,74,64
3,9:16.0,,D. McDermott misses technical free throw,74,64
3,9:16.0,,Offensive rebound by Team,74,64
3,9:04.0,,Turnover by W. Matthews (lost ball; steal by J. Holiday),74,64
3,9:00.0,J. Holiday makes 2-pt dunk from 1 ft,,76,64
3,8:51.0,,W. Matthews makes 3-pt jump shot from 28 ft (assist by K. O'Quinn),76,67
3,8:30.0,Turnover by J. Holiday (bad pass; steal by K. O'Quinn),,76,67
3,8:25.0,,D. Collison makes 2-pt jump shot from 21 ft (assist by T. Young),76,69
3,8:25.0,New Orleans full timeout,,76,69
3,8:06.0,J. Holiday misses 2-pt layup at rim,,76,69
3,8:04.0,,Defensive rebound by K. O'Quinn,76,69
3,8:00.0,,D. Collison misses 2-pt layup from 1 ft,76,69
3,7:56.0,Defensive rebound by J. Randle,,76,69
3,7:54.0,Offensive foul by J. Randle (drawn by T. Young),,76,69
3,7:54.0,Turnover by J. Randle (offensive foul),,76,69
3,7:40.0,,T. Young makes 2-pt jump shot from 8 ft (assist by D. Collison),76,71
3,7:33.0,Personal foul by D. Collison (drawn by E. Payton),,76,71
3,7:26.0,A. Davis makes 2-pt dunk from 1 ft (assist by E. Payton),,78,71
3,7:12.0,,W. Matthews makes 3-pt jump shot from 26 ft (assist by D. Collison),78,74
3,7:01.0,A. Davis misses 2-pt jump shot from 20 ft,,78,74
3,6:58.0,,Defensive rebound by Team,78,74
3,6:51.0,,W. Matthews makes 3-pt jump shot from 27 ft (assist by D. Collison),78,77
3,6:38.0,Shooting foul by K. O'Quinn (drawn by A. Davis),,78,77
3,6:38.0,A. Davis makes free throw 1 of 2,,79,77
3,6:38.0,C. Diallo enters the game for E. Payton,,79,77
3,6:38.0,E. Moore enters the game for J. Randle,,79,77
3,6:38.0,A. Davis misses free throw 2 of 2,,79,77
3,6:37.0,,Defensive rebound by T. Young,79,77
3,6:23.0,,Shooting foul by J. Holiday (drawn by W. Matthews),79,77
3,6:23.0,,W. Matthews makes free throw 1 of 3,79,78
3,6:23.0,,W. Matthews makes free throw 2 of 3,79,79
3,6:23.0,,W. Matthews makes free throw 3 of 3,79,80
3,6:14.0,E. Moore misses 3-pt jump shot from 24 ft,,79,80
3,6:10.0,Offensive rebound by J. Holiday,,79,80
3,6:09.0,C. Diallo makes 2-pt jump shot from 6 ft (assist by J. Holiday),,81,80
3,5:51.0,,T. Young misses 3-pt jump shot from 23 ft,81,80
3,5:47.0,Defensive rebound by E. Moore,,81,80
3,5:41.0,J. Holiday makes 2-pt layup at rim,,83,80
3,5:41.0,,Violation by Team (def goaltending),83,80
3,5:41.0,F. Jackson enters the game for J. Holiday,,83,80
3,5:41.0,,C. Joseph enters the game for W. Matthews,83,80
3,5:32.0,,Turnover by C. Joseph (traveling),83,80
3,5:22.0,Shooting foul by C. Joseph (drawn by E. Moore),,83,80
3,5:22.0,E. Moore misses free throw 1 of 2,,83,80
3,5:22.0,Offensive rebound by Team,,83,80
3,5:22.0,E. Moore makes free throw 2 of 2,,84,80
3,5:08.0,,K. O'Quinn misses 2-pt jump shot from 18 ft,84,80
3,5:05.0,Defensive rebound by K. Williams,,84,80
3,4:58.0,A. Davis misses 2-pt jump shot from 8 ft,,84,80
3,4:56.0,Offensive rebound by A. Davis,,84,80
3,4:55.0,A. Davis makes 2-pt layup from 2 ft,,86,80
3,4:38.0,,K. O'Quinn misses 2-pt jump shot from 18 ft,86,80
3,4:35.0,Defensive rebound by A. Davis,,86,80
3,4:26.0,A. Davis misses 3-pt jump shot from 28 ft,,86,80
3,4:23.0,Offensive rebound by A. Davis,,86,80
3,4:22.0,A. Davis misses 2-pt jump shot from 15 ft,,86,80
3,4:18.0,Offensive rebound by C. Diallo,,86,80
3,4:16.0,E. Moore misses 3-pt jump shot from 24 ft,,86,80
3,4:12.0,,Defensive rebound by K. O'Quinn,86,80
3,4:09.0,,D. Collison misses 2-pt layup from 2 ft (block by C. Diallo),86,80
3,4:09.0,,Offensive rebound by Team,86,80
3,4:09.0,,D. Sabonis enters the game for K. O'Quinn,86,80
3,4:00.0,,Shooting foul by C. Diallo (drawn by T. Young),86,80
3,4:00.0,,T. Young makes free throw 1 of 2,86,81
3,4:00.0,,T. Young misses free throw 2 of 2,86,81
3,3:59.0,Defensive rebound by C. Diallo,,86,81
3,3:41.0,C. Diallo makes 2-pt layup from 1 ft (assist by E. Moore),,88,81
3,3:28.0,,Shooting foul by F. Jackson (drawn by D. McDermott),88,81
3,3:28.0,,D. McDermott makes free throw 1 of 2,88,82
3,3:28.0,,T. Leaf enters the game for T. Young,88,82
3,3:28.0,,D. McDermott makes free throw 2 of 2,88,83
3,3:10.0,E. Moore makes 2-pt jump shot from 10 ft (assist by A. Davis),,90,83
3,2:55.0,,D. Sabonis makes 2-pt hook shot from 4 ft (assist by D. McDermott),90,85
3,2:41.0,K. Williams misses 2-pt jump shot from 10 ft,,90,85
3,2:39.0,,Defensive rebound by D. McDermott,90,85
3,2:32.0,,D. McDermott makes 3-pt jump shot from 27 ft (assist by D. Collison),90,88
3,2:32.0,,Shooting foul by F. Jackson (drawn by D. McDermott),90,88
3,2:32.0,,T. Evans enters the game for D. Collison,90,88
3,2:32.0,,D. McDermott misses free throw 1 of 1,90,88
3,2:31.0,Defensive rebound by C. Diallo,,90,88
3,2:17.0,F. Jackson makes 2-pt jump shot from 15 ft (assist by K. Williams),,92,88
3,2:03.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by D. McDermott),92,90
3,1:54.0,A. Davis misses 3-pt jump shot from 28 ft,,92,90
3,1:50.0,,Defensive rebound by Team,92,90
3,1:50.0,S. Johnson enters the game for A. Davis,,92,90
3,1:50.0,J. Randle enters the game for K. Williams,,92,90
3,1:50.0,,Indiana full timeout,92,90
3,1:42.0,,D. McDermott misses 2-pt jump shot from 8 ft,92,90
3,1:39.0,,Offensive rebound by D. Sabonis,92,90
3,1:39.0,,Personal foul by J. Randle (drawn by D. Sabonis),92,90
3,1:39.0,,D. Sabonis makes free throw 1 of 2,92,91
3,1:39.0,,D. Sabonis makes free throw 2 of 2,92,92
3,1:31.0,E. Moore misses 2-pt jump shot from 7 ft,,92,92
3,1:27.0,,Defensive rebound by T. Evans,92,92
3,1:14.0,,T. Leaf misses 2-pt hook shot from 9 ft,92,92
3,1:12.0,Defensive rebound by C. Diallo,,92,92
3,1:03.0,Turnover by J. Randle (bad pass; steal by T. Evans),,92,92
3,0:55.0,,T. Evans makes 2-pt jump shot from 21 ft,92,94
3,0:41.0,E. Moore makes 2-pt jump shot from 9 ft,,94,94
3,0:33.0,,C. Joseph misses 2-pt jump shot from 6 ft,94,94
3,0:31.0,Defensive rebound by C. Diallo,,94,94
3,0:11.0,Turnover by J. Randle (bad pass),,94,94
3,0:11.0,J. Okafor enters the game for C. Diallo,,94,94
3,0:03.0,,T. Evans makes 3-pt jump shot from 27 ft,94,97
3,0:00.0,F. Jackson misses 3-pt jump shot from 28 ft,,94,97
3,0:00.0,Offensive rebound by Team,,94,97
4,11:51.0,,D. Sabonis makes 2-pt dunk from 2 ft (assist by T. Evans),94,99
4,11:29.0,J. Randle misses 2-pt hook shot from 5 ft,,94,99
4,11:26.0,,Defensive rebound by D. Sabonis,94,99
4,11:21.0,,T. Evans makes 2-pt layup at rim,94,101
4,11:21.0,,Shooting foul by J. Randle (drawn by T. Evans),94,101
4,11:21.0,,T. Evans makes free throw 1 of 1,94,102
4,10:56.0,E. Payton misses 2-pt jump shot from 20 ft,,94,102
4,10:55.0,,Defensive rebound by Team,94,102
4,10:43.0,,Personal foul by E. Moore (drawn by T. Evans),94,102
4,10:35.0,,T. Leaf misses 2-pt layup from 2 ft,94,102
4,10:33.0,Defensive rebound by J. Okafor,,94,102
4,10:27.0,E. Payton misses 2-pt layup from 3 ft (block by T. Evans),,94,102
4,10:25.0,Offensive rebound by Team,,94,102
4,10:25.0,,Loose ball foul by T. Evans (drawn by E. Payton),94,102
4,10:11.0,J. Okafor misses 2-pt jump shot from 3 ft (block by T. Leaf),,94,102
4,10:08.0,,Defensive rebound by D. Sabonis,94,102
4,10:05.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by T. Evans),94,105
4,10:04.0,New Orleans full timeout,,94,105
4,10:04.0,J. Holiday enters the game for F. Jackson,,94,105
4,10:04.0,S. Johnson enters the game for E. Moore,,94,105
4,10:04.0,K. Williams enters the game for J. Randle,,94,105
4,9:57.0,Personal foul by C. Joseph (drawn by J. Holiday),,94,105
4,9:43.0,E. Payton makes 2-pt layup from 1 ft,,96,105
4,9:27.0,,T. Evans makes 3-pt jump shot from 26 ft (assist by D. Sabonis),96,108
4,9:15.0,S. Johnson makes 2-pt layup from 1 ft,,98,108
4,8:55.0,,D. Sabonis makes 2-pt jump shot from 6 ft (assist by T. Evans),98,110
4,8:44.0,Shooting foul by C. Joseph (drawn by J. Holiday),,98,110
4,8:44.0,J. Holiday misses free throw 1 of 2,,98,110
4,8:44.0,Offensive rebound by Team,,98,110
4,8:44.0,J. Holiday misses free throw 2 of 2,,98,110
4,8:43.0,,Defensive rebound by T. Leaf,98,110
4,8:24.0,,B. Bogdanović misses 2-pt jump shot from 18 ft,98,110
4,8:20.0,Defensive rebound by J. Okafor,,98,110
4,8:14.0,K. Williams misses 3-pt jump shot from 26 ft,,98,110
4,8:11.0,,Defensive rebound by D. Sabonis,98,110
4,8:02.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by C. Joseph),98,112
4,7:54.0,E. Payton makes 2-pt layup at rim (assist by J. Holiday),,100,112
4,7:54.0,,Indiana full timeout,100,112
4,7:54.0,C. Diallo enters the game for J. Holiday,,100,112
