QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW ORLEANS_ACTION,ATLANTA_SCORE,NEW ORLEANS_SCORE
1,1:50.0,,S. Johnson makes 2-pt layup from 2 ft,34,32
1,1:37.0,K. Huerter misses 3-pt jump shot from 27 ft,,34,32
1,1:37.0,,Defensive rebound by C. Wood,34,32
1,1:25.0,,Turnover by I. Clark (lost ball; steal by D. Bembry),34,32
1,1:22.0,D. Bembry makes 2-pt dunk from 1 ft,,36,32
1,1:01.0,,Turnover by J. Okafor (lost ball; steal by K. Bazemore),36,32
1,0:56.0,V. Carter makes 3-pt jump shot from 27 ft (assist by K. Bazemore),,39,32
1,0:47.0,,D. Miller makes 2-pt jump shot from 13 ft,39,34
1,0:41.0,K. Huerter makes 3-pt jump shot from 27 ft,,42,34
1,0:30.0,,I. Clark misses 2-pt jump shot from 21 ft,42,34
1,0:30.0,Defensive rebound by A. Len,,42,34
1,0:06.0,K. Huerter misses 2-pt layup from 5 ft (block by C. Wood),,42,34
1,0:06.0,Offensive rebound by Team,,42,34
1,0:04.0,K. Bazemore misses 2-pt jump shot from 22 ft,,42,34
1,0:00.0,,Defensive rebound by J. Okafor,42,34
1,0:00.0,,J. Okafor misses 3-pt jump shot from 27 ft,42,34
1,0:00.0,,Offensive rebound by Team,42,34
2,11:48.0,Shooting foul by I. Clark (drawn by K. Bazemore),,42,34
2,11:48.0,K. Bazemore makes free throw 1 of 2,,43,34
2,11:48.0,K. Bazemore makes free throw 2 of 2,,44,34
2,11:28.0,,C. Wood makes 2-pt layup from 2 ft (assist by S. Johnson),44,36
2,11:10.0,Turnover by J. Collins (lost ball),,44,36
2,11:02.0,,I. Clark makes 3-pt jump shot from 23 ft (assist by D. Miller),44,39
2,10:46.0,Personal foul by I. Clark (drawn by V. Carter),,44,39
2,10:46.0,,F. Jackson enters the game for I. Clark,44,39
2,10:45.0,Personal foul by J. Okafor (drawn by J. Collins),,44,39
2,10:35.0,V. Carter misses 2-pt jump shot from 10 ft,,44,39
2,10:31.0,Offensive rebound by J. Collins,,44,39
2,10:30.0,J. Adams misses 3-pt jump shot from 25 ft,,44,39
2,10:27.0,,Defensive rebound by J. Okafor,44,39
2,10:14.0,,Personal foul by J. Adams (drawn by C. Wood),44,39
2,10:04.0,,Turnover by S. Johnson (bad pass),44,39
2,9:53.0,J. Collins misses 2-pt layup from 2 ft,,44,39
2,9:49.0,,Defensive rebound by J. Okafor,44,39
2,9:41.0,,D. Miller makes 2-pt jump shot from 19 ft,44,41
2,9:28.0,K. Bazemore misses 2-pt layup from 2 ft,,44,41
2,9:28.0,,Defensive rebound by C. Wood,44,41
2,9:14.0,,J. Okafor misses 2-pt jump shot from 9 ft,44,41
2,9:12.0,Defensive rebound by V. Carter,,44,41
2,9:01.0,Turnover by K. Huerter (bad pass; steal by F. Jackson),,44,41
2,9:01.0,T. Prince enters the game for K. Huerter,,44,41
2,8:54.0,,D. Miller misses 2-pt jump shot from 20 ft,44,41
2,8:51.0,Defensive rebound by K. Bazemore,,44,41
2,8:47.0,V. Carter misses 3-pt jump shot from 26 ft,,44,41
2,8:43.0,,Defensive rebound by C. Wood,44,41
2,8:31.0,,F. Jackson misses 3-pt jump shot from 23 ft,44,41
2,8:27.0,Defensive rebound by V. Carter,,44,41
2,8:23.0,V. Carter makes 3-pt jump shot from 25 ft,,47,41
2,8:09.0,,D. Miller misses 2-pt jump shot from 17 ft,47,41
2,8:06.0,Defensive rebound by V. Carter,,47,41
2,8:02.0,V. Carter misses 3-pt jump shot from 28 ft,,47,41
2,7:59.0,Offensive rebound by K. Bazemore,,47,41
2,7:52.0,K. Bazemore misses 3-pt jump shot from 23 ft,,47,41
2,7:48.0,,Defensive rebound by C. Wood,47,41
2,7:42.0,,S. Johnson misses 2-pt layup from 6 ft (block by J. Collins),47,41
2,7:42.0,,Offensive rebound by Team,47,41
2,7:42.0,J. Anderson enters the game for K. Bazemore,,47,41
2,7:42.0,,C. Diallo enters the game for S. Johnson,47,41
2,7:42.0,,E. Payton enters the game for J. Okafor,47,41
2,7:35.0,,C. Wood makes 3-pt jump shot from 25 ft (assist by E. Payton),47,44
2,7:23.0,Turnover by T. Prince (dbl dribble),,47,44
2,7:18.0,,Offensive foul by C. Diallo (drawn by T. Prince),47,44
2,7:18.0,,Turnover by C. Diallo (offensive foul),47,44
2,7:18.0,T. Young enters the game for J. Adams,,47,44
2,7:06.0,Turnover by J. Anderson (lost ball; steal by E. Payton),,47,44
2,7:02.0,,Turnover by E. Payton (lost ball; steal by J. Anderson),47,44
2,6:58.0,J. Collins makes 2-pt dunk at rim (assist by T. Prince),,49,44
2,6:52.0,,C. Wood makes 2-pt dunk from 1 ft (assist by E. Payton),49,46
2,6:41.0,V. Carter misses 3-pt jump shot from 30 ft,,49,46
2,6:38.0,,Defensive rebound by C. Diallo,49,46
2,6:29.0,,Turnover by D. Miller (out of bounds lost ball),49,46
2,6:29.0,,New Orleans full timeout,49,46
2,6:29.0,D. Dedmon enters the game for V. Carter,,49,46
2,6:10.0,J. Anderson makes 3-pt jump shot from 26 ft (assist by T. Prince),,52,46
2,5:51.0,,F. Jackson misses 2-pt jump shot from 15 ft,52,46
2,5:48.0,Defensive rebound by T. Prince,,52,46
2,5:42.0,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),,54,46
2,5:31.0,,Shooting foul by J. Collins (drawn by C. Wood),54,46
2,5:31.0,,C. Wood misses free throw 1 of 2,54,46
2,5:31.0,,Offensive rebound by Team,54,46
2,5:31.0,,C. Wood makes free throw 2 of 2,54,47
2,5:20.0,D. Dedmon makes 2-pt dunk from 11 ft (assist by T. Young),,56,47
2,5:09.0,,C. Wood misses 3-pt jump shot from 23 ft,56,47
2,5:06.0,Defensive rebound by J. Anderson,,56,47
2,5:00.0,T. Young misses 3-pt jump shot from 24 ft,,56,47
2,4:55.0,,Defensive rebound by C. Diallo,56,47
2,4:49.0,,C. Diallo misses 2-pt jump shot from 8 ft,56,47
2,4:46.0,Defensive rebound by T. Prince,,56,47
2,4:33.0,Turnover by J. Collins (bad pass; steal by C. Wood),,56,47
2,4:18.0,,E. Payton misses 2-pt layup from 3 ft,56,47
2,4:15.0,,Offensive rebound by C. Diallo,56,47
2,4:15.0,,C. Diallo misses 2-pt layup from 1 ft,56,47
2,4:14.0,Defensive rebound by D. Dedmon,,56,47
2,4:12.0,Shooting foul by C. Diallo (drawn by T. Young),,56,47
2,4:12.0,T. Young misses free throw 1 of 2,,56,47
2,4:12.0,Offensive rebound by Team,,56,47
2,4:12.0,D. Bembry enters the game for J. Anderson,,56,47
2,4:12.0,A. Len enters the game for J. Collins,,56,47
2,4:12.0,,J. Randle enters the game for D. Miller,56,47
2,4:12.0,,K. Williams enters the game for C. Wood,56,47
2,4:12.0,T. Young makes free throw 2 of 2,,57,47
2,4:06.0,,Turnover by J. Randle (out of bounds lost ball),57,47
2,3:56.0,T. Prince makes 3-pt jump shot from 23 ft (assist by A. Len),,60,47
2,3:40.0,,E. Payton misses 3-pt jump shot from 23 ft,60,47
2,3:40.0,Defensive rebound by D. Dedmon,,60,47
2,3:25.0,T. Young makes 3-pt jump shot from 23 ft (assist by D. Bembry),,63,47
2,3:19.0,,New Orleans full timeout,63,47
2,3:11.0,,E. Payton makes 2-pt jump shot from 8 ft,63,49
2,2:58.0,T. Prince makes 2-pt dunk from 1 ft (assist by T. Young),,65,49
2,2:44.0,,F. Jackson misses 2-pt jump shot from 10 ft,65,49
2,2:44.0,,Offensive rebound by C. Diallo,65,49
2,2:38.0,,C. Diallo misses 2-pt layup from 1 ft,65,49
2,2:37.0,Defensive rebound by D. Dedmon,,65,49
2,2:33.0,T. Young makes 2-pt jump shot from 4 ft,,67,49
2,2:16.0,,J. Randle misses 2-pt jump shot from 4 ft,67,49
2,2:16.0,Defensive rebound by A. Len,,67,49
2,2:00.0,Personal foul by K. Williams (drawn by D. Bembry),,67,49
2,2:00.0,D. Bembry misses free throw 1 of 2,,67,49
2,2:00.0,Offensive rebound by Team,,67,49
2,2:00.0,J. Adams enters the game for T. Prince,,67,49
2,2:00.0,K. Huerter enters the game for T. Young,,67,49
2,2:00.0,D. Bembry makes free throw 2 of 2,,68,49
2,1:51.0,,Personal foul by D. Dedmon (drawn by K. Williams),68,49
2,1:45.0,,Shooting foul by J. Adams (drawn by F. Jackson),68,49
2,1:45.0,,F. Jackson makes free throw 1 of 3,68,50
2,1:45.0,,F. Jackson makes free throw 2 of 3,68,51
2,1:45.0,D. Davis enters the game for D. Dedmon,,68,51
2,1:45.0,,F. Jackson makes free throw 3 of 3,68,52
2,1:26.0,Turnover by A. Len (lost ball; steal by J. Randle),,68,52
2,1:21.0,,J. Randle makes 2-pt dunk from 1 ft (assist by K. Williams),68,54
2,1:06.0,Personal foul by C. Diallo (drawn by D. Bembry),,68,54
2,1:06.0,D. Bembry makes free throw 1 of 2,,69,54
2,1:06.0,,C. Wood enters the game for C. Diallo,69,54
2,1:06.0,D. Bembry makes free throw 2 of 2,,70,54
2,0:55.0,,Turnover by K. Williams (bad pass),70,54
2,0:44.0,A. Len misses 3-pt jump shot from 25 ft,,70,54
2,0:39.0,,Defensive rebound by F. Jackson,70,54
2,0:33.0,,C. Wood makes 2-pt layup from 2 ft (assist by K. Williams),70,56
2,0:33.0,,Shooting foul by A. Len (drawn by C. Wood),70,56
2,0:33.0,,C. Wood makes free throw 1 of 1,70,57
2,0:28.0,K. Huerter misses 3-pt jump shot from 26 ft,,70,57
2,0:24.0,,Defensive rebound by K. Williams,70,57
2,0:09.0,,Turnover by F. Jackson (step out of bounds),70,57
2,0:03.0,A. Len misses 2-pt layup from 2 ft (block by C. Wood),,70,57
2,0:02.0,,Defensive rebound by C. Wood,70,57
2,0:00.0,,Turnover by C. Wood (bad pass; steal by D. Bembry),70,57
2,0:00.0,D. Bembry misses 2-pt jump shot from 8 ft,,70,57
2,0:00.0,Offensive rebound by Team,,70,57
3,11:49.0,Turnover by T. Prince (traveling),,70,57
3,11:49.0,Violation by Team (delay of game),,70,57
3,11:42.0,,Shooting foul by J. Collins (drawn by F. Jackson),70,57
3,11:42.0,,F. Jackson misses free throw 1 of 2,70,57
3,11:42.0,,Offensive rebound by Team,70,57
3,11:42.0,,F. Jackson makes free throw 2 of 2,70,58
3,11:32.0,Shooting foul by K. Williams (drawn by T. Prince),,70,58
3,11:32.0,T. Prince makes free throw 1 of 2,,71,58
3,11:32.0,T. Prince makes free throw 2 of 2,,72,58
3,11:25.0,,F. Jackson makes 2-pt layup from 1 ft (assist by E. Payton),72,60
3,11:11.0,Turnover by J. Collins (out of bounds lost ball),,72,60
3,11:05.0,,Turnover by J. Randle (bad pass),72,60
3,10:54.0,T. Young makes 2-pt layup from 2 ft,,74,60
3,10:39.0,,E. Payton misses 2-pt jump shot from 8 ft,74,60
3,10:39.0,Defensive rebound by J. Collins,,74,60
3,10:29.0,D. Dedmon makes 3-pt jump shot from 26 ft (assist by T. Young),,77,60
3,10:28.0,,New Orleans full timeout,77,60
3,10:13.0,,E. Payton makes 3-pt jump shot from 25 ft (assist by J. Randle),77,63
3,9:55.0,T. Young makes 3-pt jump shot from 26 ft (assist by K. Huerter),,80,63
3,9:41.0,,K. Williams makes 2-pt dunk at rim (assist by E. Payton),80,65
3,9:25.0,K. Huerter misses 2-pt jump shot from 11 ft,,80,65
3,9:24.0,Offensive rebound by J. Collins,,80,65
3,9:24.0,J. Collins misses 2-pt layup from 2 ft,,80,65
3,9:23.0,,Defensive rebound by J. Randle,80,65
3,9:16.0,,F. Jackson makes 2-pt layup from 2 ft (assist by K. Williams),80,67
3,8:57.0,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),,82,67
3,8:47.0,,F. Jackson misses 3-pt jump shot from 25 ft,82,67
3,8:47.0,Defensive rebound by K. Huerter,,82,67
3,8:33.0,Shooting foul by F. Jackson (drawn by D. Dedmon),,82,67
3,8:33.0,D. Dedmon makes free throw 1 of 2,,83,67
3,8:33.0,D. Dedmon makes free throw 2 of 2,,84,67
3,8:26.0,,Turnover by J. Randle (lost ball; steal by T. Young),84,67
3,8:21.0,T. Young misses 3-pt jump shot from 27 ft,,84,67
3,8:19.0,Offensive rebound by D. Dedmon,,84,67
3,8:16.0,Shooting foul by C. Diallo (drawn by J. Collins),,84,67
3,8:16.0,J. Collins makes free throw 1 of 2,,85,67
3,8:16.0,,C. Wood enters the game for C. Diallo,85,67
3,8:16.0,J. Collins makes free throw 2 of 2,,86,67
3,8:03.0,,E. Payton makes 2-pt jump shot from 9 ft,86,69
3,7:48.0,Turnover by T. Young (bad pass; steal by E. Payton),,86,69
3,7:45.0,,Turnover by E. Payton (bad pass),86,69
3,7:34.0,K. Huerter misses 2-pt layup from 6 ft,,86,69
3,7:34.0,,Defensive rebound by E. Payton,86,69
3,7:23.0,,J. Randle makes 2-pt layup from 2 ft (assist by E. Payton),86,71
3,7:19.0,Personal take foul by J. Randle (drawn by T. Young),,86,71
3,7:19.0,,I. Clark enters the game for F. Jackson,86,71
3,7:06.0,T. Young makes 2-pt layup from 7 ft,,88,71
3,6:54.0,,E. Payton misses 3-pt jump shot from 27 ft,88,71
3,6:51.0,Defensive rebound by J. Collins,,88,71
3,6:47.0,J. Collins misses 3-pt jump shot from 28 ft,,88,71
3,6:42.0,,Defensive rebound by K. Williams,88,71
3,6:36.0,,J. Randle makes 2-pt layup from 2 ft,88,73
3,6:15.0,Turnover by T. Prince (lost ball; steal by C. Wood),,88,73
3,6:09.0,,Turnover by C. Wood (bad pass; steal by K. Huerter),88,73
3,6:03.0,K. Huerter makes 3-pt jump shot from 24 ft (assist by T. Young),,91,73
3,5:44.0,,E. Payton makes 2-pt jump shot from 7 ft,91,75
3,5:44.0,Atlanta full timeout,,91,75
3,5:44.0,D. Bembry enters the game for J. Collins,,91,75
3,5:44.0,V. Carter enters the game for D. Dedmon,,91,75
3,5:44.0,A. Len enters the game for K. Huerter,,91,75
3,5:32.0,T. Prince misses 3-pt jump shot from 23 ft,,91,75
3,5:28.0,,Defensive rebound by E. Payton,91,75
3,5:08.0,,I. Clark makes 2-pt layup from 1 ft (assist by E. Payton),91,77
3,4:55.0,D. Bembry misses 3-pt jump shot from 24 ft,,91,77
3,4:52.0,,Defensive rebound by J. Randle,91,77
3,4:45.0,,K. Williams misses 3-pt jump shot from 23 ft,91,77
3,4:35.0,Defensive rebound by A. Len,,91,77
3,4:34.0,Turnover by D. Bembry (bad pass; steal by K. Williams),,91,77
3,4:31.0,,Personal take foul by V. Carter (drawn by J. Randle),91,77
3,4:31.0,J. Adams enters the game for T. Prince,,91,77
3,4:31.0,K. Bazemore enters the game for T. Young,,91,77
3,4:20.0,,J. Randle misses 3-pt jump shot from 25 ft,91,77
3,4:18.0,,Offensive rebound by C. Wood,91,77
3,4:18.0,,Shooting foul by D. Bembry (drawn by C. Wood),91,77
3,4:18.0,,C. Wood misses free throw 1 of 2,91,77
3,4:18.0,,Offensive rebound by Team,91,77
3,4:18.0,,D. Miller enters the game for J. Randle,91,77
3,4:18.0,,C. Wood makes free throw 2 of 2,91,78
3,4:07.0,D. Bembry misses 3-pt jump shot from 26 ft,,91,78
3,4:01.0,,Defensive rebound by K. Williams,91,78
3,3:57.0,,Turnover by E. Payton (bad pass),91,78
3,3:50.0,V. Carter misses 3-pt jump shot from 27 ft,,91,78
3,3:45.0,,Defensive rebound by E. Payton,91,78
3,3:36.0,,Turnover by K. Williams (bad pass; steal by D. Bembry),91,78
3,3:32.0,K. Bazemore misses 3-pt jump shot from 26 ft,,91,78
3,3:21.0,Offensive rebound by D. Bembry,,91,78
3,3:21.0,D. Bembry makes 2-pt layup from 1 ft,,93,78
3,3:18.0,,I. Clark misses 3-pt jump shot from 23 ft,93,78
3,3:14.0,Defensive rebound by A. Len,,93,78
3,3:04.0,D. Bembry makes 3-pt jump shot from 26 ft (assist by V. Carter),,96,78
3,2:51.0,,E. Payton misses 2-pt layup from 2 ft,96,78
3,2:51.0,Defensive rebound by D. Bembry,,96,78
3,2:51.0,Personal foul by E. Payton (drawn by D. Bembry),,96,78
3,2:51.0,D. Bembry makes free throw 1 of 2,,97,78
3,2:51.0,D. Bembry misses free throw 2 of 2,,97,78
3,2:50.0,Offensive rebound by Team,,97,78
3,2:50.0,,S. Johnson enters the game for E. Payton,97,78
3,2:47.0,V. Carter misses 2-pt layup from 2 ft,,97,78
3,2:42.0,Offensive rebound by A. Len,,97,78
3,2:42.0,A. Len makes 2-pt layup from 1 ft,,99,78
3,2:28.0,,S. Johnson makes 3-pt jump shot from 24 ft (assist by D. Miller),99,81
3,2:09.0,Turnover by D. Bembry (lost ball; steal by C. Wood),,99,81
3,2:00.0,,Shooting foul by A. Len (drawn by C. Wood),99,81
3,2:00.0,,C. Wood makes free throw 1 of 2,99,82
3,2:00.0,,C. Wood makes free throw 2 of 2,99,83
3,1:51.0,V. Carter makes 3-pt jump shot from 25 ft (assist by K. Bazemore),,102,83
3,1:40.0,,K. Williams makes 3-pt jump shot from 26 ft (assist by C. Wood),102,86
3,1:17.0,K. Bazemore misses 3-pt jump shot from 25 ft,,102,86
3,1:17.0,,Defensive rebound by I. Clark,102,86
3,1:13.0,,K. Williams misses 2-pt dunk from 2 ft (block by K. Bazemore),102,86
3,1:13.0,,Offensive rebound by Team,102,86
3,1:13.0,J. Anderson enters the game for D. Bembry,,102,86
3,1:08.0,,D. Miller misses 3-pt jump shot from 25 ft (block by V. Carter),102,86
3,1:03.0,Defensive rebound by J. Anderson,,102,86
3,0:52.0,K. Bazemore misses 2-pt layup from 4 ft (block by C. Wood),,102,86
3,0:48.0,,Defensive rebound by C. Wood,102,86
3,0:44.0,,Turnover by S. Johnson (bad pass; steal by J. Anderson),102,86
3,0:30.0,A. Len misses 3-pt jump shot from 26 ft,,102,86
3,0:26.0,,Defensive rebound by K. Williams,102,86
3,0:23.0,,Flagrant foul type 1 by A. Len (drawn by C. Wood),102,86
3,0:23.0,,C. Wood misses flagrant free throw 1 of 2,102,86
3,0:23.0,,Offensive rebound by Team,102,86
3,0:23.0,,C. Wood makes flagrant free throw 2 of 2,102,87
3,0:00.0,,D. Miller misses 3-pt jump shot from 24 ft,102,87
3,0:00.0,,Offensive rebound by Team,102,87
4,11:48.0,,J. Randle misses 2-pt layup from 2 ft,102,87
4,11:47.0,,Offensive rebound by J. Randle,102,87
4,11:47.0,,Shooting foul by J. Collins (drawn by J. Randle),102,87
4,11:47.0,,J. Randle makes free throw 1 of 2,102,88
4,11:47.0,,J. Randle makes free throw 2 of 2,102,89
4,11:35.0,J. Collins misses 2-pt layup from 3 ft (block by C. Wood),,102,89
4,11:35.0,Offensive rebound by Team,,102,89
4,11:31.0,J. Collins misses 2-pt dunk from 1 ft,,102,89
4,11:30.0,,Defensive rebound by Team,102,89
4,11:15.0,,S. Johnson misses 3-pt jump shot from 23 ft,102,89
4,11:12.0,Defensive rebound by J. Collins,,102,89
4,11:05.0,K. Huerter misses 2-pt jump shot from 17 ft,,102,89
4,11:05.0,,Defensive rebound by Team,102,89
4,11:05.0,,Flagrant foul type 1 by J. Collins (drawn by C. Wood),102,89
4,11:05.0,A. Len enters the game for J. Collins,,102,89
4,11:05.0,,C. Wood misses flagrant free throw 1 of 2,102,89
4,11:05.0,,Offensive rebound by Team,102,89
4,11:05.0,,C. Wood misses flagrant free throw 2 of 2,102,89
4,11:05.0,,Offensive rebound by Team,102,89
4,10:55.0,,Personal foul by K. Huerter (drawn by J. Randle),102,89
4,10:45.0,,I. Clark misses 2-pt jump shot from 9 ft,102,89
4,10:42.0,Defensive rebound by A. Len,,102,89
4,10:31.0,T. Young makes 2-pt jump shot from 11 ft (assist by D. Dedmon),,104,89
4,10:19.0,,J. Randle makes 2-pt dunk at rim (assist by I. Clark),104,91
4,10:06.0,T. Young misses 3-pt jump shot from 30 ft,,104,91
4,10:06.0,,Defensive rebound by J. Randle,104,91
4,9:54.0,,I. Clark misses 2-pt jump shot from 8 ft,104,91
4,9:54.0,,Offensive rebound by J. Randle,104,91
4,9:54.0,,Shooting foul by D. Dedmon (drawn by J. Randle),104,91
4,9:54.0,,J. Randle makes free throw 1 of 2,104,92
4,9:54.0,,J. Randle makes free throw 2 of 2,104,93
4,9:43.0,D. Dedmon makes 3-pt jump shot from 26 ft (assist by T. Young),,107,93
4,9:19.0,,C. Wood makes 2-pt dunk from 1 ft (assist by D. Miller),107,95
4,9:03.0,T. Young misses 3-pt jump shot from 26 ft,,107,95
4,9:03.0,,Defensive rebound by S. Johnson,107,95
