QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,DALLAS_ACTION,PHILADELPHIA_SCORE,DALLAS_SCORE
2,8:22.0,J. Redick makes free throw 1 of 1,,42,40
2,8:06.0,,D. Nowitzki misses 2-pt jump shot from 8 ft,42,40
2,8:04.0,Defensive rebound by T. Harris,,42,40
2,7:51.0,T. Harris misses 3-pt jump shot from 25 ft,,42,40
2,7:48.0,,Defensive rebound by R. Broekhoff,42,40
2,7:39.0,,T. Burke misses 2-pt jump shot from 18 ft,42,40
2,7:36.0,Defensive rebound by J. Redick,,42,40
2,7:31.0,J. Redick misses 3-pt jump shot from 29 ft,,42,40
2,7:29.0,,Defensive rebound by D. Nowitzki,42,40
2,7:17.0,,D. Macon makes 2-pt jump shot from 22 ft,42,42
2,7:16.0,Philadelphia full timeout,,42,42
2,7:16.0,B. Marjanović enters the game for J. Bolden,,42,42
2,7:16.0,T. McConnell enters the game for J. Ennis,,42,42
2,7:16.0,S. Milton enters the game for J. Redick,,42,42
2,7:16.0,M. Scott enters the game for B. Simmons,,42,42
2,7:16.0,,D. Finney-Smith enters the game for R. Broekhoff,42,42
2,6:58.0,Personal foul by D. Powell (drawn by T. Harris),,42,42
2,6:48.0,B. Marjanović misses 2-pt jump shot from 10 ft,,42,42
2,6:46.0,,Defensive rebound by D. Macon,42,42
2,6:33.0,,D. Nowitzki makes 2-pt jump shot from 18 ft (assist by D. Macon),42,44
2,6:19.0,T. Harris misses 3-pt jump shot from 25 ft,,42,44
2,6:18.0,Offensive rebound by B. Marjanović,,42,44
2,6:18.0,Shooting foul by D. Nowitzki (drawn by B. Marjanović),,42,44
2,6:18.0,B. Marjanović makes free throw 1 of 2,,43,44
2,6:18.0,,S. Mejri enters the game for D. Powell,43,44
2,6:18.0,B. Marjanović makes free throw 2 of 2,,44,44
2,6:00.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,44,44
2,5:58.0,Defensive rebound by M. Scott,,44,44
2,5:47.0,S. Milton misses 3-pt jump shot from 24 ft,,44,44
2,5:43.0,Offensive rebound by B. Marjanović,,44,44
2,5:39.0,Turnover by B. Marjanović (bad pass; steal by D. Finney-Smith),,44,44
2,5:37.0,,Shooting foul by T. McConnell (drawn by T. Burke),44,44
2,5:37.0,,T. Burke makes free throw 1 of 2,44,45
2,5:37.0,,J. Jackson enters the game for D. Macon,44,45
2,5:37.0,,T. Burke makes free throw 2 of 2,44,46
2,5:18.0,S. Milton misses 2-pt jump shot from 5 ft,,44,46
2,5:16.0,,Defensive rebound by J. Jackson,44,46
2,5:06.0,,T. Burke misses 2-pt layup from 4 ft,44,46
2,5:03.0,,Offensive rebound by S. Mejri,44,46
2,5:03.0,,S. Mejri misses 2-pt dunk from 1 ft,44,46
2,5:02.0,,Offensive rebound by S. Mejri,44,46
2,5:00.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft,44,46
2,4:58.0,Defensive rebound by M. Scott,,44,46
2,4:53.0,T. Harris misses 3-pt jump shot from 25 ft,,44,46
2,4:50.0,Offensive rebound by M. Scott,,44,46
2,4:49.0,M. Scott misses 3-pt jump shot from 25 ft,,44,46
2,4:49.0,,Defensive rebound by S. Mejri,44,46
2,4:40.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,44,46
2,4:37.0,,Offensive rebound by T. Burke,44,46
2,4:27.0,,S. Mejri misses 3-pt jump shot from 24 ft,44,46
2,4:24.0,Defensive rebound by S. Milton,,44,46
2,4:20.0,M. Scott misses 3-pt jump shot from 25 ft,,44,46
2,4:16.0,,Defensive rebound by D. Finney-Smith,44,46
2,4:14.0,,Dallas full timeout,44,46
2,4:14.0,J. Bolden enters the game for T. Harris,,44,46
2,4:14.0,J. Redick enters the game for B. Marjanović,,44,46
2,4:14.0,B. Simmons enters the game for T. McConnell,,44,46
2,4:14.0,,J. Brunson enters the game for T. Burke,44,46
2,4:14.0,,M. Kleber enters the game for D. Nowitzki,44,46
2,3:56.0,,J. Brunson misses 3-pt jump shot from 26 ft,44,46
2,3:55.0,,Offensive rebound by Team,44,46
2,3:55.0,,Turnover by Team (shot clock),44,46
2,3:40.0,M. Scott misses 3-pt jump shot from 26 ft,,44,46
2,3:36.0,,Defensive rebound by S. Mejri,44,46
2,3:32.0,,Shooting foul by J. Redick (drawn by J. Jackson),44,46
2,3:32.0,,J. Jackson makes free throw 1 of 2,44,47
2,3:32.0,,J. Jackson makes free throw 2 of 2,44,48
2,3:24.0,Personal foul by M. Kleber (drawn by J. Redick),,44,48
2,3:24.0,J. Redick makes free throw 1 of 2,,45,48
2,3:24.0,J. Redick makes free throw 2 of 2,,46,48
2,3:10.0,,M. Kleber makes 2-pt layup from 2 ft (assist by S. Mejri),46,50
2,3:01.0,J. Redick misses 3-pt jump shot from 27 ft,,46,50
2,2:59.0,,Defensive rebound by S. Mejri,46,50
2,2:44.0,,D. Finney-Smith makes 2-pt layup from 1 ft,46,52
2,2:44.0,,Shooting foul by S. Milton (drawn by D. Finney-Smith),46,52
2,2:44.0,,D. Finney-Smith misses free throw 1 of 1,46,52
2,2:41.0,Defensive rebound by M. Scott,,46,52
2,2:27.0,J. Bolden misses 3-pt jump shot from 24 ft,,46,52
2,2:24.0,,Defensive rebound by D. Finney-Smith,46,52
2,2:17.0,,D. Finney-Smith misses 3-pt jump shot from 25 ft (block by B. Simmons),46,52
2,2:14.0,,Offensive rebound by S. Mejri,46,52
2,2:12.0,,S. Mejri makes 2-pt layup from 1 ft,46,54
2,2:12.0,,Shooting foul by M. Scott (drawn by S. Mejri),46,54
2,2:12.0,,S. Mejri makes free throw 1 of 1,46,55
2,2:01.0,Shooting foul by M. Kleber (drawn by B. Simmons),,46,55
2,2:01.0,B. Simmons makes free throw 1 of 2,,47,55
2,2:01.0,B. Simmons makes free throw 2 of 2,,48,55
2,1:53.0,,J. Brunson makes 2-pt layup from 6 ft (assist by M. Kleber),48,57
2,1:37.0,Turnover by J. Redick (lost ball; steal by D. Finney-Smith),,48,57
2,1:33.0,,J. Brunson makes 3-pt jump shot from 25 ft (assist by M. Kleber),48,60
2,1:22.0,Shooting foul by S. Mejri (drawn by B. Simmons),,48,60
2,1:22.0,B. Simmons misses free throw 1 of 2,,48,60
2,1:22.0,Offensive rebound by Team,,48,60
2,1:22.0,T. Harris enters the game for S. Milton,,48,60
2,1:22.0,,D. Powell enters the game for S. Mejri,48,60
2,1:22.0,B. Simmons misses free throw 2 of 2,,48,60
2,1:19.0,,Defensive rebound by D. Powell,48,60
2,1:05.0,,M. Kleber makes 2-pt hook shot from 10 ft,48,62
2,0:51.0,B. Simmons misses 2-pt layup from 6 ft,,48,62
2,0:49.0,,Defensive rebound by M. Kleber,48,62
2,0:33.0,,J. Brunson misses 2-pt layup from 2 ft,48,62
2,0:31.0,Defensive rebound by T. Harris,,48,62
2,0:25.0,Shooting foul by J. Jackson (drawn by J. Redick),,48,62
2,0:25.0,J. Redick makes free throw 1 of 2,,49,62
2,0:25.0,,D. Nowitzki enters the game for M. Kleber,49,62
2,0:25.0,J. Redick makes free throw 2 of 2,,50,62
2,0:15.0,,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by D. Powell),50,65
2,0:15.0,Turnover by J. Bolden (bad pass),,50,65
2,0:04.0,,D. Nowitzki makes 3-pt jump shot from 23 ft (assist by J. Brunson),50,68
2,0:00.0,B. Simmons misses 3-pt jump shot from 31 ft,,50,68
2,0:00.0,Offensive rebound by Team,,50,68
3,11:42.0,,J. Jackson makes 2-pt layup from 3 ft (assist by J. Brunson),50,70
3,11:27.0,T. Harris misses 2-pt jump shot from 8 ft,,50,70
3,11:25.0,,Defensive rebound by D. Nowitzki,50,70
3,11:19.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,50,70
3,11:15.0,Defensive rebound by J. Bolden,,50,70
3,11:00.0,B. Simmons misses 2-pt jump shot from 7 ft,,50,70
3,10:58.0,,Defensive rebound by J. Jackson,50,70
3,10:43.0,,D. Nowitzki misses 2-pt jump shot from 13 ft,50,70
3,10:40.0,Defensive rebound by B. Simmons,,50,70
3,10:33.0,J. Ennis misses 3-pt jump shot from 25 ft,,50,70
3,10:31.0,,Defensive rebound by J. Jackson,50,70
3,10:22.0,,J. Jackson misses 3-pt jump shot from 26 ft,50,70
3,10:18.0,Defensive rebound by J. Redick,,50,70
3,10:15.0,B. Simmons makes 2-pt layup from 2 ft,,52,70
3,10:15.0,Shooting foul by D. Powell (drawn by B. Simmons),,52,70
3,10:15.0,B. Simmons makes free throw 1 of 1,,53,70
3,10:02.0,,D. Nowitzki misses 2-pt jump shot from 7 ft (block by T. Harris),53,70
3,9:59.0,Defensive rebound by J. Bolden,,53,70
3,9:56.0,Turnover by B. Simmons (offensive foul),,53,70
3,9:56.0,Offensive foul by B. Simmons (drawn by J. Brunson),,53,70
3,9:43.0,,Turnover by D. Powell (bad pass),53,70
3,9:30.0,T. Harris misses 3-pt jump shot from 23 ft,,53,70
3,9:27.0,Offensive rebound by J. Bolden,,53,70
3,9:17.0,J. Ennis makes 2-pt dunk from 1 ft (assist by T. Harris),,55,70
3,8:55.0,,Shooting foul by J. Redick (drawn by J. Jackson),55,70
3,8:55.0,,J. Jackson makes free throw 1 of 2,55,71
3,8:55.0,,J. Jackson misses free throw 2 of 2,55,71
3,8:53.0,Defensive rebound by B. Simmons,,55,71
3,8:43.0,B. Simmons misses 2-pt layup from 2 ft,,55,71
3,8:42.0,Offensive rebound by B. Simmons,,55,71
3,8:42.0,Shooting foul by C. Lee (drawn by B. Simmons),,55,71
3,8:42.0,B. Simmons makes free throw 1 of 2,,56,71
3,8:42.0,B. Simmons misses free throw 2 of 2,,56,71
3,8:40.0,,Defensive rebound by D. Nowitzki,56,71
3,8:29.0,,Shooting foul by B. Simmons (drawn by J. Jackson),56,71
3,8:29.0,,J. Jackson makes free throw 1 of 2,56,72
3,8:29.0,,J. Jackson makes free throw 2 of 2,56,73
3,8:19.0,J. Redick misses 3-pt jump shot from 25 ft,,56,73
3,8:16.0,Offensive rebound by J. Ennis,,56,73
3,8:15.0,J. Ennis misses 2-pt layup from 1 ft,,56,73
3,8:14.0,,Defensive rebound by D. Nowitzki,56,73
3,8:08.0,,J. Brunson makes 2-pt jump shot from 11 ft,56,75
3,8:00.0,Shooting foul by C. Lee (drawn by B. Simmons),,56,75
3,8:00.0,B. Marjanović enters the game for J. Bolden,,56,75
3,8:00.0,M. Scott enters the game for J. Ennis,,56,75
3,8:00.0,Z. Smith enters the game for J. Redick,,56,75
3,8:00.0,B. Simmons makes free throw 1 of 2,,57,75
3,8:00.0,B. Simmons makes free throw 2 of 2,,58,75
3,7:43.0,,Shooting foul by B. Marjanović (drawn by D. Powell),58,75
3,7:43.0,,D. Powell misses free throw 1 of 2,58,75
3,7:43.0,,Offensive rebound by Team,58,75
3,7:43.0,T. McConnell enters the game for B. Simmons,,58,75
3,7:43.0,,D. Powell makes free throw 2 of 2,58,76
3,7:32.0,T. Harris makes 2-pt jump shot from 13 ft,,60,76
3,7:18.0,,D. Powell makes 3-pt jump shot from 26 ft (assist by J. Brunson),60,79
3,7:03.0,T. Harris makes 2-pt jump shot from 4 ft,,62,79
3,6:50.0,,J. Brunson misses 2-pt jump shot from 14 ft,62,79
3,6:47.0,Defensive rebound by T. McConnell,,62,79
3,6:38.0,T. McConnell makes 2-pt layup from 1 ft (assist by T. Harris),,64,79
3,6:38.0,,Dallas full timeout,64,79
3,6:38.0,,M. Kleber enters the game for D. Nowitzki,64,79
3,6:38.0,,S. Mejri enters the game for D. Powell,64,79
3,6:24.0,,C. Lee misses 3-pt jump shot from 24 ft,64,79
3,6:21.0,Defensive rebound by M. Scott,,64,79
3,6:14.0,T. Harris makes 2-pt jump shot from 17 ft,,66,79
3,5:55.0,,Turnover by C. Lee (traveling),66,79
3,5:37.0,M. Scott makes 2-pt jump shot from 12 ft (assist by T. McConnell),,68,79
3,5:15.0,,J. Jackson misses 3-pt jump shot from 24 ft,68,79
3,5:11.0,Defensive rebound by T. McConnell,,68,79
3,5:09.0,Z. Smith misses 2-pt layup from 2 ft,,68,79
3,5:07.0,,Defensive rebound by J. Jackson,68,79
3,4:56.0,,J. Jackson makes 2-pt hook shot from 1 ft (assist by J. Brunson),68,81
3,4:55.0,Philadelphia full timeout,,68,81
3,4:35.0,T. Harris makes 2-pt jump shot from 10 ft,,70,81
3,4:18.0,,S. Mejri makes 2-pt layup from 4 ft (assist by J. Jackson),70,83
3,4:18.0,,Shooting foul by T. Harris (drawn by S. Mejri),70,83
3,4:18.0,,S. Mejri makes free throw 1 of 1,70,84
3,4:02.0,Shooting foul by J. Jackson (drawn by T. Harris),,70,84
3,4:02.0,T. Harris misses free throw 1 of 2,,70,84
3,4:02.0,Offensive rebound by Team,,70,84
3,4:02.0,,T. Burke enters the game for J. Brunson,70,84
3,4:02.0,T. Harris makes free throw 2 of 2,,71,84
3,3:49.0,,J. Jackson makes 2-pt layup at rim (assist by T. Burke),71,86
3,3:31.0,T. Harris makes 2-pt layup from 1 ft (assist by M. Scott),,73,86
3,3:15.0,,S. Mejri misses 3-pt jump shot from 25 ft,73,86
3,3:11.0,Defensive rebound by B. Marjanović,,73,86
3,3:05.0,M. Scott misses 3-pt jump shot from 25 ft,,73,86
3,3:03.0,,Defensive rebound by Team,73,86
3,3:03.0,Loose ball foul by B. Marjanović (drawn by J. Jackson),,73,86
3,3:03.0,,J. Jackson makes free throw 1 of 2,73,87
3,3:03.0,J. Bolden enters the game for T. Harris,,73,87
3,3:03.0,J. Ennis enters the game for B. Marjanović,,73,87
3,3:03.0,B. Simmons enters the game for M. Scott,,73,87
3,3:03.0,,D. Macon enters the game for C. Lee,73,87
3,3:03.0,,J. Jackson makes free throw 2 of 2,73,88
3,2:51.0,J. Bolden misses 3-pt jump shot from 25 ft,,73,88
3,2:46.0,,Defensive rebound by M. Kleber,73,88
3,2:38.0,,M. Kleber misses 2-pt layup from 1 ft,73,88
3,2:36.0,,Offensive rebound by M. Kleber,73,88
3,2:35.0,,M. Kleber makes 2-pt layup at rim,73,90
3,2:35.0,Philadelphia full timeout,,73,90
3,2:35.0,J. Redick enters the game for T. McConnell,,73,90
3,2:35.0,M. Scott enters the game for Z. Smith,,73,90
3,2:21.0,J. Redick misses 2-pt jump shot from 22 ft,,73,90
3,2:17.0,Offensive rebound by J. Ennis,,73,90
3,2:16.0,J. Bolden makes 2-pt layup at rim (assist by J. Ennis),,75,90
3,2:00.0,,J. Jackson makes 2-pt layup from 4 ft (assist by T. Burke),75,92
3,1:50.0,J. Redick misses 3-pt jump shot from 25 ft,,75,92
3,1:48.0,,Defensive rebound by S. Mejri,75,92
3,1:38.0,,J. Jackson makes 3-pt jump shot from 25 ft (assist by D. Macon),75,95
3,1:29.0,B. Simmons misses 2-pt layup from 2 ft,,75,95
3,1:27.0,,Defensive rebound by S. Mejri,75,95
3,1:22.0,,Offensive foul by D. Macon (drawn by J. Redick),75,95
3,1:22.0,,Turnover by D. Macon (offensive foul),75,95
3,1:20.0,Personal foul by J. Jackson (drawn by M. Scott),,75,95
3,1:20.0,M. Scott makes free throw 1 of 2,,76,95
3,1:20.0,,D. Finney-Smith enters the game for J. Jackson,76,95
3,1:20.0,M. Scott makes free throw 2 of 2,,77,95
3,1:02.0,,T. Burke misses 3-pt jump shot from 26 ft,77,95
3,0:59.0,Defensive rebound by J. Ennis,,77,95
3,0:37.0,J. Bolden misses 2-pt layup from 6 ft (block by S. Mejri),,77,95
3,0:34.0,,Defensive rebound by S. Mejri,77,95
3,0:23.0,,D. Finney-Smith makes 2-pt layup at rim,77,97
3,0:03.0,B. Simmons misses 2-pt hook shot from 2 ft,,77,97
3,0:01.0,,Defensive rebound by S. Mejri,77,97
3,0:01.0,,Turnover by S. Mejri (bad pass; steal by J. Redick),77,97
3,0:00.0,J. Redick misses 3-pt jump shot from 26 ft,,77,97
3,0:00.0,Offensive rebound by Team,,77,97
4,11:48.0,J. Redick makes 2-pt jump shot from 20 ft (assist by J. Ennis),,79,97
4,11:34.0,,D. Finney-Smith misses 3-pt jump shot from 25 ft,79,97
4,11:31.0,Defensive rebound by T. Harris,,79,97
4,11:23.0,T. Harris misses 3-pt jump shot from 28 ft,,79,97
4,11:20.0,,Defensive rebound by T. Burke,79,97
4,11:12.0,,M. Kleber makes 3-pt jump shot from 26 ft (assist by D. Powell),79,100
4,11:01.0,J. Redick makes 3-pt jump shot from 27 ft (assist by B. Simmons),,82,100
4,10:46.0,,T. Burke misses 2-pt jump shot from 8 ft,82,100
4,10:43.0,Defensive rebound by J. Bolden,,82,100
4,10:37.0,T. Harris misses 2-pt layup from 5 ft,,82,100
4,10:34.0,Offensive rebound by J. Ennis,,82,100
4,10:33.0,J. Ennis misses 2-pt layup from 1 ft,,82,100
4,10:32.0,,Defensive rebound by D. Powell,82,100
4,10:15.0,,T. Burke makes 2-pt layup from 5 ft (assist by D. Powell),82,102
4,9:57.0,Turnover by J. Redick (bad pass),,82,102
4,9:42.0,,Personal foul by J. Ennis (drawn by M. Kleber),82,102
4,9:29.0,,Turnover by Team (shot clock),82,102
4,9:19.0,Shooting foul by D. Macon (drawn by J. Ennis),,82,102
4,9:19.0,J. Ennis makes free throw 1 of 2,,83,102
4,9:19.0,J. Ennis misses free throw 2 of 2,,83,102
4,9:16.0,,Defensive rebound by M. Kleber,83,102
4,9:03.0,,M. Kleber misses 3-pt jump shot from 24 ft,83,102
4,8:59.0,Defensive rebound by T. Harris,,83,102
4,8:52.0,J. Redick misses 3-pt jump shot from 25 ft,,83,102
4,8:49.0,,Defensive rebound by T. Burke,83,102
4,8:46.0,,D. Macon misses 2-pt layup from 2 ft (block by B. Simmons),83,102
4,8:45.0,,Offensive rebound by T. Burke,83,102
