QUARTER,TIME_REMAINING,DALLAS_ACTION,INDIANA_ACTION,DALLAS_SCORE,INDIANA_SCORE
4,2:59.0,,Personal take foul by W. Matthews (drawn by V. Oladipo),91,105
4,2:59.0,D. Finney-Smith enters the game for H. Barnes,,91,105
4,2:59.0,D. Macon enters the game for J. Brunson,,91,105
4,2:59.0,D. Nowitzki enters the game for D. Jordan,,91,105
4,2:59.0,D. Powell enters the game for W. Matthews,,91,105
4,2:53.0,,Personal foul by D. Finney-Smith (drawn by V. Oladipo),91,105
4,2:53.0,,V. Oladipo misses free throw 1 of 2,91,105
4,2:53.0,,Offensive rebound by Team,91,105
4,2:53.0,S. Mejri enters the game for D. Powell,,91,105
4,2:53.0,,V. Oladipo makes free throw 2 of 2,91,106
4,2:43.0,D. Nowitzki misses 3-pt jump shot from 30 ft,,91,106
4,2:41.0,Offensive rebound by D. Finney-Smith,,91,106
4,2:41.0,Personal foul by V. Oladipo (drawn by D. Finney-Smith),,91,106
4,2:41.0,,D. McDermott enters the game for V. Oladipo,91,106
4,2:41.0,,K. O'Quinn enters the game for D. Sabonis,91,106
4,2:32.0,Shooting foul by K. O'Quinn (drawn by S. Mejri),,91,106
4,2:32.0,S. Mejri makes free throw 1 of 2,,92,106
4,2:32.0,S. Mejri makes free throw 2 of 2,,93,106
4,2:21.0,,B. Bogdanović misses 2-pt layup from 4 ft (block by D. Nowitzki),93,106
4,2:21.0,,Offensive rebound by Team,93,106
4,2:13.0,,Turnover by B. Bogdanović (lost ball; steal by D. Macon),93,106
4,2:08.0,D. Macon makes 2-pt layup from 1 ft,,95,106
4,1:56.0,,D. McDermott makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),95,109
4,1:34.0,D. Nowitzki misses 3-pt jump shot from 28 ft,,95,109
4,1:30.0,,Defensive rebound by C. Joseph,95,109
4,1:30.0,,Indiana full timeout,95,109
4,1:30.0,,A. Holiday enters the game for B. Bogdanović,95,109
4,1:30.0,,A. Johnson enters the game for T. Evans,95,109
4,1:30.0,,T. Leaf enters the game for C. Joseph,95,109
4,1:18.0,,A. Holiday misses 2-pt jump shot from 7 ft,95,109
4,1:15.0,Defensive rebound by S. Mejri,,95,109
4,1:01.0,D. Finney-Smith misses 3-pt jump shot from 28 ft,,95,109
4,0:59.0,,Defensive rebound by T. Leaf,95,109
4,0:46.0,,K. O'Quinn makes 2-pt jump shot from 6 ft (assist by T. Leaf),95,111
4,0:35.0,D. Nowitzki misses 3-pt jump shot from 27 ft,,95,111
4,0:32.0,Offensive rebound by D. Finney-Smith,,95,111
4,0:31.0,D. Finney-Smith makes 2-pt layup from 1 ft,,97,111
4,0:17.0,,Turnover by K. O'Quinn (bad pass; steal by D. Finney-Smith),97,111
4,0:13.0,D. Finney-Smith makes 2-pt dunk from 1 ft,,99,111
