QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PORTLAND_ACTION,NEW ORLEANS_SCORE,PORTLAND_SCORE
1,7:38.0,Turnover by E. Moore (step out of bounds),,8,13
1,7:25.0,,Personal foul by E. Moore (drawn by J. Layman),8,13
1,7:12.0,,D. Lillard makes 3-pt jump shot from 23 ft (assist by J. Nurkić),8,16
1,7:02.0,New Orleans full timeout,,8,16
1,7:02.0,F. Jackson enters the game for T. Frazier,,8,16
1,6:49.0,N. Mirotić makes 2-pt layup from 3 ft (assist by J. Holiday),,10,16
1,6:35.0,,J. Nurkić makes 2-pt dunk from 1 ft (assist by D. Lillard),10,18
1,6:24.0,N. Mirotić misses 2-pt layup from 11 ft (block by J. Layman),,10,18
1,6:22.0,,Defensive rebound by A. Aminu,10,18
1,6:16.0,,Turnover by D. Lillard (bad pass; steal by J. Holiday),10,18
1,6:11.0,N. Mirotić misses 2-pt layup from 1 ft,,10,18
1,6:06.0,Offensive rebound by J. Okafor,,10,18
1,6:06.0,J. Okafor makes 2-pt layup at rim,,12,18
1,5:50.0,,Shooting foul by J. Okafor (drawn by J. Nurkić),12,18
1,5:50.0,,J. Nurkić misses free throw 1 of 2,12,18
1,5:50.0,,Offensive rebound by Team,12,18
1,5:50.0,J. Randle enters the game for J. Okafor,,12,18
1,5:50.0,,J. Nurkić makes free throw 2 of 2,12,19
1,5:34.0,J. Randle makes 2-pt jump shot from 10 ft,,14,19
1,5:20.0,,Personal foul by J. Holiday (drawn by D. Lillard),14,19
1,5:20.0,,E. Turner enters the game for J. Layman,14,19
1,5:09.0,,E. Turner makes 2-pt jump shot from 17 ft (assist by J. Nurkić),14,21
1,4:56.0,F. Jackson misses 3-pt jump shot from 26 ft,,14,21
1,4:54.0,,Defensive rebound by C. McCollum,14,21
1,4:48.0,,Turnover by C. McCollum (bad pass; steal by E. Moore),14,21
1,4:38.0,J. Randle makes 2-pt hook shot from 2 ft,,16,21
1,4:22.0,,D. Lillard makes 2-pt layup from 1 ft,16,23
1,4:13.0,E. Moore makes 2-pt layup from 2 ft,,18,23
1,4:13.0,Shooting foul by C. McCollum (drawn by E. Moore),,18,23
1,4:13.0,,Z. Collins enters the game for C. McCollum,18,23
1,4:13.0,,N. Stauskas enters the game for J. Nurkić,18,23
1,4:13.0,E. Moore makes free throw 1 of 1,,19,23
1,4:04.0,,N. Stauskas makes 2-pt jump shot from 15 ft,19,25
1,3:52.0,J. Randle misses 3-pt jump shot from 25 ft,,19,25
1,3:51.0,,Defensive rebound by A. Aminu,19,25
1,3:40.0,,D. Lillard misses 2-pt layup from 1 ft,19,25
1,3:37.0,,Offensive rebound by Z. Collins,19,25
1,3:37.0,,Z. Collins misses 2-pt layup from 1 ft,19,25
1,3:37.0,,Offensive rebound by D. Lillard,19,25
1,3:36.0,,D. Lillard misses 2-pt layup from 1 ft (block by N. Mirotić),19,25
1,3:33.0,Defensive rebound by F. Jackson,,19,25
1,3:23.0,F. Jackson makes 2-pt layup from 2 ft (assist by J. Holiday),,21,25
1,3:08.0,,Shooting foul by E. Moore (drawn by D. Lillard),21,25
1,3:08.0,,D. Lillard makes free throw 1 of 2,21,26
1,3:08.0,I. Clark enters the game for E. Moore,,21,26
1,3:08.0,,D. Lillard makes free throw 2 of 2,21,27
1,3:01.0,Shooting foul by Z. Collins (drawn by J. Randle),,21,27
1,3:01.0,,Portland full timeout,21,27
1,3:01.0,C. Diallo enters the game for N. Mirotić,,21,27
1,3:01.0,,S. Curry enters the game for D. Lillard,21,27
1,3:01.0,J. Randle makes free throw 1 of 2,,22,27
1,3:01.0,J. Randle makes free throw 2 of 2,,23,27
1,3:01.0,,C. Swanigan enters the game for A. Aminu,23,27
1,2:42.0,,N. Stauskas misses 3-pt jump shot from 24 ft,23,27
1,2:40.0,Defensive rebound by I. Clark,,23,27
1,2:28.0,J. Randle makes 2-pt layup from 2 ft,,25,27
1,2:05.0,,C. Swanigan misses 2-pt hook shot from 2 ft,25,27
1,2:03.0,Defensive rebound by J. Randle,,25,27
1,1:55.0,J. Randle makes 2-pt layup from 3 ft (assist by J. Holiday),,27,27
1,1:38.0,,N. Stauskas makes 3-pt jump shot from 23 ft (assist by E. Turner),27,30
1,1:21.0,Turnover by J. Holiday (lost ball; steal by E. Turner),,27,30
1,1:18.0,,E. Turner makes 2-pt dunk at rim,27,32
1,1:12.0,Shooting foul by Z. Collins (drawn by J. Randle),,27,32
1,1:12.0,J. Randle makes free throw 1 of 2,,28,32
1,1:12.0,J. Randle makes free throw 2 of 2,,29,32
1,1:04.0,,N. Stauskas makes 3-pt jump shot from 25 ft (assist by E. Turner),29,35
1,0:49.0,F. Jackson misses 3-pt jump shot from 23 ft,,29,35
1,0:48.0,,Defensive rebound by Team,29,35
1,0:31.0,,N. Stauskas misses 2-pt layup from 2 ft (block by C. Diallo),29,35
1,0:30.0,Defensive rebound by F. Jackson,,29,35
1,0:30.0,,J. Layman enters the game for Z. Collins,29,35
1,0:15.0,Shooting foul by C. Swanigan (drawn by J. Randle),,29,35
1,0:15.0,J. Randle makes free throw 1 of 2,,30,35
1,0:15.0,T. Frazier enters the game for J. Holiday,,30,35
1,0:15.0,J. Randle makes free throw 2 of 2,,31,35
1,0:01.0,,C. Swanigan misses 2-pt jump shot from 21 ft,31,35
1,0:01.0,,Offensive rebound by Team,31,35
2,11:40.0,F. Jackson misses 3-pt jump shot from 25 ft,,31,35
2,11:38.0,,Defensive rebound by S. Curry,31,35
2,11:32.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by E. Turner),31,38
2,11:12.0,T. Frazier misses 3-pt jump shot from 25 ft,,31,38
2,11:12.0,,Defensive rebound by Team,31,38
2,10:54.0,,Z. Collins misses 2-pt jump shot from 10 ft,31,38
2,10:51.0,Defensive rebound by C. Diallo,,31,38
2,10:45.0,I. Clark misses 3-pt jump shot from 25 ft,,31,38
2,10:43.0,,Defensive rebound by C. Swanigan,31,38
2,10:33.0,,Shooting foul by F. Jackson (drawn by E. Turner),31,38
2,10:33.0,,E. Turner makes free throw 1 of 2,31,39
2,10:33.0,E. Moore enters the game for F. Jackson,,31,39
2,10:33.0,,E. Turner makes free throw 2 of 2,31,40
2,10:22.0,Turnover by J. Randle (traveling),,31,40
2,10:11.0,,S. Curry misses 2-pt jump shot from 18 ft,31,40
2,10:08.0,Defensive rebound by C. Diallo,,31,40
2,10:01.0,J. Randle makes 2-pt jump shot from 3 ft,,33,40
2,10:01.0,Shooting foul by C. Swanigan (drawn by J. Randle),,33,40
2,10:01.0,J. Randle makes free throw 1 of 1,,34,40
2,9:52.0,,E. Turner makes 2-pt layup from 1 ft,34,42
2,9:41.0,I. Clark makes 3-pt jump shot from 25 ft (assist by T. Frazier),,37,42
2,9:29.0,,Z. Collins misses 2-pt layup from 1 ft,37,42
2,9:27.0,Defensive rebound by J. Randle,,37,42
2,9:19.0,J. Randle misses 2-pt layup from 2 ft,,37,42
2,9:18.0,,Defensive rebound by C. Swanigan,37,42
2,9:13.0,,C. Swanigan makes 2-pt layup from 1 ft (assist by E. Turner),37,44
2,8:59.0,E. Moore makes 2-pt jump shot from 9 ft,,39,44
2,8:50.0,,Shooting foul by J. Randle (drawn by C. Swanigan),39,44
2,8:50.0,,C. Swanigan makes free throw 1 of 2,39,45
2,8:50.0,N. Mirotić enters the game for J. Randle,,39,45
2,8:50.0,,C. Swanigan misses free throw 2 of 2,39,45
2,8:46.0,Defensive rebound by N. Mirotić,,39,45
2,8:38.0,E. Moore makes 2-pt jump shot from 5 ft,,41,45
2,8:29.0,,S. Curry misses 3-pt jump shot from 24 ft,41,45
2,8:27.0,Defensive rebound by N. Mirotić,,41,45
2,8:21.0,Personal foul by S. Curry (drawn by I. Clark),,41,45
2,8:21.0,,A. Aminu enters the game for Z. Collins,41,45
2,8:21.0,,J. Nurkić enters the game for C. Swanigan,41,45
2,8:09.0,E. Moore misses 2-pt jump shot from 22 ft,,41,45
2,8:08.0,,Defensive rebound by J. Nurkić,41,45
2,7:49.0,,A. Aminu makes 3-pt jump shot from 26 ft (assist by N. Stauskas),41,48
2,7:33.0,C. Diallo misses 2-pt jump shot from 17 ft,,41,48
2,7:32.0,,Defensive rebound by A. Aminu,41,48
2,7:26.0,,A. Aminu misses 2-pt layup from 2 ft,41,48
2,7:23.0,,Offensive rebound by J. Nurkić,41,48
2,7:23.0,,J. Nurkić misses 2-pt layup from 1 ft,41,48
2,7:22.0,Defensive rebound by T. Frazier,,41,48
2,7:17.0,E. Moore makes 3-pt jump shot from 26 ft (assist by T. Frazier),,44,48
2,6:55.0,,E. Turner misses 2-pt jump shot from 17 ft,44,48
2,6:52.0,Defensive rebound by N. Mirotić,,44,48
2,6:39.0,N. Mirotić misses 2-pt jump shot from 15 ft,,44,48
2,6:36.0,,Defensive rebound by A. Aminu,44,48
2,6:28.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by N. Stauskas),44,51
2,6:15.0,T. Frazier misses 3-pt jump shot from 25 ft,,44,51
2,6:11.0,Offensive rebound by N. Mirotić,,44,51
2,6:11.0,N. Mirotić misses 2-pt layup at rim,,44,51
2,6:11.0,Offensive rebound by N. Mirotić,,44,51
2,6:07.0,I. Clark makes 3-pt jump shot from 25 ft (assist by N. Mirotić),,47,51
2,6:07.0,,Portland full timeout,47,51
2,6:07.0,J. Randle enters the game for C. Diallo,,47,51
2,6:07.0,,D. Lillard enters the game for N. Stauskas,47,51
2,6:07.0,,C. McCollum enters the game for E. Turner,47,51
2,5:57.0,,Personal foul by N. Mirotić (drawn by J. Nurkić),47,51
2,5:57.0,J. Holiday enters the game for E. Moore,,47,51
2,5:55.0,,A. Aminu makes 2-pt jump shot from 21 ft (assist by S. Curry),47,53
2,5:32.0,J. Randle makes 2-pt layup at rim (assist by J. Holiday),,49,53
2,5:32.0,Shooting foul by D. Lillard (drawn by J. Randle),,49,53
2,5:32.0,J. Randle misses free throw 1 of 1,,49,53
2,5:32.0,,Defensive rebound by Team,49,53
2,5:15.0,,D. Lillard makes 3-pt jump shot from 25 ft (assist by C. McCollum),49,56
2,5:05.0,T. Frazier makes 2-pt jump shot from 21 ft (assist by J. Randle),,51,56
2,4:52.0,,C. McCollum misses 2-pt jump shot from 4 ft,51,56
2,4:51.0,Defensive rebound by J. Randle,,51,56
2,4:46.0,T. Frazier misses 3-pt jump shot from 25 ft,,51,56
2,4:43.0,Offensive rebound by N. Mirotić,,51,56
2,4:39.0,Shooting foul by J. Nurkić (drawn by J. Randle),,51,56
2,4:39.0,J. Randle makes free throw 1 of 2,,52,56
2,4:39.0,J. Randle makes free throw 2 of 2,,53,56
2,4:24.0,,J. Nurkić makes 2-pt hook shot from 3 ft,53,58
2,4:24.0,,Shooting foul by J. Randle (drawn by J. Nurkić),53,58
2,4:24.0,,J. Nurkić makes free throw 1 of 1,53,59
2,4:16.0,J. Holiday misses 3-pt jump shot from 25 ft,,53,59
2,4:14.0,,Defensive rebound by A. Aminu,53,59
2,4:04.0,,C. McCollum makes 2-pt jump shot from 19 ft,53,61
2,3:48.0,J. Randle makes 2-pt layup from 1 ft (assist by J. Holiday),,55,61
2,3:34.0,,Turnover by C. McCollum (bad pass; steal by J. Randle),55,61
2,3:32.0,Turnover by J. Randle (palming),,55,61
2,3:19.0,,Shooting foul by J. Randle (drawn by J. Nurkić),55,61
2,3:19.0,C. Diallo enters the game for I. Clark,,55,61
2,3:19.0,E. Moore enters the game for J. Randle,,55,61
2,3:19.0,,J. Nurkić makes free throw 1 of 2,55,62
2,3:19.0,,J. Nurkić makes free throw 2 of 2,55,63
2,2:58.0,T. Frazier misses 2-pt jump shot from 10 ft,,55,63
2,2:55.0,,Defensive rebound by J. Nurkić,55,63
2,2:45.0,,D. Lillard misses 2-pt jump shot from 9 ft,55,63
2,2:44.0,Defensive rebound by J. Holiday,,55,63
2,2:39.0,Personal foul by S. Curry (drawn by C. Diallo),,55,63
2,2:39.0,New Orleans full timeout,,55,63
2,2:39.0,,Z. Collins enters the game for S. Curry,55,63
2,2:39.0,,N. Stauskas enters the game for J. Nurkić,55,63
2,2:39.0,C. Diallo makes free throw 1 of 2,,56,63
2,2:39.0,C. Diallo misses free throw 2 of 2,,56,63
2,2:39.0,Offensive rebound by N. Mirotić,,56,63
2,2:39.0,N. Mirotić misses 2-pt layup from 3 ft,,56,63
2,2:39.0,Offensive rebound by N. Mirotić,,56,63
2,2:38.0,N. Mirotić misses 2-pt layup from 1 ft,,56,63
2,2:38.0,Offensive rebound by Team,,56,63
2,2:21.0,Def 3 sec tech foul by Team,,56,63
2,2:21.0,J. Holiday makes technical free throw,,57,63
2,2:13.0,N. Mirotić misses 3-pt jump shot from 25 ft,,57,63
2,2:09.0,,Defensive rebound by D. Lillard,57,63
2,2:02.0,,A. Aminu misses 3-pt jump shot from 25 ft,57,63
2,2:02.0,Defensive rebound by Team,,57,63
2,1:44.0,J. Holiday makes 2-pt jump shot from 2 ft,,59,63
2,1:44.0,Shooting foul by N. Stauskas (drawn by J. Holiday),,59,63
2,1:44.0,J. Holiday misses free throw 1 of 1,,59,63
2,1:44.0,,Defensive rebound by A. Aminu,59,63
2,1:27.0,,N. Stauskas makes 2-pt dunk at rim (assist by Z. Collins),59,65
2,1:16.0,N. Mirotić misses 2-pt layup from 2 ft (block by A. Aminu),,59,65
2,1:13.0,Offensive rebound by C. Diallo,,59,65
2,1:10.0,E. Moore makes 3-pt jump shot from 23 ft (assist by J. Holiday),,62,65
2,0:51.0,,A. Aminu makes 2-pt jump shot from 6 ft,62,67
2,0:47.0,Shooting foul by D. Lillard (drawn by T. Frazier),,62,67
2,0:47.0,T. Frazier makes free throw 1 of 2,,63,67
2,0:47.0,T. Frazier misses free throw 2 of 2,,63,67
2,0:46.0,,Defensive rebound by C. McCollum,63,67
2,0:46.0,,Personal foul by T. Frazier (drawn by C. McCollum),63,67
2,0:46.0,,C. McCollum makes free throw 1 of 2,63,68
2,0:46.0,,C. McCollum misses free throw 2 of 2,63,68
2,0:43.0,Defensive rebound by N. Mirotić,,63,68
2,0:35.0,N. Mirotić misses 2-pt layup from 2 ft,,63,68
2,0:35.0,Offensive rebound by C. Diallo,,63,68
2,0:35.0,C. Diallo makes 2-pt layup at rim,,65,68
2,0:18.0,,Personal foul by T. Frazier (drawn by D. Lillard),65,68
2,0:18.0,,D. Lillard makes free throw 1 of 2,65,69
2,0:18.0,I. Clark enters the game for C. Diallo,,65,69
2,0:18.0,,E. Turner enters the game for Z. Collins,65,69
2,0:18.0,,D. Lillard makes free throw 2 of 2,65,70
2,0:01.0,J. Holiday misses 2-pt jump shot from 18 ft,,65,70
2,0:01.0,,Defensive rebound by A. Aminu,65,70
3,11:47.0,J. Holiday misses 2-pt jump shot from 4 ft,,65,70
3,11:46.0,Offensive rebound by J. Okafor,,65,70
3,11:45.0,J. Okafor makes 2-pt layup from 1 ft,,67,70
3,11:27.0,,J. Nurkić makes 2-pt layup from 3 ft (assist by D. Lillard),67,72
3,11:27.0,,Shooting foul by J. Okafor (drawn by J. Nurkić),67,72
3,11:27.0,,J. Nurkić makes free throw 1 of 1,67,73
3,11:16.0,N. Mirotić makes 3-pt jump shot from 30 ft (assist by E. Moore),,70,73
3,11:01.0,,Shooting foul by J. Okafor (drawn by A. Aminu),70,73
3,11:01.0,,A. Aminu makes free throw 1 of 2,70,74
3,11:01.0,,A. Aminu makes free throw 2 of 2,70,75
3,10:51.0,E. Moore misses 2-pt layup from 3 ft,,70,75
3,10:50.0,,Defensive rebound by A. Aminu,70,75
3,10:40.0,,Turnover by J. Nurkić (lost ball; steal by J. Holiday),70,75
3,10:36.0,T. Frazier makes 2-pt layup from 2 ft (assist by J. Holiday),,72,75
3,10:18.0,,A. Aminu makes 3-pt jump shot from 23 ft (assist by C. McCollum),72,78
3,10:00.0,J. Okafor misses 2-pt hook shot from 3 ft,,72,78
3,10:00.0,Offensive rebound by Team,,72,78
3,10:00.0,,Loose ball foul by A. Aminu (drawn by N. Mirotić),72,78
3,9:57.0,Personal foul by C. McCollum (drawn by E. Moore),,72,78
3,9:51.0,J. Holiday misses 2-pt layup from 1 ft,,72,78
3,9:48.0,Offensive rebound by J. Okafor,,72,78
3,9:48.0,J. Okafor misses 2-pt layup from 1 ft,,72,78
3,9:48.0,Offensive rebound by J. Okafor,,72,78
3,9:35.0,E. Moore misses 2-pt jump shot from 3 ft,,72,78
3,9:31.0,Offensive rebound by N. Mirotić,,72,78
3,9:27.0,J. Holiday makes 3-pt jump shot from 27 ft (assist by T. Frazier),,75,78
3,9:13.0,,A. Aminu misses 3-pt jump shot from 26 ft,75,78
3,9:13.0,,Offensive rebound by Team,75,78
3,9:13.0,Loose ball foul by J. Okafor (drawn by J. Nurkić),,75,78
3,9:03.0,,Turnover by D. Lillard (bad pass),75,78
3,8:54.0,N. Mirotić makes 2-pt dunk from 1 ft (assist by J. Holiday),,77,78
3,8:54.0,,Portland full timeout,77,78
3,8:39.0,,D. Lillard makes 2-pt jump shot from 18 ft,77,80
3,8:22.0,J. Okafor makes 2-pt layup from 1 ft (assist by N. Mirotić),,79,80
3,8:12.0,,C. McCollum misses 3-pt jump shot from 26 ft,79,80
3,8:11.0,,Offensive rebound by J. Nurkić,79,80
3,8:11.0,,Personal foul by J. Holiday (drawn by J. Nurkić),79,80
3,8:03.0,,Turnover by C. McCollum (bad pass),79,80
3,7:55.0,N. Mirotić makes 2-pt layup from 1 ft (assist by J. Holiday),,81,80
3,7:41.0,,D. Lillard misses 3-pt jump shot from 28 ft,81,80
3,7:39.0,,Offensive rebound by J. Nurkić,81,80
3,7:37.0,,J. Nurkić makes 2-pt dunk from 1 ft,81,82
3,7:28.0,Turnover by T. Frazier (bad pass),,81,82
3,7:28.0,J. Randle enters the game for J. Okafor,,81,82
3,7:09.0,,Personal foul by E. Moore (drawn by D. Lillard),81,82
3,7:09.0,,D. Lillard makes free throw 1 of 2,81,83
3,7:09.0,,D. Lillard makes free throw 2 of 2,81,84
3,6:50.0,J. Holiday misses 3-pt jump shot from 25 ft,,81,84
3,6:48.0,,Defensive rebound by J. Nurkić,81,84
3,6:40.0,,C. McCollum makes 2-pt jump shot from 17 ft,81,86
3,6:32.0,New Orleans full timeout,,81,86
3,6:32.0,S. Hill enters the game for T. Frazier,,81,86
3,6:17.0,J. Randle misses 2-pt hook shot from 9 ft,,81,86
3,6:16.0,Offensive rebound by Team,,81,86
3,6:12.0,Personal foul by J. Layman (drawn by J. Holiday),,81,86
3,6:07.0,Shooting foul by J. Layman (drawn by E. Moore),,81,86
3,6:07.0,E. Moore makes free throw 1 of 2,,82,86
3,6:07.0,E. Moore makes free throw 2 of 2,,83,86
3,5:49.0,,A. Aminu misses 3-pt jump shot from 25 ft,83,86
3,5:45.0,Defensive rebound by S. Hill,,83,86
3,5:36.0,E. Moore makes 2-pt jump shot from 4 ft (assist by J. Randle),,85,86
3,5:22.0,,D. Lillard misses 2-pt layup from 2 ft,85,86
3,5:20.0,Defensive rebound by S. Hill,,85,86
3,5:18.0,Turnover by S. Hill (lost ball; steal by D. Lillard),,85,86
3,5:17.0,,Shooting foul by J. Randle (drawn by D. Lillard),85,86
3,5:17.0,,D. Lillard makes free throw 1 of 2,85,87
3,5:17.0,,E. Turner enters the game for J. Layman,85,87
3,5:17.0,,D. Lillard makes free throw 2 of 2,85,88
3,5:11.0,Personal foul by A. Aminu (drawn by N. Mirotić),,85,88
3,5:11.0,N. Mirotić makes free throw 1 of 2,,86,88
3,5:11.0,N. Mirotić makes free throw 2 of 2,,87,88
3,5:00.0,,E. Turner misses 3-pt jump shot from 24 ft,87,88
3,4:58.0,,Offensive rebound by J. Nurkić,87,88
3,4:57.0,,J. Nurkić makes 2-pt layup from 1 ft,87,90
3,4:45.0,J. Randle makes 2-pt jump shot from 10 ft (assist by N. Mirotić),,89,90
3,4:37.0,,Turnover by D. Lillard (lost ball),89,90
3,4:37.0,,Loose ball foul by D. Lillard (drawn by N. Mirotić),89,90
3,4:37.0,C. Diallo enters the game for J. Randle,,89,90
3,4:37.0,N. Mirotić makes free throw 1 of 2,,90,90
3,4:37.0,N. Mirotić misses free throw 2 of 2,,90,90
3,4:32.0,,Defensive rebound by J. Nurkić,90,90
3,4:21.0,,C. McCollum misses 2-pt jump shot from 21 ft,90,90
3,4:17.0,Defensive rebound by N. Mirotić,,90,90
3,4:11.0,C. Diallo misses 2-pt layup from 5 ft,,90,90
3,4:10.0,,Defensive rebound by E. Turner,90,90
3,4:02.0,,J. Nurkić makes 3-pt jump shot from 24 ft (assist by D. Lillard),90,93
3,3:52.0,C. Diallo misses 2-pt layup from 4 ft,,90,93
3,3:49.0,,Defensive rebound by E. Turner,90,93
3,3:45.0,,D. Lillard makes 3-pt jump shot from 26 ft (assist by E. Turner),90,96
3,3:43.0,New Orleans full timeout,,90,96
3,3:43.0,I. Clark enters the game for E. Moore,,90,96
3,3:43.0,,Z. Collins enters the game for J. Nurkić,90,96
3,3:30.0,Personal foul by A. Aminu (drawn by J. Holiday),,90,96
3,3:30.0,J. Holiday misses free throw 1 of 2,,90,96
3,3:30.0,Offensive rebound by Team,,90,96
3,3:30.0,J. Holiday makes free throw 2 of 2,,91,96
3,3:12.0,,Personal foul by C. Diallo (drawn by Z. Collins),91,96
3,3:12.0,,Z. Collins misses free throw 1 of 2,91,96
3,3:12.0,,Offensive rebound by Team,91,96
3,3:12.0,,Z. Collins makes free throw 2 of 2,91,97
3,3:02.0,S. Hill misses 3-pt jump shot from 22 ft,,91,97
3,3:00.0,,Defensive rebound by D. Lillard,91,97
3,2:48.0,,Z. Collins makes 2-pt layup from 2 ft,91,99
3,2:40.0,Shooting foul by E. Turner (drawn by J. Holiday),,91,99
3,2:40.0,J. Holiday makes free throw 1 of 2,,92,99
3,2:40.0,J. Randle enters the game for N. Mirotić,,92,99
3,2:40.0,,C. Swanigan enters the game for A. Aminu,92,99
3,2:40.0,J. Holiday makes free throw 2 of 2,,93,99
3,2:26.0,,D. Lillard misses 3-pt jump shot from 26 ft,93,99
3,2:25.0,,Offensive rebound by Team,93,99
3,2:25.0,Loose ball foul by I. Clark (drawn by C. McCollum),,93,99
3,2:25.0,,C. McCollum makes free throw 1 of 2,93,100
3,2:25.0,,C. McCollum misses free throw 2 of 2,93,100
3,2:24.0,Defensive rebound by Team,,93,100
3,2:24.0,,Loose ball foul by Z. Collins (drawn by C. Diallo),93,100
3,2:24.0,C. Diallo makes free throw 1 of 2,,94,100
3,2:24.0,C. Diallo makes free throw 2 of 2,,95,100
3,2:13.0,,C. McCollum misses 3-pt jump shot from 25 ft,95,100
3,2:10.0,Defensive rebound by C. Diallo,,95,100
3,2:02.0,C. Diallo misses 2-pt layup from 3 ft (block by Z. Collins),,95,100
3,2:01.0,,Defensive rebound by C. Swanigan,95,100
3,1:54.0,,Shooting foul by I. Clark (drawn by E. Turner),95,100
3,1:54.0,,E. Turner makes free throw 1 of 2,95,101
3,1:54.0,,S. Curry enters the game for D. Lillard,95,101
3,1:54.0,,N. Stauskas enters the game for C. McCollum,95,101
3,1:54.0,,E. Turner makes free throw 2 of 2,95,102
3,1:42.0,J. Holiday misses 2-pt layup from 3 ft,,95,102
3,1:40.0,Offensive rebound by C. Diallo,,95,102
3,1:31.0,J. Randle misses 3-pt jump shot from 24 ft,,95,102
3,1:29.0,,Defensive rebound by S. Curry,95,102
3,1:24.0,,Turnover by C. Swanigan (3 sec),95,102
3,1:09.0,I. Clark misses 3-pt jump shot from 28 ft,,95,102
3,1:01.0,,Defensive rebound by E. Turner,95,102
3,0:51.0,,E. Turner misses 2-pt jump shot from 16 ft,95,102
3,0:50.0,Defensive rebound by C. Diallo,,95,102
3,0:41.0,J. Holiday makes 2-pt jump shot from 6 ft,,97,102
3,0:28.0,,C. Swanigan misses 2-pt jump shot from 23 ft,97,102
3,0:26.0,Defensive rebound by J. Randle,,97,102
3,0:05.0,J. Randle makes 2-pt dunk at rim,,99,102
3,0:00.0,,Z. Collins misses 3-pt jump shot from 25 ft,99,102
3,0:00.0,,Offensive rebound by Team,99,102
4,11:46.0,,Z. Collins makes 3-pt jump shot from 24 ft (assist by S. Curry),99,105
4,11:31.0,J. Randle misses 2-pt hook shot from 7 ft,,99,105
4,11:28.0,,Defensive rebound by C. Swanigan,99,105
4,11:15.0,,C. Swanigan misses 3-pt jump shot from 24 ft,99,105
4,11:13.0,Defensive rebound by J. Randle,,99,105
4,11:04.0,N. Mirotić misses 3-pt jump shot from 25 ft,,99,105
4,11:02.0,,Defensive rebound by E. Turner,99,105
4,10:46.0,,S. Curry makes 3-pt jump shot from 24 ft (assist by C. Swanigan),99,108
4,10:34.0,N. Mirotić makes 2-pt layup from 5 ft (assist by T. Frazier),,101,108
4,10:34.0,Shooting foul by S. Curry (drawn by N. Mirotić),,101,108
4,10:34.0,N. Mirotić makes free throw 1 of 1,,102,108
4,10:24.0,,Z. Collins misses 3-pt jump shot from 25 ft,102,108
4,10:20.0,Defensive rebound by I. Clark,,102,108
4,10:15.0,Shooting foul by Z. Collins (drawn by J. Randle),,102,108
