QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MEMPHIS_ACTION,GOLDEN STATE_SCORE,MEMPHIS_SCORE
1,0:34.0,S. Curry makes free throw 2 of 2,,31,32
1,0:26.0,,Shooting foul by A. Iguodala (drawn by M. Conley),31,32
1,0:26.0,,M. Conley makes free throw 1 of 2,31,33
1,0:26.0,Q. Cook enters the game for A. McKinnie,,31,33
1,0:26.0,,J. Holiday enters the game for C. Parsons,31,33
1,0:26.0,,J. Washburn enters the game for I. Rabb,31,33
1,0:26.0,,M. Conley makes free throw 2 of 2,31,34
1,0:04.0,S. Curry misses 2-pt jump shot from 9 ft,,31,34
1,0:02.0,,Defensive rebound by J. Holiday,31,34
1,0:00.0,,J. Holiday makes 3-pt jump shot from 39 ft,31,37
2,11:51.0,K. Thompson misses 3-pt jump shot from 27 ft (block by B. Caboclo),,31,37
2,11:46.0,,Defensive rebound by C. Parsons,31,37
2,11:40.0,,C. Parsons makes 2-pt jump shot from 20 ft,31,39
2,11:38.0,Golden State full timeout,,31,39
2,11:14.0,D. Cousins misses 2-pt layup from 3 ft (block by I. Rabb),,31,39
2,11:11.0,,Defensive rebound by C. Parsons,31,39
2,11:07.0,,C. Parsons makes 2-pt layup from 1 ft (assist by B. Caboclo),31,41
2,10:42.0,Turnover by A. Iguodala (bad pass; steal by D. Wright),,31,41
2,10:23.0,,Turnover by C. Parsons (bad pass; steal by D. Cousins),31,41
2,10:09.0,Turnover by D. Cousins (traveling),,31,41
2,10:02.0,,D. Wright misses 2-pt jump shot from 6 ft,31,41
2,9:59.0,Defensive rebound by Q. Cook,,31,41
2,9:48.0,Q. Cook makes 3-pt jump shot from 26 ft (assist by D. Cousins),,34,41
2,9:20.0,,J. Washburn misses 2-pt jump shot from 22 ft,34,41
2,9:16.0,Defensive rebound by D. Cousins,,34,41
2,9:04.0,S. Livingston makes 2-pt jump shot from 10 ft (assist by K. Thompson),,36,41
2,8:46.0,,J. Washburn misses 3-pt jump shot from 23 ft,36,41
2,8:42.0,Defensive rebound by A. Iguodala,,36,41
2,8:22.0,A. Iguodala makes 2-pt jump shot from 4 ft (assist by S. Livingston),,38,41
