QUARTER,TIME_REMAINING,LA LAKERS_ACTION,CHICAGO_ACTION,LA LAKERS_SCORE,CHICAGO_SCORE
1,7:10.0,,R. Arcidiacono misses 2-pt layup from 2 ft,6,11
1,7:08.0,,Offensive rebound by R. Lopez,6,11
1,7:06.0,,R. Lopez makes 2-pt layup from 2 ft,6,13
1,6:51.0,R. Rondo makes 2-pt layup from 2 ft,,8,13
1,6:36.0,,O. Porter makes 3-pt jump shot from 24 ft (assist by R. Arcidiacono),8,16
1,6:19.0,R. Rondo makes 2-pt layup from 2 ft,,10,16
1,6:07.0,,K. Dunn misses 2-pt layup from 2 ft,10,16
1,6:03.0,,Offensive rebound by K. Dunn,10,16
1,6:03.0,,K. Dunn makes 2-pt layup at rim,10,18
1,6:03.0,,S. Harrison enters the game for R. Arcidiacono,10,18
1,5:49.0,R. Bullock makes 2-pt jump shot from 20 ft (assist by R. Rondo),,12,18
1,5:21.0,,S. Harrison makes 2-pt layup from 1 ft (assist by K. Dunn),12,20
1,5:12.0,Personal foul by S. Harrison (drawn by J. McGee),,12,20
1,4:57.0,Turnover by Team (shot clock),,12,20
1,4:45.0,,Turnover by R. Lopez (lost ball; steal by R. Rondo),12,20
1,4:39.0,R. Rondo makes 2-pt layup from 1 ft,,14,20
1,4:33.0,,K. Dunn makes 3-pt jump shot from 26 ft,14,23
1,4:19.0,Def 3 sec tech foul by Team,,14,23
1,4:19.0,R. Bullock makes technical free throw,,15,23
1,4:19.0,J. Hart enters the game for L. James,,15,23
1,4:19.0,M. Wagner enters the game for K. Kuzma,,15,23
1,4:19.0,J. Williams enters the game for J. McGee,,15,23
1,4:05.0,J. Williams misses 2-pt jump shot from 7 ft,,15,23
1,4:03.0,,Defensive rebound by O. Porter,15,23
1,4:00.0,,Chicago full timeout,15,23
1,4:00.0,K. Caldwell-Pope enters the game for R. Bullock,,15,23
1,4:00.0,,W. Selden enters the game for O. Porter,15,23
1,3:44.0,,K. Dunn makes 2-pt dunk from 1 ft (assist by S. Harrison),15,25
1,3:31.0,R. Rondo misses 3-pt jump shot from 26 ft,,15,25
1,3:28.0,,Defensive rebound by S. Harrison,15,25
1,3:17.0,,L. Markkanen makes 2-pt layup from 1 ft (assist by S. Harrison),15,27
1,2:59.0,Offensive foul by J. Williams (drawn by R. Lopez),,15,27
1,2:59.0,Turnover by J. Williams (offensive foul),,15,27
1,2:49.0,,L. Markkanen misses 3-pt jump shot from 25 ft,15,27
1,2:46.0,Defensive rebound by K. Caldwell-Pope,,15,27
1,2:35.0,Shooting foul by L. Markkanen (drawn by J. Williams),,15,27
1,2:35.0,J. Williams misses free throw 1 of 2,,15,27
1,2:35.0,Offensive rebound by Team,,15,27
1,2:35.0,,R. Arcidiacono enters the game for K. Dunn,15,27
1,2:35.0,J. Williams makes free throw 2 of 2,,16,27
1,2:22.0,,R. Lopez makes 2-pt dunk at rim (assist by S. Harrison),16,29
1,2:12.0,Personal foul by W. Selden (drawn by J. Williams),,16,29
1,2:12.0,,T. Luwawu-Cabarrot enters the game for L. Markkanen,16,29
1,2:07.0,Offensive foul by J. Hart (drawn by S. Harrison),,16,29
1,2:07.0,Turnover by J. Hart (offensive foul),,16,29
1,1:53.0,,Offensive foul by W. Selden (drawn by R. Rondo),16,29
1,1:53.0,,Turnover by W. Selden (offensive foul),16,29
1,1:41.0,Turnover by R. Rondo (bad pass; steal by T. Luwawu-Cabarrot),,16,29
1,1:21.0,,R. Arcidiacono makes 3-pt jump shot from 23 ft (assist by R. Lopez),16,32
1,1:05.0,R. Rondo misses 2-pt layup from 5 ft,,16,32
1,1:03.0,,Defensive rebound by W. Selden,16,32
1,1:00.0,,W. Selden misses 2-pt jump shot from 13 ft,16,32
1,0:57.0,Defensive rebound by K. Caldwell-Pope,,16,32
1,0:51.0,Personal foul by S. Harrison (drawn by K. Caldwell-Pope),,16,32
1,0:36.0,M. Wagner misses 3-pt jump shot from 25 ft,,16,32
1,0:31.0,,Defensive rebound by W. Selden,16,32
1,0:12.0,,R. Lopez makes 2-pt hook shot at rim,16,34
1,0:01.0,R. Rondo misses 3-pt jump shot from 26 ft,,16,34
1,0:01.0,,Defensive rebound by R. Arcidiacono,16,34
2,12:00.0,Violation by Team (delay of game),,16,34
2,11:49.0,Turnover by L. James (bad pass; steal by R. Arcidiacono),,16,34
2,11:43.0,,Personal foul by K. Caldwell-Pope (drawn by S. Harrison),16,34
2,11:31.0,,R. Arcidiacono makes 2-pt jump shot from 13 ft,16,36
2,11:17.0,Personal foul by R. Arcidiacono (drawn by L. James),,16,36
2,11:05.0,L. James makes 2-pt layup from 2 ft,,18,36
2,10:47.0,,Offensive foul by C. Felício (drawn by K. Caldwell-Pope),18,36
2,10:47.0,,Turnover by C. Felício (offensive foul),18,36
2,10:31.0,A. Caruso makes 3-pt jump shot from 26 ft (assist by L. James),,21,36
2,10:16.0,,Turnover by R. Arcidiacono (lost ball; steal by A. Caruso),21,36
2,10:13.0,M. Wagner makes 2-pt layup from 2 ft,,23,36
2,10:13.0,,Violation by Team (def goaltending),23,36
2,9:55.0,,O. Porter misses 2-pt jump shot from 15 ft,23,36
2,9:53.0,Defensive rebound by L. James,,23,36
2,9:44.0,Personal foul by C. Felício (drawn by L. James),,23,36
2,9:44.0,,K. Dunn enters the game for S. Harrison,23,36
2,9:31.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by M. Wagner),,26,36
2,9:12.0,,Turnover by K. Dunn (traveling),26,36
2,9:02.0,J. Hart misses 3-pt jump shot from 24 ft,,26,36
2,8:59.0,,Defensive rebound by K. Dunn,26,36
2,8:52.0,,K. Dunn makes 2-pt jump shot from 6 ft,26,38
2,8:41.0,M. Wagner makes 3-pt jump shot from 25 ft (assist by J. Hart),,29,38
2,8:29.0,,Turnover by O. Porter (lost ball; steal by K. Caldwell-Pope),29,38
2,8:26.0,K. Caldwell-Pope makes 2-pt dunk at rim,,31,38
2,8:26.0,,Chicago full timeout,31,38
2,8:26.0,Technical foul by J. Boylen,,31,38
2,8:26.0,K. Caldwell-Pope makes technical free throw,,32,38
2,8:26.0,,L. Markkanen enters the game for C. Felício,32,38
2,8:05.0,,Shooting foul by M. Wagner (drawn by R. Arcidiacono),32,38
2,8:05.0,,R. Arcidiacono makes free throw 1 of 2,32,39
2,8:05.0,K. Kuzma enters the game for M. Wagner,,32,39
2,8:05.0,,W. Selden enters the game for O. Porter,32,39
2,8:05.0,,R. Arcidiacono makes free throw 2 of 2,32,40
2,7:55.0,Personal foul by K. Dunn (drawn by A. Caruso),,32,40
2,7:48.0,L. James makes 2-pt layup from 2 ft (assist by A. Caruso),,34,40
2,7:31.0,,T. Luwawu-Cabarrot misses 2-pt layup from 1 ft,34,40
2,7:30.0,Defensive rebound by K. Caldwell-Pope,,34,40
2,7:26.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,34,40
2,7:25.0,,Defensive rebound by Team,34,40
2,7:13.0,,R. Arcidiacono makes 3-pt jump shot from 25 ft (assist by K. Dunn),34,43
2,7:02.0,L. James makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),,36,43
2,6:45.0,,Shooting foul by A. Caruso (drawn by L. Markkanen),36,43
2,6:45.0,,L. Markkanen makes free throw 1 of 2,36,44
2,6:45.0,,L. Markkanen makes free throw 2 of 2,36,45
2,6:39.0,Personal foul by T. Luwawu-Cabarrot (drawn by K. Caldwell-Pope),,36,45
2,6:26.0,K. Kuzma misses 2-pt layup from 2 ft,,36,45
2,6:23.0,Offensive rebound by K. Caldwell-Pope,,36,45
2,6:21.0,Offensive foul by K. Caldwell-Pope (drawn by R. Arcidiacono),,36,45
2,6:21.0,Turnover by K. Caldwell-Pope (offensive foul),,36,45
2,6:21.0,,S. Harrison enters the game for R. Arcidiacono,36,45
2,6:14.0,,L. Markkanen misses 3-pt jump shot from 26 ft,36,45
2,6:13.0,Defensive rebound by L. James,,36,45
2,5:57.0,L. James makes 2-pt dunk at rim,,38,45
2,5:42.0,,W. Selden makes 3-pt jump shot from 25 ft (assist by K. Dunn),38,48
2,5:27.0,Personal foul by K. Dunn (drawn by L. James),,38,48
2,5:27.0,L. James makes free throw 1 of 2,,39,48
2,5:27.0,L. James makes free throw 2 of 2,,40,48
2,5:27.0,R. Bullock enters the game for J. Hart,,40,48
2,5:17.0,,K. Dunn misses 2-pt jump shot from 18 ft,40,48
2,5:17.0,,Offensive rebound by L. Markkanen,40,48
2,5:12.0,,Offensive foul by L. Markkanen (drawn by K. Caldwell-Pope),40,48
2,5:12.0,,Turnover by L. Markkanen (offensive foul),40,48
2,4:59.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by K. Kuzma),,43,48
2,4:39.0,,W. Selden makes 3-pt jump shot from 26 ft (assist by K. Dunn),43,51
2,4:37.0,LA Lakers full timeout,,43,51
2,4:37.0,J. McGee enters the game for A. Caruso,,43,51
2,4:37.0,,R. Lopez enters the game for T. Luwawu-Cabarrot,43,51
2,4:37.0,,O. Porter enters the game for L. Markkanen,43,51
2,4:28.0,Personal foul by K. Dunn (drawn by L. James),,43,51
2,4:28.0,L. James makes free throw 1 of 2,,44,51
2,4:28.0,,R. Arcidiacono enters the game for K. Dunn,44,51
2,4:28.0,L. James makes free throw 2 of 2,,45,51
2,4:12.0,,R. Lopez makes 2-pt hook shot from 5 ft,45,53
2,3:56.0,R. Bullock misses 2-pt layup from 2 ft,,45,53
2,3:53.0,,Defensive rebound by S. Harrison,45,53
2,3:44.0,,S. Harrison misses 2-pt layup from 3 ft,45,53
2,3:42.0,Defensive rebound by R. Bullock,,45,53
2,3:36.0,J. McGee makes 2-pt dunk at rim (assist by L. James),,47,53
2,3:15.0,,R. Lopez makes 2-pt jump shot from 3 ft (assist by O. Porter),47,55
2,3:04.0,K. Kuzma makes 2-pt hook shot from 5 ft,,49,55
2,2:47.0,,R. Lopez misses 2-pt hook shot from 8 ft,49,55
2,2:47.0,Defensive rebound by L. James,,49,55
2,2:37.0,L. James misses 2-pt jump shot from 24 ft,,49,55
2,2:34.0,,Defensive rebound by R. Arcidiacono,49,55
2,2:29.0,,O. Porter misses 3-pt jump shot from 25 ft,49,55
2,2:26.0,Defensive rebound by K. Kuzma,,49,55
2,2:11.0,L. James misses 2-pt layup from 2 ft,,49,55
2,2:07.0,Offensive rebound by L. James,,49,55
2,2:07.0,L. James makes 2-pt layup from 1 ft,,51,55
2,1:55.0,,W. Selden makes 3-pt jump shot from 26 ft (assist by R. Arcidiacono),51,58
2,1:53.0,LA Lakers full timeout,,51,58
2,1:53.0,R. Rondo enters the game for L. James,,51,58
2,1:36.0,K. Kuzma misses 2-pt hook shot from 4 ft,,51,58
2,1:34.0,,Defensive rebound by R. Lopez,51,58
2,1:23.0,,Shooting foul by J. McGee (drawn by O. Porter),51,58
2,1:23.0,,O. Porter makes free throw 1 of 2,51,59
2,1:23.0,,O. Porter makes free throw 2 of 2,51,60
2,1:07.0,K. Caldwell-Pope makes 2-pt layup from 2 ft,,53,60
2,0:50.0,,Turnover by W. Selden (lost ball; steal by R. Bullock),53,60
2,0:34.0,K. Kuzma makes 2-pt layup from 2 ft (assist by R. Rondo),,55,60
2,0:20.0,,R. Lopez misses 2-pt hook shot from 6 ft,55,60
2,0:17.0,Defensive rebound by R. Rondo,,55,60
2,0:02.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,55,60
2,0:02.0,,Defensive rebound by O. Porter,55,60
3,11:45.0,L. James makes 2-pt layup from 1 ft,,57,60
3,11:24.0,,R. Arcidiacono misses 2-pt jump shot from 9 ft,57,60
3,11:22.0,,Offensive rebound by R. Lopez,57,60
3,11:20.0,,K. Dunn misses 3-pt jump shot from 26 ft,57,60
3,11:17.0,Defensive rebound by J. McGee,,57,60
3,11:13.0,R. Bullock misses 3-pt jump shot from 26 ft,,57,60
3,11:10.0,,Defensive rebound by K. Dunn,57,60
3,11:01.0,,K. Dunn makes 2-pt jump shot from 8 ft,57,62
3,10:36.0,L. James misses 2-pt jump shot from 20 ft,,57,62
3,10:33.0,,Defensive rebound by K. Dunn,57,62
3,10:26.0,,K. Dunn makes 2-pt layup from 2 ft,57,64
3,10:11.0,R. Bullock misses 3-pt jump shot from 22 ft,,57,64
3,10:07.0,,Defensive rebound by O. Porter,57,64
3,10:02.0,,O. Porter misses 3-pt jump shot from 25 ft,57,64
3,9:59.0,Defensive rebound by L. James,,57,64
3,9:53.0,L. James makes 2-pt jump shot from 10 ft,,59,64
3,9:40.0,,Turnover by K. Dunn (bad pass; steal by K. Kuzma),59,64
3,9:35.0,L. James makes 2-pt dunk at rim (assist by K. Kuzma),,61,64
3,9:14.0,,R. Lopez misses 2-pt hook shot from 3 ft,61,64
3,9:12.0,Defensive rebound by R. Bullock,,61,64
3,9:11.0,R. Bullock makes 2-pt jump shot from 3 ft,,63,64
3,9:11.0,Shooting foul by L. Markkanen (drawn by R. Bullock),,63,64
3,9:11.0,R. Bullock makes free throw 1 of 1,,64,64
3,8:53.0,,K. Dunn misses 2-pt layup from 2 ft,64,64
3,8:49.0,Defensive rebound by L. James,,64,64
3,8:48.0,K. Kuzma makes 2-pt layup from 2 ft (assist by L. James),,66,64
3,8:48.0,,Chicago full timeout,66,64
3,8:36.0,,Shooting foul by L. James (drawn by R. Lopez),66,64
3,8:36.0,,R. Lopez makes free throw 1 of 2,66,65
3,8:36.0,,R. Lopez makes free throw 2 of 2,66,66
3,8:33.0,Personal foul by O. Porter (drawn by L. James),,66,66
3,8:19.0,J. McGee misses 2-pt hook shot from 5 ft,,66,66
3,8:17.0,,Defensive rebound by O. Porter,66,66
3,8:04.0,,K. Dunn makes 3-pt jump shot from 26 ft (assist by R. Lopez),66,69
3,7:52.0,L. James misses 2-pt layup from 6 ft,,66,69
3,7:47.0,Offensive rebound by J. McGee,,66,69
3,7:46.0,R. Rondo makes 3-pt jump shot from 24 ft (assist by K. Kuzma),,69,69
3,7:31.0,,O. Porter makes 2-pt layup from 3 ft (assist by K. Dunn),69,71
3,7:31.0,,Shooting foul by L. James (drawn by O. Porter),69,71
3,7:31.0,,O. Porter makes free throw 1 of 1,69,72
3,7:18.0,K. Kuzma makes 2-pt jump shot from 6 ft (assist by R. Rondo),,71,72
3,7:10.0,,Personal foul by K. Kuzma (drawn by L. Markkanen),71,72
3,7:04.0,,O. Porter makes 3-pt jump shot from 25 ft (assist by R. Arcidiacono),71,75
3,6:51.0,Turnover by R. Rondo (bad pass; steal by R. Arcidiacono),,71,75
3,6:48.0,,L. Markkanen makes 2-pt dunk at rim (assist by O. Porter),71,77
3,6:48.0,LA Lakers full timeout,,71,77
3,6:27.0,Turnover by L. James (bad pass),,71,77
3,6:13.0,,R. Lopez makes 2-pt layup from 2 ft (assist by R. Arcidiacono),71,79
3,5:58.0,Shooting foul by K. Dunn (drawn by K. Kuzma),,71,79
3,5:58.0,,S. Harrison enters the game for K. Dunn,71,79
3,5:58.0,K. Kuzma misses free throw 1 of 2,,71,79
3,5:58.0,Offensive rebound by Team,,71,79
3,5:58.0,K. Kuzma misses free throw 2 of 2,,71,79
3,5:58.0,,Defensive rebound by O. Porter,71,79
3,5:41.0,,L. Markkanen misses 3-pt jump shot from 24 ft,71,79
3,5:38.0,Defensive rebound by J. McGee,,71,79
3,5:32.0,K. Kuzma misses 2-pt layup from 2 ft,,71,79
3,5:30.0,,Defensive rebound by R. Lopez,71,79
3,5:26.0,,O. Porter misses 2-pt jump shot from 23 ft,71,79
3,5:21.0,Defensive rebound by J. McGee,,71,79
3,5:16.0,L. James makes 3-pt jump shot from 26 ft,,74,79
3,4:54.0,,L. Markkanen misses 2-pt jump shot from 13 ft,74,79
3,4:52.0,,Offensive rebound by R. Lopez,74,79
3,4:52.0,,R. Lopez makes 2-pt layup from 1 ft,74,81
3,4:46.0,K. Kuzma makes 2-pt layup from 2 ft,,76,81
3,4:20.0,,S. Harrison misses 2-pt layup from 2 ft,76,81
3,4:20.0,Defensive rebound by J. McGee,,76,81
3,4:14.0,R. Bullock makes 3-pt jump shot from 23 ft (assist by R. Rondo),,79,81
3,3:54.0,,R. Arcidiacono misses 3-pt jump shot from 25 ft,79,81
3,3:51.0,Defensive rebound by J. McGee,,79,81
3,3:47.0,R. Bullock misses 3-pt jump shot from 25 ft,,79,81
3,3:45.0,Offensive rebound by R. Rondo,,79,81
3,3:42.0,R. Bullock misses 3-pt jump shot from 24 ft,,79,81
3,3:37.0,,Defensive rebound by O. Porter,79,81
3,3:28.0,,L. Markkanen misses 3-pt jump shot from 25 ft,79,81
3,3:25.0,Defensive rebound by R. Rondo,,79,81
3,3:24.0,K. Kuzma makes 2-pt layup from 1 ft (assist by R. Rondo),,81,81
3,3:24.0,Shooting foul by R. Arcidiacono (drawn by K. Kuzma),,81,81
3,3:24.0,K. Caldwell-Pope enters the game for R. Bullock,,81,81
3,3:24.0,J. Hart enters the game for L. James,,81,81
3,3:24.0,,W. Selden enters the game for O. Porter,81,81
3,3:24.0,K. Kuzma makes free throw 1 of 1,,82,81
3,3:06.0,,L. Markkanen makes 2-pt layup from 1 ft (assist by R. Lopez),82,83
3,3:06.0,,Shooting foul by R. Rondo (drawn by L. Markkanen),82,83
3,3:06.0,,A. Blakeney enters the game for R. Arcidiacono,82,83
3,3:06.0,,L. Markkanen makes free throw 1 of 1,82,84
3,2:55.0,K. Kuzma makes 3-pt jump shot from 25 ft (assist by R. Rondo),,85,84
3,2:34.0,,Turnover by S. Harrison (bad pass; steal by J. McGee),85,84
3,2:27.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by R. Rondo),,88,84
3,2:19.0,,Chicago full timeout,88,84
3,2:19.0,,K. Dunn enters the game for L. Markkanen,88,84
3,2:05.0,,W. Selden misses 2-pt jump shot from 21 ft,88,84
3,2:02.0,Defensive rebound by K. Kuzma,,88,84
3,1:59.0,Personal foul by R. Lopez (drawn by J. McGee),,88,84
3,1:59.0,J. McGee makes free throw 1 of 2,,89,84
3,1:59.0,J. McGee makes free throw 2 of 2,,90,84
3,1:46.0,,R. Lopez misses 2-pt layup from 4 ft (block by J. McGee),90,84
3,1:43.0,Defensive rebound by K. Caldwell-Pope,,90,84
3,1:39.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by K. Kuzma),,93,84
3,1:37.0,,Chicago full timeout,93,84
3,1:37.0,,Violation by Team (delay of game),93,84
3,1:37.0,,Technical foul by W. Selden,93,84
3,1:37.0,K. Caldwell-Pope makes technical free throw,,94,84
3,1:37.0,,Technical foul by W. Selden,94,84
3,1:37.0,K. Caldwell-Pope makes technical free throw,,95,84
3,1:37.0,,W. Selden ejected from game,95,84
3,1:37.0,,L. Markkanen enters the game for W. Selden,95,84
3,1:18.0,,Turnover by L. Markkanen (lost ball; steal by R. Rondo),95,84
3,1:14.0,J. Hart misses 3-pt jump shot from 23 ft,,95,84
3,1:10.0,,Defensive rebound by K. Dunn,95,84
3,1:04.0,,L. Markkanen misses 3-pt jump shot from 24 ft,95,84
3,1:01.0,Defensive rebound by J. McGee,,95,84
3,0:53.0,K. Kuzma misses 2-pt layup from 1 ft,,95,84
3,0:52.0,,Defensive rebound by R. Lopez,95,84
3,0:40.0,,S. Harrison misses 2-pt layup from 2 ft,95,84
3,0:38.0,Defensive rebound by K. Caldwell-Pope,,95,84
3,0:23.0,R. Rondo makes 3-pt jump shot from 26 ft,,98,84
3,0:04.0,,Turnover by K. Dunn (bad pass),98,84
3,0:04.0,A. Ingram enters the game for J. McGee,,98,84
3,0:00.0,K. Kuzma misses 2-pt layup from 2 ft,,98,84
3,0:00.0,Offensive rebound by Team,,98,84
4,11:46.0,,L. Markkanen misses 2-pt layup from 3 ft,98,84
4,11:41.0,,Offensive rebound by C. Felício,98,84
4,11:41.0,,C. Felício makes 2-pt layup from 1 ft,98,86
4,11:36.0,Turnover by A. Caruso (lost ball; steal by S. Harrison),,98,86
4,11:32.0,,S. Harrison makes 2-pt dunk from 1 ft,98,88
4,11:25.0,Turnover by A. Caruso (out of bounds lost ball),,98,88
4,11:07.0,,A. Blakeney misses 3-pt jump shot from 25 ft (block by J. Hart),98,88
4,11:05.0,,Offensive rebound by C. Felício,98,88
4,11:05.0,,C. Felício makes 2-pt layup from 1 ft,98,90
4,10:44.0,M. Wagner misses 3-pt jump shot from 24 ft,,98,90
4,10:41.0,,Defensive rebound by C. Felício,98,90
4,10:27.0,,K. Dunn misses 2-pt jump shot from 16 ft,98,90
4,10:25.0,Defensive rebound by M. Wagner,,98,90
4,10:18.0,Turnover by L. James (bad pass; steal by K. Dunn),,98,90
4,10:11.0,,A. Blakeney makes 2-pt jump shot from 18 ft (assist by K. Dunn),98,92
4,10:07.0,LA Lakers full timeout,,98,92
4,10:07.0,M. Muscala enters the game for M. Wagner,,98,92
4,9:59.0,L. James makes 2-pt layup from 1 ft,,100,92
4,9:59.0,Shooting foul by L. Markkanen (drawn by L. James),,100,92
4,9:59.0,L. James misses free throw 1 of 1,,100,92
4,9:55.0,,Defensive rebound by C. Felício,100,92
4,9:36.0,,Turnover by S. Harrison (bad pass; steal by L. James),100,92
4,9:32.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,100,92
4,9:31.0,Offensive rebound by Team,,100,92
4,9:31.0,,O. Porter enters the game for S. Harrison,100,92
4,9:23.0,Turnover by L. James (out of bounds lost ball),,100,92
4,9:10.0,,C. Felício makes 2-pt dunk from 1 ft (assist by K. Dunn),100,94
4,8:48.0,L. James misses 3-pt jump shot from 25 ft,,100,94
4,8:45.0,,Defensive rebound by A. Blakeney,100,94
4,8:38.0,,A. Blakeney makes 2-pt jump shot from 12 ft,100,96
4,8:24.0,Personal foul by A. Blakeney (drawn by M. Muscala),,100,96
4,8:24.0,J. McGee enters the game for A. Caruso,,100,96
4,8:24.0,,R. Lopez enters the game for C. Felício,100,96
4,8:15.0,L. James makes 2-pt jump shot from 18 ft,,102,96
4,8:03.0,,K. Dunn misses 2-pt jump shot from 14 ft,102,96
4,8:01.0,Defensive rebound by J. McGee,,102,96
4,7:49.0,L. James misses 2-pt jump shot from 20 ft,,102,96
4,7:46.0,,Defensive rebound by O. Porter,102,96
4,7:39.0,,L. Markkanen misses 3-pt jump shot from 24 ft,102,96
4,7:35.0,Defensive rebound by L. James,,102,96
4,7:17.0,L. James makes 3-pt jump shot from 26 ft,,105,96
4,6:56.0,,O. Porter makes 3-pt jump shot from 24 ft,105,99
4,6:30.0,L. James makes 2-pt dunk from 1 ft,,107,99
4,6:17.0,,O. Porter misses 3-pt jump shot from 25 ft,107,99
4,6:15.0,Defensive rebound by J. Hart,,107,99
4,5:57.0,Shooting foul by A. Blakeney (drawn by K. Caldwell-Pope),,107,99
4,5:57.0,K. Caldwell-Pope makes free throw 1 of 3,,108,99
4,5:57.0,K. Caldwell-Pope makes free throw 2 of 3,,109,99
4,5:57.0,K. Kuzma enters the game for M. Muscala,,109,99
4,5:57.0,,R. Arcidiacono enters the game for A. Blakeney,109,99
4,5:57.0,K. Caldwell-Pope makes free throw 3 of 3,,110,99
4,5:39.0,,R. Lopez makes 2-pt hook shot from 6 ft (assist by K. Dunn),110,101
4,5:23.0,K. Kuzma makes 3-pt jump shot from 25 ft (assist by L. James),,113,101
4,5:15.0,,Personal foul by K. Kuzma (drawn by K. Dunn),113,101
4,5:09.0,,O. Porter misses 2-pt jump shot from 17 ft,113,101
4,5:05.0,,Offensive rebound by K. Dunn,113,101
4,5:03.0,,Turnover by O. Porter (bad pass; steal by L. James),113,101
4,5:00.0,L. James makes 2-pt dunk from 1 ft (assist by J. Hart),,115,101
4,5:00.0,,Chicago full timeout,115,101
4,5:00.0,R. Rondo enters the game for L. James,,115,101
4,4:47.0,,K. Dunn makes 2-pt layup from 2 ft (assist by R. Arcidiacono),115,103
4,4:37.0,Offensive foul by J. McGee (drawn by L. Markkanen),,115,103
4,4:37.0,Turnover by J. McGee (offensive foul),,115,103
4,4:23.0,,R. Arcidiacono makes 2-pt layup from 1 ft,115,105
4,4:01.0,J. McGee misses 2-pt layup from 2 ft,,115,105
4,3:59.0,,Defensive rebound by L. Markkanen,115,105
4,3:50.0,,L. Markkanen misses 2-pt layup from 1 ft,115,105
4,3:48.0,Defensive rebound by J. McGee,,115,105
4,3:39.0,J. McGee misses 2-pt jump shot from 6 ft,,115,105
4,3:37.0,,Defensive rebound by R. Arcidiacono,115,105
4,3:28.0,,L. Markkanen misses 3-pt jump shot from 26 ft,115,105
4,3:25.0,Defensive rebound by K. Kuzma,,115,105
4,3:10.0,K. Kuzma makes 2-pt layup from 2 ft,,117,105
4,2:59.0,,O. Porter misses 2-pt jump shot from 20 ft,117,105
4,2:56.0,Defensive rebound by R. Rondo,,117,105
4,2:50.0,J. McGee makes 2-pt dunk from 1 ft (assist by R. Rondo),,119,105
4,2:34.0,,O. Porter misses 3-pt jump shot from 23 ft,119,105
4,2:30.0,,Offensive rebound by L. Markkanen,119,105
4,2:30.0,,L. Markkanen misses 2-pt layup from 2 ft (block by J. Hart),119,105
4,2:27.0,Defensive rebound by J. Hart,,119,105
4,2:05.0,R. Rondo makes 2-pt layup from 2 ft,,121,105
4,2:05.0,,Chicago full timeout,121,105
