QUARTER,TIME_REMAINING,MIAMI_ACTION,DENVER_ACTION,MIAMI_SCORE,DENVER_SCORE
3,8:21.0,,Defensive rebound by N. Jokić,57,61
3,8:19.0,,Turnover by N. Jokić (bad pass),57,61
3,8:12.0,Offensive foul by J. Richardson (drawn by J. Murray),,57,61
3,8:12.0,Turnover by J. Richardson (offensive foul),,57,61
3,7:58.0,,J. Murray misses 2-pt jump shot from 9 ft,57,61
3,7:56.0,Defensive rebound by H. Whiteside,,57,61
3,7:52.0,Shooting foul by M. Beasley (drawn by J. Winslow),,57,61
3,7:52.0,J. Winslow misses free throw 1 of 2,,57,61
3,7:52.0,Offensive rebound by Team,,57,61
3,7:52.0,,M. Morris enters the game for M. Beasley,57,61
3,7:52.0,J. Winslow misses free throw 2 of 2,,57,61
3,7:50.0,,Defensive rebound by M. Plumlee,57,61
3,7:42.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by W. Barton),57,63
3,7:41.0,Miami full timeout,,57,63
3,7:41.0,B. Adebayo enters the game for H. Whiteside,,57,63
3,7:26.0,Turnover by J. Richardson (traveling),,57,63
3,7:13.0,,J. Murray makes 3-pt jump shot from 24 ft (assist by M. Morris),57,66
3,7:04.0,Personal foul by N. Jokić (drawn by B. Adebayo),,57,66
3,7:01.0,Turnover by J. Winslow (bad pass; steal by J. Murray),,57,66
3,6:57.0,,Turnover by J. Murray (bad pass; steal by B. Adebayo),57,66
3,6:51.0,Turnover by B. Adebayo (lost ball; steal by J. Murray),,57,66
3,6:46.0,,J. Murray misses 3-pt jump shot from 25 ft,57,66
3,6:43.0,Defensive rebound by B. Adebayo,,57,66
3,6:34.0,J. Richardson misses 3-pt jump shot from 25 ft,,57,66
3,6:32.0,,Defensive rebound by M. Plumlee,57,66
3,6:27.0,,W. Barton makes 3-pt jump shot from 25 ft (assist by J. Murray),57,69
3,6:24.0,Miami full timeout,,57,69
3,6:24.0,D. Wade enters the game for D. Waiters,,57,69
3,6:20.0,Personal foul by J. Murray (drawn by J. Richardson),,57,69
3,6:16.0,K. Olynyk misses 3-pt jump shot from 25 ft,,57,69
3,6:13.0,,Defensive rebound by M. Plumlee,57,69
3,5:52.0,,J. Murray makes 3-pt jump shot from 26 ft,57,72
3,5:39.0,Turnover by J. Richardson (bad pass; steal by M. Morris),,57,72
3,5:35.0,,W. Barton makes 3-pt jump shot from 25 ft (assist by M. Morris),57,75
3,5:10.0,J. Winslow misses 2-pt jump shot from 10 ft,,57,75
3,5:09.0,Offensive rebound by B. Adebayo,,57,75
3,5:09.0,B. Adebayo misses 2-pt layup from 1 ft,,57,75
3,5:09.0,,Defensive rebound by N. Jokić,57,75
3,5:06.0,,W. Barton misses 3-pt jump shot from 25 ft,57,75
3,5:03.0,,Offensive rebound by M. Morris,57,75
3,5:03.0,,M. Morris misses 3-pt jump shot from 24 ft,57,75
3,5:03.0,Defensive rebound by B. Adebayo,,57,75
3,4:47.0,J. Richardson makes 3-pt jump shot from 23 ft (assist by D. Wade),,60,75
3,4:31.0,,N. Jokić makes 2-pt jump shot from 7 ft,60,77
3,4:31.0,,Shooting foul by K. Olynyk (drawn by N. Jokić),60,77
3,4:31.0,J. Johnson enters the game for K. Olynyk,,60,77
3,4:31.0,R. McGruder enters the game for J. Richardson,,60,77
3,4:31.0,,T. Craig enters the game for J. Murray,60,77
3,4:31.0,,P. Millsap enters the game for M. Plumlee,60,77
3,4:31.0,,N. Jokić makes free throw 1 of 1,60,78
3,4:17.0,R. McGruder makes 2-pt jump shot from 6 ft (assist by J. Johnson),,62,78
3,3:54.0,,N. Jokić misses 2-pt layup from 4 ft (block by J. Johnson),62,78
3,3:50.0,,Offensive rebound by T. Craig,62,78
3,3:49.0,,W. Barton misses 3-pt jump shot from 25 ft,62,78
3,3:47.0,Defensive rebound by R. McGruder,,62,78
3,3:36.0,Shooting foul by N. Jokić (drawn by R. McGruder),,62,78
3,3:36.0,R. McGruder makes free throw 1 of 2,,63,78
3,3:36.0,R. McGruder makes free throw 2 of 2,,64,78
3,3:23.0,,Turnover by N. Jokić (bad pass; steal by J. Winslow),64,78
3,3:21.0,J. Winslow makes 2-pt layup from 2 ft,,66,78
3,3:20.0,,Denver full timeout,66,78
3,3:20.0,,J. Murray enters the game for W. Barton,66,78
3,3:02.0,,N. Jokić misses 2-pt hook shot from 6 ft,66,78
3,3:00.0,Defensive rebound by J. Johnson,,66,78
3,2:57.0,J. Winslow misses 2-pt layup from 3 ft,,66,78
3,2:55.0,Offensive rebound by R. McGruder,,66,78
3,2:47.0,D. Wade misses 3-pt jump shot from 25 ft,,66,78
3,2:43.0,,Defensive rebound by P. Millsap,66,78
3,2:32.0,,Shooting foul by D. Wade (drawn by N. Jokić),66,78
3,2:32.0,,N. Jokić misses free throw 1 of 2,66,78
3,2:32.0,,Offensive rebound by Team,66,78
3,2:32.0,,N. Jokić makes free throw 2 of 2,66,79
3,2:17.0,Turnover by D. Wade (traveling),,66,79
3,2:17.0,,M. Plumlee enters the game for N. Jokić,66,79
3,2:04.0,,P. Millsap makes 2-pt dunk from 2 ft (assist by M. Morris),66,81
3,1:51.0,J. Johnson misses 3-pt jump shot from 25 ft,,66,81
3,1:49.0,,Defensive rebound by Team,66,81
3,1:39.0,,M. Morris makes 2-pt jump shot from 7 ft (assist by J. Murray),66,83
3,1:39.0,Violation by Team (def goaltending),,66,83
3,1:23.0,J. Winslow makes 2-pt layup from 2 ft,,68,83
3,1:06.0,,M. Morris misses 2-pt jump shot from 6 ft,68,83
3,1:04.0,Defensive rebound by B. Adebayo,,68,83
3,0:52.0,D. Wade makes 2-pt jump shot from 14 ft,,70,83
3,0:31.0,,P. Millsap misses 2-pt layup from 5 ft,70,83
3,0:29.0,Defensive rebound by B. Adebayo,,70,83
3,0:08.0,J. Winslow misses 3-pt jump shot from 23 ft,,70,83
3,0:07.0,Offensive rebound by Team,,70,83
3,0:07.0,Turnover by Team (shot clock),,70,83
3,0:01.0,,P. Millsap misses 3-pt jump shot from 23 ft,70,83
3,0:01.0,,Offensive rebound by Team,70,83
4,11:47.0,,Shooting foul by D. Wade (drawn by M. Beasley),70,83
4,11:47.0,,M. Beasley makes free throw 1 of 2,70,84
4,11:47.0,,M. Beasley makes free throw 2 of 2,70,85
4,11:23.0,D. Wade misses 2-pt layup from 2 ft,,70,85
4,11:21.0,,Defensive rebound by P. Millsap,70,85
4,11:19.0,,M. Beasley makes 3-pt jump shot from 22 ft (assist by M. Morris),70,88
4,11:00.0,R. McGruder misses 3-pt jump shot from 25 ft,,70,88
4,10:57.0,,Defensive rebound by P. Millsap,70,88
4,10:49.0,,Offensive foul by P. Millsap (drawn by R. McGruder),70,88
4,10:49.0,,Turnover by P. Millsap (offensive foul),70,88
4,10:35.0,D. Wade misses 3-pt jump shot from 25 ft,,70,88
4,10:32.0,,Defensive rebound by N. Jokić,70,88
4,10:23.0,,P. Millsap misses 3-pt jump shot from 22 ft,70,88
4,10:19.0,Defensive rebound by R. McGruder,,70,88
4,9:56.0,Turnover by J. Richardson (bad pass; steal by P. Millsap),,70,88
4,9:52.0,,Turnover by P. Millsap (bad pass; steal by D. Wade),70,88
4,9:48.0,J. Johnson misses 3-pt jump shot from 23 ft,,70,88
4,9:46.0,,Defensive rebound by P. Millsap,70,88
4,9:36.0,,T. Craig misses 3-pt jump shot from 25 ft,70,88
4,9:32.0,Defensive rebound by J. Johnson,,70,88
4,9:28.0,Shooting foul by P. Millsap (drawn by J. Johnson),,70,88
4,9:28.0,J. Johnson makes free throw 1 of 2,,71,88
4,9:28.0,K. Olynyk enters the game for B. Adebayo,,71,88
4,9:28.0,D. Waiters enters the game for R. McGruder,,71,88
4,9:28.0,J. Johnson makes free throw 2 of 2,,72,88
4,9:15.0,,Turnover by N. Jokić (bad pass),72,88
4,9:08.0,Personal foul by P. Millsap (drawn by J. Richardson),,72,88
4,9:08.0,,J. Murray enters the game for M. Morris,72,88
4,8:58.0,K. Olynyk makes 2-pt jump shot from 20 ft (assist by D. Waiters),,74,88
4,8:41.0,,Turnover by N. Jokić (lost ball; steal by D. Wade),74,88
4,8:33.0,D. Waiters misses 3-pt jump shot from 26 ft,,74,88
4,8:30.0,,Defensive rebound by N. Jokić,74,88
4,8:26.0,,M. Beasley makes 3-pt jump shot from 24 ft (assist by N. Jokić),74,91
4,8:24.0,Miami full timeout,,74,91
4,8:24.0,J. Winslow enters the game for D. Wade,,74,91
4,8:24.0,,W. Barton enters the game for T. Craig,74,91
4,8:12.0,Shooting foul by N. Jokić (drawn by D. Waiters),,74,91
4,8:12.0,D. Waiters misses free throw 1 of 2,,74,91
4,8:12.0,Offensive rebound by Team,,74,91
4,8:12.0,D. Waiters misses free throw 2 of 2,,74,91
4,8:08.0,,Defensive rebound by P. Millsap,74,91
4,7:54.0,,N. Jokić misses 2-pt layup from 4 ft (block by K. Olynyk),74,91
4,7:51.0,,Offensive rebound by P. Millsap,74,91
4,7:49.0,,W. Barton misses 3-pt jump shot from 25 ft,74,91
4,7:49.0,Defensive rebound by D. Waiters,,74,91
4,7:33.0,K. Olynyk misses 2-pt hook shot from 4 ft,,74,91
4,7:29.0,,Defensive rebound by W. Barton,74,91
4,7:25.0,,M. Beasley makes 3-pt jump shot from 23 ft (assist by W. Barton),74,94
4,7:06.0,Turnover by K. Olynyk (bad pass),,74,94
4,7:02.0,,Turnover by N. Jokić (bad pass; steal by J. Richardson),74,94
4,6:44.0,J. Johnson makes 3-pt jump shot from 22 ft (assist by D. Waiters),,77,94
4,6:31.0,,Personal foul by K. Olynyk (drawn by N. Jokić),77,94
4,6:31.0,,M. Plumlee enters the game for N. Jokić,77,94
4,6:28.0,,Personal foul by D. Waiters (drawn by W. Barton),77,94
4,6:21.0,,J. Murray misses 2-pt jump shot from 11 ft,77,94
4,6:18.0,Defensive rebound by K. Olynyk,,77,94
4,6:07.0,J. Winslow misses 2-pt layup from 3 ft (block by P. Millsap),,77,94
4,6:05.0,,Defensive rebound by W. Barton,77,94
4,6:02.0,,M. Beasley misses 3-pt jump shot from 25 ft,77,94
4,5:59.0,,Offensive rebound by W. Barton,77,94
4,5:50.0,,J. Murray misses 3-pt jump shot from 25 ft,77,94
4,5:46.0,,Offensive rebound by P. Millsap,77,94
4,5:46.0,,P. Millsap makes 2-pt layup from 2 ft,77,96
4,5:27.0,D. Waiters makes 3-pt jump shot from 24 ft (assist by J. Johnson),,80,96
4,5:00.0,,J. Murray misses 2-pt jump shot from 11 ft,80,96
4,4:54.0,Defensive rebound by K. Olynyk,,80,96
4,4:49.0,Offensive foul by J. Richardson (drawn by M. Plumlee),,80,96
4,4:49.0,Turnover by J. Richardson (offensive foul),,80,96
4,4:49.0,,Denver full timeout,80,96
4,4:49.0,Technical foul by J. Winslow,,80,96
4,4:49.0,,N. Jokić enters the game for P. Millsap,80,96
4,4:49.0,,J. Murray makes technical free throw,80,97
4,4:38.0,,Turnover by J. Murray (lost ball; steal by J. Johnson),80,97
4,4:33.0,Turnover by J. Richardson (bad pass),,80,97
4,4:18.0,,Turnover by M. Plumlee (bad pass),80,97
4,4:07.0,J. Richardson misses 3-pt jump shot from 25 ft,,80,97
4,4:02.0,,Defensive rebound by M. Plumlee,80,97
4,3:48.0,,M. Beasley misses 2-pt jump shot from 9 ft,80,97
4,3:45.0,Defensive rebound by K. Olynyk,,80,97
4,3:27.0,K. Olynyk makes 3-pt jump shot from 23 ft (assist by J. Richardson),,83,97
4,3:08.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),83,100
4,2:51.0,K. Olynyk misses 3-pt jump shot from 27 ft,,83,100
4,2:47.0,,Defensive rebound by J. Murray,83,100
