QUARTER,TIME_REMAINING,INDIANA_ACTION,CHICAGO_ACTION,INDIANA_SCORE,CHICAGO_SCORE
1,2:33.0,M. Turner makes 3-pt jump shot from 26 ft (assist by V. Oladipo),,18,30
1,2:08.0,,J. Parker misses 2-pt jump shot from 20 ft,18,30
1,2:05.0,Defensive rebound by V. Oladipo,,18,30
1,1:57.0,V. Oladipo misses 2-pt layup from 4 ft,,18,30
1,1:55.0,,Defensive rebound by K. Dunn,18,30
1,1:52.0,,C. Hutchison misses 2-pt layup from 2 ft (block by V. Oladipo),18,30
1,1:50.0,Defensive rebound by C. Joseph,,18,30
1,1:46.0,Turnover by T. Evans (bad pass; steal by W. Carter),,18,30
1,1:23.0,,Turnover by Z. LaVine (bad pass; steal by D. Sabonis),18,30
1,1:19.0,Personal foul by K. Dunn (drawn by V. Oladipo),,18,30
1,1:19.0,D. McDermott enters the game for V. Oladipo,,18,30
1,1:19.0,T. Young enters the game for M. Turner,,18,30
1,1:19.0,,R. Arcidiacono enters the game for K. Dunn,18,30
1,1:19.0,,A. Blakeney enters the game for Z. LaVine,18,30
1,1:08.0,D. Sabonis misses 2-pt hook shot from 7 ft,,18,30
1,1:08.0,,Defensive rebound by Team,18,30
1,0:44.0,,R. Arcidiacono misses 3-pt jump shot from 24 ft,18,30
1,0:44.0,,Offensive rebound by Team,18,30
1,0:44.0,,Turnover by Team (shot clock),18,30
1,0:32.0,Turnover by T. Evans (out of bounds lost ball),,18,30
1,0:15.0,,Turnover by J. Parker (step out of bounds),18,30
1,0:08.0,C. Joseph misses 2-pt jump shot from 13 ft,,18,30
1,0:03.0,Offensive rebound by T. Evans,,18,30
1,0:00.0,T. Evans misses 3-pt jump shot from 26 ft,,18,30
1,0:00.0,Offensive rebound by Team,,18,30
2,11:43.0,D. Sabonis makes 2-pt layup from 1 ft (assist by T. Evans),,20,30
2,11:30.0,,Turnover by R. Lopez (lost ball; steal by T. Evans),20,30
2,11:26.0,T. Evans makes 2-pt layup at rim,,22,30
2,11:03.0,,S. Harrison makes 2-pt layup from 2 ft,22,32
2,10:48.0,D. McDermott misses 3-pt jump shot from 23 ft,,22,32
2,10:44.0,,Defensive rebound by J. Parker,22,32
2,10:34.0,,A. Blakeney makes 2-pt jump shot from 13 ft,22,34
2,10:19.0,D. Sabonis misses 2-pt layup from 2 ft,,22,34
2,10:14.0,Offensive rebound by D. Sabonis,,22,34
2,10:14.0,D. Sabonis makes 2-pt layup from 1 ft,,24,34
2,10:09.0,,J. Parker makes 2-pt layup from 2 ft,24,36
2,9:57.0,Shooting foul by A. Blakeney (drawn by T. Young),,24,36
2,9:57.0,T. Young misses free throw 1 of 2,,24,36
2,9:57.0,Offensive rebound by Team,,24,36
2,9:57.0,T. Young misses free throw 2 of 2,,24,36
2,9:54.0,Offensive rebound by D. Sabonis,,24,36
2,9:53.0,T. Young makes 2-pt dunk from 1 ft (assist by D. Sabonis),,26,36
2,9:53.0,,Chicago full timeout,26,36
2,9:35.0,,Turnover by R. Lopez (traveling),26,36
2,9:20.0,T. Evans misses 3-pt jump shot from 22 ft,,26,36
2,9:15.0,Offensive rebound by D. Sabonis,,26,36
2,9:15.0,D. Sabonis makes 2-pt layup from 1 ft,,28,36
2,8:59.0,,Turnover by R. Lopez (3 sec),28,36
2,8:47.0,Personal foul by S. Harrison (drawn by T. Evans),,28,36
2,8:47.0,,L. Markkanen enters the game for R. Lopez,28,36
2,8:32.0,D. Sabonis makes 2-pt hook shot from 6 ft (assist by C. Joseph),,30,36
2,8:12.0,,S. Harrison misses 2-pt layup from 4 ft (block by D. McDermott),30,36
2,8:09.0,Defensive rebound by D. Sabonis,,30,36
2,8:06.0,Turnover by C. Joseph (lost ball; steal by A. Blakeney),,30,36
2,7:59.0,,A. Blakeney misses 2-pt jump shot from 7 ft (block by T. Young),30,36
2,7:59.0,,Offensive rebound by Team,30,36
2,7:59.0,B. Bogdanović enters the game for T. Young,,30,36
2,7:47.0,,J. Parker misses 2-pt jump shot from 12 ft,30,36
2,7:44.0,Defensive rebound by D. McDermott,,30,36
2,7:42.0,T. Evans makes 2-pt layup from 1 ft (assist by C. Joseph),,32,36
2,7:42.0,,Chicago full timeout,32,36
2,7:42.0,,W. Carter enters the game for J. Parker,32,36
2,7:30.0,,S. Harrison misses 2-pt layup from 2 ft,32,36
2,7:29.0,Defensive rebound by C. Joseph,,32,36
2,7:26.0,T. Evans misses 2-pt layup from 1 ft,,32,36
2,7:26.0,,Defensive rebound by L. Markkanen,32,36
2,7:08.0,,A. Blakeney makes 2-pt layup from 1 ft,32,38
2,6:44.0,D. Sabonis makes 2-pt hook shot from 3 ft,,34,38
2,6:26.0,,L. Markkanen makes 2-pt layup from 1 ft (assist by S. Harrison),34,40
2,6:07.0,Shooting foul by S. Harrison (drawn by D. Sabonis),,34,40
2,6:07.0,V. Oladipo enters the game for D. McDermott,,34,40
2,6:07.0,,K. Dunn enters the game for R. Arcidiacono,34,40
2,6:07.0,,Z. LaVine enters the game for S. Harrison,34,40
2,6:07.0,D. Sabonis makes free throw 1 of 2,,35,40
2,6:07.0,D. Sabonis makes free throw 2 of 2,,36,40
2,5:46.0,,A. Blakeney misses 3-pt jump shot from 27 ft,36,40
2,5:43.0,Defensive rebound by D. Sabonis,,36,40
2,5:35.0,V. Oladipo misses 3-pt jump shot from 26 ft,,36,40
2,5:32.0,,Defensive rebound by A. Blakeney,36,40
2,5:23.0,,Personal foul by D. Sabonis (drawn by W. Carter),36,40
2,5:23.0,D. Collison enters the game for T. Evans,,36,40
2,5:17.0,,L. Markkanen makes 2-pt layup from 2 ft (assist by W. Carter),36,42
2,5:05.0,D. Sabonis makes 2-pt dunk from 1 ft (assist by V. Oladipo),,38,42
2,5:05.0,Shooting foul by Z. LaVine (drawn by D. Sabonis),,38,42
2,5:05.0,,C. Hutchison enters the game for Z. LaVine,38,42
2,5:05.0,D. Sabonis makes free throw 1 of 1,,39,42
2,4:54.0,,Personal foul by D. Collison (drawn by W. Carter),39,42
2,4:47.0,,A. Blakeney makes 3-pt jump shot from 22 ft (assist by K. Dunn),39,45
2,4:28.0,V. Oladipo makes 2-pt dunk at rim (assist by C. Joseph),,41,45
2,4:16.0,,Shooting foul by D. Collison (drawn by K. Dunn),41,45
2,4:16.0,,K. Dunn misses free throw 1 of 2,41,45
2,4:16.0,,Offensive rebound by Team,41,45
2,4:16.0,M. Turner enters the game for C. Joseph,,41,45
2,4:16.0,T. Young enters the game for D. Sabonis,,41,45
2,4:16.0,,K. Dunn makes free throw 2 of 2,41,46
2,4:01.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,41,46
2,3:59.0,,Defensive rebound by K. Dunn,41,46
2,3:50.0,,L. Markkanen misses 2-pt layup from 1 ft,41,46
2,3:46.0,,Offensive rebound by L. Markkanen,41,46
2,3:46.0,,L. Markkanen makes 2-pt layup at rim,41,48
2,3:33.0,V. Oladipo makes 2-pt layup from 1 ft,,43,48
2,3:22.0,,Personal foul by T. Young (drawn by L. Markkanen),43,48
2,3:16.0,,A. Blakeney misses 3-pt jump shot from 22 ft,43,48
2,3:12.0,Defensive rebound by T. Young,,43,48
2,3:03.0,Personal foul by C. Hutchison (drawn by B. Bogdanović),,43,48
2,3:03.0,B. Bogdanović makes free throw 1 of 2,,44,48
2,3:03.0,B. Bogdanović makes free throw 2 of 2,,45,48
2,2:45.0,,K. Dunn misses 2-pt jump shot from 7 ft,45,48
2,2:45.0,,Offensive rebound by W. Carter,45,48
2,2:45.0,,W. Carter makes 2-pt layup at rim,45,50
2,2:45.0,,Shooting foul by M. Turner (drawn by W. Carter),45,50
2,2:45.0,,W. Carter makes free throw 1 of 1,45,51
2,2:30.0,D. Collison makes 3-pt jump shot from 22 ft (assist by B. Bogdanović),,48,51
2,2:14.0,,Turnover by K. Dunn (bad pass; steal by V. Oladipo),48,51
2,2:07.0,Turnover by D. Collison (bad pass; steal by A. Blakeney),,48,51
2,2:01.0,,L. Markkanen makes 3-pt jump shot from 26 ft (assist by K. Dunn),48,54
2,1:41.0,V. Oladipo misses 3-pt jump shot from 25 ft,,48,54
2,1:39.0,,Defensive rebound by L. Markkanen,48,54
2,1:32.0,,Turnover by L. Markkanen (off goaltending),48,54
2,1:32.0,C. Joseph enters the game for D. Collison,,48,54
2,1:32.0,D. Sabonis enters the game for M. Turner,,48,54
2,1:18.0,B. Bogdanović misses 2-pt layup from 2 ft,,48,54
2,1:18.0,,Defensive rebound by A. Blakeney,48,54
2,1:18.0,Technical foul by B. Bogdanović,,48,54
2,1:18.0,,L. Markkanen misses technical free throw,48,54
2,1:18.0,,Offensive rebound by Team,48,54
2,1:07.0,,W. Carter makes 2-pt layup from 2 ft (assist by K. Dunn),48,56
2,0:57.0,V. Oladipo makes 2-pt jump shot from 22 ft,,50,56
2,0:39.0,,L. Markkanen misses 3-pt jump shot from 27 ft,50,56
2,0:37.0,Defensive rebound by B. Bogdanović,,50,56
2,0:34.0,B. Bogdanović makes 2-pt layup from 3 ft,,52,56
2,0:25.0,,K. Dunn makes 2-pt jump shot from 7 ft,52,58
2,0:05.0,V. Oladipo misses 3-pt jump shot from 26 ft,,52,58
2,0:05.0,Offensive rebound by B. Bogdanović,,52,58
2,0:04.0,B. Bogdanović misses 2-pt layup from 1 ft,,52,58
2,0:03.0,Offensive rebound by D. Sabonis,,52,58
2,0:02.0,D. Sabonis makes 2-pt layup from 1 ft,,54,58
2,0:00.0,,C. Hutchison misses 3-pt jump shot from 69 ft,54,58
2,0:00.0,,Offensive rebound by Team,54,58
3,11:38.0,Turnover by T. Young (bad pass; steal by L. Markkanen),,54,58
3,11:14.0,,L. Markkanen misses 2-pt jump shot from 16 ft,54,58
3,11:12.0,Defensive rebound by B. Bogdanović,,54,58
3,11:04.0,Personal foul by C. Hutchison (drawn by M. Turner),,54,58
3,10:57.0,V. Oladipo misses 3-pt jump shot from 26 ft,,54,58
3,10:55.0,,Defensive rebound by C. Hutchison,54,58
3,10:45.0,,Z. LaVine misses 3-pt jump shot from 26 ft,54,58
3,10:43.0,Defensive rebound by T. Young,,54,58
3,10:37.0,D. Collison makes 3-pt jump shot from 26 ft,,57,58
3,10:22.0,,L. Markkanen makes 2-pt layup from 2 ft (assist by K. Dunn),57,60
3,10:22.0,,Shooting foul by T. Young (drawn by L. Markkanen),57,60
3,10:22.0,,L. Markkanen makes free throw 1 of 1,57,61
3,10:11.0,B. Bogdanović misses 2-pt layup from 2 ft,,57,61
3,10:10.0,,Defensive rebound by K. Dunn,57,61
3,10:08.0,,Turnover by K. Dunn (bad pass),57,61
3,9:49.0,V. Oladipo misses 3-pt jump shot from 25 ft,,57,61
3,9:41.0,Offensive rebound by B. Bogdanović,,57,61
3,9:41.0,B. Bogdanović misses 2-pt layup at rim,,57,61
3,9:41.0,,Defensive rebound by L. Markkanen,57,61
3,9:34.0,,C. Hutchison misses 2-pt jump shot from 7 ft,57,61
3,9:30.0,Defensive rebound by D. Collison,,57,61
3,9:18.0,V. Oladipo makes 3-pt jump shot from 26 ft (assist by T. Young),,60,61
3,8:59.0,,W. Carter misses 3-pt jump shot from 23 ft,60,61
3,8:56.0,Defensive rebound by V. Oladipo,,60,61
3,8:50.0,V. Oladipo makes 2-pt layup from 2 ft,,62,61
3,8:45.0,,Chicago full timeout,62,61
3,8:34.0,,Turnover by L. Markkanen (lost ball; steal by V. Oladipo),62,61
3,8:31.0,V. Oladipo makes 2-pt layup from 2 ft,,64,61
3,8:08.0,,L. Markkanen misses 2-pt jump shot from 13 ft,64,61
3,8:05.0,Defensive rebound by V. Oladipo,,64,61
3,7:52.0,V. Oladipo makes 3-pt jump shot from 24 ft,,67,61
3,7:22.0,,C. Hutchison misses 3-pt jump shot from 23 ft,67,61
3,7:19.0,Defensive rebound by M. Turner,,67,61
3,7:14.0,V. Oladipo misses 3-pt jump shot from 26 ft,,67,61
3,7:11.0,,Defensive rebound by W. Carter,67,61
3,6:57.0,,L. Markkanen makes 2-pt layup from 1 ft (assist by K. Dunn),67,63
3,6:41.0,D. Collison misses 3-pt jump shot from 24 ft,,67,63
3,6:39.0,,Defensive rebound by W. Carter,67,63
3,6:24.0,,Z. LaVine misses 2-pt hook shot from 5 ft,67,63
3,6:24.0,Defensive rebound by T. Young,,67,63
3,6:11.0,T. Young makes 2-pt layup from 1 ft (assist by D. Collison),,69,63
3,5:58.0,,K. Dunn makes 2-pt layup from 2 ft,69,65
3,5:58.0,,Shooting foul by M. Turner (drawn by K. Dunn),69,65
3,5:58.0,,K. Dunn makes free throw 1 of 1,69,66
3,5:47.0,B. Bogdanović misses 2-pt layup from 3 ft,,69,66
3,5:45.0,,Defensive rebound by W. Carter,69,66
3,5:40.0,,C. Hutchison misses 2-pt layup from 1 ft,69,66
3,5:40.0,,Offensive rebound by W. Carter,69,66
3,5:40.0,,W. Carter makes 2-pt layup from 1 ft,69,68
3,5:40.0,Indiana full timeout,,69,68
3,5:19.0,D. Collison misses 2-pt jump shot from 17 ft,,69,68
3,5:16.0,,Defensive rebound by Z. LaVine,69,68
3,5:03.0,,W. Carter makes 2-pt dunk from 1 ft (assist by Z. LaVine),69,70
3,4:46.0,V. Oladipo makes 2-pt layup from 1 ft,,71,70
3,4:34.0,Violation by Team (kicked ball),,71,70
3,4:24.0,,Z. LaVine misses 2-pt layup from 3 ft,71,70
3,4:24.0,,Offensive rebound by Team,71,70
3,4:24.0,,Turnover by Z. LaVine (traveling),71,70
3,4:11.0,T. Young makes 2-pt dunk at rim (assist by B. Bogdanović),,73,70
3,3:54.0,,K. Dunn makes 2-pt jump shot from 15 ft,73,72
3,3:37.0,Turnover by V. Oladipo (lost ball),,73,72
3,3:37.0,C. Joseph enters the game for B. Bogdanović,,73,72
3,3:37.0,D. Sabonis enters the game for T. Young,,73,72
3,3:24.0,,L. Markkanen misses 3-pt jump shot from 25 ft,73,72
3,3:24.0,,Offensive rebound by W. Carter,73,72
3,3:24.0,,Personal foul by D. Collison (drawn by W. Carter),73,72
3,3:13.0,,Personal foul by V. Oladipo (drawn by Z. LaVine),73,72
3,3:13.0,,A. Blakeney enters the game for Z. LaVine,73,72
3,2:59.0,,C. Hutchison makes 2-pt dunk from 1 ft (assist by K. Dunn),73,74
3,2:45.0,V. Oladipo misses 2-pt layup from 2 ft,,73,74
3,2:43.0,,Defensive rebound by C. Hutchison,73,74
3,2:36.0,,Shooting foul by M. Turner (drawn by A. Blakeney),73,74
3,2:36.0,,A. Blakeney makes free throw 1 of 2,73,75
3,2:36.0,B. Bogdanović enters the game for D. Collison,,73,75
3,2:36.0,T. Evans enters the game for V. Oladipo,,73,75
3,2:36.0,D. McDermott enters the game for M. Turner,,73,75
3,2:36.0,,R. Arcidiacono enters the game for C. Hutchison,73,75
3,2:36.0,,A. Blakeney makes free throw 2 of 2,73,76
3,2:17.0,T. Evans makes 2-pt layup from 1 ft (assist by B. Bogdanović),,75,76
3,1:55.0,,A. Blakeney makes 2-pt layup from 3 ft (assist by R. Arcidiacono),75,78
3,1:34.0,C. Joseph misses 3-pt jump shot from 25 ft,,75,78
3,1:32.0,,Defensive rebound by K. Dunn,75,78
3,1:19.0,,K. Dunn misses 2-pt jump shot from 18 ft,75,78
3,1:17.0,Defensive rebound by D. Sabonis,,75,78
3,0:56.0,T. Evans misses 2-pt jump shot from 5 ft,,75,78
3,0:54.0,,Defensive rebound by L. Markkanen,75,78
3,0:51.0,,Offensive foul by L. Markkanen (drawn by B. Bogdanović),75,78
3,0:51.0,,Turnover by L. Markkanen (offensive foul),75,78
3,0:51.0,,S. Harrison enters the game for K. Dunn,75,78
3,0:35.0,Personal foul by R. Arcidiacono (drawn by D. McDermott),,75,78
3,0:25.0,Turnover by D. Sabonis (lost ball; steal by R. Arcidiacono),,75,78
3,0:03.0,,A. Blakeney misses 2-pt jump shot from 15 ft,75,78
3,0:03.0,Defensive rebound by B. Bogdanović,,75,78
4,11:48.0,,J. Parker misses 2-pt layup from 1 ft,75,78
4,11:46.0,Defensive rebound by D. Sabonis,,75,78
4,11:32.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by T. Evans),,77,78
4,11:14.0,,R. Lopez makes 2-pt hook shot from 8 ft (assist by R. Arcidiacono),77,80
4,10:51.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,77,80
4,10:51.0,Offensive rebound by Team,,77,80
4,10:51.0,,Loose ball foul by R. Lopez (drawn by D. Sabonis),77,80
4,10:42.0,T. Evans misses 2-pt jump shot from 22 ft,,77,80
4,10:39.0,,Defensive rebound by A. Blakeney,77,80
4,10:18.0,,A. Blakeney makes 2-pt layup from 1 ft,77,82
4,10:05.0,Offensive foul by C. Joseph (drawn by S. Harrison),,77,82
4,10:05.0,Turnover by C. Joseph (offensive foul),,77,82
4,10:05.0,T. Young enters the game for B. Bogdanović,,77,82
4,9:41.0,,J. Parker misses 3-pt jump shot from 25 ft,77,82
4,9:38.0,Defensive rebound by D. Sabonis,,77,82
4,9:30.0,T. Evans makes 2-pt layup from 2 ft,,79,82
4,9:09.0,,Turnover by R. Lopez (lost ball; steal by T. Young),79,82
4,9:07.0,T. Evans makes 2-pt layup from 1 ft,,81,82
4,9:07.0,,Chicago full timeout,81,82
4,9:07.0,,Z. LaVine enters the game for A. Blakeney,81,82
4,8:42.0,,J. Parker makes 2-pt jump shot from 6 ft,81,84
4,8:30.0,Personal foul by R. Lopez (drawn by D. Sabonis),,81,84
4,8:19.0,T. Evans misses 3-pt jump shot from 25 ft,,81,84
4,8:17.0,,Defensive rebound by Z. LaVine,81,84
4,8:11.0,,Z. LaVine misses 2-pt jump shot from 18 ft,81,84
4,8:07.0,Defensive rebound by D. Sabonis,,81,84
4,7:56.0,D. Sabonis misses 2-pt jump shot from 23 ft,,81,84
4,7:54.0,,Defensive rebound by J. Parker,81,84
4,7:44.0,,Z. LaVine makes 2-pt dunk from 1 ft (assist by J. Parker),81,86
4,7:44.0,Indiana full timeout,,81,86
4,7:44.0,,L. Markkanen enters the game for R. Lopez,81,86
4,7:31.0,D. McDermott makes 3-pt jump shot from 27 ft (assist by T. Evans),,84,86
4,7:31.0,,K. Dunn enters the game for R. Arcidiacono,84,86
4,7:11.0,,Personal foul by D. McDermott (drawn by S. Harrison),84,86
4,7:02.0,,Z. LaVine misses 3-pt jump shot from 26 ft,84,86
4,6:59.0,Defensive rebound by D. Sabonis,,84,86
4,6:54.0,D. McDermott makes 2-pt jump shot from 21 ft (assist by D. Sabonis),,86,86
4,6:35.0,,J. Parker misses 2-pt layup from 2 ft,86,86
4,6:32.0,,Offensive rebound by J. Parker,86,86
4,6:32.0,,J. Parker misses 2-pt layup from 1 ft,86,86
4,6:31.0,Defensive rebound by T. Evans,,86,86
4,6:30.0,T. Evans misses 2-pt layup from 3 ft (block by S. Harrison),,86,86
4,6:30.0,Offensive rebound by T. Young,,86,86
4,6:30.0,T. Young makes 2-pt layup at rim,,88,86
4,6:30.0,,Violation by Team (def goaltending),88,86
4,6:10.0,,K. Dunn makes 3-pt jump shot from 25 ft (assist by L. Markkanen),88,89
4,5:48.0,Personal foul by J. Parker (drawn by D. Sabonis),,88,89
4,5:48.0,B. Bogdanović enters the game for T. Evans,,88,89
4,5:48.0,V. Oladipo enters the game for D. McDermott,,88,89
4,5:48.0,,W. Carter enters the game for J. Parker,88,89
4,5:36.0,T. Young makes 2-pt hook shot from 1 ft (assist by C. Joseph),,90,89
4,5:17.0,,Turnover by L. Markkanen (lost ball; steal by T. Young),90,89
4,5:07.0,T. Young makes 2-pt hook shot from 4 ft (assist by C. Joseph),,92,89
4,5:07.0,,Chicago full timeout,92,89
4,4:55.0,,Z. LaVine misses 2-pt layup from 1 ft,92,89
4,4:55.0,,Offensive rebound by W. Carter,92,89
4,4:55.0,,Shooting foul by C. Joseph (drawn by W. Carter),92,89
4,4:55.0,,W. Carter misses free throw 1 of 2,92,89
4,4:55.0,,Offensive rebound by Team,92,89
4,4:55.0,,W. Carter makes free throw 2 of 2,92,90
4,4:37.0,V. Oladipo makes 2-pt jump shot from 16 ft,,94,90
4,4:18.0,,W. Carter misses 2-pt hook shot from 6 ft,94,90
4,4:17.0,,Offensive rebound by S. Harrison,94,90
4,4:16.0,,S. Harrison misses 2-pt layup from 3 ft,94,90
4,4:16.0,Defensive rebound by D. Sabonis,,94,90
4,4:07.0,C. Joseph misses 3-pt jump shot from 25 ft,,94,90
4,4:04.0,,Defensive rebound by W. Carter,94,90
4,3:49.0,,L. Markkanen misses 3-pt jump shot from 26 ft,94,90
4,3:45.0,Defensive rebound by V. Oladipo,,94,90
4,3:45.0,Indiana full timeout,,94,90
4,3:32.0,Personal foul by K. Dunn (drawn by C. Joseph),,94,90
4,3:22.0,T. Young makes 2-pt layup from 1 ft (assist by D. Sabonis),,96,90
4,3:05.0,,Z. LaVine makes 2-pt layup from 1 ft,96,92
4,2:48.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,96,92
4,2:46.0,Offensive rebound by T. Young,,96,92
4,2:45.0,B. Bogdanović misses 2-pt jump shot from 7 ft (block by W. Carter),,96,92
4,2:45.0,Offensive rebound by Team,,96,92
4,2:35.0,D. Sabonis makes 2-pt jump shot from 19 ft (assist by B. Bogdanović),,98,92
4,2:14.0,,Z. LaVine misses 3-pt jump shot from 26 ft,98,92
4,2:11.0,Defensive rebound by C. Joseph,,98,92
4,1:58.0,,Violation by Team (kicked ball),98,92
4,1:48.0,V. Oladipo misses 3-pt jump shot from 25 ft,,98,92
4,1:45.0,,Defensive rebound by S. Harrison,98,92
4,1:35.0,,Personal foul by T. Young (drawn by L. Markkanen),98,92
4,1:28.0,,S. Harrison makes 2-pt jump shot from 10 ft,98,94
4,1:12.0,Shooting foul by W. Carter (drawn by D. Sabonis),,98,94
4,1:12.0,D. Sabonis makes free throw 1 of 2,,99,94
4,1:12.0,D. Sabonis makes free throw 2 of 2,,100,94
4,1:03.0,,Z. LaVine makes 2-pt layup from 1 ft (assist by K. Dunn),100,96
4,0:45.0,D. Sabonis makes 2-pt dunk from 2 ft (assist by V. Oladipo),,102,96
4,0:32.0,,Chicago full timeout,102,96
4,0:32.0,M. Turner enters the game for D. Sabonis,,102,96
4,0:32.0,,A. Blakeney enters the game for S. Harrison,102,96
4,0:26.0,,K. Dunn makes 3-pt jump shot from 26 ft (assist by W. Carter),102,99
4,0:26.0,Indiana full timeout,,102,99
4,0:26.0,D. Collison enters the game for C. Joseph,,102,99
4,0:26.0,D. Sabonis enters the game for M. Turner,,102,99
4,0:26.0,,S. Harrison enters the game for A. Blakeney,102,99
4,0:25.0,Personal take foul by K. Dunn (drawn by V. Oladipo),,102,99
4,0:25.0,V. Oladipo makes free throw 1 of 2,,103,99
4,0:25.0,C. Joseph enters the game for D. Collison,,103,99
4,0:25.0,M. Turner enters the game for D. Sabonis,,103,99
4,0:25.0,,A. Blakeney enters the game for S. Harrison,103,99
