QUARTER,TIME_REMAINING,CLEVELAND_ACTION,HOUSTON_ACTION,CLEVELAND_SCORE,HOUSTON_SCORE
2,9:23.0,M. Dellavedova misses free throw 1 of 2,,27,44
2,9:23.0,Offensive rebound by Team,,27,44
2,9:23.0,M. Dellavedova makes free throw 2 of 2,,28,44
2,9:12.0,,G. Clark makes 2-pt dunk from 1 ft (assist by D. House),28,46
2,9:00.0,A. Žižić makes 2-pt layup from 3 ft (assist by M. Dellavedova),,30,46
2,8:45.0,,Turnover by B. Knight (lost ball; steal by A. Žižić),30,46
2,8:36.0,M. Dellavedova misses 3-pt jump shot from 25 ft,,30,46
2,8:34.0,,Defensive rebound by B. Knight,30,46
2,8:21.0,,B. Knight misses 3-pt jump shot from 23 ft,30,46
2,8:19.0,Defensive rebound by J. Clarkson,,30,46
2,8:11.0,J. Clarkson misses 2-pt jump shot from 11 ft,,30,46
2,8:08.0,,Defensive rebound by B. Knight,30,46
2,7:54.0,C. Sexton enters the game for M. Dellavedova,,30,46
2,7:54.0,,C. Capela enters the game for N. Hilário,30,46
2,7:54.0,,J. Harden enters the game for B. Knight,30,46
2,7:49.0,,J. Harden makes 3-pt jump shot from 24 ft,30,49
2,7:29.0,Turnover by C. Payne (bad pass; steal by D. House),,30,49
2,7:20.0,,G. Clark makes 3-pt jump shot from 28 ft (assist by A. Rivers),30,52
2,7:20.0,Cleveland full timeout,,30,52
2,7:20.0,A. Burks enters the game for J. Clarkson,,30,52
2,7:20.0,R. Hood enters the game for C. Payne,,30,52
2,7:20.0,T. Thompson enters the game for A. Žižić,,30,52
2,7:04.0,J. Jones makes 3-pt jump shot from 27 ft (assist by C. Sexton),,33,52
2,6:47.0,,J. Harden makes 3-pt jump shot from 27 ft,33,55
2,6:33.0,C. Sexton misses 2-pt layup from 6 ft (block by D. House),,33,55
2,6:33.0,Offensive rebound by Team,,33,55
2,6:33.0,,G. Green enters the game for A. Rivers,33,55
2,6:25.0,T. Thompson misses 2-pt hook shot from 8 ft,,33,55
2,6:23.0,,Defensive rebound by J. Harden,33,55
2,6:16.0,,D. House misses 2-pt layup from 6 ft (block by A. Burks),33,55
2,6:13.0,Defensive rebound by T. Thompson,,33,55
2,6:08.0,R. Hood misses 2-pt layup from 2 ft,,33,55
2,6:05.0,,Defensive rebound by Team,33,55
2,6:05.0,C. Osman enters the game for J. Jones,,33,55
2,5:55.0,,J. Harden misses 3-pt jump shot from 31 ft,33,55
2,5:53.0,Defensive rebound by A. Burks,,33,55
2,5:47.0,Shooting foul by G. Clark (drawn by A. Burks),,33,55
2,5:47.0,A. Burks makes free throw 1 of 2,,34,55
2,5:47.0,A. Burks makes free throw 2 of 2,,35,55
2,5:34.0,,C. Capela makes 2-pt layup from 3 ft (assist by J. Harden),35,57
2,5:19.0,A. Burks misses 2-pt layup from 4 ft (block by C. Capela),,35,57
2,5:17.0,,Defensive rebound by J. Harden,35,57
2,5:10.0,,G. Clark makes 3-pt jump shot from 27 ft (assist by J. Harden),35,60
2,4:56.0,C. Sexton misses 2-pt jump shot from 19 ft,,35,60
2,4:54.0,,Defensive rebound by G. Clark,35,60
2,4:44.0,,G. Green makes 2-pt dunk from 1 ft (assist by C. Capela),35,62
2,4:26.0,A. Burks makes 2-pt jump shot from 5 ft (assist by C. Sexton),,37,62
2,4:19.0,,Shooting foul by C. Osman (drawn by J. Harden),37,62
2,4:19.0,,J. Harden makes free throw 1 of 2,37,63
2,4:19.0,,P. Tucker enters the game for D. House,37,63
2,4:19.0,,J. Harden makes free throw 2 of 2,37,64
2,3:59.0,R. Hood misses 2-pt jump shot from 17 ft,,37,64
2,3:57.0,Offensive rebound by T. Thompson,,37,64
2,3:56.0,T. Thompson makes 2-pt dunk at rim,,39,64
2,3:40.0,,J. Harden makes 3-pt jump shot from 27 ft,39,67
2,3:25.0,A. Burks makes 2-pt layup from 4 ft (assist by T. Thompson),,41,67
2,3:15.0,,Turnover by J. Harden (lost ball; steal by A. Burks),41,67
2,3:11.0,C. Sexton makes 2-pt layup from 2 ft (assist by R. Hood),,43,67
2,2:53.0,,G. Green misses 3-pt jump shot from 27 ft,43,67
2,2:50.0,Defensive rebound by A. Burks,,43,67
2,2:48.0,C. Osman makes 2-pt layup from 4 ft (assist by A. Burks),,45,67
2,2:48.0,,Houston full timeout,45,67
2,2:48.0,,A. Rivers enters the game for G. Clark,45,67
2,2:35.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by J. Harden),45,70
2,2:16.0,Shooting foul by J. Harden (drawn by C. Sexton),,45,70
2,2:16.0,C. Sexton makes free throw 1 of 2,,46,70
2,2:16.0,C. Sexton makes free throw 2 of 2,,47,70
2,1:52.0,,J. Harden misses 3-pt jump shot from 28 ft,47,70
2,1:50.0,Defensive rebound by C. Osman,,47,70
2,1:44.0,Turnover by C. Osman (bad pass; steal by J. Harden),,47,70
2,1:39.0,,C. Capela makes 2-pt layup from 3 ft (assist by J. Harden),47,72
2,1:39.0,,Shooting foul by A. Burks (drawn by C. Capela),47,72
2,1:39.0,,C. Capela misses free throw 1 of 1,47,72
2,1:39.0,Defensive rebound by T. Thompson,,47,72
2,1:24.0,T. Thompson misses 2-pt layup from 6 ft (block by J. Harden),,47,72
2,1:22.0,,Defensive rebound by J. Harden,47,72
2,1:12.0,,A. Rivers makes 3-pt jump shot from 24 ft (assist by J. Harden),47,75
2,0:54.0,R. Hood misses 3-pt jump shot from 23 ft,,47,75
2,0:52.0,,Defensive rebound by J. Harden,47,75
2,0:49.0,,Shooting foul by C. Osman (drawn by C. Capela),47,75
2,0:49.0,,C. Capela makes free throw 1 of 2,47,76
2,0:49.0,,C. Capela makes free throw 2 of 2,47,77
2,0:43.0,C. Sexton makes 2-pt layup from 5 ft,,49,77
2,0:25.0,,J. Harden misses 3-pt jump shot from 29 ft,49,77
2,0:23.0,Defensive rebound by R. Hood,,49,77
2,0:04.0,R. Hood misses 2-pt jump shot from 13 ft,,49,77
2,0:01.0,,Defensive rebound by C. Capela,49,77
3,11:43.0,A. Burks misses 3-pt jump shot from 24 ft,,49,77
3,11:41.0,,Defensive rebound by A. Rivers,49,77
3,11:35.0,,J. Harden makes 2-pt layup from 5 ft,49,79
3,11:35.0,,Shooting foul by C. Osman (drawn by J. Harden),49,79
3,11:35.0,,J. Harden makes free throw 1 of 1,49,80
3,11:23.0,R. Hood makes 2-pt jump shot from 5 ft,,51,80
3,11:04.0,,P. Tucker makes 2-pt jump shot from 9 ft (assist by D. House),51,82
3,10:42.0,R. Hood makes 2-pt jump shot from 11 ft,,53,82
3,10:25.0,,J. Harden makes 2-pt jump shot from 14 ft,53,84
3,10:11.0,Turnover by R. Hood (offensive foul),,53,84
3,10:11.0,Offensive foul by R. Hood (drawn by A. Rivers),,53,84
3,10:00.0,,A. Rivers makes 2-pt layup from 5 ft,53,86
3,9:52.0,Offensive foul by C. Sexton (drawn by A. Rivers),,53,86
3,9:52.0,Turnover by C. Sexton (offensive foul),,53,86
3,9:37.0,,J. Harden misses 3-pt jump shot from 23 ft,53,86
3,9:36.0,Defensive rebound by Team,,53,86
3,9:24.0,R. Hood misses 3-pt jump shot from 28 ft,,53,86
3,9:21.0,,Defensive rebound by A. Rivers,53,86
3,9:16.0,,Shooting foul by R. Hood (drawn by C. Capela),53,86
3,9:16.0,,C. Capela makes free throw 1 of 2,53,87
3,9:16.0,,C. Capela makes free throw 2 of 2,53,88
3,9:02.0,C. Sexton makes 2-pt jump shot from 14 ft,,55,88
3,9:02.0,Shooting foul by A. Rivers (drawn by C. Sexton),,55,88
3,9:02.0,C. Sexton makes free throw 1 of 1,,56,88
3,8:41.0,,Turnover by J. Harden (bad pass; steal by C. Sexton),56,88
3,8:37.0,C. Osman makes 2-pt layup from 3 ft (assist by C. Sexton),,58,88
3,8:16.0,,A. Rivers misses 3-pt jump shot from 26 ft,58,88
3,8:12.0,Defensive rebound by A. Burks,,58,88
3,8:06.0,T. Thompson misses 2-pt hook shot from 6 ft,,58,88
3,8:04.0,Offensive rebound by T. Thompson,,58,88
3,8:03.0,T. Thompson misses 2-pt jump shot from 12 ft (block by D. House),,58,88
3,8:03.0,,Defensive rebound by Team,58,88
3,8:03.0,Loose ball foul by T. Thompson (drawn by P. Tucker),,58,88
3,7:41.0,,J. Harden makes 3-pt jump shot from 27 ft,58,91
3,7:26.0,C. Osman makes 2-pt layup from 4 ft (assist by T. Thompson),,60,91
3,7:26.0,Shooting foul by P. Tucker (drawn by C. Osman),,60,91
3,7:26.0,C. Osman makes free throw 1 of 1,,61,91
3,7:11.0,,P. Tucker misses 3-pt jump shot from 23 ft,61,91
3,7:09.0,Defensive rebound by R. Hood,,61,91
3,7:03.0,Shooting foul by A. Rivers (drawn by R. Hood),,61,91
3,7:03.0,R. Hood makes free throw 1 of 2,,62,91
3,7:03.0,,G. Green enters the game for A. Rivers,62,91
3,7:03.0,R. Hood makes free throw 2 of 2,,63,91
3,6:39.0,,D. House misses 3-pt jump shot from 26 ft,63,91
3,6:35.0,Defensive rebound by T. Thompson,,63,91
3,6:27.0,Turnover by C. Sexton (bad pass),,63,91
3,6:27.0,,Houston full timeout,63,91
3,6:27.0,J. Clarkson enters the game for R. Hood,,63,91
3,6:14.0,,Shooting foul by T. Thompson (drawn by J. Harden),63,91
3,6:14.0,,J. Harden makes free throw 1 of 2,63,92
3,6:14.0,,J. Harden makes free throw 2 of 2,63,93
3,5:58.0,C. Sexton makes 3-pt jump shot from 27 ft (assist by A. Burks),,66,93
3,5:47.0,,Def 3 sec tech foul by Team,66,93
3,5:47.0,,J. Harden makes technical free throw,66,94
3,5:42.0,,J. Harden misses 3-pt jump shot from 26 ft,66,94
3,5:39.0,Defensive rebound by C. Osman,,66,94
3,5:37.0,A. Burks makes 2-pt layup from 3 ft (assist by C. Osman),,68,94
3,5:27.0,,Turnover by G. Green (lost ball; steal by C. Osman),68,94
3,5:18.0,C. Sexton misses 2-pt jump shot from 19 ft,,68,94
3,5:16.0,,Defensive rebound by J. Harden,68,94
3,5:08.0,,Shooting foul by A. Burks (drawn by J. Harden),68,94
3,5:08.0,,J. Harden makes free throw 1 of 3,68,95
3,5:08.0,,J. Harden makes free throw 2 of 3,68,96
3,5:08.0,M. Dellavedova enters the game for C. Sexton,,68,96
3,5:08.0,,J. Ennis enters the game for D. House,68,96
3,5:08.0,,J. Harden makes free throw 3 of 3,68,97
3,4:55.0,Turnover by M. Dellavedova (bad pass; steal by C. Capela),,68,97
3,4:45.0,,J. Harden makes 2-pt layup from 2 ft,68,99
3,4:44.0,Cleveland full timeout,,68,99
3,4:44.0,A. Žižić enters the game for T. Thompson,,68,99
3,4:25.0,J. Clarkson makes 2-pt jump shot from 18 ft,,70,99
3,4:09.0,,G. Green misses 2-pt jump shot from 10 ft,70,99
3,4:07.0,Defensive rebound by A. Burks,,70,99
3,3:59.0,C. Osman misses 3-pt jump shot from 26 ft,,70,99
3,3:55.0,,Defensive rebound by J. Ennis,70,99
3,3:43.0,,C. Capela misses 2-pt hook shot from 3 ft,70,99
3,3:42.0,Defensive rebound by M. Dellavedova,,70,99
3,3:32.0,A. Žižić makes 2-pt jump shot from 11 ft (assist by M. Dellavedova),,72,99
3,3:11.0,,G. Green misses 3-pt jump shot from 23 ft,72,99
3,3:09.0,Defensive rebound by A. Žižić,,72,99
3,3:02.0,A. Burks makes 2-pt layup from 4 ft,,74,99
3,2:42.0,,C. Capela makes 2-pt layup from 4 ft (assist by J. Ennis),74,101
3,2:42.0,,Shooting foul by A. Burks (drawn by C. Capela),74,101
3,2:42.0,,C. Capela makes free throw 1 of 1,74,102
3,2:25.0,J. Clarkson misses 2-pt jump shot from 8 ft (block by J. Ennis),,74,102
3,2:23.0,,Defensive rebound by P. Tucker,74,102
3,2:17.0,,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),74,104
3,2:02.0,C. Osman makes 2-pt layup from 3 ft (assist by A. Burks),,76,104
3,1:56.0,,C. Capela makes 2-pt layup from 3 ft (assist by J. Harden),76,106
3,1:44.0,Turnover by M. Dellavedova (bad pass; steal by J. Ennis),,76,106
3,1:41.0,,Shooting foul by A. Burks (drawn by J. Ennis),76,106
3,1:41.0,,J. Ennis makes free throw 1 of 2,76,107
3,1:41.0,J. Jones enters the game for A. Burks,,76,107
3,1:41.0,C. Payne enters the game for C. Osman,,76,107
3,1:41.0,,J. Ennis makes free throw 2 of 2,76,108
3,1:25.0,J. Jones misses 3-pt jump shot from 23 ft,,76,108
3,1:22.0,,Defensive rebound by J. Harden,76,108
3,1:11.0,,J. Harden makes 3-pt jump shot from 27 ft,76,111
3,0:51.0,J. Jones makes 3-pt jump shot from 26 ft (assist by J. Clarkson),,79,111
3,0:40.0,,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),79,113
3,0:40.0,,Shooting foul by C. Payne (drawn by C. Capela),79,113
3,0:40.0,,C. Capela misses free throw 1 of 1,79,113
3,0:40.0,Defensive rebound by A. Žižić,,79,113
3,0:28.0,C. Payne makes 2-pt layup from 4 ft,,81,113
3,0:08.0,,J. Harden misses 3-pt jump shot from 27 ft,81,113
3,0:06.0,,Offensive rebound by J. Ennis,81,113
3,0:04.0,,P. Tucker misses 3-pt jump shot from 23 ft,81,113
3,0:01.0,Defensive rebound by J. Clarkson,,81,113
4,11:49.0,,A. Rivers makes 2-pt layup from 3 ft (assist by M. Chriss),81,115
4,11:36.0,Personal foul by B. Knight (drawn by A. Žižić),,81,115
4,11:24.0,M. Dellavedova misses 2-pt jump shot from 10 ft,,81,115
4,11:21.0,,Defensive rebound by D. House,81,115
4,11:16.0,,B. Knight makes 2-pt layup from 4 ft,81,117
4,11:01.0,Turnover by C. Payne (lost ball; steal by M. Chriss),,81,117
4,10:58.0,,Personal foul by M. Dellavedova (drawn by B. Knight),81,117
4,10:50.0,,B. Knight misses 3-pt jump shot from 28 ft,81,117
4,10:47.0,Defensive rebound by J. Jones,,81,117
4,10:44.0,J. Jones misses 2-pt layup from 3 ft,,81,117
4,10:44.0,,Defensive rebound by Team,81,117
4,10:44.0,Loose ball foul by J. Jones (drawn by M. Chriss),,81,117
4,10:22.0,,M. Chriss makes 2-pt dunk from 1 ft (assist by A. Rivers),81,119
4,10:12.0,J. Clarkson misses 3-pt jump shot from 28 ft,,81,119
4,10:10.0,,Defensive rebound by D. House,81,119
4,10:04.0,,A. Rivers misses 3-pt jump shot from 25 ft,81,119
4,10:01.0,Defensive rebound by Team,,81,119
4,9:47.0,A. Žižić misses 2-pt hook shot from 7 ft,,81,119
4,9:45.0,,Defensive rebound by G. Clark,81,119
4,9:34.0,,Shooting foul by J. Jones (drawn by B. Knight),81,119
4,9:34.0,,B. Knight makes free throw 1 of 2,81,120
4,9:34.0,,B. Knight makes free throw 2 of 2,81,121
4,9:18.0,J. Clarkson makes 3-pt jump shot from 27 ft (assist by M. Dellavedova),,84,121
4,9:01.0,,M. Chriss misses 2-pt dunk from 3 ft,84,121
4,9:01.0,,Offensive rebound by Team,84,121
4,9:01.0,,Turnover by M. Chriss (off goaltending),84,121
4,9:01.0,,G. Green enters the game for A. Rivers,84,121
4,8:46.0,J. Clarkson misses 3-pt jump shot from 27 ft,,84,121
4,8:42.0,,Defensive rebound by M. Chriss,84,121
4,8:32.0,,D. House makes 3-pt jump shot from 24 ft (assist by B. Knight),84,124
4,8:20.0,M. Dellavedova misses 3-pt jump shot from 27 ft,,84,124
4,8:20.0,,Defensive rebound by G. Green,84,124
4,8:12.0,,G. Green misses 3-pt jump shot from 26 ft,84,124
4,8:08.0,Defensive rebound by A. Žižić,,84,124
4,8:04.0,C. Payne misses 3-pt jump shot from 26 ft,,84,124
4,8:02.0,,Defensive rebound by M. Chriss,84,124
4,7:54.0,,B. Knight misses 3-pt jump shot from 26 ft,84,124
4,7:52.0,Defensive rebound by C. Payne,,84,124
4,7:44.0,Turnover by C. Payne (bad pass; steal by G. Green),,84,124
4,7:40.0,,Turnover by D. House (lost ball; steal by J. Clarkson),84,124
4,7:33.0,C. Payne makes 3-pt jump shot from 23 ft (assist by J. Jones),,87,124
4,7:19.0,,M. Chriss misses 3-pt jump shot from 26 ft,87,124
4,7:16.0,Defensive rebound by J. Jones,,87,124
4,7:06.0,Shooting foul by M. Chriss (drawn by J. Jones),,87,124
4,7:06.0,J. Jones misses free throw 1 of 2,,87,124
4,7:06.0,Offensive rebound by Team,,87,124
4,7:06.0,J. Jones makes free throw 2 of 2,,88,124
4,6:54.0,,Shooting foul by A. Žižić (drawn by D. House),88,124
4,6:54.0,,Houston full timeout,88,124
4,6:54.0,,J. Ennis enters the game for G. Green,88,124
4,6:54.0,,D. House makes free throw 1 of 2,88,125
4,6:54.0,,D. House makes free throw 2 of 2,88,126
4,6:41.0,J. Clarkson misses 3-pt jump shot from 25 ft,,88,126
4,6:38.0,,Defensive rebound by M. Chriss,88,126
4,6:29.0,,G. Clark misses 3-pt jump shot from 24 ft,88,126
4,6:25.0,,Offensive rebound by J. Ennis,88,126
4,6:23.0,,J. Ennis misses 3-pt jump shot from 23 ft (block by C. Payne),88,126
4,6:20.0,,Offensive rebound by M. Chriss,88,126
4,6:18.0,,J. Ennis makes 2-pt layup from 4 ft (assist by M. Chriss),88,128
4,6:18.0,,Shooting foul by J. Clarkson (drawn by J. Ennis),88,128
4,6:18.0,,J. Ennis misses free throw 1 of 1,88,128
4,6:18.0,Defensive rebound by J. Clarkson,,88,128
4,5:54.0,J. Clarkson misses 3-pt jump shot from 27 ft,,88,128
4,5:53.0,,Defensive rebound by Team,88,128
4,5:53.0,C. Sexton enters the game for M. Dellavedova,,88,128
4,5:40.0,,D. House makes 3-pt jump shot from 25 ft,88,131
4,5:18.0,A. Žižić makes 2-pt hook shot from 5 ft,,90,131
4,5:08.0,,J. Ennis makes 3-pt jump shot from 23 ft (assist by G. Clark),90,134
4,4:53.0,C. Sexton misses 2-pt layup from 8 ft (block by M. Chriss),,90,134
4,4:52.0,Offensive rebound by A. Žižić,,90,134
4,4:52.0,Shooting foul by D. House (drawn by A. Žižić),,90,134
4,4:52.0,A. Žižić makes free throw 1 of 2,,91,134
4,4:52.0,J. Blossomgame enters the game for J. Clarkson,,91,134
4,4:52.0,A. Žižić makes free throw 2 of 2,,92,134
4,4:35.0,,B. Knight misses 3-pt jump shot from 26 ft,92,134
4,4:28.0,,Offensive rebound by M. Chriss,92,134
4,4:27.0,,M. Chriss makes 2-pt layup from 3 ft,92,136
4,4:07.0,J. Jones makes 3-pt jump shot from 24 ft (assist by C. Payne),,95,136
4,3:49.0,,G. Clark misses 3-pt jump shot from 24 ft,95,136
4,3:47.0,Defensive rebound by A. Žižić,,95,136
4,3:42.0,Shooting foul by M. Chriss (drawn by J. Jones),,95,136
4,3:42.0,J. Jones makes free throw 1 of 2,,96,136
4,3:42.0,J. Jones makes free throw 2 of 2,,97,136
4,3:31.0,,D. House makes 3-pt jump shot from 27 ft (assist by B. Knight),97,139
4,3:13.0,J. Blossomgame makes 2-pt layup from 2 ft (assist by C. Payne),,99,139
4,3:06.0,,Turnover by B. Knight (offensive foul),99,139
4,3:06.0,,Offensive foul by B. Knight (drawn by C. Sexton),99,139
