QUARTER,TIME_REMAINING,MINNESOTA_ACTION,SAN ANTONIO_ACTION,MINNESOTA_SCORE,SAN ANTONIO_SCORE
2,7:43.0,,M. Belinelli makes 3-pt jump shot from 27 ft (assist by B. Forbes),26,44
2,7:35.0,Minnesota full timeout,,26,44
2,7:35.0,,D. DeRozan enters the game for D. White,26,44
2,7:18.0,K. Towns misses 3-pt jump shot from 25 ft,,26,44
2,7:14.0,,Defensive rebound by D. DeRozan,26,44
2,7:10.0,,M. Belinelli makes 3-pt jump shot from 27 ft (assist by D. DeRozan),26,47
2,7:00.0,Shooting foul by R. Gay (drawn by R. Covington),,26,47
2,7:00.0,R. Covington misses free throw 1 of 2,,26,47
2,7:00.0,Offensive rebound by Team,,26,47
2,7:00.0,D. Rose enters the game for J. Okogie,,26,47
2,7:00.0,,D. Bertāns enters the game for R. Gay,26,47
2,7:00.0,R. Covington makes free throw 2 of 2,,27,47
2,6:47.0,,B. Forbes makes 2-pt jump shot from 19 ft (assist by L. Aldridge),27,49
2,6:30.0,K. Towns makes 2-pt hook shot from 8 ft (assist by D. Šarić),,29,49
2,6:22.0,,Turnover by D. DeRozan (out of bounds lost ball),29,49
2,6:11.0,D. Rose misses 2-pt layup from 6 ft,,29,49
2,6:09.0,,Defensive rebound by L. Aldridge,29,49
2,6:04.0,,D. Bertāns misses 3-pt jump shot from 23 ft,29,49
2,6:01.0,Defensive rebound by R. Covington,,29,49
2,5:56.0,Turnover by R. Covington (out of bounds lost ball),,29,49
2,5:33.0,,D. DeRozan makes 2-pt jump shot from 18 ft (assist by D. Bertāns),29,51
2,5:21.0,K. Towns makes 2-pt layup from 4 ft (assist by T. Jones),,31,51
2,5:20.0,,San Antonio full timeout,31,51
2,5:20.0,A. Wiggins enters the game for R. Covington,,31,51
2,5:20.0,,P. Mills enters the game for M. Belinelli,31,51
2,5:20.0,,D. White enters the game for B. Forbes,31,51
2,5:05.0,,P. Mills misses 2-pt layup from 5 ft,31,51
2,5:02.0,,Offensive rebound by L. Aldridge,31,51
2,5:02.0,,L. Aldridge misses 2-pt layup from 1 ft,31,51
2,5:01.0,,Offensive rebound by L. Aldridge,31,51
2,4:59.0,,L. Aldridge makes 2-pt layup from 1 ft,31,53
2,4:46.0,D. Šarić makes 2-pt layup from 7 ft (assist by D. Rose),,33,53
2,4:46.0,Shooting foul by D. White (drawn by D. Šarić),,33,53
2,4:46.0,D. Šarić makes free throw 1 of 1,,34,53
2,4:28.0,,P. Mills misses 3-pt jump shot from 27 ft,34,53
2,4:25.0,Defensive rebound by K. Towns,,34,53
2,4:14.0,D. Šarić misses 2-pt hook shot from 5 ft,,34,53
2,4:12.0,,Defensive rebound by D. Bertāns,34,53
2,4:07.0,,D. Bertāns makes 3-pt jump shot from 26 ft (assist by D. DeRozan),34,56
2,3:54.0,D. Rose misses 2-pt jump shot from 14 ft,,34,56
2,3:51.0,,Defensive rebound by D. White,34,56
2,3:47.0,,L. Aldridge makes 2-pt layup from 5 ft (assist by D. DeRozan),34,58
2,3:40.0,Minnesota full timeout,,34,58
2,3:40.0,T. Gibson enters the game for D. Šarić,,34,58
2,3:40.0,,M. Belinelli enters the game for D. White,34,58
2,3:36.0,Turnover by A. Wiggins (bad pass; steal by P. Mills),,34,58
2,3:36.0,,Shooting foul by A. Wiggins (drawn by D. DeRozan),34,58
2,3:36.0,,D. DeRozan makes free throw 1 of 2,34,59
2,3:36.0,,J. Poeltl enters the game for D. Bertāns,34,59
2,3:36.0,,D. DeRozan makes free throw 2 of 2,34,60
2,3:17.0,Shooting foul by D. DeRozan (drawn by A. Wiggins),,34,60
2,3:17.0,A. Wiggins makes free throw 1 of 2,,35,60
2,3:17.0,A. Wiggins makes free throw 2 of 2,,36,60
2,3:00.0,,J. Poeltl misses 2-pt layup from 4 ft,36,60
2,3:00.0,,Offensive rebound by Team,36,60
2,2:57.0,,D. DeRozan makes 2-pt layup from 6 ft (assist by M. Belinelli),36,62
2,2:46.0,Shooting foul by M. Belinelli (drawn by T. Jones),,36,62
2,2:46.0,T. Jones makes free throw 1 of 2,,37,62
2,2:46.0,T. Jones makes free throw 2 of 2,,38,62
2,2:35.0,,Personal foul by T. Gibson (drawn by L. Aldridge),38,62
2,2:27.0,,D. DeRozan misses 2-pt jump shot from 9 ft,38,62
2,2:26.0,,Offensive rebound by J. Poeltl,38,62
2,2:26.0,,J. Poeltl misses 2-pt layup from 1 ft,38,62
2,2:26.0,Defensive rebound by Team,,38,62
2,2:11.0,A. Wiggins misses 3-pt jump shot from 27 ft,,38,62
2,2:07.0,,Defensive rebound by L. Aldridge,38,62
2,1:54.0,,L. Aldridge misses 2-pt jump shot from 12 ft,38,62
2,1:51.0,Defensive rebound by A. Wiggins,,38,62
2,1:45.0,Shooting foul by L. Aldridge (drawn by A. Wiggins),,38,62
2,1:45.0,A. Wiggins misses free throw 1 of 2,,38,62
2,1:45.0,Offensive rebound by Team,,38,62
2,1:45.0,,D. Bertāns enters the game for L. Aldridge,38,62
2,1:45.0,A. Wiggins makes free throw 2 of 2,,39,62
2,1:32.0,,Turnover by D. Bertāns (traveling),39,62
2,1:19.0,Shooting foul by J. Poeltl (drawn by K. Towns),,39,62
2,1:19.0,K. Towns misses free throw 1 of 2,,39,62
2,1:19.0,Offensive rebound by Team,,39,62
2,1:19.0,J. Okogie enters the game for D. Rose,,39,62
2,1:19.0,K. Towns makes free throw 2 of 2,,40,62
2,1:05.0,,D. Bertāns misses 2-pt layup from 6 ft,40,62
2,1:03.0,Defensive rebound by T. Gibson,,40,62
2,0:57.0,A. Wiggins makes 2-pt layup from 5 ft,,42,62
2,0:40.0,,Shooting foul by K. Towns (drawn by D. DeRozan),42,62
2,0:40.0,,D. DeRozan misses free throw 1 of 2,42,62
2,0:40.0,,Offensive rebound by Team,42,62
2,0:40.0,,D. DeRozan misses free throw 2 of 2,42,62
2,0:37.0,Defensive rebound by K. Towns,,42,62
2,0:32.0,T. Jones makes 2-pt layup from 6 ft,,44,62
2,0:08.0,,D. DeRozan misses 2-pt layup from 7 ft,44,62
2,0:06.0,Defensive rebound by K. Towns,,44,62
2,0:00.0,K. Towns misses 2-pt layup from 7 ft,,44,62
2,0:00.0,,Defensive rebound by D. Bertāns,44,62
3,11:45.0,,R. Gay misses 2-pt jump shot from 17 ft,44,62
3,11:41.0,Defensive rebound by A. Wiggins,,44,62
3,11:29.0,Personal foul by L. Aldridge (drawn by T. Jones),,44,62
3,11:18.0,K. Towns misses 2-pt dunk from 7 ft,,44,62
3,11:16.0,,Defensive rebound by D. DeRozan,44,62
3,11:03.0,,R. Gay makes 2-pt jump shot from 8 ft,44,64
3,10:48.0,Shooting foul by R. Gay (drawn by T. Gibson),,44,64
3,10:48.0,T. Gibson makes free throw 1 of 2,,45,64
3,10:48.0,,D. Bertāns enters the game for L. Aldridge,45,64
3,10:48.0,,J. Poeltl enters the game for R. Gay,45,64
3,10:48.0,T. Gibson misses free throw 2 of 2,,45,64
3,10:47.0,,Defensive rebound by D. DeRozan,45,64
3,10:38.0,,B. Forbes misses 2-pt jump shot from 17 ft,45,64
3,10:35.0,Defensive rebound by R. Covington,,45,64
3,10:31.0,Personal foul by D. Bertāns (drawn by T. Gibson),,45,64
3,10:21.0,A. Wiggins misses 3-pt jump shot from 29 ft,,45,64
3,10:17.0,,Defensive rebound by J. Poeltl,45,64
3,10:08.0,,D. Bertāns makes 3-pt jump shot from 25 ft (assist by D. DeRozan),45,67
3,10:01.0,Turnover by K. Towns (lost ball; steal by D. White),,45,67
3,9:55.0,,B. Forbes makes 2-pt jump shot from 7 ft,45,69
3,9:53.0,Minnesota full timeout,,45,69
3,9:36.0,Turnover by T. Jones (bad pass),,45,69
3,9:22.0,,D. Bertāns misses 3-pt jump shot from 26 ft,45,69
3,9:19.0,Defensive rebound by A. Wiggins,,45,69
3,9:13.0,K. Towns misses 3-pt jump shot from 26 ft,,45,69
3,9:10.0,Offensive rebound by R. Covington,,45,69
3,8:57.0,T. Jones misses 2-pt jump shot from 20 ft,,45,69
3,8:54.0,,Defensive rebound by J. Poeltl,45,69
3,8:46.0,,J. Poeltl makes 2-pt jump shot from 13 ft (assist by B. Forbes),45,71
3,8:34.0,A. Wiggins makes 2-pt layup from 6 ft (assist by K. Towns),,47,71
3,8:22.0,,Turnover by D. DeRozan (lost ball; steal by R. Covington),47,71
3,8:19.0,T. Jones misses 2-pt layup from 5 ft,,47,71
3,8:13.0,Offensive rebound by T. Gibson,,47,71
3,8:13.0,T. Gibson makes 2-pt dunk from 1 ft,,49,71
3,8:04.0,,D. DeRozan makes 2-pt jump shot from 21 ft (assist by D. White),49,73
3,7:46.0,A. Wiggins makes 2-pt jump shot from 18 ft,,51,73
3,7:28.0,,J. Poeltl makes 2-pt layup from 4 ft (assist by B. Forbes),51,75
3,7:21.0,R. Covington makes 2-pt jump shot from 18 ft (assist by T. Jones),,53,75
3,7:02.0,,B. Forbes misses 3-pt jump shot from 27 ft,53,75
3,7:02.0,Defensive rebound by T. Gibson,,53,75
3,6:50.0,Shooting foul by J. Poeltl (drawn by K. Towns),,53,75
3,6:50.0,K. Towns makes free throw 1 of 2,,54,75
3,6:50.0,,R. Gay enters the game for D. Bertāns,54,75
3,6:50.0,K. Towns makes free throw 2 of 2,,55,75
3,6:36.0,,B. Forbes misses 2-pt jump shot from 11 ft,55,75
3,6:33.0,Defensive rebound by A. Wiggins,,55,75
3,6:26.0,R. Covington makes 2-pt jump shot from 21 ft (assist by K. Towns),,57,75
3,6:08.0,,R. Gay makes 2-pt jump shot from 12 ft,57,77
3,6:08.0,,Shooting foul by K. Towns (drawn by R. Gay),57,77
3,6:08.0,,R. Gay misses free throw 1 of 1,57,77
3,6:05.0,Defensive rebound by T. Gibson,,57,77
3,5:49.0,K. Towns misses 2-pt jump shot from 8 ft,,57,77
3,5:46.0,,Defensive rebound by D. DeRozan,57,77
3,5:36.0,,Turnover by D. DeRozan (lost ball; steal by R. Covington),57,77
3,5:36.0,Personal foul by D. DeRozan (drawn by A. Wiggins),,57,77
3,5:36.0,,Technical foul by D. DeRozan,57,77
3,5:36.0,K. Towns makes technical free throw,,58,77
3,5:36.0,A. Wiggins makes free throw 1 of 2,,59,77
3,5:36.0,A. Wiggins makes free throw 2 of 2,,60,77
3,5:20.0,,D. DeRozan makes 2-pt jump shot from 9 ft,60,79
3,5:09.0,K. Towns makes 3-pt jump shot from 27 ft (assist by T. Jones),,63,79
3,4:45.0,,Turnover by B. Forbes (lost ball; steal by R. Covington),63,79
3,4:30.0,T. Gibson makes 2-pt layup from 5 ft,,65,79
3,4:29.0,,San Antonio full timeout,65,79
3,4:29.0,,L. Aldridge enters the game for B. Forbes,65,79
3,4:29.0,,M. Belinelli enters the game for J. Poeltl,65,79
3,4:29.0,,P. Mills enters the game for D. White,65,79
3,4:10.0,,L. Aldridge misses 2-pt jump shot from 5 ft,65,79
3,4:07.0,Defensive rebound by T. Gibson,,65,79
3,3:55.0,Personal foul by D. DeRozan (drawn by A. Wiggins),,65,79
3,3:55.0,A. Wiggins makes free throw 1 of 2,,66,79
3,3:55.0,A. Wiggins makes free throw 2 of 2,,67,79
3,3:35.0,,Personal foul by A. Wiggins (drawn by D. DeRozan),67,79
3,3:23.0,,P. Mills makes 3-pt jump shot from 26 ft (assist by L. Aldridge),67,82
3,3:09.0,Turnover by A. Wiggins (step out of bounds),,67,82
3,2:49.0,,Shooting foul by T. Gibson (drawn by R. Gay),67,82
3,2:49.0,,R. Gay makes free throw 1 of 2,67,83
3,2:49.0,,R. Gay makes free throw 2 of 2,67,84
3,2:31.0,R. Covington misses 2-pt layup from 5 ft (block by L. Aldridge),,67,84
3,2:27.0,,Defensive rebound by P. Mills,67,84
3,2:27.0,J. Okogie enters the game for R. Covington,,67,84
3,2:06.0,,R. Gay misses 2-pt jump shot from 21 ft,67,84
3,2:02.0,,Offensive rebound by P. Mills,67,84
3,1:56.0,,M. Belinelli misses 2-pt layup from 7 ft (block by T. Gibson),67,84
3,1:51.0,Defensive rebound by A. Wiggins,,67,84
3,1:41.0,K. Towns misses 3-pt jump shot from 24 ft,,67,84
3,1:36.0,Offensive rebound by T. Gibson,,67,84
3,1:36.0,T. Gibson makes 2-pt layup from 1 ft,,69,84
3,1:25.0,,P. Mills misses 2-pt jump shot from 15 ft,69,84
3,1:22.0,,Offensive rebound by M. Belinelli,69,84
3,1:20.0,,P. Mills misses 3-pt jump shot from 25 ft,69,84
3,1:16.0,Defensive rebound by J. Okogie,,69,84
3,0:59.0,A. Wiggins misses 2-pt jump shot from 18 ft,,69,84
3,0:56.0,,Defensive rebound by R. Gay,69,84
3,0:44.0,,R. Gay misses 2-pt jump shot from 7 ft (block by T. Gibson),69,84
3,0:40.0,Defensive rebound by T. Gibson,,69,84
3,0:38.0,T. Jones misses 2-pt jump shot from 8 ft,,69,84
3,0:34.0,,Defensive rebound by P. Mills,69,84
3,0:10.0,,L. Aldridge makes 3-pt jump shot from 27 ft (assist by P. Mills),69,87
3,0:05.0,T. Jones makes 2-pt jump shot from 12 ft,,71,87
3,0:00.0,,D. DeRozan misses 2-pt jump shot from 18 ft (block by J. Okogie),71,87
3,0:00.0,,Offensive rebound by Team,71,87
4,11:42.0,Turnover by D. Šarić (lost ball; steal by P. Mills),,71,87
4,11:30.0,,B. Forbes makes 3-pt jump shot from 27 ft (assist by P. Mills),71,90
4,11:16.0,J. Okogie misses 2-pt jump shot from 18 ft,,71,90
4,11:13.0,Offensive rebound by R. Covington,,71,90
4,11:12.0,R. Covington misses 3-pt jump shot from 26 ft,,71,90
4,11:09.0,,Defensive rebound by D. Bertāns,71,90
4,11:02.0,,Turnover by P. Mills (lost ball; steal by J. Bayless),71,90
4,11:00.0,Turnover by J. Bayless (lost ball; steal by M. Belinelli),,71,90
4,10:58.0,,M. Belinelli misses 3-pt jump shot from 27 ft,71,90
4,10:57.0,,Offensive rebound by J. Poeltl,71,90
4,10:56.0,,J. Poeltl makes 2-pt layup at rim,71,92
4,10:39.0,G. Dieng makes 2-pt jump shot from 19 ft (assist by D. Šarić),,73,92
4,10:39.0,Shooting foul by J. Poeltl (drawn by J. Okogie),,73,92
4,10:39.0,J. Okogie makes free throw 1 of 1,,74,92
4,10:28.0,,Personal foul by R. Covington (drawn by M. Belinelli),74,92
4,10:28.0,,Personal foul by J. Bayless (drawn by P. Mills),74,92
4,10:18.0,,M. Belinelli makes 3-pt jump shot from 24 ft (assist by P. Mills),74,95
4,10:02.0,G. Dieng misses 3-pt jump shot from 24 ft,,74,95
4,9:59.0,,Defensive rebound by M. Belinelli,74,95
4,9:46.0,,D. Bertāns makes 3-pt jump shot from 27 ft (assist by M. Belinelli),74,98
4,9:28.0,Turnover by D. Šarić (lost ball; steal by P. Mills),,74,98
4,9:23.0,,M. Belinelli misses 3-pt jump shot from 26 ft,74,98
4,9:19.0,Defensive rebound by D. Šarić,,74,98
4,9:15.0,J. Bayless misses 2-pt jump shot from 7 ft,,74,98
4,9:12.0,,Defensive rebound by B. Forbes,74,98
4,9:09.0,,Shooting foul by J. Okogie (drawn by B. Forbes),74,98
4,9:09.0,,B. Forbes makes free throw 1 of 2,74,99
4,9:09.0,,B. Forbes makes free throw 2 of 2,74,100
4,8:52.0,G. Dieng misses 2-pt jump shot from 14 ft,,74,100
4,8:48.0,Offensive rebound by D. Šarić,,74,100
4,8:46.0,R. Covington makes 3-pt jump shot from 27 ft (assist by J. Bayless),,77,100
4,8:26.0,,D. Bertāns makes 3-pt jump shot from 27 ft (assist by B. Forbes),77,103
4,8:10.0,D. Šarić misses 2-pt jump shot from 17 ft,,77,103
4,8:07.0,,Defensive rebound by B. Forbes,77,103
4,7:55.0,,B. Forbes misses 2-pt jump shot from 7 ft,77,103
4,7:51.0,Defensive rebound by R. Covington,,77,103
4,7:49.0,R. Covington misses 2-pt layup from 2 ft (block by P. Mills),,77,103
4,7:48.0,Offensive rebound by J. Okogie,,77,103
4,7:43.0,J. Okogie makes 2-pt layup from 6 ft,,79,103
4,7:16.0,,Turnover by M. Belinelli (lost ball; steal by R. Covington),79,103
4,7:12.0,J. Bayless makes 2-pt layup from 5 ft (assist by R. Covington),,81,103
4,7:12.0,,San Antonio full timeout,81,103
4,7:12.0,,D. White enters the game for P. Mills,81,103
4,7:05.0,,Personal foul by G. Dieng (drawn by J. Poeltl),81,103
4,6:52.0,,M. Belinelli misses 3-pt jump shot from 24 ft,81,103
4,6:49.0,Defensive rebound by G. Dieng,,81,103
4,6:43.0,Turnover by J. Okogie (bad pass; steal by D. Bertāns),,81,103
4,6:37.0,,D. Bertāns misses 2-pt dunk from 7 ft (block by R. Covington),81,103
4,6:32.0,,Offensive rebound by M. Belinelli,81,103
4,6:27.0,,Turnover by D. White (bad pass; steal by R. Covington),81,103
4,6:22.0,J. Okogie makes 2-pt layup from 5 ft (assist by D. Šarić),,83,103
4,6:09.0,,D. White makes 2-pt jump shot from 11 ft,83,105
4,5:52.0,J. Bayless misses 3-pt jump shot from 27 ft,,83,105
4,5:50.0,,Defensive rebound by D. Bertāns,83,105
4,5:32.0,,D. White makes 2-pt jump shot from 15 ft (assist by B. Forbes),83,107
4,5:32.0,,Shooting foul by J. Bayless (drawn by D. White),83,107
4,5:32.0,,D. White makes free throw 1 of 1,83,108
4,5:19.0,R. Covington misses 3-pt jump shot from 26 ft,,83,108
4,5:14.0,,Defensive rebound by M. Belinelli,83,108
4,5:07.0,,Turnover by J. Poeltl (3 sec),83,108
4,5:07.0,,Q. Pondexter enters the game for M. Belinelli,83,108
4,4:53.0,R. Covington makes 2-pt layup from 3 ft (assist by J. Bayless),,85,108
4,4:37.0,,D. Bertāns makes 3-pt jump shot from 27 ft (assist by B. Forbes),85,111
4,4:19.0,J. Bayless makes 3-pt jump shot from 27 ft (assist by J. Okogie),,88,111
4,4:19.0,,San Antonio full timeout,88,111
4,4:19.0,J. Nunnally enters the game for R. Covington,,88,111
4,4:19.0,A. Tolliver enters the game for D. Šarić,,88,111
