QUARTER,TIME_REMAINING,NEW YORK_ACTION,HOUSTON_ACTION,NEW YORK_SCORE,HOUSTON_SCORE
2,10:44.0,,C. Paul makes 2-pt layup from 1 ft,17,39
2,10:25.0,B. Garrett misses 2-pt jump shot from 14 ft,,17,39
2,10:21.0,,Defensive rebound by E. Gordon,17,39
2,10:06.0,,Shooting foul by B. Garrett (drawn by E. Gordon),17,39
2,10:06.0,,E. Gordon makes free throw 1 of 2,17,40
2,10:06.0,,E. Gordon makes free throw 2 of 2,17,41
2,9:54.0,J. Jenkins misses 3-pt jump shot from 24 ft,,17,41
2,9:54.0,,Defensive rebound by Team,17,41
2,9:54.0,Loose ball foul by H. Ellenson (drawn by C. Paul),,17,41
2,9:44.0,,K. Faried makes 2-pt layup from 3 ft (assist by C. Paul),17,43
2,9:43.0,,Violation by Team (delay of game),17,43
2,9:40.0,New York full timeout,,17,43
2,9:33.0,Personal foul by D. House (drawn by L. Kornet),,17,43
2,9:28.0,Turnover by H. Ellenson (lost ball; steal by E. Gordon),,17,43
2,9:23.0,,K. Faried misses 2-pt layup from 6 ft,17,43
2,9:20.0,Defensive rebound by B. Garrett,,17,43
2,9:16.0,J. Jenkins makes 3-pt jump shot from 23 ft (assist by B. Garrett),,20,43
2,8:53.0,,K. Faried misses 2-pt layup from 3 ft,20,43
2,8:52.0,Defensive rebound by L. Kornet,,20,43
2,8:42.0,H. Ellenson makes 2-pt layup from 2 ft (assist by J. Jenkins),,22,43
2,8:29.0,,A. Rivers makes 2-pt layup from 2 ft (assist by C. Paul),22,45
2,8:18.0,Turnover by L. Kornet (bad pass; steal by D. House),,22,45
2,8:11.0,,D. House misses 3-pt jump shot from 25 ft,22,45
2,8:10.0,Defensive rebound by H. Ellenson,,22,45
2,7:51.0,L. Kornet makes 2-pt jump shot from 20 ft (assist by J. Jenkins),,24,45
2,7:43.0,,A. Rivers misses 3-pt jump shot from 24 ft,24,45
2,7:42.0,Defensive rebound by H. Ellenson,,24,45
2,7:36.0,Shooting foul by D. House (drawn by H. Ellenson),,24,45
2,7:36.0,H. Ellenson misses free throw 1 of 2,,24,45
2,7:36.0,Offensive rebound by Team,,24,45
2,7:36.0,M. Robinson enters the game for L. Kornet,,24,45
2,7:36.0,,C. Capela enters the game for K. Faried,24,45
2,7:36.0,,J. Harden enters the game for D. House,24,45
2,7:36.0,,P. Tucker enters the game for C. Paul,24,45
2,7:36.0,H. Ellenson makes free throw 2 of 2,,25,45
2,7:21.0,,E. Gordon misses 3-pt jump shot from 28 ft (block by B. Garrett),25,45
2,7:20.0,Defensive rebound by M. Hezonja,,25,45
2,7:14.0,Personal foul by P. Tucker (drawn by M. Robinson),,25,45
2,7:14.0,K. Knox enters the game for H. Ellenson,,25,45
2,7:10.0,Shooting foul by C. Capela (drawn by M. Hezonja),,25,45
2,7:10.0,M. Hezonja makes free throw 1 of 2,,26,45
2,7:10.0,M. Hezonja makes free throw 2 of 2,,27,45
2,6:59.0,,J. Harden misses 3-pt jump shot from 27 ft,27,45
2,6:58.0,,Offensive rebound by P. Tucker,27,45
2,6:58.0,,P. Tucker makes 2-pt layup from 1 ft,27,47
2,6:45.0,M. Robinson makes 2-pt dunk from 1 ft (assist by M. Hezonja),,29,47
2,6:38.0,,C. Capela misses 2-pt layup from 1 ft (block by M. Robinson),29,47
2,6:38.0,Defensive rebound by K. Knox,,29,47
2,6:34.0,Offensive foul by J. Jenkins (drawn by P. Tucker),,29,47
2,6:34.0,Turnover by J. Jenkins (offensive foul),,29,47
2,6:34.0,,I. Shumpert enters the game for A. Rivers,29,47
2,6:25.0,,E. Gordon misses 3-pt jump shot from 28 ft,29,47
2,6:21.0,,Offensive rebound by C. Capela,29,47
2,6:21.0,,Shooting foul by M. Robinson (drawn by C. Capela),29,47
2,6:21.0,,C. Capela makes free throw 1 of 2,29,48
2,6:21.0,D. Dotson enters the game for B. Garrett,,29,48
2,6:21.0,,C. Capela misses free throw 2 of 2,29,48
2,6:21.0,Defensive rebound by M. Hezonja,,29,48
2,6:03.0,M. Robinson makes 2-pt dunk from 1 ft (assist by J. Jenkins),,31,48
2,5:45.0,,Turnover by J. Harden (bad pass; steal by M. Hezonja),31,48
2,5:43.0,,Violation by Team (kicked ball),31,48
2,5:39.0,Shooting foul by P. Tucker (drawn by K. Knox),,31,48
2,5:39.0,K. Knox misses free throw 1 of 2,,31,48
2,5:39.0,Offensive rebound by Team,,31,48
2,5:39.0,K. Knox misses free throw 2 of 2,,31,48
2,5:37.0,,Defensive rebound by C. Capela,31,48
2,5:31.0,,P. Tucker misses 3-pt jump shot from 23 ft,31,48
2,5:30.0,,Offensive rebound by Team,31,48
2,5:30.0,Loose ball foul by K. Knox (drawn by C. Capela),,31,48
2,5:20.0,,Shooting foul by J. Jenkins (drawn by J. Harden),31,48
2,5:20.0,,J. Harden makes free throw 1 of 3,31,49
2,5:20.0,,J. Harden makes free throw 2 of 3,31,50
2,5:20.0,,J. Harden makes free throw 3 of 3,31,51
2,5:06.0,Turnover by M. Hezonja (traveling),,31,51
2,4:57.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by E. Gordon),31,54
2,4:49.0,New York full timeout,,31,54
2,4:37.0,D. Dotson misses 2-pt jump shot from 17 ft,,31,54
2,4:34.0,,Defensive rebound by C. Capela,31,54
2,4:29.0,,J. Harden makes 3-pt jump shot from 26 ft,31,57
2,4:11.0,M. Hezonja misses 2-pt layup from 2 ft,,31,57
2,4:09.0,,Defensive rebound by C. Capela,31,57
2,4:01.0,,J. Harden misses 2-pt jump shot from 5 ft,31,57
2,4:00.0,Defensive rebound by Team,,31,57
2,4:00.0,,C. Paul enters the game for E. Gordon,31,57
2,3:52.0,D. Dotson misses 3-pt jump shot from 27 ft,,31,57
2,3:50.0,,Defensive rebound by P. Tucker,31,57
2,3:40.0,,J. Harden makes 3-pt jump shot from 25 ft (assist by P. Tucker),31,60
2,3:25.0,K. Knox makes 3-pt jump shot from 26 ft (assist by M. Hezonja),,34,60
2,2:59.0,,J. Harden makes 2-pt layup from 1 ft (assist by C. Paul),34,62
2,2:44.0,M. Hezonja misses 3-pt jump shot from 27 ft,,34,62
2,2:43.0,,Defensive rebound by J. Harden,34,62
2,2:26.0,,J. Harden makes 2-pt layup from 2 ft,34,64
2,2:12.0,M. Hezonja makes 2-pt layup at rim,,36,64
2,2:04.0,,I. Shumpert makes 2-pt layup from 2 ft (assist by C. Paul),36,66
2,1:45.0,K. Knox misses 3-pt jump shot from 27 ft,,36,66
2,1:43.0,,Defensive rebound by J. Harden,36,66
2,1:38.0,,C. Paul misses 3-pt jump shot from 26 ft,36,66
2,1:35.0,Defensive rebound by J. Jenkins,,36,66
2,1:31.0,Personal foul by C. Capela (drawn by M. Robinson),,36,66
2,1:31.0,M. Robinson makes free throw 1 of 2,,37,66
2,1:31.0,B. Garrett enters the game for J. Jenkins,,37,66
2,1:31.0,M. Robinson misses free throw 2 of 2,,37,66
2,1:31.0,,Defensive rebound by C. Capela,37,66
2,1:21.0,,I. Shumpert makes 3-pt jump shot from 23 ft (assist by C. Paul),37,69
2,1:05.0,Turnover by M. Robinson (lost ball; steal by P. Tucker),,37,69
2,1:03.0,,Personal foul by M. Robinson (drawn by I. Shumpert),37,69
2,1:03.0,,I. Shumpert misses free throw 1 of 2,37,69
2,1:03.0,,Offensive rebound by Team,37,69
2,1:03.0,L. Thomas enters the game for M. Robinson,,37,69
2,1:03.0,,I. Shumpert makes free throw 2 of 2,37,70
2,0:56.0,Personal foul by P. Tucker (drawn by K. Knox),,37,70
2,0:56.0,K. Knox makes free throw 1 of 2,,38,70
2,0:56.0,K. Knox makes free throw 2 of 2,,39,70
2,0:42.0,,I. Shumpert misses 3-pt jump shot from 23 ft,39,70
2,0:41.0,Defensive rebound by M. Hezonja,,39,70
2,0:30.0,L. Thomas makes 2-pt jump shot from 22 ft (assist by M. Hezonja),,41,70
2,0:13.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),41,72
2,0:01.0,K. Knox makes 2-pt jump shot from 8 ft,,43,72
2,0:01.0,Shooting foul by P. Tucker (drawn by K. Knox),,43,72
2,0:01.0,K. Knox misses free throw 1 of 1,,43,72
2,0:01.0,,Defensive rebound by J. Harden,43,72
3,11:44.0,L. Thomas misses 3-pt jump shot from 23 ft,,43,72
3,11:43.0,,Defensive rebound by Team,43,72
3,11:23.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),43,74
3,10:58.0,K. Knox misses 2-pt layup from 3 ft,,43,74
3,10:57.0,Offensive rebound by Team,,43,74
3,10:57.0,Turnover by Team (shot clock),,43,74
3,10:39.0,,E. Gordon misses 3-pt jump shot from 28 ft,43,74
3,10:38.0,Defensive rebound by L. Thomas,,43,74
3,10:25.0,D. Dotson misses 3-pt jump shot from 28 ft,,43,74
3,10:24.0,,Defensive rebound by C. Paul,43,74
3,10:10.0,,Turnover by C. Paul (bad pass),43,74
3,9:54.0,L. Thomas misses 2-pt jump shot from 11 ft,,43,74
3,9:53.0,,Defensive rebound by C. Capela,43,74
3,9:46.0,,J. Harden misses 3-pt jump shot from 27 ft,43,74
3,9:43.0,,Offensive rebound by J. Harden,43,74
3,9:37.0,,E. Gordon makes 2-pt layup from 1 ft (assist by J. Harden),43,76
3,9:14.0,L. Thomas makes 3-pt jump shot from 26 ft (assist by D. Dotson),,46,76
3,9:06.0,,E. Gordon makes 3-pt jump shot from 31 ft (assist by J. Harden),46,79
3,8:51.0,K. Knox makes 2-pt layup from 2 ft (assist by M. Hezonja),,48,79
3,8:27.0,,P. Tucker misses 3-pt jump shot from 24 ft,48,79
3,8:26.0,Defensive rebound by L. Thomas,,48,79
3,8:19.0,Shooting foul by C. Capela (drawn by M. Robinson),,48,79
3,8:19.0,M. Robinson misses free throw 1 of 2,,48,79
3,8:19.0,Offensive rebound by Team,,48,79
3,8:19.0,M. Robinson makes free throw 2 of 2,,49,79
3,8:03.0,,E. Gordon makes 3-pt jump shot from 27 ft,49,82
3,7:47.0,L. Thomas makes 2-pt jump shot from 10 ft,,51,82
3,7:33.0,,Personal foul by M. Hezonja (drawn by C. Capela),51,82
3,7:26.0,,P. Tucker misses 3-pt jump shot from 26 ft,51,82
3,7:23.0,Defensive rebound by M. Hezonja,,51,82
3,7:18.0,Turnover by K. Knox (lost ball; steal by C. Paul),,51,82
3,7:14.0,,C. Paul makes 3-pt jump shot from 27 ft,51,85
3,7:13.0,New York full timeout,,51,85
3,7:13.0,,G. Green enters the game for C. Paul,51,85
3,7:00.0,D. Dotson misses 3-pt jump shot from 22 ft,,51,85
3,6:59.0,,Defensive rebound by P. Tucker,51,85
3,6:44.0,,J. Harden misses 2-pt layup from 2 ft,51,85
3,6:43.0,Defensive rebound by M. Robinson,,51,85
3,6:35.0,Personal foul by G. Green (drawn by K. Knox),,51,85
3,6:25.0,Turnover by M. Hezonja (bad pass; steal by J. Harden),,51,85
3,6:18.0,,Turnover by J. Harden (bad pass; steal by M. Robinson),51,85
3,6:15.0,Shooting foul by J. Harden (drawn by L. Thomas),,51,85
3,6:15.0,L. Thomas misses free throw 1 of 2,,51,85
3,6:15.0,Offensive rebound by Team,,51,85
3,6:15.0,L. Thomas makes free throw 2 of 2,,52,85
3,6:01.0,,E. Gordon misses 3-pt jump shot from 28 ft,52,85
3,6:00.0,Defensive rebound by M. Hezonja,,52,85
3,5:54.0,Personal foul by J. Harden (drawn by L. Thomas),,52,85
3,5:54.0,,I. Shumpert enters the game for E. Gordon,52,85
3,5:46.0,K. Knox misses 2-pt layup from 4 ft,,52,85
3,5:41.0,,Defensive rebound by C. Capela,52,85
3,5:36.0,,J. Harden misses 3-pt jump shot from 28 ft,52,85
3,5:35.0,Defensive rebound by M. Hezonja,,52,85
3,5:29.0,Shooting foul by G. Green (drawn by M. Hezonja),,52,85
3,5:29.0,M. Hezonja makes free throw 1 of 2,,53,85
3,5:29.0,M. Hezonja misses free throw 2 of 2,,53,85
3,5:27.0,,Defensive rebound by C. Capela,53,85
3,5:16.0,,G. Green misses 3-pt jump shot from 26 ft,53,85
3,5:14.0,Defensive rebound by K. Knox,,53,85
3,5:00.0,D. Dotson makes 3-pt jump shot from 23 ft (assist by M. Robinson),,56,85
3,4:48.0,,I. Shumpert misses 3-pt jump shot from 27 ft,56,85
3,4:47.0,Defensive rebound by D. Dotson,,56,85
3,4:47.0,,K. Faried enters the game for C. Capela,56,85
3,4:47.0,,A. Rivers enters the game for P. Tucker,56,85
3,4:25.0,K. Knox makes 2-pt layup from 2 ft,,58,85
3,4:08.0,,K. Faried makes 2-pt layup from 4 ft (assist by J. Harden),58,87
3,3:57.0,M. Robinson makes 2-pt dunk from 1 ft (assist by M. Hezonja),,60,87
3,3:37.0,,J. Harden makes 2-pt jump shot from 4 ft,60,89
3,3:37.0,,Shooting foul by M. Robinson (drawn by J. Harden),60,89
3,3:37.0,,J. Harden makes free throw 1 of 1,60,90
3,3:26.0,K. Knox misses 2-pt layup from 8 ft,,60,90
3,3:25.0,,Defensive rebound by A. Rivers,60,90
3,3:19.0,,G. Green makes 3-pt jump shot from 27 ft (assist by A. Rivers),60,93
3,3:02.0,M. Hezonja makes 2-pt jump shot from 11 ft,,62,93
3,2:50.0,,J. Harden misses 3-pt jump shot from 29 ft,62,93
3,2:48.0,Defensive rebound by D. Dotson,,62,93
3,2:37.0,D. Dotson misses 2-pt jump shot from 21 ft,,62,93
3,2:35.0,,Defensive rebound by Team,62,93
3,2:35.0,,Houston full timeout,62,93
3,2:35.0,H. Ellenson enters the game for M. Hezonja,,62,93
3,2:35.0,B. Garrett enters the game for L. Thomas,,62,93
3,2:35.0,,C. Paul enters the game for A. Rivers,62,93
3,2:27.0,,J. Harden makes 3-pt jump shot from 26 ft,62,96
3,2:27.0,,Shooting foul by B. Garrett (drawn by J. Harden),62,96
3,2:27.0,,J. Harden makes free throw 1 of 1,62,97
3,2:10.0,B. Garrett misses 3-pt jump shot from 27 ft,,62,97
3,2:08.0,,Defensive rebound by K. Faried,62,97
3,1:53.0,,C. Paul misses 2-pt jump shot from 13 ft,62,97
3,1:52.0,Defensive rebound by M. Robinson,,62,97
3,1:32.0,Shooting foul by C. Paul (drawn by K. Knox),,62,97
3,1:32.0,K. Knox misses free throw 1 of 2,,62,97
3,1:32.0,Offensive rebound by Team,,62,97
3,1:32.0,K. Knox misses free throw 2 of 2,,62,97
3,1:32.0,,Defensive rebound by J. Harden,62,97
3,1:18.0,,J. Harden makes 3-pt jump shot from 27 ft,62,100
3,1:00.0,H. Ellenson makes 2-pt hook shot from 8 ft,,64,100
3,0:48.0,,G. Green makes 3-pt jump shot from 23 ft (assist by C. Paul),64,103
3,0:29.0,D. Dotson misses 3-pt jump shot from 24 ft,,64,103
3,0:28.0,,Defensive rebound by K. Faried,64,103
3,0:16.0,,Personal foul by M. Robinson (drawn by J. Harden),64,103
3,0:16.0,J. Jenkins enters the game for K. Knox,,64,103
3,0:16.0,L. Kornet enters the game for M. Robinson,,64,103
3,0:03.0,,J. Harden misses 3-pt jump shot from 27 ft,64,103
3,0:02.0,Defensive rebound by D. Dotson,,64,103
4,11:48.0,,G. Green makes 3-pt jump shot from 27 ft (assist by A. Rivers),64,106
4,11:29.0,J. Jenkins misses 2-pt jump shot from 9 ft,,64,106
4,11:28.0,,Defensive rebound by I. Shumpert,64,106
4,11:18.0,,G. Green misses 3-pt jump shot from 26 ft,64,106
4,11:15.0,Defensive rebound by M. Hezonja,,64,106
4,11:13.0,Offensive foul by M. Hezonja (drawn by K. Faried),,64,106
4,11:13.0,Turnover by M. Hezonja (offensive foul),,64,106
4,10:55.0,,G. Clark misses 3-pt jump shot from 27 ft,64,106
4,10:51.0,Defensive rebound by L. Kornet,,64,106
4,10:45.0,J. Jenkins makes 3-pt jump shot from 29 ft (assist by M. Hezonja),,67,106
4,10:29.0,,K. Faried makes 2-pt jump shot from 19 ft (assist by A. Rivers),67,108
4,10:17.0,L. Kornet makes 2-pt dunk from 1 ft (assist by M. Hezonja),,69,108
4,9:55.0,,Shooting foul by L. Kornet (drawn by K. Faried),69,108
4,9:55.0,,K. Faried misses free throw 1 of 2,69,108
4,9:55.0,,Offensive rebound by Team,69,108
4,9:55.0,,K. Faried makes free throw 2 of 2,69,109
4,9:42.0,H. Ellenson makes 2-pt layup from 2 ft (assist by M. Hezonja),,71,109
4,9:30.0,,Shooting foul by H. Ellenson (drawn by I. Shumpert),71,109
4,9:30.0,,I. Shumpert misses free throw 1 of 2,71,109
4,9:30.0,,Offensive rebound by Team,71,109
4,9:30.0,,I. Shumpert makes free throw 2 of 2,71,110
4,9:22.0,Personal foul by G. Clark (drawn by L. Kornet),,71,110
4,9:12.0,L. Kornet misses 2-pt hook shot from 9 ft,,71,110
4,9:09.0,,Defensive rebound by K. Faried,71,110
4,9:02.0,,Personal foul by M. Hezonja (drawn by I. Shumpert),71,110
4,8:54.0,,K. Faried misses 2-pt layup from 7 ft,71,110
4,8:53.0,Defensive rebound by L. Kornet,,71,110
4,8:45.0,B. Garrett makes 2-pt layup from 1 ft (assist by M. Hezonja),,73,110
4,8:36.0,,G. Green misses 3-pt jump shot from 23 ft,73,110
4,8:35.0,Defensive rebound by M. Hezonja,,73,110
4,8:24.0,Turnover by J. Jenkins (bad pass),,73,110
4,8:17.0,,A. Rivers misses 2-pt layup from 2 ft (block by L. Kornet),73,110
4,8:16.0,,Offensive rebound by Team,73,110
4,8:11.0,,G. Green misses 3-pt jump shot from 23 ft,73,110
4,8:10.0,Defensive rebound by M. Hezonja,,73,110
4,8:05.0,B. Garrett misses 3-pt jump shot from 25 ft,,73,110
4,8:03.0,Offensive rebound by Team,,73,110
4,8:00.0,Personal foul by A. Rivers (drawn by L. Kornet),,73,110
4,7:48.0,H. Ellenson makes 2-pt layup from 2 ft (assist by J. Jenkins),,75,110
4,7:28.0,,A. Rivers misses 2-pt layup from 3 ft,75,110
4,7:26.0,Defensive rebound by M. Hezonja,,75,110
4,7:20.0,M. Hezonja makes 2-pt layup from 2 ft,,77,110
4,7:14.0,,Houston full timeout,77,110
4,7:14.0,,C. Chiozza enters the game for I. Shumpert,77,110
4,7:08.0,,K. Faried misses 2-pt jump shot from 5 ft,77,110
4,7:07.0,Defensive rebound by M. Hezonja,,77,110
4,6:56.0,Shooting foul by C. Chiozza (drawn by J. Jenkins),,77,110
4,6:56.0,J. Jenkins makes free throw 1 of 2,,78,110
4,6:56.0,J. Jenkins makes free throw 2 of 2,,79,110
4,6:39.0,,C. Chiozza misses 3-pt jump shot from 23 ft,79,110
4,6:38.0,Defensive rebound by M. Hezonja,,79,110
4,6:20.0,M. Hezonja makes 2-pt hook shot from 6 ft,,81,110
4,6:04.0,,A. Rivers makes 2-pt jump shot from 7 ft (assist by C. Chiozza),81,112
4,5:53.0,L. Kornet makes 2-pt dunk at rim (assist by M. Hezonja),,83,112
4,5:43.0,,K. Faried misses 2-pt dunk from 1 ft,83,112
4,5:43.0,,Offensive rebound by G. Clark,83,112
4,5:39.0,,G. Clark misses 3-pt jump shot from 27 ft,83,112
4,5:39.0,Defensive rebound by J. Jenkins,,83,112
4,5:33.0,H. Ellenson makes 3-pt jump shot from 27 ft (assist by J. Jenkins),,86,112
4,5:18.0,,G. Green misses 2-pt jump shot from 10 ft,86,112
4,5:17.0,Defensive rebound by H. Ellenson,,86,112
4,5:11.0,M. Hezonja misses 3-pt jump shot from 27 ft,,86,112
4,5:09.0,,Defensive rebound by G. Green,86,112
4,5:02.0,,A. Rivers misses 3-pt jump shot from 26 ft,86,112
4,4:59.0,Defensive rebound by L. Kornet,,86,112
4,4:49.0,B. Garrett misses 2-pt layup from 2 ft,,86,112
4,4:47.0,,Defensive rebound by G. Green,86,112
4,4:45.0,,Personal foul by H. Ellenson (drawn by G. Green),86,112
4,4:45.0,,Houston full timeout,86,112
4,4:35.0,,A. Rivers misses 3-pt jump shot from 27 ft,86,112
4,4:34.0,Defensive rebound by H. Ellenson,,86,112
4,4:10.0,Turnover by J. Jenkins (bad pass; steal by K. Faried),,86,112
