QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,TORONTO_ACTION,CHARLOTTE_SCORE,TORONTO_SCORE
2,5:49.0,,Turnover by K. Lowry (bad pass; steal by K. Walker),51,43
2,5:42.0,F. Kaminsky misses 3-pt jump shot from 25 ft,,51,43
2,5:39.0,,Defensive rebound by P. Siakam,51,43
2,5:25.0,,P. Siakam misses 2-pt jump shot from 5 ft,51,43
2,5:23.0,,Offensive rebound by K. Leonard,51,43
2,5:22.0,,K. Leonard makes 2-pt hook shot from 2 ft,51,45
2,5:03.0,F. Kaminsky misses 3-pt jump shot from 25 ft,,51,45
2,5:00.0,,Defensive rebound by P. Siakam,51,45
2,4:49.0,,K. Lowry misses 3-pt jump shot from 27 ft,51,45
2,4:47.0,Defensive rebound by M. Bridges,,51,45
2,4:30.0,M. Bridges misses 2-pt layup from 2 ft,,51,45
2,4:28.0,,Defensive rebound by K. Leonard,51,45
2,4:25.0,,S. Ibaka makes 2-pt layup from 1 ft (assist by P. Siakam),51,47
2,4:08.0,K. Walker misses 2-pt jump shot from 4 ft (block by K. Lowry),,51,47
2,4:08.0,,Defensive rebound by J. Lin,51,47
2,4:04.0,,S. Ibaka makes 2-pt dunk from 1 ft (assist by J. Lin),51,49
2,4:04.0,Charlotte full timeout,,51,49
2,4:04.0,D. Bacon enters the game for F. Kaminsky,,51,49
2,4:04.0,,M. Gasol enters the game for S. Ibaka,51,49
2,4:04.0,,D. Green enters the game for J. Lin,51,49
2,4:04.0,,F. VanVleet enters the game for K. Lowry,51,49
2,3:47.0,K. Walker misses 2-pt jump shot from 4 ft,,51,49
2,3:42.0,M. Bridges makes 2-pt dunk at rim,,53,49
2,3:42.0,Offensive rebound by M. Bridges,,53,49
2,3:20.0,,K. Leonard misses 3-pt jump shot from 26 ft,53,49
2,3:18.0,Defensive rebound by K. Walker,,53,49
2,2:57.0,D. Graham misses 3-pt jump shot from 29 ft,,53,49
2,2:54.0,,Defensive rebound by D. Green,53,49
2,2:44.0,,Personal foul by K. Walker (drawn by P. Siakam),53,49
2,2:44.0,M. Monk enters the game for D. Graham,,53,49
2,2:38.0,,M. Gasol makes 2-pt jump shot from 3 ft,53,51
2,2:38.0,,Shooting foul by M. Williams (drawn by M. Gasol),53,51
2,2:38.0,W. Hernangómez enters the game for M. Williams,,53,51
2,2:38.0,,M. Gasol makes free throw 1 of 1,53,52
2,2:19.0,M. Monk misses 2-pt jump shot from 14 ft,,53,52
2,2:16.0,,Defensive rebound by P. Siakam,53,52
2,2:05.0,,P. Siakam makes 2-pt layup from 2 ft (assist by M. Gasol),53,54
2,1:53.0,K. Walker misses 3-pt jump shot from 25 ft,,53,54
2,1:53.0,,Defensive rebound by F. VanVleet,53,54
2,1:40.0,,Turnover by K. Leonard (lost ball; steal by M. Bridges),53,54
2,1:34.0,M. Monk misses 2-pt layup from 2 ft,,53,54
2,1:32.0,,Defensive rebound by F. VanVleet,53,54
2,1:26.0,,D. Green misses 3-pt jump shot from 24 ft,53,54
2,1:25.0,Defensive rebound by W. Hernangómez,,53,54
2,1:11.0,W. Hernangómez makes 3-pt jump shot from 25 ft (assist by K. Walker),,56,54
2,0:54.0,,M. Gasol misses 3-pt jump shot from 26 ft,56,54
2,0:53.0,Defensive rebound by W. Hernangómez,,56,54
2,0:43.0,M. Monk misses 3-pt jump shot from 23 ft,,56,54
2,0:41.0,,Defensive rebound by K. Leonard,56,54
2,0:35.0,,K. Leonard makes 3-pt jump shot from 26 ft (assist by F. VanVleet),56,57
2,0:15.0,K. Walker misses 3-pt jump shot from 26 ft,,56,57
2,0:13.0,,Defensive rebound by P. Siakam,56,57
2,0:06.0,,Turnover by P. Siakam (out of bounds lost ball),56,57
2,0:06.0,F. Kaminsky enters the game for M. Bridges,,56,57
2,0:06.0,M. Williams enters the game for W. Hernangómez,,56,57
2,0:06.0,,P. McCaw enters the game for M. Gasol,56,57
2,0:00.0,Shooting foul by P. Siakam (drawn by K. Walker),,56,57
2,0:00.0,K. Walker makes free throw 1 of 2,,57,57
2,0:00.0,K. Walker makes free throw 2 of 2,,58,57
3,11:50.0,,D. Green misses 3-pt jump shot from 23 ft,58,57
3,11:46.0,Defensive rebound by M. Bridges,,58,57
3,11:35.0,M. Bridges misses 3-pt jump shot from 27 ft,,58,57
3,11:33.0,,Defensive rebound by M. Gasol,58,57
3,11:24.0,,Personal foul by M. Bridges (drawn by K. Leonard),58,57
3,11:12.0,,D. Green misses 2-pt jump shot from 8 ft,58,57
3,11:09.0,Defensive rebound by B. Biyombo,,58,57
3,11:03.0,D. Bacon makes 3-pt jump shot from 26 ft,,61,57
3,10:49.0,,M. Gasol makes 2-pt jump shot from 10 ft (assist by K. Lowry),61,59
3,10:31.0,M. Williams misses 3-pt jump shot from 25 ft,,61,59
3,10:28.0,,Defensive rebound by D. Green,61,59
3,10:16.0,,K. Leonard makes 2-pt jump shot from 17 ft,61,61
3,10:05.0,Personal foul by M. Gasol (drawn by B. Biyombo),,61,61
3,9:52.0,D. Bacon misses 2-pt jump shot from 16 ft,,61,61
3,9:51.0,Offensive rebound by B. Biyombo,,61,61
3,9:46.0,Turnover by B. Biyombo (lost ball; steal by M. Gasol),,61,61
3,9:33.0,,Shooting foul by M. Bridges (drawn by K. Leonard),61,61
3,9:33.0,,K. Leonard makes free throw 1 of 2,61,62
3,9:33.0,,K. Leonard makes free throw 2 of 2,61,63
3,9:20.0,K. Walker makes 3-pt jump shot from 26 ft (assist by B. Biyombo),,64,63
3,8:55.0,,P. Siakam misses 2-pt jump shot from 6 ft,64,63
3,8:52.0,Defensive rebound by B. Biyombo,,64,63
3,8:47.0,D. Bacon makes 3-pt jump shot from 26 ft,,67,63
3,8:28.0,,Personal foul by B. Biyombo (drawn by M. Gasol),67,63
3,8:19.0,,M. Gasol makes 2-pt layup from 1 ft (assist by K. Lowry),67,65
3,8:07.0,B. Biyombo makes 2-pt layup from 2 ft (assist by K. Walker),,69,65
3,7:48.0,,Turnover by K. Leonard (bad pass; steal by M. Williams),69,65
3,7:24.0,B. Biyombo makes 2-pt layup from 2 ft (assist by K. Walker),,71,65
3,7:24.0,,Toronto full timeout,71,65
3,7:24.0,,P. McCaw enters the game for D. Green,71,65
3,7:24.0,,F. VanVleet enters the game for P. Siakam,71,65
3,7:12.0,,K. Leonard makes 2-pt jump shot from 18 ft (assist by K. Lowry),71,67
3,6:52.0,,Violation by Team (kicked ball),71,67
3,6:52.0,J. Lamb enters the game for M. Williams,,71,67
3,6:43.0,D. Bacon misses 3-pt jump shot from 25 ft,,71,67
3,6:40.0,,Defensive rebound by F. VanVleet,71,67
3,6:31.0,,K. Leonard makes 2-pt jump shot from 18 ft (assist by M. Gasol),71,69
3,6:14.0,D. Bacon makes 3-pt jump shot from 24 ft (assist by K. Walker),,74,69
3,6:03.0,,Personal foul by M. Bridges (drawn by K. Leonard),74,69
3,6:03.0,W. Hernangómez enters the game for B. Biyombo,,74,69
3,5:54.0,,K. Leonard misses 3-pt jump shot from 26 ft,74,69
3,5:51.0,Defensive rebound by K. Walker,,74,69
3,5:43.0,J. Lamb makes 3-pt jump shot from 24 ft (assist by W. Hernangómez),,77,69
3,5:22.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by F. VanVleet),77,72
3,5:07.0,D. Bacon makes 3-pt jump shot from 24 ft (assist by W. Hernangómez),,80,72
3,4:54.0,,K. Lowry makes 2-pt layup from 1 ft,80,74
3,4:41.0,K. Walker misses 3-pt jump shot from 26 ft,,80,74
3,4:38.0,Offensive rebound by M. Bridges,,80,74
3,4:32.0,D. Bacon makes 3-pt jump shot from 24 ft (assist by K. Walker),,83,74
3,4:06.0,,M. Gasol misses 2-pt jump shot from 11 ft,83,74
3,4:03.0,Defensive rebound by W. Hernangómez,,83,74
3,3:53.0,D. Bacon misses 3-pt jump shot from 26 ft,,83,74
3,3:49.0,,Defensive rebound by F. VanVleet,83,74
3,3:35.0,,K. Lowry makes 2-pt layup from 1 ft,83,76
3,3:11.0,W. Hernangómez misses 2-pt layup from 3 ft (block by M. Gasol),,83,76
3,3:09.0,Offensive rebound by W. Hernangómez,,83,76
3,3:08.0,M. Bridges makes 3-pt jump shot from 24 ft (assist by W. Hernangómez),,86,76
3,3:08.0,,Toronto full timeout,86,76
3,3:08.0,D. Graham enters the game for M. Bridges,,86,76
3,3:08.0,F. Kaminsky enters the game for K. Walker,,86,76
3,3:08.0,,O. Anunoby enters the game for M. Gasol,86,76
3,3:08.0,,S. Ibaka enters the game for K. Leonard,86,76
3,3:08.0,,N. Powell enters the game for K. Lowry,86,76
3,3:08.0,,P. Siakam enters the game for P. McCaw,86,76
3,2:50.0,,P. Siakam misses 2-pt hook shot from 6 ft,86,76
3,2:47.0,,Offensive rebound by O. Anunoby,86,76
3,2:45.0,,S. Ibaka makes 2-pt dunk from 1 ft (assist by O. Anunoby),86,78
3,2:32.0,Shooting foul by P. Siakam (drawn by W. Hernangómez),,86,78
3,2:32.0,W. Hernangómez misses free throw 1 of 2,,86,78
3,2:32.0,Offensive rebound by Team,,86,78
3,2:32.0,W. Hernangómez makes free throw 2 of 2,,87,78
3,2:24.0,,N. Powell makes 3-pt jump shot from 24 ft (assist by P. Siakam),87,81
3,1:58.0,D. Graham misses 3-pt jump shot from 29 ft,,87,81
3,1:57.0,,Defensive rebound by Team,87,81
3,1:57.0,M. Monk enters the game for D. Bacon,,87,81
3,1:35.0,,S. Ibaka makes 2-pt hook shot from 5 ft (assist by N. Powell),87,83
3,1:21.0,Personal foul by N. Powell (drawn by D. Graham),,87,83
3,1:13.0,J. Lamb makes 3-pt jump shot from 24 ft (assist by D. Graham),,90,83
3,0:53.0,,S. Ibaka misses 2-pt hook shot from 4 ft,90,83
3,0:51.0,Defensive rebound by F. Kaminsky,,90,83
3,0:37.0,W. Hernangómez makes 3-pt jump shot from 26 ft (assist by F. Kaminsky),,93,83
3,0:26.0,,O. Anunoby misses 3-pt jump shot from 25 ft (block by J. Lamb),93,83
3,0:22.0,Defensive rebound by W. Hernangómez,,93,83
3,0:02.0,Shooting foul by S. Ibaka (drawn by D. Graham),,93,83
3,0:02.0,D. Graham makes free throw 1 of 2,,94,83
3,0:02.0,D. Bacon enters the game for W. Hernangómez,,94,83
3,0:02.0,D. Graham makes free throw 2 of 2,,95,83
3,0:00.0,,F. VanVleet misses 3-pt jump shot from 41 ft,95,83
3,0:00.0,,Offensive rebound by Team,95,83
4,11:43.0,J. Lamb misses 2-pt jump shot from 12 ft,,95,83
4,11:40.0,,Defensive rebound by F. VanVleet,95,83
4,11:36.0,,N. Powell misses 2-pt layup at rim,95,83
4,11:34.0,Defensive rebound by W. Hernangómez,,95,83
4,11:20.0,F. Kaminsky makes 2-pt jump shot from 3 ft (assist by D. Graham),,97,83
4,11:00.0,,N. Powell makes 3-pt jump shot from 25 ft (assist by P. Siakam),97,86
4,10:45.0,Turnover by M. Monk (bad pass; steal by N. Powell),,97,86
4,10:41.0,,N. Powell makes 2-pt layup from 2 ft,97,88
4,10:40.0,Charlotte full timeout,,97,88
4,10:32.0,Turnover by D. Graham (lost ball; steal by P. Siakam),,97,88
4,10:28.0,,N. Powell makes 2-pt layup from 4 ft,97,90
4,10:22.0,W. Hernangómez makes 2-pt dunk from 1 ft (assist by M. Monk),,99,90
4,10:05.0,,Turnover by O. Anunoby (lost ball; steal by J. Lamb),99,90
4,10:02.0,J. Lamb makes 2-pt dunk from 2 ft,,101,90
4,9:40.0,,P. Siakam makes 2-pt layup from 2 ft,101,92
4,9:23.0,M. Monk makes 3-pt jump shot from 23 ft (assist by F. Kaminsky),,104,92
4,9:01.0,,P. Siakam makes 2-pt hook shot from 4 ft,104,94
4,8:51.0,D. Graham misses 2-pt jump shot from 17 ft,,104,94
4,8:49.0,,Defensive rebound by O. Anunoby,104,94
4,8:42.0,,F. VanVleet misses 2-pt layup from 3 ft,104,94
4,8:38.0,,Offensive rebound by S. Ibaka,104,94
4,8:38.0,,S. Ibaka misses 2-pt dunk at rim,104,94
4,8:37.0,Defensive rebound by M. Monk,,104,94
4,8:33.0,D. Graham makes 2-pt jump shot from 12 ft (assist by M. Monk),,106,94
4,8:18.0,Personal foul by N. Powell (drawn by D. Graham),,106,94
4,8:18.0,,Personal foul by D. Graham (drawn by N. Powell),106,94
4,8:18.0,K. Walker enters the game for D. Graham,,106,94
4,8:18.0,M. Williams enters the game for W. Hernangómez,,106,94
4,8:18.0,,D. Green enters the game for O. Anunoby,106,94
4,8:08.0,,Shooting foul by M. Williams (drawn by P. Siakam),106,94
4,8:08.0,,P. Siakam makes free throw 1 of 2,106,95
4,8:08.0,D. Bacon enters the game for M. Monk,,106,95
4,8:08.0,,P. Siakam makes free throw 2 of 2,106,96
4,7:50.0,M. Williams makes 3-pt jump shot from 24 ft (assist by K. Walker),,109,96
4,7:40.0,,F. VanVleet makes 3-pt jump shot from 26 ft,109,99
4,7:20.0,Personal foul by D. Green (drawn by M. Williams),,109,99
4,7:20.0,,K. Leonard enters the game for S. Ibaka,109,99
4,7:12.0,K. Walker misses 2-pt layup from 2 ft (block by N. Powell),,109,99
4,7:09.0,,Defensive rebound by K. Leonard,109,99
4,7:06.0,,F. VanVleet makes 3-pt jump shot from 23 ft (assist by K. Leonard),109,102
4,7:05.0,Charlotte full timeout,,109,102
4,7:05.0,M. Bridges enters the game for F. Kaminsky,,109,102
4,6:43.0,J. Lamb misses 3-pt jump shot from 29 ft,,109,102
4,6:41.0,,Defensive rebound by K. Leonard,109,102
4,6:31.0,,K. Leonard misses 3-pt jump shot from 26 ft,109,102
4,6:27.0,Defensive rebound by D. Bacon,,109,102
4,6:07.0,K. Walker misses 3-pt jump shot from 25 ft,,109,102
4,6:05.0,,Defensive rebound by D. Green,109,102
4,6:03.0,,P. Siakam makes 2-pt dunk at rim (assist by D. Green),109,104
4,5:40.0,J. Lamb misses 2-pt jump shot from 21 ft,,109,104
4,5:38.0,,Defensive rebound by K. Leonard,109,104
4,5:25.0,,K. Leonard makes 2-pt dunk from 1 ft (assist by D. Green),109,106
4,5:12.0,Charlotte full timeout,,109,106
4,5:12.0,D. Graham enters the game for M. Bridges,,109,106
4,5:12.0,F. Kaminsky enters the game for M. Williams,,109,106
4,4:55.0,K. Walker misses 2-pt jump shot from 17 ft,,109,106
4,4:53.0,,Defensive rebound by P. Siakam,109,106
4,4:34.0,,F. VanVleet misses 3-pt jump shot from 25 ft,109,106
4,4:30.0,Defensive rebound by K. Walker,,109,106
4,4:23.0,D. Bacon misses 2-pt jump shot from 8 ft (block by D. Green),,109,106
4,4:19.0,Offensive rebound by D. Bacon,,109,106
4,4:17.0,D. Bacon misses 2-pt layup from 1 ft (block by P. Siakam),,109,106
4,4:17.0,,Defensive rebound by K. Leonard,109,106
4,4:17.0,,Personal foul by F. Kaminsky (drawn by K. Leonard),109,106
4,4:17.0,M. Bridges enters the game for J. Lamb,,109,106
4,4:11.0,,K. Leonard makes 2-pt jump shot from 5 ft,109,108
4,3:53.0,Shooting foul by P. Siakam (drawn by D. Bacon),,109,108
4,3:53.0,D. Bacon misses free throw 1 of 2,,109,108
4,3:53.0,Offensive rebound by Team,,109,108
4,3:53.0,D. Bacon makes free throw 2 of 2,,110,108
4,3:31.0,,P. Siakam misses 2-pt jump shot from 11 ft,110,108
4,3:28.0,Defensive rebound by K. Walker,,110,108
4,3:17.0,Turnover by K. Walker (bad pass; steal by N. Powell),,110,108
4,3:17.0,,Personal take foul by F. Kaminsky (drawn by N. Powell),110,108
4,3:17.0,,K. Lowry enters the game for N. Powell,110,108
4,3:17.0,,Toronto full timeout,110,108
4,3:03.0,,Turnover by P. Siakam (lost ball; steal by D. Graham),110,108
4,2:54.0,Offensive foul by M. Bridges (drawn by K. Lowry),,110,108
4,2:54.0,Turnover by M. Bridges (offensive foul),,110,108
4,2:32.0,,P. Siakam makes 2-pt layup at rim,110,110
4,2:15.0,D. Bacon makes 2-pt layup from 1 ft (assist by M. Bridges),,112,110
4,1:56.0,,K. Leonard misses 2-pt jump shot from 17 ft,112,110
4,1:54.0,Defensive rebound by D. Bacon,,112,110
4,1:39.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,112,110
4,1:38.0,,Defensive rebound by Team,112,110
4,1:24.0,,Shooting foul by D. Graham (drawn by K. Leonard),112,110
4,1:24.0,,K. Leonard makes free throw 1 of 2,112,111
4,1:24.0,J. Lamb enters the game for F. Kaminsky,,112,111
4,1:24.0,,K. Leonard makes free throw 2 of 2,112,112
4,1:05.0,J. Lamb misses 2-pt layup from 4 ft (block by D. Green),,112,112
4,1:02.0,,Defensive rebound by K. Lowry,112,112
4,0:57.0,,D. Green misses 3-pt jump shot from 25 ft,112,112
4,0:55.0,,Offensive rebound by Team,112,112
4,0:45.0,,K. Leonard makes 2-pt jump shot from 18 ft,112,114
