QUARTER,TIME_REMAINING,DETROIT_ACTION,INDIANA_ACTION,DETROIT_SCORE,INDIANA_SCORE
2,4:33.0,,D. Sabonis misses 2-pt jump shot from 12 ft,45,48
2,4:28.0,,Offensive rebound by D. Sabonis,45,48
2,4:26.0,,C. Joseph misses 3-pt jump shot from 26 ft,45,48
2,4:23.0,Defensive rebound by A. Drummond,,45,48
2,4:18.0,Shooting foul by D. Sabonis (drawn by T. Maker),,45,48
2,4:18.0,T. Maker makes free throw 1 of 2,,46,48
2,4:18.0,L. Galloway enters the game for G. Robinson,,46,48
2,4:18.0,T. Maker makes free throw 2 of 2,,47,48
2,4:07.0,,D. Sabonis makes 2-pt layup from 2 ft (assist by A. Holiday),47,50
2,3:51.0,Shooting foul by A. Holiday (drawn by R. Jackson),,47,50
2,3:51.0,R. Jackson makes free throw 1 of 2,,48,50
2,3:51.0,,B. Bogdanović enters the game for D. McDermott,48,50
2,3:51.0,,M. Turner enters the game for D. Sabonis,48,50
2,3:51.0,R. Jackson makes free throw 2 of 2,,49,50
2,3:28.0,,T. Young makes 2-pt layup at rim (assist by C. Joseph),49,52
2,3:14.0,R. Jackson misses 2-pt layup from 4 ft,,49,52
2,3:13.0,Offensive rebound by A. Drummond,,49,52
2,3:12.0,A. Drummond makes 2-pt dunk from 1 ft,,51,52
2,3:04.0,,Turnover by T. Young (bad pass),51,52
2,2:52.0,L. Galloway misses 2-pt jump shot from 8 ft,,51,52
2,2:50.0,Offensive rebound by L. Galloway,,51,52
2,2:49.0,R. Jackson misses 3-pt jump shot from 23 ft,,51,52
2,2:45.0,,Defensive rebound by M. Turner,51,52
2,2:35.0,,Turnover by T. Young (traveling),51,52
2,2:22.0,R. Jackson makes 2-pt jump shot from 18 ft (assist by W. Ellington),,53,52
2,2:05.0,,B. Bogdanović makes 2-pt layup at rim (assist by A. Holiday),53,54
2,1:55.0,Turnover by R. Jackson (lost ball; steal by C. Joseph),,53,54
2,1:51.0,,C. Joseph makes 2-pt layup from 1 ft (assist by B. Bogdanović),53,56
2,1:23.0,Personal foul by A. Holiday (drawn by R. Jackson),,53,56
2,1:23.0,R. Jackson makes free throw 1 of 2,,54,56
2,1:23.0,,T. Evans enters the game for A. Holiday,54,56
2,1:23.0,R. Jackson makes free throw 2 of 2,,55,56
2,1:06.0,,B. Bogdanović misses 3-pt jump shot from 27 ft,55,56
2,1:03.0,Defensive rebound by Team,,55,56
2,0:51.0,Turnover by T. Maker (bad pass; steal by M. Turner),,55,56
2,0:45.0,,T. Young makes 2-pt layup from 3 ft,55,58
2,0:36.0,R. Jackson misses 2-pt layup from 3 ft,,55,58
2,0:34.0,,Defensive rebound by T. Young,55,58
2,0:25.0,,Shooting foul by W. Ellington (drawn by T. Evans),55,58
2,0:25.0,,T. Evans misses free throw 1 of 2,55,58
2,0:25.0,,Offensive rebound by Team,55,58
2,0:25.0,,T. Evans makes free throw 2 of 2,55,59
2,0:05.0,R. Jackson misses 2-pt jump shot from 5 ft,,55,59
2,0:02.0,,Defensive rebound by B. Bogdanović,55,59
2,0:00.0,,B. Bogdanović misses 2-pt layup at rim,55,59
2,0:00.0,,Offensive rebound by Team,55,59
3,11:47.0,,M. Turner makes 2-pt jump shot from 19 ft (assist by T. Evans),55,61
3,11:32.0,R. Jackson misses 2-pt layup from 1 ft (block by T. Evans),,55,61
3,11:28.0,Offensive rebound by A. Drummond,,55,61
3,11:28.0,A. Drummond makes 2-pt layup from 1 ft,,57,61
3,11:16.0,,B. Bogdanović misses 2-pt layup from 1 ft (block by T. Maker),57,61
3,11:13.0,Defensive rebound by T. Maker,,57,61
3,11:05.0,W. Ellington misses 3-pt jump shot from 26 ft,,57,61
3,11:02.0,,Defensive rebound by T. Evans,57,61
3,10:51.0,,T. Evans makes 3-pt jump shot from 28 ft (assist by B. Bogdanović),57,64
3,10:30.0,Turnover by A. Drummond (3 sec),,57,64
3,10:18.0,,Turnover by T. Young (bad pass),57,64
3,10:02.0,R. Jackson makes 2-pt jump shot from 18 ft,,59,64
3,9:48.0,,Turnover by B. Bogdanović (bad pass),59,64
3,9:37.0,Turnover by A. Drummond (bad pass; steal by B. Bogdanović),,59,64
3,9:19.0,,T. Evans makes 3-pt jump shot from 28 ft (assist by T. Young),59,67
3,8:59.0,T. Maker makes 3-pt jump shot from 26 ft (assist by W. Ellington),,62,67
3,8:41.0,,Turnover by T. Evans (bad pass; steal by A. Drummond),62,67
3,8:27.0,B. Brown misses 3-pt jump shot from 27 ft,,62,67
3,8:23.0,Offensive rebound by A. Drummond,,62,67
3,8:23.0,A. Drummond misses 2-pt layup from 1 ft,,62,67
3,8:23.0,,Defensive rebound by T. Evans,62,67
3,8:17.0,,T. Young misses 2-pt layup from 1 ft,62,67
3,8:15.0,Defensive rebound by R. Jackson,,62,67
3,8:10.0,R. Jackson makes 2-pt layup from 1 ft,,64,67
3,7:44.0,,C. Joseph misses 3-pt jump shot from 28 ft,64,67
3,7:41.0,Defensive rebound by A. Drummond,,64,67
3,7:34.0,Personal foul by B. Bogdanović (drawn by W. Ellington),,64,67
3,7:29.0,W. Ellington makes 2-pt jump shot from 20 ft (assist by A. Drummond),,66,67
3,7:05.0,,Turnover by T. Young (lost ball; steal by A. Drummond),66,67
3,7:00.0,R. Jackson makes 2-pt layup at rim,,68,67
3,7:00.0,,Indiana full timeout,68,67
3,6:47.0,,C. Joseph misses 2-pt jump shot from 7 ft,68,67
3,6:45.0,Defensive rebound by A. Drummond,,68,67
3,6:32.0,Turnover by R. Jackson (bad pass; steal by B. Bogdanović),,68,67
3,6:28.0,,Shooting foul by W. Ellington (drawn by B. Bogdanović),68,67
3,6:28.0,,B. Bogdanović makes free throw 1 of 2,68,68
3,6:28.0,,B. Bogdanović makes free throw 2 of 2,68,69
3,6:15.0,W. Ellington makes 2-pt jump shot from 12 ft (assist by A. Drummond),,70,69
3,5:57.0,,T. Evans makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),70,72
3,5:34.0,W. Ellington misses 3-pt jump shot from 28 ft,,70,72
3,5:32.0,,Defensive rebound by Team,70,72
3,5:20.0,,T. Evans misses 2-pt jump shot from 6 ft,70,72
3,5:17.0,,Offensive rebound by T. Young,70,72
3,5:17.0,,T. Young makes 2-pt layup at rim,70,74
3,5:06.0,A. Drummond makes 2-pt layup from 1 ft (assist by R. Jackson),,72,74
3,4:58.0,,B. Bogdanović misses 2-pt jump shot from 12 ft,72,74
3,4:55.0,Defensive rebound by B. Brown,,72,74
3,4:38.0,A. Drummond misses 2-pt dunk from 1 ft (block by M. Turner),,72,74
3,4:35.0,,Defensive rebound by T. Young,72,74
3,4:32.0,,Turnover by T. Evans (out of bounds lost ball),72,74
3,4:32.0,L. Galloway enters the game for B. Brown,,72,74
3,4:32.0,,D. Sabonis enters the game for T. Young,72,74
3,4:32.0,Detroit full timeout,,72,74
3,4:32.0,I. Smith enters the game for R. Jackson,,72,74
3,4:19.0,L. Galloway misses 2-pt jump shot from 2 ft,,72,74
3,4:17.0,Offensive rebound by A. Drummond,,72,74
3,4:17.0,A. Drummond makes 2-pt dunk from 1 ft,,74,74
3,3:58.0,,B. Bogdanović misses 2-pt layup from 3 ft (block by W. Ellington),74,74
3,3:56.0,Defensive rebound by T. Maker,,74,74
3,3:53.0,L. Galloway makes 3-pt jump shot from 23 ft (assist by T. Maker),,77,74
3,3:32.0,,M. Turner misses 3-pt jump shot from 27 ft,77,74
3,3:29.0,Defensive rebound by I. Smith,,77,74
3,3:14.0,T. Maker misses 3-pt jump shot from 23 ft,,77,74
3,3:11.0,,Defensive rebound by M. Turner,77,74
3,2:59.0,,D. Sabonis makes 2-pt hook shot from 5 ft,77,76
3,2:31.0,I. Smith misses 2-pt layup from 2 ft,,77,76
3,2:30.0,Offensive rebound by A. Drummond,,77,76
3,2:30.0,A. Drummond misses 2-pt layup from 1 ft,,77,76
3,2:27.0,,Defensive rebound by M. Turner,77,76
3,2:19.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by D. Sabonis),77,78
3,1:58.0,T. Maker misses 3-pt jump shot from 27 ft,,77,78
3,1:54.0,,Defensive rebound by B. Bogdanović,77,78
3,1:43.0,,Personal foul by T. Maker (drawn by D. Sabonis),77,78
3,1:43.0,J. Leuer enters the game for W. Ellington,,77,78
3,1:43.0,G. Robinson enters the game for T. Maker,,77,78
3,1:43.0,,A. Holiday enters the game for B. Bogdanović,77,78
3,1:43.0,,D. McDermott enters the game for T. Evans,77,78
3,1:31.0,,M. Turner makes 2-pt hook shot from 10 ft,77,80
3,1:12.0,L. Galloway misses 2-pt jump shot from 18 ft,,77,80
3,1:10.0,,Defensive rebound by D. Sabonis,77,80
3,0:52.0,,M. Turner makes 3-pt jump shot from 27 ft,77,83
3,0:37.0,L. Galloway makes 2-pt layup from 4 ft (assist by A. Drummond),,79,83
3,0:37.0,Shooting foul by D. Sabonis (drawn by L. Galloway),,79,83
3,0:37.0,L. Galloway makes free throw 1 of 1,,80,83
3,0:33.0,,C. Joseph misses 2-pt jump shot from 12 ft,80,83
3,0:30.0,,Offensive rebound by D. Sabonis,80,83
3,0:20.0,,C. Joseph makes 2-pt layup from 4 ft (assist by A. Holiday),80,85
3,0:00.0,Turnover by I. Smith (lost ball; steal by M. Turner),,80,85
3,0:00.0,Loose ball foul by I. Smith (drawn by M. Turner),,80,85
3,0:00.0,,M. Turner makes free throw 1 of 2,80,86
3,0:00.0,,M. Turner makes free throw 2 of 2,80,87
4,11:47.0,L. Galloway misses 2-pt jump shot from 20 ft,,80,87
4,11:44.0,,Defensive rebound by T. Young,80,87
4,11:35.0,,Personal foul by Z. Pachulia (drawn by A. Holiday),80,87
4,11:28.0,,A. Holiday makes 2-pt jump shot from 18 ft (assist by T. Young),80,89
4,11:11.0,Personal foul by D. Sabonis (drawn by Z. Pachulia),,80,89
4,11:06.0,T. Maker misses 2-pt jump shot from 14 ft,,80,89
4,11:04.0,,Defensive rebound by D. Sabonis,80,89
4,10:59.0,,Offensive foul by D. Sabonis (drawn by I. Smith),80,89
4,10:59.0,,Turnover by D. Sabonis (offensive foul),80,89
4,10:47.0,T. Maker makes 3-pt jump shot from 22 ft (assist by I. Smith),,83,89
4,10:28.0,,Turnover by D. Sabonis (bad pass),83,89
4,10:13.0,I. Smith makes 2-pt jump shot from 20 ft,,85,89
4,10:12.0,,Indiana full timeout,85,89
4,10:04.0,,Offensive foul by A. Holiday (drawn by L. Galloway),85,89
4,10:04.0,,Turnover by A. Holiday (offensive foul),85,89
4,10:04.0,,B. Bogdanović enters the game for C. Joseph,85,89
4,9:52.0,T. Maker misses 3-pt jump shot from 23 ft,,85,89
4,9:49.0,,Defensive rebound by D. Sabonis,85,89
4,9:40.0,,Personal foul by L. Galloway (drawn by B. Bogdanović),85,89
4,9:31.0,,Turnover by D. Sabonis (bad pass; steal by L. Galloway),85,89
4,9:26.0,I. Smith misses 2-pt layup from 2 ft,,85,89
4,9:24.0,Offensive rebound by L. Galloway,,85,89
4,9:24.0,L. Galloway misses 2-pt layup from 1 ft,,85,89
4,9:24.0,Offensive rebound by G. Robinson,,85,89
4,9:24.0,Shooting foul by T. Young (drawn by G. Robinson),,85,89
4,9:24.0,G. Robinson makes free throw 1 of 2,,86,89
4,9:24.0,W. Ellington enters the game for L. Galloway,,86,89
4,9:24.0,G. Robinson makes free throw 2 of 2,,87,89
4,9:12.0,,D. Sabonis makes 2-pt jump shot from 19 ft (assist by B. Bogdanović),87,91
4,8:58.0,G. Robinson misses 3-pt jump shot from 26 ft,,87,91
4,8:55.0,,Defensive rebound by B. Bogdanović,87,91
4,8:47.0,,T. Young makes 2-pt dunk from 2 ft (assist by B. Bogdanović),87,93
4,8:28.0,W. Ellington misses 3-pt jump shot from 26 ft,,87,93
4,8:25.0,,Defensive rebound by D. McDermott,87,93
4,8:14.0,,Personal foul by Z. Pachulia (drawn by T. Young),87,93
4,8:14.0,A. Drummond enters the game for Z. Pachulia,,87,93
4,8:14.0,R. Jackson enters the game for G. Robinson,,87,93
4,8:08.0,,Personal foul by A. Drummond (drawn by D. Sabonis),87,93
4,8:04.0,,D. McDermott makes 3-pt jump shot from 27 ft (assist by T. Young),87,96
4,8:00.0,Detroit full timeout,,87,96
4,7:37.0,R. Jackson misses 3-pt jump shot from 24 ft,,87,96
4,7:33.0,,Defensive rebound by D. Sabonis,87,96
4,7:31.0,,D. McDermott makes 2-pt layup from 1 ft (assist by D. Sabonis),87,98
4,7:16.0,Personal foul by D. Sabonis (drawn by R. Jackson),,87,98
4,7:07.0,W. Ellington makes 2-pt jump shot from 8 ft,,89,98
4,6:46.0,,D. McDermott makes 2-pt jump shot from 10 ft (assist by D. Sabonis),89,100
4,6:32.0,W. Ellington makes 2-pt layup from 1 ft (assist by A. Drummond),,91,100
4,6:15.0,,D. Sabonis misses 2-pt layup from 2 ft (block by T. Maker),91,100
4,6:14.0,Defensive rebound by Team,,91,100
4,6:14.0,,Loose ball foul by D. Sabonis (drawn by A. Drummond),91,100
4,6:14.0,L. Galloway enters the game for I. Smith,,91,100
4,6:14.0,,M. Turner enters the game for D. Sabonis,91,100
4,6:06.0,Personal foul by B. Bogdanović (drawn by W. Ellington),,91,100
4,6:06.0,W. Ellington misses free throw 1 of 2,,91,100
4,6:06.0,Offensive rebound by Team,,91,100
4,6:06.0,W. Ellington misses free throw 2 of 2,,91,100
4,6:04.0,,Defensive rebound by B. Bogdanović,91,100
4,5:51.0,,D. McDermott misses 3-pt jump shot from 23 ft,91,100
4,5:48.0,,Offensive rebound by B. Bogdanović,91,100
4,5:38.0,,M. Turner misses 2-pt layup from 2 ft,91,100
4,5:35.0,Defensive rebound by A. Drummond,,91,100
4,5:28.0,Offensive foul by R. Jackson (drawn by A. Holiday),,91,100
4,5:28.0,Turnover by R. Jackson (offensive foul),,91,100
4,5:12.0,,A. Holiday misses 3-pt jump shot from 27 ft,91,100
4,5:10.0,Defensive rebound by W. Ellington,,91,100
4,4:57.0,W. Ellington misses 3-pt jump shot from 28 ft,,91,100
4,4:54.0,Offensive rebound by R. Jackson,,91,100
4,4:52.0,Offensive foul by R. Jackson (drawn by A. Holiday),,91,100
4,4:52.0,Turnover by R. Jackson (offensive foul),,91,100
4,4:52.0,,Indiana full timeout,91,100
4,4:46.0,,Turnover by A. Holiday (bad pass; steal by A. Drummond),91,100
4,4:43.0,Shooting foul by M. Turner (drawn by A. Drummond),,91,100
4,4:43.0,A. Drummond makes free throw 1 of 2,,92,100
4,4:43.0,A. Drummond makes free throw 2 of 2,,93,100
4,4:25.0,,B. Bogdanović makes 2-pt jump shot from 4 ft,93,102
4,4:04.0,R. Jackson misses 3-pt jump shot from 30 ft,,93,102
4,4:01.0,,Defensive rebound by T. Young,93,102
4,3:46.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,93,102
4,3:43.0,Defensive rebound by R. Jackson,,93,102
4,3:38.0,R. Jackson makes 2-pt layup from 2 ft,,95,102
4,3:14.0,,T. Young misses 2-pt layup from 1 ft (block by T. Maker),95,102
4,3:14.0,Defensive rebound by A. Drummond,,95,102
4,3:14.0,Detroit full timeout,,95,102
4,3:14.0,,T. Evans enters the game for A. Holiday,95,102
4,3:14.0,,C. Joseph enters the game for D. McDermott,95,102
4,2:53.0,L. Galloway misses 2-pt layup from 8 ft (block by M. Turner),,95,102
4,2:51.0,,Defensive rebound by T. Young,95,102
4,2:39.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by T. Young),95,105
4,2:21.0,R. Jackson makes 2-pt jump shot from 4 ft,,97,105
4,1:52.0,,T. Young misses 2-pt layup from 4 ft,97,105
4,1:49.0,Defensive rebound by T. Maker,,97,105
4,1:45.0,R. Jackson misses 3-pt jump shot from 27 ft,,97,105
4,1:42.0,,Defensive rebound by Team,97,105
4,1:19.0,,B. Bogdanović makes 2-pt jump shot from 1 ft,97,107
4,1:19.0,Detroit full timeout,,97,107
4,1:14.0,Turnover by R. Jackson (bad pass; steal by B. Bogdanović),,97,107
4,1:02.0,,T. Evans misses 3-pt jump shot from 25 ft,97,107
4,0:59.0,Defensive rebound by T. Maker,,97,107
4,0:52.0,R. Jackson misses 2-pt layup from 1 ft,,97,107
4,0:49.0,,Defensive rebound by T. Evans,97,107
4,0:44.0,,T. Evans misses 2-pt layup from 1 ft (block by T. Maker),97,107
4,0:41.0,Defensive rebound by W. Ellington,,97,107
4,0:36.0,L. Galloway misses 3-pt jump shot from 22 ft,,97,107
4,0:32.0,Offensive rebound by R. Jackson,,97,107
4,0:29.0,W. Ellington makes 3-pt jump shot from 26 ft (assist by R. Jackson),,100,107
4,0:29.0,,Indiana full timeout,100,107
4,0:29.0,,A. Holiday enters the game for C. Joseph,100,107
4,0:29.0,,D. McDermott enters the game for T. Young,100,107
