QUARTER,TIME_REMAINING,MIAMI_ACTION,CLEVELAND_ACTION,MIAMI_SCORE,CLEVELAND_SCORE
1,7:36.0,H. Whiteside makes 2-pt dunk from 2 ft (assist by T. Johnson),,13,11
1,7:18.0,,A. Žižić makes 2-pt jump shot from 13 ft (assist by C. Sexton),13,13
1,7:03.0,T. Johnson misses 3-pt jump shot from 26 ft,,13,13
1,7:00.0,,Defensive rebound by C. Osman,13,13
1,6:42.0,,C. Osman misses 3-pt jump shot from 27 ft,13,13
1,6:38.0,Defensive rebound by H. Whiteside,,13,13
1,6:32.0,H. Whiteside misses 2-pt jump shot from 7 ft (block by A. Žižić),,13,13
1,6:30.0,,Defensive rebound by A. Žižić,13,13
1,6:25.0,,C. Sexton misses 2-pt layup from 1 ft (block by J. Johnson),13,13
1,6:20.0,Defensive rebound by T. Johnson,,13,13
1,6:15.0,H. Whiteside misses 2-pt hook shot from 6 ft,,13,13
1,6:12.0,,Defensive rebound by A. Burks,13,13
1,6:12.0,,Turnover by A. Burks (lost ball; steal by H. Whiteside),13,13
1,6:12.0,Personal take foul by C. Osman (drawn by H. Whiteside),,13,13
1,6:12.0,,Cleveland full timeout,13,13
1,6:01.0,J. Winslow misses 2-pt jump shot from 6 ft,,13,13
1,5:59.0,,Defensive rebound by R. Hood,13,13
1,5:44.0,,Turnover by A. Burks (traveling),13,13
1,5:44.0,D. Wade enters the game for J. Richardson,,13,13
1,5:37.0,Offensive foul by H. Whiteside (drawn by C. Sexton),,13,13
1,5:37.0,Turnover by H. Whiteside (offensive foul),,13,13
1,5:37.0,,J. Clarkson enters the game for R. Hood,13,13
1,5:19.0,,C. Sexton misses 2-pt layup from 1 ft,13,13
1,5:17.0,Defensive rebound by D. Wade,,13,13
1,5:09.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by D. Wade),,15,13
1,4:58.0,,C. Sexton misses 3-pt jump shot from 24 ft,15,13
1,4:56.0,Defensive rebound by H. Whiteside,,15,13
1,4:48.0,J. Winslow makes 3-pt jump shot from 26 ft (assist by D. Wade),,18,13
1,4:47.0,,Cleveland full timeout,18,13
1,4:47.0,R. McGruder enters the game for T. Johnson,,18,13
1,4:47.0,,M. Dellavedova enters the game for C. Sexton,18,13
1,4:47.0,,L. Nance enters the game for A. Žižić,18,13
1,4:22.0,,L. Nance makes 2-pt hook shot from 9 ft,18,15
1,4:03.0,D. Wade makes 2-pt jump shot from 15 ft,,20,15
1,3:46.0,,J. Clarkson misses 2-pt jump shot from 6 ft,20,15
1,3:42.0,,Offensive rebound by L. Nance,20,15
1,3:42.0,,L. Nance misses 2-pt layup from 1 ft,20,15
1,3:39.0,Defensive rebound by J. Winslow,,20,15
1,3:36.0,J. Winslow makes 2-pt layup from 1 ft,,22,15
1,3:21.0,,Personal foul by J. Winslow (drawn by L. Nance),22,15
1,3:21.0,B. Adebayo enters the game for H. Whiteside,,22,15
1,3:21.0,,D. Adel enters the game for A. Burks,22,15
1,3:14.0,,C. Osman misses 2-pt jump shot from 12 ft,22,15
1,3:12.0,,Offensive rebound by C. Osman,22,15
1,3:03.0,,J. Clarkson misses 2-pt jump shot from 6 ft,22,15
1,3:01.0,,Offensive rebound by J. Clarkson,22,15
1,3:00.0,,J. Clarkson misses 2-pt jump shot from 5 ft (block by J. Winslow),22,15
1,3:00.0,,Offensive rebound by M. Dellavedova,22,15
1,2:54.0,,C. Osman makes 3-pt jump shot from 26 ft (assist by M. Dellavedova),22,18
1,2:38.0,R. McGruder misses 3-pt jump shot from 24 ft,,22,18
1,2:36.0,,Defensive rebound by J. Clarkson,22,18
1,2:31.0,,C. Osman makes 3-pt jump shot from 23 ft (assist by J. Clarkson),22,21
1,2:10.0,Miami full timeout,,22,21
1,2:10.0,D. Jones enters the game for J. Johnson,,22,21
1,2:10.0,J. Richardson enters the game for J. Winslow,,22,21
1,2:03.0,D. Jones makes 2-pt jump shot from 10 ft (assist by D. Wade),,24,21
1,1:49.0,,J. Clarkson makes 2-pt layup from 1 ft,24,23
1,1:39.0,,Violation by Team (kicked ball),24,23
1,1:27.0,B. Adebayo misses 2-pt jump shot from 10 ft,,24,23
1,1:26.0,Offensive rebound by D. Jones,,24,23
1,1:25.0,D. Jones misses 2-pt layup at rim,,24,23
1,1:25.0,,Defensive rebound by D. Adel,24,23
1,1:21.0,,Turnover by C. Osman (traveling),24,23
1,1:03.0,D. Jones makes 3-pt jump shot from 23 ft (assist by J. Richardson),,27,23
1,0:42.0,,C. Osman misses 3-pt jump shot from 29 ft,27,23
1,0:39.0,Defensive rebound by D. Wade,,27,23
1,0:29.0,J. Richardson misses 2-pt jump shot from 15 ft,,27,23
1,0:27.0,,Defensive rebound by L. Nance,27,23
1,0:02.0,,C. Osman misses 3-pt jump shot from 22 ft,27,23
1,0:02.0,Defensive rebound by B. Adebayo,,27,23
2,11:44.0,,M. Dellavedova makes 2-pt jump shot from 4 ft,27,25
2,11:34.0,D. Jones makes 2-pt layup from 2 ft (assist by J. Richardson),,29,25
2,11:34.0,Shooting foul by L. Nance (drawn by D. Jones),,29,25
2,11:34.0,D. Jones misses free throw 1 of 1,,29,25
2,11:30.0,,Defensive rebound by J. Blossomgame,29,25
2,11:21.0,,Turnover by M. Dellavedova (out of bounds lost ball),29,25
2,11:06.0,D. Wade misses 2-pt jump shot from 14 ft,,29,25
2,11:03.0,,Defensive rebound by L. Nance,29,25
2,10:55.0,,J. Clarkson misses 2-pt jump shot from 1 ft (block by D. Jones),29,25
2,10:52.0,Defensive rebound by D. Jones,,29,25
2,10:46.0,D. Wade misses 3-pt jump shot from 25 ft,,29,25
2,10:42.0,Offensive rebound by B. Adebayo,,29,25
2,10:29.0,R. McGruder misses 2-pt jump shot from 13 ft,,29,25
2,10:27.0,,Defensive rebound by M. Dellavedova,29,25
2,10:20.0,,J. Clarkson makes 2-pt layup from 1 ft (assist by M. Dellavedova),29,27
2,9:58.0,B. Adebayo makes 2-pt jump shot from 13 ft (assist by J. Richardson),,31,27
2,9:42.0,,J. Blossomgame misses 2-pt jump shot from 10 ft,31,27
2,9:39.0,Defensive rebound by B. Adebayo,,31,27
2,9:22.0,D. Jones misses 2-pt jump shot from 7 ft,,31,27
2,9:20.0,,Defensive rebound by J. Clarkson,31,27
2,9:01.0,,D. Adel makes 2-pt jump shot from 17 ft (assist by M. Dellavedova),31,29
2,9:01.0,T. Johnson enters the game for R. McGruder,,31,29
2,9:01.0,,R. Hood enters the game for J. Blossomgame,31,29
2,8:40.0,Personal foul by R. Hood (drawn by B. Adebayo),,31,29
2,8:35.0,Personal foul by M. Dellavedova (drawn by T. Johnson),,31,29
2,8:24.0,J. Richardson makes 3-pt jump shot from 28 ft (assist by T. Johnson),,34,29
2,8:11.0,,M. Dellavedova misses 2-pt jump shot from 12 ft,34,29
2,8:09.0,Defensive rebound by B. Adebayo,,34,29
2,7:58.0,Turnover by J. Richardson (step out of bounds),,34,29
2,7:58.0,,Cleveland full timeout,34,29
2,7:35.0,,R. Hood misses 2-pt jump shot from 5 ft,34,29
2,7:27.0,,Offensive rebound by L. Nance,34,29
2,7:27.0,,L. Nance makes 2-pt dunk from 1 ft,34,31
2,7:10.0,Shooting foul by L. Nance (drawn by J. Richardson),,34,31
2,7:10.0,J. Richardson makes free throw 1 of 2,,35,31
2,7:10.0,J. Winslow enters the game for D. Wade,,35,31
2,7:10.0,,A. Burks enters the game for D. Adel,35,31
2,7:10.0,,A. Žižić enters the game for L. Nance,35,31
2,7:10.0,J. Richardson makes free throw 2 of 2,,36,31
2,6:50.0,,J. Clarkson makes 2-pt jump shot from 14 ft,36,33
2,6:36.0,J. Winslow misses 2-pt jump shot from 4 ft,,36,33
2,6:36.0,Offensive rebound by D. Jones,,36,33
2,6:36.0,Shooting foul by A. Žižić (drawn by D. Jones),,36,33
2,6:36.0,D. Jones makes free throw 1 of 2,,37,33
2,6:36.0,K. Olynyk enters the game for J. Richardson,,37,33
2,6:36.0,D. Jones misses free throw 2 of 2,,37,33
2,6:33.0,,Defensive rebound by A. Burks,37,33
2,6:20.0,,R. Hood makes 2-pt jump shot from 16 ft (assist by A. Burks),37,35
2,6:06.0,T. Johnson misses 3-pt jump shot from 27 ft,,37,35
2,6:04.0,,Defensive rebound by A. Burks,37,35
2,5:56.0,,A. Žižić misses 2-pt layup from 1 ft,37,35
2,5:53.0,,Offensive rebound by A. Žižić,37,35
2,5:51.0,,A. Žižić makes 2-pt layup from 1 ft,37,37
2,5:47.0,Miami full timeout,,37,37
2,5:47.0,,C. Osman enters the game for J. Clarkson,37,37
2,5:38.0,Shooting foul by A. Burks (drawn by J. Winslow),,37,37
2,5:38.0,J. Winslow misses free throw 1 of 2,,37,37
2,5:38.0,Offensive rebound by Team,,37,37
2,5:38.0,J. Winslow makes free throw 2 of 2,,38,37
2,5:12.0,,R. Hood makes 2-pt jump shot from 14 ft,38,39
2,4:46.0,D. Jones misses 2-pt jump shot from 6 ft,,38,39
2,4:40.0,Offensive rebound by D. Jones,,38,39
2,4:40.0,D. Jones makes 2-pt dunk at rim,,40,39
2,4:32.0,,C. Osman makes 2-pt jump shot from 9 ft (assist by M. Dellavedova),40,41
2,4:13.0,Personal foul by M. Dellavedova (drawn by B. Adebayo),,40,41
2,4:13.0,B. Adebayo makes free throw 1 of 2,,41,41
2,4:13.0,,C. Sexton enters the game for M. Dellavedova,41,41
2,4:13.0,B. Adebayo misses free throw 2 of 2,,41,41
2,4:10.0,,Defensive rebound by A. Žižić,41,41
2,4:03.0,,Turnover by A. Burks (bad pass; steal by B. Adebayo),41,41
2,3:58.0,D. Jones makes 2-pt dunk from 2 ft (assist by B. Adebayo),,43,41
2,3:39.0,,C. Osman makes 2-pt layup from 1 ft,43,43
2,3:22.0,B. Adebayo misses 2-pt jump shot from 13 ft,,43,43
2,3:20.0,,Defensive rebound by C. Sexton,43,43
2,3:09.0,,Shooting foul by J. Winslow (drawn by C. Osman),43,43
2,3:09.0,,C. Osman makes free throw 1 of 2,43,44
2,3:09.0,J. Richardson enters the game for B. Adebayo,,43,44
2,3:09.0,H. Whiteside enters the game for D. Jones,,43,44
2,3:09.0,,J. Clarkson enters the game for R. Hood,43,44
2,3:09.0,,C. Osman makes free throw 2 of 2,43,45
2,2:50.0,Turnover by J. Richardson (bad pass; steal by A. Žižić),,43,45
2,2:38.0,,C. Osman misses 3-pt jump shot from 25 ft,43,45
2,2:38.0,Defensive rebound by Team,,43,45
2,2:31.0,K. Olynyk misses 3-pt jump shot from 25 ft,,43,45
2,2:25.0,,Defensive rebound by A. Žižić,43,45
2,2:16.0,,A. Žižić makes 2-pt layup at rim (assist by J. Clarkson),43,47
2,2:06.0,Shooting foul by A. Žižić (drawn by T. Johnson),,43,47
2,2:06.0,T. Johnson misses free throw 1 of 2,,43,47
2,2:06.0,Offensive rebound by Team,,43,47
2,2:06.0,J. Johnson enters the game for K. Olynyk,,43,47
2,2:06.0,D. Wade enters the game for J. Winslow,,43,47
2,2:06.0,T. Johnson misses free throw 2 of 2,,43,47
2,2:06.0,,Defensive rebound by A. Žižić,43,47
2,1:47.0,,Turnover by J. Clarkson (out of bounds lost ball),43,47
2,1:32.0,Turnover by J. Richardson (bad pass; steal by C. Osman),,43,47
2,1:28.0,,C. Sexton makes 2-pt layup from 1 ft (assist by C. Osman),43,49
2,1:17.0,D. Wade misses 2-pt jump shot from 4 ft,,43,49
2,1:13.0,Offensive rebound by H. Whiteside,,43,49
2,1:13.0,H. Whiteside makes 2-pt layup at rim,,45,49
2,0:59.0,,A. Žižić makes 2-pt jump shot from 16 ft (assist by C. Sexton),45,51
2,0:47.0,T. Johnson misses 3-pt jump shot from 26 ft,,45,51
2,0:44.0,,Defensive rebound by C. Osman,45,51
2,0:36.0,,C. Osman makes 2-pt layup from 1 ft,45,53
2,0:20.0,D. Wade makes 3-pt jump shot from 26 ft,,48,53
3,11:40.0,,R. Hood makes 3-pt jump shot from 28 ft (assist by C. Osman),48,56
3,11:15.0,J. Johnson misses 2-pt jump shot from 16 ft,,48,56
3,11:11.0,Offensive rebound by H. Whiteside,,48,56
3,11:11.0,H. Whiteside makes 2-pt dunk at rim,,50,56
3,10:58.0,,C. Sexton misses 2-pt layup from 2 ft,50,56
3,10:55.0,Defensive rebound by J. Johnson,,50,56
3,10:52.0,Personal foul by C. Osman (drawn by T. Johnson),,50,56
3,10:46.0,Shooting foul by C. Osman (drawn by J. Johnson),,50,56
3,10:46.0,J. Johnson makes free throw 1 of 2,,51,56
3,10:46.0,J. Johnson makes free throw 2 of 2,,52,56
3,10:22.0,,R. Hood misses 3-pt jump shot from 31 ft,52,56
3,10:20.0,Defensive rebound by J. Winslow,,52,56
3,10:13.0,J. Winslow makes 3-pt jump shot from 27 ft (assist by T. Johnson),,55,56
3,10:12.0,,Cleveland full timeout,55,56
3,9:57.0,,Turnover by A. Žižić (traveling),55,56
3,9:44.0,J. Johnson makes 3-pt jump shot from 24 ft (assist by T. Johnson),,58,56
3,9:32.0,,Personal foul by T. Johnson (drawn by A. Žižić),58,56
3,9:21.0,,Shooting foul by J. Johnson (drawn by C. Osman),58,56
3,9:21.0,,C. Osman makes free throw 1 of 2,58,57
3,9:21.0,,C. Osman makes free throw 2 of 2,58,58
3,9:08.0,T. Johnson makes 2-pt layup from 1 ft,,60,58
3,8:54.0,,C. Sexton makes 3-pt jump shot from 28 ft (assist by A. Burks),60,61
3,8:41.0,J. Johnson misses 2-pt jump shot from 8 ft,,60,61
3,8:39.0,,Defensive rebound by R. Hood,60,61
3,8:36.0,,C. Osman makes 2-pt layup from 2 ft (assist by R. Hood),60,63
3,8:15.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by J. Johnson),,62,63
3,7:54.0,,C. Osman makes 2-pt jump shot from 5 ft,62,65
3,7:40.0,T. Johnson makes 2-pt jump shot from 7 ft,,64,65
3,7:16.0,,A. Žižić misses 2-pt layup from 1 ft,64,65
3,7:12.0,Defensive rebound by H. Whiteside,,64,65
3,7:06.0,J. Richardson misses 2-pt jump shot from 9 ft,,64,65
3,7:05.0,Offensive rebound by Team,,64,65
3,6:59.0,J. Winslow makes 2-pt jump shot from 10 ft (assist by H. Whiteside),,66,65
3,6:35.0,,C. Sexton misses 2-pt jump shot from 24 ft,66,65
3,6:32.0,Defensive rebound by H. Whiteside,,66,65
3,6:21.0,T. Johnson misses 3-pt jump shot from 28 ft,,66,65
3,6:18.0,,Defensive rebound by A. Burks,66,65
3,6:13.0,,Personal foul by J. Richardson (drawn by A. Burks),66,65
3,6:13.0,,J. Clarkson enters the game for R. Hood,66,65
3,6:00.0,,C. Osman misses 2-pt jump shot from 13 ft,66,65
3,5:58.0,Defensive rebound by H. Whiteside,,66,65
3,5:55.0,,Violation by Team (kicked ball),66,65
3,5:55.0,D. Wade enters the game for J. Richardson,,66,65
3,5:37.0,J. Winslow misses 3-pt jump shot from 25 ft,,66,65
3,5:34.0,,Defensive rebound by C. Sexton,66,65
3,5:25.0,,A. Burks misses 3-pt jump shot from 26 ft,66,65
3,5:21.0,Defensive rebound by J. Winslow,,66,65
3,5:21.0,Shooting foul by J. Clarkson (drawn by H. Whiteside),,66,65
3,5:21.0,H. Whiteside makes free throw 1 of 2,,67,65
3,5:21.0,,L. Nance enters the game for A. Žižić,67,65
3,5:21.0,H. Whiteside makes free throw 2 of 2,,68,65
3,5:13.0,,Personal foul by J. Winslow (drawn by J. Clarkson),68,65
3,4:57.0,,J. Clarkson misses 3-pt jump shot from 27 ft,68,65
3,4:55.0,Defensive rebound by D. Wade,,68,65
3,4:47.0,D. Wade makes 2-pt layup from 1 ft,,70,65
3,4:33.0,,C. Osman makes 2-pt jump shot from 16 ft (assist by J. Clarkson),70,67
3,4:11.0,J. Winslow makes 3-pt jump shot from 25 ft (assist by T. Johnson),,73,67
3,3:47.0,,C. Osman makes 3-pt jump shot from 22 ft (assist by A. Burks),73,70
3,3:47.0,Miami full timeout,,73,70
3,3:47.0,,D. Adel enters the game for A. Burks,73,70
3,3:47.0,,M. Dellavedova enters the game for C. Sexton,73,70
3,3:29.0,H. Whiteside misses 2-pt hook shot from 10 ft,,73,70
3,3:27.0,Offensive rebound by H. Whiteside,,73,70
3,3:26.0,H. Whiteside misses 2-pt hook shot from 2 ft (block by L. Nance),,73,70
3,3:20.0,Offensive rebound by H. Whiteside,,73,70
3,3:17.0,J. Winslow makes 2-pt layup from 2 ft,,75,70
3,2:50.0,,L. Nance misses 2-pt hook shot from 9 ft,75,70
3,2:47.0,Defensive rebound by T. Johnson,,75,70
3,2:41.0,D. Wade misses 2-pt jump shot from 1 ft,,75,70
3,2:37.0,,Defensive rebound by M. Dellavedova,75,70
3,2:31.0,,M. Dellavedova misses 3-pt jump shot from 28 ft,75,70
3,2:31.0,Defensive rebound by H. Whiteside,,75,70
3,2:20.0,J. Winslow makes 3-pt jump shot from 24 ft (assist by T. Johnson),,78,70
3,1:59.0,,L. Nance misses 2-pt jump shot from 18 ft,78,70
3,1:57.0,Defensive rebound by H. Whiteside,,78,70
3,1:47.0,Turnover by D. Wade (bad pass; steal by D. Adel),,78,70
3,1:43.0,,Turnover by D. Adel (bad pass; steal by T. Johnson),78,70
3,1:39.0,H. Whiteside makes 2-pt dunk at rim (assist by J. Johnson),,80,70
3,1:26.0,,Turnover by J. Clarkson (lost ball; steal by T. Johnson),80,70
3,1:26.0,Personal take foul by J. Clarkson (drawn by J. Johnson),,80,70
3,1:26.0,B. Adebayo enters the game for T. Johnson,,80,70
3,1:26.0,J. Richardson enters the game for H. Whiteside,,80,70
3,1:15.0,J. Richardson misses 3-pt jump shot from 23 ft,,80,70
3,1:15.0,,Defensive rebound by L. Nance,80,70
3,1:14.0,,Turnover by D. Adel (bad pass; steal by B. Adebayo),80,70
3,0:53.0,J. Richardson misses 2-pt jump shot from 10 ft,,80,70
3,0:46.0,,Defensive rebound by D. Adel,80,70
3,0:37.0,,Turnover by M. Dellavedova (lost ball; steal by J. Johnson),80,70
3,0:28.0,J. Winslow misses 2-pt layup at rim,,80,70
3,0:25.0,,Defensive rebound by J. Clarkson,80,70
3,0:22.0,,C. Osman misses 2-pt layup from 2 ft,80,70
3,0:20.0,Defensive rebound by J. Johnson,,80,70
3,0:03.0,D. Wade misses 3-pt jump shot from 26 ft,,80,70
3,0:00.0,,Defensive rebound by J. Clarkson,80,70
3,0:00.0,,Turnover by J. Clarkson (traveling),80,70
3,0:00.0,J. Winslow misses 3-pt jump shot from 32 ft,,80,70
3,0:00.0,Offensive rebound by Team,,80,70
4,11:45.0,D. Wade misses 2-pt jump shot from 12 ft,,80,70
4,11:43.0,Offensive rebound by B. Adebayo,,80,70
4,11:40.0,D. Jones misses 3-pt jump shot from 30 ft,,80,70
4,11:37.0,Offensive rebound by D. Wade,,80,70
4,11:33.0,Shooting foul by R. Hood (drawn by D. Wade),,80,70
4,11:33.0,D. Wade makes free throw 1 of 2,,81,70
4,11:33.0,D. Wade makes free throw 2 of 2,,82,70
4,11:05.0,,J. Clarkson misses 2-pt jump shot from 19 ft,82,70
4,11:03.0,Defensive rebound by J. Winslow,,82,70
4,10:58.0,J. Winslow makes 2-pt jump shot from 1 ft,,84,70
4,10:45.0,,L. Nance makes 2-pt dunk from 2 ft (assist by M. Dellavedova),84,72
4,10:30.0,Shooting foul by M. Dellavedova (drawn by J. Richardson),,84,72
4,10:30.0,J. Richardson makes free throw 1 of 2,,85,72
4,10:30.0,J. Richardson makes free throw 2 of 2,,86,72
4,10:30.0,,Cleveland full timeout,86,72
4,10:06.0,,L. Nance misses 2-pt jump shot from 11 ft,86,72
4,10:03.0,Defensive rebound by B. Adebayo,,86,72
4,9:57.0,D. Wade makes 2-pt dunk from 1 ft,,88,72
4,9:33.0,,D. Adel misses 3-pt jump shot from 23 ft,88,72
4,9:31.0,Defensive rebound by D. Wade,,88,72
4,9:25.0,Turnover by D. Wade (bad pass; steal by J. Clarkson),,88,72
4,9:22.0,,J. Clarkson misses 3-pt jump shot from 26 ft,88,72
4,9:22.0,,Offensive rebound by Team,88,72
4,9:22.0,Loose ball foul by D. Jones (drawn by L. Nance),,88,72
4,9:22.0,,C. Osman enters the game for D. Adel,88,72
4,9:08.0,,R. Hood misses 3-pt jump shot from 24 ft,88,72
4,9:06.0,Defensive rebound by J. Winslow,,88,72
4,8:51.0,J. Winslow makes 2-pt jump shot from 6 ft,,90,72
4,8:39.0,,L. Nance misses 3-pt jump shot from 25 ft,90,72
4,8:37.0,Defensive rebound by D. Jones,,90,72
4,8:22.0,Turnover by D. Wade (bad pass; steal by J. Clarkson),,90,72
4,8:14.0,,M. Dellavedova makes 2-pt jump shot from 19 ft (assist by J. Clarkson),90,74
4,7:53.0,Personal foul by L. Nance (drawn by B. Adebayo),,90,74
4,7:53.0,T. Johnson enters the game for J. Winslow,,90,74
4,7:43.0,D. Wade misses 2-pt jump shot from 13 ft,,90,74
4,7:41.0,,Defensive rebound by L. Nance,90,74
4,7:33.0,,Personal foul by T. Johnson (drawn by L. Nance),90,74
4,7:30.0,,J. Clarkson misses 3-pt jump shot from 26 ft,90,74
4,7:30.0,,Offensive rebound by Team,90,74
4,7:30.0,Loose ball foul by J. Richardson (drawn by C. Osman),,90,74
4,7:20.0,,M. Dellavedova misses 3-pt jump shot from 26 ft,90,74
4,7:20.0,,Offensive rebound by C. Osman,90,74
4,7:20.0,,C. Osman makes 2-pt layup at rim,90,76
4,7:20.0,Miami full timeout,,90,76
4,7:20.0,,C. Sexton enters the game for M. Dellavedova,90,76
4,6:59.0,Turnover by T. Johnson (bad pass; steal by L. Nance),,90,76
4,6:45.0,,Turnover by L. Nance (bad pass),90,76
4,6:34.0,D. Wade makes 2-pt layup from 1 ft,,92,76
4,6:09.0,,C. Osman misses 3-pt jump shot from 26 ft,92,76
4,6:06.0,Defensive rebound by D. Wade,,92,76
4,5:54.0,Personal foul by C. Osman (drawn by J. Richardson),,92,76
4,5:54.0,,A. Burks enters the game for J. Clarkson,92,76
4,5:54.0,,A. Žižić enters the game for L. Nance,92,76
4,5:48.0,T. Johnson misses 3-pt jump shot from 25 ft,,92,76
4,5:45.0,,Defensive rebound by R. Hood,92,76
4,5:38.0,,C. Sexton misses 3-pt jump shot from 23 ft,92,76
4,5:35.0,Defensive rebound by D. Jones,,92,76
4,5:17.0,B. Adebayo makes 2-pt jump shot from 10 ft,,94,76
4,4:59.0,,A. Burks misses 2-pt jump shot from 10 ft,94,76
4,4:56.0,Defensive rebound by D. Jones,,94,76
4,4:47.0,Turnover by B. Adebayo (dbl dribble),,94,76
4,4:36.0,,C. Osman makes 2-pt layup from 2 ft (assist by A. Žižić),94,78
4,4:36.0,,Shooting foul by B. Adebayo (drawn by C. Osman),94,78
4,4:36.0,J. Winslow enters the game for D. Wade,,94,78
4,4:36.0,,C. Osman misses free throw 1 of 1,94,78
4,4:33.0,Defensive rebound by D. Jones,,94,78
4,4:21.0,J. Winslow misses 2-pt jump shot from 16 ft,,94,78
4,4:19.0,Offensive rebound by B. Adebayo,,94,78
4,4:12.0,D. Jones makes 2-pt dunk from 1 ft (assist by J. Richardson),,96,78
4,4:12.0,,Cleveland full timeout,96,78
4,3:54.0,,C. Sexton makes 3-pt jump shot from 27 ft (assist by R. Hood),96,81
4,3:40.0,Turnover by B. Adebayo (traveling),,96,81
4,3:40.0,R. McGruder enters the game for T. Johnson,,96,81
4,3:33.0,,A. Burks makes 3-pt jump shot from 24 ft (assist by C. Osman),96,84
4,3:21.0,Personal foul by C. Osman (drawn by B. Adebayo),,96,84
4,3:21.0,B. Adebayo misses free throw 1 of 2,,96,84
4,3:21.0,Offensive rebound by Team,,96,84
4,3:21.0,B. Adebayo makes free throw 2 of 2,,97,84
4,3:06.0,,C. Sexton makes 3-pt jump shot from 27 ft (assist by R. Hood),97,87
4,2:47.0,D. Jones misses 2-pt layup from 2 ft,,97,87
4,2:43.0,,Defensive rebound by A. Žižić,97,87
4,2:27.0,,C. Osman misses 2-pt jump shot from 9 ft,97,87
4,2:27.0,Defensive rebound by Team,,97,87
4,2:15.0,Offensive foul by J. Winslow (drawn by A. Burks),,97,87
4,2:15.0,Turnover by J. Winslow (offensive foul),,97,87
4,2:01.0,,Shooting foul by B. Adebayo (drawn by A. Burks),97,87
4,2:01.0,,A. Burks makes free throw 1 of 2,97,88
4,2:01.0,D. Wade enters the game for R. McGruder,,97,88
4,2:01.0,,A. Burks misses free throw 2 of 2,97,88
4,1:57.0,Defensive rebound by D. Jones,,97,88
4,1:40.0,D. Wade misses 2-pt jump shot from 10 ft,,97,88
4,1:38.0,,Defensive rebound by A. Burks,97,88
4,1:30.0,,A. Burks misses 2-pt jump shot from 8 ft,97,88
4,1:28.0,Defensive rebound by J. Winslow,,97,88
4,1:26.0,Turnover by J. Winslow (bad pass; steal by C. Osman),,97,88
4,1:25.0,,A. Burks makes 2-pt dunk from 2 ft (assist by C. Osman),97,90
4,1:25.0,Miami full timeout,,97,90
4,1:17.0,Offensive foul by J. Richardson (drawn by C. Sexton),,97,90
4,1:17.0,Turnover by J. Richardson (offensive foul),,97,90
4,1:09.0,,Shooting foul by B. Adebayo (drawn by A. Žižić),97,90
4,1:09.0,,A. Žižić makes free throw 1 of 2,97,91
4,1:09.0,,A. Žižić misses free throw 2 of 2,97,91
4,1:07.0,Defensive rebound by B. Adebayo,,97,91
4,0:47.0,D. Wade misses 2-pt jump shot from 16 ft,,97,91
4,0:45.0,,Defensive rebound by A. Žižić,97,91
4,0:30.0,,C. Sexton misses 2-pt jump shot from 15 ft,97,91
4,0:30.0,Defensive rebound by Team,,97,91
