QUARTER,TIME_REMAINING,BOSTON_ACTION,UTAH_ACTION,BOSTON_SCORE,UTAH_SCORE
1,3:08.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by R. Rubio),18,24
1,2:50.0,Personal foul by R. Gobert (drawn by A. Baynes),,18,24
1,2:50.0,J. Tatum enters the game for J. Brown,,18,24
1,2:50.0,,D. Exum enters the game for A. Burks,18,24
1,2:50.0,,D. Favors enters the game for R. Gobert,18,24
1,2:50.0,,D. Mitchell enters the game for J. Ingles,18,24
1,2:50.0,,R. O'Neale enters the game for R. Rubio,18,24
1,2:40.0,Shooting foul by D. Exum (drawn by J. Tatum),,18,24
1,2:40.0,J. Tatum makes free throw 1 of 2,,19,24
1,2:40.0,J. Tatum makes free throw 2 of 2,,20,24
1,2:28.0,,Turnover by D. Mitchell (lost ball; steal by M. Smart),20,24
1,2:22.0,S. Ojeleye makes 3-pt jump shot from 23 ft (assist by J. Tatum),,23,24
1,2:07.0,,Turnover by R. O'Neale (bad pass),23,24
1,1:52.0,A. Baynes makes 2-pt jump shot from 5 ft (assist by J. Tatum),,25,24
1,1:37.0,,Turnover by D. Exum (bad pass),25,24
1,1:27.0,J. Tatum misses 3-pt jump shot from 26 ft,,25,24
1,1:23.0,,Defensive rebound by D. Favors,25,24
1,1:09.0,,D. Exum misses 2-pt layup from 8 ft,25,24
1,1:08.0,,Offensive rebound by R. O'Neale,25,24
1,1:06.0,,R. O'Neale misses 2-pt layup from 2 ft,25,24
1,1:05.0,Defensive rebound by M. Morris,,25,24
1,0:49.0,M. Morris misses 2-pt jump shot from 9 ft,,25,24
1,0:48.0,,Defensive rebound by J. Crowder,25,24
1,0:41.0,,D. Mitchell makes 3-pt jump shot from 26 ft (assist by D. Exum),25,27
1,0:27.0,A. Baynes misses 3-pt jump shot from 26 ft,,25,27
1,0:25.0,,Defensive rebound by D. Exum,25,27
1,0:03.0,,D. Exum misses 3-pt jump shot from 23 ft,25,27
1,0:03.0,,Offensive rebound by Team,25,27
1,0:03.0,,Turnover by Team (shot clock),25,27
1,0:03.0,,A. Burks enters the game for D. Exum,25,27
1,0:00.0,Turnover by M. Morris (bad pass; steal by D. Mitchell),,25,27
2,11:42.0,G. Hayward makes 2-pt jump shot from 23 ft,,27,27
2,11:24.0,,J. Crowder misses 3-pt jump shot from 23 ft,27,27
2,11:24.0,Defensive rebound by Team,,27,27
2,11:19.0,Personal foul by J. Crowder (drawn by M. Morris),,27,27
2,11:12.0,G. Hayward misses 2-pt jump shot from 17 ft,,27,27
2,11:09.0,,Defensive rebound by D. Mitchell,27,27
2,10:54.0,,J. Crowder misses 3-pt jump shot from 22 ft,27,27
2,10:53.0,,Offensive rebound by Team,27,27
2,10:51.0,,D. Mitchell misses 3-pt jump shot from 23 ft,27,27
2,10:46.0,Defensive rebound by A. Baynes,,27,27
2,10:33.0,M. Morris misses 2-pt jump shot from 19 ft,,27,27
2,10:29.0,,Defensive rebound by R. O'Neale,27,27
2,10:21.0,,Turnover by J. Crowder (bad pass; steal by J. Tatum),27,27
2,10:14.0,M. Smart makes 3-pt jump shot from 25 ft (assist by J. Tatum),,30,27
2,9:56.0,,Shooting foul by M. Smart (drawn by D. Mitchell),30,27
2,9:56.0,,D. Mitchell misses free throw 1 of 2,30,27
2,9:56.0,,Offensive rebound by Team,30,27
2,9:56.0,T. Rozier enters the game for M. Smart,,30,27
2,9:56.0,,G. Niang enters the game for J. Crowder,30,27
2,9:56.0,,D. Mitchell makes free throw 2 of 2,30,28
2,9:44.0,J. Tatum makes 2-pt layup from 3 ft (assist by A. Baynes),,32,28
2,9:26.0,,G. Niang misses 2-pt jump shot from 11 ft,32,28
2,9:24.0,Defensive rebound by J. Tatum,,32,28
2,9:12.0,G. Hayward misses 2-pt jump shot from 7 ft,,32,28
2,9:09.0,,Defensive rebound by R. O'Neale,32,28
2,9:06.0,,R. O'Neale makes 2-pt layup from 2 ft,32,30
2,8:41.0,M. Morris makes 2-pt jump shot from 13 ft,,34,30
2,8:21.0,,A. Burks makes 3-pt jump shot from 25 ft (assist by D. Favors),34,33
2,8:06.0,A. Baynes makes 2-pt layup from 2 ft (assist by G. Hayward),,36,33
2,8:06.0,Shooting foul by D. Favors (drawn by A. Baynes),,36,33
2,8:06.0,,Utah full timeout,36,33
2,8:06.0,J. Brown enters the game for M. Morris,,36,33
2,8:06.0,S. Ojeleye enters the game for J. Tatum,,36,33
2,8:06.0,,R. Gobert enters the game for D. Favors,36,33
2,8:06.0,,J. Ingles enters the game for D. Mitchell,36,33
2,8:06.0,,R. Rubio enters the game for R. O'Neale,36,33
2,8:06.0,A. Baynes makes free throw 1 of 1,,37,33
2,7:50.0,,R. Rubio makes 2-pt jump shot from 20 ft,37,35
2,7:35.0,Turnover by G. Hayward (lost ball; steal by J. Ingles),,37,35
2,7:24.0,,R. Gobert makes 2-pt hook shot from 4 ft (assist by J. Ingles),37,37
2,7:24.0,,Shooting foul by S. Ojeleye (drawn by R. Gobert),37,37
2,7:24.0,,R. Gobert makes free throw 1 of 1,37,38
2,7:04.0,J. Brown misses 3-pt jump shot from 26 ft,,37,38
2,7:01.0,,Defensive rebound by R. Rubio,37,38
2,6:55.0,,R. Gobert makes 2-pt dunk from 3 ft (assist by A. Burks),37,40
2,6:44.0,G. Hayward misses 3-pt jump shot from 25 ft,,37,40
2,6:40.0,,Defensive rebound by J. Ingles,37,40
2,6:32.0,,A. Burks misses 3-pt jump shot from 22 ft,37,40
2,6:29.0,Defensive rebound by J. Brown,,37,40
2,6:24.0,S. Ojeleye misses 3-pt jump shot from 23 ft (block by J. Ingles),,37,40
2,6:23.0,,Defensive rebound by Team,37,40
2,6:23.0,A. Horford enters the game for A. Baynes,,37,40
2,6:06.0,,Shooting foul by G. Hayward (drawn by A. Burks),37,40
2,6:06.0,,A. Burks misses free throw 1 of 3,37,40
2,6:06.0,,Offensive rebound by Team,37,40
2,6:06.0,,A. Burks makes free throw 2 of 3,37,41
2,6:06.0,,A. Burks makes free throw 3 of 3,37,42
2,5:50.0,J. Brown makes 3-pt jump shot from 24 ft (assist by G. Hayward),,40,42
2,5:35.0,,J. Ingles makes 2-pt layup from 1 ft (assist by G. Niang),40,44
2,5:14.0,A. Horford misses 2-pt layup from 4 ft,,40,44
2,5:14.0,Offensive rebound by Team,,40,44
2,5:14.0,,Loose ball foul by R. Rubio (drawn by A. Horford),40,44
2,5:14.0,M. Smart enters the game for G. Hayward,,40,44
2,5:14.0,J. Tatum enters the game for S. Ojeleye,,40,44
2,5:14.0,,J. Crowder enters the game for A. Burks,40,44
2,5:14.0,,D. Mitchell enters the game for G. Niang,40,44
2,5:05.0,J. Brown misses 2-pt layup from 3 ft (block by R. Gobert),,40,44
2,5:05.0,Offensive rebound by Team,,40,44
2,5:02.0,J. Tatum makes 2-pt layup from 1 ft (assist by M. Smart),,42,44
2,4:42.0,,J. Ingles makes 2-pt layup from 2 ft,42,46
2,4:22.0,M. Smart misses 3-pt jump shot from 25 ft,,42,46
2,4:19.0,,Defensive rebound by J. Crowder,42,46
2,4:13.0,,Turnover by R. Rubio (bad pass; steal by M. Smart),42,46
2,4:06.0,A. Horford makes 2-pt layup from 3 ft (assist by M. Smart),,44,46
2,3:49.0,,J. Crowder misses 3-pt jump shot from 25 ft,44,46
2,3:47.0,Defensive rebound by A. Horford,,44,46
2,3:37.0,J. Brown makes 2-pt jump shot from 8 ft,,46,46
2,3:22.0,,Turnover by D. Mitchell (bad pass; steal by J. Tatum),46,46
2,3:22.0,,Loose ball foul by J. Ingles (drawn by T. Rozier),46,46
2,3:11.0,A. Horford misses 3-pt jump shot from 25 ft,,46,46
2,3:07.0,,Defensive rebound by R. Rubio,46,46
2,2:54.0,,D. Mitchell misses 3-pt jump shot from 25 ft,46,46
2,2:51.0,Defensive rebound by T. Rozier,,46,46
2,2:47.0,J. Brown misses 3-pt jump shot from 25 ft,,46,46
2,2:44.0,,Defensive rebound by J. Ingles,46,46
2,2:34.0,,J. Crowder misses 2-pt layup from 2 ft,46,46
2,2:33.0,Defensive rebound by J. Brown,,46,46
2,2:33.0,Boston full timeout,,46,46
2,2:33.0,M. Morris enters the game for J. Brown,,46,46
2,2:12.0,A. Horford makes 2-pt jump shot from 8 ft (assist by M. Smart),,48,46
2,1:56.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by D. Mitchell),48,49
2,1:40.0,M. Smart misses 3-pt jump shot from 22 ft,,48,49
2,1:38.0,,Defensive rebound by R. Gobert,48,49
2,1:23.0,,J. Ingles makes 3-pt jump shot from 24 ft,48,52
2,1:07.0,T. Rozier misses 2-pt jump shot from 15 ft,,48,52
2,1:03.0,Offensive rebound by M. Smart,,48,52
2,1:01.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by M. Smart),,51,52
2,0:40.0,,J. Ingles makes 3-pt jump shot from 26 ft (assist by R. Gobert),51,55
2,0:29.0,T. Rozier misses 2-pt jump shot from 23 ft,,51,55
2,0:27.0,,Defensive rebound by J. Crowder,51,55
2,0:07.0,,J. Crowder makes 3-pt jump shot from 26 ft (assist by D. Mitchell),51,58
2,0:00.0,M. Morris misses 3-pt jump shot from 23 ft,,51,58
2,0:00.0,Offensive rebound by Team,,51,58
3,11:45.0,A. Horford makes 2-pt jump shot from 21 ft (assist by T. Rozier),,53,58
3,11:20.0,,Shooting foul by J. Tatum (drawn by D. Mitchell),53,58
3,11:20.0,,D. Mitchell makes free throw 1 of 3,53,59
3,11:20.0,,D. Mitchell makes free throw 2 of 3,53,60
3,11:20.0,,D. Mitchell makes free throw 3 of 3,53,61
3,11:03.0,J. Tatum misses 2-pt layup from 4 ft,,53,61
3,11:01.0,,Defensive rebound by R. Gobert,53,61
3,10:54.0,,D. Mitchell makes 2-pt layup from 2 ft,53,63
3,10:48.0,Shooting foul by J. Ingles (drawn by G. Hayward),,53,63
3,10:48.0,G. Hayward makes free throw 1 of 2,,54,63
3,10:48.0,G. Hayward makes free throw 2 of 2,,55,63
3,10:32.0,,D. Favors makes 3-pt jump shot from 23 ft (assist by J. Ingles),55,66
3,10:20.0,T. Rozier misses 2-pt jump shot from 17 ft,,55,66
3,10:18.0,,Defensive rebound by D. Favors,55,66
3,10:10.0,,D. Favors makes 2-pt dunk from 2 ft (assist by D. Mitchell),55,68
3,10:10.0,,Shooting foul by G. Hayward (drawn by D. Favors),55,68
3,10:10.0,,D. Favors misses free throw 1 of 1,55,68
3,10:10.0,Defensive rebound by A. Horford,,55,68
3,9:50.0,G. Hayward misses 3-pt jump shot from 24 ft,,55,68
3,9:48.0,Offensive rebound by T. Rozier,,55,68
3,9:39.0,Shooting foul by R. Rubio (drawn by T. Rozier),,55,68
3,9:39.0,T. Rozier makes free throw 1 of 2,,56,68
3,9:39.0,T. Rozier makes free throw 2 of 2,,57,68
3,9:32.0,,Personal foul by G. Hayward (drawn by R. Rubio),57,68
3,9:25.0,,J. Ingles makes 3-pt jump shot from 27 ft (assist by R. Rubio),57,71
3,9:08.0,J. Brown misses 2-pt layup from 3 ft,,57,71
3,9:07.0,,Defensive rebound by Team,57,71
3,8:55.0,,R. Rubio makes 2-pt layup from 2 ft (assist by J. Ingles),57,73
3,8:55.0,Boston full timeout,,57,73
3,8:36.0,J. Brown misses 2-pt layup from 1 ft,,57,73
3,8:34.0,,Defensive rebound by R. Gobert,57,73
3,8:31.0,,J. Ingles misses 3-pt jump shot from 25 ft,57,73
3,8:28.0,Defensive rebound by J. Brown,,57,73
3,8:26.0,Personal foul by R. Rubio (drawn by J. Brown),,57,73
3,8:20.0,G. Hayward misses 3-pt jump shot from 26 ft,,57,73
3,8:17.0,,Defensive rebound by R. Rubio,57,73
3,8:07.0,,Shooting foul by A. Horford (drawn by D. Favors),57,73
3,8:07.0,,D. Favors makes free throw 1 of 2,57,74
3,8:07.0,A. Baynes enters the game for G. Hayward,,57,74
3,8:07.0,M. Morris enters the game for A. Horford,,57,74
3,8:07.0,M. Smart enters the game for J. Tatum,,57,74
3,8:07.0,,D. Favors makes free throw 2 of 2,57,75
3,8:07.0,,J. Crowder enters the game for D. Favors,57,75
3,7:55.0,Away from play foul by R. Gobert (drawn by M. Smart),,57,75
3,7:55.0,T. Rozier makes free throw 1 of 1,,58,75
3,7:54.0,,Violation by Team (kicked ball),58,75
3,7:49.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by M. Smart),,61,75
3,7:32.0,,J. Ingles misses 3-pt jump shot from 30 ft,61,75
3,7:32.0,,Offensive rebound by Team,61,75
3,7:32.0,Loose ball foul by A. Baynes (drawn by R. Gobert),,61,75
3,7:32.0,,R. Gobert makes free throw 1 of 2,61,76
3,7:32.0,,R. Gobert makes free throw 2 of 2,61,77
3,7:12.0,Turnover by M. Morris (bad pass; steal by D. Mitchell),,61,77
3,7:08.0,,J. Crowder misses 3-pt jump shot from 24 ft,61,77
3,7:04.0,,Offensive rebound by R. Rubio,61,77
3,7:03.0,,Personal foul by J. Brown (drawn by R. Rubio),61,77
3,7:03.0,Technical foul by M. Morris,,61,77
3,7:03.0,,Technical foul by J. Crowder,61,77
3,7:03.0,,R. Rubio makes free throw 1 of 2,61,78
3,7:03.0,,R. Rubio makes free throw 2 of 2,61,79
3,6:55.0,Personal foul by J. Crowder (drawn by M. Morris),,61,79
3,6:55.0,M. Morris makes free throw 1 of 2,,62,79
3,6:55.0,M. Morris makes free throw 2 of 2,,63,79
3,6:45.0,,Personal foul by M. Smart (drawn by J. Ingles),63,79
3,6:45.0,,J. Ingles makes free throw 1 of 2,63,80
3,6:45.0,,J. Ingles makes free throw 2 of 2,63,81
3,6:32.0,Turnover by M. Smart (bad pass; steal by J. Crowder),,63,81
3,6:26.0,,J. Crowder makes 2-pt layup from 3 ft (assist by J. Ingles),63,83
3,6:13.0,J. Brown makes 2-pt dunk from 2 ft (assist by M. Morris),,65,83
3,5:53.0,,Turnover by D. Mitchell (bad pass; steal by M. Morris),65,83
3,5:48.0,T. Rozier makes 2-pt layup from 2 ft (assist by M. Morris),,67,83
3,5:46.0,,Utah full timeout,67,83
3,5:46.0,,A. Burks enters the game for D. Mitchell,67,83
3,5:24.0,,R. Gobert misses 2-pt layup from 2 ft,67,83
3,5:22.0,,Offensive rebound by R. Gobert,67,83
3,5:10.0,,R. Rubio misses 2-pt jump shot from 18 ft,67,83
3,5:07.0,Defensive rebound by M. Morris,,67,83
3,4:56.0,J. Brown misses 3-pt jump shot from 25 ft,,67,83
3,4:54.0,Offensive rebound by Team,,67,83
3,4:52.0,J. Brown misses 2-pt jump shot from 4 ft (block by J. Crowder),,67,83
3,4:52.0,Offensive rebound by Team,,67,83
3,4:41.0,J. Brown misses 3-pt jump shot from 23 ft,,67,83
3,4:37.0,Offensive rebound by A. Baynes,,67,83
3,4:30.0,Turnover by A. Baynes (3 sec),,67,83
3,4:12.0,,A. Burks misses 3-pt jump shot from 26 ft,67,83
3,4:09.0,Defensive rebound by M. Morris,,67,83
3,3:58.0,T. Rozier makes 2-pt jump shot from 8 ft,,69,83
3,3:36.0,,Turnover by A. Burks (out of bounds lost ball),69,83
3,3:36.0,G. Hayward enters the game for A. Baynes,,69,83
3,3:36.0,J. Tatum enters the game for J. Brown,,69,83
3,3:36.0,,R. O'Neale enters the game for J. Ingles,69,83
3,3:13.0,M. Morris makes 2-pt layup from 3 ft (assist by M. Smart),,71,83
3,2:56.0,,J. Crowder makes 2-pt dunk from 2 ft (assist by R. Rubio),71,85
3,2:38.0,M. Morris misses 2-pt jump shot from 12 ft,,71,85
3,2:35.0,,Defensive rebound by R. O'Neale,71,85
3,2:21.0,,R. Rubio makes 2-pt jump shot from 21 ft,71,87
3,2:08.0,G. Hayward makes 3-pt jump shot from 27 ft (assist by T. Rozier),,74,87
3,1:48.0,,J. Crowder makes 2-pt layup from 2 ft (assist by R. Rubio),74,89
3,1:31.0,Turnover by J. Tatum (out of bounds lost ball),,74,89
3,1:31.0,S. Ojeleye enters the game for T. Rozier,,74,89
3,1:31.0,,D. Favors enters the game for R. Gobert,74,89
3,1:31.0,,D. Mitchell enters the game for R. Rubio,74,89
3,1:16.0,,Turnover by D. Mitchell (bad pass; steal by J. Tatum),74,89
3,1:03.0,M. Morris makes 2-pt layup from 6 ft (assist by G. Hayward),,76,89
3,0:41.0,,D. Mitchell makes 2-pt jump shot from 8 ft,76,91
3,0:32.0,Shooting foul by D. Favors (drawn by G. Hayward),,76,91
3,0:32.0,G. Hayward makes free throw 1 of 2,,77,91
3,0:32.0,A. Baynes enters the game for S. Ojeleye,,77,91
3,0:32.0,G. Hayward makes free throw 2 of 2,,78,91
3,0:20.0,,D. Mitchell makes 2-pt jump shot from 5 ft,78,93
3,0:05.0,Personal foul by A. Burks (drawn by M. Morris),,78,93
3,0:05.0,M. Morris makes free throw 1 of 2,,79,93
3,0:05.0,M. Morris makes free throw 2 of 2,,80,93
3,0:00.0,,D. Mitchell misses 3-pt jump shot from 25 ft,80,93
3,0:00.0,,Offensive rebound by Team,80,93
4,11:45.0,,D. Mitchell misses 3-pt jump shot from 25 ft,80,93
4,11:42.0,Defensive rebound by J. Tatum,,80,93
4,11:29.0,Turnover by A. Horford (traveling),,80,93
4,11:09.0,,J. Crowder misses 3-pt jump shot from 27 ft,80,93
4,11:08.0,,Offensive rebound by D. Favors,80,93
4,11:08.0,,Shooting foul by M. Morris (drawn by D. Favors),80,93
4,11:08.0,,D. Favors misses free throw 1 of 2,80,93
4,11:08.0,,Offensive rebound by Team,80,93
4,11:08.0,,D. Favors makes free throw 2 of 2,80,94
4,10:53.0,J. Tatum misses 2-pt layup from 3 ft,,80,94
4,10:52.0,Offensive rebound by J. Tatum,,80,94
4,10:52.0,Shooting foul by D. Favors (drawn by J. Tatum),,80,94
4,10:52.0,J. Tatum misses free throw 1 of 2,,80,94
4,10:52.0,Offensive rebound by Team,,80,94
4,10:52.0,,G. Niang enters the game for J. Crowder,80,94
4,10:52.0,J. Tatum makes free throw 2 of 2,,81,94
4,10:35.0,,D. Mitchell misses 2-pt jump shot from 9 ft,81,94
4,10:31.0,,Offensive rebound by D. Favors,81,94
4,10:31.0,,D. Favors makes 2-pt layup from 1 ft,81,96
4,10:24.0,M. Morris makes 3-pt jump shot from 25 ft (assist by M. Smart),,84,96
4,10:00.0,,D. Mitchell misses 2-pt layup from 3 ft,84,96
4,9:57.0,,Offensive rebound by D. Favors,84,96
4,9:57.0,,D. Favors makes 2-pt layup from 1 ft,84,98
4,9:44.0,A. Horford makes 2-pt dunk from 1 ft (assist by M. Smart),,86,98
4,9:29.0,,D. Mitchell misses 2-pt layup from 3 ft (block by A. Horford),86,98
4,9:25.0,Defensive rebound by M. Morris,,86,98
4,9:22.0,M. Smart makes 3-pt jump shot from 23 ft (assist by G. Hayward),,89,98
4,9:21.0,,Utah full timeout,89,98
4,9:21.0,,J. Ingles enters the game for A. Burks,89,98
4,9:21.0,,R. Rubio enters the game for D. Mitchell,89,98
4,9:08.0,,Turnover by J. Ingles (bad pass; steal by G. Hayward),89,98
4,9:04.0,J. Tatum makes 2-pt layup from 3 ft (assist by G. Hayward),,91,98
4,8:44.0,,R. Rubio misses 3-pt jump shot from 27 ft,91,98
4,8:41.0,,Offensive rebound by D. Favors,91,98
4,8:40.0,,D. Favors makes 2-pt layup from 2 ft,91,100
4,8:26.0,A. Horford misses 3-pt jump shot from 24 ft,,91,100
4,8:23.0,,Defensive rebound by J. Ingles,91,100
4,8:18.0,,Turnover by R. O'Neale (lost ball; steal by J. Tatum),91,100
4,8:16.0,Shooting foul by R. O'Neale (drawn by J. Tatum),,91,100
4,8:16.0,J. Tatum makes free throw 1 of 2,,92,100
4,8:16.0,J. Brown enters the game for M. Morris,,92,100
4,8:16.0,T. Rozier enters the game for M. Smart,,92,100
4,8:16.0,,A. Burks enters the game for D. Favors,92,100
4,8:16.0,,R. Gobert enters the game for R. O'Neale,92,100
4,8:16.0,J. Tatum makes free throw 2 of 2,,93,100
4,8:05.0,,Personal foul by J. Brown (drawn by J. Ingles),93,100
4,8:01.0,,Offensive foul by G. Niang (drawn by G. Hayward),93,100
4,8:01.0,,Turnover by G. Niang (offensive foul),93,100
4,7:48.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by G. Hayward),,96,100
4,7:32.0,,R. Gobert misses 2-pt layup from 2 ft (block by J. Brown),96,100
4,7:30.0,Defensive rebound by T. Rozier,,96,100
4,7:21.0,,Violation by Team (kicked ball),96,100
4,7:21.0,,J. Crowder enters the game for G. Niang,96,100
4,7:19.0,G. Hayward misses 3-pt jump shot from 23 ft,,96,100
4,7:18.0,,Defensive rebound by Team,96,100
4,7:04.0,,J. Ingles makes 2-pt layup from 3 ft (assist by J. Crowder),96,102
4,6:50.0,Personal foul by J. Crowder (drawn by J. Tatum),,96,102
4,6:50.0,M. Smart enters the game for G. Hayward,,96,102
4,6:40.0,J. Tatum makes 2-pt layup from 2 ft,,98,102
4,6:15.0,,R. Rubio makes 3-pt jump shot from 26 ft (assist by J. Crowder),98,105
4,6:05.0,T. Rozier misses 3-pt jump shot from 26 ft,,98,105
4,6:02.0,,Defensive rebound by J. Crowder,98,105
4,5:56.0,,Turnover by R. Rubio (bad pass; steal by A. Horford),98,105
4,5:52.0,M. Smart misses 3-pt jump shot from 25 ft,,98,105
4,5:50.0,,Defensive rebound by R. Rubio,98,105
4,5:43.0,,R. Rubio misses 3-pt jump shot from 27 ft,98,105
4,5:38.0,Defensive rebound by A. Horford,,98,105
4,5:31.0,Boston full timeout,,98,105
4,5:31.0,,D. Mitchell enters the game for A. Burks,98,105
4,5:24.0,T. Rozier makes 3-pt jump shot from 22 ft (assist by M. Smart),,101,105
4,4:57.0,,J. Ingles misses 3-pt jump shot from 25 ft,101,105
4,4:54.0,Defensive rebound by T. Rozier,,101,105
4,4:47.0,J. Brown misses 3-pt jump shot from 27 ft,,101,105
4,4:45.0,,Defensive rebound by R. Gobert,101,105
4,4:36.0,,J. Crowder makes 3-pt jump shot from 24 ft (assist by R. Rubio),101,108
4,4:12.0,A. Horford misses 2-pt layup from 3 ft (block by R. Gobert),,101,108
4,4:10.0,,Defensive rebound by J. Crowder,101,108
4,4:03.0,,R. Rubio misses 3-pt jump shot from 23 ft,101,108
4,4:00.0,Defensive rebound by M. Smart,,101,108
4,3:51.0,M. Smart makes 3-pt jump shot from 26 ft (assist by T. Rozier),,104,108
4,3:26.0,,Shooting foul by J. Tatum (drawn by D. Mitchell),104,108
4,3:26.0,,D. Mitchell makes free throw 1 of 2,104,109
4,3:26.0,,D. Mitchell misses free throw 2 of 2,104,109
4,3:24.0,Defensive rebound by A. Horford,,104,109
4,3:14.0,Boston full timeout,,104,109
4,3:05.0,T. Rozier misses 3-pt jump shot from 25 ft,,104,109
4,3:01.0,,Defensive rebound by R. Gobert,104,109
4,2:45.0,,J. Crowder misses 2-pt layup from 2 ft (block by A. Horford),104,109
4,2:43.0,Defensive rebound by M. Smart,,104,109
4,2:36.0,J. Brown misses 2-pt layup from 1 ft,,104,109
4,2:31.0,,Defensive rebound by R. Gobert,104,109
4,2:30.0,,J. Crowder makes 2-pt dunk from 2 ft (assist by D. Mitchell),104,111
4,2:19.0,M. Smart makes 3-pt jump shot from 26 ft (assist by A. Horford),,107,111
4,1:55.0,,R. Gobert makes 2-pt layup from 2 ft (assist by J. Crowder),107,113
4,1:42.0,J. Tatum misses 2-pt layup from 5 ft,,107,113
4,1:38.0,,Defensive rebound by R. Gobert,107,113
4,1:29.0,,Shooting foul by J. Brown (drawn by D. Mitchell),107,113
