QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,DENVER_ACTION,SACRAMENTO_SCORE,DENVER_SCORE
2,6:08.0,,G. Harris enters the game for M. Beasley,40,48
2,5:50.0,,N. Jokić makes 2-pt layup from 2 ft,40,50
2,5:35.0,J. Jackson makes 3-pt jump shot from 22 ft (assist by N. Bjelica),,43,50
2,5:15.0,,P. Millsap misses 2-pt jump shot from 12 ft,43,50
2,5:12.0,,Offensive rebound by J. Murray,43,50
2,5:11.0,,J. Murray makes 2-pt layup from 2 ft,43,52
2,4:56.0,W. Cauley-Stein misses 2-pt jump shot from 4 ft,,43,52
2,4:51.0,Offensive rebound by B. Hield,,43,52
2,4:51.0,B. Hield makes 2-pt layup at rim,,45,52
2,4:42.0,,N. Jokić makes 2-pt jump shot from 5 ft (assist by G. Harris),45,54
2,4:31.0,D. Fox misses 2-pt jump shot from 5 ft,,45,54
2,4:29.0,,Defensive rebound by N. Jokić,45,54
2,4:28.0,,Turnover by N. Jokić (lost ball; steal by D. Fox),45,54
2,4:24.0,N. Bjelica misses 2-pt layup from 3 ft,,45,54
2,4:24.0,Offensive rebound by W. Cauley-Stein,,45,54
2,4:24.0,W. Cauley-Stein misses 2-pt layup at rim,,45,54
2,4:24.0,,Defensive rebound by Team,45,54
2,4:24.0,Loose ball foul by N. Bjelica (drawn by N. Jokić),,45,54
2,4:08.0,,P. Millsap makes 2-pt layup from 1 ft,45,56
2,3:52.0,Turnover by N. Bjelica (bad pass; steal by G. Harris),,45,56
2,3:42.0,,Turnover by T. Craig (traveling),45,56
2,3:42.0,I. Shumpert enters the game for J. Jackson,,45,56
2,3:37.0,Shooting foul by J. Murray (drawn by D. Fox),,45,56
2,3:37.0,D. Fox misses free throw 1 of 2,,45,56
2,3:37.0,Offensive rebound by Team,,45,56
2,3:37.0,,M. Morris enters the game for J. Murray,45,56
2,3:37.0,D. Fox misses free throw 2 of 2,,45,56
2,3:35.0,,Defensive rebound by N. Jokić,45,56
2,3:16.0,,P. Millsap makes 2-pt jump shot from 8 ft,45,58
2,3:00.0,W. Cauley-Stein makes 2-pt hook shot from 4 ft (assist by B. Hield),,47,58
2,2:45.0,,G. Harris misses 2-pt jump shot from 6 ft,47,58
2,2:43.0,Defensive rebound by W. Cauley-Stein,,47,58
2,2:39.0,D. Fox makes 2-pt layup from 2 ft (assist by I. Shumpert),,49,58
2,2:39.0,Shooting foul by N. Jokić (drawn by D. Fox),,49,58
2,2:39.0,H. Giles enters the game for W. Cauley-Stein,,49,58
2,2:39.0,D. Fox makes free throw 1 of 1,,50,58
2,2:26.0,,G. Harris makes 2-pt dunk from 1 ft (assist by N. Jokić),50,60
2,2:21.0,Turnover by B. Hield (out of bounds lost ball),,50,60
2,2:09.0,,G. Harris misses 3-pt jump shot from 25 ft,50,60
2,2:05.0,Defensive rebound by N. Bjelica,,50,60
2,1:54.0,H. Giles misses 2-pt hook shot from 3 ft,,50,60
2,1:54.0,,Defensive rebound by T. Craig,50,60
2,1:52.0,,Personal foul by H. Giles (drawn by T. Craig),50,60
2,1:52.0,M. Bagley enters the game for N. Bjelica,,50,60
2,1:52.0,F. Mason enters the game for D. Fox,,50,60
2,1:40.0,,P. Millsap makes 3-pt jump shot from 26 ft (assist by M. Morris),50,63
2,1:25.0,Shooting foul by N. Jokić (drawn by H. Giles),,50,63
2,1:25.0,H. Giles misses free throw 1 of 2,,50,63
2,1:25.0,Offensive rebound by Team,,50,63
2,1:25.0,,M. Plumlee enters the game for N. Jokić,50,63
2,1:25.0,H. Giles misses free throw 2 of 2,,50,63
2,1:24.0,,Defensive rebound by Team,50,63
2,1:14.0,,M. Morris misses 3-pt jump shot from 26 ft,50,63
2,1:10.0,Defensive rebound by B. Hield,,50,63
2,0:58.0,Turnover by M. Bagley (bad pass; steal by T. Craig),,50,63
2,0:51.0,,Shooting foul by H. Giles (drawn by M. Morris),50,63
2,0:51.0,,M. Morris makes free throw 1 of 2,50,64
2,0:51.0,,T. Lyles enters the game for P. Millsap,50,64
2,0:51.0,,M. Morris makes free throw 2 of 2,50,65
2,0:35.0,F. Mason misses 3-pt jump shot from 24 ft,,50,65
2,0:32.0,Offensive rebound by H. Giles,,50,65
2,0:29.0,B. Hield misses 2-pt jump shot from 22 ft,,50,65
2,0:29.0,Offensive rebound by Team,,50,65
2,0:13.0,F. Mason makes 2-pt jump shot from 14 ft,,52,65
2,0:05.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by T. Lyles),52,68
2,0:00.0,F. Mason makes 3-pt jump shot from 29 ft,,55,68
3,11:46.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by G. Harris),55,71
3,11:30.0,Turnover by I. Shumpert (bad pass),,55,71
3,11:24.0,,N. Jokić misses 3-pt jump shot from 24 ft,55,71
3,11:20.0,Defensive rebound by I. Shumpert,,55,71
3,11:15.0,D. Fox makes 2-pt jump shot from 9 ft (assist by I. Shumpert),,57,71
3,11:04.0,,J. Murray makes 2-pt jump shot from 13 ft,57,73
3,10:50.0,W. Cauley-Stein makes 2-pt hook shot from 6 ft (assist by N. Bjelica),,59,73
3,10:28.0,,J. Murray makes 3-pt jump shot from 24 ft,59,76
3,10:10.0,D. Fox misses 3-pt jump shot from 25 ft,,59,76
3,10:08.0,,Defensive rebound by P. Millsap,59,76
3,9:59.0,,Turnover by G. Harris (out of bounds lost ball),59,76
3,9:44.0,I. Shumpert makes 3-pt jump shot from 25 ft (assist by D. Fox),,62,76
3,9:28.0,,J. Murray makes 3-pt jump shot from 24 ft,62,79
3,9:10.0,D. Fox misses 2-pt jump shot from 19 ft,,62,79
3,9:07.0,,Defensive rebound by N. Jokić,62,79
3,9:02.0,,Shooting foul by D. Fox (drawn by J. Murray),62,79
3,9:02.0,,J. Murray makes free throw 1 of 3,62,80
3,9:02.0,,J. Murray makes free throw 2 of 3,62,81
3,9:02.0,,J. Murray makes free throw 3 of 3,62,82
3,8:49.0,Turnover by N. Bjelica (lost ball; steal by P. Millsap),,62,82
3,8:41.0,,T. Craig makes 2-pt layup from 2 ft (assist by G. Harris),62,84
3,8:41.0,Sacramento full timeout,,62,84
3,8:33.0,Turnover by N. Bjelica (traveling),,62,84
3,8:17.0,,N. Jokić misses 2-pt jump shot from 18 ft,62,84
3,8:14.0,Defensive rebound by D. Fox,,62,84
3,8:09.0,D. Fox misses 2-pt layup from 2 ft,,62,84
3,8:07.0,,Defensive rebound by N. Jokić,62,84
3,8:02.0,,G. Harris makes 2-pt layup from 1 ft (assist by J. Murray),62,86
3,7:46.0,I. Shumpert makes 2-pt jump shot from 14 ft,,64,86
3,7:35.0,,Personal foul by B. Hield (drawn by G. Harris),64,86
3,7:35.0,M. Bagley enters the game for N. Bjelica,,64,86
3,7:30.0,Violation by Team (kicked ball),,64,86
3,7:24.0,,P. Millsap makes 2-pt layup from 2 ft (assist by G. Harris),64,88
3,7:08.0,I. Shumpert misses 3-pt jump shot from 25 ft,,64,88
3,7:06.0,Offensive rebound by W. Cauley-Stein,,64,88
3,7:02.0,M. Bagley makes 2-pt layup from 2 ft (assist by W. Cauley-Stein),,66,88
3,6:48.0,,J. Murray makes 2-pt layup from 2 ft (assist by N. Jokić),66,90
3,6:48.0,,Shooting foul by D. Fox (drawn by J. Murray),66,90
3,6:48.0,J. Jackson enters the game for D. Fox,,66,90
3,6:48.0,F. Mason enters the game for I. Shumpert,,66,90
3,6:48.0,,J. Murray makes free throw 1 of 1,66,91
3,6:32.0,J. Jackson makes 2-pt layup from 2 ft (assist by M. Bagley),,68,91
3,6:12.0,,N. Jokić misses 2-pt layup from 3 ft (block by M. Bagley),68,91
3,6:09.0,Defensive rebound by F. Mason,,68,91
3,6:06.0,B. Hield misses 2-pt layup from 3 ft (block by P. Millsap),,68,91
3,6:03.0,Offensive rebound by B. Hield,,68,91
3,6:02.0,B. Hield misses 2-pt layup from 2 ft,,68,91
3,6:02.0,Offensive rebound by M. Bagley,,68,91
3,6:02.0,M. Bagley makes 2-pt layup from 1 ft,,70,91
3,6:02.0,,Denver full timeout,70,91
3,5:38.0,,J. Murray misses 2-pt jump shot from 12 ft,70,91
3,5:36.0,,Offensive rebound by P. Millsap,70,91
3,5:28.0,,P. Millsap makes 2-pt hook shot from 3 ft,70,93
3,5:12.0,Shooting foul by N. Jokić (drawn by W. Cauley-Stein),,70,93
3,5:12.0,W. Cauley-Stein misses free throw 1 of 2,,70,93
3,5:12.0,Offensive rebound by Team,,70,93
3,5:12.0,,M. Morris enters the game for N. Jokić,70,93
3,5:12.0,,M. Plumlee enters the game for J. Murray,70,93
3,5:12.0,W. Cauley-Stein makes free throw 2 of 2,,71,93
3,5:00.0,,M. Morris misses 2-pt jump shot from 7 ft,71,93
3,4:57.0,,Offensive rebound by M. Morris,71,93
3,4:44.0,,P. Millsap misses 3-pt jump shot from 23 ft,71,93
3,4:42.0,,Offensive rebound by G. Harris,71,93
3,4:39.0,,T. Craig makes 3-pt jump shot from 24 ft (assist by M. Morris),71,96
3,4:32.0,J. Jackson makes 3-pt jump shot from 26 ft (assist by F. Mason),,74,96
3,4:18.0,,T. Craig misses 3-pt jump shot from 24 ft,74,96
3,4:16.0,Defensive rebound by B. Hield,,74,96
3,4:11.0,B. Hield makes 3-pt jump shot from 26 ft (assist by J. Jackson),,77,96
3,3:52.0,,G. Harris misses 2-pt layup from 2 ft,77,96
3,3:52.0,,Offensive rebound by M. Plumlee,77,96
3,3:43.0,,P. Millsap misses 2-pt jump shot from 5 ft,77,96
3,3:37.0,,Offensive rebound by M. Plumlee,77,96
3,3:37.0,,M. Plumlee makes 2-pt dunk at rim,77,98
3,3:30.0,Personal foul by M. Morris (drawn by F. Mason),,77,98
3,3:30.0,H. Giles enters the game for W. Cauley-Stein,,77,98
3,3:30.0,,J. Hernangómez enters the game for T. Craig,77,98
3,3:18.0,B. Hield misses 3-pt jump shot from 26 ft,,77,98
3,3:13.0,,Defensive rebound by P. Millsap,77,98
3,3:05.0,,P. Millsap misses 2-pt jump shot from 4 ft (block by M. Bagley),77,98
3,3:02.0,Defensive rebound by M. Bagley,,77,98
3,2:55.0,M. Bagley makes 2-pt layup from 2 ft (assist by F. Mason),,79,98
3,2:40.0,,Shooting foul by H. Giles (drawn by M. Plumlee),79,98
3,2:40.0,,M. Plumlee misses free throw 1 of 2,79,98
3,2:40.0,,Offensive rebound by Team,79,98
3,2:40.0,,T. Lyles enters the game for G. Harris,79,98
3,2:40.0,,J. Murray enters the game for P. Millsap,79,98
3,2:40.0,,M. Plumlee makes free throw 2 of 2,79,99
3,2:23.0,J. Jackson misses 2-pt jump shot from 5 ft,,79,99
3,2:21.0,,Defensive rebound by M. Morris,79,99
3,2:10.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by J. Murray),79,101
3,2:01.0,Turnover by F. Mason (bad pass; steal by J. Murray),,79,101
3,1:53.0,,J. Murray misses 3-pt jump shot from 25 ft,79,101
3,1:52.0,Defensive rebound by F. Mason,,79,101
3,1:52.0,Personal foul by T. Lyles (drawn by F. Mason),,79,101
3,1:52.0,Y. Ferrell enters the game for B. Hield,,79,101
3,1:38.0,J. Jackson misses 2-pt layup from 4 ft,,79,101
3,1:36.0,,Defensive rebound by J. Hernangómez,79,101
3,1:27.0,,M. Morris makes 2-pt jump shot from 21 ft (assist by M. Plumlee),79,103
3,1:06.0,M. Bagley misses 2-pt jump shot from 14 ft,,79,103
3,1:02.0,Offensive rebound by Y. Ferrell,,79,103
3,1:01.0,Y. Ferrell misses 2-pt jump shot from 17 ft,,79,103
3,0:59.0,,Defensive rebound by J. Hernangómez,79,103
3,0:47.0,,Turnover by T. Lyles (bad pass; steal by H. Giles),79,103
3,0:45.0,Turnover by H. Giles (lost ball; steal by M. Plumlee),,79,103
3,0:28.0,,Shooting foul by M. Bagley (drawn by T. Lyles),79,103
3,0:28.0,,T. Lyles makes free throw 1 of 2,79,104
3,0:28.0,,M. Beasley enters the game for J. Murray,79,104
3,0:28.0,,T. Lyles makes free throw 2 of 2,79,105
3,0:07.0,F. Mason makes 2-pt jump shot from 21 ft,,81,105
3,0:00.0,,M. Morris misses 2-pt layup from 2 ft (block by M. Bagley),81,105
3,0:00.0,Defensive rebound by M. Bagley,,81,105
4,11:36.0,M. Bagley makes 2-pt hook shot from 5 ft,,83,105
4,11:24.0,,M. Plumlee misses 2-pt dunk from 3 ft,83,105
4,11:22.0,,Offensive rebound by M. Plumlee,83,105
4,11:21.0,,M. Plumlee makes 2-pt dunk at rim,83,107
4,11:10.0,H. Giles misses 2-pt jump shot from 15 ft,,83,107
4,11:08.0,,Defensive rebound by T. Lyles,83,107
4,10:49.0,,Turnover by T. Lyles (lost ball; steal by F. Mason),83,107
4,10:45.0,F. Mason misses 2-pt layup from 3 ft (block by M. Beasley),,83,107
4,10:45.0,Offensive rebound by Team,,83,107
4,10:41.0,Personal foul by M. Plumlee (drawn by H. Giles),,83,107
4,10:31.0,H. Giles misses 3-pt jump shot from 23 ft,,83,107
4,10:29.0,,Defensive rebound by J. Hernangómez,83,107
4,10:22.0,,M. Beasley misses 3-pt jump shot from 24 ft,83,107
4,10:16.0,Defensive rebound by J. Jackson,,83,107
4,10:14.0,Turnover by M. Bagley (out of bounds lost ball),,83,107
4,10:14.0,,Denver full timeout,83,107
4,10:14.0,N. Bjelica enters the game for H. Giles,,83,107
4,9:55.0,,T. Lyles misses 2-pt jump shot from 13 ft,83,107
4,9:53.0,Defensive rebound by F. Mason,,83,107
4,9:51.0,Personal foul by M. Morris (drawn by F. Mason),,83,107
4,9:41.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,83,107
4,9:38.0,,Defensive rebound by J. Hernangómez,83,107
4,9:24.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by T. Lyles),83,110
4,9:03.0,N. Bjelica makes 2-pt jump shot from 5 ft (assist by J. Jackson),,85,110
4,8:53.0,,Personal foul by N. Bjelica (drawn by T. Lyles),85,110
4,8:43.0,,T. Lyles makes 2-pt jump shot from 4 ft (assist by M. Morris),85,112
4,8:31.0,Personal foul by M. Beasley (drawn by N. Bjelica),,85,112
4,8:25.0,Turnover by M. Bagley (lost ball; steal by J. Hernangómez),,85,112
4,8:21.0,,Turnover by M. Plumlee (bad pass),85,112
4,8:09.0,Y. Ferrell makes 2-pt jump shot from 13 ft,,87,112
4,7:52.0,,M. Morris misses 2-pt jump shot from 20 ft,87,112
4,7:48.0,Defensive rebound by M. Bagley,,87,112
4,7:44.0,Y. Ferrell misses 3-pt jump shot from 23 ft,,87,112
4,7:41.0,,Defensive rebound by M. Plumlee,87,112
4,7:36.0,,M. Beasley misses 2-pt layup from 3 ft,87,112
4,7:33.0,Defensive rebound by M. Bagley,,87,112
4,7:28.0,J. Jackson makes 2-pt jump shot from 6 ft (assist by F. Mason),,89,112
4,7:08.0,,J. Hernangómez misses 2-pt jump shot from 9 ft,89,112
4,7:08.0,Defensive rebound by J. Jackson,,89,112
4,7:02.0,Y. Ferrell makes 3-pt jump shot from 25 ft,,92,112
4,7:01.0,,Denver full timeout,92,112
4,6:51.0,,Personal foul by Y. Ferrell (drawn by M. Morris),92,112
4,6:42.0,,M. Beasley makes 2-pt layup from 2 ft (assist by M. Plumlee),92,114
4,6:22.0,F. Mason makes 2-pt jump shot from 18 ft (assist by M. Bagley),,94,114
4,6:03.0,,T. Lyles misses 2-pt hook shot from 9 ft,94,114
4,6:01.0,,Offensive rebound by M. Plumlee,94,114
4,6:01.0,,M. Plumlee misses 2-pt layup at rim,94,114
4,6:01.0,,Offensive rebound by Team,94,114
4,5:52.0,,J. Hernangómez makes 3-pt jump shot from 25 ft (assist by M. Morris),94,117
4,5:25.0,Y. Ferrell makes 2-pt layup from 3 ft (assist by F. Mason),,96,117
4,5:25.0,,Violation by Team (def goaltending),96,117
4,5:08.0,,J. Hernangómez misses 2-pt jump shot from 5 ft,96,117
4,5:08.0,Defensive rebound by M. Bagley,,96,117
4,4:56.0,F. Mason misses 3-pt jump shot from 26 ft,,96,117
4,4:56.0,,Defensive rebound by J. Hernangómez,96,117
4,4:56.0,,Personal foul by N. Bjelica (drawn by M. Morris),96,117
4,4:56.0,Sacramento full timeout,,96,117
4,4:56.0,Sacramento full timeout,,96,117
4,4:56.0,S. Labissière enters the game for N. Bjelica,,96,117
4,4:56.0,B. McLemore enters the game for J. Jackson,,96,117
4,4:44.0,,M. Plumlee makes 2-pt layup from 1 ft (assist by M. Morris),96,119
4,4:23.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,96,119
4,4:19.0,,Defensive rebound by M. Beasley,96,119
4,4:00.0,,M. Beasley misses 2-pt layup from 2 ft,96,119
