QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,UTAH_ACTION,LA CLIPPERS_SCORE,UTAH_SCORE
2,8:23.0,,Defensive rebound by D. Favors,41,30
2,8:16.0,,D. Mitchell makes 2-pt jump shot from 13 ft,41,32
2,8:16.0,P. Beverley enters the game for G. Temple,,41,32
2,8:16.0,,R. Rubio enters the game for K. Korver,41,32
2,7:56.0,L. Williams misses 2-pt layup from 4 ft,,41,32
2,7:54.0,,Defensive rebound by D. Favors,41,32
2,7:46.0,,T. Sefolosha misses 3-pt jump shot from 26 ft,41,32
2,7:43.0,Defensive rebound by L. Williams,,41,32
2,7:41.0,LA Clippers full timeout,,41,32
2,7:41.0,,R. Gobert enters the game for D. Favors,41,32
2,7:36.0,J. Green makes 2-pt jump shot from 17 ft,,43,32
2,7:17.0,,D. Mitchell misses 2-pt jump shot from 10 ft (block by P. Beverley),43,32
2,7:14.0,Defensive rebound by P. Beverley,,43,32
2,7:06.0,L. Williams misses 2-pt jump shot from 9 ft,,43,32
2,7:02.0,,Defensive rebound by R. Gobert,43,32
2,6:56.0,,D. Mitchell makes 3-pt jump shot from 25 ft (assist by R. O'Neale),43,35
2,6:39.0,Personal foul by D. Mitchell (drawn by L. Williams),,43,35
2,6:39.0,D. Gallinari enters the game for M. Harrell,,43,35
2,6:28.0,J. Green misses 3-pt jump shot from 25 ft,,43,35
2,6:24.0,,Defensive rebound by R. O'Neale,43,35
2,6:17.0,,D. Mitchell makes 2-pt layup from 4 ft,43,37
2,5:58.0,P. Beverley misses 3-pt jump shot from 26 ft,,43,37
2,5:54.0,,Defensive rebound by T. Sefolosha,43,37
2,5:46.0,,R. Rubio misses 2-pt jump shot from 18 ft,43,37
2,5:43.0,Defensive rebound by J. Green,,43,37
2,5:31.0,S. Gilgeous-Alexander makes 2-pt jump shot from 18 ft,,45,37
2,5:09.0,,Shooting foul by S. Gilgeous-Alexander (drawn by D. Mitchell),45,37
2,5:09.0,,D. Mitchell makes free throw 1 of 2,45,38
2,5:09.0,L. Shamet enters the game for J. Green,,45,38
2,5:09.0,I. Zubac enters the game for L. Williams,,45,38
2,5:09.0,,J. Crowder enters the game for T. Sefolosha,45,38
2,5:09.0,,D. Mitchell makes free throw 2 of 2,45,39
2,4:51.0,Shooting foul by R. Rubio (drawn by I. Zubac),,45,39
2,4:51.0,I. Zubac misses free throw 1 of 2,,45,39
2,4:51.0,Offensive rebound by Team,,45,39
2,4:51.0,G. Temple enters the game for S. Gilgeous-Alexander,,45,39
2,4:51.0,I. Zubac makes free throw 2 of 2,,46,39
2,4:35.0,,Personal foul by L. Shamet (drawn by D. Mitchell),46,39
2,4:25.0,,J. Crowder misses 3-pt jump shot from 25 ft,46,39
2,4:21.0,Defensive rebound by P. Beverley,,46,39
2,4:14.0,P. Beverley misses 2-pt jump shot from 10 ft,,46,39
2,4:12.0,Offensive rebound by I. Zubac,,46,39
2,4:12.0,I. Zubac misses 2-pt layup from 3 ft,,46,39
2,4:12.0,Offensive rebound by I. Zubac,,46,39
2,4:08.0,I. Zubac misses 2-pt layup at rim,,46,39
2,4:07.0,Offensive rebound by I. Zubac,,46,39
2,4:07.0,I. Zubac misses 2-pt layup at rim,,46,39
2,4:06.0,,Defensive rebound by D. Mitchell,46,39
2,4:02.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Mitchell),46,41
2,3:45.0,L. Shamet makes 2-pt layup from 1 ft (assist by I. Zubac),,48,41
2,3:33.0,,R. O'Neale misses 3-pt jump shot from 26 ft,48,41
2,3:29.0,Defensive rebound by P. Beverley,,48,41
2,3:24.0,D. Gallinari misses 3-pt jump shot from 26 ft,,48,41
2,3:22.0,,Defensive rebound by J. Crowder,48,41
2,3:15.0,,Utah full timeout,48,41
2,3:15.0,,J. Ingles enters the game for R. O'Neale,48,41
2,3:01.0,,D. Mitchell makes 2-pt jump shot from 11 ft (assist by R. Gobert),48,43
2,2:45.0,D. Gallinari misses 3-pt jump shot from 22 ft,,48,43
2,2:42.0,,Defensive rebound by R. Gobert,48,43
2,2:33.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Ingles),48,45
2,2:18.0,Personal foul by J. Crowder (drawn by D. Gallinari),,48,45
2,2:18.0,D. Gallinari misses free throw 1 of 2,,48,45
2,2:18.0,Offensive rebound by Team,,48,45
2,2:18.0,L. Williams enters the game for G. Temple,,48,45
2,2:18.0,D. Gallinari makes free throw 2 of 2,,49,45
2,2:06.0,,J. Crowder misses 3-pt jump shot from 23 ft,49,45
2,2:04.0,,Offensive rebound by J. Crowder,49,45
2,1:53.0,,J. Ingles misses 3-pt jump shot from 25 ft,49,45
2,1:50.0,Defensive rebound by P. Beverley,,49,45
2,1:37.0,L. Williams makes 3-pt jump shot from 24 ft,,52,45
2,1:24.0,,Personal foul by L. Shamet (drawn by R. Rubio),52,45
2,1:24.0,,R. Rubio makes free throw 1 of 2,52,46
2,1:24.0,G. Temple enters the game for L. Shamet,,52,46
2,1:24.0,,R. Rubio makes free throw 2 of 2,52,47
2,1:13.0,I. Zubac misses 2-pt dunk from 4 ft (block by R. Gobert),,52,47
2,1:11.0,,Defensive rebound by J. Crowder,52,47
2,1:06.0,,Turnover by D. Mitchell (lost ball; steal by G. Temple),52,47
2,1:01.0,D. Gallinari misses 3-pt jump shot from 25 ft,,52,47
2,0:58.0,,Defensive rebound by J. Ingles,52,47
2,0:47.0,,R. Rubio misses 2-pt layup from 1 ft,52,47
2,0:45.0,Defensive rebound by I. Zubac,,52,47
2,0:39.0,P. Beverley makes 2-pt layup from 4 ft (assist by G. Temple),,54,47
2,0:31.0,,R. Rubio makes 2-pt layup from 3 ft,54,49
2,0:13.0,L. Williams misses 2-pt jump shot from 10 ft (block by R. Gobert),,54,49
2,0:09.0,,Defensive rebound by R. Rubio,54,49
2,0:08.0,,J. Crowder misses 2-pt layup from 1 ft,54,49
2,0:08.0,Defensive rebound by G. Temple,,54,49
2,0:02.0,Personal foul by J. Ingles (drawn by L. Williams),,54,49
2,0:02.0,L. Williams makes free throw 1 of 2,,55,49
2,0:02.0,S. Thornwell enters the game for G. Temple,,55,49
2,0:02.0,L. Williams makes free throw 2 of 2,,56,49
2,0:00.0,,D. Mitchell misses 3-pt jump shot from 67 ft,56,49
2,0:00.0,,Offensive rebound by Team,56,49
3,11:50.0,D. Gallinari misses 3-pt jump shot from 24 ft,,56,49
3,11:48.0,,Defensive rebound by R. Rubio,56,49
3,11:36.0,,Turnover by R. Gobert (lost ball; steal by S. Gilgeous-Alexander),56,49
3,11:33.0,S. Gilgeous-Alexander makes 2-pt dunk from 3 ft,,58,49
3,11:18.0,,D. Favors misses 3-pt jump shot from 24 ft,58,49
3,11:15.0,Defensive rebound by P. Beverley,,58,49
3,11:10.0,P. Beverley misses 3-pt jump shot from 26 ft,,58,49
3,11:06.0,,Defensive rebound by D. Mitchell,58,49
3,10:59.0,,Shooting foul by S. Gilgeous-Alexander (drawn by D. Mitchell),58,49
3,10:59.0,,Offensive rebound by Team,58,49
3,10:59.0,,D. Mitchell misses free throw 1 of 2,58,49
3,10:59.0,,D. Mitchell makes free throw 2 of 2,58,50
3,10:41.0,Turnover by D. Gallinari (bad pass; steal by R. Rubio),,58,50
3,10:36.0,,D. Mitchell makes 3-pt jump shot from 24 ft (assist by R. Rubio),58,53
3,10:23.0,L. Shamet misses 2-pt jump shot from 15 ft (block by J. Ingles),,58,53
3,10:21.0,,Defensive rebound by J. Ingles,58,53
3,10:14.0,,D. Mitchell makes 3-pt jump shot from 26 ft (assist by J. Ingles),58,56
3,10:12.0,LA Clippers full timeout,,58,56
3,9:59.0,P. Beverley misses 3-pt jump shot from 26 ft,,58,56
3,9:56.0,,Defensive rebound by D. Favors,58,56
3,9:45.0,,R. Gobert misses 2-pt layup from 3 ft,58,56
3,9:43.0,,Offensive rebound by R. Gobert,58,56
3,9:42.0,,R. Gobert makes 2-pt layup from 2 ft,58,58
3,9:29.0,I. Zubac misses 2-pt hook shot from 7 ft (block by R. Gobert),,58,58
3,9:27.0,,Defensive rebound by R. Gobert,58,58
3,9:19.0,,R. Rubio misses 2-pt jump shot from 5 ft,58,58
3,9:16.0,,Offensive rebound by R. Rubio,58,58
3,9:08.0,,J. Ingles makes 2-pt jump shot from 22 ft,58,60
3,8:52.0,I. Zubac makes 2-pt layup from 6 ft (assist by S. Gilgeous-Alexander),,60,60
3,8:36.0,,Turnover by R. Rubio (bad pass),60,60
3,8:36.0,L. Williams enters the game for S. Gilgeous-Alexander,,60,60
3,8:25.0,P. Beverley makes 2-pt jump shot from 6 ft,,62,60
3,8:17.0,,D. Mitchell misses 2-pt jump shot from 20 ft,62,60
3,8:12.0,,R. Gobert makes 2-pt dunk at rim,62,62
3,8:12.0,,Offensive rebound by R. Gobert,62,62
3,8:00.0,P. Beverley makes 2-pt jump shot from 8 ft (assist by I. Zubac),,64,62
3,7:54.0,,Shooting foul by D. Gallinari (drawn by D. Favors),64,62
3,7:54.0,S. Gilgeous-Alexander enters the game for L. Shamet,,64,62
3,7:54.0,,D. Favors makes free throw 1 of 2,64,63
3,7:54.0,,D. Favors misses free throw 2 of 2,64,63
3,7:52.0,Defensive rebound by I. Zubac,,64,63
3,7:44.0,D. Gallinari misses 2-pt jump shot from 12 ft,,64,63
3,7:41.0,,Defensive rebound by D. Mitchell,64,63
3,7:31.0,,Personal foul by P. Beverley (drawn by D. Mitchell),64,63
3,7:31.0,,J. Crowder enters the game for D. Favors,64,63
3,7:24.0,,Shooting foul by I. Zubac (drawn by R. Gobert),64,63
3,7:24.0,,R. Gobert makes free throw 1 of 2,64,64
3,7:24.0,M. Harrell enters the game for I. Zubac,,64,64
3,7:24.0,,R. Gobert makes free throw 2 of 2,64,65
3,7:07.0,P. Beverley makes 3-pt jump shot from 25 ft (assist by L. Williams),,67,65
3,6:49.0,,R. Gobert misses 2-pt layup from 5 ft,67,65
3,6:48.0,Defensive rebound by Team,,67,65
3,6:38.0,S. Gilgeous-Alexander misses 2-pt jump shot from 15 ft (block by J. Ingles),,67,65
3,6:36.0,,Defensive rebound by Team,67,65
3,6:36.0,Loose ball foul by S. Gilgeous-Alexander (drawn by R. Gobert),,67,65
3,6:36.0,,R. Gobert makes free throw 1 of 2,67,66
3,6:36.0,G. Temple enters the game for S. Gilgeous-Alexander,,67,66
3,6:36.0,,R. Gobert misses free throw 2 of 2,67,66
3,6:35.0,,Offensive rebound by J. Ingles,67,66
3,6:30.0,,R. Rubio makes 2-pt layup from 2 ft (assist by J. Ingles),67,68
3,6:27.0,LA Clippers full timeout,,67,68
3,6:16.0,Shooting foul by R. Gobert (drawn by D. Gallinari),,67,68
3,6:16.0,D. Gallinari makes free throw 1 of 2,,68,68
3,6:16.0,D. Gallinari makes free throw 2 of 2,,69,68
3,6:02.0,,Turnover by D. Mitchell (bad pass; steal by P. Beverley),69,68
3,5:58.0,Turnover by P. Beverley (bad pass; steal by R. Rubio),,69,68
3,5:54.0,,J. Crowder makes 3-pt jump shot from 24 ft (assist by R. Rubio),69,71
3,5:35.0,M. Harrell makes 2-pt jump shot from 14 ft (assist by D. Gallinari),,71,71
3,5:20.0,,R. Rubio makes 2-pt layup from 2 ft,71,73
3,5:09.0,L. Williams makes 2-pt jump shot from 20 ft,,73,73
3,4:50.0,,R. Gobert misses 2-pt layup from 2 ft,73,73
3,4:49.0,Defensive rebound by P. Beverley,,73,73
3,4:41.0,G. Temple misses 3-pt jump shot from 25 ft,,73,73
3,4:37.0,,Defensive rebound by R. Gobert,73,73
3,4:31.0,,Turnover by D. Mitchell (lost ball; steal by P. Beverley),73,73
3,4:29.0,Personal foul by R. Rubio (drawn by G. Temple),,73,73
3,4:29.0,J. Green enters the game for D. Gallinari,,73,73
3,4:29.0,,R. O'Neale enters the game for J. Ingles,73,73
3,4:25.0,J. Green makes 2-pt jump shot from 16 ft (assist by L. Williams),,75,73
3,4:05.0,,R. Rubio misses 3-pt jump shot from 25 ft,75,73
3,4:02.0,Defensive rebound by P. Beverley,,75,73
3,3:47.0,J. Green misses 3-pt jump shot from 25 ft,,75,73
3,3:45.0,,Defensive rebound by R. Gobert,75,73
3,3:36.0,,D. Mitchell makes 2-pt jump shot from 7 ft (assist by R. Rubio),75,75
3,3:23.0,L. Williams misses 2-pt jump shot from 10 ft,,75,75
3,3:16.0,,Defensive rebound by R. Gobert,75,75
3,3:12.0,,R. Rubio makes 2-pt jump shot from 8 ft,75,77
3,3:12.0,,Shooting foul by G. Temple (drawn by R. Rubio),75,77
3,3:12.0,L. Shamet enters the game for P. Beverley,,75,77
3,3:12.0,,D. Favors enters the game for J. Crowder,75,77
3,3:12.0,,J. Ingles enters the game for R. Gobert,75,77
3,3:12.0,,K. Korver enters the game for D. Mitchell,75,77
3,3:12.0,,R. Rubio makes free throw 1 of 1,75,78
3,2:55.0,G. Temple misses 2-pt layup from 6 ft (block by D. Favors),,75,78
3,2:52.0,,Defensive rebound by D. Favors,75,78
3,2:45.0,,K. Korver misses 3-pt jump shot from 26 ft,75,78
3,2:43.0,Defensive rebound by M. Harrell,,75,78
3,2:38.0,L. Williams misses 2-pt jump shot from 18 ft,,75,78
3,2:32.0,J. Green makes 2-pt dunk from 1 ft,,77,78
3,2:32.0,Offensive rebound by J. Green,,77,78
3,2:18.0,,Offensive foul by D. Favors (drawn by L. Shamet),77,78
3,2:18.0,,Turnover by D. Favors (offensive foul),77,78
3,2:18.0,,R. Neto enters the game for R. Rubio,77,78
3,2:08.0,Turnover by L. Williams (bad pass; steal by D. Favors),,77,78
3,1:59.0,,J. Ingles misses 3-pt jump shot from 23 ft,77,78
3,1:56.0,,Offensive rebound by D. Favors,77,78
3,1:43.0,,J. Ingles misses 2-pt layup from 2 ft,77,78
3,1:42.0,Defensive rebound by M. Harrell,,77,78
3,1:37.0,L. Williams makes 2-pt layup from 2 ft,,79,78
3,1:17.0,,R. O'Neale misses 3-pt jump shot from 25 ft,79,78
3,1:16.0,Defensive rebound by Team,,79,78
3,1:03.0,M. Harrell makes 2-pt dunk from 3 ft (assist by L. Williams),,81,78
3,0:52.0,,K. Korver misses 2-pt layup from 4 ft (block by M. Harrell),81,78
3,0:49.0,Defensive rebound by J. Green,,81,78
3,0:48.0,L. Shamet makes 2-pt layup from 3 ft (assist by G. Temple),,83,78
3,0:37.0,,Shooting foul by M. Harrell (drawn by D. Favors),83,78
3,0:37.0,,D. Favors makes free throw 1 of 2,83,79
3,0:37.0,,J. Crowder enters the game for K. Korver,83,79
3,0:37.0,,D. Favors makes free throw 2 of 2,83,80
3,0:28.0,Turnover by L. Williams (bad pass; steal by R. O'Neale),,83,80
3,0:06.0,,R. Neto makes 3-pt jump shot from 22 ft (assist by D. Favors),83,83
3,0:04.0,Turnover by J. Green (bad pass; steal by J. Crowder),,83,83
3,0:01.0,,J. Crowder misses 3-pt jump shot from 25 ft,83,83
3,0:01.0,,Offensive rebound by R. O'Neale,83,83
3,0:00.0,,R. O'Neale misses 2-pt layup from 1 ft,83,83
3,0:00.0,,Offensive rebound by Team,83,83
4,11:38.0,,R. Neto misses 2-pt layup from 5 ft (block by G. Temple),83,83
4,11:35.0,Defensive rebound by J. Green,,83,83
4,11:30.0,L. Williams misses 2-pt layup from 2 ft,,83,83
4,11:28.0,,Defensive rebound by R. O'Neale,83,83
4,11:21.0,,R. O'Neale makes 3-pt jump shot from 25 ft (assist by R. Neto),83,86
4,10:54.0,Turnover by G. Temple (bad pass; steal by J. Crowder),,83,86
4,10:45.0,,D. Favors misses 2-pt jump shot from 9 ft,83,86
4,10:40.0,Defensive rebound by L. Shamet,,83,86
4,10:32.0,LA Clippers full timeout,,83,86
4,10:32.0,P. Beverley enters the game for G. Temple,,83,86
4,10:32.0,,D. Mitchell enters the game for R. Neto,83,86
4,10:25.0,M. Harrell makes 2-pt jump shot from 15 ft,,85,86
4,10:12.0,,D. Mitchell misses 3-pt jump shot from 25 ft,85,86
4,10:09.0,Defensive rebound by M. Harrell,,85,86
4,10:01.0,M. Harrell makes 2-pt dunk from 3 ft (assist by L. Williams),,87,86
4,9:44.0,,D. Mitchell misses 2-pt jump shot from 4 ft,87,86
4,9:41.0,Defensive rebound by M. Harrell,,87,86
4,9:34.0,Turnover by J. Green (bad pass; steal by R. O'Neale),,87,86
4,9:28.0,,Personal foul by M. Harrell (drawn by J. Ingles),87,86
4,9:13.0,,Turnover by D. Mitchell (bad pass; steal by L. Williams),87,86
4,9:07.0,L. Williams makes 2-pt jump shot from 9 ft,,89,86
