QUARTER,TIME_REMAINING,ORLANDO_ACTION,PHILADELPHIA_ACTION,ORLANDO_SCORE,PHILADELPHIA_SCORE
1,4:41.0,D. Augustin makes 2-pt layup from 2 ft,,20,23
1,4:22.0,,Shooting foul by I. Briscoe (drawn by J. Butler),20,23
1,4:22.0,,J. Butler makes free throw 1 of 2,20,24
1,4:22.0,,J. Butler makes free throw 2 of 2,20,25
1,4:21.0,Personal foul by J. Simmons (drawn by D. Augustin),,20,25
1,4:00.0,A. Gordon makes 2-pt jump shot from 20 ft,,22,25
1,3:39.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by T. Harris),22,27
1,3:19.0,A. Gordon makes 2-pt jump shot from 20 ft (assist by I. Briscoe),,24,27
1,3:02.0,,M. Scott makes 3-pt jump shot from 26 ft (assist by J. Butler),24,30
1,2:35.0,D. Augustin makes 2-pt layup from 2 ft,,26,30
1,2:24.0,,B. Simmons misses 2-pt layup from 1 ft (block by J. Isaac),26,30
1,2:21.0,,Offensive rebound by J. Butler,26,30
1,2:14.0,,J. Simmons makes 2-pt layup from 1 ft (assist by J. Butler),26,32
1,2:00.0,Shooting foul by B. Simmons (drawn by A. Gordon),,26,32
1,2:00.0,,Philadelphia full timeout,26,32
1,2:00.0,K. Birch enters the game for D. Augustin,,26,32
1,2:00.0,W. Iwundu enters the game for J. Isaac,,26,32
1,2:00.0,J. Martin enters the game for N. Vučević,,26,32
1,2:00.0,,T. McConnell enters the game for J. Butler,26,32
1,2:00.0,,J. Patton enters the game for B. Simmons,26,32
1,2:00.0,,J. Redick enters the game for J. Simmons,26,32
1,2:00.0,A. Gordon makes free throw 1 of 2,,27,32
1,2:00.0,A. Gordon makes free throw 2 of 2,,28,32
1,1:44.0,,T. Harris makes 2-pt jump shot from 11 ft,28,34
1,1:24.0,J. Martin misses 2-pt jump shot from 17 ft,,28,34
1,1:18.0,Offensive rebound by K. Birch,,28,34
1,1:18.0,K. Birch misses 2-pt layup from 1 ft,,28,34
1,1:17.0,,Defensive rebound by J. Patton,28,34
1,1:12.0,,M. Scott makes 3-pt jump shot from 25 ft (assist by T. McConnell),28,37
1,0:52.0,A. Gordon makes 3-pt jump shot from 27 ft (assist by I. Briscoe),,31,37
1,0:33.0,,J. Redick makes 2-pt jump shot from 21 ft (assist by J. Patton),31,39
1,0:13.0,Turnover by W. Iwundu (bad pass; steal by T. Harris),,31,39
1,0:09.0,,J. Redick misses 3-pt jump shot from 26 ft,31,39
1,0:05.0,Defensive rebound by A. Gordon,,31,39
1,0:00.0,A. Gordon makes 3-pt jump shot from 26 ft,,34,39
2,11:40.0,E. Fournier makes 3-pt jump shot from 26 ft (assist by J. Martin),,37,39
2,11:26.0,,J. Redick makes 3-pt jump shot from 23 ft (assist by J. Patton),37,42
2,11:10.0,J. Martin makes 3-pt jump shot from 27 ft (assist by E. Fournier),,40,42
2,10:53.0,,T. McConnell makes 2-pt jump shot from 14 ft (assist by J. Simmons),40,44
2,10:42.0,E. Fournier makes 3-pt jump shot from 26 ft (assist by I. Briscoe),,43,44
2,10:39.0,,Philadelphia full timeout,43,44
2,10:24.0,,T. Harris makes 2-pt dunk at rim (assist by J. Patton),43,46
2,10:02.0,I. Briscoe makes 2-pt jump shot from 19 ft,,45,46
2,9:44.0,,J. Patton misses 3-pt jump shot from 25 ft,45,46
2,9:42.0,Defensive rebound by J. Martin,,45,46
2,9:30.0,W. Iwundu misses 3-pt jump shot from 25 ft,,45,46
2,9:27.0,,Defensive rebound by J. Patton,45,46
2,9:18.0,,Turnover by T. McConnell (bad pass; steal by E. Fournier),45,46
2,9:16.0,Shooting foul by T. Harris (drawn by E. Fournier),,45,46
2,9:16.0,E. Fournier makes free throw 1 of 2,,46,46
2,9:16.0,E. Fournier makes free throw 2 of 2,,47,46
2,9:04.0,,J. Redick misses 2-pt jump shot from 19 ft,47,46
2,9:00.0,Defensive rebound by J. Martin,,47,46
2,8:46.0,Turnover by W. Iwundu (lost ball; steal by T. Harris),,47,46
2,8:39.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by T. Harris),47,49
2,8:28.0,Turnover by I. Briscoe (bad pass; steal by J. Simmons),,47,49
2,8:28.0,,Personal take foul by E. Fournier (drawn by J. Simmons),47,49
2,8:28.0,,M. Scott enters the game for T. McConnell,47,49
2,8:28.0,,B. Simmons enters the game for J. Patton,47,49
2,8:09.0,,J. Simmons makes 2-pt hook shot from 5 ft (assist by T. Harris),47,51
2,7:51.0,I. Briscoe makes 2-pt layup from 1 ft,,49,51
2,7:25.0,,T. Harris makes 2-pt jump shot from 13 ft,49,53
2,7:08.0,I. Briscoe misses 3-pt jump shot from 26 ft,,49,53
2,7:04.0,,Defensive rebound by B. Simmons,49,53
2,6:56.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Simmons),49,56
2,6:48.0,Orlando full timeout,,49,56
2,6:48.0,A. Gordon enters the game for K. Birch,,49,56
2,6:48.0,J. Isaac enters the game for E. Fournier,,49,56
2,6:48.0,N. Vučević enters the game for J. Martin,,49,56
2,6:48.0,,J. Butler enters the game for T. Harris,49,56
2,6:48.0,,A. Johnson enters the game for J. Redick,49,56
2,6:35.0,A. Gordon makes 2-pt jump shot from 18 ft (assist by W. Iwundu),,51,56
2,6:14.0,,B. Simmons makes 2-pt jump shot from 11 ft,51,58
2,5:50.0,N. Vučević misses 2-pt jump shot from 14 ft,,51,58
2,5:47.0,,Defensive rebound by M. Scott,51,58
2,5:41.0,,M. Scott misses 3-pt jump shot from 25 ft,51,58
2,5:38.0,,Offensive rebound by B. Simmons,51,58
2,5:31.0,,Turnover by A. Johnson (bad pass; steal by I. Briscoe),51,58
2,5:24.0,J. Isaac misses 2-pt layup from 1 ft (block by A. Johnson),,51,58
2,5:21.0,Offensive rebound by N. Vučević,,51,58
2,5:13.0,A. Gordon misses 3-pt jump shot from 23 ft (block by B. Simmons),,51,58
2,5:12.0,Offensive rebound by Team,,51,58
2,5:12.0,D. Augustin enters the game for I. Briscoe,,51,58
2,5:08.0,W. Iwundu misses 2-pt jump shot from 17 ft,,51,58
2,5:03.0,,Defensive rebound by J. Simmons,51,58
2,4:52.0,,Shooting foul by W. Iwundu (drawn by A. Johnson),51,58
2,4:52.0,,A. Johnson makes free throw 1 of 2,51,59
2,4:52.0,,A. Johnson makes free throw 2 of 2,51,60
2,4:38.0,N. Vučević misses 2-pt jump shot from 15 ft,,51,60
2,4:35.0,,Defensive rebound by J. Simmons,51,60
2,4:28.0,,B. Simmons misses 2-pt hook shot from 10 ft,51,60
2,4:24.0,Defensive rebound by W. Iwundu,,51,60
2,4:21.0,D. Augustin misses 3-pt jump shot from 28 ft,,51,60
2,4:17.0,,Defensive rebound by B. Simmons,51,60
2,4:15.0,,J. Butler misses 2-pt jump shot from 18 ft,51,60
2,4:15.0,Defensive rebound by N. Vučević,,51,60
2,4:05.0,W. Iwundu misses 2-pt jump shot from 9 ft,,51,60
2,4:03.0,,Defensive rebound by M. Scott,51,60
2,3:56.0,,Turnover by J. Simmons (bad pass),51,60
2,3:56.0,E. Fournier enters the game for W. Iwundu,,51,60
2,3:41.0,E. Fournier makes 2-pt jump shot from 19 ft,,53,60
2,3:16.0,,J. Simmons misses 3-pt jump shot from 27 ft,53,60
2,3:12.0,Defensive rebound by A. Gordon,,53,60
2,3:09.0,E. Fournier makes 3-pt jump shot from 26 ft (assist by A. Gordon),,56,60
2,2:44.0,,M. Scott makes 2-pt jump shot from 12 ft,56,62
2,2:26.0,E. Fournier misses 2-pt jump shot from 22 ft,,56,62
2,2:23.0,,Defensive rebound by A. Johnson,56,62
2,2:11.0,,A. Johnson makes 2-pt layup from 3 ft (assist by J. Butler),56,64
2,1:55.0,D. Augustin misses 2-pt layup from 5 ft,,56,64
2,1:53.0,,Defensive rebound by A. Johnson,56,64
2,1:43.0,,A. Johnson makes 2-pt hook shot from 5 ft (assist by J. Simmons),56,66
2,1:43.0,Violation by Team (def goaltending),,56,66
2,1:29.0,J. Isaac makes 3-pt jump shot from 24 ft (assist by D. Augustin),,59,66
2,1:17.0,,J. Simmons misses 3-pt jump shot from 25 ft,59,66
2,1:14.0,,Offensive rebound by B. Simmons,59,66
2,1:12.0,,B. Simmons makes 2-pt hook shot from 10 ft,59,68
2,0:52.0,D. Augustin makes 2-pt jump shot from 3 ft,,61,68
2,0:30.0,,Shooting foul by A. Gordon (drawn by B. Simmons),61,68
2,0:30.0,,B. Simmons makes free throw 1 of 2,61,69
2,0:30.0,,B. Simmons makes free throw 2 of 2,61,70
2,0:12.0,D. Augustin makes 2-pt jump shot from 6 ft,,63,70
2,0:12.0,Shooting foul by A. Johnson (drawn by D. Augustin),,63,70
2,0:12.0,,J. Redick enters the game for J. Simmons,63,70
2,0:12.0,D. Augustin makes free throw 1 of 1,,64,70
2,0:07.0,,A. Johnson misses 3-pt jump shot from 26 ft,64,70
2,0:03.0,Defensive rebound by A. Gordon,,64,70
2,0:00.0,A. Gordon misses 3-pt jump shot from 27 ft,,64,70
2,0:00.0,Offensive rebound by Team,,64,70
3,11:49.0,E. Fournier makes 2-pt layup from 2 ft (assist by J. Isaac),,66,70
3,11:37.0,,Shooting foul by N. Vučević (drawn by J. Redick),66,70
3,11:37.0,,J. Redick makes free throw 1 of 2,66,71
3,11:37.0,,J. Redick makes free throw 2 of 2,66,72
3,11:24.0,N. Vučević misses 2-pt jump shot from 14 ft,,66,72
3,11:21.0,,Defensive rebound by B. Simmons,66,72
3,11:15.0,,J. Butler misses 2-pt jump shot from 6 ft,66,72
3,11:13.0,Defensive rebound by N. Vučević,,66,72
3,11:00.0,D. Augustin misses 2-pt layup from 3 ft,,66,72
3,10:59.0,Offensive rebound by N. Vučević,,66,72
3,10:59.0,N. Vučević misses 2-pt layup from 2 ft (block by A. Johnson),,66,72
3,10:58.0,Offensive rebound by N. Vučević,,66,72
3,10:56.0,N. Vučević makes 2-pt hook shot from 2 ft,,68,72
3,10:49.0,,Turnover by B. Simmons (bad pass; steal by D. Augustin),68,72
3,10:34.0,N. Vučević misses 2-pt hook shot from 9 ft,,68,72
3,10:34.0,,Defensive rebound by B. Simmons,68,72
3,10:23.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by A. Johnson),68,75
3,10:07.0,Turnover by J. Isaac (traveling),,68,75
3,9:51.0,,T. Harris misses 2-pt jump shot from 16 ft,68,75
3,9:47.0,Defensive rebound by N. Vučević,,68,75
3,9:39.0,A. Gordon misses 3-pt jump shot from 25 ft,,68,75
3,9:36.0,,Defensive rebound by J. Redick,68,75
3,9:27.0,,T. Harris makes 2-pt layup from 2 ft (assist by B. Simmons),68,77
3,9:15.0,E. Fournier misses 2-pt layup from 6 ft,,68,77
3,9:12.0,,Defensive rebound by T. Harris,68,77
3,9:12.0,,Turnover by T. Harris (bad pass),68,77
3,9:02.0,J. Isaac misses 3-pt jump shot from 26 ft,,68,77
3,8:59.0,,Defensive rebound by T. Harris,68,77
3,8:53.0,,T. Harris makes 2-pt dunk from 2 ft (assist by B. Simmons),68,79
3,8:38.0,Shooting foul by A. Johnson (drawn by N. Vučević),,68,79
3,8:38.0,N. Vučević makes free throw 1 of 2,,69,79
3,8:38.0,N. Vučević makes free throw 2 of 2,,70,79
3,8:25.0,,J. Butler misses 3-pt jump shot from 26 ft,70,79
3,8:21.0,Defensive rebound by J. Isaac,,70,79
3,8:13.0,A. Gordon misses 3-pt jump shot from 26 ft,,70,79
3,8:10.0,,Defensive rebound by J. Redick,70,79
3,8:04.0,,Personal foul by J. Isaac (drawn by B. Simmons),70,79
3,7:58.0,,T. Harris misses 2-pt layup from 3 ft,70,79
3,7:56.0,Defensive rebound by E. Fournier,,70,79
3,7:50.0,Turnover by E. Fournier (bad pass; steal by A. Johnson),,70,79
3,7:46.0,,A. Johnson makes 2-pt dunk from 1 ft (assist by T. Harris),70,81
3,7:46.0,,M. Scott enters the game for A. Johnson,70,81
3,7:46.0,,J. Simmons enters the game for J. Redick,70,81
3,7:22.0,A. Gordon makes 2-pt jump shot from 18 ft,,72,81
3,7:12.0,,J. Simmons misses 2-pt layup from 2 ft,72,81
3,7:09.0,Defensive rebound by N. Vučević,,72,81
3,7:00.0,Turnover by D. Augustin (bad pass; steal by J. Butler),,72,81
3,6:54.0,,T. Harris misses 3-pt jump shot from 26 ft,72,81
3,6:50.0,,Offensive rebound by T. Harris,72,81
3,6:45.0,,J. Butler makes 2-pt layup from 1 ft (assist by B. Simmons),72,83
3,6:29.0,Turnover by E. Fournier (bad pass; steal by J. Butler),,72,83
3,6:24.0,,Turnover by M. Scott (bad pass),72,83
3,6:24.0,,Philadelphia full timeout,72,83
3,6:24.0,I. Briscoe enters the game for E. Fournier,,72,83
3,6:04.0,J. Isaac misses 3-pt jump shot from 24 ft,,72,83
3,6:00.0,,Defensive rebound by B. Simmons,72,83
3,5:52.0,,Offensive foul by M. Scott (drawn by D. Augustin),72,83
3,5:52.0,,Turnover by M. Scott (offensive foul),72,83
3,5:40.0,N. Vučević misses 2-pt hook shot from 8 ft,,72,83
3,5:36.0,,Defensive rebound by J. Simmons,72,83
3,5:32.0,,T. Harris misses 3-pt jump shot from 27 ft,72,83
3,5:28.0,Defensive rebound by I. Briscoe,,72,83
3,5:23.0,I. Briscoe misses 2-pt layup from 1 ft,,72,83
3,5:21.0,,Defensive rebound by T. Harris,72,83
3,5:18.0,,J. Butler makes 2-pt dunk from 2 ft (assist by J. Simmons),72,85
3,5:06.0,Personal foul by M. Scott (drawn by A. Gordon),,72,85
3,5:06.0,,T. McConnell enters the game for T. Harris,72,85
3,4:58.0,Personal foul by J. Simmons (drawn by N. Vučević),,72,85
3,4:54.0,Personal foul by B. Simmons (drawn by A. Gordon),,72,85
3,4:40.0,N. Vučević makes 2-pt jump shot from 15 ft (assist by A. Gordon),,74,85
3,4:18.0,,T. McConnell makes 2-pt layup from 3 ft,74,87
3,4:02.0,J. Isaac makes 3-pt jump shot from 26 ft (assist by D. Augustin),,77,87
3,3:50.0,,M. Scott misses 3-pt jump shot from 26 ft,77,87
3,3:48.0,,Offensive rebound by Team,77,87
3,3:48.0,W. Iwundu enters the game for D. Augustin,,77,87
3,3:48.0,,J. Redick enters the game for J. Butler,77,87
3,3:37.0,,T. McConnell makes 2-pt jump shot from 18 ft,77,89
3,3:10.0,J. Isaac misses 3-pt jump shot from 26 ft,,77,89
3,3:08.0,,Defensive rebound by M. Scott,77,89
3,3:02.0,,J. Redick misses 3-pt jump shot from 27 ft,77,89
3,2:57.0,Defensive rebound by J. Isaac,,77,89
3,2:47.0,A. Gordon misses 2-pt layup from 3 ft,,77,89
3,2:43.0,Offensive rebound by A. Gordon,,77,89
3,2:43.0,A. Gordon makes 2-pt layup at rim,,79,89
3,2:31.0,,T. McConnell misses 2-pt jump shot from 14 ft,79,89
3,2:28.0,Defensive rebound by A. Gordon,,79,89
3,2:23.0,A. Gordon makes 2-pt jump shot from 18 ft,,81,89
3,2:07.0,,Personal foul by I. Briscoe (drawn by M. Scott),81,89
3,2:07.0,Orlando full timeout,,81,89
3,2:07.0,K. Birch enters the game for J. Isaac,,81,89
3,2:07.0,J. Martin enters the game for N. Vučević,,81,89
3,2:07.0,,T. Harris enters the game for M. Scott,81,89
3,2:07.0,,J. Patton enters the game for B. Simmons,81,89
3,2:02.0,,T. Harris misses 2-pt dunk from 3 ft (block by J. Martin),81,89
3,2:02.0,Defensive rebound by Team,,81,89
3,1:47.0,Personal foul by J. Patton (drawn by A. Gordon),,81,89
3,1:47.0,A. Gordon misses free throw 1 of 2,,81,89
3,1:47.0,Offensive rebound by Team,,81,89
3,1:47.0,A. Gordon makes free throw 2 of 2,,82,89
3,1:34.0,,Shooting foul by I. Briscoe (drawn by J. Patton),82,89
3,1:34.0,,J. Patton misses free throw 1 of 2,82,89
3,1:34.0,,Offensive rebound by Team,82,89
3,1:34.0,E. Fournier enters the game for A. Gordon,,82,89
3,1:34.0,,J. Patton makes free throw 2 of 2,82,90
3,1:11.0,E. Fournier misses 3-pt jump shot from 26 ft,,82,90
3,1:08.0,,Defensive rebound by T. Harris,82,90
3,0:58.0,,T. Harris misses 2-pt layup from 4 ft,82,90
3,0:55.0,,Offensive rebound by J. Patton,82,90
3,0:55.0,,J. Patton misses 2-pt layup from 1 ft,82,90
3,0:54.0,Defensive rebound by W. Iwundu,,82,90
3,0:50.0,W. Iwundu misses 2-pt layup from 4 ft (block by T. Harris),,82,90
3,0:48.0,,Defensive rebound by T. Harris,82,90
3,0:41.0,,Shooting foul by W. Iwundu (drawn by J. Redick),82,90
3,0:41.0,,J. Redick makes free throw 1 of 2,82,91
3,0:41.0,,J. Redick makes free throw 2 of 2,82,92
3,0:22.0,E. Fournier misses 2-pt jump shot from 19 ft,,82,92
3,0:19.0,,Defensive rebound by T. Harris,82,92
3,0:01.0,,J. Simmons makes 2-pt jump shot from 16 ft (assist by T. McConnell),82,94
4,11:48.0,,J. Redick misses 2-pt jump shot from 18 ft,82,94
4,11:44.0,Defensive rebound by J. Martin,,82,94
4,11:35.0,E. Fournier misses 2-pt layup from 3 ft,,82,94
4,11:32.0,Offensive rebound by K. Birch,,82,94
4,11:32.0,K. Birch makes 2-pt layup at rim,,84,94
4,11:16.0,,J. Patton misses 3-pt jump shot from 26 ft,84,94
4,11:13.0,Defensive rebound by J. Martin,,84,94
4,11:07.0,J. Martin makes 2-pt dunk at rim,,86,94
4,11:07.0,Shooting foul by J. Patton (drawn by J. Martin),,86,94
4,11:07.0,J. Martin misses free throw 1 of 1,,86,94
4,11:05.0,,Defensive rebound by J. Patton,86,94
4,10:49.0,,J. Redick misses 2-pt layup from 2 ft,86,94
4,10:45.0,Defensive rebound by W. Iwundu,,86,94
4,10:42.0,W. Iwundu misses 2-pt layup from 1 ft,,86,94
4,10:41.0,Offensive rebound by K. Birch,,86,94
4,10:41.0,K. Birch makes 2-pt dunk at rim,,88,94
4,10:41.0,,Philadelphia full timeout,88,94
4,10:41.0,,A. Johnson enters the game for J. Patton,88,94
4,10:27.0,,J. Butler makes 2-pt jump shot from 16 ft (assist by B. Simmons),88,96
4,10:08.0,E. Fournier misses 2-pt jump shot from 14 ft,,88,96
4,10:06.0,,Defensive rebound by J. Redick,88,96
4,9:58.0,,J. Butler misses 2-pt layup from 1 ft,88,96
4,9:54.0,Defensive rebound by W. Iwundu,,88,96
4,9:42.0,E. Fournier misses 3-pt jump shot from 27 ft,,88,96
4,9:38.0,,Defensive rebound by T. McConnell,88,96
4,9:34.0,,A. Johnson makes 2-pt layup from 2 ft (assist by B. Simmons),88,98
4,9:26.0,Orlando full timeout,,88,98
4,9:26.0,A. Gordon enters the game for J. Martin,,88,98
4,9:12.0,E. Fournier misses 3-pt jump shot from 25 ft,,88,98
4,9:09.0,,Defensive rebound by B. Simmons,88,98
4,9:03.0,,B. Simmons misses 2-pt jump shot from 4 ft,88,98
4,9:00.0,Defensive rebound by W. Iwundu,,88,98
4,8:51.0,K. Birch makes 2-pt layup from 2 ft (assist by I. Briscoe),,90,98
4,8:23.0,,T. McConnell misses 2-pt jump shot from 9 ft,90,98
4,8:21.0,,Offensive rebound by A. Johnson,90,98
4,8:10.0,,A. Johnson misses 3-pt jump shot from 28 ft,90,98
4,8:07.0,Defensive rebound by W. Iwundu,,90,98
4,8:02.0,I. Briscoe misses 2-pt jump shot from 16 ft,,90,98
4,7:59.0,,Defensive rebound by B. Simmons,90,98
4,7:56.0,,B. Simmons makes 2-pt layup from 2 ft,90,100
4,7:56.0,,Shooting foul by W. Iwundu (drawn by B. Simmons),90,100
4,7:56.0,,T. Harris enters the game for J. Butler,90,100
4,7:56.0,,M. Scott enters the game for A. Johnson,90,100
4,7:56.0,,J. Simmons enters the game for J. Redick,90,100
4,7:56.0,,B. Simmons makes free throw 1 of 1,90,101
4,7:33.0,I. Briscoe makes 3-pt jump shot from 25 ft (assist by W. Iwundu),,93,101
4,7:05.0,,J. Simmons misses 2-pt layup from 3 ft,93,101
4,7:00.0,,Offensive rebound by B. Simmons,93,101
4,7:00.0,,B. Simmons misses 2-pt dunk from 1 ft,93,101
4,7:00.0,Defensive rebound by A. Gordon,,93,101
4,6:59.0,Shooting foul by T. Harris (drawn by A. Gordon),,93,101
4,6:59.0,N. Vučević enters the game for K. Birch,,93,101
4,6:59.0,A. Gordon misses free throw 1 of 2,,93,101
4,6:59.0,Offensive rebound by Team,,93,101
4,6:59.0,A. Gordon makes free throw 2 of 2,,94,101
4,6:40.0,,Offensive foul by M. Scott (drawn by W. Iwundu),94,101
4,6:40.0,,Turnover by M. Scott (offensive foul),94,101
4,6:18.0,Turnover by W. Iwundu (out of bounds lost ball),,94,101
4,6:05.0,,B. Simmons misses 2-pt jump shot from 18 ft,94,101
4,6:02.0,Defensive rebound by N. Vučević,,94,101
4,5:51.0,E. Fournier makes 3-pt jump shot from 26 ft (assist by W. Iwundu),,97,101
4,5:26.0,,M. Scott misses 3-pt jump shot from 27 ft,97,101
4,5:25.0,Defensive rebound by Team,,97,101
4,5:25.0,D. Augustin enters the game for I. Briscoe,,97,101
4,5:25.0,J. Isaac enters the game for W. Iwundu,,97,101
4,5:25.0,,J. Butler enters the game for T. McConnell,97,101
4,5:25.0,,J. Redick enters the game for J. Simmons,97,101
4,5:04.0,A. Gordon misses 2-pt layup from 2 ft,,97,101
4,5:00.0,Offensive rebound by N. Vučević,,97,101
4,5:00.0,N. Vučević makes 2-pt dunk at rim,,99,101
4,4:50.0,,Personal foul by D. Augustin (drawn by J. Redick),99,101
4,4:42.0,,J. Redick misses 2-pt jump shot from 20 ft,99,101
4,4:38.0,Defensive rebound by A. Gordon,,99,101
4,4:31.0,N. Vučević misses 3-pt jump shot from 24 ft,,99,101
4,4:28.0,,Defensive rebound by T. Harris,99,101
4,4:19.0,,Turnover by T. Harris (bad pass),99,101
4,4:04.0,A. Gordon misses 2-pt layup from 1 ft,,99,101
4,4:02.0,,Defensive rebound by T. Harris,99,101
4,3:55.0,,M. Scott misses 3-pt jump shot from 24 ft,99,101
4,3:52.0,Defensive rebound by A. Gordon,,99,101
4,3:48.0,E. Fournier misses 3-pt jump shot from 25 ft,,99,101
4,3:43.0,Offensive rebound by A. Gordon,,99,101
4,3:38.0,N. Vučević misses 2-pt hook shot from 6 ft,,99,101
4,3:37.0,,Defensive rebound by J. Redick,99,101
4,3:31.0,,Philadelphia full timeout,99,101
4,3:24.0,,J. Butler misses 2-pt layup from 3 ft,99,101
4,3:19.0,,Offensive rebound by B. Simmons,99,101
4,3:19.0,,B. Simmons misses 2-pt dunk from 1 ft,99,101
4,3:19.0,Defensive rebound by D. Augustin,,99,101
4,3:18.0,Orlando full timeout,,99,101
4,3:08.0,E. Fournier misses 2-pt layup from 3 ft,,99,101
4,3:05.0,,Defensive rebound by M. Scott,99,101
4,2:49.0,,J. Butler makes 2-pt jump shot from 19 ft,99,103
4,2:34.0,Turnover by N. Vučević (lost ball; steal by J. Butler),,99,103
4,2:19.0,,B. Simmons misses 2-pt hook shot from 4 ft,99,103
4,2:17.0,Defensive rebound by N. Vučević,,99,103
4,2:15.0,Turnover by A. Gordon (lost ball; steal by B. Simmons),,99,103
4,2:10.0,,J. Redick misses 3-pt jump shot from 27 ft,99,103
4,2:06.0,Defensive rebound by D. Augustin,,99,103
4,1:50.0,J. Isaac makes 3-pt jump shot from 24 ft (assist by N. Vučević),,102,103
4,1:32.0,,J. Butler makes 2-pt jump shot from 21 ft,102,105
4,1:06.0,J. Isaac misses 2-pt jump shot from 11 ft,,102,105
4,1:04.0,,Defensive rebound by M. Scott,102,105
4,0:48.0,,M. Scott makes 3-pt jump shot from 26 ft (assist by J. Butler),102,108
4,0:47.0,Orlando full timeout,,102,108
4,0:47.0,,J. Simmons enters the game for J. Redick,102,108
4,0:40.0,E. Fournier makes 2-pt layup at rim,,104,108
4,0:40.0,,Philadelphia full timeout,104,108
4,0:40.0,,J. Redick enters the game for J. Simmons,104,108
