QUARTER,TIME_REMAINING,PORTLAND_ACTION,MINNESOTA_ACTION,PORTLAND_SCORE,MINNESOTA_SCORE
1,4:35.0,,T. Jones makes 2-pt jump shot from 24 ft (assist by A. Wiggins),20,18
1,4:19.0,E. Freedom makes 2-pt layup from 1 ft (assist by D. Lillard),,22,18
1,4:04.0,,A. Wiggins makes 2-pt layup at rim (assist by K. Towns),22,20
1,3:40.0,D. Lillard misses 2-pt jump shot from 17 ft,,22,20
1,3:37.0,Offensive rebound by M. Harkless,,22,20
1,3:29.0,Turnover by A. Aminu (lost ball; steal by T. Jones),,22,20
1,3:22.0,,T. Jones misses 2-pt layup from 1 ft,22,20
1,3:22.0,,Offensive rebound by Team,22,20
1,3:22.0,Z. Collins enters the game for A. Aminu,,22,20
1,3:22.0,E. Turner enters the game for M. Harkless,,22,20
1,3:18.0,,K. Towns misses 2-pt jump shot from 8 ft,22,20
1,3:15.0,Defensive rebound by E. Freedom,,22,20
1,3:11.0,R. Hood makes 3-pt jump shot from 25 ft (assist by D. Lillard),,25,20
1,2:59.0,,T. Jones misses 2-pt jump shot from 16 ft,25,20
1,2:57.0,Defensive rebound by E. Freedom,,25,20
1,2:40.0,E. Turner makes 2-pt layup from 1 ft (assist by D. Lillard),,27,20
1,2:18.0,,A. Wiggins misses 2-pt layup from 6 ft,27,20
1,2:16.0,,Offensive rebound by J. Okogie,27,20
1,2:16.0,,J. Okogie makes 2-pt layup from 1 ft,27,22
1,2:04.0,Z. Collins misses 3-pt jump shot from 24 ft,,27,22
1,2:00.0,,Defensive rebound by A. Wiggins,27,22
1,1:50.0,,A. Wiggins misses 3-pt jump shot from 27 ft,27,22
1,1:46.0,Defensive rebound by R. Hood,,27,22
1,1:38.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by E. Turner),,30,22
1,1:27.0,,Minnesota full timeout,30,22
1,1:27.0,,K. Bates-Diop enters the game for J. Okogie,30,22
1,1:27.0,,C. Reynolds enters the game for D. Šarić,30,22
1,1:27.0,,A. Tolliver enters the game for A. Wiggins,30,22
1,1:20.0,,A. Tolliver misses 3-pt jump shot from 26 ft,30,22
1,1:18.0,Defensive rebound by E. Turner,,30,22
1,1:01.0,Z. Collins makes 2-pt jump shot from 12 ft (assist by D. Lillard),,32,22
1,0:45.0,,Shooting foul by R. Hood (drawn by K. Bates-Diop),32,22
1,0:45.0,,K. Bates-Diop misses free throw 1 of 2,32,22
1,0:45.0,,Offensive rebound by Team,32,22
1,0:45.0,M. Leonard enters the game for E. Freedom,,32,22
1,0:45.0,,J. Bayless enters the game for T. Jones,32,22
1,0:45.0,,G. Dieng enters the game for K. Towns,32,22
1,0:45.0,,K. Bates-Diop makes free throw 2 of 2,32,23
1,0:31.0,M. Leonard makes 3-pt jump shot from 23 ft (assist by D. Lillard),,35,23
1,0:08.0,,A. Tolliver misses 2-pt layup from 2 ft,35,23
1,0:06.0,Defensive rebound by M. Leonard,,35,23
1,0:04.0,Personal take foul by K. Bates-Diop (drawn by R. Hood),,35,23
1,0:04.0,S. Curry enters the game for Z. Collins,,35,23
1,0:01.0,R. Hood makes 3-pt jump shot from 23 ft (assist by E. Turner),,38,23
1,0:00.0,,K. Bates-Diop misses 3-pt jump shot from 48 ft,38,23
1,0:00.0,,Offensive rebound by Team,38,23
2,11:46.0,J. Layman makes 2-pt jump shot from 12 ft (assist by E. Turner),,40,23
2,11:33.0,,G. Dieng makes 2-pt layup from 1 ft (assist by J. Bayless),40,25
2,11:10.0,Shooting foul by C. Reynolds (drawn by J. Layman),,40,25
2,11:10.0,J. Layman makes free throw 1 of 2,,41,25
2,11:10.0,J. Layman misses free throw 2 of 2,,41,25
2,11:10.0,,Defensive rebound by G. Dieng,41,25
2,10:55.0,,Shooting foul by M. Leonard (drawn by G. Dieng),41,25
2,10:55.0,,G. Dieng makes free throw 1 of 2,41,26
2,10:55.0,,G. Dieng makes free throw 2 of 2,41,27
2,10:41.0,M. Leonard makes 2-pt dunk from 2 ft (assist by Z. Collins),,43,27
2,10:32.0,,Turnover by J. Bayless (out of bounds lost ball),43,27
2,10:13.0,M. Leonard makes 2-pt jump shot from 13 ft,,45,27
2,10:01.0,,K. Bates-Diop makes 3-pt jump shot from 25 ft (assist by G. Dieng),45,30
2,9:39.0,J. Layman misses 2-pt jump shot from 19 ft,,45,30
2,9:35.0,Offensive rebound by S. Curry,,45,30
2,9:30.0,Turnover by S. Curry (bad pass; steal by J. Bayless),,45,30
2,9:21.0,,C. Reynolds makes 3-pt jump shot from 26 ft (assist by J. Bayless),45,33
2,9:04.0,S. Curry misses 3-pt jump shot from 26 ft,,45,33
2,9:00.0,,Defensive rebound by K. Bates-Diop,45,33
2,8:51.0,,K. Bates-Diop makes 3-pt jump shot from 26 ft (assist by J. Bayless),45,36
2,8:38.0,Shooting foul by C. Reynolds (drawn by J. Layman),,45,36
2,8:38.0,J. Layman misses free throw 1 of 2,,45,36
2,8:38.0,Offensive rebound by Team,,45,36
2,8:38.0,J. Layman makes free throw 2 of 2,,46,36
2,8:27.0,,J. Bayless misses 3-pt jump shot from 22 ft,46,36
2,8:23.0,Defensive rebound by M. Leonard,,46,36
2,8:20.0,J. Layman makes 2-pt layup from 1 ft (assist by E. Turner),,48,36
2,8:09.0,,A. Tolliver misses 3-pt jump shot from 25 ft,48,36
2,8:07.0,Defensive rebound by M. Leonard,,48,36
2,7:49.0,S. Curry makes 3-pt jump shot from 25 ft (assist by E. Turner),,51,36
2,7:43.0,,Minnesota full timeout,51,36
2,7:26.0,,K. Bates-Diop misses 2-pt jump shot from 9 ft,51,36
2,7:24.0,Defensive rebound by E. Turner,,51,36
2,7:19.0,S. Curry makes 3-pt jump shot from 25 ft (assist by E. Turner),,54,36
2,7:07.0,Violation by Team (kicked ball),,54,36
2,7:07.0,,A. Wiggins enters the game for K. Bates-Diop,54,36
2,7:01.0,,J. Bayless makes 2-pt jump shot from 6 ft,54,38
2,6:37.0,E. Turner makes 3-pt jump shot from 22 ft (assist by M. Leonard),,57,38
2,6:22.0,,A. Tolliver misses 3-pt jump shot from 28 ft,57,38
2,6:19.0,,Offensive rebound by G. Dieng,57,38
2,6:18.0,,G. Dieng makes 2-pt layup from 3 ft,57,40
2,5:56.0,M. Leonard makes 2-pt dunk from 1 ft (assist by E. Turner),,59,40
2,5:45.0,,Shooting foul by S. Curry (drawn by J. Bayless),59,40
2,5:45.0,,J. Bayless makes free throw 1 of 2,59,41
2,5:45.0,,D. Šarić enters the game for G. Dieng,59,41
2,5:45.0,,K. Towns enters the game for A. Tolliver,59,41
2,5:45.0,,J. Bayless makes free throw 2 of 2,59,42
2,5:32.0,J. Layman misses 3-pt jump shot from 25 ft,,59,42
2,5:29.0,,Defensive rebound by A. Wiggins,59,42
2,5:19.0,,K. Towns misses 2-pt jump shot from 22 ft,59,42
2,5:16.0,Defensive rebound by M. Leonard,,59,42
2,5:04.0,S. Curry misses 3-pt jump shot from 24 ft,,59,42
2,5:01.0,,Defensive rebound by J. Bayless,59,42
2,4:56.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by J. Bayless),59,45
2,4:53.0,Portland full timeout,,59,45
2,4:53.0,R. Hood enters the game for J. Layman,,59,45
2,4:53.0,E. Freedom enters the game for M. Leonard,,59,45
2,4:53.0,D. Lillard enters the game for E. Turner,,59,45
2,4:53.0,,T. Jones enters the game for J. Bayless,59,45
2,4:53.0,,J. Okogie enters the game for C. Reynolds,59,45
2,4:39.0,Turnover by E. Freedom (3 sec),,59,45
2,4:21.0,,J. Okogie makes 2-pt jump shot from 12 ft (assist by T. Jones),59,47
2,4:07.0,R. Hood misses 2-pt jump shot from 8 ft,,59,47
2,4:05.0,,Defensive rebound by K. Towns,59,47
2,3:58.0,,K. Towns misses 2-pt dunk from 3 ft,59,47
2,3:55.0,Defensive rebound by R. Hood,,59,47
2,3:51.0,D. Lillard makes 2-pt layup from 2 ft,,61,47
2,3:40.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by T. Jones),61,50
2,3:24.0,Turnover by Z. Collins (lost ball; steal by T. Jones),,61,50
2,3:19.0,,T. Jones makes 2-pt layup from 1 ft,61,52
2,3:01.0,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Lillard),,64,52
2,2:51.0,,T. Jones misses 2-pt layup from 1 ft (block by Z. Collins),64,52
2,2:47.0,Defensive rebound by E. Freedom,,64,52
2,2:45.0,Shooting foul by A. Wiggins (drawn by R. Hood),,64,52
2,2:45.0,R. Hood makes free throw 1 of 2,,65,52
2,2:45.0,A. Aminu enters the game for Z. Collins,,65,52
2,2:45.0,M. Harkless enters the game for S. Curry,,65,52
2,2:45.0,R. Hood makes free throw 2 of 2,,66,52
2,2:33.0,,A. Wiggins misses 2-pt layup from 4 ft (block by M. Harkless),66,52
2,2:31.0,,Offensive rebound by T. Jones,66,52
2,2:29.0,,J. Okogie misses 2-pt jump shot from 19 ft,66,52
2,2:25.0,Defensive rebound by M. Harkless,,66,52
2,2:15.0,R. Hood makes 3-pt jump shot from 25 ft (assist by D. Lillard),,69,52
2,1:56.0,,K. Towns misses 2-pt layup from 2 ft,69,52
2,1:55.0,,Offensive rebound by K. Towns,69,52
2,1:54.0,,K. Towns misses 2-pt layup from 1 ft (block by E. Freedom),69,52
2,1:53.0,,Offensive rebound by K. Towns,69,52
2,1:50.0,,A. Wiggins makes 3-pt jump shot from 26 ft (assist by D. Šarić),69,55
2,1:39.0,Turnover by D. Lillard (bad pass),,69,55
2,1:31.0,,D. Šarić makes 2-pt layup from 1 ft (assist by K. Towns),69,57
2,1:31.0,,Shooting foul by E. Freedom (drawn by D. Šarić),69,57
2,1:31.0,,D. Šarić makes free throw 1 of 1,69,58
2,1:20.0,D. Lillard makes 3-pt jump shot from 25 ft (assist by M. Harkless),,72,58
2,0:57.0,,K. Towns makes 2-pt hook shot from 5 ft (assist by A. Wiggins),72,60
2,0:51.0,Shooting foul by K. Towns (drawn by E. Freedom),,72,60
2,0:51.0,E. Freedom makes free throw 1 of 2,,73,60
2,0:51.0,E. Freedom makes free throw 2 of 2,,74,60
2,0:39.0,,A. Wiggins misses 3-pt jump shot from 25 ft,74,60
2,0:36.0,,Offensive rebound by D. Šarić,74,60
2,0:36.0,,D. Šarić makes 2-pt layup from 1 ft,74,62
2,0:24.0,Personal foul by K. Towns (drawn by E. Freedom),,74,62
2,0:24.0,E. Freedom misses free throw 1 of 2,,74,62
2,0:24.0,Offensive rebound by Team,,74,62
2,0:24.0,E. Freedom makes free throw 2 of 2,,75,62
2,0:04.0,,A. Wiggins makes 2-pt jump shot from 19 ft,75,64
2,0:00.0,D. Lillard misses 2-pt jump shot from 12 ft,,75,64
2,0:00.0,Offensive rebound by Team,,75,64
3,11:44.0,M. Harkless misses 2-pt layup from 1 ft,,75,64
3,11:43.0,Offensive rebound by M. Harkless,,75,64
3,11:43.0,Shooting foul by K. Towns (drawn by M. Harkless),,75,64
3,11:43.0,M. Harkless misses free throw 1 of 2,,75,64
3,11:43.0,Offensive rebound by Team,,75,64
3,11:43.0,M. Harkless makes free throw 2 of 2,,76,64
3,11:30.0,,A. Wiggins makes 2-pt jump shot from 20 ft,76,66
3,11:12.0,M. Harkless misses 3-pt jump shot from 25 ft,,76,66
3,11:11.0,Offensive rebound by E. Freedom,,76,66
3,11:10.0,E. Freedom makes 2-pt layup from 1 ft,,78,66
3,10:52.0,,A. Wiggins misses 2-pt jump shot from 10 ft,78,66
3,10:51.0,Defensive rebound by E. Freedom,,78,66
3,10:40.0,M. Harkless makes 2-pt layup from 3 ft (assist by A. Aminu),,80,66
3,10:40.0,Shooting foul by D. Šarić (drawn by M. Harkless),,80,66
3,10:40.0,M. Harkless misses free throw 1 of 1,,80,66
3,10:37.0,Offensive rebound by E. Freedom,,80,66
3,10:30.0,R. Hood misses 3-pt jump shot from 25 ft,,80,66
3,10:26.0,,Defensive rebound by A. Wiggins,80,66
3,10:22.0,,Personal foul by R. Hood (drawn by K. Towns),80,66
3,10:15.0,,A. Wiggins misses 2-pt jump shot from 6 ft (block by E. Freedom),80,66
3,10:12.0,,Offensive rebound by A. Wiggins,80,66
3,10:11.0,,A. Wiggins makes 2-pt layup from 1 ft,80,68
3,10:02.0,A. Aminu misses 3-pt jump shot from 22 ft,,80,68
3,9:59.0,,Defensive rebound by K. Towns,80,68
3,9:52.0,,A. Wiggins makes 2-pt jump shot from 16 ft,80,70
3,9:29.0,D. Lillard misses 2-pt layup from 5 ft,,80,70
3,9:28.0,Offensive rebound by M. Harkless,,80,70
3,9:28.0,M. Harkless misses 2-pt layup from 1 ft,,80,70
3,9:28.0,,Defensive rebound by Team,80,70
3,9:19.0,,K. Towns misses 2-pt jump shot from 11 ft (block by E. Freedom),80,70
3,9:16.0,Defensive rebound by A. Aminu,,80,70
3,9:02.0,Turnover by D. Lillard (lost ball; steal by J. Okogie),,80,70
3,8:58.0,,J. Okogie misses 2-pt layup from 2 ft (block by A. Aminu),80,70
3,8:55.0,Defensive rebound by D. Lillard,,80,70
3,8:49.0,R. Hood misses 2-pt hook shot from 9 ft,,80,70
3,8:46.0,,Defensive rebound by K. Towns,80,70
3,8:41.0,,Turnover by T. Jones (bad pass; steal by A. Aminu),80,70
3,8:37.0,R. Hood makes 2-pt layup from 1 ft (assist by D. Lillard),,82,70
3,8:26.0,,Shooting foul by A. Aminu (drawn by K. Towns),82,70
3,8:26.0,,K. Towns makes free throw 1 of 2,82,71
3,8:26.0,,K. Towns makes free throw 2 of 2,82,72
3,8:14.0,R. Hood misses 2-pt jump shot from 18 ft,,82,72
3,8:11.0,,Defensive rebound by D. Šarić,82,72
3,8:05.0,,D. Šarić misses 2-pt layup from 4 ft (block by M. Harkless),82,72
3,8:04.0,,Offensive rebound by Team,82,72
3,7:56.0,,Personal foul by E. Freedom (drawn by K. Towns),82,72
3,7:49.0,,K. Towns misses 2-pt jump shot from 23 ft,82,72
3,7:46.0,Defensive rebound by D. Lillard,,82,72
3,7:43.0,D. Lillard misses 2-pt dunk from 2 ft,,82,72
3,7:40.0,Offensive rebound by R. Hood,,82,72
3,7:35.0,A. Aminu makes 2-pt hook shot from 6 ft,,84,72
3,7:26.0,,Personal foul by A. Aminu (drawn by K. Towns),84,72
3,7:20.0,,T. Jones makes 2-pt jump shot from 8 ft,84,74
3,7:02.0,A. Aminu misses 2-pt layup from 2 ft (block by K. Towns),,84,74
3,6:59.0,,Defensive rebound by K. Towns,84,74
3,6:57.0,,Shooting foul by M. Harkless (drawn by A. Wiggins),84,74
3,6:57.0,,Minnesota full timeout,84,74
3,6:57.0,,A. Wiggins makes free throw 1 of 2,84,75
3,6:57.0,,A. Wiggins makes free throw 2 of 2,84,76
3,6:37.0,R. Hood makes 2-pt jump shot from 15 ft,,86,76
3,6:20.0,,K. Towns misses 3-pt jump shot from 25 ft,86,76
3,6:19.0,,Offensive rebound by Team,86,76
3,6:19.0,Loose ball foul by R. Hood (drawn by A. Wiggins),,86,76
3,6:19.0,,A. Wiggins makes free throw 1 of 2,86,77
3,6:19.0,,A. Wiggins makes free throw 2 of 2,86,78
3,5:57.0,R. Hood misses 2-pt jump shot from 12 ft,,86,78
3,5:54.0,,Defensive rebound by K. Towns,86,78
3,5:46.0,,K. Towns misses 2-pt jump shot from 7 ft (block by E. Freedom),86,78
3,5:45.0,,Offensive rebound by Team,86,78
3,5:41.0,,K. Towns makes 2-pt hook shot from 8 ft (assist by A. Wiggins),86,80
3,5:26.0,D. Lillard misses 2-pt jump shot from 13 ft,,86,80
3,5:24.0,,Defensive rebound by K. Towns,86,80
3,5:16.0,,K. Towns makes 2-pt jump shot from 22 ft (assist by T. Jones),86,82
3,5:16.0,Portland full timeout,,86,82
3,5:16.0,,C. Reynolds enters the game for D. Šarić,86,82
3,5:16.0,,A. Tolliver enters the game for A. Wiggins,86,82
3,5:01.0,E. Freedom makes 2-pt layup from 2 ft (assist by D. Lillard),,88,82
3,5:01.0,Shooting foul by K. Towns (drawn by E. Freedom),,88,82
3,5:01.0,,G. Dieng enters the game for K. Towns,88,82
3,5:01.0,E. Freedom makes free throw 1 of 1,,89,82
3,4:45.0,,Turnover by G. Dieng (bad pass; steal by M. Harkless),89,82
3,4:41.0,M. Harkless makes 2-pt dunk at rim,,91,82
3,4:29.0,,G. Dieng makes 2-pt jump shot from 19 ft (assist by T. Jones),91,84
3,4:14.0,Turnover by D. Lillard (bad pass; steal by G. Dieng),,91,84
3,4:04.0,,C. Reynolds misses 3-pt jump shot from 25 ft,91,84
3,4:00.0,Defensive rebound by E. Freedom,,91,84
3,3:42.0,E. Freedom misses 3-pt jump shot from 25 ft,,91,84
3,3:39.0,,Defensive rebound by C. Reynolds,91,84
3,3:26.0,,T. Jones makes 2-pt jump shot from 9 ft,91,86
3,3:07.0,A. Aminu makes 3-pt jump shot from 26 ft (assist by R. Hood),,94,86
3,2:54.0,,T. Jones makes 2-pt jump shot from 8 ft,94,88
3,2:41.0,D. Lillard makes 3-pt jump shot from 26 ft,,97,88
3,2:29.0,,T. Jones makes 2-pt layup from 1 ft,97,90
3,2:27.0,Turnover by D. Lillard (traveling),,97,90
3,2:27.0,Z. Collins enters the game for A. Aminu,,97,90
3,2:27.0,M. Leonard enters the game for M. Harkless,,97,90
3,2:27.0,E. Turner enters the game for E. Freedom,,97,90
3,2:27.0,,K. Bates-Diop enters the game for J. Okogie,97,90
3,2:16.0,,G. Dieng makes 2-pt jump shot from 20 ft (assist by T. Jones),97,92
3,1:52.0,Turnover by M. Leonard (lost ball; steal by C. Reynolds),,97,92
3,1:47.0,,T. Jones misses 3-pt jump shot from 25 ft,97,92
3,1:45.0,,Offensive rebound by G. Dieng,97,92
3,1:45.0,,G. Dieng makes 2-pt dunk from 1 ft,97,94
3,1:45.0,Portland full timeout,,97,94
3,1:25.0,R. Hood misses 2-pt jump shot from 14 ft,,97,94
3,1:22.0,,Defensive rebound by T. Jones,97,94
3,1:14.0,,A. Tolliver makes 3-pt jump shot from 25 ft (assist by T. Jones),97,97
3,0:57.0,D. Lillard misses 2-pt layup from 2 ft (block by G. Dieng),,97,97
3,0:55.0,,Defensive rebound by T. Jones,97,97
3,0:46.0,,G. Dieng makes 2-pt jump shot from 20 ft (assist by T. Jones),97,99
3,0:32.0,Offensive foul by D. Lillard (drawn by A. Tolliver),,97,99
3,0:32.0,Turnover by D. Lillard (offensive foul),,97,99
3,0:32.0,S. Curry enters the game for R. Hood,,97,99
3,0:22.0,,Personal foul by D. Lillard (drawn by G. Dieng),97,99
3,0:22.0,,G. Dieng makes free throw 1 of 2,97,100
3,0:22.0,R. Hood enters the game for Z. Collins,,97,100
3,0:22.0,,G. Dieng misses free throw 2 of 2,97,100
3,0:19.0,Defensive rebound by E. Turner,,97,100
3,0:14.0,Personal take foul by T. Jones (drawn by D. Lillard),,97,100
3,0:14.0,,J. Okogie enters the game for A. Tolliver,97,100
3,0:01.0,D. Lillard misses 2-pt layup from 2 ft,,97,100
3,0:01.0,,Defensive rebound by G. Dieng,97,100
4,11:46.0,,C. Reynolds makes 2-pt jump shot from 11 ft (assist by J. Bayless),97,102
4,11:30.0,Personal foul by J. Bayless (drawn by S. Curry),,97,102
4,11:23.0,S. Curry makes 2-pt jump shot from 6 ft,,99,102
4,10:58.0,,G. Dieng makes 3-pt jump shot from 23 ft (assist by C. Reynolds),99,105
4,10:40.0,E. Turner makes 2-pt jump shot from 13 ft,,101,105
4,10:21.0,,G. Dieng misses 2-pt jump shot from 20 ft,101,105
4,10:18.0,Defensive rebound by E. Turner,,101,105
4,10:07.0,E. Turner makes 2-pt jump shot from 10 ft (assist by S. Curry),,103,105
4,9:52.0,,J. Bayless makes 2-pt layup from 3 ft (assist by G. Dieng),103,107
4,9:38.0,Personal foul by C. Reynolds (drawn by J. Layman),,103,107
4,9:30.0,Shooting foul by J. Bayless (drawn by J. Layman),,103,107
4,9:30.0,J. Layman makes free throw 1 of 2,,104,107
4,9:30.0,,A. Wiggins enters the game for C. Reynolds,104,107
4,9:30.0,J. Layman makes free throw 2 of 2,,105,107
4,9:21.0,,J. Bayless makes 2-pt jump shot from 17 ft,105,109
4,9:05.0,J. Layman makes 3-pt jump shot from 25 ft (assist by M. Leonard),,108,109
4,8:51.0,,Turnover by A. Tolliver (lost ball),108,109
4,8:51.0,,Loose ball foul by A. Tolliver (drawn by M. Leonard),108,109
4,8:51.0,A. Aminu enters the game for M. Leonard,,108,109
4,8:41.0,S. Curry misses 3-pt jump shot from 25 ft,,108,109
4,8:38.0,,Defensive rebound by A. Wiggins,108,109
4,8:27.0,,A. Wiggins misses 3-pt jump shot from 24 ft,108,109
4,8:25.0,Defensive rebound by J. Layman,,108,109
4,8:13.0,A. Aminu makes 2-pt layup from 3 ft,,110,109
4,7:51.0,,J. Bayless misses 2-pt jump shot from 12 ft,110,109
4,7:51.0,Defensive rebound by E. Turner,,110,109
4,7:44.0,Z. Collins makes 2-pt layup from 1 ft (assist by E. Turner),,112,109
4,7:44.0,,Minnesota full timeout,112,109
4,7:44.0,,J. Okogie enters the game for K. Bates-Diop,112,109
4,7:44.0,,K. Towns enters the game for G. Dieng,112,109
4,7:32.0,,K. Towns misses 3-pt jump shot from 24 ft,112,109
4,7:30.0,Defensive rebound by A. Aminu,,112,109
4,7:26.0,Turnover by E. Turner (bad pass; steal by A. Wiggins),,112,109
4,7:21.0,,J. Okogie misses 3-pt jump shot from 26 ft,112,109
4,7:19.0,Defensive rebound by E. Turner,,112,109
4,7:13.0,Shooting foul by A. Tolliver (drawn by E. Turner),,112,109
4,7:13.0,E. Turner makes free throw 1 of 2,,113,109
4,7:13.0,E. Turner makes free throw 2 of 2,,114,109
4,7:08.0,,Personal foul by E. Turner (drawn by A. Wiggins),114,109
4,6:58.0,,A. Tolliver misses 3-pt jump shot from 26 ft,114,109
4,6:56.0,Defensive rebound by E. Turner,,114,109
4,6:46.0,J. Layman misses 3-pt jump shot from 26 ft,,114,109
4,6:41.0,,Defensive rebound by A. Tolliver,114,109
4,6:33.0,,K. Towns misses 2-pt jump shot from 19 ft,114,109
4,6:30.0,Defensive rebound by S. Curry,,114,109
4,6:20.0,S. Curry misses 2-pt jump shot from 18 ft,,114,109
4,6:18.0,,Defensive rebound by J. Bayless,114,109
4,6:14.0,,A. Tolliver makes 3-pt jump shot from 23 ft (assist by J. Bayless),114,112
4,5:52.0,S. Curry makes 3-pt jump shot from 25 ft (assist by E. Turner),,117,112
4,5:40.0,,J. Bayless makes 2-pt layup from 3 ft,117,114
4,5:21.0,S. Curry makes 2-pt jump shot from 5 ft (assist by E. Turner),,119,114
4,5:08.0,,Turnover by J. Bayless (out of bounds lost ball),119,114
4,5:08.0,D. Lillard enters the game for J. Layman,,119,114
4,5:08.0,,T. Jones enters the game for J. Bayless,119,114
4,5:08.0,,D. Šarić enters the game for A. Tolliver,119,114
4,4:52.0,Z. Collins makes 2-pt layup from 6 ft (assist by D. Lillard),,121,114
4,4:39.0,,A. Wiggins misses 2-pt layup from 3 ft,121,114
4,4:36.0,Defensive rebound by D. Lillard,,121,114
4,4:28.0,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Lillard),,124,114
4,4:27.0,,Minnesota full timeout,124,114
4,4:27.0,,C. Reynolds enters the game for J. Okogie,124,114
4,4:16.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by K. Towns),124,116
4,3:55.0,S. Curry misses 3-pt jump shot from 25 ft,,124,116
4,3:53.0,,Defensive rebound by C. Reynolds,124,116
4,3:44.0,,K. Towns misses 2-pt jump shot from 8 ft,124,116
