QUARTER,TIME_REMAINING,PHOENIX_ACTION,CHICAGO_ACTION,PHOENIX_SCORE,CHICAGO_SCORE
4,1:27.0,T. Warren makes 3-pt jump shot from 25 ft (assist by D. Ayton),,116,119
4,1:06.0,,R. Arcidiacono misses 3-pt jump shot from 23 ft,116,119
4,1:02.0,Defensive rebound by M. Bridges,,116,119
4,0:57.0,Turnover by D. Booker (bad pass; steal by Z. LaVine),,116,119
4,0:38.0,,Z. LaVine misses 2-pt layup from 5 ft (block by T. Ariza),116,119
4,0:38.0,,Offensive rebound by Team,116,119
4,0:37.0,,W. Carter makes 2-pt layup from 2 ft (assist by R. Arcidiacono),116,121
4,0:31.0,D. Booker misses 3-pt jump shot from 26 ft,,116,121
4,0:26.0,,Defensive rebound by J. Parker,116,121
4,0:23.0,,Chicago full timeout,116,121
4,0:23.0,I. Canaan enters the game for D. Booker,,116,121
4,0:17.0,,Personal take foul by M. Bridges (drawn by Z. LaVine),116,121
4,0:17.0,,Z. LaVine makes free throw 1 of 2,116,122
4,0:17.0,,Z. LaVine makes free throw 2 of 2,116,123
4,0:17.0,Phoenix full timeout,,116,123
4,0:17.0,D. Booker enters the game for I. Canaan,,116,123
4,0:15.0,T. Ariza misses 3-pt jump shot from 25 ft,,116,123
4,0:12.0,,Defensive rebound by J. Parker,116,123
4,0:12.0,,Personal take foul by M. Bridges (drawn by J. Parker),116,123
4,0:12.0,,J. Parker makes free throw 1 of 2,116,124
4,0:12.0,,J. Parker misses free throw 2 of 2,116,124
4,0:12.0,Defensive rebound by D. Ayton,,116,124
4,0:04.0,M. Bridges misses 3-pt jump shot from 26 ft,,116,124
4,0:00.0,,Defensive rebound by J. Parker,116,124
