QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,NEW ORLEANS_ACTION,OKLAHOMA CITY_SCORE,NEW ORLEANS_SCORE
2,1:59.0,,A. Davis makes 3-pt jump shot from 26 ft (assist by J. Holiday),53,62
2,1:46.0,R. Westbrook makes 3-pt jump shot from 26 ft,,56,62
2,1:38.0,,Offensive foul by J. Randle (drawn by N. Noel),56,62
2,1:38.0,,Turnover by J. Randle (offensive foul),56,62
2,1:31.0,R. Westbrook makes 2-pt layup from 2 ft,,58,62
2,1:24.0,,Turnover by E. Moore (bad pass; steal by T. Ferguson),58,62
2,1:20.0,R. Westbrook makes 3-pt jump shot from 25 ft,,61,62
2,1:07.0,,J. Holiday misses 2-pt jump shot from 7 ft,61,62
2,1:04.0,Defensive rebound by N. Noel,,61,62
2,1:01.0,R. Westbrook misses 3-pt jump shot from 28 ft,,61,62
2,0:58.0,,Defensive rebound by J. Randle,61,62
2,0:55.0,,Personal take foul by R. Westbrook (drawn by J. Randle),61,62
2,0:55.0,,J. Randle makes free throw 1 of 2,61,63
2,0:55.0,,J. Randle makes free throw 2 of 2,61,64
2,0:35.0,R. Westbrook misses 2-pt jump shot from 17 ft,,61,64
2,0:30.0,Offensive rebound by S. Adams,,61,64
2,0:27.0,P. George misses 3-pt jump shot from 25 ft,,61,64
2,0:27.0,Offensive rebound by N. Noel,,61,64
2,0:21.0,N. Noel misses 2-pt layup at rim,,61,64
2,0:20.0,,Defensive rebound by A. Davis,61,64
2,0:20.0,,K. Williams makes 2-pt layup from 3 ft (assist by A. Davis),61,66
2,0:00.0,Shooting foul by A. Davis (drawn by N. Noel),,61,66
2,0:00.0,N. Noel makes free throw 1 of 2,,62,66
2,0:00.0,N. Noel makes free throw 2 of 2,,63,66
3,11:45.0,,J. Randle misses 2-pt jump shot from 21 ft,63,66
3,11:41.0,Defensive rebound by R. Westbrook,,63,66
3,11:30.0,N. Noel misses 2-pt layup from 7 ft (block by K. Williams),,63,66
3,11:30.0,,Defensive rebound by K. Williams,63,66
3,11:20.0,,Shooting foul by R. Westbrook (drawn by J. Randle),63,66
3,11:20.0,,J. Randle makes free throw 1 of 2,63,67
3,11:20.0,,J. Randle makes free throw 2 of 2,63,68
3,11:06.0,N. Noel makes 2-pt dunk from 2 ft (assist by R. Westbrook),,65,68
3,10:54.0,,J. Randle makes 2-pt dunk at rim (assist by K. Williams),65,70
3,10:38.0,Turnover by P. George (lost ball; steal by J. Holiday),,65,70
3,10:30.0,,J. Holiday makes 2-pt layup from 2 ft (assist by J. Okafor),65,72
3,10:10.0,T. Ferguson misses 3-pt jump shot from 23 ft,,65,72
3,10:08.0,Offensive rebound by T. Ferguson,,65,72
3,10:03.0,N. Noel makes 2-pt dunk from 1 ft (assist by P. George),,67,72
3,9:53.0,,Shooting foul by N. Noel (drawn by J. Holiday),67,72
3,9:53.0,,J. Holiday makes free throw 1 of 2,67,73
3,9:53.0,P. Patterson enters the game for N. Noel,,67,73
3,9:53.0,,J. Holiday makes free throw 2 of 2,67,74
3,9:41.0,R. Westbrook misses 2-pt jump shot from 16 ft,,67,74
3,9:38.0,Offensive rebound by R. Westbrook,,67,74
3,9:36.0,R. Westbrook misses 2-pt jump shot from 4 ft,,67,74
3,9:36.0,Offensive rebound by R. Westbrook,,67,74
3,9:30.0,R. Westbrook makes 2-pt layup from 1 ft,,69,74
3,9:21.0,,J. Holiday makes 3-pt jump shot from 25 ft,69,77
3,8:56.0,P. George misses 3-pt jump shot from 26 ft,,69,77
3,8:53.0,,Defensive rebound by D. Miller,69,77
3,8:41.0,,J. Holiday misses 3-pt jump shot from 25 ft,69,77
3,8:37.0,Defensive rebound by P. Patterson,,69,77
3,8:25.0,T. Ferguson misses 2-pt jump shot from 20 ft,,69,77
3,8:22.0,,Defensive rebound by K. Williams,69,77
3,8:11.0,,J. Holiday makes 2-pt layup from 2 ft (assist by J. Randle),69,79
3,8:11.0,Oklahoma City full timeout,,69,79
3,8:01.0,P. George misses 2-pt jump shot from 18 ft,,69,79
3,7:57.0,,Defensive rebound by J. Okafor,69,79
3,7:46.0,,K. Williams misses 3-pt jump shot from 27 ft,69,79
3,7:42.0,Defensive rebound by P. Patterson,,69,79
3,7:34.0,P. Patterson misses 2-pt jump shot from 8 ft,,69,79
3,7:31.0,Offensive rebound by P. Patterson,,69,79
3,7:29.0,P. Patterson makes 2-pt layup from 3 ft,,71,79
3,7:08.0,,J. Okafor makes 2-pt hook shot from 3 ft (assist by J. Holiday),71,81
3,7:08.0,,Shooting foul by T. Ferguson (drawn by J. Okafor),71,81
3,7:08.0,,J. Okafor makes free throw 1 of 1,71,82
3,6:57.0,P. Patterson misses 3-pt jump shot from 23 ft,,71,82
3,6:53.0,,Defensive rebound by J. Okafor,71,82
3,6:49.0,,Personal foul by T. Ferguson (drawn by J. Okafor),71,82
3,6:35.0,,J. Randle misses 2-pt jump shot from 6 ft,71,82
3,6:35.0,,Offensive rebound by J. Okafor,71,82
3,6:35.0,,Personal foul by P. George (drawn by J. Okafor),71,82
3,6:35.0,,J. Okafor makes free throw 1 of 2,71,83
3,6:35.0,,J. Okafor misses free throw 2 of 2,71,83
3,6:32.0,,Offensive rebound by J. Okafor,71,83
3,6:22.0,,J. Randle makes 2-pt layup from 1 ft (assist by K. Williams),71,85
3,6:05.0,P. Patterson makes 2-pt layup from 2 ft (assist by R. Westbrook),,73,85
3,6:05.0,Shooting foul by J. Okafor (drawn by P. Patterson),,73,85
3,6:05.0,,C. Diallo enters the game for J. Okafor,73,85
3,6:05.0,P. Patterson makes free throw 1 of 1,,74,85
3,5:48.0,,C. Diallo makes 2-pt layup from 2 ft (assist by J. Randle),74,87
3,5:33.0,R. Westbrook misses 3-pt jump shot from 26 ft,,74,87
3,5:33.0,,Defensive rebound by J. Randle,74,87
3,5:13.0,,K. Williams makes 2-pt jump shot from 8 ft,74,89
3,5:03.0,P. Patterson misses 2-pt jump shot from 15 ft,,74,89
3,5:01.0,,Defensive rebound by J. Randle,74,89
3,4:58.0,,Personal foul by R. Westbrook (drawn by J. Randle),74,89
3,4:58.0,,J. Randle makes free throw 1 of 2,74,90
3,4:58.0,D. Burton enters the game for P. George,,74,90
3,4:58.0,A. Nader enters the game for P. Patterson,,74,90
3,4:58.0,,J. Randle makes free throw 2 of 2,74,91
3,4:43.0,S. Adams misses 2-pt hook shot from 9 ft,,74,91
3,4:41.0,,Defensive rebound by K. Williams,74,91
3,4:41.0,,E. Moore enters the game for J. Holiday,74,91
3,4:27.0,,J. Randle misses 3-pt jump shot from 26 ft,74,91
3,4:24.0,,Offensive rebound by K. Williams,74,91
3,4:17.0,,C. Diallo misses 2-pt layup from 12 ft (block by T. Ferguson),74,91
3,4:15.0,Defensive rebound by R. Westbrook,,74,91
3,4:13.0,A. Nader makes 2-pt layup from 2 ft (assist by R. Westbrook),,76,91
3,4:13.0,Shooting foul by D. Miller (drawn by A. Nader),,76,91
3,4:13.0,,J. Okafor enters the game for J. Randle,76,91
3,4:13.0,A. Nader misses free throw 1 of 1,,76,91
3,4:10.0,,Defensive rebound by C. Diallo,76,91
3,3:57.0,,Turnover by J. Okafor (out of bounds lost ball),76,91
3,3:47.0,Personal foul by D. Miller (drawn by T. Ferguson),,76,91
3,3:47.0,,F. Jackson enters the game for D. Miller,76,91
3,3:43.0,Def 3 sec tech foul by Team,,76,91
3,3:43.0,R. Westbrook makes technical free throw,,77,91
3,3:34.0,R. Westbrook makes 2-pt jump shot from 11 ft,,79,91
3,3:22.0,,C. Diallo makes 2-pt layup from 2 ft (assist by E. Moore),79,93
3,3:15.0,R. Westbrook makes 2-pt layup from 2 ft,,81,93
3,2:59.0,,E. Moore makes 3-pt jump shot from 25 ft (assist by F. Jackson),81,96
3,2:52.0,Turnover by R. Westbrook (bad pass),,81,96
3,2:52.0,,New Orleans full timeout,81,96
3,2:52.0,R. Felton enters the game for T. Ferguson,,81,96
3,2:52.0,P. George enters the game for A. Nader,,81,96
3,2:32.0,,E. Moore misses 2-pt jump shot from 13 ft,81,96
3,2:28.0,Defensive rebound by R. Felton,,81,96
3,2:24.0,R. Westbrook makes 2-pt layup from 2 ft (assist by R. Felton),,83,96
3,2:10.0,,Turnover by K. Williams (bad pass; steal by P. George),83,96
3,2:07.0,P. George makes 2-pt layup from 2 ft,,85,96
3,2:07.0,,New Orleans full timeout,85,96
3,2:07.0,N. Noel enters the game for S. Adams,,85,96
3,2:07.0,,J. Holiday enters the game for F. Jackson,85,96
3,2:07.0,,D. Miller enters the game for J. Okafor,85,96
3,2:07.0,,J. Randle enters the game for K. Williams,85,96
3,1:48.0,,J. Holiday misses 2-pt layup from 2 ft,85,96
3,1:48.0,,Offensive rebound by Team,85,96
3,1:43.0,,Turnover by J. Randle (bad pass),85,96
3,1:36.0,Personal foul by D. Miller (drawn by N. Noel),,85,96
3,1:22.0,P. George misses 3-pt jump shot from 26 ft (block by J. Holiday),,85,96
3,1:17.0,,Defensive rebound by C. Diallo,85,96
3,1:15.0,,J. Holiday misses 2-pt layup from 1 ft,85,96
3,1:15.0,Defensive rebound by D. Burton,,85,96
3,1:09.0,Turnover by D. Burton (bad pass),,85,96
3,0:57.0,,J. Holiday makes 2-pt layup from 2 ft,85,98
3,0:57.0,,Shooting foul by D. Burton (drawn by J. Holiday),85,98
3,0:57.0,,J. Holiday makes free throw 1 of 1,85,99
3,0:45.0,R. Westbrook makes 2-pt layup from 1 ft,,87,99
3,0:36.0,,Turnover by J. Randle (lost ball; steal by N. Noel),87,99
3,0:32.0,P. George misses 3-pt jump shot from 26 ft,,87,99
3,0:29.0,Offensive rebound by N. Noel,,87,99
3,0:28.0,R. Westbrook misses 3-pt jump shot from 25 ft,,87,99
3,0:24.0,,Defensive rebound by E. Moore,87,99
3,0:19.0,,E. Moore makes 2-pt jump shot from 3 ft,87,101
3,0:01.0,N. Noel makes 2-pt jump shot from 15 ft (assist by R. Westbrook),,89,101
4,11:45.0,Shooting foul by J. Randle (drawn by P. George),,89,101
4,11:45.0,P. George makes free throw 1 of 2,,90,101
4,11:45.0,P. George makes free throw 2 of 2,,91,101
4,11:29.0,,D. Miller makes 3-pt jump shot from 24 ft (assist by J. Randle),91,104
4,11:12.0,R. Felton makes 2-pt jump shot from 6 ft,,93,104
4,10:59.0,,Shooting foul by D. Burton (drawn by J. Randle),93,104
4,10:59.0,,J. Randle makes free throw 1 of 2,93,105
4,10:59.0,,J. Randle misses free throw 2 of 2,93,105
4,10:56.0,Defensive rebound by P. George,,93,105
4,10:47.0,P. George misses 2-pt layup from 1 ft,,93,105
4,10:44.0,,Defensive rebound by C. Diallo,93,105
4,10:35.0,,Turnover by J. Randle (out of bounds lost ball),93,105
4,10:22.0,N. Noel makes 2-pt dunk from 1 ft (assist by R. Felton),,95,105
4,10:12.0,,Turnover by J. Holiday (out of bounds lost ball),95,105
4,10:04.0,P. George misses 3-pt jump shot from 26 ft,,95,105
4,10:00.0,,Defensive rebound by J. Randle,95,105
4,9:42.0,,C. Diallo makes 2-pt layup from 3 ft (assist by J. Randle),95,107
4,9:29.0,N. Noel makes 2-pt jump shot from 16 ft (assist by P. George),,97,107
4,9:14.0,,E. Moore makes 3-pt jump shot from 24 ft,97,110
4,9:01.0,Personal foul by E. Moore (drawn by R. Felton),,97,110
4,9:01.0,T. Ferguson enters the game for D. Burton,,97,110
4,9:01.0,R. Westbrook enters the game for A. Nader,,97,110
4,9:01.0,,K. Williams enters the game for J. Randle,97,110
4,8:52.0,N. Noel makes 2-pt jump shot from 11 ft (assist by R. Westbrook),,99,110
4,8:35.0,,Turnover by C. Diallo (lost ball; steal by N. Noel),99,110
4,8:25.0,R. Westbrook makes 3-pt jump shot from 24 ft (assist by R. Felton),,102,110
4,8:24.0,,New Orleans full timeout,102,110
4,8:24.0,,J. Okafor enters the game for C. Diallo,102,110
4,8:24.0,,J. Randle enters the game for E. Moore,102,110
4,8:13.0,,Personal foul by N. Noel (drawn by J. Okafor),102,110
4,8:04.0,,J. Holiday makes 3-pt jump shot from 25 ft,102,113
4,7:34.0,P. George misses 3-pt jump shot from 27 ft,,102,113
4,7:30.0,Offensive rebound by N. Noel,,102,113
4,7:27.0,P. George makes 2-pt layup from 4 ft (assist by N. Noel),,104,113
4,7:17.0,,Personal foul by N. Noel (drawn by J. Okafor),104,113
4,7:17.0,S. Adams enters the game for N. Noel,,104,113
4,7:11.0,,D. Miller misses 3-pt jump shot from 24 ft,104,113
4,7:07.0,,Offensive rebound by D. Miller,104,113
4,6:57.0,,J. Randle makes 2-pt jump shot from 13 ft (assist by J. Okafor),104,115
4,6:40.0,R. Westbrook misses 3-pt jump shot from 25 ft,,104,115
4,6:37.0,,Defensive rebound by J. Randle,104,115
4,6:30.0,,J. Holiday misses 3-pt jump shot from 27 ft,104,115
4,6:26.0,Defensive rebound by P. George,,104,115
4,6:20.0,R. Westbrook makes 2-pt dunk from 1 ft (assist by P. George),,106,115
4,5:55.0,,J. Holiday makes 2-pt layup from 2 ft,106,117
4,5:46.0,R. Felton makes 3-pt jump shot from 27 ft (assist by R. Westbrook),,109,117
4,5:30.0,,J. Holiday misses 2-pt layup from 1 ft,109,117
4,5:30.0,Defensive rebound by R. Westbrook,,109,117
4,5:30.0,Personal foul by J. Randle (drawn by T. Ferguson),,109,117
4,5:21.0,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),,111,117
4,5:06.0,,J. Randle misses 2-pt jump shot from 10 ft,111,117
4,5:02.0,Defensive rebound by T. Ferguson,,111,117
4,5:00.0,R. Westbrook makes 2-pt layup from 2 ft (assist by T. Ferguson),,113,117
4,4:42.0,,J. Holiday misses 2-pt layup from 4 ft (block by R. Westbrook),113,117
4,4:42.0,Defensive rebound by P. George,,113,117
4,4:34.0,R. Felton misses 3-pt jump shot from 23 ft,,113,117
4,4:30.0,,Defensive rebound by D. Miller,113,117
4,4:26.0,,Personal foul by P. George (drawn by J. Holiday),113,117
