QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PORTLAND_ACTION,MEMPHIS_SCORE,PORTLAND_SCORE
3,9:16.0,,Personal foul by J. Jackson (drawn by D. Lillard),58,50
3,9:16.0,J. Green enters the game for J. Jackson,,58,50
3,9:04.0,,M. Harkless makes 3-pt jump shot from 25 ft (assist by D. Lillard),58,53
3,8:46.0,M. Gasol misses 3-pt jump shot from 25 ft,,58,53
3,8:45.0,,Defensive rebound by C. McCollum,58,53
3,8:35.0,,D. Lillard makes 3-pt jump shot from 24 ft (assist by C. McCollum),58,56
3,8:33.0,Memphis full timeout,,58,56
3,8:16.0,K. Anderson makes 2-pt layup from 1 ft (assist by M. Conley),,60,56
3,7:48.0,,D. Lillard makes 3-pt jump shot from 24 ft,60,59
3,7:31.0,Shooting foul by D. Lillard (drawn by M. Conley),,60,59
3,7:31.0,M. Conley makes free throw 1 of 2,,61,59
3,7:31.0,M. Conley makes free throw 2 of 2,,62,59
3,7:19.0,,D. Lillard makes 3-pt jump shot from 25 ft (assist by J. Nurkić),62,62
3,6:59.0,K. Anderson makes 2-pt jump shot from 12 ft,,64,62
3,6:38.0,,Personal foul by K. Anderson (drawn by J. Nurkić),64,62
3,6:32.0,,C. McCollum misses 3-pt jump shot from 24 ft,64,62
3,6:27.0,,Offensive rebound by M. Harkless,64,62
3,6:27.0,,M. Harkless makes 2-pt dunk at rim,64,64
3,6:11.0,Turnover by J. Green (bad pass; steal by J. Nurkić),,64,64
3,6:08.0,,Shooting foul by J. Green (drawn by A. Aminu),64,64
3,6:08.0,,A. Aminu makes free throw 1 of 2,64,65
3,6:08.0,S. Mack enters the game for M. Conley,,64,65
3,6:08.0,,A. Aminu makes free throw 2 of 2,64,66
3,5:50.0,Turnover by K. Anderson (bad pass; steal by J. Nurkić),,64,66
3,5:46.0,,Turnover by J. Nurkić (bad pass; steal by K. Anderson),64,66
3,5:38.0,J. Green misses 3-pt jump shot from 24 ft,,64,66
3,5:37.0,,Defensive rebound by Team,64,66
3,5:16.0,,C. McCollum misses 2-pt layup from 2 ft (block by K. Anderson),64,66
3,5:13.0,Defensive rebound by M. Gasol,,64,66
3,4:57.0,G. Temple makes 2-pt jump shot from 10 ft,,66,66
3,4:46.0,,D. Lillard makes 2-pt layup from 1 ft,66,68
3,4:46.0,,Shooting foul by G. Temple (drawn by D. Lillard),66,68
3,4:46.0,,Z. Collins enters the game for A. Aminu,66,68
3,4:46.0,,M. Leonard enters the game for M. Harkless,66,68
3,4:46.0,,E. Turner enters the game for J. Nurkić,66,68
3,4:46.0,,D. Lillard makes free throw 1 of 1,66,69
3,4:23.0,M. Gasol misses 2-pt jump shot from 15 ft,,66,69
3,4:21.0,,Defensive rebound by E. Turner,66,69
3,4:10.0,,C. McCollum misses 2-pt jump shot from 2 ft (block by J. Green),66,69
3,4:07.0,,Offensive rebound by E. Turner,66,69
3,4:06.0,,D. Lillard misses 3-pt jump shot from 25 ft,66,69
3,4:03.0,,Offensive rebound by Z. Collins,66,69
3,3:59.0,,C. McCollum makes 2-pt layup at rim (assist by D. Lillard),66,71
3,3:35.0,Shooting foul by C. McCollum (drawn by G. Temple),,66,71
3,3:35.0,G. Temple makes free throw 1 of 2,,67,71
3,3:35.0,M. Conley enters the game for K. Anderson,,67,71
3,3:35.0,I. Rabb enters the game for M. Gasol,,67,71
3,3:35.0,,S. Curry enters the game for C. McCollum,67,71
3,3:35.0,G. Temple misses free throw 2 of 2,,67,71
3,3:32.0,,Defensive rebound by E. Turner,67,71
3,3:12.0,,Offensive foul by Z. Collins (drawn by G. Temple),67,71
3,3:12.0,,Turnover by Z. Collins (offensive foul),67,71
3,2:55.0,Turnover by M. Conley (lost ball; steal by D. Lillard),,67,71
3,2:52.0,,D. Lillard misses 2-pt layup from 2 ft (block by M. Conley),67,71
3,2:52.0,,Offensive rebound by Team,67,71
3,2:52.0,,Portland full timeout,67,71
3,2:46.0,,Turnover by M. Leonard (lost ball; steal by G. Temple),67,71
3,2:30.0,M. Conley misses 2-pt jump shot from 20 ft,,67,71
3,2:27.0,,Defensive rebound by M. Leonard,67,71
3,2:17.0,,D. Lillard misses 2-pt layup from 1 ft,67,71
3,2:15.0,Defensive rebound by J. Green,,67,71
3,2:08.0,S. Mack misses 2-pt layup from 1 ft,,67,71
3,2:06.0,,Defensive rebound by Z. Collins,67,71
3,1:56.0,,M. Leonard makes 3-pt jump shot from 24 ft (assist by S. Curry),67,74
3,1:32.0,I. Rabb makes 2-pt jump shot from 20 ft (assist by M. Conley),,69,74
3,1:09.0,,Offensive foul by E. Turner (drawn by G. Temple),69,74
3,1:09.0,,Turnover by E. Turner (offensive foul),69,74
3,1:09.0,K. Anderson enters the game for G. Temple,,69,74
3,1:09.0,,N. Stauskas enters the game for D. Lillard,69,74
3,0:54.0,Shooting foul by S. Curry (drawn by S. Mack),,69,74
3,0:54.0,S. Mack makes free throw 1 of 2,,70,74
3,0:54.0,S. Mack makes free throw 2 of 2,,71,74
3,0:34.0,,E. Turner misses 3-pt jump shot from 25 ft,71,74
3,0:31.0,,Offensive rebound by Team,71,74
3,0:22.0,,Z. Collins misses 2-pt jump shot from 3 ft (block by J. Green),71,74
3,0:20.0,Defensive rebound by I. Rabb,,71,74
3,0:01.0,S. Mack misses 2-pt jump shot from 17 ft (block by M. Leonard),,71,74
3,0:01.0,Offensive rebound by M. Conley,,71,74
4,11:43.0,,Shooting foul by J. Green (drawn by M. Leonard),71,74
4,11:43.0,,M. Leonard makes free throw 1 of 2,71,75
4,11:43.0,,M. Leonard makes free throw 2 of 2,71,76
4,11:24.0,M. Conley misses 2-pt jump shot from 21 ft,,71,76
4,11:22.0,,Defensive rebound by N. Stauskas,71,76
4,11:02.0,,Z. Collins misses 2-pt jump shot from 19 ft,71,76
4,11:00.0,,Offensive rebound by E. Turner,71,76
4,10:58.0,,E. Turner makes 2-pt jump shot from 16 ft,71,78
4,10:40.0,Turnover by S. Mack (bad pass; steal by N. Stauskas),,71,78
4,10:38.0,,Shooting foul by S. Mack (drawn by N. Stauskas),71,78
4,10:38.0,,N. Stauskas makes free throw 1 of 2,71,79
4,10:38.0,M. Gasol enters the game for J. Green,,71,79
4,10:38.0,J. Jackson enters the game for I. Rabb,,71,79
4,10:38.0,,N. Stauskas makes free throw 2 of 2,71,80
4,10:16.0,M. Conley misses 3-pt jump shot from 25 ft,,71,80
4,10:12.0,,Defensive rebound by Z. Collins,71,80
4,10:02.0,,Z. Collins makes 2-pt layup from 1 ft (assist by E. Turner),71,82
4,10:02.0,Memphis full timeout,,71,82
4,10:02.0,G. Temple enters the game for S. Mack,,71,82
4,9:45.0,M. Gasol misses 2-pt jump shot from 10 ft,,71,82
4,9:41.0,Offensive rebound by M. Gasol,,71,82
4,9:41.0,M. Gasol misses 2-pt layup from 1 ft,,71,82
4,9:40.0,,Defensive rebound by Z. Collins,71,82
4,9:35.0,,N. Stauskas misses 3-pt jump shot from 24 ft,71,82
4,9:32.0,Defensive rebound by J. Jackson,,71,82
4,9:22.0,Personal foul by M. Leonard (drawn by M. Conley),,71,82
4,9:16.0,M. Conley misses 2-pt jump shot from 2 ft,,71,82
4,9:15.0,,Defensive rebound by Z. Collins,71,82
4,9:05.0,,S. Curry makes 3-pt jump shot from 26 ft,71,85
4,8:47.0,G. Temple misses 2-pt jump shot from 16 ft,,71,85
4,8:45.0,,Defensive rebound by E. Turner,71,85
4,8:30.0,,Turnover by S. Curry (bad pass; steal by M. Gasol),71,85
4,8:25.0,Personal take foul by S. Curry (drawn by M. Gasol),,71,85
4,8:25.0,S. Mack enters the game for M. Conley,,71,85
4,8:19.0,M. Gasol misses 3-pt jump shot from 25 ft,,71,85
4,8:15.0,,Defensive rebound by N. Stauskas,71,85
4,8:10.0,,Personal foul by G. Temple (drawn by Z. Collins),71,85
4,8:06.0,,Personal foul by G. Temple (drawn by N. Stauskas),71,85
4,8:06.0,J. Carter enters the game for G. Temple,,71,85
4,7:56.0,,N. Stauskas misses 3-pt jump shot from 24 ft,71,85
4,7:54.0,,Offensive rebound by M. Leonard,71,85
4,7:48.0,,E. Turner misses 2-pt layup from 3 ft (block by J. Jackson),71,85
4,7:46.0,Defensive rebound by M. Gasol,,71,85
4,7:37.0,J. Jackson makes 2-pt dunk at rim (assist by K. Anderson),,73,85
4,7:18.0,,M. Leonard makes 2-pt dunk from 1 ft (assist by E. Turner),73,87
4,6:55.0,M. Gasol makes 2-pt jump shot from 20 ft (assist by S. Mack),,75,87
4,6:32.0,,S. Curry makes 2-pt jump shot from 19 ft,75,89
4,6:17.0,J. Jackson misses 3-pt jump shot from 24 ft,,75,89
4,6:16.0,,Defensive rebound by M. Leonard,75,89
4,6:11.0,,Portland full timeout,75,89
4,6:11.0,M. Conley enters the game for S. Mack,,75,89
4,5:57.0,,N. Stauskas makes 2-pt dunk at rim (assist by E. Turner),75,91
4,5:28.0,M. Conley misses 2-pt jump shot from 7 ft,,75,91
4,5:26.0,,Defensive rebound by M. Leonard,75,91
4,5:09.0,,M. Leonard misses 3-pt jump shot from 27 ft,75,91
4,5:07.0,Defensive rebound by M. Conley,,75,91
4,5:02.0,M. Gasol makes 2-pt hook shot from 3 ft (assist by M. Conley),,77,91
4,5:02.0,Shooting foul by M. Leonard (drawn by M. Gasol),,77,91
4,5:02.0,M. Gasol makes free throw 1 of 1,,78,91
4,4:54.0,,Offensive foul by M. Leonard (drawn by M. Gasol),78,91
4,4:54.0,,Turnover by M. Leonard (offensive foul),78,91
4,4:54.0,,D. Lillard enters the game for S. Curry,78,91
4,4:54.0,,C. McCollum enters the game for N. Stauskas,78,91
4,4:35.0,M. Gasol misses 3-pt jump shot from 25 ft,,78,91
4,4:33.0,Offensive rebound by J. Jackson,,78,91
4,4:30.0,Shooting foul by E. Turner (drawn by M. Gasol),,78,91
4,4:30.0,M. Gasol makes free throw 1 of 2,,79,91
4,4:30.0,M. Gasol makes free throw 2 of 2,,80,91
4,4:13.0,,Personal foul by J. Carter (drawn by C. McCollum),80,91
4,4:13.0,,C. McCollum makes free throw 1 of 2,80,92
4,4:13.0,,C. McCollum misses free throw 2 of 2,80,92
4,4:11.0,Defensive rebound by K. Anderson,,80,92
4,4:00.0,J. Jackson makes 3-pt jump shot from 24 ft (assist by M. Conley),,83,92
4,3:44.0,,D. Lillard makes 2-pt jump shot from 5 ft (assist by Z. Collins),83,94
4,3:30.0,J. Jackson misses 2-pt layup from 3 ft (block by Z. Collins),,83,94
4,3:27.0,,Defensive rebound by D. Lillard,83,94
4,3:18.0,,D. Lillard makes 3-pt jump shot from 26 ft,83,97
4,2:59.0,M. Conley misses 2-pt layup from 3 ft,,83,97
4,2:57.0,,Defensive rebound by C. McCollum,83,97
4,2:36.0,,Turnover by E. Turner (bad pass; steal by K. Anderson),83,97
4,2:32.0,K. Anderson makes 2-pt layup from 2 ft,,85,97
4,2:09.0,,C. McCollum makes 2-pt jump shot from 18 ft,85,99
4,1:55.0,J. Jackson makes 2-pt layup from 2 ft (assist by J. Carter),,87,99
4,1:38.0,,D. Lillard misses 3-pt jump shot from 25 ft,87,99
4,1:34.0,Defensive rebound by M. Gasol,,87,99
4,1:20.0,M. Gasol makes 3-pt jump shot from 25 ft (assist by K. Anderson),,90,99
4,1:00.0,,C. McCollum misses 2-pt jump shot from 10 ft (block by J. Jackson),90,99
4,0:57.0,,Offensive rebound by C. McCollum,90,99
4,0:56.0,,C. McCollum misses 2-pt jump shot from 14 ft,90,99
4,0:54.0,Defensive rebound by M. Gasol,,90,99
4,0:49.0,K. Anderson misses 3-pt jump shot from 25 ft,,90,99
4,0:47.0,Offensive rebound by J. Jackson,,90,99
