QUARTER,TIME_REMAINING,DETROIT_ACTION,MIAMI_ACTION,DETROIT_SCORE,MIAMI_SCORE
2,5:25.0,Shooting foul by J. Richardson (drawn by L. Kennard),,37,39
2,5:25.0,L. Kennard makes free throw 1 of 3,,38,39
2,5:25.0,L. Kennard misses free throw 2 of 3,,38,39
2,5:25.0,Offensive rebound by Team,,38,39
2,5:25.0,A. Drummond enters the game for Z. Pachulia,,38,39
2,5:25.0,L. Kennard makes free throw 3 of 3,,39,39
2,5:04.0,,R. McGruder misses 2-pt dunk from 2 ft (block by A. Drummond),39,39
2,5:02.0,Defensive rebound by L. Kennard,,39,39
2,5:01.0,Clear path foul by K. Olynyk,,39,39
2,5:01.0,B. Griffin makes clear path free throw 1 of 2,,40,39
2,5:01.0,B. Griffin misses clear path free throw 2 of 2,,40,39
2,5:01.0,Offensive rebound by Team,,40,39
2,5:01.0,,D. Jones enters the game for K. Olynyk,40,39
2,4:50.0,B. Griffin misses 2-pt layup from 3 ft (block by D. Jones),,40,39
2,4:48.0,,Defensive rebound by J. Richardson,40,39
2,4:44.0,,Offensive rebound by H. Whiteside,40,39
2,4:44.0,,J. Richardson misses 2-pt layup from 2 ft (block by A. Drummond),40,39
2,4:42.0,,H. Whiteside makes 2-pt dunk from 2 ft,40,41
2,4:33.0,A. Drummond makes 2-pt dunk from 3 ft (assist by B. Griffin),,42,41
2,4:05.0,,D. Waiters misses 2-pt jump shot from 17 ft,42,41
2,4:05.0,,Offensive rebound by H. Whiteside,42,41
2,4:02.0,,H. Whiteside misses 2-pt jump shot from 8 ft,42,41
2,4:00.0,,Offensive rebound by D. Jones,42,41
2,3:54.0,,D. Jones makes 2-pt layup from 1 ft,42,43
2,3:37.0,W. Ellington makes 3-pt jump shot from 25 ft,,45,43
2,3:30.0,,J. Richardson makes 2-pt jump shot from 14 ft,45,45
2,3:18.0,L. Kennard makes 3-pt jump shot from 26 ft (assist by R. Jackson),,48,45
2,3:16.0,,Miami full timeout,48,45
2,3:16.0,,D. Wade enters the game for J. Richardson,48,45
2,2:54.0,,R. McGruder misses 3-pt jump shot from 25 ft,48,45
2,2:53.0,Defensive rebound by Team,,48,45
2,2:31.0,R. Jackson misses 3-pt jump shot from 26 ft,,48,45
2,2:28.0,,Defensive rebound by H. Whiteside,48,45
2,2:17.0,,D. Wade misses 2-pt jump shot from 5 ft,48,45
2,2:15.0,Defensive rebound by A. Drummond,,48,45
2,2:03.0,A. Drummond makes 2-pt dunk from 1 ft (assist by R. Jackson),,50,45
2,1:39.0,,Shooting foul by R. Jackson (drawn by D. Waiters),50,45
2,1:39.0,,Offensive rebound by Team,50,45
2,1:39.0,,D. Waiters misses free throw 1 of 2,50,45
2,1:39.0,,J. Richardson enters the game for R. McGruder,50,45
2,1:39.0,,D. Waiters makes free throw 2 of 2,50,46
2,1:25.0,R. Jackson misses 2-pt jump shot from 7 ft (block by D. Wade),,50,46
2,1:25.0,Offensive rebound by Team,,50,46
2,1:18.0,W. Ellington misses 3-pt jump shot from 25 ft,,50,46
2,1:18.0,,Defensive rebound by Team,50,46
2,1:03.0,,H. Whiteside misses 3-pt jump shot from 23 ft,50,46
2,1:00.0,Defensive rebound by A. Drummond,,50,46
2,0:58.0,Shooting foul by D. Jones (drawn by R. Jackson),,50,46
2,0:58.0,R. Jackson makes free throw 1 of 2,,51,46
2,0:58.0,R. Jackson makes free throw 2 of 2,,52,46
2,0:45.0,,D. Wade misses 2-pt jump shot from 6 ft,52,46
2,0:40.0,,D. Wade misses 2-pt layup at rim,52,46
2,0:40.0,,Offensive rebound by D. Wade,52,46
2,0:37.0,Defensive rebound by B. Griffin,,52,46
2,0:34.0,R. Jackson makes 2-pt layup from 5 ft,,54,46
2,0:13.0,,J. Richardson misses 2-pt jump shot from 17 ft,54,46
2,0:09.0,Defensive rebound by W. Ellington,,54,46
2,0:00.0,B. Griffin misses 3-pt jump shot from 27 ft,,54,46
2,0:00.0,Offensive rebound by Team,,54,46
3,11:39.0,,K. Olynyk misses 3-pt jump shot from 26 ft,54,46
3,11:37.0,Defensive rebound by W. Ellington,,54,46
3,11:23.0,B. Brown misses 2-pt layup from 1 ft,,54,46
3,11:21.0,Offensive rebound by A. Drummond,,54,46
3,11:18.0,Shooting foul by K. Olynyk (drawn by A. Drummond),,54,46
3,11:18.0,A. Drummond makes free throw 1 of 2,,55,46
3,11:18.0,A. Drummond makes free throw 2 of 2,,56,46
3,11:00.0,,D. Robinson makes 3-pt jump shot from 25 ft (assist by D. Waiters),56,49
3,10:43.0,Turnover by A. Drummond (bad pass),,56,49
3,10:28.0,,D. Robinson misses 3-pt jump shot from 25 ft,56,49
3,10:23.0,Defensive rebound by A. Drummond,,56,49
