QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MINNESOTA_ACTION,SAN ANTONIO_SCORE,MINNESOTA_SCORE
1,2:18.0,,A. Wiggins misses 2-pt jump shot from 6 ft (block by D. DeRozan),14,22
1,2:12.0,Defensive rebound by D. Cunningham,,14,22
1,2:11.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by P. Mills),,17,22
1,2:01.0,,D. Rose makes 3-pt jump shot from 25 ft,17,25
1,1:37.0,D. DeRozan makes 2-pt layup from 1 ft (assist by L. Aldridge),,19,25
1,1:23.0,,K. Towns misses 3-pt jump shot from 25 ft,19,25
1,1:20.0,Defensive rebound by D. Cunningham,,19,25
1,1:10.0,P. Mills makes 3-pt jump shot from 25 ft (assist by M. Belinelli),,22,25
1,0:49.0,,D. Rose makes 3-pt jump shot from 27 ft (assist by K. Towns),22,28
1,0:30.0,Turnover by D. DeRozan (bad pass; steal by K. Towns),,22,28
1,0:07.0,,D. Šarić misses 2-pt jump shot from 14 ft,22,28
1,0:04.0,Defensive rebound by P. Mills,,22,28
1,0:02.0,P. Mills makes 2-pt jump shot from 7 ft,,24,28
1,0:02.0,Shooting foul by D. Šarić (drawn by P. Mills),,24,28
1,0:02.0,P. Mills makes free throw 1 of 1,,25,28
1,0:00.0,,T. Jones misses 3-pt jump shot from 25 ft,25,28
1,0:00.0,,Offensive rebound by Team,25,28
2,11:44.0,P. Mills misses 2-pt layup from 4 ft (block by G. Dieng),,25,28
2,11:41.0,,Defensive rebound by G. Dieng,25,28
2,11:34.0,,G. Dieng makes 2-pt jump shot from 17 ft (assist by T. Jones),25,30
2,11:11.0,J. Poeltl makes 2-pt layup from 1 ft (assist by R. Gay),,27,30
2,10:58.0,,D. Rose makes 2-pt layup from 1 ft (assist by T. Jones),27,32
2,10:41.0,Turnover by R. Gay (bad pass),,27,32
2,10:26.0,,D. Šarić makes 2-pt dunk from 1 ft (assist by D. Rose),27,34
2,10:14.0,M. Belinelli misses 2-pt jump shot from 18 ft,,27,34
2,10:09.0,,Defensive rebound by D. Šarić,27,34
2,10:04.0,,T. Jones makes 2-pt layup from 1 ft,27,36
2,9:41.0,M. Belinelli misses 3-pt jump shot from 25 ft,,27,36
2,9:39.0,,Defensive rebound by D. Šarić,27,36
2,9:32.0,,T. Jones misses 2-pt jump shot from 19 ft,27,36
2,9:29.0,,Offensive rebound by G. Dieng,27,36
2,9:29.0,,G. Dieng makes 2-pt layup from 1 ft,27,38
2,9:29.0,San Antonio full timeout,,27,38
2,9:29.0,D. Bertāns enters the game for D. Cunningham,,27,38
2,9:29.0,B. Forbes enters the game for P. Mills,,27,38
2,9:09.0,D. Bertāns misses 3-pt jump shot from 25 ft,,27,38
2,9:07.0,Offensive rebound by D. Bertāns,,27,38
2,9:07.0,Personal foul by R. Covington (drawn by D. Bertāns),,27,38
2,9:00.0,Turnover by B. Forbes (lost ball; steal by T. Jones),,27,38
2,8:57.0,,T. Jones makes 2-pt layup from 2 ft,27,40
2,8:57.0,Violation by Team (def goaltending),,27,40
2,8:43.0,B. Forbes misses 2-pt jump shot from 20 ft,,27,40
2,8:39.0,,Defensive rebound by G. Dieng,27,40
2,8:25.0,,D. Šarić misses 3-pt jump shot from 27 ft,27,40
2,8:23.0,Defensive rebound by R. Gay,,27,40
2,8:19.0,Personal foul by D. Rose (drawn by J. Poeltl),,27,40
2,8:13.0,Turnover by J. Poeltl (lost ball; steal by T. Jones),,27,40
2,8:05.0,,R. Covington misses 3-pt jump shot from 23 ft,27,40
2,8:01.0,Defensive rebound by R. Gay,,27,40
2,7:52.0,R. Gay misses 2-pt hook shot from 4 ft (block by G. Dieng),,27,40
2,7:52.0,,Defensive rebound by Team,27,40
2,7:52.0,Loose ball foul by R. Gay (drawn by R. Covington),,27,40
2,7:52.0,D. DeRozan enters the game for M. Belinelli,,27,40
2,7:43.0,,Offensive foul by G. Dieng (drawn by B. Forbes),27,40
2,7:43.0,,Turnover by G. Dieng (offensive foul),27,40
2,7:29.0,J. Poeltl misses 2-pt layup from 4 ft (block by R. Covington),,27,40
2,7:27.0,Offensive rebound by Team,,27,40
2,7:24.0,Offensive foul by J. Poeltl (drawn by G. Dieng),,27,40
2,7:24.0,Turnover by J. Poeltl (offensive foul),,27,40
2,7:14.0,,D. Rose makes 2-pt jump shot from 20 ft,27,42
2,7:02.0,D. DeRozan misses 2-pt jump shot from 13 ft,,27,42
2,7:00.0,,Defensive rebound by D. Šarić,27,42
2,6:49.0,,D. Rose misses 2-pt jump shot from 21 ft,27,42
2,6:45.0,Defensive rebound by J. Poeltl,,27,42
2,6:26.0,D. Bertāns misses 3-pt jump shot from 28 ft,,27,42
2,6:23.0,,Defensive rebound by R. Covington,27,42
2,6:14.0,,R. Covington makes 3-pt jump shot from 25 ft,27,45
2,5:58.0,D. DeRozan makes 2-pt jump shot from 16 ft,,29,45
2,5:40.0,,G. Dieng misses 2-pt layup from 2 ft,29,45
2,5:40.0,,Offensive rebound by D. Šarić,29,45
2,5:40.0,,D. Šarić makes 2-pt layup from 1 ft,29,47
2,5:40.0,,Shooting foul by B. Forbes (drawn by D. Šarić),29,47
2,5:40.0,L. Aldridge enters the game for J. Poeltl,,29,47
2,5:40.0,,A. Wiggins enters the game for D. Rose,29,47
2,5:40.0,,D. Šarić misses free throw 1 of 1,29,47
2,5:40.0,Defensive rebound by L. Aldridge,,29,47
2,5:17.0,R. Gay misses 3-pt jump shot from 25 ft,,29,47
2,5:14.0,,Defensive rebound by T. Jones,29,47
2,4:51.0,,A. Wiggins misses 3-pt jump shot from 25 ft,29,47
2,4:48.0,Defensive rebound by D. Bertāns,,29,47
2,4:33.0,B. Forbes misses 2-pt jump shot from 8 ft,,29,47
2,4:31.0,,Defensive rebound by D. Šarić,29,47
2,4:19.0,,T. Jones misses 2-pt jump shot from 10 ft,29,47
2,4:18.0,Defensive rebound by L. Aldridge,,29,47
2,4:08.0,B. Forbes misses 3-pt jump shot from 25 ft,,29,47
2,4:05.0,,Defensive rebound by R. Covington,29,47
2,4:02.0,,Shooting foul by D. Bertāns (drawn by R. Covington),29,47
2,4:02.0,,R. Covington misses free throw 1 of 2,29,47
2,4:02.0,,Offensive rebound by Team,29,47
2,4:02.0,M. Belinelli enters the game for D. Bertāns,,29,47
2,4:02.0,D. Cunningham enters the game for B. Forbes,,29,47
2,4:02.0,P. Mills enters the game for R. Gay,,29,47
2,4:02.0,,T. Gibson enters the game for G. Dieng,29,47
2,4:02.0,,J. Teague enters the game for T. Jones,29,47
2,4:02.0,,K. Towns enters the game for D. Šarić,29,47
2,4:02.0,,R. Covington makes free throw 2 of 2,29,48
2,3:40.0,L. Aldridge misses 2-pt jump shot from 20 ft,,29,48
2,3:37.0,,Defensive rebound by T. Gibson,29,48
2,3:29.0,,K. Towns misses 2-pt layup from 9 ft,29,48
2,3:27.0,,Offensive rebound by K. Towns,29,48
2,3:24.0,,K. Towns makes 2-pt layup from 1 ft,29,50
2,3:18.0,Personal foul by K. Towns (drawn by L. Aldridge),,29,50
2,3:12.0,P. Mills misses 2-pt jump shot from 20 ft,,29,50
2,3:09.0,,Defensive rebound by R. Covington,29,50
2,2:56.0,,T. Gibson misses 2-pt layup from 2 ft (block by D. DeRozan),29,50
2,2:54.0,Defensive rebound by D. DeRozan,,29,50
2,2:36.0,D. DeRozan misses 3-pt jump shot from 25 ft,,29,50
2,2:34.0,,Defensive rebound by Team,29,50
2,2:34.0,,Minnesota full timeout,29,50
2,2:22.0,,A. Wiggins misses 2-pt dunk from 1 ft (block by D. DeRozan),29,50
2,2:19.0,Defensive rebound by M. Belinelli,,29,50
2,2:07.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,32,50
2,1:52.0,,K. Towns makes 2-pt jump shot from 4 ft (assist by J. Teague),32,52
2,1:34.0,M. Belinelli misses 3-pt jump shot from 24 ft,,32,52
2,1:34.0,,Defensive rebound by T. Gibson,32,52
2,1:24.0,,Personal foul by M. Belinelli (drawn by T. Gibson),32,52
2,1:09.0,,A. Wiggins misses 3-pt jump shot from 26 ft,32,52
2,1:05.0,,Offensive rebound by K. Towns,32,52
2,1:02.0,,R. Covington misses 3-pt jump shot from 28 ft,32,52
2,1:02.0,,Offensive rebound by R. Covington,32,52
2,0:59.0,,R. Covington makes 2-pt layup at rim,32,54
2,0:44.0,M. Belinelli misses 2-pt layup from 6 ft,,32,54
2,0:43.0,Offensive rebound by L. Aldridge,,32,54
2,0:43.0,L. Aldridge makes 2-pt layup from 2 ft,,34,54
2,0:30.0,,R. Covington misses 3-pt jump shot from 25 ft,34,54
2,0:28.0,Defensive rebound by L. Aldridge,,34,54
2,0:19.0,M. Belinelli misses 3-pt jump shot from 24 ft,,34,54
2,0:19.0,Offensive rebound by D. Cunningham,,34,54
2,0:19.0,Turnover by D. Cunningham (bad pass; steal by A. Wiggins),,34,54
2,0:02.0,,A. Wiggins makes 3-pt jump shot from 26 ft,34,57
3,11:47.0,R. Gay misses 3-pt jump shot from 25 ft,,34,57
3,11:43.0,,Defensive rebound by K. Towns,34,57
3,11:31.0,,J. Teague makes 2-pt layup from 3 ft (assist by K. Towns),34,59
3,11:31.0,,Shooting foul by B. Forbes (drawn by J. Teague),34,59
3,11:31.0,,J. Teague makes free throw 1 of 1,34,60
3,11:15.0,L. Aldridge misses 2-pt hook shot from 4 ft,,34,60
3,11:13.0,,Defensive rebound by K. Towns,34,60
3,11:10.0,,R. Covington makes 3-pt jump shot from 27 ft (assist by J. Teague),34,63
3,10:57.0,Shooting foul by A. Wiggins (drawn by D. DeRozan),,34,63
3,10:57.0,D. DeRozan makes free throw 1 of 2,,35,63
3,10:57.0,D. DeRozan makes free throw 2 of 2,,36,63
3,10:47.0,,R. Covington misses 3-pt jump shot from 26 ft,36,63
3,10:45.0,Defensive rebound by R. Gay,,36,63
3,10:41.0,Turnover by B. Forbes (lost ball; steal by J. Teague),,36,63
3,10:38.0,,T. Gibson makes 2-pt dunk from 2 ft (assist by J. Teague),36,65
3,10:23.0,B. Forbes makes 3-pt jump shot from 24 ft (assist by D. White),,39,65
3,10:05.0,,T. Gibson makes 2-pt layup from 1 ft (assist by J. Teague),39,67
3,9:59.0,Offensive foul by D. White (drawn by J. Teague),,39,67
3,9:59.0,Turnover by D. White (offensive foul),,39,67
3,9:46.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by A. Wiggins),39,70
3,9:26.0,B. Forbes misses 3-pt jump shot from 25 ft,,39,70
3,9:24.0,,Defensive rebound by Team,39,70
3,9:13.0,,A. Wiggins misses 2-pt layup from 2 ft (block by R. Gay),39,70
3,9:11.0,,Offensive rebound by T. Gibson,39,70
3,9:09.0,,T. Gibson makes 2-pt layup from 2 ft,39,72
3,8:58.0,D. DeRozan misses 2-pt jump shot from 6 ft (block by K. Towns),,39,72
3,8:55.0,,Defensive rebound by K. Towns,39,72
3,8:53.0,,Turnover by K. Towns (bad pass),39,72
3,8:37.0,D. White makes 2-pt jump shot from 7 ft (assist by R. Gay),,41,72
3,8:19.0,,J. Teague misses 2-pt layup from 4 ft (block by R. Gay),41,72
3,8:18.0,,Offensive rebound by Team,41,72
3,8:16.0,,R. Covington makes 2-pt layup from 2 ft (assist by J. Teague),41,74
3,7:58.0,Turnover by L. Aldridge (lost ball; steal by A. Wiggins),,41,74
3,7:46.0,,Personal foul by R. Gay (drawn by T. Gibson),41,74
3,7:39.0,,Turnover by A. Wiggins (bad pass),41,74
3,7:31.0,L. Aldridge makes 2-pt jump shot from 12 ft (assist by R. Gay),,43,74
3,7:02.0,,J. Teague makes 2-pt jump shot from 22 ft,43,76
3,6:34.0,B. Forbes misses 3-pt jump shot from 25 ft,,43,76
3,6:30.0,,Defensive rebound by R. Covington,43,76
3,6:28.0,,Personal foul by D. DeRozan (drawn by K. Towns),43,76
3,6:28.0,,Minnesota full timeout,43,76
3,6:28.0,M. Belinelli enters the game for R. Gay,,43,76
3,6:28.0,D. Cunningham enters the game for D. White,,43,76
3,6:13.0,,K. Towns misses 2-pt layup from 2 ft,43,76
3,6:09.0,,Offensive rebound by K. Towns,43,76
3,6:09.0,,K. Towns makes 2-pt layup at rim,43,78
3,6:00.0,Turnover by L. Aldridge (lost ball; steal by J. Teague),,43,78
3,5:48.0,,T. Gibson misses 2-pt layup from 2 ft,43,78
3,5:46.0,Defensive rebound by L. Aldridge,,43,78
3,5:40.0,D. DeRozan misses 2-pt layup from 2 ft,,43,78
3,5:36.0,Offensive rebound by L. Aldridge,,43,78
3,5:36.0,L. Aldridge makes 2-pt layup from 1 ft,,45,78
3,5:20.0,,R. Covington misses 3-pt jump shot from 26 ft,45,78
3,5:18.0,Defensive rebound by L. Aldridge,,45,78
3,5:08.0,Personal foul by K. Towns (drawn by L. Aldridge),,45,78
3,5:08.0,P. Mills enters the game for L. Aldridge,,45,78
3,5:08.0,J. Poeltl enters the game for B. Forbes,,45,78
3,5:08.0,,D. Rose enters the game for R. Covington,45,78
3,4:57.0,J. Poeltl makes 2-pt layup from 1 ft (assist by D. DeRozan),,47,78
3,4:42.0,,Shooting foul by D. DeRozan (drawn by T. Gibson),47,78
3,4:42.0,,T. Gibson makes free throw 1 of 2,47,79
3,4:42.0,,T. Gibson misses free throw 2 of 2,47,79
3,4:40.0,,Offensive rebound by T. Gibson,47,79
3,4:25.0,,T. Gibson misses 2-pt layup from 12 ft (block by D. DeRozan),47,79
3,4:25.0,,Offensive rebound by Team,47,79
3,4:25.0,,Turnover by Team (shot clock),47,79
3,4:17.0,Turnover by D. DeRozan (lost ball; steal by J. Teague),,47,79
3,4:09.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by J. Teague),47,81
3,3:54.0,D. DeRozan makes 2-pt jump shot from 8 ft,,49,81
3,3:40.0,,D. Rose misses 3-pt jump shot from 25 ft,49,81
3,3:38.0,,Offensive rebound by Team,49,81
3,3:38.0,D. Bertāns enters the game for D. DeRozan,,49,81
3,3:29.0,,A. Wiggins misses 3-pt jump shot from 25 ft,49,81
3,3:26.0,,Offensive rebound by K. Towns,49,81
3,3:24.0,,K. Towns makes 3-pt jump shot from 23 ft,49,84
3,3:08.0,M. Belinelli misses 2-pt layup from 4 ft (block by J. Teague),,49,84
3,3:06.0,,Defensive rebound by D. Rose,49,84
3,3:00.0,,A. Wiggins misses 2-pt layup from 3 ft (block by J. Poeltl),49,84
3,2:58.0,Defensive rebound by D. Cunningham,,49,84
3,2:48.0,M. Belinelli misses 2-pt jump shot from 12 ft,,49,84
3,2:47.0,Offensive rebound by J. Poeltl,,49,84
3,2:46.0,J. Poeltl misses 2-pt layup from 1 ft,,49,84
3,2:46.0,Offensive rebound by J. Poeltl,,49,84
3,2:45.0,J. Poeltl makes 2-pt layup from 1 ft,,51,84
3,2:22.0,,A. Wiggins misses 2-pt jump shot from 20 ft,51,84
3,2:19.0,Defensive rebound by J. Poeltl,,51,84
3,2:13.0,P. Mills misses 3-pt jump shot from 25 ft,,51,84
3,2:10.0,,Defensive rebound by T. Gibson,51,84
3,1:55.0,San Antonio full timeout,,51,84
3,1:50.0,,D. Rose makes 3-pt jump shot from 24 ft (assist by T. Gibson),51,87
3,1:36.0,D. Bertāns misses 2-pt layup from 1 ft,,51,87
3,1:31.0,Offensive rebound by J. Poeltl,,51,87
3,1:31.0,J. Poeltl misses 2-pt layup from 1 ft,,51,87
3,1:27.0,Offensive rebound by J. Poeltl,,51,87
3,1:27.0,J. Poeltl makes 2-pt layup from 1 ft,,53,87
3,1:16.0,,D. Rose makes 3-pt jump shot from 25 ft (assist by J. Teague),53,90
3,1:08.0,Shooting foul by A. Wiggins (drawn by M. Belinelli),,53,90
3,1:08.0,M. Belinelli makes free throw 1 of 2,,54,90
3,1:08.0,,T. Jones enters the game for T. Gibson,54,90
3,1:08.0,,D. Šarić enters the game for J. Teague,54,90
3,1:08.0,M. Belinelli makes free throw 2 of 2,,55,90
3,0:57.0,,Offensive foul by K. Towns (drawn by M. Belinelli),55,90
3,0:57.0,,Turnover by K. Towns (offensive foul),55,90
3,0:48.0,D. Cunningham misses 2-pt layup from 3 ft,,55,90
3,0:46.0,Offensive rebound by D. Bertāns,,55,90
3,0:41.0,M. Belinelli makes 3-pt jump shot from 23 ft (assist by D. Bertāns),,58,90
3,0:26.0,,Shooting foul by J. Poeltl (drawn by K. Towns),58,90
3,0:26.0,,K. Towns makes free throw 1 of 2,58,91
3,0:26.0,,K. Towns makes free throw 2 of 2,58,92
3,0:02.0,Turnover by Team (shot clock),,58,92
3,0:01.0,,Turnover by K. Towns (bad pass),58,92
3,0:00.0,D. Bertāns misses 3-pt jump shot from 40 ft,,58,92
3,0:00.0,Offensive rebound by Team,,58,92
4,11:44.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by T. Jones),58,95
4,11:25.0,J. Poeltl misses 2-pt jump shot from 9 ft,,58,95
4,11:24.0,Offensive rebound by C. Metu,,58,95
4,11:20.0,C. Metu misses 2-pt jump shot from 18 ft,,58,95
4,11:18.0,,Defensive rebound by G. Dieng,58,95
4,11:07.0,,D. Šarić misses 3-pt jump shot from 25 ft,58,95
4,11:04.0,Defensive rebound by Q. Pondexter,,58,95
4,10:56.0,Q. Pondexter makes 3-pt jump shot from 25 ft (assist by D. White),,61,95
4,10:35.0,,T. Jones makes 3-pt jump shot from 25 ft (assist by R. Covington),61,98
4,10:22.0,Personal foul by R. Covington (drawn by Q. Pondexter),,61,98
4,10:22.0,,J. Okogie enters the game for D. Rose,61,98
4,10:13.0,Q. Pondexter misses 2-pt dunk at rim,,61,98
4,10:11.0,,Defensive rebound by R. Covington,61,98
4,10:04.0,,R. Covington misses 2-pt jump shot from 9 ft,61,98
4,10:02.0,Defensive rebound by J. Poeltl,,61,98
4,9:48.0,D. White makes 2-pt layup at rim,,63,98
4,9:32.0,,G. Dieng makes 2-pt jump shot from 17 ft (assist by T. Jones),63,100
4,9:22.0,,Violation by Team (kicked ball),63,100
4,9:16.0,J. Poeltl makes 2-pt layup at rim (assist by M. Belinelli),,65,100
4,8:53.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by T. Jones),65,103
4,8:39.0,Turnover by M. Belinelli (lost ball; steal by J. Okogie),,65,103
4,8:35.0,,J. Okogie misses 2-pt layup from 2 ft,65,103
4,8:30.0,,R. Covington misses 2-pt layup at rim,65,103
4,8:30.0,,Offensive rebound by R. Covington,65,103
4,8:29.0,Defensive rebound by D. White,,65,103
4,8:23.0,M. Belinelli misses 3-pt jump shot from 23 ft,,65,103
4,8:22.0,,Defensive rebound by T. Jones,65,103
4,8:11.0,,J. Okogie misses 2-pt jump shot from 21 ft,65,103
4,8:09.0,Defensive rebound by D. White,,65,103
4,8:07.0,Turnover by D. White (bad pass),,65,103
4,8:07.0,D. Bertāns enters the game for M. Belinelli,,65,103
4,7:45.0,,D. Šarić makes 3-pt jump shot from 24 ft (assist by J. Okogie),65,106
4,7:28.0,Offensive foul by Q. Pondexter (drawn by J. Okogie),,65,106
4,7:28.0,Turnover by Q. Pondexter (offensive foul),,65,106
4,7:28.0,D. Cunningham enters the game for J. Poeltl,,65,106
4,7:17.0,,D. Šarić misses 2-pt layup from 1 ft (block by D. Bertāns),65,106
4,7:15.0,Defensive rebound by C. Metu,,65,106
4,7:11.0,D. Bertāns makes 2-pt dunk at rim (assist by Q. Pondexter),,67,106
4,7:04.0,,Minnesota full timeout,67,106
4,7:04.0,,L. Deng enters the game for R. Covington,67,106
4,7:04.0,,A. Tolliver enters the game for D. Šarić,67,106
4,6:52.0,,J. Okogie makes 2-pt dunk from 1 ft (assist by G. Dieng),67,108
4,6:42.0,Turnover by D. Cunningham (bad pass; steal by L. Deng),,67,108
4,6:39.0,,L. Deng makes 2-pt layup from 2 ft (assist by J. Okogie),67,110
4,6:39.0,,Shooting foul by Q. Pondexter (drawn by L. Deng),67,110
4,6:39.0,,L. Deng makes free throw 1 of 1,67,111
4,6:31.0,C. Metu misses 2-pt jump shot from 3 ft,,67,111
4,6:28.0,,Defensive rebound by A. Tolliver,67,111
4,6:12.0,,T. Jones misses 3-pt jump shot from 25 ft,67,111
4,6:10.0,Defensive rebound by Q. Pondexter,,67,111
4,6:06.0,Personal foul by J. Okogie (drawn by Q. Pondexter),,67,111
4,5:59.0,Shooting foul by L. Deng (drawn by Q. Pondexter),,67,111
4,5:59.0,Q. Pondexter makes free throw 1 of 2,,68,111
4,5:59.0,Q. Pondexter makes free throw 2 of 2,,69,111
4,5:47.0,,G. Dieng makes 2-pt jump shot from 12 ft (assist by T. Jones),69,113
4,5:35.0,D. Cunningham misses 3-pt jump shot from 24 ft,,69,113
4,5:33.0,,Defensive rebound by J. Okogie,69,113
4,5:27.0,,J. Okogie makes 3-pt jump shot from 25 ft (assist by L. Deng),69,116
4,5:11.0,Shooting foul by J. Okogie (drawn by Q. Pondexter),,69,116
4,5:11.0,Q. Pondexter makes free throw 1 of 2,,70,116
4,5:11.0,,J. Nunnally enters the game for G. Dieng,70,116
4,5:11.0,Q. Pondexter makes free throw 2 of 2,,71,116
4,5:00.0,,J. Okogie makes 3-pt jump shot from 24 ft (assist by A. Tolliver),71,119
4,4:43.0,Personal foul by J. Okogie (drawn by C. Metu),,71,119
4,4:43.0,C. Metu makes free throw 1 of 2,,72,119
4,4:43.0,J. Poeltl enters the game for D. Cunningham,,72,119
4,4:43.0,C. Metu makes free throw 2 of 2,,73,119
4,4:26.0,,J. Nunnally misses 3-pt jump shot from 23 ft,73,119
4,4:24.0,Defensive rebound by C. Metu,,73,119
4,4:14.0,J. Poeltl makes 2-pt hook shot from 5 ft (assist by C. Metu),,75,119
4,3:59.0,,L. Deng misses 3-pt jump shot from 25 ft,75,119
4,3:57.0,Defensive rebound by D. Bertāns,,75,119
4,3:53.0,D. Bertāns makes 2-pt layup from 1 ft (assist by D. White),,77,119
4,3:35.0,,J. Okogie makes 3-pt jump shot from 24 ft (assist by T. Jones),77,122
4,3:18.0,C. Metu misses 2-pt jump shot from 19 ft,,77,122
4,3:15.0,Offensive rebound by D. Bertāns,,77,122
4,3:08.0,Q. Pondexter makes 2-pt jump shot from 9 ft (assist by D. White),,79,122
4,2:54.0,,A. Tolliver misses 3-pt jump shot from 25 ft,79,122
4,2:53.0,Defensive rebound by Team,,79,122
4,2:53.0,San Antonio full timeout,,79,122
