QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MIAMI_ACTION,PHILADELPHIA_SCORE,MIAMI_SCORE
1,5:53.0,Defensive rebound by T. Harris,,10,19
1,5:46.0,Turnover by J. Butler (back court),,10,19
1,5:36.0,,B. Adebayo misses 2-pt jump shot from 5 ft,10,19
1,5:32.0,Defensive rebound by B. Marjanović,,10,19
1,5:26.0,T. McConnell misses 2-pt jump shot from 9 ft,,10,19
1,5:23.0,,Defensive rebound by B. Adebayo,10,19
1,5:18.0,,J. Winslow makes 3-pt jump shot from 24 ft (assist by G. Dragić),10,22
1,5:16.0,Philadelphia full timeout,,10,22
1,5:16.0,,D. Waiters enters the game for G. Dragić,10,22
1,5:04.0,T. Harris misses 2-pt layup from 2 ft,,10,22
1,5:02.0,Offensive rebound by T. Harris,,10,22
1,5:02.0,T. Harris misses 2-pt layup at rim,,10,22
1,5:01.0,,Defensive rebound by B. Adebayo,10,22
1,4:50.0,,J. Winslow misses 2-pt layup from 1 ft,10,22
1,4:47.0,Defensive rebound by T. McConnell,,10,22
1,4:42.0,F. Korkmaz misses 3-pt jump shot from 26 ft,,10,22
1,4:39.0,,Defensive rebound by K. Olynyk,10,22
1,4:23.0,,D. Wade makes 2-pt jump shot from 12 ft,10,24
1,3:57.0,B. Marjanović makes 2-pt hook shot from 11 ft,,12,24
1,3:42.0,,Turnover by K. Olynyk (bad pass; steal by F. Korkmaz),12,24
1,3:38.0,F. Korkmaz makes 2-pt layup at rim,,14,24
1,3:38.0,,Miami full timeout,14,24
1,3:38.0,J. Bolden enters the game for J. Butler,,14,24
1,3:38.0,B. Simmons enters the game for T. Harris,,14,24
1,3:38.0,J. Simmons enters the game for F. Korkmaz,,14,24
1,3:38.0,Z. Smith enters the game for T. McConnell,,14,24
1,3:38.0,,G. Dragić enters the game for B. Adebayo,14,24
1,3:38.0,,J. Johnson enters the game for D. Wade,14,24
1,3:15.0,,D. Waiters misses 3-pt jump shot from 24 ft,14,24
1,3:13.0,Defensive rebound by Z. Smith,,14,24
1,3:00.0,B. Simmons misses 2-pt hook shot from 10 ft,,14,24
1,2:56.0,Offensive rebound by B. Marjanović,,14,24
1,2:54.0,B. Marjanović makes 2-pt layup from 1 ft,,16,24
1,2:47.0,,Personal foul by J. Bolden (drawn by K. Olynyk),16,24
1,2:47.0,,H. Whiteside enters the game for K. Olynyk,16,24
1,2:39.0,,G. Dragić makes 3-pt jump shot from 25 ft (assist by J. Winslow),16,27
1,2:31.0,B. Simmons misses 2-pt jump shot from 6 ft (block by H. Whiteside),,16,27
1,2:31.0,Offensive rebound by Team,,16,27
1,2:23.0,B. Marjanović misses 2-pt jump shot from 7 ft (block by H. Whiteside),,16,27
1,2:19.0,,Defensive rebound by H. Whiteside,16,27
1,2:11.0,,G. Dragić misses 2-pt jump shot from 15 ft,16,27
1,2:09.0,Defensive rebound by Z. Smith,,16,27
1,2:03.0,J. Simmons misses 2-pt jump shot from 11 ft,,16,27
1,1:59.0,,Defensive rebound by J. Johnson,16,27
1,1:57.0,,D. Waiters makes 3-pt jump shot from 24 ft (assist by J. Johnson),16,30
1,1:29.0,Turnover by Z. Smith (bad pass; steal by J. Johnson),,16,30
1,1:25.0,,Turnover by J. Johnson (lost ball; steal by B. Simmons),16,30
1,1:17.0,Personal foul by D. Waiters (drawn by J. Simmons),,16,30
1,1:17.0,,D. Jones enters the game for J. Winslow,16,30
1,1:05.0,Z. Smith misses 2-pt jump shot from 16 ft,,16,30
1,1:03.0,Offensive rebound by B. Marjanović,,16,30
1,1:01.0,B. Marjanović makes 2-pt hook shot from 3 ft,,18,30
1,0:44.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by J. Johnson),18,32
1,0:36.0,J. Bolden misses 3-pt jump shot from 22 ft,,18,32
1,0:34.0,,Defensive rebound by J. Johnson,18,32
1,0:31.0,,H. Whiteside makes 2-pt jump shot from 4 ft (assist by J. Johnson),18,34
1,0:24.0,B. Simmons makes 2-pt layup from 1 ft,,20,34
2,11:39.0,Z. Smith makes 2-pt layup from 1 ft,,22,34
2,11:25.0,,Shooting foul by Z. Smith (drawn by D. Jones),22,34
2,11:25.0,,Offensive rebound by Team,22,34
2,11:25.0,,D. Jones misses free throw 1 of 2,22,34
2,11:25.0,,D. Jones makes free throw 2 of 2,22,35
2,11:09.0,T. Harris misses 2-pt jump shot from 6 ft (block by H. Whiteside),,22,35
2,11:09.0,Offensive rebound by Team,,22,35
2,11:01.0,Z. Smith misses 2-pt layup from 1 ft (block by H. Whiteside),,22,35
2,11:01.0,Offensive rebound by Team,,22,35
2,10:57.0,B. Simmons makes 2-pt jump shot from 7 ft (assist by Z. Smith),,24,35
2,10:30.0,,D. Waiters misses 3-pt jump shot from 25 ft,24,35
2,10:25.0,Defensive rebound by B. Simmons,,24,35
2,10:08.0,J. Bolden misses 3-pt jump shot from 23 ft,,24,35
2,10:05.0,,Defensive rebound by H. Whiteside,24,35
2,9:58.0,,D. Waiters misses 2-pt layup from 1 ft,24,35
2,9:56.0,,Offensive rebound by H. Whiteside,24,35
2,9:53.0,,H. Whiteside makes 2-pt hook shot from 5 ft,24,37
2,9:47.0,B. Simmons makes 2-pt jump shot from 8 ft,,26,37
2,9:31.0,,Turnover by J. Johnson (bad pass; steal by J. Simmons),26,37
2,9:28.0,J. Simmons makes 2-pt layup from 2 ft,,28,37
2,9:14.0,,G. Dragić makes 2-pt jump shot from 11 ft,28,39
2,8:50.0,T. Harris misses 2-pt jump shot from 12 ft,,28,39
2,8:47.0,,Defensive rebound by D. Jones,28,39
2,8:34.0,,Turnover by J. Johnson (bad pass),28,39
2,8:34.0,F. Korkmaz enters the game for B. Simmons,,28,39
2,8:34.0,T. McConnell enters the game for J. Simmons,,28,39
2,8:21.0,T. Harris misses 2-pt jump shot from 13 ft,,28,39
2,8:19.0,,Defensive rebound by H. Whiteside,28,39
2,8:06.0,,H. Whiteside makes 2-pt layup from 5 ft (assist by G. Dragić),28,41
2,7:42.0,T. Harris misses 2-pt jump shot from 10 ft,,28,41
2,7:40.0,,Defensive rebound by H. Whiteside,28,41
2,7:36.0,,Flagrant foul type 1 by F. Korkmaz (drawn by H. Whiteside),28,41
2,7:36.0,,H. Whiteside misses flagrant free throw 1 of 2,28,41
2,7:36.0,,Offensive rebound by Team,28,41
2,7:36.0,,H. Whiteside makes flagrant free throw 2 of 2,28,42
2,7:36.0,J. Butler enters the game for J. Bolden,,28,42
2,7:36.0,B. Marjanović enters the game for Z. Smith,,28,42
2,7:36.0,,D. Wade enters the game for G. Dragić,28,42
2,7:25.0,,D. Wade makes 2-pt layup from 1 ft,28,44
2,7:11.0,Personal foul by H. Whiteside (drawn by J. Butler),,28,44
2,7:04.0,T. Harris makes 2-pt jump shot from 14 ft,,30,44
2,6:46.0,,D. Wade misses 2-pt jump shot from 11 ft,30,44
2,6:44.0,,Offensive rebound by D. Wade,30,44
2,6:42.0,,D. Wade misses 2-pt jump shot from 7 ft,30,44
2,6:42.0,Defensive rebound by T. Harris,,30,44
2,6:34.0,T. Harris misses 2-pt jump shot from 14 ft,,30,44
2,6:33.0,Offensive rebound by T. Harris,,30,44
2,6:29.0,B. Marjanović makes 2-pt dunk from 1 ft (assist by T. Harris),,32,44
2,6:11.0,,H. Whiteside makes 2-pt jump shot from 22 ft (assist by D. Waiters),32,46
2,5:51.0,T. Harris misses 3-pt jump shot from 25 ft,,32,46
2,5:51.0,,Defensive rebound by Team,32,46
2,5:51.0,,D. Robinson enters the game for J. Johnson,32,46
2,5:51.0,,J. Winslow enters the game for D. Waiters,32,46
2,5:51.0,,Miami full timeout,32,46
2,5:39.0,,Turnover by D. Wade (bad pass; steal by B. Marjanović),32,46
2,5:28.0,Personal foul by D. Robinson (drawn by T. McConnell),,32,46
2,5:16.0,B. Marjanović makes 2-pt layup from 1 ft (assist by J. Butler),,34,46
2,4:58.0,,D. Jones makes 2-pt dunk from 1 ft (assist by D. Wade),34,48
2,4:45.0,J. Butler misses 3-pt jump shot from 26 ft,,34,48
2,4:42.0,,Defensive rebound by H. Whiteside,34,48
2,4:35.0,,Shooting foul by F. Korkmaz (drawn by D. Wade),34,48
2,4:35.0,,D. Wade makes free throw 1 of 2,34,49
2,4:35.0,B. Simmons enters the game for F. Korkmaz,,34,49
2,4:35.0,Z. Smith enters the game for T. McConnell,,34,49
2,4:35.0,,B. Adebayo enters the game for H. Whiteside,34,49
2,4:35.0,,D. Wade makes free throw 2 of 2,34,50
2,4:16.0,T. Harris misses 3-pt jump shot from 26 ft,,34,50
2,4:13.0,Offensive rebound by B. Simmons,,34,50
2,4:09.0,B. Simmons misses 2-pt jump shot from 11 ft (block by D. Jones),,34,50
2,4:05.0,,Defensive rebound by B. Adebayo,34,50
2,4:02.0,,J. Winslow misses 3-pt jump shot from 24 ft,34,50
2,4:00.0,Defensive rebound by T. Harris,,34,50
2,3:50.0,J. Butler makes 2-pt jump shot from 16 ft (assist by T. Harris),,36,50
2,3:29.0,,D. Wade misses 3-pt jump shot from 25 ft,36,50
2,3:27.0,Defensive rebound by B. Marjanović,,36,50
2,3:25.0,Philadelphia full timeout,,36,50
2,3:20.0,B. Simmons makes 2-pt layup from 1 ft (assist by B. Marjanović),,38,50
2,2:53.0,,J. Winslow makes 2-pt jump shot from 22 ft (assist by D. Jones),38,52
2,2:47.0,Personal foul by J. Winslow (drawn by J. Butler),,38,52
2,2:33.0,T. Harris misses 3-pt jump shot from 25 ft,,38,52
2,2:30.0,,Defensive rebound by J. Winslow,38,52
2,2:26.0,,J. Winslow misses 2-pt jump shot from 3 ft,38,52
2,2:21.0,,Offensive rebound by D. Jones,38,52
2,2:20.0,,Turnover by D. Jones (lost ball; steal by B. Simmons),38,52
2,2:18.0,Turnover by B. Simmons (bad pass),,38,52
2,2:03.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Winslow),38,54
2,2:03.0,,G. Dragić enters the game for D. Robinson,38,54
2,1:49.0,B. Marjanović misses 2-pt jump shot from 12 ft,,38,54
2,1:49.0,,Defensive rebound by J. Winslow,38,54
2,1:49.0,,Personal foul by B. Simmons (drawn by J. Winslow),38,54
2,1:35.0,,D. Wade makes 2-pt layup from 1 ft (assist by B. Adebayo),38,56
2,1:20.0,T. Harris makes 2-pt jump shot from 14 ft (assist by Z. Smith),,40,56
2,1:06.0,,B. Adebayo misses 2-pt jump shot from 9 ft,40,56
2,1:05.0,Defensive rebound by T. Harris,,40,56
2,0:54.0,Z. Smith misses 3-pt jump shot from 25 ft,,40,56
2,0:52.0,,Defensive rebound by D. Jones,40,56
2,0:50.0,,Shooting foul by B. Simmons (drawn by B. Adebayo),40,56
2,0:50.0,,B. Adebayo makes free throw 1 of 2,40,57
2,0:50.0,,B. Adebayo makes free throw 2 of 2,40,58
2,0:30.0,J. Butler makes 2-pt jump shot from 11 ft (assist by B. Marjanović),,42,58
2,0:10.0,,J. Winslow makes 3-pt jump shot from 26 ft (assist by G. Dragić),42,61
2,0:00.0,T. Harris misses 3-pt jump shot from 25 ft,,42,61
2,0:00.0,Offensive rebound by Team,,42,61
3,11:43.0,G. Monroe misses 2-pt hook shot from 7 ft,,42,61
3,11:41.0,,Defensive rebound by G. Dragić,42,61
3,11:32.0,,G. Dragić misses 3-pt jump shot from 25 ft,42,61
3,11:29.0,Defensive rebound by S. Milton,,42,61
3,11:20.0,Z. Smith makes 2-pt layup from 1 ft,,44,61
3,11:02.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by G. Dragić),44,63
3,10:49.0,B. Simmons misses 2-pt hook shot from 10 ft,,44,63
3,10:47.0,,Defensive rebound by B. Adebayo,44,63
3,10:39.0,,D. Wade misses 2-pt layup from 1 ft,44,63
3,10:38.0,,Offensive rebound by B. Adebayo,44,63
3,10:35.0,,B. Adebayo makes 2-pt dunk from 1 ft,44,65
3,10:19.0,Turnover by Z. Smith (bad pass; steal by G. Dragić),,44,65
3,10:18.0,,Personal foul by A. Johnson (drawn by G. Dragić),44,65
3,10:03.0,,K. Olynyk makes 3-pt jump shot from 23 ft (assist by B. Adebayo),44,68
3,10:02.0,Philadelphia full timeout,,44,68
3,9:37.0,A. Johnson misses 2-pt jump shot from 11 ft,,44,68
3,9:35.0,,Defensive rebound by B. Adebayo,44,68
3,9:26.0,,Personal foul by A. Johnson (drawn by B. Adebayo),44,68
3,9:16.0,,K. Olynyk misses 3-pt jump shot from 25 ft,44,68
3,9:12.0,Defensive rebound by S. Milton,,44,68
3,9:08.0,A. Johnson misses 3-pt jump shot from 24 ft,,44,68
3,9:06.0,Offensive rebound by G. Monroe,,44,68
3,9:06.0,G. Monroe makes 2-pt layup from 2 ft,,46,68
3,8:50.0,,Turnover by G. Dragić (bad pass; steal by S. Milton),46,68
3,8:43.0,S. Milton makes 3-pt jump shot from 25 ft (assist by B. Simmons),,49,68
3,8:30.0,,B. Adebayo makes 2-pt jump shot from 4 ft (assist by G. Dragić),49,70
3,8:23.0,Offensive foul by B. Simmons (drawn by K. Olynyk),,49,70
3,8:23.0,Turnover by B. Simmons (offensive foul),,49,70
3,8:09.0,,G. Dragić misses 2-pt jump shot from 17 ft,49,70
3,8:06.0,Defensive rebound by S. Milton,,49,70
3,7:50.0,S. Milton misses 2-pt jump shot from 16 ft (block by B. Adebayo),,49,70
3,7:49.0,Offensive rebound by S. Milton,,49,70
3,7:49.0,S. Milton misses 2-pt layup from 2 ft (block by B. Adebayo),,49,70
3,7:49.0,Offensive rebound by Team,,49,70
3,7:44.0,S. Milton misses 3-pt jump shot from 25 ft,,49,70
3,7:39.0,Offensive rebound by B. Simmons,,49,70
3,7:38.0,B. Simmons makes 2-pt hook shot from 3 ft,,51,70
3,7:30.0,,D. Wade misses 2-pt jump shot from 19 ft,51,70
3,7:27.0,Defensive rebound by A. Johnson,,51,70
3,7:26.0,Turnover by B. Simmons (bad pass),,51,70
3,7:26.0,T. McConnell enters the game for B. Simmons,,51,70
3,7:19.0,,Shooting foul by G. Monroe (drawn by B. Adebayo),51,70
3,7:19.0,,B. Adebayo makes free throw 1 of 2,51,71
3,7:19.0,J. Simmons enters the game for Z. Smith,,51,71
3,7:19.0,,B. Adebayo misses free throw 2 of 2,51,71
3,7:16.0,Defensive rebound by A. Johnson,,51,71
3,7:05.0,S. Milton misses 3-pt jump shot from 25 ft (block by J. Winslow),,51,71
3,7:02.0,,Defensive rebound by B. Adebayo,51,71
3,6:57.0,,J. Winslow makes 2-pt layup from 1 ft (assist by D. Wade),51,73
3,6:36.0,Shooting foul by J. Winslow (drawn by A. Johnson),,51,73
3,6:36.0,Offensive rebound by Team,,51,73
3,6:36.0,A. Johnson misses free throw 1 of 2,,51,73
3,6:36.0,A. Johnson makes free throw 2 of 2,,52,73
3,6:21.0,,G. Dragić misses 2-pt jump shot from 9 ft,52,73
3,6:19.0,,Offensive rebound by G. Dragić,52,73
3,6:15.0,,D. Wade misses 3-pt jump shot from 23 ft,52,73
3,6:12.0,Defensive rebound by A. Johnson,,52,73
3,6:00.0,A. Johnson misses 2-pt hook shot from 5 ft,,52,73
3,6:00.0,,Defensive rebound by Team,52,73
3,5:52.0,,Turnover by G. Dragić (bad pass; steal by J. Simmons),52,73
3,5:52.0,Personal take foul by J. Winslow (drawn by J. Simmons),,52,73
3,5:52.0,H. Highsmith enters the game for A. Johnson,,52,73
3,5:36.0,J. Simmons makes 2-pt jump shot from 14 ft (assist by G. Monroe),,54,73
3,5:12.0,,K. Olynyk makes 2-pt jump shot from 3 ft (assist by G. Dragić),54,75
3,4:57.0,Shooting foul by J. Winslow (drawn by J. Simmons),,54,75
3,4:57.0,J. Simmons makes free throw 1 of 2,,55,75
3,4:57.0,B. Marjanović enters the game for G. Monroe,,55,75
3,4:57.0,,D. Jones enters the game for G. Dragić,55,75
3,4:57.0,,D. Waiters enters the game for J. Winslow,55,75
3,4:57.0,J. Simmons makes free throw 2 of 2,,56,75
3,4:43.0,,Shooting foul by S. Milton (drawn by D. Wade),56,75
3,4:43.0,,D. Wade makes free throw 1 of 2,56,76
3,4:43.0,,D. Wade makes free throw 2 of 2,56,77
3,4:31.0,Personal foul by D. Jones (drawn by B. Marjanović),,56,77
3,4:19.0,J. Simmons misses 2-pt jump shot from 9 ft (block by K. Olynyk),,56,77
3,4:19.0,Offensive rebound by Team,,56,77
3,4:17.0,S. Milton misses 3-pt jump shot from 23 ft,,56,77
3,4:17.0,Offensive rebound by Team,,56,77
3,4:17.0,Turnover by Team (shot clock),,56,77
3,3:55.0,,D. Waiters misses 2-pt jump shot from 21 ft,56,77
3,3:53.0,Defensive rebound by B. Marjanović,,56,77
3,3:52.0,Turnover by B. Marjanović (lost ball; steal by B. Adebayo),,56,77
3,3:48.0,,B. Adebayo makes 2-pt layup from 2 ft,56,79
3,3:28.0,B. Marjanović misses 2-pt jump shot from 8 ft,,56,79
3,3:26.0,,Defensive rebound by B. Adebayo,56,79
3,3:18.0,,B. Adebayo makes 2-pt jump shot from 5 ft,56,81
3,3:18.0,Philadelphia full timeout,,56,81
3,3:18.0,,G. Dragić enters the game for D. Wade,56,81
3,3:02.0,B. Marjanović makes 2-pt dunk from 1 ft (assist by J. Simmons),,58,81
3,2:46.0,,D. Waiters misses 2-pt jump shot from 19 ft,58,81
3,2:43.0,Defensive rebound by T. McConnell,,58,81
3,2:38.0,T. McConnell makes 2-pt jump shot from 7 ft,,60,81
3,2:29.0,,Shooting foul by B. Marjanović (drawn by G. Dragić),60,81
3,2:29.0,,G. Dragić misses free throw 1 of 2,60,81
3,2:29.0,,Offensive rebound by Team,60,81
3,2:29.0,Z. Smith enters the game for S. Milton,,60,81
3,2:29.0,,J. Johnson enters the game for B. Adebayo,60,81
3,2:29.0,,H. Whiteside enters the game for K. Olynyk,60,81
3,2:29.0,,G. Dragić makes free throw 2 of 2,60,82
3,2:08.0,J. Simmons misses 3-pt jump shot from 24 ft,,60,82
3,2:08.0,,Defensive rebound by Team,60,82
3,1:57.0,,G. Dragić misses 2-pt layup from 2 ft,60,82
3,1:55.0,,Offensive rebound by Team,60,82
3,1:50.0,,D. Waiters makes 2-pt jump shot from 19 ft (assist by G. Dragić),60,84
3,1:45.0,Turnover by J. Simmons (bad pass),,60,84
3,1:34.0,,H. Whiteside misses 2-pt layup from 2 ft,60,84
3,1:32.0,Defensive rebound by H. Highsmith,,60,84
3,1:13.0,B. Marjanović misses 2-pt jump shot from 6 ft,,60,84
3,1:11.0,,Defensive rebound by H. Whiteside,60,84
3,1:07.0,,Turnover by H. Whiteside (bad pass; steal by T. McConnell),60,84
3,1:01.0,T. McConnell misses 2-pt layup from 1 ft,,60,84
3,0:58.0,,Defensive rebound by D. Waiters,60,84
3,0:55.0,,H. Whiteside makes 2-pt dunk at rim (assist by G. Dragić),60,86
3,0:40.0,T. McConnell misses 2-pt jump shot from 12 ft,,60,86
3,0:38.0,,Defensive rebound by H. Whiteside,60,86
3,0:31.0,,Turnover by J. Johnson (bad pass; steal by B. Marjanović),60,86
3,0:24.0,Turnover by T. McConnell (bad pass; steal by H. Whiteside),,60,86
3,0:21.0,,Personal foul by Z. Smith (drawn by D. Jones),60,86
3,0:21.0,,D. Jones makes free throw 1 of 2,60,87
3,0:21.0,,D. Jones makes free throw 2 of 2,60,88
3,0:04.0,Turnover by T. McConnell (lost ball; steal by H. Whiteside),,60,88
3,0:00.0,,D. Waiters makes 3-pt jump shot from 25 ft,60,91
4,11:34.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by D. Waiters),60,93
4,11:19.0,G. Monroe misses 2-pt jump shot from 4 ft,,60,93
4,11:15.0,,Defensive rebound by H. Whiteside,60,93
4,11:10.0,,J. Johnson makes 2-pt dunk from 1 ft (assist by G. Dragić),60,95
4,11:10.0,Philadelphia full timeout,,60,95
4,11:05.0,Personal take foul by D. Waiters (drawn by T. McConnell),,60,95
4,11:05.0,,U. Haslem enters the game for D. Waiters,60,95
4,11:05.0,,D. Wade enters the game for H. Whiteside,60,95
4,10:57.0,G. Monroe makes 2-pt jump shot from 6 ft (assist by J. Simmons),,62,95
4,10:43.0,,Turnover by D. Wade (bad pass),62,95
4,10:32.0,Turnover by G. Monroe (bad pass),,62,95
4,10:20.0,,U. Haslem misses 2-pt jump shot from 20 ft,62,95
4,10:17.0,Defensive rebound by A. Johnson,,62,95
4,10:14.0,Offensive foul by J. Simmons (drawn by U. Haslem),,62,95
4,10:14.0,Turnover by J. Simmons (offensive foul),,62,95
4,9:57.0,,D. Wade makes 2-pt jump shot from 9 ft,62,97
4,9:44.0,G. Monroe makes 2-pt hook shot from 4 ft (assist by J. Simmons),,64,97
4,9:33.0,,G. Dragić misses 2-pt jump shot from 9 ft,64,97
4,9:31.0,Defensive rebound by G. Monroe,,64,97
4,9:25.0,J. Simmons makes 3-pt jump shot from 23 ft (assist by A. Johnson),,67,97
4,9:07.0,,D. Wade makes 3-pt jump shot from 26 ft,67,100
4,8:57.0,G. Monroe makes 2-pt layup from 1 ft (assist by J. Simmons),,69,100
4,8:57.0,Shooting foul by U. Haslem (drawn by G. Monroe),,69,100
4,8:57.0,G. Monroe makes free throw 1 of 1,,70,100
4,8:34.0,,U. Haslem misses 2-pt jump shot from 18 ft,70,100
4,8:32.0,Defensive rebound by J. Simmons,,70,100
4,8:26.0,Z. Smith makes 2-pt dunk from 2 ft (assist by J. Simmons),,72,100
4,8:17.0,,D. Wade makes 3-pt jump shot from 26 ft,72,103
4,8:03.0,Z. Smith misses 3-pt jump shot from 23 ft (block by D. Wade),,72,103
4,8:00.0,,Defensive rebound by U. Haslem,72,103
4,7:58.0,,Turnover by U. Haslem (bad pass; steal by J. Simmons),72,103
4,7:52.0,Z. Smith makes 3-pt jump shot from 25 ft (assist by J. Simmons),,75,103
4,7:32.0,,D. Wade makes 3-pt jump shot from 23 ft,75,106
4,7:20.0,J. Simmons makes 3-pt jump shot from 24 ft,,78,106
4,7:20.0,S. Milton enters the game for Z. Smith,,78,106
4,7:20.0,,D. Robinson enters the game for G. Dragić,78,106
4,6:55.0,,D. Wade misses 3-pt jump shot from 23 ft,78,106
4,6:52.0,,Offensive rebound by D. Robinson,78,106
4,6:49.0,,D. Robinson makes 2-pt layup from 2 ft,78,108
4,6:45.0,S. Milton makes 3-pt jump shot from 25 ft (assist by A. Johnson),,81,108
4,6:24.0,,U. Haslem makes 2-pt jump shot from 16 ft,81,110
4,6:14.0,Personal foul by J. Johnson (drawn by S. Milton),,81,110
4,6:11.0,Personal foul by J. Johnson (drawn by J. Simmons),,81,110
4,5:57.0,A. Johnson makes 2-pt layup from 1 ft (assist by G. Monroe),,83,110
4,5:45.0,,U. Haslem misses 3-pt jump shot from 25 ft,83,110
4,5:41.0,Defensive rebound by S. Milton,,83,110
4,5:35.0,T. McConnell misses 2-pt jump shot from 17 ft,,83,110
4,5:32.0,,Defensive rebound by J. Johnson,83,110
4,5:12.0,,U. Haslem misses 2-pt jump shot from 17 ft,83,110
4,5:09.0,Defensive rebound by G. Monroe,,83,110
4,5:03.0,J. Simmons makes 2-pt jump shot from 10 ft,,85,110
4,4:52.0,,D. Wade makes 3-pt jump shot from 25 ft,85,113
4,4:38.0,T. McConnell misses 2-pt jump shot from 14 ft,,85,113
4,4:36.0,,Defensive rebound by U. Haslem,85,113
4,4:16.0,,Turnover by Team (shot clock),85,113
4,4:16.0,H. Highsmith enters the game for T. McConnell,,85,113
4,4:09.0,H. Highsmith misses 3-pt jump shot from 25 ft,,85,113
4,4:04.0,,Defensive rebound by U. Haslem,85,113
4,3:56.0,,Shooting foul by G. Monroe (drawn by U. Haslem),85,113
4,3:56.0,,U. Haslem makes free throw 1 of 2,85,114
4,3:56.0,,U. Haslem makes free throw 2 of 2,85,115
4,3:46.0,A. Johnson misses 2-pt jump shot from 2 ft,,85,115
4,3:41.0,Offensive rebound by A. Johnson,,85,115
4,3:41.0,A. Johnson makes 2-pt layup at rim,,87,115
