QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,INDIANA_ACTION,PHILADELPHIA_SCORE,INDIANA_SCORE
1,8:06.0,Offensive rebound by W. Chandler,,3,7
1,8:06.0,W. Chandler makes 2-pt layup at rim,,5,7
1,7:55.0,,D. Collison makes 2-pt layup at rim,5,9
1,7:42.0,J. Butler makes 3-pt jump shot from 27 ft (assist by J. Embiid),,8,9
1,7:27.0,,D. Collison makes 2-pt layup at rim (assist by B. Bogdanović),8,11
1,7:20.0,J. Embiid misses 3-pt jump shot from 27 ft,,8,11
1,7:17.0,,Defensive rebound by B. Bogdanović,8,11
1,7:04.0,,V. Oladipo misses 2-pt jump shot from 21 ft,8,11
1,7:02.0,Defensive rebound by J. Redick,,8,11
1,6:51.0,J. Butler makes 2-pt layup from 1 ft (assist by B. Simmons),,10,11
1,6:31.0,,T. Young makes 2-pt jump shot from 6 ft (assist by D. Collison),10,13
1,6:22.0,Shooting foul by T. Young (drawn by J. Butler),,10,13
1,6:22.0,,Indiana full timeout,10,13
1,6:22.0,J. Bolden enters the game for W. Chandler,,10,13
1,6:22.0,T. McConnell enters the game for J. Embiid,,10,13
1,6:22.0,L. Shamet enters the game for J. Redick,,10,13
1,6:22.0,J. Butler makes free throw 1 of 2,,11,13
1,6:22.0,J. Butler makes free throw 2 of 2,,12,13
1,6:02.0,,Shooting foul by J. Butler (drawn by M. Turner),12,13
1,6:02.0,,M. Turner makes free throw 1 of 2,12,14
1,6:02.0,,M. Turner makes free throw 2 of 2,12,15
1,5:48.0,J. Bolden makes 3-pt jump shot from 25 ft (assist by J. Butler),,15,15
1,5:33.0,,Turnover by V. Oladipo (bad pass; steal by B. Simmons),15,15
1,5:20.0,J. Bolden misses 3-pt jump shot from 23 ft,,15,15
1,5:17.0,,Defensive rebound by M. Turner,15,15
1,5:13.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by V. Oladipo),15,18
1,4:48.0,J. Butler makes 2-pt layup from 1 ft (assist by L. Shamet),,17,18
1,4:23.0,,T. Young misses 2-pt layup from 5 ft,17,18
1,4:20.0,,Offensive rebound by M. Turner,17,18
1,4:20.0,,M. Turner misses 2-pt layup from 1 ft,17,18
1,4:20.0,Defensive rebound by B. Simmons,,17,18
1,4:16.0,L. Shamet makes 3-pt jump shot from 25 ft (assist by B. Simmons),,20,18
1,3:52.0,,V. Oladipo misses 2-pt layup at rim,20,18
1,3:49.0,,Offensive rebound by T. Young,20,18
1,3:49.0,,T. Young misses 2-pt layup from 1 ft,20,18
1,3:49.0,,Offensive rebound by T. Young,20,18
1,3:47.0,,T. Young makes 2-pt hook shot from 3 ft,20,20
1,3:42.0,L. Shamet misses 3-pt jump shot from 26 ft,,20,20
1,3:40.0,,Defensive rebound by M. Turner,20,20
1,3:27.0,,Shooting foul by B. Simmons (drawn by M. Turner),20,20
1,3:27.0,,M. Turner misses free throw 1 of 2,20,20
1,3:27.0,,Offensive rebound by Team,20,20
1,3:27.0,Philadelphia full timeout,,20,20
1,3:27.0,W. Chandler enters the game for J. Bolden,,20,20
1,3:27.0,J. Embiid enters the game for J. Butler,,20,20
1,3:27.0,M. Muscala enters the game for L. Shamet,,20,20
1,3:27.0,J. Redick enters the game for B. Simmons,,20,20
1,3:27.0,,C. Joseph enters the game for B. Bogdanović,20,20
1,3:27.0,,D. Sabonis enters the game for T. Young,20,20
1,3:27.0,,M. Turner makes free throw 2 of 2,20,21
1,3:19.0,Personal foul by M. Turner (drawn by J. Embiid),,20,21
1,3:12.0,T. McConnell makes 2-pt jump shot from 11 ft (assist by J. Redick),,22,21
1,2:57.0,,V. Oladipo misses 3-pt jump shot from 28 ft,22,21
1,2:54.0,Defensive rebound by J. Embiid,,22,21
1,2:46.0,J. Redick misses 2-pt layup from 2 ft,,22,21
1,2:44.0,,Defensive rebound by D. Collison,22,21
1,2:24.0,,Turnover by C. Joseph (bad pass; steal by M. Muscala),22,21
1,2:17.0,J. Redick misses 3-pt jump shot from 26 ft,,22,21
1,2:14.0,,Defensive rebound by M. Turner,22,21
1,2:00.0,,D. Sabonis misses 2-pt layup from 1 ft,22,21
1,1:57.0,Defensive rebound by M. Muscala,,22,21
1,1:54.0,W. Chandler misses 3-pt jump shot from 23 ft,,22,21
1,1:52.0,,Defensive rebound by D. Sabonis,22,21
1,1:44.0,,D. Collison misses 2-pt jump shot from 19 ft,22,21
1,1:40.0,Defensive rebound by M. Muscala,,22,21
1,1:29.0,J. Redick misses 2-pt jump shot from 20 ft,,22,21
1,1:27.0,,Defensive rebound by M. Turner,22,21
1,1:16.0,,D. Sabonis misses 2-pt layup from 2 ft,22,21
1,1:14.0,,Offensive rebound by V. Oladipo,22,21
1,1:14.0,,V. Oladipo misses 2-pt layup from 1 ft,22,21
1,1:13.0,Defensive rebound by T. McConnell,,22,21
1,1:09.0,W. Chandler makes 2-pt layup from 1 ft (assist by T. McConnell),,24,21
1,1:09.0,,Violation by Team (def goaltending),24,21
1,0:53.0,,C. Joseph makes 2-pt jump shot from 9 ft (assist by D. Sabonis),24,23
1,0:33.0,J. Embiid makes 2-pt layup from 2 ft (assist by J. Redick),,26,23
1,0:15.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by V. Oladipo),26,25
1,0:03.0,J. Redick makes 2-pt jump shot from 19 ft (assist by J. Embiid),,28,25
1,0:00.0,,D. Collison misses 2-pt layup from 3 ft,28,25
1,0:00.0,,Offensive rebound by Team,28,25
2,11:45.0,,Turnover by D. McDermott (bad pass; steal by J. Butler),28,25
2,11:33.0,J. Embiid misses 2-pt layup from 2 ft,,28,25
2,11:31.0,,Defensive rebound by D. Sabonis,28,25
2,11:27.0,,T. Evans makes 2-pt layup from 1 ft (assist by C. Joseph),28,27
2,11:12.0,Turnover by L. Shamet (lost ball; steal by T. Leaf),,28,27
2,11:05.0,,C. Joseph makes 2-pt jump shot from 20 ft,28,29
2,10:47.0,M. Muscala makes 3-pt jump shot from 26 ft (assist by J. Butler),,31,29
2,10:21.0,,C. Joseph misses 2-pt jump shot from 5 ft,31,29
2,10:18.0,Defensive rebound by M. Muscala,,31,29
2,10:05.0,Personal foul by T. Evans (drawn by J. Embiid),,31,29
2,10:02.0,L. Shamet misses 2-pt layup from 1 ft,,31,29
2,10:01.0,,Defensive rebound by D. Sabonis,31,29
2,9:55.0,,T. Evans makes 3-pt jump shot from 27 ft (assist by D. Sabonis),31,32
2,9:26.0,T. McConnell misses 2-pt jump shot from 13 ft,,31,32
2,9:25.0,,Defensive rebound by D. Sabonis,31,32
2,9:19.0,,D. McDermott misses 3-pt jump shot from 24 ft,31,32
2,9:15.0,Defensive rebound by T. McConnell,,31,32
2,9:02.0,M. Muscala misses 2-pt jump shot from 15 ft,,31,32
2,9:00.0,,Defensive rebound by D. Sabonis,31,32
2,8:53.0,,T. Evans misses 3-pt jump shot from 27 ft,31,32
2,8:51.0,Defensive rebound by J. Embiid,,31,32
2,8:40.0,J. Embiid misses 3-pt jump shot from 26 ft,,31,32
2,8:37.0,,Defensive rebound by C. Joseph,31,32
2,8:28.0,,Turnover by C. Joseph (bad pass; steal by J. Butler),31,32
2,8:09.0,T. McConnell misses 2-pt jump shot from 9 ft,,31,32
2,8:07.0,,Defensive rebound by D. Sabonis,31,32
2,8:01.0,,T. Evans misses 2-pt layup from 4 ft,31,32
2,7:58.0,,Offensive rebound by T. Evans,31,32
2,7:58.0,,T. Evans makes 2-pt layup from 1 ft,31,34
2,7:41.0,J. Embiid makes 2-pt jump shot from 7 ft (assist by J. Butler),,33,34
2,7:15.0,,D. Sabonis misses 2-pt layup from 6 ft (block by M. Muscala),33,34
2,7:13.0,Defensive rebound by T. McConnell,,33,34
2,7:12.0,T. McConnell makes 2-pt layup from 2 ft,,35,34
2,7:12.0,Shooting foul by D. McDermott (drawn by T. McConnell),,35,34
2,7:12.0,W. Chandler enters the game for J. Embiid,,35,34
2,7:12.0,J. Redick enters the game for M. Muscala,,35,34
2,7:12.0,B. Simmons enters the game for L. Shamet,,35,34
2,7:12.0,,B. Bogdanović enters the game for T. Leaf,35,34
2,7:12.0,T. McConnell makes free throw 1 of 1,,36,34
2,6:58.0,,D. McDermott misses 3-pt jump shot from 23 ft,36,34
2,6:55.0,,Offensive rebound by D. Sabonis,36,34
2,6:42.0,,D. Sabonis makes 2-pt hook shot from 16 ft,36,36
2,6:26.0,Turnover by B. Simmons (3 sec),,36,36
2,6:26.0,,Indiana full timeout,36,36
2,6:26.0,J. Bolden enters the game for T. McConnell,,36,36
2,6:26.0,,T. Young enters the game for D. McDermott,36,36
2,6:08.0,,Shooting foul by J. Bolden (drawn by D. Sabonis),36,36
2,6:08.0,,D. Sabonis misses free throw 1 of 2,36,36
2,6:08.0,,Offensive rebound by Team,36,36
2,6:08.0,,D. Sabonis misses free throw 2 of 2,36,36
2,6:06.0,Defensive rebound by W. Chandler,,36,36
2,5:53.0,W. Chandler misses 3-pt jump shot from 30 ft,,36,36
2,5:52.0,,Defensive rebound by Team,36,36
2,5:42.0,,B. Bogdanović misses 2-pt layup from 2 ft,36,36
2,5:39.0,Defensive rebound by J. Bolden,,36,36
2,5:35.0,J. Butler misses 3-pt jump shot from 27 ft,,36,36
2,5:32.0,Offensive rebound by J. Bolden,,36,36
2,5:31.0,Turnover by J. Bolden (lost ball; steal by T. Evans),,36,36
2,5:24.0,,T. Evans misses 2-pt jump shot from 22 ft,36,36
2,5:18.0,Defensive rebound by J. Butler,,36,36
2,5:10.0,J. Redick makes 3-pt jump shot from 22 ft (assist by W. Chandler),,39,36
2,4:55.0,,T. Young makes 2-pt jump shot from 5 ft (assist by C. Joseph),39,38
2,4:33.0,J. Butler makes 2-pt dunk from 1 ft (assist by B. Simmons),,41,38
2,4:20.0,,T. Evans makes 2-pt layup at rim (assist by C. Joseph),41,40
2,3:55.0,J. Butler misses 2-pt jump shot from 21 ft,,41,40
2,3:53.0,,Defensive rebound by T. Young,41,40
2,3:47.0,,T. Evans misses 3-pt jump shot from 24 ft,41,40
2,3:44.0,Defensive rebound by J. Bolden,,41,40
2,3:39.0,,Violation by Team (kicked ball),41,40
2,3:39.0,J. Embiid enters the game for J. Bolden,,41,40
2,3:39.0,,V. Oladipo enters the game for T. Evans,41,40
2,3:39.0,,M. Turner enters the game for D. Sabonis,41,40
2,3:32.0,J. Butler makes 2-pt layup from 1 ft (assist by W. Chandler),,43,40
2,3:09.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,43,40
2,3:06.0,Defensive rebound by B. Simmons,,43,40
2,3:00.0,J. Embiid makes 3-pt jump shot from 27 ft (assist by B. Simmons),,46,40
2,2:46.0,,V. Oladipo makes 3-pt jump shot from 26 ft (assist by C. Joseph),46,43
2,2:45.0,Philadelphia full timeout,,46,43
2,2:45.0,M. Muscala enters the game for J. Butler,,46,43
2,2:45.0,,D. Collison enters the game for C. Joseph,46,43
2,2:31.0,Turnover by B. Simmons (bad pass; steal by M. Turner),,46,43
2,2:28.0,,D. Collison misses 2-pt layup from 2 ft (block by J. Embiid),46,43
2,2:27.0,Defensive rebound by J. Redick,,46,43
2,2:27.0,Personal foul by M. Turner (drawn by J. Redick),,46,43
2,2:09.0,W. Chandler makes 3-pt jump shot from 27 ft (assist by J. Embiid),,49,43
2,1:52.0,,V. Oladipo makes 3-pt jump shot from 27 ft (assist by D. Collison),49,46
2,1:30.0,J. Embiid makes 2-pt layup from 1 ft (assist by J. Redick),,51,46
2,1:23.0,,V. Oladipo misses 3-pt jump shot from 29 ft,51,46
2,1:20.0,Defensive rebound by B. Simmons,,51,46
2,1:14.0,J. Embiid misses 3-pt jump shot from 26 ft,,51,46
2,1:11.0,,Defensive rebound by D. Collison,51,46
2,0:56.0,,V. Oladipo misses 2-pt layup from 2 ft,51,46
2,0:54.0,Defensive rebound by M. Muscala,,51,46
2,0:50.0,Turnover by B. Simmons (bad pass; steal by T. Young),,51,46
2,0:45.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,51,46
2,0:42.0,Defensive rebound by M. Muscala,,51,46
2,0:31.0,B. Simmons misses 2-pt layup from 2 ft (block by M. Turner),,51,46
2,0:27.0,,Defensive rebound by D. Collison,51,46
2,0:26.0,,T. Young makes 2-pt layup from 1 ft (assist by D. Collison),51,48
2,0:04.0,J. Redick makes 3-pt jump shot from 27 ft (assist by J. Embiid),,54,48
2,0:01.0,,Personal take foul by W. Chandler (drawn by B. Bogdanović),54,48
2,0:01.0,J. Bolden enters the game for J. Redick,,54,48
2,0:00.0,,Turnover by V. Oladipo (bad pass; steal by J. Embiid),54,48
2,0:00.0,J. Embiid misses 3-pt jump shot from 62 ft,,54,48
2,0:00.0,Offensive rebound by Team,,54,48
3,11:51.0,,D. Collison misses 2-pt jump shot from 20 ft,54,48
3,11:48.0,Defensive rebound by J. Butler,,54,48
3,11:36.0,J. Redick misses 3-pt jump shot from 28 ft,,54,48
3,11:31.0,,Defensive rebound by T. Young,54,48
3,11:28.0,,V. Oladipo makes 3-pt jump shot from 28 ft (assist by T. Young),54,51
3,11:15.0,J. Butler misses 2-pt jump shot from 18 ft,,54,51
3,11:11.0,Offensive rebound by J. Embiid,,54,51
3,11:07.0,B. Simmons misses 2-pt jump shot from 7 ft,,54,51
3,11:06.0,Offensive rebound by J. Embiid,,54,51
3,11:06.0,Shooting foul by M. Turner (drawn by J. Embiid),,54,51
3,11:06.0,J. Embiid makes free throw 1 of 2,,55,51
3,11:06.0,J. Embiid makes free throw 2 of 2,,56,51
3,10:47.0,,V. Oladipo misses 2-pt jump shot from 16 ft,56,51
3,10:44.0,Defensive rebound by J. Redick,,56,51
3,10:34.0,W. Chandler misses 3-pt jump shot from 24 ft,,56,51
3,10:31.0,,Defensive rebound by M. Turner,56,51
3,10:27.0,,T. Young misses 2-pt layup from 3 ft (block by J. Embiid),56,51
3,10:27.0,,Offensive rebound by Team,56,51
3,10:24.0,,T. Young misses 2-pt hook shot from 6 ft,56,51
3,10:21.0,Defensive rebound by J. Embiid,,56,51
3,10:15.0,Shooting foul by D. Collison (drawn by J. Butler),,56,51
3,10:15.0,J. Butler makes free throw 1 of 2,,57,51
3,10:15.0,J. Butler makes free throw 2 of 2,,58,51
3,9:59.0,,Shooting foul by W. Chandler (drawn by M. Turner),58,51
3,9:59.0,,M. Turner makes free throw 1 of 2,58,52
3,9:59.0,,M. Turner makes free throw 2 of 2,58,53
3,9:51.0,Turnover by J. Embiid (bad pass; steal by M. Turner),,58,53
3,9:48.0,,B. Bogdanović makes 2-pt layup from 3 ft (assist by D. Collison),58,55
3,9:34.0,J. Redick makes 3-pt jump shot from 28 ft (assist by J. Embiid),,61,55
3,9:17.0,,B. Bogdanović misses 3-pt jump shot from 31 ft,61,55
3,9:15.0,Defensive rebound by J. Embiid,,61,55
3,9:12.0,Offensive foul by B. Simmons (drawn by T. Young),,61,55
3,9:12.0,Turnover by B. Simmons (offensive foul),,61,55
3,9:02.0,,Offensive foul by T. Young (drawn by B. Simmons),61,55
3,9:02.0,,Turnover by T. Young (offensive foul),61,55
3,8:49.0,J. Embiid makes 2-pt layup from 1 ft (assist by J. Butler),,63,55
3,8:31.0,,T. Young misses 2-pt jump shot from 3 ft,63,55
3,8:29.0,,Offensive rebound by M. Turner,63,55
3,8:29.0,,M. Turner misses 2-pt layup at rim,63,55
3,8:28.0,Defensive rebound by J. Embiid,,63,55
3,8:12.0,J. Embiid misses 2-pt jump shot from 5 ft (block by M. Turner),,63,55
3,8:11.0,Offensive rebound by J. Embiid,,63,55
3,8:11.0,J. Embiid misses 2-pt jump shot from 4 ft (block by M. Turner),,63,55
3,8:11.0,Offensive rebound by Team,,63,55
3,8:07.0,J. Redick makes 3-pt jump shot from 30 ft (assist by J. Embiid),,66,55
3,8:04.0,,Indiana full timeout,66,55
3,7:55.0,,Personal foul by J. Embiid (drawn by T. Young),66,55
3,7:44.0,,D. Collison makes 2-pt layup from 2 ft,66,57
3,7:31.0,Shooting foul by T. Young (drawn by B. Simmons),,66,57
3,7:31.0,B. Simmons misses free throw 1 of 2,,66,57
3,7:31.0,Offensive rebound by Team,,66,57
3,7:31.0,B. Simmons makes free throw 2 of 2,,67,57
3,7:19.0,,T. Young makes 2-pt jump shot from 10 ft (assist by V. Oladipo),67,59
3,7:06.0,J. Embiid makes 2-pt dunk from 1 ft (assist by B. Simmons),,69,59
3,6:51.0,,T. Young makes 3-pt jump shot from 27 ft (assist by V. Oladipo),69,62
3,6:28.0,J. Embiid misses 2-pt hook shot from 7 ft,,69,62
3,6:28.0,Offensive rebound by J. Butler,,69,62
3,6:20.0,J. Butler makes 2-pt layup at rim,,71,62
3,6:03.0,,T. Young makes 3-pt jump shot from 24 ft (assist by V. Oladipo),71,65
3,5:40.0,B. Simmons makes 2-pt hook shot from 10 ft (assist by J. Butler),,73,65
3,5:26.0,,V. Oladipo misses 3-pt jump shot from 29 ft,73,65
3,5:22.0,Defensive rebound by W. Chandler,,73,65
3,5:00.0,Turnover by Team (shot clock),,73,65
3,5:00.0,J. Bolden enters the game for W. Chandler,,73,65
3,5:00.0,T. McConnell enters the game for J. Embiid,,73,65
3,5:00.0,L. Shamet enters the game for J. Redick,,73,65
3,4:51.0,,B. Bogdanović makes 2-pt dunk from 2 ft (assist by D. Collison),73,67
3,4:51.0,Philadelphia full timeout,,73,67
3,4:31.0,J. Butler makes 2-pt layup from 2 ft,,75,67
3,4:07.0,,Turnover by T. Young (lost ball; steal by T. McConnell),75,67
3,4:01.0,J. Butler makes 2-pt layup at rim (assist by T. McConnell),,77,67
3,3:41.0,,V. Oladipo misses 2-pt jump shot from 12 ft,77,67
3,3:38.0,Defensive rebound by J. Bolden,,77,67
3,3:14.0,Turnover by J. Bolden (bad pass; steal by M. Turner),,77,67
3,3:11.0,,D. Collison misses 2-pt layup from 2 ft (block by T. McConnell),77,67
3,3:09.0,,Offensive rebound by T. Young,77,67
3,3:08.0,,T. Young makes 2-pt jump shot from 5 ft,77,69
3,2:46.0,L. Shamet misses 2-pt jump shot from 11 ft,,77,69
3,2:44.0,Offensive rebound by J. Bolden,,77,69
3,2:42.0,T. McConnell misses 2-pt jump shot from 6 ft,,77,69
3,2:38.0,Offensive rebound by B. Simmons,,77,69
3,2:38.0,B. Simmons misses 2-pt layup from 1 ft,,77,69
3,2:38.0,,Defensive rebound by M. Turner,77,69
3,2:17.0,,Turnover by T. Young (bad pass),77,69
3,2:17.0,W. Chandler enters the game for J. Bolden,,77,69
3,2:17.0,J. Embiid enters the game for J. Butler,,77,69
3,2:17.0,M. Muscala enters the game for L. Shamet,,77,69
3,2:17.0,J. Redick enters the game for B. Simmons,,77,69
3,2:17.0,,C. Joseph enters the game for B. Bogdanović,77,69
3,2:17.0,,D. Sabonis enters the game for T. Young,77,69
3,2:07.0,M. Muscala makes 2-pt layup from 1 ft (assist by T. McConnell),,79,69
3,1:57.0,,M. Turner misses 3-pt jump shot from 26 ft,79,69
3,1:52.0,Defensive rebound by J. Embiid,,79,69
3,1:37.0,Turnover by W. Chandler (bad pass),,79,69
3,1:37.0,,T. Evans enters the game for D. Collison,79,69
3,1:26.0,,V. Oladipo misses 2-pt jump shot from 19 ft,79,69
3,1:23.0,,Offensive rebound by C. Joseph,79,69
3,1:15.0,,V. Oladipo makes 2-pt layup from 2 ft,79,71
3,0:56.0,J. Embiid makes 2-pt layup from 1 ft (assist by J. Redick),,81,71
3,0:47.0,,D. Sabonis misses 2-pt jump shot from 16 ft,81,71
3,0:44.0,Defensive rebound by J. Embiid,,81,71
3,0:34.0,J. Redick makes 3-pt jump shot from 27 ft (assist by J. Embiid),,84,71
3,0:13.0,,T. Evans misses 3-pt jump shot from 23 ft,84,71
3,0:09.0,Defensive rebound by T. McConnell,,84,71
3,0:03.0,T. McConnell makes 2-pt jump shot from 2 ft,,86,71
3,0:00.0,,C. Joseph misses 3-pt jump shot from 33 ft,86,71
3,0:00.0,,Offensive rebound by Team,86,71
4,11:52.0,Personal foul by D. Sabonis (drawn by J. Embiid),,86,71
4,11:42.0,J. Embiid makes 2-pt dunk from 2 ft (assist by J. Redick),,88,71
4,11:28.0,,Shooting foul by W. Chandler (drawn by B. Bogdanović),88,71
4,11:28.0,,B. Bogdanović makes free throw 1 of 2,88,72
4,11:28.0,,B. Bogdanović makes free throw 2 of 2,88,73
4,11:13.0,J. Redick makes 3-pt jump shot from 27 ft (assist by T. McConnell),,91,73
4,11:00.0,,C. Joseph makes 2-pt jump shot from 11 ft,91,75
4,10:42.0,Turnover by J. Redick (out of bounds lost ball),,91,75
4,10:25.0,,T. Evans misses 2-pt layup from 2 ft,91,75
4,10:23.0,,Offensive rebound by D. Sabonis,91,75
4,10:23.0,,D. Sabonis makes 2-pt layup at rim,91,77
4,10:03.0,W. Chandler misses 2-pt jump shot from 9 ft,,91,77
4,10:01.0,Offensive rebound by M. Muscala,,91,77
4,10:01.0,Turnover by Team (shot clock),,91,77
4,9:47.0,,T. Evans misses 2-pt jump shot from 21 ft,91,77
4,9:45.0,Defensive rebound by Team,,91,77
4,9:35.0,Offensive foul by J. Embiid (drawn by C. Joseph),,91,77
4,9:35.0,Turnover by J. Embiid (offensive foul),,91,77
4,9:24.0,,D. McDermott makes 2-pt layup from 2 ft (assist by C. Joseph),91,79
4,9:15.0,Personal foul by T. Evans (drawn by T. McConnell),,91,79
4,9:02.0,Turnover by J. Embiid (bad pass),,91,79
4,9:02.0,B. Simmons enters the game for T. McConnell,,91,79
4,8:48.0,,B. Bogdanović misses 2-pt layup from 3 ft (block by J. Embiid),91,79
4,8:46.0,,Offensive rebound by D. McDermott,91,79
4,8:36.0,,T. Evans misses 2-pt jump shot from 7 ft,91,79
4,8:34.0,Defensive rebound by M. Muscala,,91,79
4,8:29.0,W. Chandler misses 3-pt jump shot from 27 ft,,91,79
4,8:26.0,,Defensive rebound by T. Evans,91,79
4,8:22.0,,T. Evans makes 2-pt layup from 6 ft,91,81
4,8:21.0,Philadelphia full timeout,,91,81
4,8:21.0,J. Butler enters the game for W. Chandler,,91,81
4,8:21.0,,T. Young enters the game for B. Bogdanović,91,81
4,8:06.0,Turnover by J. Embiid (bad pass; steal by D. Sabonis),,91,81
4,8:00.0,,T. Evans makes 2-pt layup from 2 ft (assist by C. Joseph),91,83
4,7:46.0,J. Embiid makes 3-pt jump shot from 27 ft (assist by B. Simmons),,94,83
4,7:28.0,,D. McDermott misses 3-pt jump shot from 28 ft,94,83
4,7:26.0,Defensive rebound by J. Embiid,,94,83
4,7:08.0,M. Muscala makes 3-pt jump shot from 23 ft (assist by B. Simmons),,97,83
4,7:07.0,,Indiana full timeout,97,83
4,7:07.0,J. Bolden enters the game for J. Embiid,,97,83
4,7:07.0,L. Shamet enters the game for J. Redick,,97,83
4,7:07.0,,B. Bogdanović enters the game for T. Evans,97,83
4,7:07.0,,V. Oladipo enters the game for D. McDermott,97,83
4,6:54.0,,T. Young misses 2-pt jump shot from 6 ft,97,83
4,6:50.0,Defensive rebound by B. Simmons,,97,83
4,6:42.0,M. Muscala misses 3-pt jump shot from 23 ft,,97,83
4,6:39.0,,Defensive rebound by T. Young,97,83
4,6:27.0,,C. Joseph makes 2-pt jump shot from 11 ft,97,85
4,6:03.0,M. Muscala makes 3-pt jump shot from 24 ft (assist by J. Butler),,100,85
4,5:51.0,,V. Oladipo makes 2-pt jump shot from 18 ft,100,87
4,5:36.0,Personal foul by B. Bogdanović (drawn by J. Butler),,100,87
4,5:36.0,,D. Collison enters the game for C. Joseph,100,87
4,5:36.0,,M. Turner enters the game for D. Sabonis,100,87
4,5:24.0,J. Butler misses 2-pt jump shot from 18 ft,,100,87
4,5:21.0,,Defensive rebound by D. Collison,100,87
4,5:20.0,,Turnover by D. Collison (traveling),100,87
4,5:09.0,B. Simmons makes 2-pt layup from 1 ft,,102,87
4,4:55.0,,V. Oladipo misses 2-pt layup from 3 ft,102,87
4,4:52.0,Defensive rebound by J. Butler,,102,87
4,4:40.0,J. Butler misses 2-pt layup from 3 ft,,102,87
4,4:39.0,,Defensive rebound by Team,102,87
4,4:31.0,,B. Bogdanović misses 3-pt jump shot from 27 ft,102,87
4,4:27.0,Defensive rebound by L. Shamet,,102,87
4,4:05.0,J. Butler makes 2-pt jump shot from 13 ft,,104,87
4,4:03.0,,Indiana full timeout,104,87
4,4:03.0,W. Chandler enters the game for J. Bolden,,104,87
4,4:03.0,J. Embiid enters the game for M. Muscala,,104,87
4,4:03.0,J. Redick enters the game for L. Shamet,,104,87
4,3:50.0,,T. Young makes 2-pt layup from 9 ft,104,89
4,3:31.0,B. Simmons makes 2-pt hook shot from 4 ft (assist by J. Butler),,106,89
4,3:23.0,,Turnover by V. Oladipo (lost ball; steal by W. Chandler),106,89
4,3:21.0,Shooting foul by M. Turner (drawn by J. Butler),,106,89
4,3:21.0,J. Butler makes free throw 1 of 2,,107,89
4,3:21.0,J. Butler makes free throw 2 of 2,,108,89
4,3:04.0,,V. Oladipo makes 2-pt jump shot from 21 ft,108,91
4,2:47.0,J. Butler makes 2-pt jump shot from 20 ft (assist by B. Simmons),,110,91
4,2:32.0,,T. Young makes 3-pt jump shot from 26 ft (assist by V. Oladipo),110,94
4,2:14.0,J. Butler misses 2-pt layup from 2 ft,,110,94
4,2:11.0,,Defensive rebound by M. Turner,110,94
4,2:07.0,,Turnover by D. Collison (bad pass; steal by J. Butler),110,94
