QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,CHICAGO_ACTION,SACRAMENTO_SCORE,CHICAGO_SCORE
1,4:39.0,,Loose ball foul by K. Dunn (drawn by B. Bogdanović),19,21
1,4:29.0,Shooting foul by J. Parker (drawn by M. Bagley),,19,21
1,4:29.0,M. Bagley makes free throw 1 of 2,,20,21
1,4:29.0,M. Bagley makes free throw 2 of 2,,21,21
1,4:11.0,,Turnover by Z. LaVine (lost ball; steal by I. Shumpert),21,21
1,3:50.0,W. Cauley-Stein misses 2-pt jump shot from 16 ft,,21,21
1,3:48.0,,Defensive rebound by J. Parker,21,21
1,3:41.0,,Shooting foul by M. Bagley (drawn by J. Holiday),21,21
1,3:41.0,K. Koufos enters the game for W. Cauley-Stein,,21,21
1,3:41.0,F. Mason enters the game for B. Hield,,21,21
1,3:41.0,,B. Portis enters the game for Z. LaVine,21,21
1,3:41.0,,J. Holiday makes free throw 1 of 2,21,22
1,3:41.0,,J. Holiday makes free throw 2 of 2,21,23
1,3:26.0,I. Shumpert misses 3-pt jump shot from 25 ft,,21,23
1,3:22.0,,Defensive rebound by B. Portis,21,23
1,3:14.0,,J. Holiday misses 2-pt jump shot from 8 ft (block by F. Mason),21,23
1,3:11.0,Defensive rebound by B. Bogdanović,,21,23
1,3:09.0,M. Bagley makes 2-pt layup from 1 ft (assist by B. Bogdanović),,23,23
1,2:47.0,,J. Parker misses 2-pt jump shot from 14 ft,23,23
1,2:40.0,,Offensive rebound by B. Portis,23,23
1,2:39.0,,B. Portis makes 2-pt jump shot from 7 ft,23,25
1,2:23.0,F. Mason misses 2-pt layup from 1 ft,,23,25
1,2:21.0,,Defensive rebound by W. Carter,23,25
1,2:17.0,,K. Dunn makes 2-pt layup from 4 ft,23,27
1,2:17.0,,Shooting foul by K. Koufos (drawn by K. Dunn),23,27
1,2:17.0,J. Jackson enters the game for I. Shumpert,,23,27
1,2:17.0,,K. Dunn makes free throw 1 of 1,23,28
1,1:55.0,Shooting foul by K. Dunn (drawn by B. Bogdanović),,23,28
1,1:55.0,B. Bogdanović makes free throw 1 of 2,,24,28
1,1:55.0,B. Bogdanović misses free throw 2 of 2,,24,28
1,1:54.0,,Defensive rebound by K. Dunn,24,28
1,1:54.0,,Personal foul by M. Bagley (drawn by K. Dunn),24,28
1,1:54.0,,K. Dunn makes free throw 1 of 2,24,29
1,1:54.0,,K. Dunn makes free throw 2 of 2,24,30
1,1:44.0,J. Jackson misses 3-pt jump shot from 24 ft,,24,30
1,1:40.0,,Defensive rebound by B. Portis,24,30
1,1:25.0,,Turnover by J. Parker (bad pass),24,30
1,1:09.0,K. Koufos misses 2-pt hook shot from 8 ft,,24,30
1,1:06.0,,Defensive rebound by B. Portis,24,30
1,1:02.0,,W. Carter makes 2-pt jump shot from 5 ft (assist by K. Dunn),24,32
1,1:02.0,,Shooting foul by B. Bogdanović (drawn by W. Carter),24,32
1,1:02.0,,W. Carter makes free throw 1 of 1,24,33
1,0:55.0,Turnover by F. Mason (out of bounds lost ball),,24,33
1,0:40.0,,Turnover by J. Holiday (bad pass; steal by K. Koufos),24,33
1,0:35.0,J. Jackson makes 2-pt jump shot from 4 ft,,26,33
1,0:18.0,,Turnover by W. Carter (bad pass; steal by J. Jackson),26,33
1,0:02.0,F. Mason misses 3-pt jump shot from 25 ft,,26,33
1,0:02.0,Offensive rebound by J. Jackson,,26,33
1,0:00.0,J. Jackson misses 2-pt jump shot from 16 ft,,26,33
1,0:00.0,Offensive rebound by Team,,26,33
2,11:45.0,B. Bogdanović makes 2-pt jump shot from 18 ft (assist by F. Mason),,28,33
2,11:25.0,,Turnover by R. Lopez (3 sec),28,33
2,11:06.0,K. Koufos makes 2-pt hook shot from 10 ft (assist by F. Mason),,30,33
2,10:51.0,,R. Lopez misses 2-pt jump shot from 19 ft,30,33
2,10:49.0,Defensive rebound by F. Mason,,30,33
2,10:45.0,J. Jackson misses 3-pt jump shot from 26 ft,,30,33
2,10:42.0,,Defensive rebound by B. Portis,30,33
2,10:34.0,,K. Dunn makes 2-pt layup from 2 ft,30,35
2,10:13.0,B. Bogdanović misses 2-pt layup from 2 ft,,30,35
2,10:11.0,Offensive rebound by B. Bogdanović,,30,35
2,10:08.0,M. Bagley makes 2-pt dunk at rim (assist by F. Mason),,32,35
2,9:53.0,,B. Portis makes 3-pt jump shot from 26 ft (assist by K. Dunn),32,38
2,9:37.0,Personal foul by B. Portis (drawn by M. Bagley),,32,38
2,9:25.0,Shooting foul by B. Portis (drawn by M. Bagley),,32,38
2,9:25.0,M. Bagley misses free throw 1 of 2,,32,38
2,9:25.0,Offensive rebound by Team,,32,38
2,9:25.0,M. Bagley makes free throw 2 of 2,,33,38
2,9:15.0,,Turnover by K. Dunn (bad pass; steal by B. Bogdanović),33,38
2,9:08.0,J. Jackson makes 2-pt jump shot from 6 ft (assist by B. Bogdanović),,35,38
2,8:55.0,,B. Portis makes 2-pt layup from 2 ft,35,40
2,8:43.0,M. Bagley makes 3-pt jump shot from 25 ft (assist by F. Mason),,38,40
2,8:24.0,,S. Harrison misses 3-pt jump shot from 24 ft,38,40
2,8:21.0,Defensive rebound by K. Koufos,,38,40
2,8:08.0,,Chicago full timeout,38,40
2,8:08.0,N. Bjelica enters the game for K. Koufos,,38,40
2,8:06.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,38,40
2,8:01.0,,Defensive rebound by B. Portis,38,40
2,7:47.0,,J. Parker makes 2-pt layup from 3 ft,38,42
2,7:29.0,Turnover by N. Bjelica (lost ball; steal by S. Harrison),,38,42
2,7:29.0,D. Fox enters the game for F. Mason,,38,42
2,7:21.0,,J. Parker makes 2-pt layup from 1 ft,38,44
2,7:01.0,M. Bagley misses 2-pt layup from 2 ft (block by R. Lopez),,38,44
2,6:58.0,,Defensive rebound by R. Lopez,38,44
2,6:52.0,,K. Dunn misses 3-pt jump shot from 23 ft,38,44
2,6:49.0,Defensive rebound by M. Bagley,,38,44
2,6:25.0,N. Bjelica misses 2-pt jump shot from 6 ft,,38,44
2,6:25.0,Offensive rebound by N. Bjelica,,38,44
2,6:25.0,Personal foul by J. Parker (drawn by N. Bjelica),,38,44
2,6:25.0,I. Shumpert enters the game for J. Jackson,,38,44
2,6:25.0,,R. Arcidiacono enters the game for K. Dunn,38,44
2,6:25.0,,Z. LaVine enters the game for S. Harrison,38,44
2,6:25.0,,L. Markkanen enters the game for B. Portis,38,44
2,6:17.0,I. Shumpert misses 3-pt jump shot from 23 ft,,38,44
2,6:14.0,,Defensive rebound by J. Parker,38,44
2,6:09.0,,Turnover by J. Parker (bad pass),38,44
2,5:54.0,B. Bogdanović makes 2-pt jump shot from 10 ft,,40,44
2,5:34.0,,R. Lopez makes 2-pt dunk from 1 ft,40,46
2,5:25.0,D. Fox misses 2-pt jump shot from 14 ft,,40,46
2,5:22.0,,Defensive rebound by J. Parker,40,46
2,5:14.0,,J. Parker misses 2-pt jump shot from 7 ft,40,46
2,5:12.0,Defensive rebound by D. Fox,,40,46
2,5:06.0,Offensive foul by N. Bjelica (drawn by L. Markkanen),,40,46
2,5:06.0,Turnover by N. Bjelica (offensive foul),,40,46
2,5:06.0,W. Cauley-Stein enters the game for M. Bagley,,40,46
2,5:06.0,,J. Holiday enters the game for J. Parker,40,46
2,4:50.0,,R. Lopez misses 2-pt hook shot from 7 ft,40,46
2,4:47.0,Defensive rebound by W. Cauley-Stein,,40,46
2,4:41.0,W. Cauley-Stein misses 2-pt jump shot from 14 ft,,40,46
2,4:38.0,,Defensive rebound by L. Markkanen,40,46
2,4:29.0,,R. Lopez makes 2-pt hook shot from 4 ft (assist by L. Markkanen),40,48
2,4:18.0,N. Bjelica misses 3-pt jump shot from 29 ft,,40,48
2,4:17.0,,Defensive rebound by R. Arcidiacono,40,48
2,3:58.0,,R. Lopez makes 2-pt hook shot from 5 ft,40,50
2,3:58.0,Sacramento full timeout,,40,50
2,3:58.0,B. Hield enters the game for B. Bogdanović,,40,50
2,3:45.0,N. Bjelica makes 2-pt jump shot from 21 ft (assist by W. Cauley-Stein),,42,50
2,3:19.0,,L. Markkanen misses 3-pt jump shot from 25 ft,42,50
2,3:15.0,,Offensive rebound by R. Arcidiacono,42,50
2,3:01.0,,R. Arcidiacono misses 2-pt layup from 3 ft,42,50
2,2:59.0,Defensive rebound by W. Cauley-Stein,,42,50
2,2:55.0,B. Hield misses 3-pt jump shot from 25 ft,,42,50
2,2:51.0,,Defensive rebound by R. Arcidiacono,42,50
2,2:48.0,,Offensive foul by R. Lopez (drawn by I. Shumpert),42,50
2,2:48.0,,Turnover by R. Lopez (offensive foul),42,50
2,2:48.0,,W. Carter enters the game for R. Lopez,42,50
2,2:38.0,D. Fox misses 2-pt layup from 4 ft,,42,50
2,2:35.0,,Defensive rebound by J. Holiday,42,50
2,2:30.0,,W. Carter makes 2-pt dunk from 1 ft (assist by Z. LaVine),42,52
2,2:17.0,W. Cauley-Stein misses 2-pt layup from 1 ft,,42,52
2,2:17.0,,Defensive rebound by L. Markkanen,42,52
2,2:07.0,,Z. LaVine misses 2-pt layup from 3 ft (block by D. Fox),42,52
2,2:07.0,,Offensive rebound by Team,42,52
2,2:04.0,,J. Holiday makes 2-pt jump shot from 14 ft (assist by R. Arcidiacono),42,54
2,1:49.0,D. Fox misses 3-pt jump shot from 25 ft,,42,54
2,1:45.0,,Defensive rebound by Z. LaVine,42,54
2,1:40.0,,L. Markkanen misses 3-pt jump shot from 26 ft,42,54
2,1:38.0,,Offensive rebound by R. Arcidiacono,42,54
2,1:30.0,,Personal foul by W. Cauley-Stein (drawn by Z. LaVine),42,54
2,1:27.0,,Offensive foul by W. Carter (drawn by I. Shumpert),42,54
2,1:27.0,,Turnover by W. Carter (offensive foul),42,54
2,1:10.0,B. Hield misses 3-pt jump shot from 27 ft,,42,54
2,1:09.0,Offensive rebound by Team,,42,54
2,1:07.0,Turnover by I. Shumpert (bad pass; steal by J. Holiday),,42,54
2,1:01.0,,W. Carter misses 2-pt layup from 2 ft,42,54
2,1:00.0,,Offensive rebound by Z. LaVine,42,54
2,1:00.0,,Z. LaVine makes 2-pt dunk at rim,42,56
2,0:46.0,B. Hield makes 3-pt jump shot from 25 ft (assist by N. Bjelica),,45,56
2,0:21.0,,W. Carter misses 2-pt layup from 2 ft,45,56
2,0:19.0,Defensive rebound by N. Bjelica,,45,56
2,0:07.0,Personal take foul by R. Arcidiacono (drawn by D. Fox),,45,56
2,0:07.0,,K. Dunn enters the game for R. Arcidiacono,45,56
2,0:07.0,,S. Harrison enters the game for J. Holiday,45,56
2,0:01.0,Turnover by N. Bjelica (lost ball; steal by L. Markkanen),,45,56
2,0:00.0,,L. Markkanen misses 3-pt jump shot from 58 ft,45,56
2,0:00.0,,Offensive rebound by Team,45,56
3,11:38.0,I. Shumpert misses 2-pt jump shot from 10 ft,,45,56
3,11:36.0,,Defensive rebound by L. Markkanen,45,56
3,11:18.0,,L. Markkanen misses 3-pt jump shot from 24 ft,45,56
3,11:15.0,Defensive rebound by W. Cauley-Stein,,45,56
3,11:11.0,Shooting foul by R. Arcidiacono (drawn by D. Fox),,45,56
3,11:11.0,D. Fox misses free throw 1 of 2,,45,56
3,11:11.0,Offensive rebound by Team,,45,56
3,11:11.0,D. Fox makes free throw 2 of 2,,46,56
3,10:49.0,,J. Holiday misses 3-pt jump shot from 25 ft,46,56
3,10:47.0,Defensive rebound by D. Fox,,46,56
3,10:37.0,I. Shumpert misses 2-pt layup from 3 ft,,46,56
3,10:35.0,,Defensive rebound by J. Holiday,46,56
3,10:20.0,,Turnover by J. Holiday (bad pass; steal by I. Shumpert),46,56
3,10:16.0,Turnover by I. Shumpert (bad pass; steal by J. Holiday),,46,56
3,10:11.0,,Shooting foul by D. Fox (drawn by Z. LaVine),46,56
3,10:11.0,,Z. LaVine makes free throw 1 of 2,46,57
3,10:11.0,,Z. LaVine makes free throw 2 of 2,46,58
3,9:50.0,I. Shumpert makes 3-pt jump shot from 24 ft (assist by B. Hield),,49,58
3,9:35.0,,L. Markkanen makes 3-pt jump shot from 25 ft (assist by Z. LaVine),49,61
3,9:24.0,D. Fox misses 2-pt layup from 4 ft,,49,61
3,9:21.0,,Defensive rebound by L. Markkanen,49,61
3,9:07.0,,J. Holiday misses 3-pt jump shot from 23 ft,49,61
3,9:04.0,Defensive rebound by W. Cauley-Stein,,49,61
3,8:57.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by D. Fox),,51,61
3,8:38.0,,Turnover by L. Markkanen (lost ball; steal by D. Fox),51,61
3,8:36.0,Turnover by D. Fox (lost ball; steal by Z. LaVine),,51,61
3,8:20.0,,Z. LaVine makes 2-pt layup from 1 ft,51,63
3,8:04.0,Turnover by I. Shumpert (lost ball; steal by W. Carter),,51,63
3,7:45.0,,Z. LaVine misses 3-pt jump shot from 23 ft,51,63
3,7:41.0,Defensive rebound by W. Cauley-Stein,,51,63
3,7:25.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by I. Shumpert),,53,63
3,7:06.0,,L. Markkanen misses 3-pt jump shot from 23 ft,53,63
3,7:03.0,Defensive rebound by N. Bjelica,,53,63
3,6:57.0,N. Bjelica misses 3-pt jump shot from 26 ft,,53,63
3,6:55.0,Offensive rebound by N. Bjelica,,53,63
3,6:53.0,N. Bjelica makes 2-pt layup from 2 ft,,55,63
3,6:53.0,,Chicago full timeout,55,63
3,6:53.0,,K. Dunn enters the game for R. Arcidiacono,55,63
3,6:35.0,,Turnover by J. Holiday (lost ball; steal by D. Fox),55,63
3,6:29.0,I. Shumpert makes 2-pt layup from 1 ft (assist by D. Fox),,57,63
3,6:22.0,,L. Markkanen misses 2-pt layup from 2 ft (block by N. Bjelica),57,63
3,6:22.0,,Offensive rebound by Team,57,63
3,6:22.0,,J. Parker enters the game for L. Markkanen,57,63
3,6:14.0,,J. Holiday misses 3-pt jump shot from 25 ft,57,63
3,6:10.0,Defensive rebound by W. Cauley-Stein,,57,63
3,6:03.0,Turnover by I. Shumpert (bad pass),,57,63
3,5:45.0,,Z. LaVine makes 3-pt jump shot from 28 ft (assist by W. Carter),57,66
3,5:45.0,M. Bagley enters the game for N. Bjelica,,57,66
3,5:25.0,Shooting foul by K. Dunn (drawn by D. Fox),,57,66
3,5:25.0,D. Fox makes free throw 1 of 2,,58,66
3,5:25.0,D. Fox makes free throw 2 of 2,,59,66
3,5:11.0,,Turnover by Z. LaVine (bad pass; steal by D. Fox),59,66
3,5:07.0,D. Fox makes 2-pt dunk from 1 ft,,61,66
3,4:56.0,,Turnover by J. Parker (lost ball; steal by D. Fox),61,66
3,4:49.0,I. Shumpert makes 3-pt jump shot from 25 ft (assist by B. Hield),,64,66
3,4:48.0,,Chicago full timeout,64,66
3,4:48.0,B. Bogdanović enters the game for B. Hield,,64,66
3,4:26.0,,J. Parker makes 3-pt jump shot from 25 ft (assist by K. Dunn),64,69
3,4:07.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,64,69
3,4:02.0,,Defensive rebound by K. Dunn,64,69
3,3:51.0,,Z. LaVine misses 2-pt jump shot from 23 ft,64,69
3,3:48.0,Defensive rebound by W. Cauley-Stein,,64,69
3,3:41.0,D. Fox makes 3-pt jump shot from 25 ft,,67,69
3,3:28.0,,W. Carter makes 2-pt layup from 3 ft (assist by K. Dunn),67,71
3,3:28.0,,Shooting foul by W. Cauley-Stein (drawn by W. Carter),67,71
3,3:28.0,K. Koufos enters the game for W. Cauley-Stein,,67,71
3,3:28.0,,W. Carter makes free throw 1 of 1,67,72
3,3:13.0,D. Fox makes 3-pt jump shot from 22 ft (assist by I. Shumpert),,70,72
3,3:04.0,,K. Dunn makes 2-pt jump shot from 4 ft,70,74
3,2:51.0,M. Bagley misses 2-pt layup from 3 ft,,70,74
3,2:49.0,,Defensive rebound by W. Carter,70,74
3,2:32.0,,Turnover by K. Dunn (bad pass; steal by I. Shumpert),70,74
3,2:25.0,D. Fox makes 2-pt jump shot from 6 ft,,72,74
3,2:06.0,,J. Parker misses 2-pt jump shot from 19 ft,72,74
3,2:04.0,Defensive rebound by K. Koufos,,72,74
3,1:58.0,I. Shumpert misses 3-pt jump shot from 25 ft,,72,74
3,1:56.0,Offensive rebound by Team,,72,74
3,1:56.0,B. Hield enters the game for I. Shumpert,,72,74
3,1:56.0,,B. Portis enters the game for W. Carter,72,74
3,1:50.0,B. Hield makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,75,74
3,1:30.0,,Turnover by Z. LaVine (traveling),75,74
3,1:23.0,Personal foul by K. Dunn (drawn by D. Fox),,75,74
3,1:08.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,75,74
3,1:06.0,,Defensive rebound by Team,75,74
3,0:46.0,,Turnover by J. Parker (lost ball; steal by B. Bogdanović),75,74
3,0:43.0,B. Hield makes 3-pt jump shot from 25 ft (assist by D. Fox),,78,74
3,0:32.0,,B. Portis misses 3-pt jump shot from 25 ft,78,74
3,0:32.0,Defensive rebound by B. Hield,,78,74
3,0:08.0,D. Fox misses 3-pt jump shot from 27 ft,,78,74
3,0:04.0,Offensive rebound by D. Fox,,78,74
3,0:00.0,D. Fox makes 3-pt jump shot from 25 ft (assist by B. Hield),,81,74
4,11:40.0,,B. Portis misses 2-pt layup from 2 ft (block by K. Koufos),81,74
4,11:37.0,Defensive rebound by B. Hield,,81,74
4,11:34.0,Turnover by B. Hield (lost ball; steal by S. Harrison),,81,74
4,11:33.0,,Personal foul by K. Koufos (drawn by S. Harrison),81,74
4,11:21.0,,R. Arcidiacono makes 2-pt layup from 3 ft,81,76
4,10:57.0,M. Bagley misses 2-pt layup from 1 ft,,81,76
4,10:55.0,,Defensive rebound by C. Hutchison,81,76
4,10:46.0,,Turnover by S. Harrison (out of bounds lost ball),81,76
4,10:29.0,B. Hield makes 2-pt layup from 1 ft,,83,76
4,10:18.0,,B. Portis misses 2-pt jump shot from 22 ft,83,76
4,10:13.0,Defensive rebound by D. Fox,,83,76
4,10:01.0,D. Fox makes 3-pt jump shot from 27 ft,,86,76
4,9:40.0,,S. Harrison makes 2-pt layup from 1 ft (assist by B. Portis),86,78
4,9:32.0,D. Fox makes 2-pt layup from 1 ft,,88,78
4,9:27.0,,Shooting foul by K. Koufos (drawn by B. Portis),88,78
4,9:27.0,Sacramento full timeout,,88,78
4,9:27.0,,B. Portis makes free throw 1 of 2,88,79
4,9:27.0,,B. Portis makes free throw 2 of 2,88,80
4,9:03.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,88,80
4,9:03.0,Offensive rebound by Team,,88,80
4,9:03.0,Turnover by Team (shot clock),,88,80
4,8:47.0,,L. Markkanen makes 2-pt jump shot from 5 ft,88,82
4,8:38.0,D. Fox misses 2-pt layup from 3 ft (block by B. Portis),,88,82
4,8:36.0,,Defensive rebound by B. Portis,88,82
4,8:31.0,,B. Portis misses 2-pt jump shot from 19 ft,88,82
4,8:28.0,Defensive rebound by B. Bogdanović,,88,82
4,8:21.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Fox),,91,82
4,8:02.0,,S. Harrison makes 2-pt layup from 2 ft,91,84
4,7:52.0,K. Koufos misses 2-pt hook shot from 9 ft,,91,84
4,7:49.0,Offensive rebound by M. Bagley,,91,84
4,7:49.0,Shooting foul by L. Markkanen (drawn by M. Bagley),,91,84
4,7:49.0,M. Bagley makes free throw 1 of 2,,92,84
4,7:49.0,,J. Holiday enters the game for R. Arcidiacono,92,84
4,7:49.0,,Z. LaVine enters the game for C. Hutchison,92,84
4,7:49.0,M. Bagley makes free throw 2 of 2,,93,84
4,7:38.0,,Turnover by Z. LaVine (traveling),93,84
4,7:38.0,W. Cauley-Stein enters the game for D. Fox,,93,84
4,7:38.0,I. Shumpert enters the game for K. Koufos,,93,84
4,7:18.0,B. Hield makes 3-pt jump shot from 25 ft (assist by I. Shumpert),,96,84
4,6:59.0,,Turnover by S. Harrison (lost ball; steal by I. Shumpert),96,84
4,6:53.0,W. Cauley-Stein misses 2-pt layup from 3 ft,,96,84
4,6:50.0,,Defensive rebound by J. Holiday,96,84
4,6:42.0,,Turnover by L. Markkanen (palming),96,84
4,6:42.0,,W. Carter enters the game for B. Portis,96,84
4,6:29.0,B. Bogdanović misses 2-pt jump shot from 20 ft,,96,84
4,6:26.0,,Defensive rebound by W. Carter,96,84
4,6:20.0,,Z. LaVine misses 2-pt layup from 1 ft,96,84
4,6:17.0,Defensive rebound by W. Cauley-Stein,,96,84
4,6:09.0,Offensive foul by W. Cauley-Stein (drawn by Z. LaVine),,96,84
4,6:09.0,Turnover by W. Cauley-Stein (offensive foul),,96,84
4,6:09.0,,Chicago full timeout,96,84
4,6:09.0,,R. Arcidiacono enters the game for S. Harrison,96,84
4,5:56.0,,R. Arcidiacono misses 3-pt jump shot from 26 ft,96,84
4,5:51.0,Defensive rebound by B. Bogdanović,,96,84
4,5:27.0,B. Bogdanović makes 2-pt jump shot from 3 ft,,98,84
4,5:08.0,,Z. LaVine misses 3-pt jump shot from 27 ft,98,84
4,5:05.0,Defensive rebound by W. Cauley-Stein,,98,84
4,4:52.0,B. Hield misses 3-pt jump shot from 25 ft,,98,84
4,4:49.0,,Defensive rebound by W. Carter,98,84
4,4:43.0,,L. Markkanen misses 3-pt jump shot from 25 ft,98,84
4,4:40.0,Defensive rebound by W. Cauley-Stein,,98,84
4,4:21.0,M. Bagley makes 2-pt jump shot from 2 ft (assist by I. Shumpert),,100,84
4,4:03.0,,L. Markkanen makes 2-pt jump shot from 9 ft,100,86
4,3:52.0,Personal foul by Z. LaVine (drawn by B. Hield),,100,86
4,3:38.0,W. Cauley-Stein misses 2-pt hook shot from 5 ft,,100,86
4,3:35.0,,Defensive rebound by W. Carter,100,86
4,3:29.0,,Z. LaVine misses 2-pt layup from 1 ft,100,86
4,3:27.0,Defensive rebound by W. Cauley-Stein,,100,86
4,3:22.0,M. Bagley misses 2-pt layup from 1 ft,,100,86
4,3:20.0,,Defensive rebound by R. Arcidiacono,100,86
4,3:16.0,,L. Markkanen misses 2-pt layup from 2 ft,100,86
4,3:16.0,Defensive rebound by B. Bogdanović,,100,86
4,3:16.0,Sacramento full timeout,,100,86
4,3:16.0,D. Fox enters the game for M. Bagley,,100,86
4,2:55.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,100,86
4,2:53.0,Offensive rebound by W. Cauley-Stein,,100,86
4,2:50.0,W. Cauley-Stein misses 2-pt layup from 2 ft (block by W. Carter),,100,86
4,2:50.0,Offensive rebound by W. Cauley-Stein,,100,86
4,2:46.0,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by W. Cauley-Stein),,103,86
4,2:31.0,,J. Holiday misses 3-pt jump shot from 25 ft,103,86
4,2:27.0,Defensive rebound by B. Hield,,103,86
4,2:24.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by B. Hield),,106,86
4,2:08.0,,Turnover by W. Carter (offensive foul),106,86
