QUARTER,TIME_REMAINING,PHOENIX_ACTION,MILWAUKEE_ACTION,PHOENIX_SCORE,MILWAUKEE_SCORE
2,10:59.0,,B. Lopez enters the game for E. İlyasova,37,32
2,10:52.0,,B. Lopez makes 2-pt dunk from 1 ft (assist by T. Snell),37,34
2,10:33.0,J. Crawford misses 2-pt jump shot from 17 ft (block by P. Connaughton),,37,34
2,10:31.0,,Defensive rebound by T. Snell,37,34
2,10:28.0,,P. Connaughton makes 2-pt layup from 1 ft (assist by T. Snell),37,36
2,10:14.0,Personal foul by B. Lopez (drawn by J. Crawford),,37,36
2,10:14.0,,S. Brown enters the game for P. Connaughton,37,36
2,9:59.0,I. Canaan misses 2-pt jump shot from 19 ft,,37,36
2,9:56.0,,Defensive rebound by S. Brown,37,36
2,9:56.0,T. Ariza enters the game for T. Warren,,37,36
2,9:42.0,,K. Middleton misses 3-pt jump shot from 27 ft,37,36
2,9:39.0,Defensive rebound by J. Crawford,,37,36
2,9:26.0,J. Crawford misses 2-pt jump shot from 16 ft,,37,36
2,9:24.0,,Defensive rebound by M. Brogdon,37,36
2,9:14.0,,M. Brogdon makes 2-pt layup from 2 ft,37,38
2,9:01.0,Shooting foul by K. Middleton (drawn by J. Jackson),,37,38
2,9:01.0,J. Jackson misses free throw 1 of 2,,37,38
2,9:01.0,Offensive rebound by Team,,37,38
2,9:01.0,J. Jackson makes free throw 2 of 2,,38,38
2,8:50.0,,B. Lopez misses 2-pt jump shot from 6 ft,38,38
2,8:47.0,Defensive rebound by D. Ayton,,38,38
2,8:40.0,J. Crawford makes 2-pt jump shot from 18 ft,,40,38
2,8:29.0,,Shooting foul by J. Jackson (drawn by K. Middleton),40,38
2,8:29.0,,K. Middleton makes free throw 1 of 2,40,39
2,8:29.0,M. Bridges enters the game for J. Jackson,,40,39
2,8:29.0,,K. Middleton makes free throw 2 of 2,40,40
2,8:15.0,J. Crawford misses 2-pt jump shot from 15 ft,,40,40
2,8:13.0,,Defensive rebound by T. Snell,40,40
2,8:05.0,,Shooting foul by D. Ayton (drawn by B. Lopez),40,40
2,8:05.0,,B. Lopez makes free throw 1 of 2,40,41
2,8:05.0,,B. Lopez misses free throw 2 of 2,40,41
2,8:02.0,Defensive rebound by J. Crawford,,40,41
2,7:52.0,Shooting foul by S. Brown (drawn by M. Bridges),,40,41
2,7:52.0,M. Bridges misses free throw 1 of 2,,40,41
2,7:52.0,Offensive rebound by Team,,40,41
2,7:52.0,M. Bridges makes free throw 2 of 2,,41,41
2,7:49.0,,Personal foul by J. Crawford (drawn by T. Snell),41,41
2,7:36.0,,Def 3 sec tech foul by Team,41,41
2,7:36.0,,K. Middleton makes technical free throw,41,42
2,7:31.0,,K. Middleton misses 3-pt jump shot from 26 ft,41,42
2,7:28.0,Defensive rebound by J. Crawford,,41,42
2,7:19.0,T. Ariza misses 2-pt layup from 3 ft (block by B. Lopez),,41,42
2,7:18.0,Offensive rebound by D. Ayton,,41,42
2,7:17.0,D. Ayton makes 2-pt layup from 1 ft,,43,42
2,7:12.0,,K. Middleton makes 2-pt dunk at rim (assist by M. Brogdon),43,44
2,6:51.0,J. Crawford makes 3-pt jump shot from 27 ft (assist by D. Ayton),,46,44
2,6:39.0,,Turnover by K. Middleton (bad pass; steal by T. Ariza),46,44
2,6:33.0,Shooting foul by K. Middleton (drawn by D. Ayton),,46,44
2,6:33.0,,Milwaukee full timeout,46,44
2,6:33.0,D. Booker enters the game for I. Canaan,,46,44
2,6:33.0,,G. Antetokounmpo enters the game for M. Brogdon,46,44
2,6:33.0,,E. Bledsoe enters the game for T. Snell,46,44
2,6:33.0,D. Ayton misses free throw 1 of 2,,46,44
2,6:33.0,Offensive rebound by Team,,46,44
2,6:33.0,D. Ayton makes free throw 2 of 2,,47,44
2,6:22.0,,Turnover by E. Bledsoe (bad pass),47,44
2,6:04.0,J. Crawford misses 3-pt jump shot from 24 ft,,47,44
2,6:01.0,,Defensive rebound by E. Bledsoe,47,44
2,5:57.0,,E. Bledsoe makes 2-pt layup from 1 ft,47,46
2,5:47.0,T. Ariza misses 3-pt jump shot from 28 ft,,47,46
2,5:44.0,,Defensive rebound by B. Lopez,47,46
2,5:30.0,,S. Brown misses 3-pt jump shot from 25 ft,47,46
2,5:27.0,Defensive rebound by D. Ayton,,47,46
2,5:16.0,D. Ayton makes 2-pt jump shot from 9 ft,,49,46
2,5:05.0,,Turnover by G. Antetokounmpo (traveling),49,46
2,5:05.0,T. Warren enters the game for M. Bridges,,49,46
2,4:54.0,D. Booker makes 2-pt jump shot from 14 ft,,51,46
2,4:42.0,,S. Brown makes 2-pt layup from 2 ft (assist by E. Bledsoe),51,48
2,4:24.0,T. Warren makes 2-pt jump shot from 6 ft,,53,48
2,4:13.0,,Turnover by K. Middleton (bad pass; steal by D. Booker),53,48
2,4:10.0,T. Warren makes 2-pt layup from 1 ft (assist by D. Booker),,55,48
2,4:10.0,Shooting foul by E. Bledsoe (drawn by T. Warren),,55,48
2,4:10.0,,P. Connaughton enters the game for S. Brown,55,48
2,4:10.0,,E. İlyasova enters the game for B. Lopez,55,48
2,4:10.0,,T. Snell enters the game for K. Middleton,55,48
2,4:10.0,T. Warren misses free throw 1 of 1,,55,48
2,4:07.0,,Defensive rebound by G. Antetokounmpo,55,48
2,3:55.0,,E. İlyasova misses 3-pt jump shot from 25 ft,55,48
2,3:51.0,Defensive rebound by D. Ayton,,55,48
2,3:50.0,Turnover by D. Ayton (lost ball; steal by E. Bledsoe),,55,48
2,3:47.0,,E. Bledsoe misses 2-pt layup from 1 ft,55,48
2,3:47.0,,Offensive rebound by Team,55,48
2,3:47.0,Loose ball foul by T. Warren (drawn by E. İlyasova),,55,48
2,3:47.0,R. Holmes enters the game for D. Ayton,,55,48
2,3:40.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. İlyasova),55,50
2,3:24.0,R. Holmes makes 2-pt dunk from 1 ft (assist by T. Ariza),,57,50
2,3:10.0,,E. Bledsoe makes 3-pt jump shot from 28 ft (assist by E. İlyasova),57,53
2,2:57.0,D. Booker misses 2-pt jump shot from 14 ft,,57,53
2,2:54.0,,Defensive rebound by T. Snell,57,53
2,2:46.0,,T. Snell misses 3-pt jump shot from 28 ft,57,53
2,2:44.0,,Offensive rebound by Team,57,53
2,2:44.0,Phoenix full timeout,,57,53
2,2:34.0,,Turnover by G. Antetokounmpo (lane violation),57,53
2,2:21.0,Shooting foul by E. İlyasova (drawn by T. Ariza),,57,53
2,2:21.0,T. Ariza makes free throw 1 of 2,,58,53
2,2:21.0,T. Ariza makes free throw 2 of 2,,59,53
2,2:06.0,,P. Connaughton misses 3-pt jump shot from 28 ft,59,53
2,2:03.0,,Offensive rebound by E. İlyasova,59,53
2,2:01.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. İlyasova),59,55
2,1:40.0,J. Crawford misses 2-pt jump shot from 19 ft,,59,55
2,1:37.0,,Defensive rebound by E. İlyasova,59,55
2,1:37.0,,Personal foul by T. Warren (drawn by T. Snell),59,55
2,1:37.0,Violation by Team (delay of game),,59,55
2,1:37.0,,T. Snell makes free throw 1 of 2,59,56
2,1:37.0,M. Bridges enters the game for J. Crawford,,59,56
2,1:37.0,I. Canaan enters the game for T. Warren,,59,56
2,1:37.0,,T. Snell makes free throw 2 of 2,59,57
2,1:22.0,Shooting foul by E. İlyasova (drawn by R. Holmes),,59,57
2,1:22.0,R. Holmes misses free throw 1 of 2,,59,57
2,1:22.0,Offensive rebound by Team,,59,57
2,1:22.0,R. Holmes makes free throw 2 of 2,,60,57
2,1:12.0,,Personal foul by D. Booker (drawn by G. Antetokounmpo),60,57
2,1:12.0,,G. Antetokounmpo makes free throw 1 of 2,60,58
2,1:12.0,,B. Lopez enters the game for E. İlyasova,60,58
2,1:12.0,,G. Antetokounmpo misses free throw 2 of 2,60,58
2,1:09.0,,Offensive rebound by G. Antetokounmpo,60,58
2,1:08.0,,G. Antetokounmpo misses 2-pt layup from 1 ft (block by R. Holmes),60,58
2,1:02.0,,Offensive rebound by T. Snell,60,58
2,1:00.0,,P. Connaughton misses 3-pt jump shot from 25 ft,60,58
2,0:57.0,Defensive rebound by T. Ariza,,60,58
2,0:48.0,R. Holmes makes 2-pt hook shot from 4 ft,,62,58
2,0:32.0,,P. Connaughton makes 3-pt jump shot from 29 ft (assist by E. Bledsoe),62,61
2,0:10.0,D. Booker makes 2-pt layup at rim,,64,61
2,0:00.0,,P. Connaughton misses 3-pt jump shot from 22 ft,64,61
2,0:00.0,,Offensive rebound by Team,64,61
3,11:44.0,D. Booker makes 2-pt layup from 1 ft,,66,61
3,11:36.0,,B. Lopez misses 3-pt jump shot from 27 ft,66,61
3,11:33.0,Defensive rebound by D. Ayton,,66,61
3,11:20.0,D. Booker misses 3-pt jump shot from 27 ft,,66,61
3,11:17.0,,Defensive rebound by K. Middleton,66,61
3,11:07.0,,B. Lopez misses 3-pt jump shot from 28 ft,66,61
3,11:04.0,Defensive rebound by M. Bridges,,66,61
3,10:54.0,D. Booker makes 2-pt jump shot from 15 ft,,68,61
3,10:32.0,,E. Bledsoe makes 3-pt jump shot from 27 ft,68,64
3,10:16.0,T. Warren makes 3-pt jump shot from 28 ft (assist by D. Booker),,71,64
3,10:01.0,,B. Lopez makes 2-pt layup from 2 ft (assist by E. Bledsoe),71,66
3,9:50.0,Shooting foul by E. Bledsoe (drawn by D. Booker),,71,66
3,9:50.0,D. Booker makes free throw 1 of 2,,72,66
3,9:50.0,D. Booker makes free throw 2 of 2,,73,66
3,9:39.0,,Personal foul by T. Ariza (drawn by G. Antetokounmpo),73,66
3,9:31.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft,73,68
3,9:17.0,D. Booker makes 2-pt jump shot from 14 ft,,75,68
3,8:58.0,,K. Middleton makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),75,71
3,8:45.0,T. Warren makes 2-pt jump shot from 15 ft (assist by D. Booker),,77,71
3,8:35.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by K. Middleton),77,73
3,8:20.0,D. Booker makes 2-pt jump shot from 15 ft,,79,73
3,8:10.0,,Personal foul by T. Ariza (drawn by M. Brogdon),79,73
3,8:10.0,,Milwaukee full timeout,79,73
3,8:10.0,I. Canaan enters the game for M. Bridges,,79,73
3,8:00.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,79,75
3,7:46.0,D. Ayton misses 2-pt hook shot from 2 ft,,79,75
3,7:44.0,Offensive rebound by T. Warren,,79,75
3,7:44.0,T. Warren misses 2-pt layup at rim,,79,75
3,7:43.0,Offensive rebound by D. Ayton,,79,75
3,7:43.0,D. Ayton makes 2-pt layup at rim,,81,75
3,7:28.0,,Personal foul by T. Warren (drawn by M. Brogdon),81,75
3,7:28.0,J. Jackson enters the game for T. Warren,,81,75
3,7:28.0,,P. Connaughton enters the game for M. Brogdon,81,75
3,7:19.0,,B. Lopez misses 3-pt jump shot from 28 ft,81,75
3,7:16.0,Defensive rebound by I. Canaan,,81,75
3,7:03.0,D. Ayton misses 2-pt jump shot from 14 ft,,81,75
3,6:59.0,,Defensive rebound by P. Connaughton,81,75
3,6:51.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,81,77
3,6:46.0,D. Booker makes 3-pt jump shot from 25 ft (assist by I. Canaan),,84,77
3,6:37.0,,Shooting foul by I. Canaan (drawn by E. Bledsoe),84,77
3,6:37.0,,E. Bledsoe makes free throw 1 of 2,84,78
3,6:37.0,,E. Bledsoe misses free throw 2 of 2,84,78
3,6:33.0,Defensive rebound by T. Ariza,,84,78
3,6:25.0,D. Booker misses 2-pt layup from 2 ft (block by B. Lopez),,84,78
3,6:23.0,,Defensive rebound by G. Antetokounmpo,84,78
3,6:18.0,,Personal foul by J. Jackson (drawn by G. Antetokounmpo),84,78
3,6:18.0,,G. Antetokounmpo misses free throw 1 of 2,84,78
3,6:18.0,,Offensive rebound by Team,84,78
3,6:18.0,R. Holmes enters the game for D. Ayton,,84,78
3,6:18.0,,T. Maker enters the game for B. Lopez,84,78
3,6:18.0,,G. Antetokounmpo makes free throw 2 of 2,84,79
3,5:59.0,I. Canaan misses 3-pt jump shot from 30 ft (block by P. Connaughton),,84,79
3,5:54.0,,Defensive rebound by E. Bledsoe,84,79
3,5:46.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,84,79
3,5:44.0,Defensive rebound by D. Booker,,84,79
3,5:34.0,T. Ariza misses 3-pt jump shot from 23 ft,,84,79
3,5:31.0,Offensive rebound by R. Holmes,,84,79
3,5:31.0,Shooting foul by G. Antetokounmpo (drawn by R. Holmes),,84,79
3,5:31.0,R. Holmes makes free throw 1 of 2,,85,79
3,5:31.0,,E. İlyasova enters the game for G. Antetokounmpo,85,79
3,5:31.0,R. Holmes makes free throw 2 of 2,,86,79
3,5:15.0,,K. Middleton misses 2-pt jump shot from 14 ft,86,79
3,5:13.0,Defensive rebound by D. Booker,,86,79
3,5:12.0,Turnover by D. Booker (bad pass),,86,79
3,4:52.0,,E. İlyasova misses 2-pt jump shot from 21 ft,86,79
3,4:49.0,Defensive rebound by J. Jackson,,86,79
3,4:48.0,Shooting foul by K. Middleton (drawn by J. Jackson),,86,79
3,4:48.0,J. Jackson makes free throw 1 of 2,,87,79
3,4:48.0,,M. Dellavedova enters the game for E. Bledsoe,87,79
3,4:48.0,J. Jackson makes free throw 2 of 2,,88,79
3,4:37.0,,E. İlyasova misses 2-pt layup from 2 ft,88,79
3,4:34.0,Defensive rebound by R. Holmes,,88,79
3,4:28.0,T. Ariza misses 3-pt jump shot from 26 ft,,88,79
3,4:28.0,,Defensive rebound by Team,88,79
3,4:28.0,Loose ball foul by R. Holmes (drawn by T. Maker),,88,79
3,4:28.0,,T. Maker misses free throw 1 of 2,88,79
3,4:28.0,,Offensive rebound by Team,88,79
3,4:28.0,,T. Snell enters the game for K. Middleton,88,79
3,4:28.0,,T. Maker misses free throw 2 of 2,88,79
3,4:24.0,Defensive rebound by T. Ariza,,88,79
3,4:09.0,J. Jackson makes 3-pt jump shot from 24 ft (assist by I. Canaan),,91,79
3,3:55.0,,T. Snell misses 3-pt jump shot from 23 ft,91,79
3,3:52.0,Defensive rebound by R. Holmes,,91,79
3,3:43.0,Phoenix full timeout,,91,79
3,3:43.0,,G. Antetokounmpo enters the game for T. Maker,91,79
3,3:36.0,I. Canaan misses 3-pt jump shot from 23 ft,,91,79
3,3:33.0,,Defensive rebound by G. Antetokounmpo,91,79
3,3:13.0,,Turnover by E. İlyasova (lane violation),91,79
3,3:13.0,J. Crawford enters the game for D. Booker,,91,79
3,3:01.0,J. Crawford misses 3-pt jump shot from 24 ft,,91,79
3,3:00.0,,Defensive rebound by Team,91,79
3,2:51.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,91,81
3,2:34.0,Turnover by J. Crawford (lost ball; steal by G. Antetokounmpo),,91,81
3,2:27.0,,T. Snell misses 3-pt jump shot from 29 ft,91,81
3,2:24.0,Defensive rebound by T. Ariza,,91,81
3,2:06.0,Offensive foul by J. Crawford (drawn by E. İlyasova),,91,81
3,2:06.0,Turnover by J. Crawford (offensive foul),,91,81
3,1:49.0,,Turnover by E. İlyasova (bad pass; steal by T. Ariza),91,81
3,1:44.0,I. Canaan misses 3-pt jump shot from 28 ft,,91,81
3,1:42.0,,Defensive rebound by M. Dellavedova,91,81
3,1:35.0,,E. İlyasova makes 2-pt layup from 1 ft (assist by T. Snell),91,83
3,1:17.0,J. Jackson misses 2-pt layup from 5 ft,,91,83
3,1:15.0,,Defensive rebound by G. Antetokounmpo,91,83
3,1:04.0,,P. Connaughton makes 3-pt jump shot from 28 ft (assist by M. Dellavedova),91,86
3,0:44.0,J. Crawford misses 2-pt jump shot from 14 ft,,91,86
3,0:43.0,,Defensive rebound by Team,91,86
3,0:34.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,91,88
3,0:14.0,Offensive foul by T. Ariza (drawn by E. İlyasova),,91,88
3,0:14.0,Turnover by T. Ariza (offensive foul),,91,88
3,0:14.0,,E. Bledsoe enters the game for G. Antetokounmpo,91,88
3,0:02.0,,T. Snell misses 3-pt jump shot from 23 ft,91,88
3,0:00.0,,Offensive rebound by E. İlyasova,91,88
3,0:00.0,,E. İlyasova makes 2-pt layup from 1 ft,91,90
4,11:47.0,,B. Lopez misses 3-pt jump shot from 27 ft,91,90
4,11:47.0,Defensive rebound by Team,,91,90
4,11:34.0,D. Booker makes 2-pt jump shot from 13 ft (assist by D. Ayton),,93,90
4,11:13.0,,B. Lopez makes 2-pt dunk from 1 ft (assist by M. Brogdon),93,92
4,10:57.0,D. Booker makes 2-pt jump shot from 15 ft,,95,92
4,10:40.0,,B. Lopez misses 2-pt hook shot from 6 ft,95,92
4,10:37.0,Defensive rebound by M. Bridges,,95,92
4,10:23.0,D. Booker misses 3-pt jump shot from 26 ft,,95,92
4,10:20.0,,Defensive rebound by B. Lopez,95,92
4,10:14.0,,M. Brogdon makes 2-pt layup from 2 ft (assist by M. Dellavedova),95,94
4,10:00.0,J. Crawford makes 2-pt jump shot from 18 ft,,97,94
4,9:49.0,,Personal foul by D. Booker (drawn by M. Dellavedova),97,94
4,9:49.0,,G. Antetokounmpo enters the game for M. Dellavedova,97,94
4,9:49.0,,S. Brown enters the game for E. İlyasova,97,94
4,9:41.0,,B. Lopez misses 3-pt jump shot from 27 ft,97,94
4,9:38.0,Defensive rebound by M. Bridges,,97,94
4,9:22.0,D. Booker makes 2-pt jump shot from 19 ft,,99,94
4,9:05.0,,M. Brogdon makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),99,97
4,8:46.0,D. Booker misses 2-pt layup from 8 ft,,99,97
4,8:44.0,Offensive rebound by D. Ayton,,99,97
4,8:43.0,D. Ayton makes 2-pt layup from 2 ft,,101,97
4,8:27.0,,Shooting foul by T. Warren (drawn by M. Brogdon),101,97
4,8:27.0,Phoenix full timeout,,101,97
4,8:27.0,T. Ariza enters the game for T. Warren,,101,97
4,8:27.0,,E. Bledsoe enters the game for T. Snell,101,97
4,8:27.0,,M. Brogdon makes free throw 1 of 2,101,98
4,8:27.0,,M. Brogdon makes free throw 2 of 2,101,99
4,8:12.0,D. Ayton makes 2-pt layup from 2 ft (assist by J. Crawford),,103,99
4,7:55.0,,S. Brown misses 3-pt jump shot from 27 ft,103,99
4,7:55.0,Defensive rebound by D. Booker,,103,99
4,7:37.0,J. Crawford makes 2-pt jump shot from 7 ft,,105,99
4,7:24.0,,Shooting foul by D. Ayton (drawn by E. Bledsoe),105,99
4,7:24.0,,E. Bledsoe misses free throw 1 of 2,105,99
4,7:24.0,,Offensive rebound by Team,105,99
4,7:24.0,,K. Middleton enters the game for S. Brown,105,99
4,7:24.0,,E. Bledsoe makes free throw 2 of 2,105,100
4,7:07.0,Personal foul by B. Lopez (drawn by D. Ayton),,105,100
4,6:59.0,M. Bridges makes 3-pt jump shot from 27 ft (assist by D. Booker),,108,100
4,6:38.0,,Turnover by E. Bledsoe (bad pass; steal by D. Booker),108,100
4,6:34.0,Turnover by J. Crawford (bad pass; steal by M. Brogdon),,108,100
4,6:28.0,,E. Bledsoe misses 3-pt jump shot from 23 ft,108,100
4,6:25.0,Defensive rebound by D. Booker,,108,100
4,6:09.0,D. Booker misses 2-pt jump shot from 14 ft,,108,100
4,6:06.0,,Defensive rebound by E. Bledsoe,108,100
4,6:02.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by K. Middleton),108,102
4,5:41.0,T. Ariza misses 2-pt layup from 2 ft (block by B. Lopez),,108,102
4,5:38.0,,Defensive rebound by K. Middleton,108,102
