QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,PHILADELPHIA_ACTION,MILWAUKEE_SCORE,PHILADELPHIA_SCORE
1,8:09.0,S. Brown misses 2-pt layup from 2 ft,,14,7
1,8:09.0,,Defensive rebound by J. Embiid,14,7
1,8:09.0,,Personal foul by G. Antetokounmpo (drawn by J. Embiid),14,7
1,8:09.0,P. Connaughton enters the game for G. Antetokounmpo,,14,7
1,8:02.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),14,10
1,8:01.0,Milwaukee full timeout,,14,10
1,7:46.0,Turnover by S. Brown (bad pass; steal by J. Redick),,14,10
1,7:43.0,,Personal take foul by G. Hill (drawn by B. Simmons),14,10
1,7:37.0,,T. Harris misses 2-pt jump shot from 7 ft,14,10
1,7:34.0,Defensive rebound by G. Hill,,14,10
1,7:32.0,K. Middleton makes 2-pt jump shot from 17 ft (assist by G. Hill),,16,10
1,7:22.0,,J. Embiid misses 3-pt jump shot from 26 ft,16,10
1,7:19.0,Defensive rebound by P. Connaughton,,16,10
1,7:06.0,K. Middleton misses 3-pt jump shot from 25 ft,,16,10
1,7:02.0,,Defensive rebound by T. Harris,16,10
1,6:54.0,,J. Embiid misses 2-pt jump shot from 10 ft,16,10
1,6:50.0,Defensive rebound by G. Hill,,16,10
1,6:36.0,K. Middleton misses 2-pt jump shot from 19 ft,,16,10
1,6:33.0,,Defensive rebound by J. Redick,16,10
1,6:28.0,,J. Embiid misses 3-pt jump shot from 26 ft,16,10
1,6:25.0,Defensive rebound by B. Lopez,,16,10
1,6:20.0,S. Brown misses 3-pt jump shot from 27 ft,,16,10
1,6:17.0,,Defensive rebound by J. Embiid,16,10
1,6:11.0,,Shooting foul by B. Lopez (drawn by J. Embiid),16,10
1,6:11.0,,J. Embiid makes free throw 1 of 2,16,11
1,6:11.0,G. Antetokounmpo enters the game for K. Middleton,,16,11
1,6:11.0,,J. Bolden enters the game for J. Redick,16,11
1,6:11.0,,T. McConnell enters the game for M. Scott,16,11
1,6:11.0,,S. Milton enters the game for B. Simmons,16,11
1,6:11.0,,J. Embiid makes free throw 2 of 2,16,12
1,5:56.0,G. Hill makes 2-pt jump shot from 17 ft,,18,12
1,5:38.0,,J. Embiid makes 2-pt hook shot from 4 ft,18,14
1,5:21.0,G. Antetokounmpo makes 2-pt hook shot from 6 ft,,20,14
1,5:10.0,,T. McConnell misses 2-pt jump shot from 11 ft,20,14
1,5:06.0,Defensive rebound by P. Connaughton,,20,14
1,5:02.0,Shooting foul by J. Embiid (drawn by G. Antetokounmpo),,20,14
1,5:02.0,G. Antetokounmpo makes free throw 1 of 2,,21,14
1,5:02.0,G. Antetokounmpo makes free throw 2 of 2,,22,14
1,4:39.0,,T. Harris misses 3-pt jump shot from 43 ft,22,14
1,4:39.0,Defensive rebound by Team,,22,14
1,4:25.0,S. Brown misses 2-pt layup from 7 ft (block by J. Embiid),,22,14
1,4:22.0,,Defensive rebound by T. Harris,22,14
1,4:19.0,,T. McConnell makes 2-pt jump shot from 9 ft (assist by T. Harris),22,16
1,4:06.0,B. Lopez misses 3-pt jump shot from 26 ft,,22,16
1,4:04.0,,Defensive rebound by T. McConnell,22,16
1,4:02.0,,Philadelphia full timeout,22,16
1,4:02.0,E. İlyasova enters the game for S. Brown,,22,16
1,4:02.0,D. Wilson enters the game for B. Lopez,,22,16
1,3:49.0,,T. Harris misses 2-pt jump shot from 11 ft,22,16
1,3:45.0,,Offensive rebound by J. Embiid,22,16
1,3:38.0,,T. McConnell misses 2-pt jump shot from 12 ft,22,16
1,3:35.0,Defensive rebound by G. Hill,,22,16
1,3:29.0,G. Hill misses 3-pt jump shot from 26 ft,,22,16
1,3:26.0,,Defensive rebound by J. Embiid,22,16
1,3:19.0,,J. Embiid makes 2-pt jump shot from 16 ft (assist by T. McConnell),22,18
1,3:04.0,G. Antetokounmpo misses 2-pt dunk from 3 ft,,22,18
1,3:01.0,,Defensive rebound by T. Harris,22,18
1,2:57.0,,Offensive foul by T. Harris (drawn by E. İlyasova),22,18
1,2:57.0,,Turnover by T. Harris (offensive foul),22,18
1,2:57.0,,B. Marjanović enters the game for J. Embiid,22,18
1,2:57.0,,J. Redick enters the game for T. Harris,22,18
1,2:57.0,,B. Simmons enters the game for T. McConnell,22,18
1,2:57.0,,Z. Smith enters the game for S. Milton,22,18
1,2:38.0,E. İlyasova makes 3-pt jump shot from 26 ft (assist by D. Wilson),,25,18
1,2:24.0,,Z. Smith makes 3-pt jump shot from 25 ft (assist by B. Simmons),25,21
1,2:24.0,T. Frazier enters the game for G. Antetokounmpo,,25,21
1,2:24.0,K. Middleton enters the game for G. Hill,,25,21
1,2:00.0,Personal foul by B. Marjanović (drawn by K. Middleton),,25,21
1,2:00.0,K. Middleton misses free throw 1 of 2,,25,21
1,2:00.0,Offensive rebound by Team,,25,21
1,2:00.0,K. Middleton makes free throw 2 of 2,,26,21
1,1:38.0,,B. Simmons misses 2-pt hook shot from 9 ft,26,21
1,1:36.0,Defensive rebound by K. Middleton,,26,21
1,1:32.0,P. Connaughton makes 2-pt dunk from 1 ft (assist by T. Frazier),,28,21
1,1:26.0,,Personal foul by T. Frazier (drawn by Z. Smith),28,21
1,1:26.0,,Z. Smith misses free throw 1 of 2,28,21
1,1:26.0,,Offensive rebound by Team,28,21
1,1:26.0,,Z. Smith makes free throw 2 of 2,28,22
1,1:13.0,D. Wilson misses 3-pt jump shot from 26 ft,,28,22
1,1:12.0,,Defensive rebound by J. Bolden,28,22
1,1:05.0,,B. Marjanović makes 2-pt layup from 2 ft (assist by B. Simmons),28,24
1,0:52.0,Turnover by K. Middleton (out of bounds lost ball),,28,24
1,0:39.0,,J. Redick misses 3-pt jump shot from 26 ft,28,24
1,0:36.0,Defensive rebound by D. Wilson,,28,24
1,0:32.0,Turnover by K. Middleton (bad pass),,28,24
1,0:32.0,Loose ball foul by E. İlyasova (drawn by Z. Smith),,28,24
1,0:32.0,,Z. Smith makes free throw 1 of 2,28,25
1,0:32.0,,Z. Smith makes free throw 2 of 2,28,26
1,0:10.0,K. Middleton misses 2-pt jump shot from 23 ft,,28,26
1,0:08.0,,Defensive rebound by J. Bolden,28,26
1,0:08.0,,Turnover by J. Bolden (traveling),28,26
1,0:01.0,K. Middleton makes 2-pt jump shot from 9 ft,,30,26
2,11:55.0,,Turnover by Z. Smith (out of bounds lost ball),30,26
2,11:55.0,,J. Embiid enters the game for B. Marjanović,30,26
2,11:46.0,Shooting foul by S. Milton (drawn by P. Connaughton),,30,26
2,11:46.0,P. Connaughton makes free throw 1 of 2,,31,26
2,11:46.0,P. Connaughton makes free throw 2 of 2,,32,26
2,11:27.0,,J. Embiid misses 2-pt jump shot from 10 ft (block by G. Antetokounmpo),32,26
2,11:26.0,,Offensive rebound by J. Embiid,32,26
2,11:23.0,,M. Scott makes 3-pt jump shot from 25 ft (assist by J. Embiid),32,29
2,11:12.0,E. İlyasova misses 3-pt jump shot from 26 ft,,32,29
2,11:05.0,,Defensive rebound by Z. Smith,32,29
2,10:54.0,,B. Simmons misses 2-pt hook shot from 10 ft,32,29
2,10:52.0,Defensive rebound by P. Connaughton,,32,29
2,10:47.0,Turnover by K. Middleton (bad pass; steal by J. Embiid),,32,29
2,10:47.0,Loose ball foul by G. Antetokounmpo (drawn by J. Embiid),,32,29
2,10:31.0,,Personal foul by E. İlyasova (drawn by J. Embiid),32,29
2,10:24.0,,Z. Smith misses 2-pt dunk from 2 ft (block by G. Antetokounmpo),32,29
2,10:21.0,Defensive rebound by G. Antetokounmpo,,32,29
2,10:19.0,G. Antetokounmpo misses 2-pt layup from 4 ft (block by S. Milton),,32,29
2,10:16.0,Offensive rebound by Team,,32,29
2,10:08.0,G. Antetokounmpo makes 2-pt jump shot from 11 ft (assist by K. Middleton),,34,29
2,9:49.0,,Z. Smith misses 2-pt layup from 3 ft,34,29
2,9:48.0,,Offensive rebound by J. Embiid,34,29
2,9:48.0,,Personal foul by T. Frazier (drawn by J. Embiid),34,29
2,9:42.0,,S. Milton misses 2-pt jump shot from 14 ft,34,29
2,9:38.0,Defensive rebound by G. Antetokounmpo,,34,29
2,9:34.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,34,29
2,9:30.0,,Defensive rebound by M. Scott,34,29
2,9:24.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by B. Simmons),34,32
2,9:17.0,Milwaukee full timeout,,34,32
2,9:17.0,S. Brown enters the game for P. Connaughton,,34,32
2,9:17.0,G. Hill enters the game for T. Frazier,,34,32
2,9:17.0,B. Lopez enters the game for E. İlyasova,,34,32
2,9:17.0,D. Wilson enters the game for K. Middleton,,34,32
2,8:58.0,B. Lopez misses 3-pt jump shot from 26 ft,,34,32
2,8:55.0,,Defensive rebound by Z. Smith,34,32
2,8:49.0,,J. Embiid misses 3-pt jump shot from 26 ft,34,32
2,8:45.0,Defensive rebound by D. Wilson,,34,32
2,8:38.0,D. Wilson misses 2-pt jump shot from 18 ft,,34,32
2,8:37.0,,Defensive rebound by J. Embiid,34,32
2,8:27.0,,J. Embiid misses 2-pt jump shot from 14 ft,34,32
2,8:24.0,Defensive rebound by D. Wilson,,34,32
2,8:10.0,G. Antetokounmpo makes 2-pt hook shot from 7 ft (assist by G. Hill),,36,32
2,8:02.0,,Turnover by B. Simmons (bad pass; steal by D. Wilson),36,32
2,7:57.0,Personal foul by Z. Smith (drawn by G. Antetokounmpo),,36,32
2,7:57.0,P. Connaughton enters the game for G. Antetokounmpo,,36,32
2,7:57.0,,T. Harris enters the game for B. Simmons,36,32
2,7:57.0,,T. McConnell enters the game for Z. Smith,36,32
2,7:51.0,G. Hill misses 2-pt layup from 2 ft,,36,32
2,7:49.0,,Defensive rebound by J. Embiid,36,32
2,7:37.0,,Turnover by S. Milton (step out of bounds),36,32
2,7:19.0,D. Wilson makes 2-pt hook shot from 6 ft (assist by G. Hill),,38,32
2,7:17.0,,Philadelphia full timeout,38,32
2,7:04.0,,S. Milton misses 3-pt jump shot from 23 ft,38,32
2,7:01.0,Defensive rebound by S. Brown,,38,32
2,6:48.0,S. Brown misses 2-pt jump shot from 7 ft,,38,32
2,6:46.0,,Defensive rebound by M. Scott,38,32
2,6:34.0,,T. Harris makes 2-pt layup from 4 ft,38,34
2,6:23.0,S. Brown makes 2-pt jump shot from 16 ft (assist by B. Lopez),,40,34
2,5:58.0,,J. Embiid makes 2-pt layup at rim (assist by T. McConnell),40,36
2,5:50.0,B. Lopez misses 3-pt jump shot from 26 ft,,40,36
2,5:47.0,,Defensive rebound by T. Harris,40,36
2,5:39.0,,T. Harris makes 2-pt jump shot from 16 ft (assist by J. Embiid),40,38
2,5:12.0,Turnover by Team (shot clock),,40,38
2,5:12.0,G. Antetokounmpo enters the game for D. Wilson,,40,38
2,5:12.0,,J. Bolden enters the game for S. Milton,40,38
2,5:12.0,,J. Redick enters the game for M. Scott,40,38
2,4:57.0,,J. Embiid misses 2-pt layup from 4 ft,40,38
2,4:55.0,Defensive rebound by G. Antetokounmpo,,40,38
2,4:52.0,Shooting foul by J. Embiid (drawn by G. Antetokounmpo),,40,38
2,4:52.0,G. Antetokounmpo misses free throw 1 of 2,,40,38
2,4:52.0,Offensive rebound by Team,,40,38
2,4:52.0,G. Antetokounmpo makes free throw 2 of 2,,41,38
2,4:35.0,,T. Harris misses 2-pt jump shot from 7 ft,41,38
2,4:35.0,Defensive rebound by G. Hill,,41,38
2,4:24.0,G. Hill makes 3-pt jump shot from 26 ft (assist by B. Lopez),,44,38
2,4:09.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by J. Embiid),44,41
2,3:52.0,G. Hill makes 2-pt jump shot from 12 ft,,46,41
2,3:33.0,,Shooting foul by P. Connaughton (drawn by J. Redick),46,41
2,3:33.0,,J. Redick makes free throw 1 of 2,46,42
2,3:33.0,E. İlyasova enters the game for G. Hill,,46,42
2,3:33.0,,Z. Smith enters the game for T. Harris,46,42
2,3:33.0,,J. Redick makes free throw 2 of 2,46,43
2,3:25.0,P. Connaughton misses 3-pt jump shot from 25 ft,,46,43
2,3:22.0,,Defensive rebound by J. Embiid,46,43
2,3:18.0,,Personal foul by P. Connaughton (drawn by J. Redick),46,43
2,3:18.0,,J. Redick makes free throw 1 of 2,46,44
2,3:18.0,,J. Redick makes free throw 2 of 2,46,45
2,3:07.0,P. Connaughton misses 2-pt layup from 3 ft (block by Z. Smith),,46,45
2,3:06.0,Offensive rebound by P. Connaughton,,46,45
2,2:56.0,P. Connaughton misses 3-pt jump shot from 23 ft,,46,45
2,2:53.0,,Defensive rebound by J. Bolden,46,45
2,2:45.0,,J. Embiid misses 2-pt layup from 2 ft,46,45
2,2:43.0,Defensive rebound by G. Antetokounmpo,,46,45
2,2:42.0,Shooting foul by Z. Smith (drawn by G. Antetokounmpo),,46,45
2,2:42.0,G. Antetokounmpo makes free throw 1 of 2,,47,45
2,2:42.0,G. Hill enters the game for S. Brown,,47,45
2,2:42.0,,B. Simmons enters the game for T. McConnell,47,45
2,2:42.0,G. Antetokounmpo makes free throw 2 of 2,,48,45
2,2:27.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Embiid),48,48
2,2:09.0,G. Antetokounmpo makes 2-pt jump shot from 20 ft (assist by G. Hill),,50,48
2,1:54.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by B. Simmons),50,51
2,1:43.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,50,51
2,1:40.0,,Defensive rebound by B. Simmons,50,51
2,1:40.0,,Turnover by B. Simmons (bad pass),50,51
2,1:40.0,D. Wilson enters the game for B. Lopez,,50,51
2,1:29.0,Personal foul by Z. Smith (drawn by D. Wilson),,50,51
2,1:29.0,D. Wilson makes free throw 1 of 2,,51,51
2,1:29.0,S. Brown enters the game for G. Antetokounmpo,,51,51
2,1:29.0,,M. Scott enters the game for J. Embiid,51,51
2,1:29.0,D. Wilson misses free throw 2 of 2,,51,51
2,1:28.0,Offensive rebound by Team,,51,51
2,1:18.0,S. Brown misses 3-pt jump shot from 24 ft,,51,51
2,1:14.0,,Defensive rebound by J. Bolden,51,51
2,1:09.0,,B. Simmons makes 2-pt jump shot from 5 ft,51,53
2,0:54.0,G. Hill misses 2-pt jump shot from 13 ft,,51,53
2,0:54.0,Offensive rebound by D. Wilson,,51,53
2,0:53.0,Shooting foul by M. Scott (drawn by D. Wilson),,51,53
2,0:53.0,D. Wilson makes free throw 1 of 2,,52,53
2,0:53.0,D. Wilson makes free throw 2 of 2,,53,53
2,0:35.0,,J. Bolden makes 3-pt jump shot from 22 ft (assist by B. Simmons),53,56
2,0:23.0,S. Brown makes 3-pt jump shot from 24 ft (assist by G. Hill),,56,56
2,0:04.0,,B. Simmons makes 2-pt layup from 1 ft,56,58
2,0:01.0,E. İlyasova misses 2-pt jump shot from 22 ft (block by J. Redick),,56,58
2,0:00.0,,Defensive rebound by J. Redick,56,58
3,11:48.0,,J. Redick makes 2-pt jump shot from 21 ft (assist by J. Embiid),56,60
3,11:29.0,G. Antetokounmpo makes 2-pt jump shot from 15 ft,,58,60
3,11:16.0,,J. Embiid misses 2-pt dunk from 2 ft (block by G. Antetokounmpo),58,60
3,11:13.0,Defensive rebound by G. Antetokounmpo,,58,60
3,11:13.0,Personal take foul by J. Redick (drawn by G. Antetokounmpo),,58,60
3,10:59.0,K. Middleton misses 2-pt jump shot from 9 ft,,58,60
3,10:57.0,,Defensive rebound by J. Embiid,58,60
3,10:50.0,,J. Redick makes 2-pt layup from 1 ft (assist by B. Simmons),58,62
3,10:42.0,B. Lopez misses 3-pt jump shot from 27 ft,,58,62
3,10:40.0,,Defensive rebound by J. Embiid,58,62
3,10:35.0,,J. Redick misses 3-pt jump shot from 26 ft,58,62
3,10:32.0,Defensive rebound by S. Brown,,58,62
3,10:24.0,K. Middleton misses 2-pt jump shot from 7 ft,,58,62
3,10:20.0,,Defensive rebound by B. Simmons,58,62
3,10:15.0,,J. Embiid misses 3-pt jump shot from 26 ft,58,62
3,10:12.0,Defensive rebound by G. Antetokounmpo,,58,62
3,9:57.0,Turnover by K. Middleton (out of bounds lost ball),,58,62
3,9:42.0,,B. Simmons makes 2-pt jump shot from 18 ft,58,64
3,9:28.0,G. Antetokounmpo makes 3-pt jump shot from 26 ft (assist by K. Middleton),,61,64
3,9:14.0,,J. Embiid makes 2-pt hook shot from 3 ft (assist by J. Redick),61,66
3,9:03.0,G. Antetokounmpo misses 2-pt layup from 3 ft,,61,66
3,9:00.0,,Defensive rebound by T. Harris,61,66
3,8:58.0,,M. Scott makes 2-pt jump shot from 16 ft (assist by T. Harris),61,68
3,8:56.0,Milwaukee full timeout,,61,68
3,8:44.0,G. Antetokounmpo makes 2-pt jump shot from 18 ft,,63,68
3,8:30.0,,Shooting foul by B. Lopez (drawn by J. Embiid),63,68
3,8:30.0,,J. Embiid makes free throw 1 of 2,63,69
3,8:30.0,,J. Embiid makes free throw 2 of 2,63,70
3,8:18.0,B. Lopez makes 2-pt dunk from 1 ft (assist by S. Brown),,65,70
3,8:06.0,,J. Redick makes 2-pt layup at rim (assist by B. Simmons),65,72
3,7:49.0,G. Hill misses 2-pt jump shot from 16 ft,,65,72
3,7:49.0,,Defensive rebound by Team,65,72
3,7:27.0,,Turnover by J. Embiid (bad pass),65,72
3,7:27.0,P. Connaughton enters the game for G. Antetokounmpo,,65,72
3,7:27.0,,J. Bolden enters the game for J. Embiid,65,72
3,7:09.0,K. Middleton makes 2-pt jump shot from 17 ft,,67,72
3,7:04.0,,Personal foul by G. Hill (drawn by J. Redick),67,72
3,6:58.0,,J. Bolden misses 3-pt jump shot from 26 ft,67,72
3,6:53.0,Defensive rebound by S. Brown,,67,72
3,6:47.0,S. Brown misses 2-pt jump shot from 3 ft,,67,72
3,6:46.0,Offensive rebound by B. Lopez,,67,72
3,6:45.0,B. Lopez misses 2-pt layup from 11 ft,,67,72
3,6:43.0,Offensive rebound by B. Lopez,,67,72
3,6:40.0,B. Lopez misses 2-pt layup at rim,,67,72
3,6:39.0,,Defensive rebound by M. Scott,67,72
3,6:37.0,,Turnover by B. Simmons (lost ball; steal by K. Middleton),67,72
3,6:34.0,Shooting foul by M. Scott (drawn by S. Brown),,67,72
3,6:34.0,S. Brown misses free throw 1 of 2,,67,72
3,6:34.0,Offensive rebound by Team,,67,72
3,6:34.0,,J. Embiid enters the game for J. Redick,67,72
3,6:34.0,,T. McConnell enters the game for M. Scott,67,72
3,6:34.0,,S. Milton enters the game for B. Simmons,67,72
3,6:34.0,S. Brown makes free throw 2 of 2,,68,72
3,6:34.0,G. Antetokounmpo enters the game for K. Middleton,,68,72
3,6:25.0,,T. Harris misses 2-pt jump shot from 15 ft,68,72
3,6:22.0,Defensive rebound by G. Hill,,68,72
3,6:13.0,Shooting foul by T. McConnell (drawn by G. Antetokounmpo),,68,72
3,6:13.0,G. Antetokounmpo misses free throw 1 of 2,,68,72
3,6:13.0,Offensive rebound by Team,,68,72
3,6:13.0,T. Frazier enters the game for G. Hill,,68,72
3,6:13.0,G. Antetokounmpo makes free throw 2 of 2,,69,72
3,6:03.0,,T. McConnell makes 2-pt jump shot from 17 ft (assist by J. Embiid),69,74
3,5:49.0,Turnover by P. Connaughton (bad pass),,69,74
3,5:38.0,,J. Embiid misses 2-pt layup from 1 ft,69,74
3,5:36.0,Defensive rebound by T. Frazier,,69,74
3,5:34.0,Offensive foul by T. Frazier (drawn by J. Embiid),,69,74
3,5:34.0,Turnover by T. Frazier (offensive foul),,69,74
3,5:17.0,,T. Harris makes 2-pt jump shot from 16 ft,69,76
3,4:56.0,T. Frazier misses 2-pt jump shot from 7 ft,,69,76
3,4:54.0,,Defensive rebound by J. Embiid,69,76
3,4:36.0,,J. Embiid makes 2-pt jump shot from 11 ft,69,78
3,4:18.0,G. Antetokounmpo misses 3-pt jump shot from 28 ft,,69,78
3,4:17.0,,Defensive rebound by Team,69,78
3,4:17.0,,Philadelphia full timeout,69,78
3,4:17.0,E. İlyasova enters the game for S. Brown,,69,78
3,4:17.0,D. Wilson enters the game for B. Lopez,,69,78
3,4:17.0,,M. Scott enters the game for J. Embiid,69,78
3,3:54.0,,M. Scott misses 3-pt jump shot from 25 ft,69,78
3,3:51.0,Defensive rebound by E. İlyasova,,69,78
3,3:46.0,T. Frazier makes 2-pt layup from 2 ft,,71,78
3,3:29.0,,T. Harris misses 3-pt jump shot from 25 ft,71,78
3,3:25.0,Defensive rebound by T. Frazier,,71,78
3,3:22.0,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by T. Frazier),,73,78
3,3:22.0,Shooting foul by S. Milton (drawn by G. Antetokounmpo),,73,78
3,3:22.0,,B. Simmons enters the game for T. McConnell,73,78
3,3:22.0,G. Antetokounmpo makes free throw 1 of 1,,74,78
3,3:09.0,,T. Harris misses 2-pt jump shot from 9 ft,74,78
3,3:09.0,Defensive rebound by Team,,74,78
3,3:09.0,,Loose ball foul by T. Harris (drawn by D. Wilson),74,78
3,3:09.0,D. Wilson misses free throw 1 of 2,,74,78
3,3:09.0,Offensive rebound by Team,,74,78
3,3:09.0,,Z. Smith enters the game for T. Harris,74,78
3,3:09.0,D. Wilson makes free throw 2 of 2,,75,78
3,3:04.0,,M. Scott makes 2-pt jump shot from 23 ft (assist by B. Simmons),75,80
3,2:52.0,E. İlyasova misses 3-pt jump shot from 26 ft,,75,80
3,2:48.0,,Defensive rebound by B. Simmons,75,80
3,2:45.0,,S. Milton misses 3-pt jump shot from 26 ft,75,80
3,2:42.0,Defensive rebound by G. Antetokounmpo,,75,80
3,2:36.0,G. Antetokounmpo makes 2-pt jump shot from 11 ft,,77,80
3,2:13.0,,M. Scott misses 2-pt hook shot from 10 ft,77,80
3,2:10.0,Defensive rebound by T. Frazier,,77,80
3,2:06.0,E. İlyasova misses 3-pt jump shot from 27 ft,,77,80
3,2:00.0,Offensive rebound by D. Wilson,,77,80
3,2:00.0,D. Wilson makes 2-pt dunk at rim,,79,80
3,1:46.0,,M. Scott makes 3-pt jump shot from 26 ft (assist by Z. Smith),79,83
3,1:28.0,G. Antetokounmpo misses 2-pt hook shot from 6 ft,,79,83
3,1:28.0,Offensive rebound by Team,,79,83
3,1:28.0,K. Middleton enters the game for G. Antetokounmpo,,79,83
3,1:28.0,,J. Redick enters the game for S. Milton,79,83
3,1:26.0,K. Middleton misses 2-pt jump shot from 16 ft,,79,83
3,1:23.0,,Defensive rebound by J. Bolden,79,83
3,1:14.0,,J. Bolden misses 2-pt layup from 3 ft,79,83
3,1:13.0,,Offensive rebound by J. Bolden,79,83
3,1:13.0,,J. Bolden misses 2-pt layup from 1 ft,79,83
3,1:13.0,,Offensive rebound by Team,79,83
3,1:10.0,,Z. Smith misses 3-pt jump shot from 23 ft,79,83
3,1:07.0,Defensive rebound by E. İlyasova,,79,83
3,0:58.0,K. Middleton misses 2-pt jump shot from 14 ft,,79,83
3,0:56.0,,Defensive rebound by J. Bolden,79,83
3,0:40.0,,Personal foul by P. Connaughton (drawn by J. Redick),79,83
3,0:36.0,,Turnover by Z. Smith (out of bounds lost ball),79,83
3,0:32.0,K. Middleton misses 3-pt jump shot from 28 ft,,79,83
3,0:28.0,Offensive rebound by P. Connaughton,,79,83
3,0:26.0,K. Middleton makes 3-pt jump shot from 26 ft (assist by P. Connaughton),,82,83
3,0:06.0,,M. Scott makes 3-pt jump shot from 26 ft (assist by B. Simmons),82,86
3,0:00.0,K. Middleton misses 3-pt jump shot from 28 ft (block by B. Simmons),,82,86
3,0:00.0,,Defensive rebound by Z. Smith,82,86
4,11:45.0,K. Middleton misses 2-pt jump shot from 22 ft,,82,86
4,11:42.0,,Defensive rebound by J. Embiid,82,86
4,11:31.0,,Shooting foul by E. İlyasova (drawn by J. Embiid),82,86
4,11:31.0,,J. Embiid misses free throw 1 of 2,82,86
4,11:31.0,,Offensive rebound by Team,82,86
4,11:31.0,,J. Embiid makes free throw 2 of 2,82,87
4,11:19.0,Turnover by D. Wilson (out of bounds lost ball),,82,87
4,11:05.0,,J. Embiid makes 2-pt layup from 1 ft (assist by J. Redick),82,89
4,11:05.0,Violation by Team (def goaltending),,82,89
4,10:50.0,K. Middleton makes 2-pt layup from 3 ft (assist by D. Wilson),,84,89
4,10:50.0,Shooting foul by Z. Smith (drawn by K. Middleton),,84,89
4,10:50.0,K. Middleton makes free throw 1 of 1,,85,89
4,10:41.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Embiid),85,92
4,10:24.0,G. Hill misses 2-pt jump shot from 9 ft,,85,92
4,10:21.0,Offensive rebound by D. Wilson,,85,92
4,10:18.0,Shooting foul by J. Embiid (drawn by G. Hill),,85,92
4,10:18.0,G. Hill makes free throw 1 of 3,,86,92
4,10:18.0,G. Hill makes free throw 2 of 3,,87,92
