QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,GOLDEN STATE_ACTION,SAN ANTONIO_SCORE,GOLDEN STATE_SCORE
1,7:22.0,,Defensive rebound by S. Curry,14,16
1,7:08.0,,K. Thompson misses 3-pt jump shot from 27 ft,14,16
1,7:06.0,Defensive rebound by R. Gay,,14,16
1,7:03.0,Turnover by R. Gay (lost ball; steal by D. Cousins),,14,16
1,6:52.0,,K. Thompson makes 2-pt dunk from 1 ft (assist by D. Cousins),14,18
1,6:42.0,R. Gay misses 3-pt jump shot from 23 ft,,14,18
1,6:40.0,Offensive rebound by J. Poeltl,,14,18
1,6:37.0,M. Belinelli makes 3-pt jump shot from 28 ft (assist by P. Mills),,17,18
1,6:22.0,,D. Cousins misses 2-pt jump shot from 5 ft (block by D. Bertāns),17,18
1,6:21.0,Defensive rebound by P. Mills,,17,18
1,6:17.0,P. Mills makes 3-pt jump shot from 29 ft,,20,18
1,6:17.0,,Golden State full timeout,20,18
1,6:17.0,D. Cunningham enters the game for R. Gay,,20,18
1,6:17.0,,A. Iguodala enters the game for D. Cousins,20,18
1,6:17.0,,K. Looney enters the game for D. Green,20,18
1,6:07.0,,S. Curry misses 2-pt jump shot from 19 ft,20,18
1,6:05.0,Defensive rebound by D. Bertāns,,20,18
1,6:01.0,M. Belinelli misses 3-pt jump shot from 28 ft,,20,18
1,5:59.0,,Defensive rebound by S. Curry,20,18
1,5:44.0,,K. Thompson makes 3-pt jump shot from 25 ft,20,21
1,5:29.0,J. Poeltl makes 2-pt dunk from 4 ft (assist by P. Mills),,22,21
1,5:22.0,,Shooting foul by J. Poeltl (drawn by S. Curry),22,21
1,5:22.0,,S. Curry makes free throw 1 of 2,22,22
1,5:22.0,B. Forbes enters the game for P. Mills,,22,22
1,5:22.0,,S. Curry makes free throw 2 of 2,22,23
1,5:02.0,M. Belinelli makes 3-pt jump shot from 22 ft (assist by J. Poeltl),,25,23
1,5:02.0,Shooting foul by K. Durant (drawn by M. Belinelli),,25,23
1,5:02.0,M. Belinelli makes free throw 1 of 1,,26,23
1,4:49.0,,K. Durant makes 2-pt jump shot from 14 ft,26,25
1,4:36.0,M. Belinelli misses 3-pt jump shot from 26 ft,,26,25
1,4:34.0,,Defensive rebound by K. Durant,26,25
1,4:28.0,,K. Durant makes 3-pt jump shot from 27 ft,26,28
1,4:04.0,D. Bertāns misses 3-pt jump shot from 27 ft,,26,28
1,4:02.0,,Defensive rebound by A. Iguodala,26,28
1,3:50.0,,K. Durant misses 3-pt jump shot from 26 ft,26,28
1,3:48.0,Defensive rebound by M. Belinelli,,26,28
1,3:38.0,B. Forbes misses 3-pt jump shot from 26 ft,,26,28
1,3:33.0,,Defensive rebound by A. Iguodala,26,28
1,3:28.0,,K. Durant misses 2-pt jump shot from 6 ft,26,28
1,3:27.0,Defensive rebound by B. Forbes,,26,28
1,3:17.0,M. Belinelli misses 2-pt jump shot from 21 ft,,26,28
1,3:16.0,Offensive rebound by Team,,26,28
1,3:16.0,L. Walker enters the game for D. Bertāns,,26,28
1,3:16.0,,A. McKinnie enters the game for K. Thompson,26,28
1,3:16.0,B. Forbes misses 3-pt jump shot from 28 ft,,26,28
1,3:14.0,,Defensive rebound by A. McKinnie,26,28
1,3:01.0,,S. Curry misses 2-pt jump shot from 22 ft,26,28
1,2:59.0,,Offensive rebound by A. McKinnie,26,28
1,2:55.0,,Turnover by A. McKinnie (bad pass; steal by B. Forbes),26,28
1,2:50.0,L. Walker misses 3-pt jump shot from 25 ft,,26,28
1,2:48.0,,Defensive rebound by S. Curry,26,28
1,2:37.0,,S. Curry misses 2-pt jump shot from 8 ft,26,28
1,2:36.0,Defensive rebound by L. Walker,,26,28
1,2:19.0,L. Walker misses 3-pt jump shot from 26 ft,,26,28
1,2:17.0,,Defensive rebound by A. Iguodala,26,28
1,2:06.0,,A. McKinnie makes 2-pt layup from 2 ft (assist by K. Durant),26,30
1,2:06.0,San Antonio full timeout,,26,30
1,2:06.0,P. Gasol enters the game for M. Belinelli,,26,30
1,2:06.0,R. Gay enters the game for J. Poeltl,,26,30
1,2:06.0,,D. Green enters the game for S. Curry,26,30
1,1:49.0,B. Forbes makes 2-pt jump shot from 18 ft (assist by P. Gasol),,28,30
1,1:28.0,,A. Iguodala misses 3-pt jump shot from 26 ft,28,30
1,1:26.0,Defensive rebound by P. Gasol,,28,30
1,1:15.0,Shooting foul by A. McKinnie (drawn by P. Gasol),,28,30
1,1:15.0,P. Gasol misses free throw 1 of 2,,28,30
1,1:15.0,Offensive rebound by Team,,28,30
1,1:15.0,P. Gasol makes free throw 2 of 2,,29,30
1,1:07.0,,D. Green misses 3-pt jump shot from 23 ft,29,30
1,1:05.0,,Offensive rebound by A. McKinnie,29,30
1,0:53.0,,D. Green makes 3-pt jump shot from 27 ft (assist by K. Durant),29,33
1,0:46.0,Turnover by B. Forbes (palming),,29,33
1,0:35.0,,K. Looney misses 2-pt layup from 4 ft (block by P. Gasol),29,33
1,0:33.0,Defensive rebound by P. Gasol,,29,33
1,0:11.0,R. Gay makes 2-pt jump shot from 10 ft,,31,33
1,0:06.0,,Personal foul by R. Gay (drawn by K. Durant),31,33
1,0:06.0,D. Bertāns enters the game for P. Gasol,,31,33
1,0:06.0,,S. Curry enters the game for K. Looney,31,33
1,0:06.0,,K. Thompson enters the game for A. McKinnie,31,33
1,0:06.0,,Turnover by D. Green (bad pass; steal by L. Walker),31,33
1,0:00.0,L. Walker misses 2-pt jump shot from 3 ft,,31,33
1,0:00.0,Offensive rebound by Team,,31,33
2,11:42.0,P. Gasol misses 2-pt jump shot from 11 ft (block by D. Cousins),,31,33
2,11:40.0,,Defensive rebound by D. Cousins,31,33
2,11:25.0,,A. Iguodala makes 2-pt dunk from 2 ft (assist by K. Thompson),31,35
2,11:24.0,San Antonio full timeout,,31,35
2,11:07.0,R. Gay misses 2-pt jump shot from 16 ft,,31,35
2,11:05.0,,Defensive rebound by D. Green,31,35
2,10:45.0,,D. Green misses 2-pt hook shot from 7 ft,31,35
2,10:44.0,Defensive rebound by D. Cunningham,,31,35
2,10:32.0,B. Forbes misses 2-pt jump shot from 12 ft,,31,35
2,10:30.0,,Defensive rebound by A. Iguodala,31,35
2,10:30.0,,Personal foul by B. Forbes (drawn by S. Livingston),31,35
2,10:22.0,,K. Thompson makes 2-pt jump shot from 18 ft (assist by A. Iguodala),31,37
2,9:56.0,L. Walker misses 2-pt jump shot from 13 ft (block by S. Livingston),,31,37
2,9:54.0,,Defensive rebound by D. Green,31,37
2,9:48.0,,Turnover by K. Thompson (out of bounds lost ball),31,37
2,9:48.0,D. Bertāns enters the game for B. Forbes,,31,37
2,9:48.0,P. Mills enters the game for L. Walker,,31,37
2,9:39.0,Turnover by P. Mills (bad pass; steal by K. Thompson),,31,37
2,9:33.0,,K. Thompson makes 3-pt jump shot from 29 ft,31,40
2,9:20.0,R. Gay misses 2-pt jump shot from 9 ft (block by K. Thompson),,31,40
2,9:18.0,,Defensive rebound by S. Livingston,31,40
2,9:12.0,,S. Livingston makes 2-pt jump shot from 12 ft (assist by A. Iguodala),31,42
2,8:58.0,Turnover by R. Gay (bad pass; steal by S. Livingston),,31,42
2,8:47.0,,Personal foul by D. Bertāns (drawn by S. Livingston),31,42
2,8:47.0,M. Belinelli enters the game for D. Cunningham,,31,42
2,8:47.0,,A. McKinnie enters the game for A. Iguodala,31,42
2,8:39.0,,Shooting foul by R. Gay (drawn by D. Cousins),31,42
2,8:39.0,,D. Cousins misses free throw 1 of 2,31,42
2,8:39.0,,Offensive rebound by Team,31,42
2,8:39.0,J. Poeltl enters the game for P. Gasol,,31,42
2,8:39.0,,D. Cousins misses free throw 2 of 2,31,42
2,8:38.0,Defensive rebound by R. Gay,,31,42
2,8:31.0,D. Bertāns makes 3-pt jump shot from 27 ft (assist by R. Gay),,34,42
2,8:16.0,,Personal foul by J. Poeltl (drawn by D. Cousins),34,42
2,8:11.0,,Personal foul by M. Belinelli (drawn by D. Cousins),34,42
2,8:11.0,,D. Cousins misses free throw 1 of 2,34,42
2,8:11.0,,Offensive rebound by Team,34,42
2,8:11.0,,S. Curry enters the game for D. Green,34,42
2,8:11.0,,D. Cousins makes free throw 2 of 2,34,43
2,8:01.0,R. Gay misses 3-pt jump shot from 24 ft,,34,43
2,7:59.0,,Defensive rebound by Team,34,43
2,7:45.0,,A. McKinnie misses 3-pt jump shot from 22 ft,34,43
2,7:43.0,Defensive rebound by P. Mills,,34,43
2,7:39.0,Shooting foul by A. McKinnie (drawn by D. Bertāns),,34,43
2,7:39.0,D. Bertāns makes free throw 1 of 2,,35,43
2,7:39.0,,K. Looney enters the game for D. Cousins,35,43
2,7:39.0,D. Bertāns makes free throw 2 of 2,,36,43
2,7:26.0,,S. Curry misses 3-pt jump shot from 28 ft,36,43
2,7:24.0,,Offensive rebound by S. Curry,36,43
2,7:24.0,,Turnover by S. Curry (traveling),36,43
2,7:17.0,P. Mills misses 3-pt jump shot from 26 ft,,36,43
2,7:15.0,,Defensive rebound by S. Livingston,36,43
2,7:02.0,,A. McKinnie misses 2-pt jump shot from 7 ft,36,43
2,7:00.0,,Offensive rebound by K. Looney,36,43
2,7:00.0,,K. Looney misses 2-pt layup at rim,36,43
2,6:59.0,,Offensive rebound by K. Looney,36,43
2,6:59.0,,K. Looney makes 2-pt layup at rim,36,45
2,6:43.0,R. Gay makes 2-pt layup from 2 ft (assist by J. Poeltl),,38,45
2,6:29.0,,Offensive foul by A. McKinnie (drawn by P. Mills),38,45
2,6:29.0,,Turnover by A. McKinnie (offensive foul),38,45
2,6:10.0,Shooting foul by A. McKinnie (drawn by R. Gay),,38,45
2,6:10.0,R. Gay makes free throw 1 of 2,,39,45
2,6:10.0,,K. Durant enters the game for A. McKinnie,39,45
2,6:10.0,,D. Green enters the game for K. Thompson,39,45
2,6:10.0,R. Gay makes free throw 2 of 2,,40,45
2,5:57.0,,S. Curry makes 2-pt layup from 2 ft (assist by D. Green),40,47
2,5:39.0,P. Mills misses 3-pt jump shot from 23 ft,,40,47
2,5:37.0,,Defensive rebound by K. Durant,40,47
2,5:31.0,,K. Looney makes 2-pt dunk from 2 ft (assist by S. Curry),40,49
2,5:09.0,R. Gay makes 3-pt jump shot from 25 ft,,43,49
2,4:53.0,,K. Durant misses 2-pt jump shot from 11 ft,43,49
2,4:52.0,Defensive rebound by D. Bertāns,,43,49
2,4:42.0,R. Gay makes 2-pt layup from 1 ft (assist by D. Bertāns),,45,49
2,4:33.0,,S. Curry misses 3-pt jump shot from 26 ft (block by D. Bertāns),45,49
2,4:31.0,Defensive rebound by R. Gay,,45,49
2,4:26.0,D. Bertāns misses 3-pt jump shot from 27 ft,,45,49
2,4:24.0,,Defensive rebound by K. Durant,45,49
2,4:17.0,,Golden State full timeout,45,49
2,4:17.0,B. Forbes enters the game for R. Gay,,45,49
2,4:17.0,,A. Iguodala enters the game for S. Livingston,45,49
2,4:17.0,,K. Thompson enters the game for K. Looney,45,49
2,4:12.0,,K. Durant misses 2-pt layup from 2 ft,45,49
2,4:11.0,Defensive rebound by J. Poeltl,,45,49
2,4:00.0,D. Bertāns misses 2-pt hook shot from 12 ft,,45,49
2,3:59.0,,Defensive rebound by K. Durant,45,49
2,3:53.0,,K. Thompson makes 2-pt layup from 2 ft (assist by K. Durant),45,51
2,3:44.0,M. Belinelli misses 3-pt jump shot from 26 ft,,45,51
2,3:42.0,,Defensive rebound by D. Green,45,51
2,3:38.0,,Shooting foul by M. Belinelli (drawn by K. Durant),45,51
2,3:38.0,,K. Durant makes free throw 1 of 2,45,52
2,3:38.0,,K. Durant makes free throw 2 of 2,45,53
2,3:26.0,Shooting foul by A. Iguodala (drawn by D. Bertāns),,45,53
2,3:26.0,D. Bertāns makes free throw 1 of 2,,46,53
2,3:26.0,D. Bertāns makes free throw 2 of 2,,47,53
2,3:12.0,,Turnover by S. Curry (lost ball; steal by J. Poeltl),47,53
2,3:04.0,P. Mills makes 3-pt jump shot from 23 ft (assist by B. Forbes),,50,53
2,3:01.0,,Golden State full timeout,50,53
2,3:01.0,L. Walker enters the game for P. Mills,,50,53
2,2:50.0,,A. Iguodala makes 2-pt dunk from 1 ft (assist by D. Green),50,55
2,2:33.0,Turnover by J. Poeltl (bad pass; steal by K. Thompson),,50,55
2,2:30.0,,K. Thompson makes 2-pt layup from 1 ft,50,57
2,2:16.0,M. Belinelli misses 2-pt layup from 6 ft,,50,57
2,2:15.0,,Defensive rebound by A. Iguodala,50,57
2,2:10.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by K. Thompson),50,60
2,1:59.0,Turnover by M. Belinelli (bad pass; steal by S. Curry),,50,60
2,1:49.0,,S. Curry makes 2-pt layup from 2 ft,50,62
2,1:32.0,Turnover by B. Forbes (bad pass; steal by D. Green),,50,62
2,1:26.0,,A. Iguodala makes 2-pt dunk from 2 ft (assist by K. Thompson),50,64
2,1:22.0,San Antonio full timeout,,50,64
2,1:22.0,D. Cunningham enters the game for L. Walker,,50,64
2,1:03.0,D. Cunningham makes 2-pt hook shot from 5 ft (assist by J. Poeltl),,52,64
2,0:45.0,,A. Iguodala makes 2-pt layup from 2 ft (assist by S. Curry),52,66
2,0:27.0,J. Poeltl misses 2-pt hook shot from 10 ft,,52,66
2,0:26.0,,Defensive rebound by K. Durant,52,66
2,0:01.0,,Turnover by Team (shot clock),52,66
2,0:00.0,B. Forbes misses 3-pt jump shot from 47 ft (block by S. Curry),,52,66
2,0:00.0,Offensive rebound by Team,,52,66
3,11:46.0,R. Gay makes 2-pt jump shot from 20 ft (assist by J. Poeltl),,54,66
3,11:36.0,,Turnover by D. Green (bad pass; steal by J. Poeltl),54,66
3,11:20.0,R. Gay misses 2-pt jump shot from 21 ft,,54,66
3,11:19.0,,Defensive rebound by D. Cousins,54,66
3,11:12.0,,Offensive foul by D. Cousins (drawn by J. Poeltl),54,66
3,11:12.0,,Turnover by D. Cousins (offensive foul),54,66
3,11:06.0,Personal foul by D. Cousins (drawn by J. Poeltl),,54,66
3,11:04.0,Personal foul by S. Curry (drawn by P. Mills),,54,66
3,11:02.0,P. Mills makes 3-pt jump shot from 26 ft (assist by R. Gay),,57,66
3,10:44.0,,Shooting foul by J. Poeltl (drawn by D. Cousins),57,66
3,10:44.0,,D. Cousins makes free throw 1 of 2,57,67
3,10:44.0,,D. Cousins makes free throw 2 of 2,57,68
3,10:37.0,P. Mills makes 2-pt layup from 1 ft,,59,68
3,10:32.0,,Personal foul by J. Poeltl (drawn by D. Cousins),59,68
3,10:32.0,D. Eubanks enters the game for J. Poeltl,,59,68
3,10:27.0,,D. Green makes 2-pt dunk from 2 ft (assist by D. Cousins),59,70
3,10:20.0,Turnover by P. Mills (bad pass; steal by D. Green),,59,70
3,10:10.0,,K. Durant makes 2-pt dunk from 1 ft (assist by K. Thompson),59,72
3,10:10.0,San Antonio full timeout,,59,72
3,9:56.0,P. Mills misses 3-pt jump shot from 26 ft,,59,72
3,9:54.0,,Defensive rebound by D. Cousins,59,72
3,9:48.0,,K. Thompson makes 2-pt layup from 9 ft (assist by K. Durant),59,74
3,9:39.0,D. Bertāns makes 3-pt jump shot from 23 ft (assist by P. Mills),,62,74
3,9:22.0,,Offensive foul by D. Cousins (drawn by R. Gay),62,74
3,9:22.0,,Turnover by D. Cousins (offensive foul),62,74
3,9:13.0,P. Mills makes 2-pt layup from 1 ft (assist by R. Gay),,64,74
3,9:01.0,,D. Cousins makes 2-pt layup from 3 ft,64,76
3,9:01.0,,Shooting foul by D. Eubanks (drawn by D. Cousins),64,76
3,9:01.0,,D. Cousins makes free throw 1 of 1,64,77
3,8:53.0,P. Mills misses 2-pt jump shot from 20 ft,,64,77
3,8:52.0,,Defensive rebound by D. Green,64,77
3,8:40.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by K. Thompson),64,80
3,8:25.0,Turnover by D. Bertāns (bad pass; steal by K. Durant),,64,80
3,8:21.0,,D. Green makes 2-pt dunk from 1 ft (assist by S. Curry),64,82
3,8:05.0,Turnover by R. Gay (bad pass; steal by S. Curry),,64,82
3,7:58.0,,K. Durant makes 2-pt dunk from 1 ft (assist by S. Curry),64,84
3,7:58.0,San Antonio full timeout,,64,84
3,7:58.0,D. Cunningham enters the game for M. Belinelli,,64,84
3,7:58.0,B. Forbes enters the game for D. Bertāns,,64,84
3,7:58.0,Q. Pondexter enters the game for R. Gay,,64,84
3,7:58.0,L. Walker enters the game for P. Mills,,64,84
3,7:43.0,B. Forbes misses 3-pt jump shot from 27 ft,,64,84
3,7:41.0,,Defensive rebound by D. Green,64,84
3,7:31.0,,Shooting foul by D. Eubanks (drawn by D. Cousins),64,84
3,7:31.0,,D. Cousins makes free throw 1 of 2,64,85
3,7:31.0,C. Metu enters the game for D. Eubanks,,64,85
3,7:31.0,,D. Cousins makes free throw 2 of 2,64,86
3,7:14.0,Q. Pondexter makes 2-pt layup from 3 ft (assist by L. Walker),,66,86
3,7:00.0,,Turnover by S. Curry (bad pass; steal by L. Walker),66,86
3,7:00.0,Personal foul by D. Green (drawn by L. Walker),,66,86
3,6:39.0,B. Forbes misses 2-pt jump shot from 21 ft,,66,86
3,6:35.0,,Defensive rebound by D. Cousins,66,86
3,6:28.0,,D. Green misses 3-pt jump shot from 27 ft,66,86
3,6:24.0,Defensive rebound by B. Forbes,,66,86
3,6:13.0,L. Walker misses 2-pt layup from 4 ft,,66,86
3,6:12.0,Offensive rebound by D. Cunningham,,66,86
3,6:12.0,D. Cunningham makes 2-pt layup at rim,,68,86
3,6:07.0,,Personal foul by C. Metu (drawn by D. Cousins),68,86
3,6:07.0,,D. Cousins misses free throw 1 of 2,68,86
3,6:07.0,,Offensive rebound by Team,68,86
3,6:07.0,D. Eubanks enters the game for C. Metu,,68,86
3,6:07.0,,D. Cousins makes free throw 2 of 2,68,87
3,5:45.0,D. Cunningham misses 3-pt jump shot from 23 ft (block by D. Cousins),,68,87
3,5:43.0,,Defensive rebound by S. Curry,68,87
3,5:40.0,,Shooting foul by D. Eubanks (drawn by D. Cousins),68,87
3,5:40.0,,D. Cousins makes free throw 1 of 2,68,88
3,5:40.0,,D. Cousins makes free throw 2 of 2,68,89
3,5:22.0,Shooting foul by D. Green (drawn by D. Eubanks),,68,89
3,5:22.0,D. Eubanks makes free throw 1 of 2,,69,89
3,5:22.0,,A. Iguodala enters the game for D. Cousins,69,89
3,5:22.0,,K. Looney enters the game for D. Green,69,89
3,5:22.0,D. Eubanks makes free throw 2 of 2,,70,89
3,5:01.0,,K. Looney makes 2-pt layup from 2 ft (assist by A. Iguodala),70,91
3,5:01.0,,Shooting foul by Q. Pondexter (drawn by K. Looney),70,91
3,5:01.0,,K. Looney makes free throw 1 of 1,70,92
3,4:47.0,D. Eubanks makes 2-pt hook shot from 7 ft,,72,92
3,4:47.0,Shooting foul by K. Looney (drawn by D. Eubanks),,72,92
3,4:47.0,D. Eubanks makes free throw 1 of 1,,73,92
3,4:34.0,,S. Curry makes 2-pt layup from 1 ft (assist by K. Durant),73,94
3,4:34.0,,Shooting foul by D. Cunningham (drawn by S. Curry),73,94
3,4:34.0,,S. Curry misses free throw 1 of 1,73,94
3,4:32.0,Defensive rebound by D. Cunningham,,73,94
3,4:14.0,B. Forbes makes 3-pt jump shot from 29 ft (assist by Q. Pondexter),,76,94
3,3:57.0,,K. Thompson makes 2-pt jump shot from 12 ft (assist by S. Curry),76,96
3,3:44.0,L. Walker misses 2-pt jump shot from 19 ft,,76,96
3,3:43.0,,Defensive rebound by K. Durant,76,96
3,3:36.0,,K. Thompson makes 3-pt jump shot from 27 ft (assist by K. Durant),76,99
3,3:17.0,Turnover by B. Forbes (bad pass; steal by K. Durant),,76,99
3,3:12.0,,S. Curry makes 2-pt layup from 2 ft (assist by K. Durant),76,101
3,3:00.0,L. Walker misses 2-pt jump shot from 18 ft,,76,101
3,2:59.0,,Defensive rebound by K. Durant,76,101
3,2:53.0,,K. Thompson makes 3-pt jump shot from 24 ft (assist by K. Durant),76,104
3,2:28.0,B. Forbes makes 3-pt jump shot from 29 ft (assist by D. Cunningham),,79,104
3,2:14.0,,A. Iguodala makes 3-pt jump shot from 23 ft (assist by S. Curry),79,107
3,2:04.0,Personal foul by S. Curry (drawn by B. Forbes),,79,107
3,2:04.0,B. Forbes makes free throw 1 of 2,,80,107
3,2:04.0,M. Belinelli enters the game for L. Walker,,80,107
3,2:04.0,,J. Jerebko enters the game for K. Thompson,80,107
3,2:04.0,B. Forbes makes free throw 2 of 2,,81,107
3,2:00.0,,S. Curry makes 3-pt jump shot from 28 ft (assist by K. Durant),81,110
3,1:48.0,B. Forbes misses 2-pt jump shot from 20 ft,,81,110
3,1:47.0,,Defensive rebound by K. Durant,81,110
3,1:37.0,,K. Durant makes 2-pt dunk from 1 ft (assist by A. Iguodala),81,112
3,1:35.0,San Antonio full timeout,,81,112
3,1:35.0,,Q. Cook enters the game for S. Curry,81,112
3,1:35.0,,S. Livingston enters the game for K. Durant,81,112
3,1:26.0,B. Forbes misses 2-pt jump shot from 17 ft,,81,112
3,1:25.0,,Defensive rebound by A. Iguodala,81,112
3,1:03.0,,K. Looney makes 2-pt jump shot from 17 ft (assist by J. Jerebko),81,114
3,1:03.0,L. Walker enters the game for B. Forbes,,81,114
3,0:40.0,Q. Pondexter makes 2-pt layup from 3 ft,,83,114
3,0:26.0,,A. Iguodala misses 3-pt jump shot from 26 ft,83,114
3,0:24.0,,Offensive rebound by K. Looney,83,114
3,0:23.0,,K. Looney misses 2-pt layup from 4 ft,83,114
3,0:22.0,,Offensive rebound by J. Jerebko,83,114
3,0:22.0,,J. Jerebko misses 2-pt layup from 1 ft,83,114
3,0:22.0,,Offensive rebound by K. Looney,83,114
3,0:22.0,,Shooting foul by D. Cunningham (drawn by K. Looney),83,114
3,0:22.0,,K. Looney misses free throw 1 of 2,83,114
3,0:22.0,,Offensive rebound by Team,83,114
3,0:22.0,,K. Looney makes free throw 2 of 2,83,115
3,0:03.0,Turnover by D. Eubanks (out of bounds lost ball),,83,115
3,0:00.0,,Q. Cook misses 2-pt layup from 5 ft (block by D. Eubanks),83,115
3,0:00.0,,Offensive rebound by Team,83,115
4,11:37.0,,S. Livingston misses 2-pt jump shot from 13 ft,83,115
4,11:36.0,Defensive rebound by D. Cunningham,,83,115
4,11:14.0,Q. Pondexter makes 2-pt dunk from 1 ft (assist by C. Metu),,85,115
4,10:50.0,,J. Bell misses 2-pt jump shot from 16 ft,85,115
4,10:49.0,Defensive rebound by C. Metu,,85,115
4,10:37.0,Shooting foul by J. Bell (drawn by D. Cunningham),,85,115
4,10:37.0,D. Cunningham makes free throw 1 of 2,,86,115
4,10:37.0,D. Cunningham makes free throw 2 of 2,,87,115
4,10:25.0,,Q. Cook misses 2-pt jump shot from 20 ft,87,115
4,10:24.0,Defensive rebound by L. Walker,,87,115
4,10:12.0,Personal foul by K. Looney (drawn by D. Eubanks),,87,115
4,10:06.0,Turnover by L. Walker (bad pass; steal by J. Bell),,87,115
4,10:01.0,,J. Jerebko misses 3-pt jump shot from 29 ft,87,115
4,9:59.0,Defensive rebound by C. Metu,,87,115
4,9:44.0,Q. Pondexter misses 2-pt layup from 4 ft,,87,115
4,9:43.0,,Defensive rebound by J. Bell,87,115
4,9:37.0,,S. Livingston makes 2-pt layup from 3 ft,87,117
4,9:11.0,Q. Pondexter misses 3-pt jump shot from 32 ft,,87,117
4,9:09.0,,Defensive rebound by Q. Cook,87,117
4,8:59.0,,J. Bell makes 2-pt dunk from 1 ft (assist by Q. Cook),87,119
4,8:59.0,,M. Derrickson enters the game for S. Livingston,87,119
4,8:59.0,,A. McKinnie enters the game for K. Looney,87,119
4,8:39.0,C. Metu misses 2-pt jump shot from 11 ft,,87,119
4,8:38.0,,Defensive rebound by J. Jerebko,87,119
4,8:27.0,,M. Derrickson misses 3-pt jump shot from 23 ft,87,119
4,8:25.0,Defensive rebound by L. Walker,,87,119
4,8:20.0,Turnover by L. Walker (traveling),,87,119
4,8:05.0,,J. Jerebko makes 3-pt jump shot from 25 ft (assist by A. McKinnie),87,122
4,7:50.0,Q. Pondexter misses 3-pt jump shot from 25 ft,,87,122
4,7:48.0,,Defensive rebound by J. Bell,87,122
4,7:42.0,,Q. Cook misses 3-pt jump shot from 26 ft,87,122
4,7:40.0,Defensive rebound by D. Eubanks,,87,122
4,7:35.0,Personal foul by J. Bell (drawn by C. Metu),,87,122
4,7:32.0,L. Walker misses 2-pt hook shot from 14 ft,,87,122
4,7:31.0,,Defensive rebound by Q. Cook,87,122
4,7:24.0,,M. Derrickson makes 3-pt jump shot from 27 ft (assist by Q. Cook),87,125
4,7:01.0,L. Walker misses 2-pt jump shot from 18 ft,,87,125
4,7:00.0,,Defensive rebound by Q. Cook,87,125
4,6:47.0,,J. Bell makes 2-pt dunk from 1 ft (assist by Q. Cook),87,127
4,6:29.0,D. Eubanks makes 2-pt hook shot from 8 ft (assist by Q. Pondexter),,89,127
4,6:28.0,,Golden State full timeout,89,127
4,6:14.0,,Q. Cook misses 2-pt layup from 2 ft,89,127
4,6:13.0,Defensive rebound by D. Cunningham,,89,127
4,5:54.0,D. Cunningham makes 2-pt layup from 2 ft,,91,127
4,5:41.0,,J. Bell misses 2-pt jump shot from 18 ft,91,127
4,5:40.0,,Offensive rebound by Q. Cook,91,127
