QUARTER,TIME_REMAINING,ATLANTA_ACTION,UTAH_ACTION,ATLANTA_SCORE,UTAH_SCORE
1,7:23.0,,R. Rubio makes 2-pt layup from 5 ft,15,21
1,7:12.0,T. Young makes 3-pt jump shot from 28 ft,,18,21
1,6:59.0,,J. Crowder misses 3-pt jump shot from 26 ft,18,21
1,6:55.0,,Offensive rebound by D. Favors,18,21
1,6:54.0,,D. Favors makes 2-pt dunk from 2 ft,18,23
1,6:36.0,D. Bembry makes 2-pt jump shot from 7 ft (assist by J. Collins),,20,23
1,6:16.0,,Turnover by J. Crowder (bad pass; steal by D. Dedmon),20,23
1,6:12.0,Turnover by D. Bembry (bad pass; steal by D. Mitchell),,20,23
1,6:08.0,,J. Crowder makes 2-pt layup from 3 ft (assist by D. Mitchell),20,25
1,5:51.0,T. Young makes 2-pt jump shot from 9 ft,,22,25
1,5:42.0,,Personal foul by T. Prince (drawn by J. Ingles),22,25
1,5:42.0,,Utah full timeout,22,25
1,5:42.0,K. Bazemore enters the game for D. Bembry,,22,25
1,5:42.0,O. Spellman enters the game for D. Dedmon,,22,25
1,5:42.0,,K. Korver enters the game for J. Ingles,22,25
1,5:42.0,,R. O'Neale enters the game for R. Rubio,22,25
1,5:34.0,,Turnover by D. Mitchell (bad pass),22,25
1,5:12.0,K. Bazemore makes 2-pt jump shot from 11 ft (assist by T. Young),,24,25
1,5:02.0,,R. O'Neale misses 3-pt jump shot from 26 ft,24,25
1,4:59.0,Defensive rebound by K. Bazemore,,24,25
1,4:49.0,J. Collins makes 2-pt layup from 3 ft (assist by T. Prince),,26,25
1,4:31.0,,J. Crowder misses 3-pt jump shot from 23 ft,26,25
1,4:27.0,Defensive rebound by O. Spellman,,26,25
1,4:23.0,Personal foul by R. O'Neale (drawn by T. Young),,26,25
1,4:23.0,V. Carter enters the game for J. Collins,,26,25
1,4:23.0,J. Lin enters the game for T. Young,,26,25
1,4:14.0,K. Bazemore misses 2-pt jump shot from 9 ft,,26,25
1,4:13.0,,Defensive rebound by R. O'Neale,26,25
1,4:09.0,,D. Mitchell misses 3-pt jump shot from 25 ft,26,25
1,4:06.0,Defensive rebound by Team,,26,25
1,3:47.0,O. Spellman makes 2-pt jump shot from 8 ft,,28,25
1,3:34.0,,Turnover by D. Mitchell (bad pass; steal by J. Lin),28,25
1,3:33.0,Personal foul by R. O'Neale (drawn by J. Lin),,28,25
1,3:33.0,J. Lin makes free throw 1 of 2,,29,25
1,3:33.0,J. Lin makes free throw 2 of 2,,30,25
1,3:22.0,,K. Korver misses 3-pt jump shot from 28 ft,30,25
1,3:19.0,Defensive rebound by J. Lin,,30,25
1,3:09.0,O. Spellman misses 2-pt jump shot from 5 ft (block by D. Favors),,30,25
1,3:09.0,Offensive rebound by Team,,30,25
1,3:01.0,Personal foul by D. Mitchell (drawn by K. Bazemore),,30,25
1,3:01.0,K. Bazemore makes free throw 1 of 2,,31,25
1,3:01.0,K. Bazemore makes free throw 2 of 2,,32,25
1,2:51.0,,K. Korver misses 3-pt jump shot from 25 ft,32,25
1,2:48.0,,Offensive rebound by Team,32,25
1,2:48.0,Atlanta full timeout,,32,25
1,2:44.0,,D. Mitchell makes 2-pt layup from 4 ft (assist by R. O'Neale),32,27
1,2:29.0,O. Spellman misses 3-pt jump shot from 23 ft,,32,27
1,2:26.0,,Defensive rebound by K. Korver,32,27
1,2:23.0,,J. Crowder misses 3-pt jump shot from 27 ft,32,27
1,2:17.0,,Offensive rebound by D. Favors,32,27
1,2:17.0,,D. Favors makes 2-pt layup from 1 ft,32,29
1,2:00.0,T. Prince makes 2-pt layup from 2 ft,,34,29
1,1:48.0,,Offensive foul by R. O'Neale (drawn by T. Prince),34,29
1,1:48.0,,Turnover by R. O'Neale (offensive foul),34,29
1,1:48.0,A. Len enters the game for J. Lin,,34,29
1,1:48.0,T. Young enters the game for O. Spellman,,34,29
1,1:48.0,,J. Ingles enters the game for D. Favors,34,29
1,1:48.0,,R. Rubio enters the game for D. Mitchell,34,29
1,1:48.0,,E. Udoh enters the game for R. O'Neale,34,29
1,1:34.0,Turnover by T. Young (out of bounds lost ball),,34,29
1,1:24.0,,J. Crowder makes 2-pt dunk from 2 ft (assist by J. Ingles),34,31
1,1:07.0,T. Prince misses 3-pt jump shot from 26 ft,,34,31
1,1:05.0,,Defensive rebound by J. Crowder,34,31
1,0:53.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by J. Ingles),34,34
1,0:43.0,V. Carter misses 3-pt jump shot from 26 ft,,34,34
1,0:41.0,,Defensive rebound by K. Korver,34,34
1,0:21.0,,Turnover by R. Rubio (lost ball; steal by V. Carter),34,34
1,0:16.0,K. Bazemore misses 2-pt layup from 3 ft,,34,34
1,0:13.0,,Defensive rebound by K. Korver,34,34
1,0:03.0,,Personal take foul by K. Bazemore (drawn by J. Ingles),34,34
1,0:03.0,D. Bembry enters the game for V. Carter,,34,34
1,0:03.0,K. Huerter enters the game for A. Len,,34,34
1,0:01.0,,Shooting foul by K. Bazemore (drawn by J. Ingles),34,34
1,0:01.0,,J. Ingles makes free throw 1 of 2,34,35
1,0:01.0,,J. Ingles makes free throw 2 of 2,34,36
1,0:00.0,K. Bazemore misses 3-pt jump shot from 49 ft,,34,36
1,0:00.0,Offensive rebound by Team,,34,36
2,11:47.0,A. Len misses 3-pt jump shot from 25 ft,,34,36
2,11:44.0,Offensive rebound by A. Len,,34,36
2,11:39.0,J. Collins misses 2-pt jump shot from 8 ft,,34,36
2,11:39.0,Offensive rebound by Team,,34,36
2,11:36.0,J. Collins makes 2-pt layup from 6 ft (assist by K. Huerter),,36,36
2,11:23.0,,Turnover by K. Korver (bad pass; steal by A. Len),36,36
2,11:21.0,K. Huerter makes 3-pt jump shot from 26 ft,,39,36
2,11:00.0,,R. Rubio misses 3-pt jump shot from 26 ft,39,36
2,10:57.0,Defensive rebound by A. Len,,39,36
2,10:54.0,Offensive foul by J. Collins (drawn by J. Crowder),,39,36
2,10:54.0,Turnover by J. Collins (offensive foul),,39,36
2,10:44.0,,J. Ingles makes 2-pt layup from 5 ft (assist by R. Gobert),39,38
2,10:32.0,A. Len misses 3-pt jump shot from 25 ft,,39,38
2,10:30.0,,Defensive rebound by K. Korver,39,38
2,10:21.0,,K. Korver makes 2-pt layup from 2 ft (assist by R. Rubio),39,40
2,10:11.0,T. Young misses 2-pt jump shot from 14 ft,,39,40
2,10:07.0,,Defensive rebound by K. Korver,39,40
2,10:00.0,,Turnover by J. Ingles (bad pass; steal by J. Collins),39,40
2,9:51.0,K. Huerter misses 3-pt jump shot from 26 ft,,39,40
2,9:48.0,,Defensive rebound by J. Crowder,39,40
2,9:44.0,,R. Rubio misses 3-pt jump shot from 26 ft,39,40
2,9:41.0,Defensive rebound by Team,,39,40
2,9:41.0,D. Dedmon enters the game for A. Len,,39,40
2,9:29.0,J. Collins makes 2-pt layup from 3 ft (assist by K. Huerter),,41,40
2,9:28.0,,Utah full timeout,41,40
2,9:28.0,,G. Allen enters the game for K. Korver,41,40
2,9:11.0,,J. Crowder misses 3-pt jump shot from 25 ft,41,40
2,9:07.0,Defensive rebound by D. Bembry,,41,40
2,8:50.0,J. Collins misses 2-pt layup from 3 ft,,41,40
2,8:48.0,,Defensive rebound by R. Gobert,41,40
2,8:38.0,,G. Allen misses 3-pt jump shot from 23 ft,41,40
2,8:34.0,Defensive rebound by D. Dedmon,,41,40
2,8:28.0,K. Huerter makes 3-pt jump shot from 24 ft (assist by T. Young),,44,40
2,8:04.0,,Turnover by J. Ingles (bad pass; steal by D. Bembry),44,40
2,7:57.0,D. Dedmon makes 3-pt jump shot from 26 ft (assist by D. Bembry),,47,40
2,7:36.0,,G. Allen misses 3-pt jump shot from 26 ft,47,40
2,7:34.0,Defensive rebound by D. Bembry,,47,40
2,7:28.0,D. Bembry misses 2-pt jump shot from 13 ft,,47,40
2,7:25.0,,Defensive rebound by R. Gobert,47,40
2,7:05.0,,J. Ingles misses 3-pt jump shot from 24 ft,47,40
2,7:02.0,Defensive rebound by D. Bembry,,47,40
2,6:52.0,J. Collins misses 3-pt jump shot from 25 ft,,47,40
2,6:49.0,Offensive rebound by Team,,47,40
2,6:49.0,O. Spellman enters the game for J. Collins,,47,40
2,6:49.0,,K. Korver enters the game for J. Crowder,47,40
2,6:49.0,,D. Mitchell enters the game for J. Ingles,47,40
2,6:49.0,,G. Niang enters the game for R. Rubio,47,40
2,6:43.0,D. Dedmon misses 3-pt jump shot from 25 ft,,47,40
2,6:38.0,,Defensive rebound by G. Niang,47,40
2,6:29.0,,D. Mitchell misses 2-pt layup from 4 ft,47,40
2,6:27.0,,Offensive rebound by R. Gobert,47,40
2,6:27.0,,Shooting foul by D. Dedmon (drawn by R. Gobert),47,40
2,6:27.0,,R. Gobert makes free throw 1 of 2,47,41
2,6:27.0,T. Prince enters the game for D. Bembry,,47,41
2,6:27.0,,R. Gobert makes free throw 2 of 2,47,42
2,6:13.0,D. Dedmon makes 2-pt layup from 3 ft (assist by T. Young),,49,42
2,6:13.0,V. Carter enters the game for D. Dedmon,,49,42
2,5:50.0,,D. Mitchell misses 2-pt jump shot from 8 ft (block by O. Spellman),49,42
2,5:48.0,Defensive rebound by T. Young,,49,42
2,5:46.0,T. Young misses 2-pt layup from 4 ft (block by G. Allen),,49,42
2,5:46.0,Offensive rebound by Team,,49,42
2,5:32.0,T. Prince makes 2-pt dunk from 2 ft,,51,42
2,5:15.0,,D. Mitchell misses 2-pt layup from 4 ft,51,42
2,5:14.0,Defensive rebound by T. Young,,51,42
2,5:00.0,T. Young misses 3-pt jump shot from 30 ft,,51,42
2,4:57.0,,Defensive rebound by G. Niang,51,42
2,4:50.0,,G. Niang misses 3-pt jump shot from 25 ft,51,42
2,4:46.0,Defensive rebound by K. Huerter,,51,42
2,4:40.0,K. Huerter makes 2-pt jump shot from 19 ft,,53,42
2,4:25.0,,Personal foul by T. Prince (drawn by D. Mitchell),53,42
2,4:25.0,K. Bazemore enters the game for K. Huerter,,53,42
2,4:25.0,J. Lin enters the game for T. Young,,53,42
2,4:25.0,,D. Favors enters the game for R. Gobert,53,42
2,4:18.0,,G. Niang makes 3-pt jump shot from 22 ft (assist by D. Favors),53,45
2,4:03.0,J. Lin makes 2-pt layup from 2 ft (assist by K. Bazemore),,55,45
2,4:03.0,,Violation by Team (def goaltending),55,45
2,3:46.0,,G. Niang makes 3-pt jump shot from 24 ft (assist by K. Korver),55,48
2,3:33.0,Personal foul by D. Mitchell (drawn by J. Lin),,55,48
2,3:24.0,T. Prince makes 3-pt jump shot from 25 ft,,58,48
2,3:11.0,,D. Mitchell misses 2-pt layup from 2 ft,58,48
2,3:08.0,,Offensive rebound by D. Favors,58,48
2,3:08.0,,D. Favors makes 2-pt layup from 1 ft,58,50
2,3:06.0,,Violation by Team (delay of game),58,50
2,2:58.0,O. Spellman misses 3-pt jump shot from 24 ft,,58,50
2,2:54.0,,Defensive rebound by K. Korver,58,50
2,2:48.0,,Personal foul by T. Prince (drawn by G. Allen),58,50
2,2:48.0,Atlanta full timeout,,58,50
2,2:48.0,J. Collins enters the game for O. Spellman,,58,50
2,2:48.0,,J. Crowder enters the game for G. Allen,58,50
2,2:48.0,,J. Ingles enters the game for K. Korver,58,50
2,2:48.0,,R. Rubio enters the game for G. Niang,58,50
2,2:35.0,,D. Favors makes 2-pt hook shot from 3 ft,58,52
2,2:12.0,K. Bazemore misses 2-pt jump shot from 14 ft,,58,52
2,2:08.0,,Defensive rebound by J. Crowder,58,52
2,1:47.0,,D. Mitchell misses 3-pt jump shot from 23 ft,58,52
2,1:42.0,,Offensive rebound by J. Crowder,58,52
2,1:42.0,,J. Crowder misses 2-pt layup from 1 ft,58,52
2,1:41.0,Defensive rebound by K. Bazemore,,58,52
2,1:37.0,K. Bazemore makes 2-pt layup from 3 ft,,60,52
2,1:22.0,,Personal foul by J. Collins (drawn by D. Favors),60,52
2,1:22.0,D. Bembry enters the game for J. Collins,,60,52
2,1:22.0,D. Dedmon enters the game for T. Prince,,60,52
2,1:15.0,,R. Rubio misses 3-pt jump shot from 23 ft,60,52
2,1:12.0,Defensive rebound by D. Bembry,,60,52
2,0:57.0,J. Lin misses 2-pt jump shot from 13 ft,,60,52
2,0:54.0,Offensive rebound by D. Bembry,,60,52
2,0:50.0,Offensive foul by K. Bazemore (drawn by D. Mitchell),,60,52
2,0:50.0,Turnover by K. Bazemore (offensive foul),,60,52
2,0:50.0,Technical foul by K. Bazemore,,60,52
2,0:50.0,,R. Rubio makes technical free throw,60,53
2,0:50.0,K. Huerter enters the game for K. Bazemore,,60,53
2,0:50.0,T. Young enters the game for J. Lin,,60,53
2,0:40.0,,D. Mitchell makes 2-pt layup from 3 ft (assist by D. Favors),60,55
2,0:32.0,T. Young misses 2-pt jump shot from 16 ft,,60,55
2,0:30.0,,Defensive rebound by J. Ingles,60,55
2,0:09.0,,J. Crowder makes 3-pt jump shot from 23 ft (assist by R. Rubio),60,58
2,0:03.0,Personal foul by J. Ingles (drawn by D. Bembry),,60,58
2,0:00.0,D. Dedmon misses 3-pt jump shot from 29 ft,,60,58
2,0:00.0,Offensive rebound by Team,,60,58
3,11:42.0,Turnover by D. Bembry (bad pass; steal by D. Favors),,60,58
3,11:34.0,,D. Mitchell makes 2-pt jump shot from 7 ft,60,60
3,11:13.0,J. Collins misses 2-pt jump shot from 3 ft (block by D. Favors),,60,60
3,11:10.0,,Defensive rebound by R. Rubio,60,60
3,11:10.0,,Personal foul by D. Bembry (drawn by R. Rubio),60,60
3,10:52.0,,R. Rubio makes 2-pt jump shot from 19 ft (assist by D. Mitchell),60,62
3,10:33.0,J. Collins misses 2-pt jump shot from 10 ft,,60,62
3,10:31.0,,Defensive rebound by R. Gobert,60,62
3,10:25.0,,R. Gobert makes 2-pt layup from 2 ft (assist by J. Ingles),60,64
3,10:25.0,,Shooting foul by D. Dedmon (drawn by R. Gobert),60,64
3,10:25.0,,R. Gobert misses free throw 1 of 1,60,64
3,10:24.0,Defensive rebound by J. Collins,,60,64
3,10:11.0,K. Huerter misses 2-pt layup from 4 ft (block by R. Gobert),,60,64
3,10:09.0,,Defensive rebound by J. Ingles,60,64
3,10:03.0,,Turnover by D. Mitchell (bad pass; steal by D. Dedmon),60,64
3,9:59.0,Shooting foul by D. Mitchell (drawn by D. Dedmon),,60,64
3,9:59.0,D. Dedmon makes free throw 1 of 2,,61,64
3,9:59.0,D. Dedmon makes free throw 2 of 2,,62,64
3,9:44.0,,Turnover by R. Gobert (lost ball; steal by T. Young),62,64
3,9:38.0,T. Young misses 2-pt layup from 2 ft,,62,64
3,9:37.0,Offensive rebound by D. Dedmon,,62,64
3,9:37.0,D. Dedmon misses 2-pt dunk from 1 ft,,62,64
3,9:37.0,,Defensive rebound by Team,62,64
3,9:37.0,Loose ball foul by J. Collins (drawn by D. Favors),,62,64
3,9:37.0,O. Spellman enters the game for J. Collins,,62,64
3,9:27.0,,D. Favors misses 3-pt jump shot from 22 ft,62,64
3,9:23.0,Defensive rebound by D. Bembry,,62,64
3,9:12.0,O. Spellman makes 3-pt jump shot from 23 ft (assist by D. Bembry),,65,64
3,9:09.0,Violation by Team (delay of game),,65,64
3,8:55.0,,D. Mitchell misses 2-pt jump shot from 15 ft,65,64
3,8:53.0,,Offensive rebound by D. Favors,65,64
3,8:53.0,,Shooting foul by D. Dedmon (drawn by D. Favors),65,64
3,8:53.0,,D. Favors makes free throw 1 of 2,65,65
3,8:53.0,,D. Favors makes free throw 2 of 2,65,66
3,8:38.0,D. Bembry misses 3-pt jump shot from 26 ft,,65,66
3,8:35.0,,Defensive rebound by Team,65,66
3,8:35.0,Loose ball foul by O. Spellman (drawn by R. Gobert),,65,66
3,8:35.0,,R. Gobert makes free throw 1 of 2,65,67
3,8:35.0,,R. Gobert misses free throw 2 of 2,65,67
3,8:33.0,Defensive rebound by D. Dedmon,,65,67
3,8:17.0,T. Young misses 3-pt jump shot from 31 ft,,65,67
3,8:14.0,Offensive rebound by D. Dedmon,,65,67
3,8:08.0,O. Spellman misses 3-pt jump shot from 26 ft,,65,67
3,8:04.0,,Defensive rebound by D. Mitchell,65,67
3,7:54.0,,R. Rubio makes 3-pt jump shot from 23 ft (assist by D. Mitchell),65,70
3,7:32.0,D. Bembry misses 2-pt layup from 3 ft,,65,70
3,7:30.0,,Defensive rebound by R. Gobert,65,70
3,7:13.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by R. Rubio),65,72
3,7:09.0,Atlanta full timeout,,65,72
3,7:09.0,K. Bazemore enters the game for D. Bembry,,65,72
3,7:09.0,V. Carter enters the game for D. Dedmon,,65,72
3,7:09.0,A. Len enters the game for K. Huerter,,65,72
3,7:09.0,J. Lin enters the game for O. Spellman,,65,72
3,7:09.0,T. Prince enters the game for T. Young,,65,72
3,6:56.0,T. Prince misses 2-pt jump shot from 6 ft,,65,72
3,6:51.0,Offensive rebound by T. Prince,,65,72
3,6:51.0,T. Prince misses 2-pt layup from 1 ft,,65,72
3,6:49.0,Offensive rebound by A. Len,,65,72
3,6:49.0,A. Len misses 2-pt layup from 1 ft,,65,72
3,6:49.0,,Defensive rebound by R. Gobert,65,72
3,6:42.0,,D. Mitchell misses 2-pt layup from 3 ft (block by A. Len),65,72
3,6:37.0,Defensive rebound by A. Len,,65,72
3,6:30.0,J. Lin misses 3-pt jump shot from 25 ft,,65,72
3,6:25.0,,Defensive rebound by J. Ingles,65,72
3,6:08.0,,Shooting foul by T. Prince (drawn by R. Gobert),65,72
3,6:08.0,,R. Gobert makes free throw 1 of 2,65,73
3,6:08.0,,J. Crowder enters the game for D. Favors,65,73
3,6:08.0,,K. Korver enters the game for J. Ingles,65,73
3,6:08.0,,R. Gobert makes free throw 2 of 2,65,74
3,5:56.0,Shooting foul by K. Korver (drawn by T. Prince),,65,74
3,5:56.0,T. Prince makes free throw 1 of 2,,66,74
3,5:56.0,T. Prince makes free throw 2 of 2,,67,74
3,5:46.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by R. Rubio),67,76
3,5:18.0,K. Bazemore misses 3-pt jump shot from 24 ft,,67,76
3,5:15.0,,Defensive rebound by R. Gobert,67,76
3,5:10.0,,Turnover by J. Crowder (bad pass; steal by K. Bazemore),67,76
3,5:06.0,K. Bazemore makes 2-pt layup from 2 ft,,69,76
3,4:46.0,,R. Rubio misses 2-pt jump shot from 11 ft,69,76
3,4:43.0,Defensive rebound by T. Prince,,69,76
3,4:38.0,Turnover by T. Prince (traveling),,69,76
3,4:38.0,,R. O'Neale enters the game for R. Rubio,69,76
3,4:28.0,,D. Mitchell makes 2-pt layup from 4 ft,69,78
3,4:13.0,A. Len misses 2-pt jump shot from 6 ft (block by R. Gobert),,69,78
3,4:10.0,,Defensive rebound by R. Gobert,69,78
3,4:07.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by D. Mitchell),69,81
3,4:05.0,Atlanta full timeout,,69,81
3,4:05.0,D. Dedmon enters the game for V. Carter,,69,81
3,4:05.0,K. Huerter enters the game for A. Len,,69,81
3,4:05.0,O. Spellman enters the game for J. Lin,,69,81
3,4:05.0,T. Young enters the game for T. Prince,,69,81
3,3:59.0,K. Bazemore misses 3-pt jump shot from 25 ft,,69,81
3,3:55.0,,Defensive rebound by R. Gobert,69,81
3,3:41.0,,Turnover by R. Gobert (lost ball; steal by O. Spellman),69,81
3,3:33.0,T. Young makes 2-pt jump shot from 13 ft,,71,81
3,3:21.0,,D. Mitchell makes 2-pt jump shot from 10 ft,71,83
3,3:01.0,D. Dedmon makes 2-pt jump shot from 5 ft,,73,83
3,2:44.0,,D. Mitchell misses 2-pt layup from 5 ft,73,83
3,2:42.0,,Offensive rebound by Team,73,83
3,2:42.0,,R. Rubio enters the game for D. Mitchell,73,83
3,2:37.0,,K. Korver makes 2-pt jump shot from 20 ft,73,85
3,2:26.0,T. Young misses 3-pt jump shot from 25 ft,,73,85
3,2:24.0,,Defensive rebound by R. Gobert,73,85
3,2:19.0,,Offensive foul by R. Rubio (drawn by T. Young),73,85
3,2:19.0,,Turnover by R. Rubio (offensive foul),73,85
3,2:19.0,,D. Favors enters the game for R. Gobert,73,85
3,2:10.0,T. Young makes 3-pt jump shot from 28 ft (assist by D. Dedmon),,76,85
3,2:08.0,,Utah full timeout,76,85
3,2:01.0,,Personal foul by K. Bazemore (drawn by R. Rubio),76,85
3,2:01.0,,R. Rubio makes free throw 1 of 2,76,86
3,2:01.0,D. Bembry enters the game for K. Bazemore,,76,86
3,2:01.0,,R. Rubio makes free throw 2 of 2,76,87
3,1:40.0,T. Young misses 2-pt jump shot from 3 ft,,76,87
3,1:40.0,Offensive rebound by Team,,76,87
3,1:38.0,D. Bembry makes 2-pt dunk from 2 ft (assist by K. Huerter),,78,87
3,1:21.0,,D. Favors misses 2-pt jump shot from 4 ft,78,87
3,1:18.0,,Offensive rebound by D. Favors,78,87
3,1:18.0,,D. Favors makes 2-pt dunk at rim,78,89
3,1:06.0,K. Huerter makes 3-pt jump shot from 33 ft (assist by T. Young),,81,89
3,1:04.0,Loose ball foul by O. Spellman (drawn by R. Rubio),,81,89
3,1:04.0,,R. Rubio makes free throw 1 of 2,81,90
3,1:04.0,,J. Ingles enters the game for R. O'Neale,81,90
3,1:04.0,,R. Rubio misses free throw 2 of 2,81,90
3,1:02.0,Defensive rebound by D. Dedmon,,81,90
3,0:52.0,O. Spellman makes 2-pt dunk from 1 ft (assist by K. Huerter),,83,90
3,0:37.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by R. Rubio),83,93
3,0:30.0,Shooting foul by R. Rubio (drawn by T. Young),,83,93
3,0:30.0,T. Young misses free throw 1 of 2,,83,93
3,0:30.0,Offensive rebound by Team,,83,93
3,0:30.0,T. Young makes free throw 2 of 2,,84,93
3,0:14.0,,R. Rubio makes 3-pt jump shot from 24 ft (assist by J. Ingles),84,96
3,0:04.0,O. Spellman misses 2-pt layup from 3 ft (block by J. Ingles),,84,96
3,0:03.0,Offensive rebound by Team,,84,96
3,0:02.0,T. Young makes 3-pt jump shot from 23 ft (assist by K. Huerter),,87,96
3,0:01.0,,Turnover by D. Favors (bad pass; steal by D. Dedmon),87,96
3,0:01.0,T. Young misses 3-pt jump shot from 49 ft,,87,96
3,0:00.0,Offensive rebound by Team,,87,96
4,11:47.0,,J. Crowder makes 3-pt jump shot from 23 ft (assist by D. Favors),87,99
4,11:30.0,J. Collins makes 2-pt layup from 2 ft (assist by K. Huerter),,89,99
4,11:20.0,,Personal foul by T. Young (drawn by D. Favors),89,99
4,11:12.0,,J. Ingles misses 3-pt jump shot from 25 ft,89,99
4,11:09.0,,Offensive rebound by D. Favors,89,99
4,11:08.0,,K. Korver misses 3-pt jump shot from 26 ft,89,99
4,11:06.0,Defensive rebound by D. Dedmon,,89,99
4,11:00.0,D. Dedmon makes 3-pt jump shot from 28 ft (assist by T. Young),,92,99
4,10:43.0,,Shooting foul by T. Young (drawn by R. Rubio),92,99
4,10:43.0,,R. Rubio makes free throw 1 of 2,92,100
4,10:43.0,,R. Rubio makes free throw 2 of 2,92,101
4,10:31.0,Personal foul by R. Rubio (drawn by J. Collins),,92,101
4,10:29.0,J. Collins misses 3-pt jump shot from 25 ft,,92,101
4,10:27.0,,Defensive rebound by J. Crowder,92,101
4,10:12.0,,K. Korver misses 2-pt jump shot from 24 ft,92,101
4,10:09.0,,Offensive rebound by D. Favors,92,101
4,10:06.0,,K. Korver makes 2-pt layup from 2 ft (assist by D. Favors),92,103
4,9:55.0,K. Huerter misses 3-pt jump shot from 24 ft,,92,103
4,9:52.0,Offensive rebound by T. Young,,92,103
4,9:49.0,D. Bembry misses 3-pt jump shot from 26 ft,,92,103
4,9:46.0,,Defensive rebound by R. Rubio,92,103
4,9:41.0,,R. Rubio makes 2-pt layup from 3 ft (assist by K. Korver),92,105
4,9:29.0,T. Young makes 3-pt jump shot from 29 ft,,95,105
4,9:10.0,,D. Favors makes 2-pt dunk from 1 ft (assist by R. Rubio),95,107
4,8:55.0,J. Collins makes 2-pt dunk from 2 ft (assist by T. Young),,97,107
4,8:37.0,,J. Crowder misses 2-pt layup from 3 ft (block by D. Dedmon),97,107
4,8:34.0,Defensive rebound by K. Huerter,,97,107
4,8:29.0,D. Bembry misses 3-pt jump shot from 23 ft,,97,107
4,8:26.0,,Defensive rebound by J. Crowder,97,107
4,8:18.0,,J. Ingles makes 2-pt layup from 2 ft (assist by J. Crowder),97,109
4,8:10.0,Atlanta full timeout,,97,109
4,8:10.0,T. Prince enters the game for D. Bembry,,97,109
4,8:10.0,,R. Gobert enters the game for J. Crowder,97,109
4,8:10.0,,D. Mitchell enters the game for D. Favors,97,109
4,8:10.0,,G. Niang enters the game for J. Ingles,97,109
4,7:56.0,Turnover by J. Collins (traveling),,97,109
