QUARTER,TIME_REMAINING,WASHINGTON_ACTION,BOSTON_ACTION,WASHINGTON_SCORE,BOSTON_SCORE
1,1:32.0,B. Beal makes 3-pt jump shot from 27 ft,,17,25
1,1:12.0,,D. Theis makes 3-pt jump shot from 25 ft (assist by G. Hayward),17,28
1,0:57.0,T. Brown makes 2-pt jump shot from 18 ft (assist by J. Parker),,19,28
1,0:39.0,,D. Theis makes 2-pt dunk from 1 ft (assist by J. Tatum),19,30
1,0:29.0,Shooting foul by J. Tatum (drawn by J. Parker),,19,30
1,0:29.0,J. Parker makes free throw 1 of 2,,20,30
1,0:29.0,,M. Morris enters the game for J. Tatum,20,30
1,0:29.0,J. Parker misses free throw 2 of 2,,20,30
1,0:27.0,,Defensive rebound by D. Theis,20,30
1,0:10.0,,J. Brown misses 3-pt jump shot from 25 ft,20,30
1,0:07.0,Defensive rebound by B. Beal,,20,30
1,0:01.0,T. Brown misses 3-pt jump shot from 23 ft,,20,30
1,0:01.0,,Defensive rebound by Team,20,30
2,11:45.0,T. Brown misses 2-pt jump shot from 13 ft,,20,30
2,11:43.0,,Defensive rebound by M. Morris,20,30
2,11:36.0,,Turnover by T. Rozier (traveling),20,30
2,11:26.0,W. Johnson makes 3-pt jump shot from 26 ft (assist by J. Parker),,23,30
2,11:05.0,,M. Morris misses 2-pt jump shot from 18 ft,23,30
2,11:03.0,Defensive rebound by T. Bryant,,23,30
2,10:55.0,W. Johnson misses 3-pt jump shot from 23 ft,,23,30
2,10:52.0,,Defensive rebound by G. Hayward,23,30
2,10:48.0,,J. Brown misses 2-pt layup from 2 ft,23,30
2,10:46.0,Defensive rebound by T. Brown,,23,30
2,10:34.0,C. Randle misses 3-pt jump shot from 26 ft,,23,30
2,10:32.0,,Defensive rebound by Team,23,30
2,10:21.0,,M. Morris misses 3-pt jump shot from 26 ft,23,30
2,10:17.0,Defensive rebound by T. Brown,,23,30
2,10:08.0,T. Brown misses 2-pt dunk from 2 ft (block by G. Hayward),,23,30
2,10:06.0,Offensive rebound by T. Bryant,,23,30
2,9:57.0,T. Bryant misses 3-pt jump shot from 22 ft,,23,30
2,9:55.0,,Defensive rebound by Team,23,30
2,9:40.0,,T. Rozier misses 3-pt jump shot from 24 ft,23,30
2,9:37.0,Defensive rebound by T. Brown,,23,30
2,9:25.0,J. Parker misses 3-pt jump shot from 26 ft,,23,30
2,9:23.0,,Defensive rebound by T. Rozier,23,30
2,9:15.0,,T. Rozier misses 2-pt layup from 2 ft,23,30
2,9:14.0,,Offensive rebound by M. Morris,23,30
2,9:13.0,,Turnover by M. Morris (traveling),23,30
2,9:04.0,Turnover by J. Parker (bad pass; steal by T. Rozier),,23,30
2,8:59.0,,M. Morris makes 2-pt dunk from 1 ft (assist by G. Hayward),23,32
2,8:56.0,Washington full timeout,,23,32
2,8:56.0,,M. Smart enters the game for J. Brown,23,32
2,8:40.0,W. Johnson misses 3-pt jump shot from 23 ft,,23,32
2,8:36.0,,Defensive rebound by M. Morris,23,32
2,8:16.0,,M. Smart makes 3-pt jump shot from 28 ft (assist by D. Theis),23,35
2,8:00.0,T. Brown makes 2-pt layup from 1 ft,,25,35
2,8:00.0,Shooting foul by T. Rozier (drawn by T. Brown),,25,35
2,8:00.0,T. Satoranský enters the game for C. Randle,,25,35
2,8:00.0,,A. Horford enters the game for D. Theis,25,35
2,8:00.0,T. Brown makes free throw 1 of 1,,26,35
2,7:47.0,,Offensive foul by G. Hayward (drawn by T. Brown),26,35
2,7:47.0,,Turnover by G. Hayward (offensive foul),26,35
2,7:47.0,J. Green enters the game for T. Brown,,26,35
2,7:35.0,W. Johnson misses 2-pt jump shot from 13 ft,,26,35
2,7:33.0,,Defensive rebound by A. Horford,26,35
2,7:30.0,,M. Morris misses 3-pt jump shot from 24 ft,26,35
2,7:24.0,,Offensive rebound by T. Rozier,26,35
2,7:24.0,,T. Rozier makes 2-pt layup from 1 ft,26,37
2,7:07.0,T. Satoranský makes 3-pt jump shot from 25 ft (assist by J. Parker),,29,37
2,6:50.0,,Personal foul by T. Satoranský (drawn by A. Horford),29,37
2,6:50.0,T. Ariza enters the game for T. Bryant,,29,37
2,6:50.0,B. Beal enters the game for W. Johnson,,29,37
2,6:50.0,,K. Irving enters the game for G. Hayward,29,37
2,6:38.0,,K. Irving misses 2-pt jump shot from 10 ft,29,37
2,6:35.0,Defensive rebound by T. Satoranský,,29,37
2,6:31.0,Turnover by T. Ariza (bad pass; steal by A. Horford),,29,37
2,6:27.0,,M. Morris misses 2-pt jump shot from 22 ft,29,37
2,6:23.0,,Offensive rebound by A. Horford,29,37
2,6:21.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by A. Horford),29,40
2,6:10.0,T. Ariza misses 3-pt jump shot from 26 ft,,29,40
2,6:08.0,,Defensive rebound by M. Morris,29,40
2,5:46.0,,M. Morris misses 3-pt jump shot from 25 ft,29,40
2,5:44.0,Defensive rebound by B. Beal,,29,40
2,5:40.0,T. Ariza makes 2-pt layup from 2 ft (assist by B. Beal),,31,40
2,5:39.0,,Boston full timeout,31,40
2,5:19.0,,M. Morris misses 3-pt jump shot from 24 ft,31,40
2,5:16.0,Defensive rebound by T. Ariza,,31,40
2,5:11.0,B. Beal makes 3-pt jump shot from 26 ft (assist by T. Satoranský),,34,40
2,4:57.0,,A. Horford makes 2-pt layup from 2 ft (assist by K. Irving),34,42
2,4:37.0,B. Beal misses 3-pt jump shot from 25 ft,,34,42
2,4:35.0,,Defensive rebound by M. Smart,34,42
2,4:13.0,,T. Rozier misses 3-pt jump shot from 25 ft,34,42
2,4:10.0,Defensive rebound by B. Beal,,34,42
2,4:02.0,B. Beal makes 3-pt jump shot from 27 ft (assist by T. Ariza),,37,42
2,3:37.0,,A. Horford misses 2-pt hook shot from 3 ft,37,42
2,3:37.0,Defensive rebound by T. Ariza,,37,42
2,3:27.0,J. Parker makes 2-pt dunk from 1 ft (assist by B. Beal),,39,42
2,3:13.0,,A. Horford makes 2-pt layup from 2 ft (assist by K. Irving),39,44
2,2:58.0,J. Parker misses 3-pt jump shot from 25 ft,,39,44
2,2:56.0,,Defensive rebound by Team,39,44
2,2:56.0,B. Portis enters the game for J. Parker,,39,44
2,2:56.0,,J. Brown enters the game for A. Horford,39,44
2,2:56.0,,J. Tatum enters the game for M. Morris,39,44
2,2:56.0,,D. Theis enters the game for T. Rozier,39,44
2,2:42.0,,K. Irving misses 2-pt jump shot from 11 ft,39,44
2,2:40.0,Defensive rebound by B. Beal,,39,44
2,2:35.0,Shooting foul by D. Theis (drawn by J. Green),,39,44
2,2:35.0,J. Green makes free throw 1 of 2,,40,44
2,2:35.0,J. Green makes free throw 2 of 2,,41,44
2,2:25.0,,K. Irving misses 2-pt layup from 1 ft (block by B. Beal),41,44
2,2:24.0,Defensive rebound by T. Satoranský,,41,44
2,2:21.0,T. Ariza makes 2-pt dunk from 1 ft (assist by T. Satoranský),,43,44
2,2:21.0,,Boston full timeout,43,44
2,2:11.0,,Turnover by M. Smart (bad pass; steal by B. Beal),43,44
2,2:07.0,Shooting foul by M. Smart (drawn by J. Green),,43,44
2,2:07.0,J. Green makes free throw 1 of 2,,44,44
2,2:07.0,,A. Horford enters the game for D. Theis,44,44
2,2:07.0,J. Green makes free throw 2 of 2,,45,44
2,1:57.0,,K. Irving misses 2-pt jump shot from 20 ft,45,44
2,1:55.0,Defensive rebound by T. Ariza,,45,44
2,1:39.0,J. Green misses 3-pt jump shot from 26 ft,,45,44
2,1:37.0,,Defensive rebound by J. Brown,45,44
2,1:29.0,,J. Brown misses 2-pt jump shot from 15 ft,45,44
2,1:26.0,Defensive rebound by T. Satoranský,,45,44
2,1:20.0,B. Beal misses 2-pt jump shot from 21 ft,,45,44
2,1:18.0,,Defensive rebound by A. Horford,45,44
2,1:11.0,,A. Horford makes 2-pt jump shot from 18 ft (assist by K. Irving),45,46
2,0:53.0,Turnover by T. Ariza (bad pass; steal by M. Smart),,45,46
2,0:50.0,,Turnover by K. Irving (lost ball; steal by T. Satoranský),45,46
2,0:48.0,Turnover by T. Satoranský (lost ball; steal by J. Tatum),,45,46
2,0:46.0,,K. Irving makes 3-pt jump shot from 25 ft (assist by J. Tatum),45,49
2,0:29.0,Turnover by T. Ariza (bad pass; steal by J. Tatum),,45,49
2,0:15.0,,Personal foul by B. Beal (drawn by K. Irving),45,49
2,0:04.0,,K. Irving misses 2-pt jump shot from 20 ft,45,49
2,0:01.0,Defensive rebound by J. Green,,45,49
2,0:00.0,T. Satoranský misses 3-pt jump shot from 47 ft,,45,49
2,0:00.0,Offensive rebound by Team,,45,49
3,11:48.0,B. Portis makes 2-pt layup from 3 ft,,47,49
3,11:37.0,,K. Irving makes 2-pt jump shot from 21 ft,47,51
3,11:19.0,B. Portis misses 2-pt jump shot from 13 ft,,47,51
3,11:18.0,,Defensive rebound by M. Morris,47,51
3,11:01.0,,Shooting foul by T. Ariza (drawn by M. Morris),47,51
3,11:01.0,,M. Morris misses free throw 1 of 2,47,51
3,11:01.0,,Offensive rebound by Team,47,51
3,11:01.0,,M. Morris misses free throw 2 of 2,47,51
3,11:01.0,Defensive rebound by B. Portis,,47,51
3,10:45.0,B. Beal makes 2-pt jump shot from 10 ft,,49,51
3,10:28.0,,K. Irving makes 2-pt jump shot from 19 ft,49,53
3,10:14.0,J. Green makes 2-pt jump shot from 10 ft (assist by B. Beal),,51,53
3,10:00.0,,M. Morris makes 2-pt dunk from 1 ft (assist by K. Irving),51,55
3,9:51.0,J. Green misses 3-pt jump shot from 23 ft,,51,55
3,9:49.0,,Defensive rebound by J. Tatum,51,55
3,9:43.0,,J. Tatum makes 2-pt layup from 2 ft,51,57
3,9:21.0,B. Beal makes 2-pt layup from 2 ft,,53,57
3,9:04.0,,M. Smart makes 3-pt jump shot from 23 ft (assist by A. Horford),53,60
3,8:46.0,J. Green makes 3-pt jump shot from 24 ft (assist by B. Beal),,56,60
3,8:28.0,,M. Morris misses 3-pt jump shot from 24 ft,56,60
3,8:26.0,Defensive rebound by B. Portis,,56,60
3,8:16.0,Offensive foul by B. Portis (drawn by M. Smart),,56,60
3,8:16.0,Turnover by B. Portis (offensive foul),,56,60
3,8:05.0,,Shooting foul by B. Portis (drawn by A. Horford),56,60
3,8:05.0,,A. Horford makes free throw 1 of 2,56,61
3,8:05.0,,A. Horford makes free throw 2 of 2,56,62
3,7:53.0,B. Portis makes 2-pt jump shot from 11 ft (assist by T. Satoranský),,58,62
3,7:37.0,,K. Irving makes 2-pt layup from 2 ft,58,64
3,7:27.0,T. Satoranský misses 2-pt jump shot from 19 ft,,58,64
3,7:25.0,,Defensive rebound by J. Tatum,58,64
3,7:12.0,,A. Horford misses 2-pt hook shot from 2 ft,58,64
3,7:10.0,Defensive rebound by B. Beal,,58,64
3,6:58.0,Shooting foul by K. Irving (drawn by B. Portis),,58,64
3,6:58.0,,Boston full timeout,58,64
3,6:58.0,B. Portis makes free throw 1 of 2,,59,64
3,6:58.0,B. Portis makes free throw 2 of 2,,60,64
3,6:43.0,,M. Smart makes 3-pt jump shot from 24 ft (assist by K. Irving),60,67
3,6:25.0,B. Beal makes 3-pt jump shot from 25 ft,,63,67
3,6:11.0,,K. Irving makes 2-pt layup from 1 ft,63,69
3,5:58.0,B. Beal misses 2-pt jump shot from 18 ft,,63,69
3,5:55.0,Offensive rebound by B. Portis,,63,69
3,5:54.0,B. Portis misses 2-pt layup from 1 ft,,63,69
3,5:53.0,,Defensive rebound by M. Morris,63,69
3,5:48.0,,J. Tatum misses 3-pt jump shot from 23 ft,63,69
3,5:46.0,Defensive rebound by J. Green,,63,69
3,5:36.0,B. Portis misses 3-pt jump shot from 25 ft,,63,69
3,5:31.0,,Defensive rebound by K. Irving,63,69
3,5:17.0,,A. Horford makes 2-pt jump shot from 11 ft,63,71
3,4:59.0,T. Satoranský makes 2-pt layup from 6 ft,,65,71
3,4:46.0,,A. Horford misses 2-pt jump shot from 16 ft,65,71
3,4:42.0,,Offensive rebound by M. Morris,65,71
3,4:41.0,,M. Morris makes 2-pt layup at rim,65,73
3,4:23.0,J. Green makes 2-pt jump shot from 18 ft,,67,73
3,4:00.0,,J. Tatum makes 2-pt dunk from 1 ft,67,75
3,3:41.0,B. Beal makes 2-pt dunk from 2 ft (assist by T. Satoranský),,69,75
3,3:27.0,,J. Tatum misses 2-pt jump shot from 13 ft,69,75
3,3:24.0,,Offensive rebound by M. Smart,69,75
3,3:23.0,,M. Morris misses 3-pt jump shot from 23 ft,69,75
3,3:21.0,Defensive rebound by B. Beal,,69,75
3,3:13.0,B. Beal makes 2-pt layup from 1 ft,,71,75
3,2:46.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by J. Tatum),71,78
3,2:38.0,Washington full timeout,,71,78
3,2:38.0,T. Brown enters the game for T. Ariza,,71,78
3,2:38.0,J. Parker enters the game for J. Green,,71,78
3,2:38.0,,J. Brown enters the game for A. Horford,71,78
3,2:38.0,,G. Hayward enters the game for M. Smart,71,78
3,2:38.0,,D. Theis enters the game for J. Tatum,71,78
3,2:24.0,T. Satoranský makes 3-pt jump shot from 25 ft (assist by B. Beal),,74,78
3,2:06.0,,M. Morris misses 3-pt jump shot from 23 ft,74,78
3,2:04.0,,Offensive rebound by D. Theis,74,78
3,2:01.0,,Turnover by G. Hayward (bad pass; steal by T. Brown),74,78
3,1:59.0,T. Brown makes 2-pt dunk from 1 ft,,76,78
3,1:40.0,,M. Morris makes 2-pt dunk at rim (assist by K. Irving),76,80
3,1:28.0,B. Portis misses 2-pt hook shot from 5 ft,,76,80
3,1:26.0,,Defensive rebound by K. Irving,76,80
3,1:22.0,,K. Irving misses 3-pt jump shot from 28 ft,76,80
3,1:20.0,Defensive rebound by J. Parker,,76,80
3,1:09.0,J. Parker misses 2-pt layup from 2 ft,,76,80
3,1:07.0,Offensive rebound by J. Parker,,76,80
3,1:06.0,J. Parker makes 2-pt layup from 1 ft,,78,80
3,0:51.0,,G. Hayward misses 3-pt jump shot from 23 ft,78,80
3,0:49.0,Defensive rebound by B. Beal,,78,80
3,0:42.0,Personal foul by K. Irving (drawn by J. Parker),,78,80
3,0:42.0,T. Bryant enters the game for B. Portis,,78,80
3,0:42.0,,T. Rozier enters the game for K. Irving,78,80
3,0:32.0,T. Satoranský misses 2-pt jump shot from 20 ft,,78,80
3,0:29.0,,Defensive rebound by T. Rozier,78,80
3,0:23.0,,D. Theis makes 2-pt layup from 1 ft (assist by T. Rozier),78,82
3,0:00.0,J. Parker makes 3-pt jump shot from 25 ft (assist by B. Beal),,81,82
4,11:47.0,,Turnover by J. Tatum (bad pass),81,82
4,11:34.0,J. Parker makes 2-pt jump shot from 15 ft (assist by W. Johnson),,83,82
4,11:14.0,,Personal foul by W. Johnson (drawn by J. Tatum),83,82
4,11:08.0,,J. Brown makes 3-pt jump shot from 26 ft (assist by G. Hayward),83,85
4,10:56.0,T. Satoranský makes 2-pt layup from 3 ft,,85,85
4,10:56.0,Shooting foul by T. Rozier (drawn by T. Satoranský),,85,85
4,10:56.0,T. Satoranský makes free throw 1 of 1,,86,85
4,10:44.0,,J. Brown misses 3-pt jump shot from 26 ft,86,85
4,10:43.0,Defensive rebound by T. Bryant,,86,85
4,10:27.0,W. Johnson misses 3-pt jump shot from 23 ft,,86,85
4,10:25.0,,Defensive rebound by Team,86,85
4,10:13.0,,Personal foul by W. Johnson (drawn by J. Tatum),86,85
4,10:05.0,,Shooting foul by J. Parker (drawn by J. Brown),86,85
4,10:05.0,,J. Brown makes free throw 1 of 2,86,86
4,10:05.0,,J. Brown makes free throw 2 of 2,86,87
4,9:53.0,Turnover by J. Parker (bad pass),,86,87
4,9:36.0,,D. Theis misses 2-pt layup from 2 ft,86,87
4,9:34.0,Defensive rebound by T. Bryant,,86,87
4,9:29.0,J. Parker misses 2-pt layup from 5 ft,,86,87
4,9:25.0,,Defensive rebound by J. Tatum,86,87
4,9:16.0,,J. Tatum misses 2-pt layup from 2 ft (block by T. Bryant),86,87
4,9:13.0,,Offensive rebound by J. Tatum,86,87
4,9:08.0,,J. Brown misses 2-pt layup from 2 ft (block by T. Brown),86,87
4,9:07.0,Defensive rebound by T. Brown,,86,87
4,9:06.0,Turnover by W. Johnson (out of bounds lost ball),,86,87
4,9:00.0,,J. Tatum makes 2-pt jump shot from 15 ft (assist by T. Rozier),86,89
4,8:39.0,T. Brown misses 2-pt jump shot from 15 ft,,86,89
4,8:38.0,,Defensive rebound by Team,86,89
4,8:38.0,T. Ariza enters the game for W. Johnson,,86,89
4,8:27.0,,J. Tatum misses 2-pt jump shot from 8 ft (block by T. Ariza),86,89
4,8:26.0,,Offensive rebound by D. Theis,86,89
4,8:25.0,,D. Theis makes 2-pt dunk from 1 ft,86,91
4,8:25.0,Washington full timeout,,86,91
4,8:25.0,B. Beal enters the game for T. Brown,,86,91
4,8:25.0,J. Green enters the game for T. Satoranský,,86,91
4,8:12.0,B. Beal makes 2-pt dunk from 1 ft (assist by J. Parker),,88,91
4,7:50.0,,D. Theis misses 3-pt jump shot from 24 ft,88,91
4,7:48.0,Defensive rebound by J. Parker,,88,91
4,7:38.0,Turnover by J. Parker (bad pass; steal by J. Tatum),,88,91
4,7:34.0,,T. Rozier misses 2-pt layup from 5 ft (block by J. Green),88,91
4,7:32.0,,Offensive rebound by G. Hayward,88,91
4,7:30.0,,G. Hayward misses 2-pt layup from 1 ft (block by T. Bryant),88,91
4,7:30.0,,Offensive rebound by J. Tatum,88,91
4,7:23.0,,J. Brown makes 2-pt jump shot from 9 ft,88,93
4,7:07.0,Turnover by B. Beal (bad pass; steal by D. Theis),,88,93
4,7:03.0,,T. Rozier makes 2-pt layup from 1 ft (assist by J. Brown),88,95
4,6:53.0,Turnover by B. Beal (bad pass; steal by T. Rozier),,88,95
4,6:50.0,,T. Rozier makes 2-pt dunk from 1 ft,88,97
4,6:50.0,Washington full timeout,,88,97
4,6:50.0,B. Portis enters the game for T. Bryant,,88,97
4,6:40.0,Turnover by J. Parker (out of bounds lost ball),,88,97
4,6:26.0,,D. Theis misses 3-pt jump shot from 24 ft,88,97
4,6:23.0,Defensive rebound by J. Parker,,88,97
4,6:17.0,Personal foul by D. Theis (drawn by B. Beal),,88,97
4,6:17.0,T. Satoranský enters the game for J. Parker,,88,97
4,6:17.0,,A. Horford enters the game for G. Hayward,88,97
4,6:17.0,,K. Irving enters the game for T. Rozier,88,97
4,6:17.0,,M. Smart enters the game for D. Theis,88,97
4,6:08.0,T. Ariza misses 3-pt jump shot from 24 ft,,88,97
4,6:04.0,Offensive rebound by B. Portis,,88,97
4,6:03.0,B. Beal misses 3-pt jump shot from 26 ft,,88,97
4,6:00.0,Offensive rebound by T. Ariza,,88,97
4,5:59.0,B. Beal misses 3-pt jump shot from 23 ft,,88,97
4,5:58.0,,Defensive rebound by J. Tatum,88,97
4,5:40.0,,J. Brown misses 3-pt jump shot from 27 ft,88,97
4,5:39.0,Defensive rebound by B. Portis,,88,97
4,5:22.0,T. Satoranský misses 3-pt jump shot from 26 ft,,88,97
4,5:20.0,Offensive rebound by B. Beal,,88,97
4,5:11.0,Turnover by T. Ariza (bad pass),,88,97
4,5:09.0,,J. Tatum misses 3-pt jump shot from 26 ft,88,97
4,5:07.0,Defensive rebound by T. Satoranský,,88,97
4,4:59.0,Personal foul by J. Tatum (drawn by B. Portis),,88,97
4,4:55.0,T. Ariza misses 3-pt jump shot from 26 ft,,88,97
4,4:52.0,,Defensive rebound by Team,88,97
4,4:32.0,,J. Tatum misses 3-pt jump shot from 24 ft,88,97
4,4:31.0,Defensive rebound by Team,,88,97
4,4:31.0,,Loose ball foul by K. Irving (drawn by B. Portis),88,97
4,4:31.0,,G. Hayward enters the game for J. Tatum,88,97
4,4:22.0,B. Beal misses 2-pt jump shot from 20 ft,,88,97
4,4:20.0,,Defensive rebound by Team,88,97
4,4:20.0,Loose ball foul by B. Portis (drawn by A. Horford),,88,97
4,4:00.0,,J. Brown makes 2-pt layup from 2 ft,88,99
4,3:51.0,T. Satoranský makes 2-pt layup from 2 ft (assist by T. Ariza),,90,99
4,3:50.0,,Boston full timeout,90,99
4,3:35.0,,K. Irving misses 3-pt jump shot from 25 ft,90,99
4,3:31.0,Defensive rebound by J. Green,,90,99
4,3:18.0,T. Satoranský misses 2-pt layup from 3 ft (block by A. Horford),,90,99
4,3:16.0,,Defensive rebound by A. Horford,90,99
