QUARTER,TIME_REMAINING,ATLANTA_ACTION,SACRAMENTO_ACTION,ATLANTA_SCORE,SACRAMENTO_SCORE
2,10:34.0,,Shooting foul by K. Huerter (drawn by M. Bagley),31,32
2,10:34.0,,M. Bagley makes free throw 1 of 2,31,33
2,10:34.0,,M. Bagley makes free throw 2 of 2,31,34
2,10:18.0,J. Collins misses 2-pt layup from 6 ft,,31,34
2,10:16.0,,Defensive rebound by H. Giles,31,34
2,10:08.0,,H. Giles makes 2-pt dunk from 1 ft (assist by B. Bogdanović),31,36
2,9:52.0,D. Bembry makes 2-pt dunk from 1 ft (assist by T. Young),,33,36
2,9:46.0,,Shooting foul by V. Carter (drawn by M. Bagley),33,36
2,9:46.0,,M. Bagley misses free throw 1 of 2,33,36
2,9:46.0,,Offensive rebound by Team,33,36
2,9:46.0,,M. Bagley makes free throw 2 of 2,33,37
2,9:32.0,Turnover by T. Young (bad pass),,33,37
2,9:18.0,,H. Giles makes 2-pt layup from 3 ft,33,39
2,9:09.0,Personal foul by Y. Ferrell (drawn by V. Carter),,33,39
2,9:09.0,T. Prince enters the game for D. Bembry,,33,39
2,9:01.0,V. Carter misses 3-pt jump shot from 26 ft,,33,39
2,8:56.0,,Defensive rebound by J. Jackson,33,39
2,8:50.0,,Y. Ferrell makes 2-pt layup from 1 ft (assist by J. Jackson),33,41
2,8:48.0,Atlanta full timeout,,33,41
2,8:40.0,T. Young makes 3-pt jump shot from 26 ft,,36,41
2,8:13.0,,M. Bagley misses 3-pt jump shot from 23 ft,36,41
2,8:10.0,,Offensive rebound by H. Giles,36,41
2,8:06.0,,Turnover by M. Bagley (traveling),36,41
2,8:06.0,D. Dedmon enters the game for V. Carter,,36,41
2,7:44.0,J. Collins misses 2-pt jump shot from 19 ft,,36,41
2,7:40.0,,Defensive rebound by H. Giles,36,41
2,7:37.0,,Y. Ferrell makes 3-pt jump shot from 25 ft,36,44
2,7:22.0,D. Dedmon misses 3-pt jump shot from 26 ft,,36,44
2,7:19.0,,Defensive rebound by B. Bogdanović,36,44
2,7:16.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,36,44
2,7:12.0,Defensive rebound by D. Dedmon,,36,44
2,7:08.0,T. Young misses 3-pt jump shot from 28 ft,,36,44
2,7:04.0,Offensive rebound by J. Collins,,36,44
2,7:01.0,J. Collins misses 2-pt jump shot from 8 ft,,36,44
2,6:59.0,,Defensive rebound by M. Bagley,36,44
2,6:49.0,,Y. Ferrell makes 2-pt jump shot from 11 ft (assist by J. Jackson),36,46
2,6:29.0,T. Young makes 2-pt layup from 3 ft,,38,46
2,6:21.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,38,46
2,6:20.0,Defensive rebound by Team,,38,46
2,6:20.0,,Loose ball foul by M. Bagley (drawn by T. Young),38,46
2,6:03.0,Turnover by T. Young (bad pass; steal by M. Bagley),,38,46
2,5:58.0,,Y. Ferrell misses 3-pt jump shot from 25 ft,38,46
2,5:54.0,Defensive rebound by J. Collins,,38,46
2,5:49.0,K. Huerter misses 3-pt jump shot from 24 ft,,38,46
2,5:46.0,,Defensive rebound by M. Bagley,38,46
2,5:42.0,,M. Bagley makes 2-pt layup from 2 ft,38,48
2,5:42.0,Atlanta full timeout,,38,48
2,5:42.0,K. Bazemore enters the game for J. Collins,,38,48
2,5:42.0,J. Lin enters the game for K. Huerter,,38,48
2,5:42.0,O. Spellman enters the game for T. Young,,38,48
2,5:42.0,,W. Cauley-Stein enters the game for Y. Ferrell,38,48
2,5:42.0,,D. Fox enters the game for H. Giles,38,48
2,5:23.0,Shooting foul by M. Bagley (drawn by K. Bazemore),,38,48
2,5:23.0,K. Bazemore makes free throw 1 of 2,,39,48
2,5:23.0,K. Bazemore misses free throw 2 of 2,,39,48
2,5:20.0,,Defensive rebound by W. Cauley-Stein,39,48
2,5:10.0,,B. Bogdanović misses 2-pt layup from 2 ft (block by D. Dedmon),39,48
2,5:07.0,,Offensive rebound by W. Cauley-Stein,39,48
2,5:05.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,39,48
2,5:02.0,Defensive rebound by D. Dedmon,,39,48
2,4:49.0,T. Prince makes 3-pt jump shot from 24 ft,,42,48
2,4:35.0,,W. Cauley-Stein makes 2-pt hook shot from 3 ft,42,50
2,4:23.0,Shooting foul by W. Cauley-Stein (drawn by T. Prince),,42,50
2,4:23.0,T. Prince makes free throw 1 of 2,,43,50
2,4:23.0,,B. Hield enters the game for B. Bogdanović,43,50
2,4:23.0,,I. Shumpert enters the game for J. Jackson,43,50
2,4:23.0,T. Prince makes free throw 2 of 2,,44,50
2,4:12.0,,M. Bagley makes 2-pt jump shot from 17 ft (assist by D. Fox),44,52
2,4:02.0,Turnover by T. Prince (bad pass),,44,52
2,3:49.0,,D. Fox misses 2-pt jump shot from 7 ft,44,52
2,3:45.0,,Offensive rebound by M. Bagley,44,52
2,3:44.0,,M. Bagley makes 2-pt jump shot from 6 ft,44,54
2,3:29.0,J. Lin misses 2-pt jump shot from 7 ft,,44,54
2,3:27.0,,Defensive rebound by M. Bagley,44,54
2,3:23.0,,B. Hield misses 2-pt layup from 3 ft,44,54
2,3:21.0,,Offensive rebound by W. Cauley-Stein,44,54
2,3:21.0,,W. Cauley-Stein makes 2-pt dunk at rim,44,56
2,3:09.0,Personal foul by B. Hield (drawn by T. Prince),,44,56
2,3:09.0,T. Prince makes free throw 1 of 2,,45,56
2,3:09.0,D. Bembry enters the game for K. Bazemore,,45,56
2,3:09.0,J. Collins enters the game for D. Dedmon,,45,56
2,3:09.0,A. Len enters the game for J. Lin,,45,56
2,3:09.0,T. Young enters the game for O. Spellman,,45,56
2,3:09.0,,N. Bjelica enters the game for M. Bagley,45,56
2,3:09.0,T. Prince misses free throw 2 of 2,,45,56
2,3:06.0,,Defensive rebound by I. Shumpert,45,56
2,2:54.0,,B. Hield misses 3-pt jump shot from 25 ft,45,56
2,2:51.0,Defensive rebound by T. Prince,,45,56
2,2:32.0,D. Bembry misses 2-pt layup from 7 ft,,45,56
2,2:30.0,Offensive rebound by J. Collins,,45,56
2,2:29.0,J. Collins misses 2-pt layup from 3 ft,,45,56
2,2:28.0,,Defensive rebound by N. Bjelica,45,56
2,2:23.0,,Personal foul by T. Young (drawn by W. Cauley-Stein),45,56
2,2:23.0,K. Bazemore enters the game for T. Prince,,45,56
2,2:14.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by D. Fox),45,59
2,2:06.0,T. Young makes 3-pt jump shot from 26 ft,,48,59
2,1:56.0,,Personal foul by T. Young (drawn by N. Bjelica),48,59
2,1:47.0,,B. Hield misses 3-pt jump shot from 26 ft,48,59
2,1:43.0,,Offensive rebound by N. Bjelica,48,59
2,1:41.0,,N. Bjelica makes 2-pt layup from 3 ft,48,61
2,1:32.0,Personal foul by N. Bjelica (drawn by T. Young),,48,61
2,1:32.0,T. Young makes free throw 1 of 2,,49,61
2,1:32.0,T. Young makes free throw 2 of 2,,50,61
2,1:25.0,,D. Fox makes 2-pt layup from 2 ft,50,63
2,1:24.0,Turnover by J. Collins (inbound),,50,63
2,1:24.0,,Sacramento full timeout,50,63
2,1:18.0,,D. Fox makes 2-pt layup from 2 ft,50,65
2,1:18.0,,Shooting foul by A. Len (drawn by D. Fox),50,65
2,1:18.0,,D. Fox misses free throw 1 of 1,50,65
2,1:13.0,Defensive rebound by D. Bembry,,50,65
2,1:03.0,Shooting foul by N. Bjelica (drawn by T. Young),,50,65
2,1:03.0,T. Young misses free throw 1 of 2,,50,65
2,1:03.0,Offensive rebound by Team,,50,65
2,1:03.0,T. Young makes free throw 2 of 2,,51,65
2,0:54.0,,D. Fox misses 2-pt jump shot from 12 ft,51,65
2,0:48.0,Defensive rebound by D. Bembry,,51,65
2,0:39.0,J. Collins misses 3-pt jump shot from 23 ft,,51,65
2,0:35.0,,Defensive rebound by D. Fox,51,65
2,0:27.0,,I. Shumpert misses 2-pt jump shot from 16 ft,51,65
2,0:26.0,Defensive rebound by Team,,51,65
2,0:26.0,,Loose ball foul by W. Cauley-Stein (drawn by J. Collins),51,65
2,0:26.0,J. Collins makes free throw 1 of 2,,52,65
2,0:26.0,T. Prince enters the game for A. Len,,52,65
2,0:26.0,J. Collins makes free throw 2 of 2,,53,65
2,0:02.0,,I. Shumpert misses 2-pt jump shot from 20 ft,53,65
2,0:00.0,,Offensive rebound by D. Fox,53,65
2,0:00.0,,D. Fox makes 2-pt layup from 2 ft,53,67
2,0:00.0,D. Bembry misses 3-pt jump shot from 45 ft,,53,67
2,0:00.0,Offensive rebound by Team,,53,67
3,11:48.0,,N. Bjelica misses 3-pt jump shot from 25 ft,53,67
3,11:45.0,Defensive rebound by K. Huerter,,53,67
3,11:38.0,J. Collins misses 3-pt jump shot from 24 ft,,53,67
3,11:34.0,,Defensive rebound by B. Hield,53,67
3,11:27.0,,Turnover by W. Cauley-Stein (out of bounds lost ball),53,67
3,11:18.0,J. Collins misses 3-pt jump shot from 26 ft,,53,67
3,11:14.0,Offensive rebound by D. Bembry,,53,67
3,11:13.0,D. Bembry misses 2-pt layup from 6 ft (block by D. Fox),,53,67
3,11:13.0,,Defensive rebound by I. Shumpert,53,67
3,11:09.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by I. Shumpert),53,70
3,10:57.0,Personal foul by W. Cauley-Stein (drawn by J. Collins),,53,70
3,10:49.0,Turnover by D. Dedmon (bad pass; steal by I. Shumpert),,53,70
3,10:36.0,,N. Bjelica misses 2-pt jump shot from 5 ft (block by K. Huerter),53,70
3,10:33.0,Defensive rebound by K. Huerter,,53,70
3,10:33.0,D. Bembry makes 2-pt layup from 2 ft (assist by K. Huerter),,55,70
3,10:33.0,Shooting foul by B. Hield (drawn by D. Bembry),,55,70
3,10:33.0,,H. Giles enters the game for W. Cauley-Stein,55,70
3,10:33.0,D. Bembry misses free throw 1 of 1,,55,70
3,10:30.0,,Defensive rebound by N. Bjelica,55,70
3,10:17.0,,I. Shumpert misses 2-pt jump shot from 20 ft,55,70
3,10:12.0,Defensive rebound by D. Dedmon,,55,70
3,10:05.0,J. Collins misses 2-pt layup from 2 ft,,55,70
3,10:04.0,Offensive rebound by J. Collins,,55,70
3,10:04.0,J. Collins misses 2-pt layup at rim,,55,70
3,10:04.0,Offensive rebound by Team,,55,70
3,10:04.0,,Loose ball foul by N. Bjelica (drawn by J. Collins),55,70
3,9:54.0,K. Huerter makes 3-pt jump shot from 25 ft,,58,70
3,9:54.0,,Sacramento full timeout,58,70
3,9:40.0,,B. Hield makes 2-pt jump shot from 21 ft,58,72
3,9:14.0,D. Dedmon misses 2-pt jump shot from 8 ft,,58,72
3,9:10.0,,Defensive rebound by H. Giles,58,72
3,8:54.0,,I. Shumpert makes 3-pt jump shot from 23 ft (assist by B. Hield),58,75
3,8:41.0,Turnover by T. Young (bad pass),,58,75
3,8:39.0,,Offensive foul by B. Hield (drawn by D. Bembry),58,75
3,8:39.0,,Turnover by B. Hield (offensive foul),58,75
3,8:30.0,K. Huerter makes 3-pt jump shot from 25 ft,,61,75
3,8:20.0,,D. Fox makes 2-pt jump shot from 3 ft,61,77
3,8:20.0,,Shooting foul by D. Dedmon (drawn by D. Fox),61,77
3,8:20.0,,D. Fox makes free throw 1 of 1,61,78
3,8:06.0,K. Huerter misses 3-pt jump shot from 25 ft,,61,78
3,8:04.0,,Defensive rebound by D. Fox,61,78
3,8:01.0,,Turnover by D. Fox (bad pass),61,78
3,7:53.0,Turnover by T. Young (bad pass; steal by I. Shumpert),,61,78
3,7:48.0,,N. Bjelica makes 3-pt jump shot from 25 ft (assist by I. Shumpert),61,81
3,7:45.0,Atlanta full timeout,,61,81
3,7:45.0,J. Lin enters the game for D. Bembry,,61,81
3,7:45.0,T. Prince enters the game for T. Young,,61,81
3,7:45.0,,B. Bogdanović enters the game for B. Hield,61,81
3,7:26.0,T. Prince makes 2-pt layup from 2 ft (assist by J. Lin),,63,81
3,7:12.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by H. Giles),63,83
3,6:57.0,Personal foul by H. Giles (drawn by J. Collins),,63,83
3,6:53.0,J. Collins misses 3-pt jump shot from 25 ft,,63,83
3,6:50.0,,Defensive rebound by N. Bjelica,63,83
3,6:32.0,,H. Giles makes 2-pt hook shot from 8 ft (assist by B. Bogdanović),63,85
3,6:16.0,J. Lin misses 2-pt jump shot from 10 ft,,63,85
3,6:14.0,,Defensive rebound by H. Giles,63,85
3,6:09.0,,D. Fox misses 2-pt jump shot from 17 ft,63,85
3,6:06.0,Defensive rebound by D. Dedmon,,63,85
3,6:06.0,O. Spellman enters the game for J. Collins,,63,85
3,5:44.0,K. Huerter misses 3-pt jump shot from 30 ft,,63,85
3,5:41.0,,Defensive rebound by B. Bogdanović,63,85
3,5:33.0,,N. Bjelica misses 2-pt layup from 2 ft,63,85
3,5:32.0,,Offensive rebound by N. Bjelica,63,85
3,5:31.0,,N. Bjelica misses 2-pt layup from 2 ft,63,85
3,5:29.0,,Offensive rebound by N. Bjelica,63,85
3,5:27.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,63,85
3,5:24.0,,Offensive rebound by H. Giles,63,85
3,5:20.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Fox),63,88
3,5:02.0,O. Spellman misses 3-pt jump shot from 25 ft,,63,88
3,5:02.0,Offensive rebound by D. Dedmon,,63,88
3,4:56.0,D. Dedmon misses 2-pt jump shot from 17 ft,,63,88
3,4:54.0,,Defensive rebound by B. Bogdanović,63,88
3,4:46.0,,Turnover by D. Fox (bad pass; steal by D. Dedmon),63,88
3,4:42.0,Turnover by D. Dedmon (lost ball; steal by N. Bjelica),,63,88
3,4:40.0,,H. Giles makes 2-pt layup from 2 ft (assist by N. Bjelica),63,90
3,4:40.0,Atlanta full timeout,,63,90
3,4:40.0,K. Bazemore enters the game for D. Dedmon,,63,90
3,4:40.0,A. Len enters the game for K. Huerter,,63,90
3,4:30.0,Personal foul by H. Giles (drawn by J. Lin),,63,90
3,4:30.0,J. Lin makes free throw 1 of 2,,64,90
3,4:30.0,J. Lin makes free throw 2 of 2,,65,90
3,4:17.0,,H. Giles makes 2-pt hook shot from 9 ft (assist by D. Fox),65,92
3,4:06.0,O. Spellman misses 2-pt jump shot from 13 ft,,65,92
3,4:03.0,,Defensive rebound by D. Fox,65,92
3,3:59.0,,H. Giles makes 2-pt layup from 2 ft (assist by D. Fox),65,94
3,3:50.0,Personal foul by D. Fox (drawn by J. Lin),,65,94
3,3:50.0,J. Lin makes free throw 1 of 2,,66,94
3,3:50.0,,M. Bagley enters the game for N. Bjelica,66,94
3,3:50.0,,Y. Ferrell enters the game for D. Fox,66,94
3,3:50.0,J. Lin makes free throw 2 of 2,,67,94
3,3:33.0,,Y. Ferrell makes 2-pt jump shot from 20 ft,67,96
3,3:23.0,Offensive foul by O. Spellman (drawn by Y. Ferrell),,67,96
3,3:23.0,Turnover by O. Spellman (offensive foul),,67,96
3,3:23.0,T. Young enters the game for J. Lin,,67,96
3,3:09.0,,Y. Ferrell misses 3-pt jump shot from 25 ft,67,96
3,3:05.0,Defensive rebound by T. Prince,,67,96
3,2:57.0,T. Prince makes 3-pt jump shot from 25 ft,,70,96
3,2:46.0,,Offensive foul by B. Bogdanović (drawn by K. Bazemore),70,96
3,2:46.0,,Turnover by B. Bogdanović (offensive foul),70,96
3,2:46.0,,J. Jackson enters the game for I. Shumpert,70,96
3,2:35.0,K. Bazemore misses 3-pt jump shot from 23 ft,,70,96
3,2:32.0,,Defensive rebound by J. Jackson,70,96
3,2:18.0,,Shooting foul by K. Bazemore (drawn by B. Bogdanović),70,96
3,2:18.0,,B. Bogdanović makes free throw 1 of 3,70,97
3,2:18.0,,B. Bogdanović makes free throw 2 of 3,70,98
3,2:18.0,,B. Bogdanović makes free throw 3 of 3,70,99
3,2:03.0,K. Bazemore makes 3-pt jump shot from 25 ft (assist by T. Prince),,73,99
3,1:51.0,,H. Giles makes 2-pt layup from 2 ft (assist by B. Bogdanović),73,101
3,1:32.0,A. Len makes 2-pt layup from 4 ft (assist by T. Prince),,75,101
3,1:21.0,,B. Bogdanović misses 2-pt layup from 3 ft,75,101
3,1:21.0,Defensive rebound by A. Len,,75,101
3,1:09.0,A. Len misses 2-pt hook shot from 6 ft,,75,101
3,1:06.0,,Defensive rebound by M. Bagley,75,101
3,1:00.0,,M. Bagley misses 3-pt jump shot from 26 ft,75,101
3,0:57.0,Defensive rebound by A. Len,,75,101
3,0:49.0,O. Spellman misses 3-pt jump shot from 23 ft,,75,101
3,0:46.0,,Defensive rebound by B. Bogdanović,75,101
3,0:42.0,,B. Bogdanović makes 2-pt layup from 3 ft,75,103
3,0:35.0,Personal foul by M. Bagley (drawn by T. Young),,75,103
3,0:35.0,T. Young makes free throw 1 of 2,,76,103
3,0:35.0,D. Bembry enters the game for A. Len,,76,103
3,0:35.0,T. Young makes free throw 2 of 2,,77,103
3,0:16.0,,H. Giles makes 2-pt dunk from 2 ft (assist by B. Bogdanović),77,105
3,0:00.0,K. Bazemore makes 3-pt jump shot from 27 ft (assist by T. Young),,80,105
4,11:52.0,Turnover by K. Huerter (bad pass),,80,105
4,11:39.0,,Personal foul by O. Spellman (drawn by H. Giles),80,105
4,11:31.0,,M. Bagley misses 2-pt layup from 3 ft,80,105
4,11:30.0,,Offensive rebound by M. Bagley,80,105
4,11:30.0,,Personal foul by K. Huerter (drawn by M. Bagley),80,105
4,11:26.0,,M. Bagley makes 2-pt layup from 3 ft (assist by J. Jackson),80,107
4,11:13.0,Turnover by J. Collins (traveling),,80,107
4,10:55.0,,Turnover by M. Bagley (bad pass),80,107
4,10:55.0,,W. Cauley-Stein enters the game for H. Giles,80,107
4,10:46.0,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),,82,107
4,10:31.0,,Y. Ferrell makes 2-pt jump shot from 9 ft (assist by B. Bogdanović),82,109
4,10:20.0,T. Young makes 3-pt jump shot from 25 ft,,85,109
4,10:12.0,Violation by Team (kicked ball),,85,109
4,10:06.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by W. Cauley-Stein),85,112
4,9:54.0,T. Young misses 3-pt jump shot from 25 ft,,85,112
4,9:52.0,Offensive rebound by J. Collins,,85,112
4,9:50.0,O. Spellman misses 3-pt jump shot from 24 ft,,85,112
4,9:48.0,,Defensive rebound by M. Bagley,85,112
4,9:46.0,,J. Jackson makes 2-pt dunk from 1 ft (assist by M. Bagley),85,114
4,9:34.0,K. Huerter makes 3-pt jump shot from 28 ft (assist by T. Young),,88,114
4,9:19.0,,Turnover by Y. Ferrell (bad pass; steal by K. Huerter),88,114
4,9:15.0,D. Bembry makes 2-pt dunk from 1 ft (assist by K. Huerter),,90,114
4,8:54.0,,M. Bagley misses 2-pt jump shot from 10 ft (block by J. Collins),90,114
4,8:54.0,,Offensive rebound by Team,90,114
4,8:54.0,,B. Hield enters the game for J. Jackson,90,114
4,8:52.0,,Turnover by W. Cauley-Stein (lost ball; steal by T. Young),90,114
4,8:48.0,T. Young makes 2-pt layup from 2 ft,,92,114
4,8:48.0,,Sacramento full timeout,92,114
4,8:48.0,K. Bazemore enters the game for D. Bembry,,92,114
4,8:48.0,D. Dedmon enters the game for J. Collins,,92,114
4,8:27.0,,Turnover by B. Hield (bad pass; steal by O. Spellman),92,114
4,8:11.0,K. Huerter misses 2-pt jump shot from 5 ft,,92,114
4,8:08.0,,Defensive rebound by W. Cauley-Stein,92,114
4,7:55.0,,B. Hield makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),92,117
4,7:36.0,T. Young makes 2-pt layup from 3 ft,,94,117
4,7:19.0,,M. Bagley makes 2-pt dunk from 1 ft (assist by Y. Ferrell),94,119
4,7:02.0,O. Spellman makes 3-pt jump shot from 23 ft (assist by K. Huerter),,97,119
