QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,ORLANDO_ACTION,LA CLIPPERS_SCORE,ORLANDO_SCORE
1,5:46.0,Turnover by D. Gallinari (bad pass; steal by E. Fournier),,14,12
1,5:33.0,,Turnover by N. Vučević (traveling),14,12
1,5:33.0,L. Williams enters the game for A. Bradley,,14,12
1,5:17.0,D. Gallinari misses 2-pt layup from 2 ft,,14,12
1,5:11.0,Offensive rebound by B. Marjanović,,14,12
1,5:11.0,B. Marjanović misses 2-pt layup from 1 ft,,14,12
1,5:08.0,Offensive rebound by B. Marjanović,,14,12
1,5:08.0,B. Marjanović makes 2-pt layup from 1 ft,,16,12
1,4:55.0,,E. Fournier makes 2-pt jump shot from 17 ft,16,14
1,4:34.0,B. Marjanović makes 2-pt hook shot from 5 ft,,18,14
1,4:21.0,,J. Isaac misses 2-pt jump shot from 16 ft,18,14
1,4:15.0,,Offensive rebound by N. Vučević,18,14
1,4:15.0,,N. Vučević makes 2-pt layup at rim,18,16
1,4:05.0,P. Beverley makes 3-pt jump shot from 23 ft (assist by L. Williams),,21,16
1,3:43.0,,E. Fournier makes 2-pt jump shot from 18 ft,21,18
1,3:25.0,Offensive foul by B. Marjanović (drawn by J. Isaac),,21,18
1,3:25.0,Turnover by B. Marjanović (offensive foul),,21,18
1,3:25.0,S. Gilgeous-Alexander enters the game for P. Beverley,,21,18
1,3:25.0,M. Harrell enters the game for D. Gallinari,,21,18
1,3:25.0,M. Scott enters the game for B. Marjanović,,21,18
1,3:25.0,,M. Bamba enters the game for D. Augustin,21,18
1,3:25.0,,J. Grant enters the game for E. Fournier,21,18
1,3:25.0,,T. Ross enters the game for J. Isaac,21,18
1,3:13.0,,Turnover by W. Iwundu (bad pass; steal by L. Williams),21,18
1,3:07.0,Turnover by S. Gilgeous-Alexander (step out of bounds),,21,18
1,2:51.0,,M. Bamba makes 2-pt jump shot from 18 ft,21,20
1,2:34.0,Turnover by L. Williams (out of bounds lost ball),,21,20
1,2:34.0,LA Clippers full timeout,,21,20
1,2:11.0,,N. Vučević misses 2-pt jump shot from 12 ft,21,20
1,2:07.0,Defensive rebound by T. Harris,,21,20
1,1:55.0,S. Gilgeous-Alexander misses 3-pt jump shot from 23 ft,,21,20
1,1:53.0,,Defensive rebound by W. Iwundu,21,20
1,1:44.0,,N. Vučević misses 2-pt jump shot from 22 ft,21,20
1,1:42.0,Defensive rebound by M. Scott,,21,20
1,1:36.0,L. Williams misses 2-pt jump shot from 12 ft,,21,20
1,1:34.0,,Defensive rebound by N. Vučević,21,20
1,1:23.0,,T. Ross misses 2-pt jump shot from 13 ft,21,20
1,1:20.0,Defensive rebound by T. Harris,,21,20
1,1:17.0,M. Scott misses 3-pt jump shot from 25 ft,,21,20
1,1:14.0,,Defensive rebound by W. Iwundu,21,20
1,1:04.0,,J. Grant makes 2-pt jump shot from 20 ft,21,22
1,0:52.0,Shooting foul by J. Grant (drawn by M. Harrell),,21,22
1,0:52.0,M. Harrell makes free throw 1 of 2,,22,22
1,0:52.0,M. Teodosić enters the game for T. Harris,,22,22
1,0:52.0,M. Harrell misses free throw 2 of 2,,22,22
1,0:50.0,,Defensive rebound by W. Iwundu,22,22
1,0:39.0,,W. Iwundu misses 2-pt jump shot from 11 ft,22,22
1,0:36.0,Defensive rebound by M. Harrell,,22,22
1,0:30.0,M. Scott misses 3-pt jump shot from 27 ft,,22,22
1,0:27.0,,Defensive rebound by W. Iwundu,22,22
1,0:04.0,,N. Vučević misses 2-pt hook shot from 8 ft (block by M. Harrell),22,22
1,0:01.0,Defensive rebound by M. Harrell,,22,22
1,0:00.0,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,,22,22
1,0:00.0,Offensive rebound by Team,,22,22
2,11:46.0,Turnover by L. Williams (bad pass; steal by A. Gordon),,22,22
2,11:39.0,,M. Bamba misses 3-pt jump shot from 27 ft,22,22
2,11:35.0,Defensive rebound by L. Williams,,22,22
2,11:32.0,L. Williams makes 2-pt jump shot from 11 ft,,24,22
2,11:32.0,Shooting foul by T. Ross (drawn by L. Williams),,24,22
2,11:32.0,L. Williams makes free throw 1 of 1,,25,22
2,11:23.0,,Personal foul by M. Teodosić (drawn by T. Ross),25,22
2,11:20.0,,Turnover by W. Iwundu (bad pass; steal by S. Gilgeous-Alexander),25,22
2,11:15.0,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,,27,22
2,11:10.0,,T. Ross misses 3-pt jump shot from 23 ft,27,22
2,11:07.0,Defensive rebound by S. Gilgeous-Alexander,,27,22
2,10:59.0,M. Harrell misses 2-pt layup from 3 ft,,27,22
2,10:57.0,,Defensive rebound by M. Bamba,27,22
2,10:49.0,,M. Bamba makes 2-pt jump shot from 19 ft (assist by J. Grant),27,24
2,10:34.0,M. Teodosić makes 2-pt jump shot from 12 ft (assist by M. Harrell),,29,24
2,10:08.0,,J. Grant misses 3-pt jump shot from 26 ft,29,24
2,10:05.0,Defensive rebound by L. Williams,,29,24
2,10:00.0,Shooting foul by T. Ross (drawn by L. Williams),,29,24
2,10:00.0,L. Williams makes free throw 1 of 2,,30,24
2,10:00.0,L. Williams makes free throw 2 of 2,,31,24
2,9:53.0,,Personal foul by M. Teodosić (drawn by T. Ross),31,24
2,9:45.0,,J. Grant misses 2-pt jump shot from 12 ft,31,24
2,9:41.0,Defensive rebound by M. Teodosić,,31,24
2,9:33.0,M. Scott misses 3-pt jump shot from 25 ft,,31,24
2,9:31.0,,Defensive rebound by A. Gordon,31,24
2,9:11.0,,T. Ross misses 3-pt jump shot from 26 ft,31,24
2,9:09.0,,Offensive rebound by M. Bamba,31,24
2,9:09.0,,Shooting foul by M. Harrell (drawn by M. Bamba),31,24
2,9:09.0,,M. Bamba makes free throw 1 of 2,31,25
2,9:09.0,,M. Bamba misses free throw 2 of 2,31,25
2,9:06.0,Defensive rebound by M. Harrell,,31,25
2,8:57.0,L. Williams misses 2-pt jump shot from 18 ft,,31,25
2,8:55.0,,Defensive rebound by T. Ross,31,25
2,8:48.0,,W. Iwundu makes 2-pt layup from 1 ft (assist by T. Ross),31,27
2,8:40.0,M. Harrell makes 2-pt layup from 1 ft (assist by M. Teodosić),,33,27
2,8:40.0,Shooting foul by W. Iwundu (drawn by M. Teodosić),,33,27
2,8:40.0,M. Harrell makes free throw 1 of 1,,34,27
2,8:31.0,,Personal foul by S. Gilgeous-Alexander (drawn by J. Grant),34,27
2,8:23.0,,A. Gordon misses 2-pt jump shot from 16 ft,34,27
2,8:20.0,Defensive rebound by M. Teodosić,,34,27
2,8:16.0,Shooting foul by J. Grant (drawn by S. Gilgeous-Alexander),,34,27
2,8:16.0,S. Gilgeous-Alexander makes free throw 1 of 2,,35,27
2,8:16.0,S. Gilgeous-Alexander makes free throw 2 of 2,,36,27
2,8:04.0,,J. Grant makes 2-pt layup from 2 ft,36,29
2,7:42.0,L. Williams misses 2-pt jump shot from 12 ft,,36,29
2,7:38.0,,Defensive rebound by A. Gordon,36,29
2,7:33.0,,T. Ross misses 3-pt jump shot from 23 ft,36,29
2,7:32.0,,Offensive rebound by Team,36,29
2,7:32.0,Loose ball foul by M. Scott (drawn by W. Iwundu),,36,29
2,7:32.0,,W. Iwundu misses free throw 1 of 2,36,29
2,7:32.0,,Offensive rebound by Team,36,29
2,7:32.0,A. Bradley enters the game for M. Scott,,36,29
2,7:32.0,D. Gallinari enters the game for L. Williams,,36,29
2,7:32.0,,W. Iwundu misses free throw 2 of 2,36,29
2,7:30.0,Defensive rebound by M. Harrell,,36,29
2,7:20.0,A. Bradley misses 3-pt jump shot from 25 ft,,36,29
2,7:17.0,,Defensive rebound by M. Bamba,36,29
2,7:08.0,,Turnover by J. Grant (bad pass),36,29
2,6:52.0,M. Harrell makes 2-pt dunk from 1 ft (assist by M. Teodosić),,38,29
2,6:37.0,,M. Bamba misses 3-pt jump shot from 27 ft,38,29
2,6:37.0,Defensive rebound by M. Teodosić,,38,29
2,6:25.0,Turnover by A. Bradley (lost ball; steal by J. Grant),,38,29
2,6:25.0,,Orlando full timeout,38,29
2,6:25.0,P. Beverley enters the game for S. Gilgeous-Alexander,,38,29
2,6:25.0,,D. Augustin enters the game for A. Gordon,38,29
2,6:25.0,,E. Fournier enters the game for J. Grant,38,29
2,6:25.0,,J. Isaac enters the game for W. Iwundu,38,29
2,6:05.0,,E. Fournier misses 2-pt layup from 3 ft,38,29
2,6:00.0,,Offensive rebound by J. Isaac,38,29
2,6:00.0,,J. Isaac makes 2-pt dunk at rim,38,31
2,5:43.0,M. Harrell misses 2-pt layup from 8 ft,,38,31
2,5:43.0,Offensive rebound by Team,,38,31
2,5:43.0,,Loose ball foul by T. Ross (drawn by M. Teodosić),38,31
2,5:43.0,B. Marjanović enters the game for M. Harrell,,38,31
2,5:43.0,,W. Iwundu enters the game for M. Bamba,38,31
2,5:43.0,,N. Vučević enters the game for T. Ross,38,31
2,5:43.0,M. Teodosić makes free throw 1 of 2,,39,31
2,5:43.0,M. Teodosić misses free throw 2 of 2,,39,31
2,5:40.0,Offensive rebound by P. Beverley,,39,31
2,5:27.0,B. Marjanović misses 2-pt layup from 2 ft,,39,31
2,5:23.0,Offensive rebound by M. Teodosić,,39,31
2,5:22.0,M. Teodosić misses 3-pt jump shot from 25 ft,,39,31
2,5:19.0,Offensive rebound by A. Bradley,,39,31
2,5:14.0,Shooting foul by J. Isaac (drawn by B. Marjanović),,39,31
2,5:14.0,B. Marjanović misses free throw 1 of 2,,39,31
2,5:14.0,Offensive rebound by Team,,39,31
2,5:14.0,T. Harris enters the game for M. Teodosić,,39,31
2,5:14.0,B. Marjanović misses free throw 2 of 2,,39,31
2,5:12.0,,Defensive rebound by N. Vučević,39,31
2,4:56.0,,N. Vučević makes 2-pt jump shot from 18 ft (assist by E. Fournier),39,33
2,4:40.0,P. Beverley misses 2-pt jump shot from 9 ft,,39,33
2,4:36.0,Offensive rebound by B. Marjanović,,39,33
2,4:35.0,B. Marjanović makes 2-pt dunk from 1 ft,,41,33
2,4:27.0,,N. Vučević misses 2-pt layup from 2 ft,41,33
2,4:24.0,Defensive rebound by T. Harris,,41,33
2,4:21.0,T. Harris makes 2-pt layup at rim (assist by P. Beverley),,43,33
2,4:04.0,,E. Fournier makes 2-pt layup from 1 ft (assist by N. Vučević),43,35
2,3:40.0,D. Gallinari makes 2-pt jump shot from 16 ft,,45,35
2,3:25.0,,J. Isaac misses 3-pt jump shot from 25 ft,45,35
2,3:23.0,Defensive rebound by T. Harris,,45,35
2,3:16.0,P. Beverley misses 3-pt jump shot from 27 ft,,45,35
2,3:12.0,,Defensive rebound by N. Vučević,45,35
2,3:01.0,,D. Augustin makes 2-pt layup from 1 ft,45,37
2,2:51.0,LA Clippers full timeout,,45,37
2,2:51.0,,J. Martin enters the game for J. Isaac,45,37
2,2:38.0,T. Harris makes 3-pt jump shot from 24 ft (assist by D. Gallinari),,48,37
2,2:24.0,,E. Fournier makes 2-pt jump shot from 2 ft,48,39
2,2:24.0,,Shooting foul by A. Bradley (drawn by E. Fournier),48,39
2,2:24.0,,E. Fournier misses free throw 1 of 1,48,39
2,2:24.0,Defensive rebound by B. Marjanović,,48,39
2,2:00.0,D. Gallinari makes 3-pt jump shot from 30 ft (assist by T. Harris),,51,39
2,1:44.0,,Shooting foul by P. Beverley (drawn by D. Augustin),51,39
2,1:44.0,,D. Augustin makes free throw 1 of 2,51,40
2,1:44.0,,D. Augustin makes free throw 2 of 2,51,41
2,1:44.0,Turnover by (5 sec),,51,41
2,1:41.0,,J. Martin misses 2-pt jump shot from 17 ft,51,41
2,1:38.0,,Offensive rebound by D. Augustin,51,41
2,1:33.0,,N. Vučević misses 3-pt jump shot from 26 ft,51,41
2,1:32.0,Defensive rebound by Team,,51,41
2,1:32.0,,Loose ball foul by J. Martin (drawn by D. Gallinari),51,41
2,1:32.0,D. Gallinari makes free throw 1 of 2,,52,41
2,1:32.0,D. Gallinari makes free throw 2 of 2,,53,41
2,1:24.0,,Shooting foul by B. Marjanović (drawn by N. Vučević),53,41
2,1:24.0,,N. Vučević misses free throw 1 of 2,53,41
2,1:24.0,,Offensive rebound by Team,53,41
2,1:24.0,,N. Vučević makes free throw 2 of 2,53,42
2,1:10.0,P. Beverley misses 2-pt layup from 2 ft,,53,42
2,1:07.0,,Defensive rebound by J. Martin,53,42
2,1:05.0,,E. Fournier makes 2-pt layup from 2 ft,53,44
2,1:05.0,,Shooting foul by D. Gallinari (drawn by E. Fournier),53,44
2,1:05.0,,E. Fournier misses free throw 1 of 1,53,44
2,1:05.0,Defensive rebound by B. Marjanović,,53,44
2,0:43.0,T. Harris makes 2-pt jump shot from 17 ft (assist by D. Gallinari),,55,44
2,0:23.0,,Turnover by E. Fournier (bad pass; steal by D. Gallinari),55,44
2,0:20.0,D. Gallinari makes 2-pt layup at rim (assist by A. Bradley),,57,44
2,0:03.0,,D. Augustin misses 2-pt layup from 1 ft,57,44
2,0:03.0,Defensive rebound by B. Marjanović,,57,44
2,0:00.0,A. Bradley misses 3-pt jump shot from 31 ft,,57,44
2,0:00.0,Offensive rebound by Team,,57,44
3,11:44.0,A. Bradley misses 2-pt layup from 1 ft (block by N. Vučević),,57,44
3,11:44.0,Offensive rebound by Team,,57,44
3,11:38.0,T. Harris misses 3-pt jump shot from 27 ft,,57,44
3,11:33.0,,Defensive rebound by A. Gordon,57,44
3,11:25.0,,A. Gordon makes 2-pt layup from 2 ft,57,46
3,11:03.0,T. Harris misses 2-pt jump shot from 12 ft,,57,46
3,11:01.0,,Defensive rebound by N. Vučević,57,46
3,10:57.0,,D. Augustin makes 3-pt jump shot from 28 ft,57,49
3,10:56.0,LA Clippers full timeout,,57,49
3,10:41.0,P. Beverley misses 2-pt layup from 5 ft,,57,49
3,10:39.0,,Defensive rebound by N. Vučević,57,49
3,10:27.0,,T. Ross misses 2-pt jump shot from 16 ft,57,49
3,10:24.0,Defensive rebound by B. Marjanović,,57,49
3,10:04.0,D. Gallinari misses 3-pt jump shot from 26 ft,,57,49
3,10:03.0,Offensive rebound by Team,,57,49
3,10:03.0,,Loose ball foul by E. Fournier (drawn by B. Marjanović),57,49
3,9:53.0,Turnover by A. Bradley (bad pass; steal by E. Fournier),,57,49
3,9:50.0,,E. Fournier misses 2-pt layup from 3 ft,57,49
3,9:47.0,Defensive rebound by B. Marjanović,,57,49
3,9:39.0,P. Beverley makes 3-pt jump shot from 25 ft (assist by D. Gallinari),,60,49
3,9:22.0,,N. Vučević misses 3-pt jump shot from 27 ft,60,49
3,9:20.0,Defensive rebound by T. Harris,,60,49
3,9:04.0,A. Bradley makes 2-pt layup from 2 ft (assist by B. Marjanović),,62,49
3,8:53.0,,Turnover by E. Fournier (out of bounds lost ball),62,49
3,8:53.0,A. Bradley misses 2-pt jump shot from 16 ft (block by T. Ross),,62,49
3,8:36.0,,Defensive rebound by D. Augustin,62,49
3,8:33.0,,N. Vučević makes 2-pt layup from 2 ft (assist by T. Ross),62,51
3,8:18.0,Shooting foul by T. Ross (drawn by B. Marjanović),,62,51
3,8:18.0,B. Marjanović misses free throw 1 of 2,,62,51
3,8:18.0,Offensive rebound by Team,,62,51
3,8:18.0,,W. Iwundu enters the game for T. Ross,62,51
3,8:18.0,B. Marjanović makes free throw 2 of 2,,63,51
3,7:59.0,,D. Augustin misses 2-pt jump shot from 11 ft,63,51
3,7:58.0,,Offensive rebound by D. Augustin,63,51
3,7:58.0,,D. Augustin misses 2-pt layup from 1 ft,63,51
3,7:58.0,Defensive rebound by Team,,63,51
3,7:48.0,Turnover by B. Marjanović (3 sec),,63,51
3,7:35.0,,N. Vučević misses 2-pt jump shot from 18 ft,63,51
3,7:32.0,,Offensive rebound by E. Fournier,63,51
3,7:28.0,,N. Vučević misses 2-pt jump shot from 6 ft,63,51
3,7:25.0,Defensive rebound by B. Marjanović,,63,51
3,7:18.0,Shooting foul by N. Vučević (drawn by T. Harris),,63,51
3,7:18.0,T. Harris makes free throw 1 of 2,,64,51
3,7:18.0,T. Harris makes free throw 2 of 2,,65,51
3,7:05.0,,N. Vučević misses 2-pt jump shot from 19 ft,65,51
3,7:01.0,Defensive rebound by T. Harris,,65,51
3,6:44.0,B. Marjanović makes 2-pt layup from 2 ft (assist by T. Harris),,67,51
3,6:44.0,,Orlando full timeout,67,51
3,6:28.0,,E. Fournier makes 3-pt jump shot from 27 ft (assist by N. Vučević),67,54
3,6:13.0,T. Harris makes 2-pt jump shot from 13 ft,,69,54
3,6:13.0,Shooting foul by E. Fournier (drawn by T. Harris),,69,54
3,6:13.0,T. Harris makes free throw 1 of 1,,70,54
3,6:02.0,,Turnover by E. Fournier (bad pass; steal by P. Beverley),70,54
3,5:59.0,Turnover by P. Beverley (bad pass; steal by E. Fournier),,70,54
3,5:53.0,,W. Iwundu misses 2-pt jump shot from 14 ft,70,54
3,5:50.0,Defensive rebound by B. Marjanović,,70,54
3,5:36.0,D. Gallinari makes 2-pt jump shot from 18 ft,,72,54
3,5:25.0,,Personal foul by P. Beverley (drawn by D. Augustin),72,54
3,5:22.0,,Personal foul by P. Beverley (drawn by D. Augustin),72,54
3,5:14.0,,N. Vučević makes 3-pt jump shot from 26 ft (assist by E. Fournier),72,57
3,4:58.0,B. Marjanović misses 2-pt jump shot from 17 ft,,72,57
3,4:54.0,,Defensive rebound by N. Vučević,72,57
3,4:40.0,,N. Vučević makes 2-pt jump shot from 18 ft (assist by W. Iwundu),72,59
3,4:20.0,Shooting foul by W. Iwundu (drawn by B. Marjanović),,72,59
3,4:20.0,B. Marjanović misses free throw 1 of 2,,72,59
3,4:20.0,Offensive rebound by Team,,72,59
3,4:20.0,L. Williams enters the game for D. Gallinari,,72,59
3,4:20.0,B. Marjanović makes free throw 2 of 2,,73,59
3,4:09.0,,D. Augustin makes 2-pt jump shot from 17 ft,73,61
3,3:49.0,P. Beverley misses 2-pt jump shot from 16 ft (block by N. Vučević),,73,61
3,3:47.0,,Defensive rebound by D. Augustin,73,61
3,3:47.0,,W. Iwundu makes 2-pt layup from 1 ft (assist by D. Augustin),73,63
3,3:47.0,,Shooting foul by P. Beverley (drawn by W. Iwundu),73,63
3,3:47.0,S. Gilgeous-Alexander enters the game for P. Beverley,,73,63
3,3:47.0,M. Harrell enters the game for B. Marjanović,,73,63
3,3:47.0,,M. Bamba enters the game for N. Vučević,73,63
3,3:47.0,,W. Iwundu makes free throw 1 of 1,73,64
3,3:24.0,T. Harris makes 2-pt layup from 2 ft,,75,64
3,3:06.0,,D. Augustin misses 2-pt jump shot from 19 ft,75,64
3,3:03.0,Defensive rebound by M. Harrell,,75,64
3,2:58.0,L. Williams misses 2-pt jump shot from 14 ft,,75,64
3,2:55.0,Offensive rebound by M. Harrell,,75,64
3,2:54.0,Shooting foul by W. Iwundu (drawn by L. Williams),,75,64
3,2:54.0,L. Williams makes free throw 1 of 2,,76,64
3,2:54.0,M. Scott enters the game for A. Bradley,,76,64
3,2:54.0,L. Williams makes free throw 2 of 2,,77,64
3,2:46.0,,Personal foul by M. Harrell (drawn by E. Fournier),77,64
3,2:39.0,,D. Augustin misses 2-pt jump shot from 1 ft (block by M. Harrell),77,64
3,2:29.0,,Offensive rebound by M. Bamba,77,64
3,2:29.0,,M. Bamba makes 2-pt dunk from 1 ft,77,66
3,2:26.0,S. Gilgeous-Alexander makes 2-pt jump shot from 13 ft,,79,66
3,2:15.0,,Personal foul by T. Harris (drawn by A. Gordon),79,66
3,2:15.0,,E. Fournier makes free throw 1 of 2,79,67
3,2:15.0,,E. Fournier makes free throw 2 of 2,79,68
3,1:57.0,Offensive foul by S. Gilgeous-Alexander (drawn by D. Augustin),,79,68
3,1:57.0,Turnover by S. Gilgeous-Alexander (offensive foul),,79,68
3,1:57.0,M. Teodosić enters the game for T. Harris,,79,68
3,1:42.0,,M. Bamba misses 3-pt jump shot from 26 ft,79,68
3,1:40.0,,Offensive rebound by Team,79,68
3,1:38.0,,E. Fournier makes 2-pt layup at rim (assist by D. Augustin),79,70
3,1:14.0,M. Teodosić makes 3-pt jump shot from 27 ft (assist by M. Scott),,82,70
3,0:55.0,,E. Fournier misses 2-pt layup from 2 ft,82,70
3,0:53.0,Defensive rebound by Team,,82,70
3,0:53.0,,N. Vučević enters the game for A. Gordon,82,70
3,0:41.0,L. Williams makes 3-pt jump shot from 25 ft,,85,70
3,0:18.0,,N. Vučević makes 2-pt hook shot from 5 ft (assist by M. Bamba),85,72
3,0:03.0,Shooting foul by W. Iwundu (drawn by L. Williams),,85,72
3,0:03.0,L. Williams makes free throw 1 of 3,,86,72
3,0:03.0,L. Williams misses free throw 2 of 3,,86,72
3,0:03.0,Offensive rebound by Team,,86,72
3,0:03.0,A. Bradley enters the game for M. Teodosić,,86,72
3,0:03.0,L. Williams makes free throw 3 of 3,,87,72
3,0:00.0,,E. Fournier misses 3-pt jump shot from 44 ft,87,72
3,0:00.0,,Offensive rebound by Team,87,72
4,11:44.0,,N. Vučević makes 2-pt jump shot from 16 ft,87,74
4,11:27.0,L. Williams makes 3-pt jump shot from 23 ft (assist by M. Teodosić),,90,74
4,11:11.0,,J. Grant misses 3-pt jump shot from 26 ft,90,74
4,11:09.0,,Offensive rebound by N. Vučević,90,74
4,11:07.0,,J. Grant misses 2-pt jump shot from 18 ft,90,74
4,11:07.0,Defensive rebound by M. Harrell,,90,74
4,10:49.0,L. Williams misses 2-pt jump shot from 19 ft,,90,74
4,10:46.0,,Defensive rebound by T. Ross,90,74
4,10:38.0,,N. Vučević misses 2-pt jump shot from 18 ft,90,74
4,10:34.0,Defensive rebound by M. Scott,,90,74
4,10:27.0,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),,92,74
4,10:09.0,,T. Ross makes 2-pt jump shot from 16 ft (assist by M. Bamba),92,76
4,9:58.0,Turnover by M. Teodosić (bad pass; steal by T. Ross),,92,76
4,9:50.0,,W. Iwundu misses 2-pt jump shot from 17 ft,92,76
4,9:47.0,Defensive rebound by M. Scott,,92,76
4,9:40.0,L. Williams makes 2-pt layup from 1 ft,,94,76
4,9:28.0,,T. Ross makes 2-pt jump shot from 18 ft (assist by J. Grant),94,78
4,9:06.0,S. Gilgeous-Alexander misses 2-pt jump shot from 14 ft,,94,78
4,9:02.0,,Defensive rebound by N. Vučević,94,78
4,9:00.0,,Personal foul by M. Teodosić (drawn by T. Ross),94,78
4,8:55.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by M. Bamba),94,81
4,8:37.0,M. Scott makes 3-pt jump shot from 26 ft (assist by L. Williams),,97,81
4,8:15.0,,N. Vučević misses 2-pt hook shot from 8 ft,97,81
4,8:12.0,Defensive rebound by M. Scott,,97,81
4,7:52.0,L. Williams makes 3-pt jump shot from 28 ft,,100,81
4,7:50.0,,Orlando full timeout,100,81
4,7:36.0,,T. Ross misses 2-pt jump shot from 16 ft,100,81
4,7:34.0,Defensive rebound by M. Scott,,100,81
4,7:20.0,L. Williams makes 3-pt jump shot from 28 ft (assist by M. Scott),,103,81
4,7:07.0,,J. Grant misses 3-pt jump shot from 28 ft,103,81
4,7:05.0,Defensive rebound by L. Williams,,103,81
4,6:57.0,L. Williams makes 3-pt jump shot from 27 ft,,106,81
4,6:57.0,,Violation by Team (def goaltending),106,81
4,6:48.0,,T. Ross misses 2-pt jump shot from 16 ft,106,81
4,6:46.0,Defensive rebound by M. Harrell,,106,81
4,6:36.0,Shooting foul by J. Grant (drawn by L. Williams),,106,81
4,6:36.0,L. Williams makes free throw 1 of 2,,107,81
4,6:36.0,,E. Fournier enters the game for W. Iwundu,107,81
4,6:36.0,,A. Gordon enters the game for N. Vučević,107,81
4,6:36.0,L. Williams makes free throw 2 of 2,,108,81
4,6:25.0,,Shooting foul by L. Williams (drawn by J. Grant),108,81
4,6:25.0,,J. Grant makes free throw 1 of 2,108,82
4,6:25.0,,J. Grant misses free throw 2 of 2,108,82
4,6:22.0,Defensive rebound by M. Harrell,,108,82
4,6:10.0,M. Harrell misses 2-pt layup from 3 ft,,108,82
4,6:08.0,,Defensive rebound by M. Bamba,108,82
4,6:02.0,,A. Gordon misses 2-pt jump shot from 16 ft,108,82
4,5:58.0,Defensive rebound by M. Harrell,,108,82
4,5:48.0,L. Williams misses 2-pt jump shot from 11 ft,,108,82
4,5:45.0,,Defensive rebound by E. Fournier,108,82
4,5:42.0,,Shooting foul by M. Harrell (drawn by E. Fournier),108,82
4,5:42.0,,E. Fournier makes free throw 1 of 2,108,83
4,5:42.0,,E. Fournier makes free throw 2 of 2,108,84
4,5:31.0,Turnover by S. Gilgeous-Alexander (offensive foul),,108,84
4,5:31.0,Offensive foul by S. Gilgeous-Alexander (drawn by J. Grant),,108,84
4,5:31.0,J. Robinson enters the game for L. Williams,,108,84
