QUARTER,TIME_REMAINING,DENVER_ACTION,CHICAGO_ACTION,DENVER_SCORE,CHICAGO_SCORE
1,0:23.0,,Shooting foul by M. Morris (drawn by A. Blakeney),28,23
1,0:23.0,,A. Blakeney misses free throw 1 of 2,28,23
1,0:23.0,,Offensive rebound by Team,28,23
1,0:23.0,,A. Blakeney makes free throw 2 of 2,28,24
1,0:01.0,T. Lyles misses 2-pt layup from 2 ft,,28,24
1,0:01.0,,Defensive rebound by C. Hutchison,28,24
2,11:38.0,,C. Hutchison misses 3-pt jump shot from 23 ft,28,24
2,11:34.0,Defensive rebound by M. Morris,,28,24
2,11:14.0,Turnover by T. Lyles (traveling),,28,24
2,11:01.0,,J. Parker misses 3-pt jump shot from 23 ft,28,24
2,10:56.0,Defensive rebound by J. Murray,,28,24
2,10:51.0,M. Plumlee makes 2-pt layup from 3 ft,,30,24
2,10:51.0,Shooting foul by C. Felício (drawn by M. Plumlee),,30,24
2,10:51.0,M. Plumlee misses free throw 1 of 1,,30,24
2,10:48.0,,Defensive rebound by J. Parker,30,24
2,10:43.0,,C. Hutchison misses 2-pt dunk from 2 ft,30,24
2,10:40.0,Defensive rebound by J. Murray,,30,24
2,10:38.0,J. Murray misses 3-pt jump shot from 25 ft,,30,24
2,10:35.0,,Defensive rebound by C. Felício,30,24
2,10:28.0,,C. Felício misses 2-pt layup from 2 ft (block by M. Plumlee),30,24
2,10:25.0,,Offensive rebound by C. Felício,30,24
2,10:25.0,,Turnover by C. Hutchison (traveling),30,24
2,10:13.0,T. Lyles makes 3-pt jump shot from 26 ft (assist by M. Morris),,33,24
2,9:59.0,,Personal foul by M. Beasley (drawn by C. Hutchison),33,24
2,9:44.0,,A. Blakeney misses 2-pt jump shot from 13 ft,33,24
2,9:41.0,Defensive rebound by T. Lyles,,33,24
2,9:39.0,M. Beasley misses 2-pt layup from 4 ft (block by C. Hutchison),,33,24
2,9:39.0,,Defensive rebound by Team,33,24
2,9:25.0,,A. Blakeney makes 3-pt jump shot from 25 ft (assist by R. Arcidiacono),33,27
2,9:24.0,Denver full timeout,,33,27
2,9:15.0,Offensive foul by T. Lyles (drawn by C. Hutchison),,33,27
2,9:15.0,Turnover by T. Lyles (offensive foul),,33,27
2,8:53.0,,A. Blakeney makes 3-pt jump shot from 25 ft,33,30
2,8:30.0,J. Murray makes 2-pt jump shot from 6 ft,,35,30
2,8:05.0,,C. Hutchison misses 3-pt jump shot from 25 ft,35,30
2,8:00.0,Defensive rebound by M. Beasley,,35,30
2,7:56.0,M. Morris misses 2-pt jump shot from 14 ft,,35,30
2,7:53.0,Offensive rebound by T. Lyles,,35,30
2,7:45.0,M. Morris misses 2-pt jump shot from 16 ft,,35,30
2,7:41.0,,Defensive rebound by C. Hutchison,35,30
2,7:21.0,,J. Parker misses 2-pt jump shot from 12 ft,35,30
2,7:18.0,Defensive rebound by J. Murray,,35,30
2,7:12.0,J. Murray misses 3-pt jump shot from 25 ft,,35,30
2,7:10.0,,Defensive rebound by A. Blakeney,35,30
2,6:55.0,,R. Arcidiacono makes 3-pt jump shot from 24 ft (assist by C. Hutchison),35,33
2,6:35.0,M. Plumlee makes 2-pt dunk from 2 ft (assist by T. Lyles),,37,33
2,6:16.0,,Turnover by A. Blakeney (lost ball; steal by M. Plumlee),37,33
2,6:13.0,M. Beasley makes 2-pt dunk from 1 ft,,39,33
2,6:13.0,,Chicago full timeout,39,33
2,6:13.0,G. Harris enters the game for T. Lyles,,39,33
2,6:13.0,N. Jokić enters the game for J. Murray,,39,33
2,6:13.0,P. Millsap enters the game for M. Plumlee,,39,33
2,6:13.0,,W. Carter enters the game for R. Arcidiacono,39,33
2,6:13.0,,J. Holiday enters the game for A. Blakeney,39,33
2,6:13.0,,Z. LaVine enters the game for C. Felício,39,33
2,6:13.0,,C. Payne enters the game for C. Hutchison,39,33
2,5:59.0,,C. Payne misses 3-pt jump shot from 22 ft,39,33
2,5:56.0,Defensive rebound by G. Harris,,39,33
2,5:42.0,P. Millsap makes 2-pt layup from 2 ft (assist by N. Jokić),,41,33
2,5:42.0,T. Craig enters the game for M. Beasley,,41,33
2,5:42.0,,C. Hutchison enters the game for J. Parker,41,33
2,5:20.0,,C. Hutchison makes 2-pt layup from 3 ft (assist by W. Carter),41,35
2,4:59.0,N. Jokić makes 2-pt layup from 1 ft (assist by P. Millsap),,43,35
2,4:41.0,,Turnover by C. Payne (bad pass; steal by G. Harris),43,35
2,4:38.0,Turnover by G. Harris (out of bounds lost ball),,43,35
2,4:22.0,,Shooting foul by N. Jokić (drawn by W. Carter),43,35
2,4:22.0,,W. Carter makes free throw 1 of 2,43,36
2,4:22.0,J. Murray enters the game for M. Morris,,43,36
2,4:22.0,,W. Carter makes free throw 2 of 2,43,37
2,4:04.0,Offensive foul by G. Harris (drawn by C. Hutchison),,43,37
2,4:04.0,Turnover by G. Harris (offensive foul),,43,37
2,3:52.0,,Shooting foul by T. Craig (drawn by Z. LaVine),43,37
2,3:52.0,,Z. LaVine makes free throw 1 of 2,43,38
2,3:52.0,,Z. LaVine makes free throw 2 of 2,43,39
2,3:29.0,Personal foul by C. Hutchison (drawn by P. Millsap),,43,39
2,3:19.0,Turnover by N. Jokić (bad pass; steal by W. Carter),,43,39
2,3:13.0,,Personal foul by J. Murray (drawn by W. Carter),43,39
2,3:02.0,,Offensive foul by W. Carter (drawn by N. Jokić),43,39
2,3:02.0,,Turnover by W. Carter (offensive foul),43,39
2,2:40.0,N. Jokić misses 2-pt layup from 2 ft,,43,39
2,2:35.0,Offensive rebound by T. Craig,,43,39
2,2:35.0,T. Craig makes 2-pt layup from 1 ft,,45,39
2,2:31.0,,Z. LaVine misses 2-pt layup from 3 ft,45,39
2,2:26.0,Defensive rebound by G. Harris,,45,39
2,2:24.0,G. Harris makes 2-pt layup from 1 ft,,47,39
2,2:06.0,,Z. LaVine misses 2-pt jump shot from 12 ft,47,39
2,2:03.0,Defensive rebound by N. Jokić,,47,39
2,1:52.0,N. Jokić misses 2-pt layup from 2 ft,,47,39
2,1:50.0,,Defensive rebound by C. Hutchison,47,39
2,1:44.0,,C. Hutchison makes 2-pt layup from 2 ft (assist by Z. LaVine),47,41
2,1:32.0,G. Harris makes 2-pt jump shot from 15 ft (assist by N. Jokić),,49,41
2,1:22.0,,Personal foul by N. Jokić (drawn by W. Carter),49,41
2,1:22.0,,W. Carter misses free throw 1 of 2,49,41
2,1:22.0,,Offensive rebound by Team,49,41
2,1:22.0,M. Beasley enters the game for T. Craig,,49,41
2,1:22.0,M. Plumlee enters the game for N. Jokić,,49,41
2,1:22.0,,R. Arcidiacono enters the game for C. Hutchison,49,41
2,1:22.0,,W. Carter makes free throw 2 of 2,49,42
2,1:07.0,Turnover by P. Millsap (lost ball; steal by W. Carter),,49,42
2,1:01.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by Z. LaVine),49,45
2,0:51.0,Personal foul by Z. LaVine (drawn by P. Millsap),,49,45
2,0:51.0,,C. Felício enters the game for W. Carter,49,45
2,0:47.0,Turnover by M. Beasley (bad pass; steal by Z. LaVine),,49,45
2,0:47.0,,Z. LaVine makes 2-pt dunk from 1 ft,49,47
2,0:28.0,G. Harris makes 2-pt dunk from 1 ft,,51,47
2,0:28.0,Technical foul by G. Harris,,51,47
2,0:28.0,,Z. LaVine makes technical free throw,51,48
2,0:03.0,,C. Payne misses 3-pt jump shot from 26 ft,51,48
2,0:01.0,Defensive rebound by M. Plumlee,,51,48
2,0:00.0,G. Harris misses 3-pt jump shot from 47 ft,,51,48
2,0:00.0,Offensive rebound by Team,,51,48
3,11:38.0,,W. Carter misses 2-pt jump shot from 7 ft,51,48
3,11:37.0,Defensive rebound by N. Jokić,,51,48
3,11:21.0,P. Millsap makes 3-pt jump shot from 23 ft (assist by N. Jokić),,54,48
3,10:56.0,,C. Payne misses 2-pt layup from 1 ft,54,48
3,10:52.0,Defensive rebound by P. Millsap,,54,48
3,10:40.0,J. Murray misses 2-pt jump shot from 16 ft (block by W. Carter),,54,48
3,10:35.0,,Defensive rebound by J. Parker,54,48
3,10:29.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by W. Carter),54,51
3,10:07.0,Turnover by N. Jokić (traveling),,54,51
3,9:48.0,,Z. LaVine misses 2-pt layup from 4 ft,54,51
3,9:48.0,,Offensive rebound by W. Carter,54,51
3,9:37.0,,Z. LaVine makes 3-pt jump shot from 23 ft,54,54
3,9:08.0,T. Craig misses 2-pt layup from 2 ft,,54,54
3,9:05.0,,Defensive rebound by Z. LaVine,54,54
3,8:59.0,,J. Parker makes 2-pt dunk from 1 ft (assist by C. Payne),54,56
3,8:58.0,Denver full timeout,,54,56
3,8:44.0,J. Murray makes 2-pt jump shot from 19 ft (assist by N. Jokić),,56,56
3,8:25.0,,W. Carter makes 3-pt jump shot from 23 ft (assist by Z. LaVine),56,59
3,8:05.0,N. Jokić makes 2-pt layup from 2 ft (assist by J. Murray),,58,59
3,7:44.0,,W. Carter makes 2-pt dunk from 1 ft (assist by C. Payne),58,61
3,7:28.0,P. Millsap makes 2-pt jump shot from 4 ft,,60,61
3,7:28.0,Shooting foul by J. Parker (drawn by P. Millsap),,60,61
3,7:28.0,P. Millsap makes free throw 1 of 1,,61,61
3,7:12.0,,Turnover by C. Payne (bad pass; steal by N. Jokić),61,61
3,7:08.0,T. Craig makes 2-pt layup from 2 ft,,63,61
3,6:55.0,,Turnover by C. Payne (bad pass; steal by N. Jokić),63,61
3,6:54.0,Shooting foul by Z. LaVine (drawn by J. Murray),,63,61
3,6:54.0,J. Murray makes free throw 1 of 2,,64,61
3,6:54.0,,R. Arcidiacono enters the game for C. Payne,64,61
3,6:54.0,J. Murray makes free throw 2 of 2,,65,61
3,6:40.0,,W. Carter misses 2-pt layup from 2 ft (block by N. Jokić),65,61
3,6:36.0,Defensive rebound by G. Harris,,65,61
3,6:31.0,G. Harris misses 2-pt jump shot from 13 ft (block by Z. LaVine),,65,61
3,6:28.0,Offensive rebound by N. Jokić,,65,61
3,6:26.0,N. Jokić misses 2-pt jump shot from 3 ft,,65,61
3,6:23.0,Offensive rebound by N. Jokić,,65,61
3,6:22.0,Turnover by N. Jokić (lost ball; steal by R. Arcidiacono),,65,61
3,6:22.0,,Z. LaVine makes 2-pt layup from 1 ft (assist by J. Holiday),65,63
3,6:22.0,,Shooting foul by G. Harris (drawn by Z. LaVine),65,63
3,6:22.0,,Z. LaVine makes free throw 1 of 1,65,64
3,6:03.0,T. Craig misses 3-pt jump shot from 23 ft,,65,64
3,5:58.0,Offensive rebound by J. Murray,,65,64
3,5:56.0,Turnover by J. Murray (lost ball; steal by R. Arcidiacono),,65,64
3,5:50.0,,Z. LaVine misses 2-pt layup from 1 ft,65,64
3,5:48.0,Defensive rebound by J. Murray,,65,64
3,5:44.0,G. Harris misses 2-pt jump shot from 12 ft,,65,64
3,5:43.0,Offensive rebound by Team,,65,64
3,5:43.0,,Loose ball foul by R. Arcidiacono (drawn by T. Craig),65,64
3,5:43.0,M. Morris enters the game for J. Murray,,65,64
3,5:36.0,Personal foul by W. Carter (drawn by N. Jokić),,65,64
3,5:31.0,N. Jokić makes 3-pt jump shot from 26 ft (assist by G. Harris),,68,64
3,5:14.0,,Z. LaVine misses 2-pt layup from 4 ft (block by P. Millsap),68,64
3,5:14.0,,Offensive rebound by Team,68,64
3,5:11.0,,J. Parker misses 3-pt jump shot from 24 ft,68,64
3,5:08.0,Defensive rebound by T. Craig,,68,64
3,4:57.0,N. Jokić misses 3-pt jump shot from 26 ft,,68,64
3,4:50.0,Offensive rebound by G. Harris,,68,64
3,4:47.0,Personal foul by R. Arcidiacono (drawn by T. Craig),,68,64
3,4:47.0,T. Craig misses free throw 1 of 2,,68,64
3,4:47.0,Offensive rebound by Team,,68,64
3,4:47.0,T. Lyles enters the game for P. Millsap,,68,64
3,4:47.0,T. Craig makes free throw 2 of 2,,69,64
3,4:30.0,,J. Parker misses 2-pt layup from 2 ft (block by T. Lyles),69,64
3,4:29.0,Defensive rebound by Team,,69,64
3,4:19.0,N. Jokić misses 3-pt jump shot from 25 ft,,69,64
3,4:16.0,,Defensive rebound by J. Parker,69,64
3,4:08.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by W. Carter),69,67
3,3:56.0,Turnover by G. Harris (bad pass; steal by W. Carter),,69,67
3,3:52.0,,Z. LaVine makes 2-pt dunk at rim (assist by R. Arcidiacono),69,69
3,3:35.0,Turnover by N. Jokić (lost ball; steal by R. Arcidiacono),,69,69
3,3:31.0,,Z. LaVine makes 2-pt layup at rim (assist by R. Arcidiacono),69,71
3,3:31.0,Denver full timeout,,69,71
3,3:31.0,J. Murray enters the game for G. Harris,,69,71
3,3:31.0,M. Plumlee enters the game for N. Jokić,,69,71
3,3:31.0,,C. Felício enters the game for W. Carter,69,71
3,3:20.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by M. Morris),,71,71
3,3:03.0,,Turnover by Z. LaVine (bad pass; steal by T. Craig),71,71
3,3:03.0,Personal foul by J. Parker (drawn by T. Craig),,71,71
3,3:03.0,T. Craig makes free throw 1 of 2,,72,71
3,3:03.0,,C. Hutchison enters the game for J. Parker,72,71
3,3:03.0,T. Craig makes free throw 2 of 2,,73,71
3,2:51.0,,C. Felício misses 2-pt layup from 3 ft,73,71
3,2:50.0,,Offensive rebound by C. Felício,73,71
3,2:50.0,,Shooting foul by T. Lyles (drawn by C. Felício),73,71
3,2:50.0,,C. Felício makes free throw 1 of 2,73,72
3,2:50.0,,A. Blakeney enters the game for Z. LaVine,73,72
3,2:50.0,,C. Felício makes free throw 2 of 2,73,73
3,2:34.0,Personal foul by R. Arcidiacono (drawn by M. Plumlee),,73,73
3,2:34.0,M. Plumlee misses free throw 1 of 2,,73,73
3,2:34.0,Offensive rebound by Team,,73,73
3,2:34.0,M. Beasley enters the game for T. Craig,,73,73
3,2:34.0,M. Plumlee misses free throw 2 of 2,,73,73
3,2:32.0,,Defensive rebound by A. Blakeney,73,73
3,2:18.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by R. Arcidiacono),73,76
3,2:08.0,Personal foul by C. Felício (drawn by M. Plumlee),,73,76
3,2:08.0,M. Plumlee makes free throw 1 of 2,,74,76
3,2:08.0,M. Plumlee misses free throw 2 of 2,,74,76
3,2:07.0,Offensive rebound by Team,,74,76
3,2:01.0,J. Murray makes 2-pt layup from 2 ft,,76,76
3,1:48.0,,J. Holiday misses 3-pt jump shot from 26 ft,76,76
3,1:44.0,Defensive rebound by M. Beasley,,76,76
3,1:31.0,T. Lyles makes 2-pt hook shot from 3 ft,,78,76
3,1:31.0,Shooting foul by J. Holiday (drawn by T. Lyles),,78,76
3,1:31.0,T. Lyles misses free throw 1 of 1,,78,76
3,1:31.0,,Defensive rebound by J. Holiday,78,76
3,1:11.0,,A. Blakeney misses 2-pt jump shot from 18 ft,78,76
3,1:09.0,Defensive rebound by T. Lyles,,78,76
3,0:52.0,T. Lyles makes 2-pt dunk from 1 ft (assist by J. Murray),,80,76
3,0:31.0,,J. Holiday misses 3-pt jump shot from 25 ft,80,76
3,0:28.0,Defensive rebound by M. Beasley,,80,76
3,0:07.0,J. Murray misses 3-pt jump shot from 25 ft,,80,76
3,0:03.0,,Defensive rebound by C. Felício,80,76
3,0:00.0,,A. Blakeney makes 2-pt dunk from 1 ft,80,78
3,0:00.0,T. Lyles misses 3-pt jump shot from 77 ft,,80,78
3,0:00.0,Offensive rebound by Team,,80,78
4,11:46.0,T. Lyles misses 2-pt layup from 3 ft,,80,78
4,11:46.0,,Defensive rebound by Team,80,78
4,11:28.0,,A. Blakeney makes 3-pt jump shot from 26 ft,80,81
4,11:06.0,M. Plumlee makes 2-pt layup from 2 ft (assist by T. Lyles),,82,81
4,10:58.0,,J. Parker makes 2-pt layup from 1 ft,82,83
4,10:58.0,Violation by Team (def goaltending),,82,83
4,10:58.0,,Shooting foul by M. Morris (drawn by J. Parker),82,83
4,10:58.0,,J. Parker misses free throw 1 of 1,82,83
4,10:46.0,Defensive rebound by T. Lyles,,82,83
4,10:36.0,M. Beasley makes 2-pt dunk from 1 ft (assist by J. Murray),,84,83
4,10:29.0,,Turnover by C. Felício (lost ball; steal by M. Beasley),84,83
4,10:29.0,Personal foul by C. Felício (drawn by M. Plumlee),,84,83
4,10:08.0,M. Morris misses 3-pt jump shot from 23 ft,,84,83
4,10:05.0,Offensive rebound by T. Lyles,,84,83
4,10:02.0,M. Beasley misses 3-pt jump shot from 25 ft,,84,83
4,9:58.0,,Defensive rebound by Team,84,83
4,9:58.0,Loose ball foul by M. Plumlee (drawn by C. Felício),,84,83
4,9:58.0,Technical foul by M. Plumlee,,84,83
4,9:58.0,,A. Blakeney misses technical free throw,84,83
4,9:58.0,,Offensive rebound by Team,84,83
4,9:35.0,,A. Blakeney misses 2-pt jump shot from 10 ft,84,83
4,9:33.0,Defensive rebound by M. Plumlee,,84,83
4,9:23.0,T. Lyles misses 3-pt jump shot from 25 ft,,84,83
4,9:21.0,,Defensive rebound by A. Blakeney,84,83
4,9:06.0,,A. Blakeney misses 2-pt jump shot from 18 ft,84,83
4,9:04.0,Defensive rebound by T. Lyles,,84,83
4,8:54.0,M. Morris misses 2-pt layup from 2 ft,,84,83
4,8:51.0,Offensive rebound by M. Plumlee,,84,83
4,8:51.0,M. Plumlee makes 2-pt layup at rim,,86,83
4,8:51.0,,Chicago full timeout,86,83
4,8:51.0,,W. Carter enters the game for A. Blakeney,86,83
4,8:51.0,,Z. LaVine enters the game for C. Felício,86,83
4,8:31.0,,W. Carter misses 3-pt jump shot from 23 ft,86,83
4,8:27.0,,Offensive rebound by C. Hutchison,86,83
4,8:18.0,,W. Carter makes 2-pt layup from 1 ft (assist by R. Arcidiacono),86,85
4,8:06.0,Personal foul by C. Hutchison (drawn by M. Plumlee),,86,85
4,8:06.0,G. Harris enters the game for J. Murray,,86,85
4,7:53.0,T. Lyles misses 2-pt jump shot from 5 ft (block by W. Carter),,86,85
4,7:50.0,Offensive rebound by M. Morris,,86,85
4,7:49.0,G. Harris misses 3-pt jump shot from 27 ft,,86,85
4,7:47.0,Offensive rebound by M. Beasley,,86,85
4,7:38.0,G. Harris misses 2-pt layup from 2 ft,,86,85
4,7:35.0,,Defensive rebound by J. Parker,86,85
4,7:21.0,,R. Arcidiacono misses 3-pt jump shot from 26 ft,86,85
4,7:19.0,Defensive rebound by T. Lyles,,86,85
4,7:14.0,Offensive foul by M. Plumlee (drawn by W. Carter),,86,85
4,7:14.0,Turnover by M. Plumlee (offensive foul),,86,85
4,6:56.0,,W. Carter makes 2-pt layup from 4 ft (assist by Z. LaVine),86,87
4,6:43.0,G. Harris misses 3-pt jump shot from 25 ft,,86,87
4,6:43.0,,Defensive rebound by J. Parker,86,87
4,6:33.0,,Z. LaVine misses 3-pt jump shot from 26 ft,86,87
4,6:30.0,Defensive rebound by T. Lyles,,86,87
4,6:18.0,M. Plumlee misses 2-pt jump shot from 4 ft,,86,87
4,6:16.0,,Defensive rebound by J. Parker,86,87
4,6:01.0,,W. Carter makes 3-pt jump shot from 26 ft (assist by Z. LaVine),86,90
4,6:00.0,Denver full timeout,,86,90
4,6:00.0,T. Craig enters the game for M. Beasley,,86,90
4,6:00.0,N. Jokić enters the game for T. Lyles,,86,90
4,6:00.0,P. Millsap enters the game for M. Morris,,86,90
4,6:00.0,J. Murray enters the game for M. Plumlee,,86,90
4,6:00.0,,C. Payne enters the game for R. Arcidiacono,86,90
4,5:48.0,N. Jokić misses 2-pt jump shot from 16 ft,,86,90
4,5:42.0,,Defensive rebound by W. Carter,86,90
4,5:18.0,,Z. LaVine makes 2-pt jump shot from 22 ft,86,92
4,4:51.0,N. Jokić makes 2-pt hook shot from 3 ft,,88,92
4,4:24.0,,Z. LaVine makes 2-pt layup from 3 ft,88,94
4,4:11.0,G. Harris misses 2-pt layup from 2 ft,,88,94
4,4:09.0,,Defensive rebound by J. Parker,88,94
4,3:51.0,,Turnover by C. Payne (out of bounds lost ball),88,94
4,3:51.0,M. Beasley enters the game for T. Craig,,88,94
4,3:51.0,,J. Holiday enters the game for C. Hutchison,88,94
4,3:37.0,P. Millsap makes 2-pt jump shot from 7 ft (assist by N. Jokić),,90,94
4,3:18.0,,C. Payne makes 2-pt jump shot from 8 ft,90,96
4,2:57.0,N. Jokić makes 2-pt layup from 1 ft,,92,96
