QUARTER,TIME_REMAINING,CHICAGO_ACTION,LA CLIPPERS_ACTION,CHICAGO_SCORE,LA CLIPPERS_SCORE
2,6:16.0,Z. LaVine makes 3-pt jump shot from 27 ft (assist by K. Dunn),,45,44
2,5:57.0,,M. Harrell makes 2-pt dunk at rim (assist by P. Beverley),45,46
2,5:43.0,Z. LaVine misses 3-pt jump shot from 28 ft,,45,46
2,5:41.0,,Defensive rebound by D. Gallinari,45,46
2,5:22.0,,D. Gallinari makes 2-pt jump shot from 18 ft,45,48
2,5:01.0,Z. LaVine makes 2-pt hook shot from 5 ft,,47,48
2,4:42.0,,L. Shamet misses 2-pt layup from 1 ft (block by K. Dunn),47,48
2,4:41.0,Defensive rebound by K. Dunn,,47,48
2,4:41.0,Personal foul by P. Beverley (drawn by K. Dunn),,47,48
2,4:41.0,K. Dunn makes free throw 1 of 2,,48,48
2,4:41.0,R. Lopez enters the game for C. Felício,,48,48
2,4:41.0,O. Porter enters the game for S. Harrison,,48,48
2,4:41.0,,S. Gilgeous-Alexander enters the game for L. Williams,48,48
2,4:41.0,K. Dunn makes free throw 2 of 2,,49,48
2,4:39.0,Violation by Team (delay of game),,49,48
2,4:19.0,,P. Beverley misses 2-pt jump shot from 5 ft,49,48
2,4:19.0,Defensive rebound by Team,,49,48
2,4:11.0,Turnover by Z. LaVine (lost ball; steal by S. Gilgeous-Alexander),,49,48
2,4:07.0,,M. Harrell makes 2-pt dunk at rim (assist by S. Gilgeous-Alexander),49,50
2,4:07.0,Chicago full timeout,,49,50
2,4:07.0,W. Selden enters the game for L. Markkanen,,49,50
2,4:07.0,,I. Zubac enters the game for M. Harrell,49,50
2,3:54.0,O. Porter misses 3-pt jump shot from 26 ft,,49,50
2,3:52.0,,Defensive rebound by Team,49,50
2,3:29.0,,P. Beverley misses 2-pt layup from 3 ft,49,50
2,3:26.0,Defensive rebound by W. Selden,,49,50
2,3:24.0,K. Dunn makes 2-pt dunk from 1 ft (assist by W. Selden),,51,50
2,3:13.0,,L. Shamet misses 2-pt jump shot from 18 ft,51,50
2,3:11.0,Defensive rebound by K. Dunn,,51,50
2,3:01.0,O. Porter misses 2-pt jump shot from 14 ft,,51,50
2,2:55.0,Offensive rebound by R. Lopez,,51,50
2,2:55.0,R. Lopez makes 2-pt layup from 1 ft,,53,50
2,2:46.0,,Shooting foul by K. Dunn (drawn by S. Gilgeous-Alexander),53,50
2,2:46.0,,S. Gilgeous-Alexander makes free throw 1 of 2,53,51
2,2:46.0,R. Arcidiacono enters the game for K. Dunn,,53,51
2,2:46.0,,S. Gilgeous-Alexander misses free throw 2 of 2,53,51
2,2:43.0,,Offensive rebound by S. Gilgeous-Alexander,53,51
2,2:42.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,53,53
2,2:23.0,Shooting foul by P. Beverley (drawn by R. Lopez),,53,53
2,2:23.0,R. Lopez makes free throw 1 of 2,,54,53
2,2:23.0,,L. Williams enters the game for P. Beverley,54,53
2,2:23.0,R. Lopez makes free throw 2 of 2,,55,53
2,2:07.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 10 ft,55,55
2,1:52.0,W. Selden makes 3-pt jump shot from 26 ft (assist by R. Lopez),,58,55
2,1:37.0,,D. Gallinari misses 2-pt layup from 4 ft,58,55
2,1:33.0,,Offensive rebound by I. Zubac,58,55
2,1:33.0,,I. Zubac misses 2-pt layup at rim,58,55
2,1:33.0,Defensive rebound by R. Lopez,,58,55
2,1:32.0,Shooting foul by L. Shamet (drawn by Z. LaVine),,58,55
2,1:32.0,Z. LaVine misses free throw 1 of 2,,58,55
2,1:32.0,Offensive rebound by Team,,58,55
2,1:32.0,Z. LaVine makes free throw 2 of 2,,59,55
2,1:17.0,,L. Williams misses 2-pt jump shot from 12 ft,59,55
2,1:12.0,Defensive rebound by R. Lopez,,59,55
2,1:04.0,Z. LaVine misses 2-pt jump shot from 7 ft,,59,55
2,1:02.0,Offensive rebound by R. Lopez,,59,55
2,0:58.0,W. Selden makes 2-pt jump shot from 15 ft (assist by R. Lopez),,61,55
2,0:47.0,,I. Zubac misses 2-pt layup from 3 ft,61,55
2,0:45.0,Defensive rebound by R. Arcidiacono,,61,55
2,0:38.0,Z. LaVine misses 2-pt jump shot from 19 ft,,61,55
2,0:35.0,,Defensive rebound by S. Gilgeous-Alexander,61,55
2,0:26.0,,L. Williams makes 2-pt jump shot from 12 ft,61,57
2,0:06.0,R. Lopez makes 2-pt hook shot from 4 ft (assist by Z. LaVine),,63,57
3,11:44.0,,D. Gallinari makes 2-pt jump shot from 18 ft (assist by P. Beverley),63,59
3,11:32.0,Shooting foul by I. Zubac (drawn by Z. LaVine),,63,59
3,11:32.0,Z. LaVine makes free throw 1 of 2,,64,59
3,11:32.0,Z. LaVine misses free throw 2 of 2,,64,59
3,11:29.0,,Defensive rebound by S. Gilgeous-Alexander,64,59
3,11:09.0,,D. Gallinari misses 2-pt jump shot from 22 ft,64,59
3,11:06.0,Defensive rebound by Z. LaVine,,64,59
3,10:58.0,Z. LaVine misses 3-pt jump shot from 25 ft,,64,59
3,10:55.0,,Defensive rebound by S. Gilgeous-Alexander,64,59
3,10:45.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 10 ft,64,59
3,10:41.0,Defensive rebound by L. Markkanen,,64,59
3,10:27.0,Personal foul by L. Shamet (drawn by O. Porter),,64,59
3,10:18.0,Turnover by Z. LaVine (lost ball; steal by S. Gilgeous-Alexander),,64,59
3,10:11.0,,L. Shamet misses 2-pt layup from 4 ft (block by R. Lopez),64,59
3,10:08.0,Defensive rebound by L. Markkanen,,64,59
3,10:05.0,Turnover by L. Markkanen (lost ball; steal by D. Gallinari),,64,59
3,9:55.0,,Personal foul by K. Dunn (drawn by S. Gilgeous-Alexander),64,59
3,9:53.0,,Personal foul by L. Markkanen (drawn by I. Zubac),64,59
3,9:47.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by P. Beverley),64,62
3,9:33.0,K. Dunn misses 2-pt layup from 3 ft,,64,62
3,9:29.0,K. Dunn misses 2-pt layup from 1 ft (block by D. Gallinari),,64,62
3,9:29.0,Offensive rebound by K. Dunn,,64,62
3,9:29.0,,Defensive rebound by D. Gallinari,64,62
3,9:20.0,,I. Zubac makes 2-pt hook shot from 4 ft (assist by S. Gilgeous-Alexander),64,64
3,9:20.0,,Shooting foul by R. Lopez (drawn by I. Zubac),64,64
3,9:20.0,,I. Zubac makes free throw 1 of 1,64,65
3,9:04.0,Shooting foul by I. Zubac (drawn by L. Markkanen),,64,65
3,9:04.0,L. Markkanen misses free throw 1 of 2,,64,65
3,9:04.0,Offensive rebound by Team,,64,65
3,9:04.0,L. Markkanen makes free throw 2 of 2,,65,65
3,8:55.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by P. Beverley),65,68
3,8:33.0,Loose ball foul by K. Dunn (drawn by P. Beverley),,65,68
3,8:33.0,Turnover by K. Dunn (turnover),,65,68
3,8:33.0,S. Harrison enters the game for K. Dunn,,65,68
3,8:15.0,,P. Beverley makes 2-pt jump shot from 5 ft (assist by I. Zubac),65,70
3,7:57.0,O. Porter makes 2-pt jump shot from 7 ft (assist by S. Harrison),,67,70
3,7:44.0,,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,67,72
3,7:21.0,O. Porter misses 2-pt jump shot from 20 ft,,67,72
3,7:18.0,,Defensive rebound by P. Beverley,67,72
3,7:16.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by P. Beverley),67,74
3,7:15.0,Chicago full timeout,,67,74
3,6:51.0,Turnover by Team (shot clock),,67,74
3,6:35.0,,D. Gallinari makes 2-pt jump shot from 20 ft (assist by P. Beverley),67,76
3,6:10.0,Shooting foul by I. Zubac (drawn by R. Lopez),,67,76
3,6:10.0,R. Lopez makes free throw 1 of 2,,68,76
3,6:10.0,R. Lopez makes free throw 2 of 2,,69,76
3,5:59.0,,Offensive foul by S. Gilgeous-Alexander (drawn by L. Markkanen),69,76
3,5:59.0,,Turnover by S. Gilgeous-Alexander (offensive foul),69,76
3,5:45.0,Turnover by L. Markkanen (traveling),,69,76
3,5:45.0,,LA Clippers full timeout,69,76
3,5:45.0,W. Selden enters the game for O. Porter,,69,76
3,5:34.0,,L. Shamet misses 3-pt jump shot from 27 ft,69,76
3,5:32.0,Defensive rebound by Team,,69,76
3,5:20.0,Z. LaVine misses 2-pt jump shot from 15 ft,,69,76
3,5:16.0,Offensive rebound by R. Lopez,,69,76
3,5:08.0,W. Selden misses 2-pt jump shot from 19 ft,,69,76
3,5:04.0,Offensive rebound by Z. LaVine,,69,76
3,5:01.0,Z. LaVine makes 2-pt layup from 2 ft,,71,76
3,4:45.0,,Shooting foul by L. Markkanen (drawn by D. Gallinari),71,76
3,4:45.0,,D. Gallinari misses free throw 1 of 2,71,76
3,4:45.0,,Offensive rebound by Team,71,76
3,4:45.0,T. Luwawu-Cabarrot enters the game for L. Markkanen,,71,76
3,4:45.0,,M. Harrell enters the game for I. Zubac,71,76
3,4:45.0,,D. Gallinari misses free throw 2 of 2,71,76
3,4:43.0,Defensive rebound by Z. LaVine,,71,76
3,4:25.0,R. Lopez misses 2-pt hook shot from 3 ft,,71,76
3,4:23.0,,Defensive rebound by D. Gallinari,71,76
3,4:17.0,,D. Gallinari makes 2-pt layup from 3 ft,71,78
3,4:02.0,Turnover by S. Harrison (bad pass; steal by L. Shamet),,71,78
3,3:55.0,,D. Gallinari makes 2-pt layup from 3 ft (assist by M. Harrell),71,80
3,3:55.0,,Shooting foul by Z. LaVine (drawn by D. Gallinari),71,80
3,3:55.0,,D. Gallinari makes free throw 1 of 1,71,81
3,3:39.0,W. Selden misses 2-pt layup from 4 ft (block by S. Gilgeous-Alexander),,71,81
3,3:36.0,,Defensive rebound by S. Gilgeous-Alexander,71,81
3,3:33.0,,P. Beverley misses 3-pt jump shot from 26 ft,71,81
3,3:30.0,,Offensive rebound by P. Beverley,71,81
3,3:28.0,,L. Shamet misses 3-pt jump shot from 26 ft,71,81
3,3:24.0,,Offensive rebound by P. Beverley,71,81
3,3:19.0,,L. Shamet makes 3-pt jump shot from 22 ft (assist by S. Gilgeous-Alexander),71,84
3,3:18.0,Chicago full timeout,,71,84
3,3:03.0,Z. LaVine misses 2-pt layup from 3 ft (block by M. Harrell),,71,84
3,2:58.0,,Defensive rebound by M. Harrell,71,84
3,2:52.0,,Personal foul by T. Luwawu-Cabarrot (drawn by P. Beverley),71,84
3,2:52.0,,P. Beverley makes free throw 1 of 2,71,85
3,2:52.0,,P. Beverley makes free throw 2 of 2,71,86
3,2:41.0,S. Harrison makes 2-pt layup from 1 ft,,73,86
3,2:18.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),73,89
3,2:06.0,Turnover by S. Harrison (lost ball; steal by S. Gilgeous-Alexander),,73,89
3,2:00.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by L. Shamet),73,91
3,1:49.0,,Violation by Team (kicked ball),73,91
3,1:49.0,,L. Williams enters the game for S. Gilgeous-Alexander,73,91
3,1:41.0,Personal foul by P. Beverley (drawn by Z. LaVine),,73,91
3,1:41.0,Z. LaVine misses free throw 1 of 2,,73,91
3,1:41.0,Offensive rebound by Team,,73,91
3,1:41.0,,G. Temple enters the game for P. Beverley,73,91
3,1:41.0,Z. LaVine makes free throw 2 of 2,,74,91
3,1:28.0,,M. Harrell misses 2-pt layup from 3 ft (block by R. Lopez),74,91
3,1:25.0,Defensive rebound by W. Selden,,74,91
3,1:22.0,W. Selden makes 2-pt layup from 1 ft,,76,91
3,1:14.0,,Offensive foul by M. Harrell (drawn by S. Harrison),76,91
3,1:14.0,,Turnover by M. Harrell (offensive foul),76,91
3,1:14.0,,Technical foul by,76,91
3,1:14.0,Technical foul by,,76,91
3,1:14.0,Technical foul by,,76,91
3,1:14.0,,Technical foul by,76,91
3,1:10.0,,D. Rivers ejected from game,76,91
3,1:10.0,J. Boylen ejected from game,,76,91
3,1:05.0,R. Lopez makes 2-pt layup from 1 ft (assist by Z. LaVine),,78,91
3,0:56.0,,Shooting foul by S. Harrison (drawn by M. Harrell),78,91
3,0:56.0,,M. Harrell makes free throw 1 of 2,78,92
3,0:56.0,,J. Green enters the game for D. Gallinari,78,92
3,0:56.0,,M. Harrell makes free throw 2 of 2,78,93
3,0:47.0,Z. LaVine makes 2-pt layup from 2 ft (assist by R. Lopez),,80,93
3,0:47.0,Shooting foul by L. Williams (drawn by Z. LaVine),,80,93
3,0:47.0,C. Felício enters the game for R. Lopez,,80,93
3,0:47.0,Z. LaVine makes free throw 1 of 1,,81,93
3,0:39.0,,L. Williams makes 2-pt layup from 2 ft,81,95
3,0:33.0,W. Selden makes 2-pt jump shot from 16 ft (assist by S. Harrison),,83,95
3,0:33.0,Shooting foul by J. Green (drawn by W. Selden),,83,95
3,0:33.0,W. Selden makes free throw 1 of 1,,84,95
3,0:27.0,,L. Williams makes 3-pt jump shot from 26 ft,84,98
3,0:27.0,,Shooting foul by W. Selden (drawn by L. Williams),84,98
3,0:27.0,L. Markkanen enters the game for C. Felício,,84,98
3,0:27.0,,S. Thornwell enters the game for L. Shamet,84,98
3,0:27.0,,L. Williams makes free throw 1 of 1,84,99
3,0:11.0,Turnover by Z. LaVine (lost ball; steal by G. Temple),,84,99
3,0:06.0,,S. Thornwell misses 2-pt layup from 2 ft,84,99
3,0:04.0,,Offensive rebound by S. Thornwell,84,99
3,0:04.0,,S. Thornwell misses 2-pt layup from 1 ft,84,99
3,0:03.0,,Offensive rebound by M. Harrell,84,99
3,0:02.0,,M. Harrell makes 2-pt layup from 2 ft,84,101
3,0:02.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by M. Harrell),84,101
3,0:02.0,,M. Harrell makes free throw 1 of 1,84,102
3,0:00.0,S. Harrison misses 3-pt jump shot from 44 ft,,84,102
3,0:00.0,Offensive rebound by Team,,84,102
4,11:51.0,S. Harrison misses 2-pt layup from 2 ft,,84,102
4,11:51.0,Offensive rebound by C. Felício,,84,102
4,11:51.0,Shooting foul by W. Chandler (drawn by C. Felício),,84,102
4,11:51.0,C. Felício makes free throw 1 of 2,,85,102
4,11:51.0,C. Felício makes free throw 2 of 2,,86,102
4,11:41.0,,L. Williams misses 2-pt layup from 3 ft (block by T. Luwawu-Cabarrot),86,102
4,11:41.0,,Offensive rebound by Team,86,102
4,11:35.0,,L. Williams misses 2-pt layup from 3 ft (block by A. Blakeney),86,102
4,11:32.0,,Offensive rebound by L. Williams,86,102
4,11:31.0,,L. Williams misses 2-pt layup from 4 ft,86,102
4,11:29.0,Defensive rebound by C. Felício,,86,102
4,11:25.0,W. Selden misses 3-pt jump shot from 28 ft,,86,102
4,11:24.0,Offensive rebound by Team,,86,102
4,11:24.0,,Loose ball foul by M. Harrell (drawn by C. Felício),86,102
4,11:19.0,A. Blakeney misses 2-pt jump shot from 8 ft (block by M. Harrell),,86,102
4,11:15.0,,Defensive rebound by L. Williams,86,102
4,11:12.0,,Personal foul by A. Blakeney (drawn by L. Williams),86,102
4,11:07.0,,Shooting foul by A. Blakeney (drawn by M. Harrell),86,102
4,11:07.0,,M. Harrell makes free throw 1 of 2,86,103
4,11:07.0,,M. Harrell makes free throw 2 of 2,86,104
4,10:52.0,C. Felício misses 2-pt layup from 2 ft (block by M. Harrell),,86,104
4,10:49.0,,Defensive rebound by M. Harrell,86,104
4,10:43.0,,Turnover by M. Harrell (lost ball; steal by S. Harrison),86,104
4,10:43.0,Personal take foul by M. Harrell (drawn by S. Harrison),,86,104
4,10:28.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 23 ft (assist by W. Selden),,89,104
4,10:12.0,,J. Green misses 2-pt jump shot from 21 ft,89,104
4,10:08.0,Defensive rebound by A. Blakeney,,89,104
4,9:59.0,C. Felício makes 2-pt layup from 2 ft (assist by A. Blakeney),,91,104
4,9:59.0,Shooting foul by W. Chandler (drawn by C. Felício),,91,104
4,9:59.0,C. Felício makes free throw 1 of 1,,92,104
