QUARTER,TIME_REMAINING,CLEVELAND_ACTION,INDIANA_ACTION,CLEVELAND_SCORE,INDIANA_SCORE
1,3:56.0,D. Adel misses 3-pt jump shot from 23 ft,,14,23
1,3:53.0,,Defensive rebound by C. Joseph,14,23
1,3:50.0,,D. Collison misses 3-pt jump shot from 26 ft,14,23
1,3:47.0,Defensive rebound by A. Žižić,,14,23
1,3:28.0,Turnover by A. Žižić (out of bounds lost ball),,14,23
1,3:28.0,,Indiana full timeout,14,23
1,3:28.0,M. Dellavedova enters the game for C. Sexton,,14,23
1,3:28.0,,A. Holiday enters the game for B. Bogdanović,14,23
1,3:28.0,,D. Sabonis enters the game for D. Collison,14,23
1,3:28.0,,E. Sumner enters the game for T. Young,14,23
1,3:18.0,,M. Turner makes 2-pt layup from 4 ft (assist by C. Joseph),14,25
1,2:52.0,L. Nance misses 2-pt jump shot from 10 ft,,14,25
1,2:48.0,,Defensive rebound by M. Turner,14,25
1,2:38.0,,A. Holiday misses 3-pt jump shot from 26 ft,14,25
1,2:35.0,Defensive rebound by L. Nance,,14,25
1,2:14.0,Turnover by M. Dellavedova (bad pass; steal by A. Holiday),,14,25
1,1:55.0,,M. Turner misses 3-pt jump shot from 28 ft,14,25
1,1:52.0,Defensive rebound by D. Adel,,14,25
1,1:44.0,Personal foul by A. Holiday (drawn by M. Dellavedova),,14,25
1,1:44.0,M. Chriss enters the game for D. Adel,,14,25
1,1:44.0,B. Knight enters the game for L. Nance,,14,25
1,1:44.0,,T. Leaf enters the game for M. Turner,14,25
1,1:42.0,J. Clarkson misses 3-pt jump shot from 26 ft,,14,25
1,1:38.0,,Defensive rebound by D. Sabonis,14,25
1,1:29.0,,A. Holiday misses 3-pt jump shot from 27 ft,14,25
1,1:26.0,,Offensive rebound by T. Leaf,14,25
1,1:20.0,,Shooting foul by A. Žižić (drawn by E. Sumner),14,25
1,1:20.0,,E. Sumner misses free throw 1 of 2,14,25
1,1:20.0,,Offensive rebound by Team,14,25
1,1:20.0,,E. Sumner makes free throw 2 of 2,14,26
1,1:07.0,Shooting foul by T. Leaf (drawn by A. Žižić),,14,26
1,1:07.0,A. Žižić makes free throw 1 of 2,,15,26
1,1:07.0,A. Žižić misses free throw 2 of 2,,15,26
1,1:06.0,,Defensive rebound by D. Sabonis,15,26
1,0:48.0,,T. Leaf makes 2-pt layup at rim (assist by E. Sumner),15,28
1,0:31.0,M. Chriss makes 2-pt hook shot from 4 ft (assist by M. Dellavedova),,17,28
1,0:13.0,,C. Joseph makes 2-pt jump shot from 9 ft,17,30
1,0:05.0,A. Žižić misses 2-pt jump shot from 12 ft,,17,30
1,0:03.0,,Defensive rebound by T. Leaf,17,30
2,11:48.0,B. Knight makes 3-pt jump shot from 27 ft (assist by A. Žižić),,20,30
2,11:35.0,,Offensive foul by D. Sabonis (drawn by A. Žižić),20,30
2,11:35.0,,Turnover by D. Sabonis (offensive foul),20,30
2,11:16.0,M. Chriss misses 3-pt jump shot from 28 ft,,20,30
2,11:13.0,,Defensive rebound by Team,20,30
2,10:57.0,,C. Joseph makes 2-pt jump shot from 18 ft,20,32
2,10:34.0,M. Chriss misses 2-pt layup from 4 ft,,20,32
2,10:31.0,,Defensive rebound by D. Sabonis,20,32
2,10:22.0,,T. Leaf makes 2-pt jump shot from 6 ft (assist by A. Holiday),20,34
2,10:01.0,M. Dellavedova misses 3-pt jump shot from 27 ft,,20,34
2,9:57.0,Offensive rebound by M. Chriss,,20,34
2,9:52.0,B. Knight makes 3-pt jump shot from 26 ft (assist by M. Chriss),,23,34
2,9:35.0,,T. Leaf makes 2-pt hook shot from 6 ft (assist by D. Sabonis),23,36
2,9:20.0,J. Clarkson misses 2-pt jump shot from 3 ft,,23,36
2,9:17.0,,Defensive rebound by A. Holiday,23,36
2,9:12.0,,T. Leaf makes 2-pt dunk from 2 ft (assist by C. Joseph),23,38
2,9:11.0,Cleveland full timeout,,23,38
2,9:11.0,L. Nance enters the game for A. Žižić,,23,38
2,8:59.0,J. Clarkson makes 3-pt jump shot from 23 ft (assist by B. Knight),,26,38
2,8:59.0,,T. Young enters the game for T. Leaf,26,38
2,8:30.0,,T. Young misses 2-pt jump shot from 12 ft,26,38
2,8:27.0,Defensive rebound by M. Dellavedova,,26,38
2,8:18.0,J. Clarkson misses 3-pt jump shot from 23 ft,,26,38
2,8:16.0,,Defensive rebound by C. Joseph,26,38
2,8:04.0,,A. Holiday makes 2-pt layup from 1 ft (assist by C. Joseph),26,40
2,7:48.0,J. Clarkson misses 2-pt layup from 3 ft,,26,40
2,7:44.0,,Defensive rebound by C. Joseph,26,40
2,7:40.0,,Turnover by D. Sabonis (bad pass; steal by M. Chriss),26,40
2,7:32.0,J. Clarkson makes 2-pt layup from 1 ft,,28,40
2,7:19.0,,A. Holiday misses 2-pt jump shot from 19 ft,28,40
2,7:17.0,Defensive rebound by Team,,28,40
2,7:17.0,,Loose ball foul by D. Sabonis (drawn by M. Chriss),28,40
2,7:17.0,D. Adel enters the game for M. Chriss,,28,40
2,7:17.0,D. Nwaba enters the game for M. Dellavedova,,28,40
2,7:17.0,C. Sexton enters the game for B. Knight,,28,40
2,7:17.0,,B. Bogdanović enters the game for A. Holiday,28,40
2,7:17.0,,D. Collison enters the game for E. Sumner,28,40
2,7:17.0,Violation by Team (delay of game),,28,40
2,6:58.0,C. Sexton makes 3-pt jump shot from 27 ft (assist by D. Nwaba),,31,40
2,6:45.0,,C. Joseph makes 2-pt jump shot from 15 ft,31,42
2,6:18.0,D. Adel misses 3-pt jump shot from 27 ft,,31,42
2,6:15.0,,Defensive rebound by C. Joseph,31,42
2,6:06.0,,Turnover by B. Bogdanović (traveling),31,42
2,5:49.0,J. Clarkson makes 2-pt jump shot from 17 ft,,33,42
2,5:32.0,,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by C. Joseph),33,45
2,5:32.0,J. Blossomgame enters the game for J. Clarkson,,33,45
2,5:32.0,,T. Evans enters the game for C. Joseph,33,45
2,5:32.0,,M. Turner enters the game for D. Sabonis,33,45
2,5:03.0,C. Sexton misses 2-pt jump shot from 17 ft,,33,45
2,5:00.0,,Defensive rebound by T. Evans,33,45
2,4:51.0,,B. Bogdanović makes 2-pt dunk at rim (assist by T. Young),33,47
2,4:36.0,Shooting foul by T. Evans (drawn by D. Nwaba),,33,47
2,4:36.0,D. Nwaba makes free throw 1 of 2,,34,47
2,4:36.0,D. Nwaba misses free throw 2 of 2,,34,47
2,4:35.0,,Defensive rebound by M. Turner,34,47
2,4:17.0,,T. Young misses 2-pt hook shot from 4 ft,34,47
2,4:15.0,Defensive rebound by L. Nance,,34,47
2,4:00.0,C. Sexton makes 2-pt jump shot from 7 ft,,36,47
2,4:00.0,Shooting foul by D. Collison (drawn by C. Sexton),,36,47
2,4:00.0,C. Sexton makes free throw 1 of 1,,37,47
2,3:44.0,,T. Evans makes 2-pt layup from 1 ft,37,49
2,3:28.0,D. Adel misses 3-pt jump shot from 27 ft,,37,49
2,3:24.0,,Defensive rebound by Team,37,49
2,3:06.0,,M. Turner misses 3-pt jump shot from 26 ft,37,49
2,3:01.0,Defensive rebound by C. Sexton,,37,49
2,2:53.0,C. Sexton misses 2-pt jump shot from 16 ft (block by T. Evans),,37,49
2,2:50.0,Offensive rebound by C. Sexton,,37,49
2,2:49.0,C. Sexton misses 2-pt jump shot from 13 ft,,37,49
2,2:47.0,,Defensive rebound by M. Turner,37,49
2,2:27.0,,D. Collison makes 2-pt jump shot from 12 ft (assist by B. Bogdanović),37,51
2,2:12.0,Personal foul by T. Evans (drawn by L. Nance),,37,51
2,2:12.0,,Indiana full timeout,37,51
2,2:12.0,J. Clarkson enters the game for D. Adel,,37,51
2,2:12.0,M. Dellavedova enters the game for D. Nwaba,,37,51
2,2:06.0,J. Blossomgame misses 3-pt jump shot from 23 ft,,37,51
2,2:03.0,,Defensive rebound by M. Turner,37,51
2,1:44.0,,M. Turner misses 2-pt layup from 1 ft,37,51
2,1:41.0,Defensive rebound by J. Blossomgame,,37,51
2,1:35.0,J. Clarkson misses 3-pt jump shot from 23 ft,,37,51
2,1:31.0,,Defensive rebound by D. Collison,37,51
2,1:28.0,,Shooting foul by M. Dellavedova (drawn by D. Collison),37,51
2,1:28.0,,D. Collison misses free throw 1 of 2,37,51
2,1:28.0,,Offensive rebound by Team,37,51
2,1:28.0,,D. Collison makes free throw 2 of 2,37,52
2,1:15.0,Turnover by J. Clarkson (bad pass; steal by T. Evans),,37,52
2,1:10.0,,T. Evans makes 2-pt jump shot from 2 ft,37,54
2,0:59.0,M. Dellavedova makes 3-pt jump shot from 28 ft (assist by L. Nance),,40,54
2,0:41.0,,B. Bogdanović misses 2-pt jump shot from 17 ft,40,54
2,0:38.0,Defensive rebound by M. Dellavedova,,40,54
2,0:35.0,M. Dellavedova misses 3-pt jump shot from 26 ft,,40,54
2,0:30.0,Offensive rebound by C. Sexton,,40,54
2,0:29.0,J. Clarkson misses 3-pt jump shot from 26 ft,,40,54
2,0:26.0,,Defensive rebound by T. Evans,40,54
2,0:22.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,40,54
2,0:18.0,Defensive rebound by M. Dellavedova,,40,54
2,0:01.0,L. Nance makes 2-pt dunk at rim (assist by M. Dellavedova),,42,54
2,0:00.0,,T. Young misses 3-pt jump shot from 49 ft,42,54
2,0:00.0,,Offensive rebound by Team,42,54
3,11:38.0,M. Chriss misses 2-pt jump shot from 20 ft,,42,54
3,11:36.0,,Defensive rebound by T. Young,42,54
3,11:30.0,,Personal foul by D. Nwaba (drawn by M. Turner),42,54
3,11:20.0,,D. Collison makes 2-pt jump shot from 15 ft,42,56
3,11:04.0,C. Sexton misses 2-pt layup from 3 ft (block by M. Turner),,42,56
3,11:03.0,Offensive rebound by Team,,42,56
3,10:55.0,D. Adel misses 2-pt jump shot from 16 ft,,42,56
3,10:53.0,,Defensive rebound by T. Evans,42,56
3,10:34.0,,M. Turner makes 2-pt jump shot from 13 ft (assist by T. Evans),42,58
3,10:19.0,D. Nwaba makes 2-pt layup from 4 ft,,44,58
3,9:57.0,,B. Bogdanović misses 2-pt layup from 2 ft,44,58
3,9:54.0,Defensive rebound by M. Chriss,,44,58
3,9:46.0,M. Chriss misses 2-pt dunk from 2 ft (block by M. Turner),,44,58
3,9:42.0,,Defensive rebound by T. Young,44,58
3,9:38.0,,Personal foul by D. Nwaba (drawn by B. Bogdanović),44,58
3,9:38.0,,Indiana full timeout,44,58
3,9:38.0,,D. Sabonis enters the game for M. Turner,44,58
3,9:22.0,,B. Bogdanović misses 3-pt jump shot from 29 ft,44,58
3,9:18.0,Defensive rebound by C. Sexton,,44,58
3,9:16.0,C. Sexton makes 2-pt dunk from 1 ft,,46,58
3,8:55.0,,D. Collison misses 3-pt jump shot from 23 ft,46,58
3,8:51.0,Defensive rebound by L. Nance,,46,58
3,8:30.0,Turnover by D. Nwaba (traveling),,46,58
3,8:18.0,,T. Young misses 2-pt layup from 1 ft,46,58
3,8:17.0,Defensive rebound by C. Sexton,,46,58
3,8:05.0,L. Nance misses 3-pt jump shot from 24 ft,,46,58
3,8:02.0,,Defensive rebound by B. Bogdanović,46,58
3,7:56.0,,D. Collison makes 2-pt layup at rim (assist by B. Bogdanović),46,60
3,7:32.0,C. Sexton misses 2-pt jump shot from 13 ft,,46,60
3,7:30.0,,Defensive rebound by D. Sabonis,46,60
3,7:18.0,,T. Young misses 2-pt jump shot from 15 ft,46,60
3,7:13.0,,Offensive rebound by D. Sabonis,46,60
3,7:13.0,,D. Sabonis makes 2-pt layup from 1 ft,46,62
3,7:06.0,Cleveland full timeout,,46,62
3,7:06.0,J. Clarkson enters the game for D. Adel,,46,62
3,7:06.0,A. Žižić enters the game for M. Chriss,,46,62
3,6:57.0,J. Clarkson misses 2-pt layup from 6 ft,,46,62
3,6:54.0,Offensive rebound by A. Žižić,,46,62
3,6:53.0,A. Žižić misses 2-pt layup from 1 ft (block by T. Young),,46,62
3,6:53.0,Offensive rebound by Team,,46,62
3,6:47.0,J. Clarkson makes 2-pt jump shot from 19 ft,,48,62
3,6:33.0,,T. Evans misses 2-pt jump shot from 19 ft,48,62
3,6:31.0,,Offensive rebound by Team,48,62
3,6:31.0,,C. Joseph enters the game for T. Evans,48,62
3,6:24.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Collison),48,64
3,6:00.0,L. Nance misses 2-pt jump shot from 6 ft,,48,64
3,5:57.0,,Defensive rebound by D. Sabonis,48,64
3,5:49.0,,D. Collison makes 2-pt jump shot from 16 ft,48,66
3,5:23.0,Turnover by C. Sexton (bad pass; steal by T. Young),,48,66
3,5:16.0,,B. Bogdanović misses 2-pt jump shot from 16 ft,48,66
3,5:12.0,Defensive rebound by J. Clarkson,,48,66
3,5:08.0,J. Clarkson makes 2-pt layup from 1 ft,,50,66
3,4:53.0,,D. Collison misses 2-pt jump shot from 16 ft,50,66
3,4:51.0,,Offensive rebound by Team,50,66
3,4:51.0,Loose ball foul by A. Žižić (drawn by D. Sabonis),,50,66
3,4:51.0,J. Blossomgame enters the game for D. Nwaba,,50,66
3,4:51.0,M. Dellavedova enters the game for C. Sexton,,50,66
3,4:47.0,,Personal foul by M. Dellavedova (drawn by B. Bogdanović),50,66
3,4:40.0,,D. Sabonis makes 2-pt layup from 5 ft (assist by D. Collison),50,68
3,4:29.0,,Violation by Team (kicked ball),50,68
3,4:29.0,,M. Turner enters the game for T. Young,50,68
3,4:27.0,Personal foul by D. Collison (drawn by M. Dellavedova),,50,68
3,4:24.0,J. Blossomgame misses 3-pt jump shot from 24 ft,,50,68
3,4:21.0,,Defensive rebound by D. Sabonis,50,68
3,4:07.0,,D. Collison misses 2-pt jump shot from 12 ft,50,68
3,4:05.0,Defensive rebound by L. Nance,,50,68
3,4:01.0,J. Blossomgame makes 2-pt dunk from 2 ft (assist by M. Dellavedova),,52,68
3,3:46.0,,Shooting foul by L. Nance (drawn by C. Joseph),52,68
3,3:46.0,,C. Joseph misses free throw 1 of 2,52,68
3,3:46.0,,Offensive rebound by Team,52,68
3,3:46.0,,E. Sumner enters the game for B. Bogdanović,52,68
3,3:46.0,,C. Joseph misses free throw 2 of 2,52,68
3,3:44.0,Defensive rebound by L. Nance,,52,68
3,3:37.0,L. Nance makes 2-pt dunk from 2 ft (assist by J. Clarkson),,54,68
3,3:07.0,,D. Collison misses 3-pt jump shot from 27 ft,54,68
3,3:03.0,,Offensive rebound by M. Turner,54,68
3,2:53.0,,Turnover by E. Sumner (traveling),54,68
3,2:40.0,Turnover by M. Dellavedova (bad pass; steal by D. Sabonis),,54,68
3,2:33.0,,Turnover by D. Sabonis (traveling),54,68
3,2:23.0,L. Nance makes 3-pt jump shot from 23 ft (assist by M. Dellavedova),,57,68
3,2:10.0,,D. Sabonis misses 2-pt layup at rim,57,68
3,2:07.0,Defensive rebound by A. Žižić,,57,68
3,1:54.0,A. Žižić misses 2-pt layup from 2 ft (block by M. Turner),,57,68
3,1:52.0,,Defensive rebound by M. Turner,57,68
3,1:46.0,,D. Collison makes 2-pt jump shot from 18 ft (assist by C. Joseph),57,70
3,1:29.0,Shooting foul by D. Collison (drawn by M. Dellavedova),,57,70
3,1:29.0,M. Dellavedova misses free throw 1 of 2,,57,70
3,1:29.0,Offensive rebound by Team,,57,70
3,1:29.0,,A. Holiday enters the game for D. Collison,57,70
3,1:29.0,M. Dellavedova misses free throw 2 of 2,,57,70
3,1:28.0,,Defensive rebound by M. Turner,57,70
3,1:13.0,,D. Sabonis makes 2-pt layup from 2 ft,57,72
3,0:49.0,J. Blossomgame misses 3-pt jump shot from 27 ft,,57,72
3,0:46.0,,Defensive rebound by M. Turner,57,72
3,0:40.0,,A. Holiday misses 2-pt jump shot from 19 ft,57,72
3,0:36.0,,Offensive rebound by C. Joseph,57,72
3,0:34.0,,A. Holiday misses 3-pt jump shot from 29 ft,57,72
3,0:30.0,Defensive rebound by J. Blossomgame,,57,72
3,0:22.0,L. Nance makes 3-pt jump shot from 27 ft (assist by J. Clarkson),,60,72
3,0:04.0,,C. Joseph makes 2-pt jump shot from 19 ft,60,74
3,0:01.0,L. Nance misses 3-pt jump shot from 39 ft,,60,74
3,0:01.0,Offensive rebound by Team,,60,74
4,11:45.0,,Shooting foul by M. Chriss (drawn by D. Sabonis),60,74
4,11:45.0,,D. Sabonis makes free throw 1 of 2,60,75
4,11:45.0,,D. Sabonis makes free throw 2 of 2,60,76
4,11:31.0,J. Clarkson makes 2-pt jump shot from 11 ft,,62,76
4,11:17.0,,Offensive foul by D. Sabonis (drawn by M. Chriss),62,76
4,11:17.0,,Turnover by D. Sabonis (offensive foul),62,76
4,11:07.0,Turnover by M. Dellavedova (bad pass; steal by E. Sumner),,62,76
4,11:04.0,,E. Sumner misses 2-pt layup from 1 ft,62,76
4,11:02.0,Defensive rebound by J. Clarkson,,62,76
4,10:59.0,M. Chriss makes 2-pt dunk from 1 ft (assist by J. Clarkson),,64,76
4,10:42.0,,T. Young misses 3-pt jump shot from 27 ft,64,76
4,10:38.0,Defensive rebound by Team,,64,76
4,10:38.0,,Loose ball foul by D. Sabonis (drawn by M. Dellavedova),64,76
4,10:29.0,J. Blossomgame misses 3-pt jump shot from 27 ft,,64,76
4,10:26.0,,Defensive rebound by C. Joseph,64,76
4,10:10.0,,A. Holiday makes 2-pt layup from 3 ft (assist by C. Joseph),64,78
4,9:48.0,J. Blossomgame misses 3-pt jump shot from 23 ft,,64,78
4,9:45.0,,Defensive rebound by C. Joseph,64,78
4,9:41.0,,D. Sabonis makes 2-pt dunk from 1 ft (assist by C. Joseph),64,80
4,9:34.0,Cleveland full timeout,,64,80
4,9:34.0,L. Nance enters the game for J. Blossomgame,,64,80
4,9:34.0,,B. Bogdanović enters the game for E. Sumner,64,80
4,9:27.0,B. Knight makes 3-pt jump shot from 27 ft (assist by M. Dellavedova),,67,80
4,9:06.0,,Personal foul by M. Chriss (drawn by T. Young),67,80
4,8:53.0,,A. Holiday misses 2-pt layup from 5 ft,67,80
4,8:49.0,,Offensive rebound by Team,67,80
4,8:44.0,,B. Bogdanović misses 2-pt jump shot from 9 ft,67,80
4,8:41.0,Defensive rebound by L. Nance,,67,80
4,8:23.0,Turnover by J. Clarkson (bad pass; steal by C. Joseph),,67,80
4,8:09.0,,T. Young makes 3-pt jump shot from 23 ft (assist by C. Joseph),67,83
4,7:39.0,Turnover by Team (shot clock),,67,83
4,7:39.0,,D. Collison enters the game for A. Holiday,67,83
4,7:29.0,,D. Collison makes 2-pt layup from 1 ft,67,85
4,7:15.0,J. Clarkson makes 2-pt jump shot from 17 ft (assist by B. Knight),,69,85
4,7:00.0,,T. Young makes 3-pt jump shot from 26 ft (assist by D. Collison),69,88
4,6:43.0,Personal foul by B. Bogdanović (drawn by L. Nance),,69,88
4,6:43.0,C. Sexton enters the game for B. Knight,,69,88
4,6:38.0,J. Clarkson makes 3-pt jump shot from 28 ft (assist by M. Chriss),,72,88
4,6:19.0,,B. Bogdanović makes 2-pt layup at rim (assist by D. Sabonis),72,90
4,6:06.0,M. Dellavedova makes 2-pt jump shot from 13 ft,,74,90
4,5:39.0,,D. Collison makes 2-pt jump shot from 20 ft (assist by C. Joseph),74,92
4,5:21.0,J. Clarkson misses 3-pt jump shot from 26 ft,,74,92
4,5:18.0,,Defensive rebound by D. Sabonis,74,92
4,5:06.0,,D. Collison misses 2-pt layup from 2 ft (block by L. Nance),74,92
4,5:03.0,Defensive rebound by M. Chriss,,74,92
4,4:58.0,C. Sexton misses 2-pt layup from 2 ft,,74,92
4,4:55.0,,Defensive rebound by D. Sabonis,74,92
4,4:40.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Sabonis),74,95
4,4:37.0,Cleveland full timeout,,74,95
4,4:37.0,D. Adel enters the game for M. Chriss,,74,95
4,4:37.0,D. Nwaba enters the game for M. Dellavedova,,74,95
4,4:24.0,D. Adel makes 3-pt jump shot from 26 ft (assist by J. Clarkson),,77,95
4,4:07.0,,C. Joseph misses 3-pt jump shot from 25 ft,77,95
4,4:05.0,,Offensive rebound by D. Sabonis,77,95
4,4:01.0,,B. Bogdanović misses 3-pt jump shot from 28 ft,77,95
4,3:58.0,Defensive rebound by L. Nance,,77,95
4,3:52.0,C. Sexton misses 2-pt jump shot from 20 ft,,77,95
4,3:49.0,,Defensive rebound by Team,77,95
4,3:27.0,,D. Sabonis makes 3-pt jump shot from 27 ft (assist by D. Collison),77,98
4,3:18.0,Turnover by D. Adel (lost ball; steal by T. Young),,77,98
4,3:04.0,,C. Joseph misses 3-pt jump shot from 27 ft,77,98
4,3:00.0,Defensive rebound by Team,,77,98
4,3:00.0,,T. Leaf enters the game for T. Young,77,98
4,2:48.0,L. Nance makes 3-pt jump shot from 26 ft (assist by J. Clarkson),,80,98
4,2:25.0,,Turnover by D. Sabonis (bad pass; steal by J. Clarkson),80,98
4,2:20.0,Shooting foul by T. Leaf (drawn by L. Nance),,80,98
4,2:20.0,L. Nance makes free throw 1 of 2,,81,98
4,2:20.0,J. Blossomgame enters the game for J. Clarkson,,81,98
4,2:20.0,,K. O'Quinn enters the game for D. Sabonis,81,98
4,2:20.0,L. Nance misses free throw 2 of 2,,81,98
4,2:18.0,,Defensive rebound by C. Joseph,81,98
4,2:17.0,,Personal take foul by C. Sexton (drawn by C. Joseph),81,98
4,2:17.0,C. Frye enters the game for L. Nance,,81,98
4,1:53.0,,B. Bogdanović makes 2-pt jump shot from 6 ft (assist by D. Collison),81,100
4,1:46.0,C. Frye makes 3-pt jump shot from 26 ft (assist by C. Sexton),,84,100
4,1:29.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,84,100
4,1:26.0,Defensive rebound by C. Frye,,84,100
4,1:16.0,C. Frye makes 3-pt jump shot from 28 ft (assist by C. Sexton),,87,100
4,0:58.0,,D. Collison makes 3-pt jump shot from 28 ft,87,103
4,0:46.0,C. Sexton makes 3-pt jump shot from 27 ft,,90,103
4,0:27.0,,C. Joseph makes 2-pt jump shot from 17 ft,90,105
4,0:17.0,D. Adel misses 3-pt jump shot from 28 ft,,90,105
4,0:16.0,,Defensive rebound by C. Joseph,90,105
4,0:08.0,,Turnover by (8 sec),90,105
