QUARTER,TIME_REMAINING,INDIANA_ACTION,LA CLIPPERS_ACTION,INDIANA_SCORE,LA CLIPPERS_SCORE
1,7:48.0,,L. Shamet misses 2-pt layup from 3 ft,4,8
1,7:48.0,,Offensive rebound by I. Zubac,4,8
1,7:41.0,,I. Zubac makes 2-pt dunk from 1 ft,4,10
1,7:41.0,Turnover by C. Joseph (back court),,4,10
1,7:27.0,,Shooting foul by M. Turner (drawn by S. Gilgeous-Alexander),4,10
1,7:27.0,,S. Gilgeous-Alexander makes free throw 1 of 2,4,11
1,7:27.0,,S. Gilgeous-Alexander misses free throw 2 of 2,4,11
1,7:24.0,Defensive rebound by M. Turner,,4,11
1,7:23.0,Indiana full timeout,,4,11
1,7:10.0,W. Matthews misses 2-pt jump shot from 10 ft,,4,11
1,7:05.0,Offensive rebound by W. Matthews,,4,11
1,7:05.0,W. Matthews makes 2-pt layup at rim,,6,11
1,6:47.0,,L. Shamet misses 3-pt jump shot from 25 ft,6,11
1,6:45.0,Defensive rebound by T. Young,,6,11
1,6:40.0,M. Turner misses 3-pt jump shot from 25 ft,,6,11
1,6:36.0,,Defensive rebound by P. Beverley,6,11
1,6:29.0,,D. Gallinari makes 2-pt layup from 2 ft (assist by P. Beverley),6,13
1,6:17.0,B. Bogdanović misses 2-pt jump shot from 13 ft,,6,13
1,6:10.0,Offensive rebound by T. Young,,6,13
1,6:09.0,T. Young misses 2-pt hook shot from 6 ft,,6,13
1,6:06.0,Offensive rebound by M. Turner,,6,13
1,6:06.0,M. Turner makes 2-pt dunk at rim,,8,13
1,5:52.0,,I. Zubac misses 2-pt hook shot from 3 ft,8,13
1,5:50.0,Defensive rebound by B. Bogdanović,,8,13
1,5:30.0,Turnover by M. Turner (bad pass; steal by D. Gallinari),,8,13
1,5:20.0,,Offensive foul by I. Zubac (drawn by C. Joseph),8,13
1,5:20.0,,Turnover by I. Zubac (offensive foul),8,13
1,5:20.0,T. Evans enters the game for B. Bogdanović,,8,13
1,5:08.0,C. Joseph misses 2-pt jump shot from 16 ft,,8,13
1,5:06.0,,Defensive rebound by I. Zubac,8,13
1,4:52.0,,L. Shamet makes 3-pt jump shot from 25 ft (assist by D. Gallinari),8,16
1,4:41.0,T. Evans makes 2-pt jump shot from 22 ft (assist by T. Young),,10,16
1,4:14.0,,D. Gallinari misses 3-pt jump shot from 26 ft,10,16
1,4:10.0,Defensive rebound by T. Evans,,10,16
1,4:04.0,T. Evans misses 2-pt jump shot from 20 ft,,10,16
1,4:03.0,,Defensive rebound by L. Shamet,10,16
1,3:57.0,,LA Clippers full timeout,10,16
1,3:57.0,D. McDermott enters the game for C. Joseph,,10,16
1,3:57.0,D. Sabonis enters the game for T. Young,,10,16
1,3:57.0,,M. Harrell enters the game for L. Shamet,10,16
1,3:57.0,,L. Williams enters the game for I. Zubac,10,16
1,3:46.0,,D. Gallinari misses 2-pt jump shot from 13 ft,10,16
1,3:43.0,Defensive rebound by M. Turner,,10,16
1,3:33.0,W. Matthews misses 3-pt jump shot from 23 ft,,10,16
1,3:31.0,,Defensive rebound by P. Beverley,10,16
1,3:24.0,,P. Beverley misses 3-pt jump shot from 25 ft,10,16
1,3:20.0,,Offensive rebound by P. Beverley,10,16
1,3:10.0,,M. Harrell misses 2-pt hook shot from 2 ft,10,16
1,3:04.0,Defensive rebound by T. Evans,,10,16
1,2:57.0,T. Evans makes 2-pt jump shot from 21 ft (assist by D. Sabonis),,12,16
1,2:30.0,,M. Harrell makes 2-pt layup from 1 ft (assist by L. Williams),12,18
1,2:11.0,Personal foul by M. Harrell (drawn by D. Sabonis),,12,18
1,2:11.0,B. Bogdanović enters the game for M. Turner,,12,18
1,2:11.0,,J. Green enters the game for P. Beverley,12,18
1,2:11.0,,G. Temple enters the game for D. Gallinari,12,18
1,2:10.0,Personal foul by G. Temple (drawn by T. Evans),,12,18
1,2:00.0,D. Sabonis makes 2-pt dunk from 2 ft (assist by T. Evans),,14,18
1,1:53.0,,Shooting foul by W. Matthews (drawn by L. Williams),14,18
1,1:53.0,,L. Williams makes free throw 1 of 2,14,19
1,1:53.0,,W. Chandler enters the game for S. Gilgeous-Alexander,14,19
1,1:53.0,,L. Williams misses free throw 2 of 2,14,19
1,1:50.0,Defensive rebound by D. McDermott,,14,19
1,1:36.0,D. McDermott makes 2-pt jump shot from 21 ft (assist by W. Matthews),,16,19
1,1:30.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),16,21
1,1:16.0,D. McDermott misses 2-pt jump shot from 21 ft,,16,21
1,1:14.0,,Defensive rebound by J. Green,16,21
1,1:14.0,,L. Williams makes 2-pt jump shot from 12 ft,16,23
1,1:14.0,,Shooting foul by D. McDermott (drawn by L. Williams),16,23
1,1:14.0,A. Holiday enters the game for W. Matthews,,16,23
1,1:14.0,,L. Williams makes free throw 1 of 1,16,24
1,1:00.0,Turnover by A. Holiday (bad pass; steal by L. Williams),,16,24
1,0:57.0,,W. Chandler misses 3-pt jump shot from 26 ft,16,24
1,0:53.0,Defensive rebound by A. Holiday,,16,24
1,0:44.0,Turnover by B. Bogdanović (traveling),,16,24
1,0:39.0,,L. Williams misses 2-pt jump shot from 16 ft,16,24
1,0:38.0,Defensive rebound by D. Sabonis,,16,24
1,0:38.0,Personal foul by W. Chandler (drawn by D. Sabonis),,16,24
1,0:29.0,D. Sabonis misses 2-pt layup from 1 ft,,16,24
1,0:25.0,,Defensive rebound by M. Harrell,16,24
1,0:10.0,,Shooting foul by D. Sabonis (drawn by M. Harrell),16,24
1,0:10.0,,M. Harrell misses free throw 1 of 2,16,24
1,0:10.0,,Offensive rebound by Team,16,24
1,0:10.0,,S. Thornwell enters the game for L. Williams,16,24
1,0:10.0,,M. Harrell makes free throw 2 of 2,16,25
1,0:00.0,T. Evans misses 2-pt jump shot from 20 ft,,16,25
1,0:00.0,Offensive rebound by Team,,16,25
2,11:46.0,D. McDermott makes 2-pt layup from 3 ft (assist by T. Evans),,18,25
2,11:40.0,,Personal foul by B. Bogdanović (drawn by J. Green),18,25
2,11:35.0,,J. Green makes 2-pt jump shot from 21 ft (assist by L. Williams),18,27
2,11:11.0,Shooting foul by J. Green (drawn by B. Bogdanović),,18,27
2,11:11.0,B. Bogdanović makes free throw 1 of 2,,19,27
2,11:11.0,B. Bogdanović makes free throw 2 of 2,,20,27
2,10:55.0,,M. Harrell misses 2-pt layup from 3 ft,20,27
2,10:51.0,,Offensive rebound by M. Harrell,20,27
2,10:51.0,,M. Harrell makes 2-pt layup from 1 ft,20,29
2,10:43.0,D. McDermott makes 2-pt dunk from 1 ft (assist by D. Sabonis),,22,29
2,10:34.0,,J. Green misses 3-pt jump shot from 25 ft,22,29
2,10:31.0,Defensive rebound by D. McDermott,,22,29
2,10:29.0,Personal foul by G. Temple (drawn by A. Holiday),,22,29
2,10:21.0,A. Holiday misses 2-pt jump shot from 7 ft,,22,29
2,10:18.0,Offensive rebound by D. Sabonis,,22,29
2,10:18.0,D. Sabonis misses 2-pt layup at rim,,22,29
2,10:17.0,,Defensive rebound by J. Green,22,29
2,10:09.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by G. Temple),22,31
2,9:59.0,D. McDermott makes 3-pt jump shot from 26 ft (assist by D. Sabonis),,25,31
2,9:40.0,,W. Chandler makes 2-pt layup from 2 ft (assist by L. Williams),25,33
2,9:29.0,Personal foul by W. Chandler (drawn by D. Sabonis),,25,33
2,9:22.0,A. Holiday makes 3-pt jump shot from 23 ft (assist by D. Sabonis),,28,33
2,9:01.0,,L. Williams misses 3-pt jump shot from 24 ft,28,33
2,8:57.0,Defensive rebound by T. Evans,,28,33
2,8:51.0,T. Evans makes 2-pt layup from 2 ft,,30,33
2,8:37.0,,M. Harrell misses 2-pt dunk from 2 ft,30,33
2,8:33.0,,Offensive rebound by W. Chandler,30,33
2,8:32.0,,J. Green misses 3-pt jump shot from 25 ft,30,33
2,8:28.0,Defensive rebound by D. Sabonis,,30,33
2,8:21.0,B. Bogdanović misses 2-pt jump shot from 17 ft,,30,33
2,8:18.0,,Defensive rebound by G. Temple,30,33
2,8:09.0,,W. Chandler misses 3-pt jump shot from 24 ft,30,33
2,8:04.0,Defensive rebound by D. Sabonis,,30,33
2,7:57.0,Turnover by D. Sabonis (traveling),,30,33
2,7:50.0,,Offensive foul by J. Green (drawn by A. Holiday),30,33
2,7:50.0,,Turnover by J. Green (offensive foul),30,33
2,7:50.0,,L. Shamet enters the game for W. Chandler,30,33
2,7:41.0,Turnover by T. Evans (bad pass; steal by M. Harrell),,30,33
2,7:34.0,,L. Williams makes 2-pt jump shot from 16 ft (assist by G. Temple),30,35
2,7:18.0,D. Sabonis makes 2-pt layup from 5 ft (assist by T. Evans),,32,35
2,7:06.0,,L. Williams misses 2-pt jump shot from 13 ft,32,35
2,7:00.0,,Offensive rebound by M. Harrell,32,35
2,7:00.0,,M. Harrell makes 2-pt layup from 1 ft,32,37
2,7:00.0,Indiana full timeout,,32,37
2,7:00.0,T. Young enters the game for B. Bogdanović,,32,37
2,6:47.0,D. Sabonis misses 2-pt jump shot from 20 ft,,32,37
2,6:43.0,,Defensive rebound by J. Green,32,37
2,6:31.0,,G. Temple makes 2-pt layup from 1 ft (assist by M. Harrell),32,39
2,6:13.0,D. McDermott misses 2-pt jump shot from 19 ft,,32,39
2,6:11.0,,Defensive rebound by J. Green,32,39
2,6:01.0,,L. Williams misses 2-pt jump shot from 11 ft (block by T. Young),32,39
2,5:57.0,Defensive rebound by T. Young,,32,39
2,5:54.0,Turnover by D. McDermott (bad pass; steal by M. Harrell),,32,39
2,5:49.0,,M. Harrell makes 2-pt layup from 1 ft,32,41
2,5:34.0,T. Evans makes 2-pt layup from 2 ft,,34,41
2,5:20.0,,L. Shamet misses 3-pt jump shot from 25 ft,34,41
2,5:16.0,Defensive rebound by T. Young,,34,41
2,5:13.0,Shooting foul by M. Harrell (drawn by A. Holiday),,34,41
2,5:13.0,,LA Clippers full timeout,34,41
2,5:13.0,,P. Beverley enters the game for J. Green,34,41
2,5:13.0,,D. Gallinari enters the game for M. Harrell,34,41
2,5:13.0,,S. Gilgeous-Alexander enters the game for G. Temple,34,41
2,5:13.0,,I. Zubac enters the game for L. Williams,34,41
2,5:13.0,A. Holiday misses free throw 1 of 2,,34,41
2,5:13.0,Offensive rebound by Team,,34,41
2,5:13.0,A. Holiday makes free throw 2 of 2,,35,41
2,4:49.0,,D. Gallinari misses 2-pt jump shot from 19 ft,35,41
2,4:46.0,Defensive rebound by D. Sabonis,,35,41
2,4:33.0,T. Young makes 2-pt layup from 2 ft (assist by T. Evans),,37,41
2,4:27.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,37,43
2,4:13.0,Turnover by T. Evans (traveling),,37,43
2,4:13.0,M. Turner enters the game for D. Sabonis,,37,43
2,4:00.0,,Turnover by I. Zubac (off goaltending),37,43
2,3:46.0,T. Evans misses 2-pt layup from 3 ft,,37,43
2,3:43.0,,Defensive rebound by S. Gilgeous-Alexander,37,43
2,3:35.0,,Personal foul by T. Evans (drawn by P. Beverley),37,43
2,3:35.0,C. Joseph enters the game for T. Evans,,37,43
2,3:35.0,W. Matthews enters the game for A. Holiday,,37,43
2,3:24.0,,Shooting foul by W. Matthews (drawn by D. Gallinari),37,43
2,3:24.0,,D. Gallinari makes free throw 1 of 2,37,44
2,3:24.0,,D. Gallinari makes free throw 2 of 2,37,45
2,3:11.0,T. Young makes 3-pt jump shot from 25 ft (assist by D. McDermott),,40,45
2,2:48.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by P. Beverley),40,47
2,2:48.0,Violation by Team (def goaltending),,40,47
2,2:39.0,D. McDermott makes 2-pt jump shot from 21 ft (assist by C. Joseph),,42,47
2,2:26.0,,Turnover by I. Zubac (lost ball; steal by C. Joseph),42,47
2,2:15.0,Turnover by D. McDermott (bad pass; steal by S. Gilgeous-Alexander),,42,47
2,2:14.0,,Turnover by D. Gallinari (bad pass),42,47
2,1:55.0,C. Joseph makes 3-pt jump shot from 23 ft (assist by W. Matthews),,45,47
2,1:39.0,,Turnover by I. Zubac (lost ball; steal by C. Joseph),45,47
2,1:33.0,W. Matthews misses 2-pt layup from 2 ft,,45,47
2,1:33.0,,Defensive rebound by Team,45,47
2,1:33.0,,M. Harrell enters the game for L. Shamet,45,47
2,1:33.0,,L. Williams enters the game for I. Zubac,45,47
2,1:24.0,,D. Gallinari misses 2-pt layup from 1 ft (block by M. Turner),45,47
2,1:20.0,Defensive rebound by Team,,45,47
2,1:14.0,Turnover by C. Joseph (step out of bounds),,45,47
2,1:07.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by L. Williams),45,50
2,0:58.0,M. Turner makes 2-pt layup at rim (assist by W. Matthews),,47,50
2,0:44.0,,Turnover by M. Harrell (traveling),47,50
2,0:33.0,Turnover by W. Matthews (lost ball; steal by P. Beverley),,47,50
2,0:29.0,,L. Williams misses 3-pt jump shot from 26 ft,47,50
2,0:27.0,,Offensive rebound by M. Harrell,47,50
2,0:27.0,,M. Harrell makes 2-pt layup from 1 ft,47,52
2,0:07.0,T. Young makes 2-pt layup from 2 ft (assist by M. Turner),,49,52
2,0:01.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by P. Beverley),49,55
2,0:01.0,Turnover by T. Young (bad pass; steal by D. Gallinari),,49,55
2,0:01.0,,D. Gallinari misses 3-pt jump shot from 47 ft,49,55
2,0:01.0,,Offensive rebound by Team,49,55
3,11:43.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by C. Joseph),,52,55
3,11:26.0,,Shooting foul by C. Joseph (drawn by I. Zubac),52,55
3,11:26.0,,I. Zubac makes free throw 1 of 2,52,56
3,11:26.0,,I. Zubac makes free throw 2 of 2,52,57
3,11:14.0,B. Bogdanović makes 2-pt jump shot from 9 ft (assist by C. Joseph),,54,57
3,10:59.0,,Turnover by I. Zubac (lost ball; steal by C. Joseph),54,57
3,10:54.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,54,57
3,10:49.0,,Defensive rebound by I. Zubac,54,57
3,10:35.0,,D. Gallinari makes 2-pt layup from 2 ft,54,59
3,10:21.0,W. Matthews makes 2-pt jump shot from 4 ft (assist by M. Turner),,56,59
3,10:12.0,,I. Zubac makes 2-pt hook shot from 4 ft (assist by S. Gilgeous-Alexander),56,61
3,10:01.0,Turnover by B. Bogdanović (lost ball; steal by S. Gilgeous-Alexander),,56,61
3,9:57.0,,D. Gallinari makes 2-pt dunk from 1 ft (assist by P. Beverley),56,63
3,9:56.0,C. Joseph makes 2-pt jump shot from 20 ft,,58,63
3,9:30.0,,I. Zubac makes 2-pt dunk from 3 ft (assist by S. Gilgeous-Alexander),58,65
3,9:11.0,T. Young misses 3-pt jump shot from 25 ft,,58,65
3,9:09.0,,Defensive rebound by Team,58,65
3,8:47.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 22 ft,58,65
3,8:45.0,Defensive rebound by B. Bogdanović,,58,65
3,8:37.0,M. Turner misses 3-pt jump shot from 26 ft,,58,65
3,8:31.0,,Defensive rebound by I. Zubac,58,65
3,8:22.0,,P. Beverley makes 2-pt layup from 2 ft (assist by S. Gilgeous-Alexander),58,67
3,7:59.0,M. Turner makes 2-pt jump shot from 5 ft,,60,67
3,7:45.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 22 ft,60,69
3,7:32.0,M. Turner makes 3-pt jump shot from 26 ft (assist by C. Joseph),,63,69
3,7:25.0,,Personal foul by C. Joseph (drawn by S. Gilgeous-Alexander),63,69
3,7:14.0,,P. Beverley misses 2-pt layup from 2 ft (block by M. Turner),63,69
3,7:11.0,,Offensive rebound by I. Zubac,63,69
3,7:10.0,,I. Zubac misses 2-pt layup from 1 ft (block by M. Turner),63,69
3,7:10.0,Defensive rebound by B. Bogdanović,,63,69
3,6:54.0,W. Matthews misses 2-pt layup from 1 ft,,63,69
3,6:51.0,,Defensive rebound by I. Zubac,63,69
3,6:46.0,,L. Shamet makes 3-pt jump shot from 23 ft (assist by D. Gallinari),63,72
3,6:37.0,Indiana full timeout,,63,72
3,6:32.0,B. Bogdanović makes 2-pt dunk from 1 ft (assist by T. Young),,65,72
3,6:20.0,,Personal foul by W. Matthews (drawn by P. Beverley),65,72
3,6:11.0,,P. Beverley misses 2-pt layup from 2 ft (block by M. Turner),65,72
3,6:10.0,Defensive rebound by Team,,65,72
3,5:58.0,M. Turner misses 2-pt jump shot from 19 ft,,65,72
3,5:54.0,,Defensive rebound by S. Gilgeous-Alexander,65,72
3,5:43.0,,L. Shamet misses 3-pt jump shot from 23 ft,65,72
3,5:36.0,,Offensive rebound by I. Zubac,65,72
3,5:36.0,,I. Zubac makes 2-pt layup at rim,65,74
3,5:26.0,W. Matthews makes 2-pt jump shot from 2 ft (assist by T. Young),,67,74
3,5:14.0,,D. Gallinari makes 2-pt jump shot from 21 ft (assist by I. Zubac),67,76
3,4:59.0,Shooting foul by L. Shamet (drawn by W. Matthews),,67,76
3,4:59.0,W. Matthews makes free throw 1 of 2,,68,76
3,4:59.0,,M. Harrell enters the game for I. Zubac,68,76
3,4:59.0,W. Matthews makes free throw 2 of 2,,69,76
3,4:49.0,,P. Beverley misses 3-pt jump shot from 25 ft,69,76
3,4:45.0,Defensive rebound by T. Young,,69,76
3,4:33.0,D. Sabonis enters the game for T. Young,,69,76
3,4:33.0,,J. Green enters the game for D. Gallinari,69,76
3,4:33.0,,L. Williams enters the game for S. Gilgeous-Alexander,69,76
3,4:28.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by W. Matthews),,71,76
3,4:16.0,,J. Green makes 3-pt jump shot from 24 ft (assist by L. Shamet),71,79
3,4:01.0,C. Joseph misses 2-pt jump shot from 12 ft,,71,79
3,3:58.0,,Defensive rebound by M. Harrell,71,79
3,3:50.0,,L. Shamet misses 3-pt jump shot from 26 ft,71,79
3,3:48.0,Defensive rebound by M. Turner,,71,79
3,3:38.0,W. Matthews makes 2-pt jump shot from 10 ft,,73,79
3,3:22.0,,Turnover by L. Williams (bad pass; steal by C. Joseph),73,79
3,3:18.0,Personal take foul by L. Williams (drawn by C. Joseph),,73,79
3,3:18.0,T. Evans enters the game for C. Joseph,,73,79
3,3:18.0,,W. Chandler enters the game for L. Shamet,73,79
3,3:10.0,Turnover by D. Sabonis (bad pass; steal by P. Beverley),,73,79
3,3:03.0,,J. Green makes 2-pt layup from 2 ft (assist by L. Williams),73,81
3,2:38.0,W. Matthews makes 2-pt layup from 2 ft (assist by D. Sabonis),,75,81
3,2:21.0,,P. Beverley makes 3-pt jump shot from 25 ft (assist by L. Williams),75,84
3,2:02.0,D. Sabonis misses 2-pt layup from 2 ft (block by W. Chandler),,75,84
3,2:01.0,,Defensive rebound by M. Harrell,75,84
3,2:01.0,,Personal foul by T. Evans (drawn by P. Beverley),75,84
3,2:01.0,,LA Clippers full timeout,75,84
3,2:01.0,D. McDermott enters the game for B. Bogdanović,,75,84
3,2:01.0,,G. Temple enters the game for P. Beverley,75,84
3,1:39.0,,L. Williams makes 2-pt jump shot from 14 ft (assist by J. Green),75,86
3,1:39.0,,Loose ball foul by J. Green (drawn by W. Matthews),75,86
3,1:22.0,Turnover by D. McDermott (bad pass; steal by G. Temple),,75,86
3,1:16.0,,W. Chandler misses 2-pt layup from 3 ft,75,86
3,1:12.0,,Offensive rebound by M. Harrell,75,86
3,1:12.0,,M. Harrell makes 2-pt layup at rim,75,88
3,0:52.0,D. McDermott misses 3-pt jump shot from 24 ft,,75,88
3,0:50.0,,Defensive rebound by M. Harrell,75,88
3,0:37.0,,L. Williams misses 2-pt layup from 2 ft (block by M. Turner),75,88
3,0:34.0,Defensive rebound by T. Evans,,75,88
3,0:20.0,W. Matthews misses 3-pt jump shot from 25 ft,,75,88
3,0:15.0,Offensive rebound by D. Sabonis,,75,88
3,0:11.0,D. McDermott misses 3-pt jump shot from 24 ft,,75,88
3,0:06.0,,Defensive rebound by M. Harrell,75,88
3,0:03.0,,Shooting foul by D. McDermott (drawn by M. Harrell),75,88
3,0:03.0,,M. Harrell makes free throw 1 of 2,75,89
3,0:03.0,A. Holiday enters the game for W. Matthews,,75,89
3,0:03.0,,S. Thornwell enters the game for L. Williams,75,89
3,0:03.0,,M. Harrell misses free throw 2 of 2,75,89
3,0:00.0,Defensive rebound by D. Sabonis,,75,89
4,11:55.0,,Shooting foul by D. Sabonis (drawn by M. Harrell),75,89
4,11:55.0,,M. Harrell makes free throw 1 of 2,75,90
4,11:55.0,,M. Harrell makes free throw 2 of 2,75,91
4,11:43.0,D. Sabonis misses 2-pt jump shot from 16 ft,,75,91
4,11:38.0,,Defensive rebound by L. Williams,75,91
4,11:37.0,,M. Harrell misses 2-pt layup from 1 ft,75,91
4,11:34.0,Defensive rebound by T. Evans,,75,91
4,11:26.0,Turnover by T. Evans (lost ball; steal by G. Temple),,75,91
4,11:26.0,,Shooting foul by A. Holiday (drawn by L. Williams),75,91
4,11:26.0,,L. Williams misses free throw 1 of 2,75,91
4,11:26.0,,Offensive rebound by Team,75,91
4,11:26.0,,L. Williams makes free throw 2 of 2,75,92
4,11:11.0,Personal foul by J. Green (drawn by D. Sabonis),,75,92
4,11:03.0,T. Evans misses 2-pt layup from 2 ft,,75,92
4,11:03.0,Offensive rebound by D. Sabonis,,75,92
4,11:03.0,Shooting foul by M. Harrell (drawn by D. Sabonis),,75,92
4,11:03.0,D. Sabonis makes free throw 1 of 2,,76,92
4,11:03.0,D. Sabonis makes free throw 2 of 2,,77,92
4,10:51.0,,G. Temple makes 2-pt layup from 3 ft,77,94
4,10:36.0,D. McDermott makes 2-pt jump shot from 7 ft (assist by A. Holiday),,79,94
4,10:24.0,,G. Temple misses 2-pt layup from 2 ft,79,94
4,10:22.0,Defensive rebound by D. Sabonis,,79,94
4,10:20.0,Shooting foul by J. Green (drawn by T. Evans),,79,94
4,10:20.0,T. Evans misses free throw 1 of 2,,79,94
4,10:20.0,Offensive rebound by Team,,79,94
4,10:20.0,T. Evans misses free throw 2 of 2,,79,94
4,10:16.0,,Defensive rebound by M. Harrell,79,94
4,9:56.0,,W. Chandler misses 3-pt jump shot from 23 ft,79,94
4,9:53.0,Defensive rebound by D. Sabonis,,79,94
4,9:48.0,A. Holiday misses 3-pt jump shot from 25 ft,,79,94
4,9:44.0,Offensive rebound by T. Evans,,79,94
4,9:38.0,D. McDermott makes 2-pt jump shot from 7 ft (assist by B. Bogdanović),,81,94
4,9:19.0,,L. Williams misses 3-pt jump shot from 31 ft,81,94
4,9:16.0,Defensive rebound by D. Sabonis,,81,94
4,8:59.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Sabonis),,84,94
4,8:58.0,,LA Clippers full timeout,84,94
4,8:58.0,,L. Shamet enters the game for W. Chandler,84,94
4,8:48.0,,Turnover by M. Harrell (bad pass; steal by A. Holiday),84,94
4,8:43.0,B. Bogdanović misses 2-pt jump shot from 5 ft,,84,94
4,8:36.0,Offensive rebound by D. Sabonis,,84,94
4,8:36.0,D. Sabonis makes 2-pt layup from 1 ft,,86,94
4,8:22.0,,J. Green makes 2-pt layup from 1 ft,86,96
4,8:07.0,T. Evans makes 2-pt jump shot from 7 ft,,88,96
4,8:07.0,Shooting foul by J. Green (drawn by T. Evans),,88,96
4,8:07.0,T. Young enters the game for A. Holiday,,88,96
4,8:07.0,,D. Gallinari enters the game for J. Green,88,96
4,8:07.0,T. Evans makes free throw 1 of 1,,89,96
4,7:53.0,,L. Williams misses 2-pt jump shot from 14 ft,89,96
4,7:51.0,Defensive rebound by D. Sabonis,,89,96
4,7:44.0,T. Evans misses 3-pt jump shot from 25 ft,,89,96
4,7:37.0,Offensive rebound by B. Bogdanović,,89,96
4,7:31.0,D. McDermott makes 2-pt jump shot from 10 ft (assist by T. Evans),,91,96
4,7:16.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by M. Harrell),91,99
4,6:58.0,T. Evans makes 2-pt layup from 2 ft,,93,99
4,6:29.0,,D. Gallinari misses 3-pt jump shot from 26 ft,93,99
4,6:26.0,Defensive rebound by T. Young,,93,99
4,6:15.0,T. Evans misses 2-pt layup from 1 ft,,93,99
4,6:13.0,Offensive rebound by T. Evans,,93,99
4,6:09.0,Turnover by T. Young (bad pass; steal by L. Williams),,93,99
4,5:53.0,,Personal foul by D. McDermott (drawn by L. Williams),93,99
4,5:53.0,,P. Beverley enters the game for G. Temple,93,99
4,5:48.0,,Shooting foul by D. Sabonis (drawn by M. Harrell),93,99
4,5:48.0,,M. Harrell misses free throw 1 of 2,93,99
4,5:48.0,,Offensive rebound by Team,93,99
4,5:48.0,,S. Gilgeous-Alexander enters the game for L. Williams,93,99
4,5:48.0,,M. Harrell misses free throw 2 of 2,93,99
4,5:47.0,Defensive rebound by Team,,93,99
4,5:47.0,Indiana full timeout,,93,99
4,5:36.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,93,99
4,5:32.0,,Defensive rebound by D. Gallinari,93,99
4,5:12.0,,P. Beverley makes 3-pt jump shot from 26 ft,93,102
4,4:58.0,Personal foul by P. Beverley (drawn by B. Bogdanović),,93,102
4,4:58.0,B. Bogdanović makes free throw 1 of 2,,94,102
4,4:58.0,B. Bogdanović makes free throw 2 of 2,,95,102
4,4:45.0,,Personal foul by T. Evans (drawn by D. Gallinari),95,102
