QUARTER,TIME_REMAINING,PHOENIX_ACTION,DETROIT_ACTION,PHOENIX_SCORE,DETROIT_SCORE
1,6:48.0,T. Warren misses 2-pt layup from 4 ft,,10,11
1,6:43.0,Offensive rebound by D. Ayton,,10,11
1,6:43.0,D. Ayton makes 2-pt layup at rim,,12,11
1,6:43.0,,Detroit full timeout,12,11
1,6:27.0,,A. Drummond makes 2-pt dunk from 3 ft (assist by R. Bullock),12,13
1,6:17.0,Turnover by D. Booker (bad pass; steal by A. Drummond),,12,13
1,6:16.0,,Shooting foul by D. Booker (drawn by A. Drummond),12,13
1,6:16.0,,A. Drummond misses free throw 1 of 2,12,13
1,6:16.0,,Offensive rebound by Team,12,13
1,6:16.0,,A. Drummond misses free throw 2 of 2,12,13
1,6:10.0,Defensive rebound by M. Bridges,,12,13
1,6:04.0,M. Bridges makes 2-pt layup from 5 ft (assist by D. Booker),,14,13
1,5:57.0,,R. Jackson misses 3-pt jump shot from 28 ft,14,13
1,5:40.0,Defensive rebound by T. Warren,,14,13
1,5:31.0,D. Booker misses 3-pt jump shot from 27 ft,,14,13
1,5:28.0,,Defensive rebound by A. Drummond,14,13
1,5:25.0,,Turnover by R. Bullock (bad pass; steal by T. Warren),14,13
1,5:13.0,D. Ayton misses 2-pt hook shot from 8 ft,,14,13
1,5:13.0,Offensive rebound by Team,,14,13
1,5:13.0,Personal foul by R. Jackson (drawn by T. Warren),,14,13
1,5:13.0,J. Jackson enters the game for T. Ariza,,14,13
1,5:01.0,D. Booker misses 2-pt jump shot from 12 ft,,14,13
1,5:00.0,Offensive rebound by D. Ayton,,14,13
1,5:00.0,D. Ayton makes 2-pt layup from 8 ft,,16,13
1,5:00.0,,Violation by Team (def goaltending),16,13
1,4:42.0,,B. Griffin misses 3-pt jump shot from 28 ft,16,13
1,4:41.0,,Offensive rebound by Team,16,13
1,4:31.0,,G. Robinson makes 2-pt layup from 7 ft (assist by A. Drummond),16,15
1,4:09.0,T. Warren makes 2-pt layup from 5 ft,,18,15
1,4:01.0,,B. Griffin misses 2-pt layup from 5 ft,18,15
1,4:01.0,Defensive rebound by M. Bridges,,18,15
1,3:52.0,T. Warren makes 2-pt jump shot from 13 ft (assist by D. Booker),,20,15
1,3:34.0,,R. Jackson makes 3-pt jump shot from 27 ft (assist by B. Griffin),20,18
1,3:26.0,Phoenix full timeout,,20,18
1,3:26.0,,L. Galloway enters the game for R. Jackson,20,18
1,3:26.0,,I. Smith enters the game for G. Robinson,20,18
1,3:13.0,J. Jackson makes 2-pt jump shot from 18 ft,,22,18
1,2:52.0,,Shooting foul by J. Jackson (drawn by L. Galloway),22,18
1,2:52.0,,L. Galloway makes free throw 1 of 3,22,19
1,2:52.0,,L. Galloway makes free throw 2 of 3,22,20
1,2:52.0,I. Canaan enters the game for D. Ayton,,22,20
1,2:52.0,R. Holmes enters the game for M. Bridges,,22,20
1,2:52.0,,L. Galloway makes free throw 3 of 3,22,21
1,2:40.0,J. Jackson makes 2-pt layup from 7 ft,,24,21
1,2:30.0,,R. Bullock makes 3-pt jump shot from 28 ft (assist by B. Griffin),24,24
1,2:14.0,Shooting foul by L. Galloway (drawn by J. Jackson),,24,24
1,2:14.0,J. Jackson makes free throw 1 of 2,,25,24
1,2:14.0,,S. Johnson enters the game for B. Griffin,25,24
1,2:14.0,J. Jackson misses free throw 2 of 2,,25,24
1,2:13.0,,Defensive rebound by A. Drummond,25,24
1,1:58.0,,I. Smith misses 2-pt jump shot from 19 ft,25,24
1,1:55.0,Defensive rebound by D. Booker,,25,24
1,1:51.0,Shooting foul by L. Galloway (drawn by D. Booker),,25,24
1,1:51.0,D. Booker makes free throw 1 of 2,,26,24
1,1:51.0,T. Ariza enters the game for T. Warren,,26,24
1,1:51.0,,B. Brown enters the game for L. Galloway,26,24
1,1:51.0,D. Booker makes free throw 2 of 2,,27,24
1,1:37.0,,A. Drummond misses 2-pt layup from 4 ft (block by R. Holmes),27,24
1,1:36.0,Defensive rebound by R. Holmes,,27,24
1,1:29.0,D. Booker makes 2-pt jump shot from 9 ft,,29,24
1,1:29.0,Shooting foul by B. Brown (drawn by D. Booker),,29,24
1,1:29.0,D. Booker makes free throw 1 of 1,,30,24
1,1:21.0,,Def 3 sec tech foul by Team,30,24
1,1:21.0,,R. Bullock makes technical free throw,30,25
1,1:17.0,,Offensive foul by A. Drummond (drawn by J. Jackson),30,25
1,1:17.0,,Turnover by A. Drummond (offensive foul),30,25
1,1:06.0,Turnover by R. Holmes (bad pass),,30,25
1,0:56.0,,S. Johnson misses 3-pt jump shot from 27 ft,30,25
1,0:53.0,Defensive rebound by R. Holmes,,30,25
1,0:49.0,D. Booker misses 2-pt layup from 5 ft,,30,25
1,0:46.0,,Defensive rebound by A. Drummond,30,25
1,0:32.0,,I. Smith makes 2-pt jump shot from 19 ft,30,27
1,0:18.0,D. Booker makes 2-pt layup from 6 ft,,32,27
1,0:00.0,,I. Smith misses 2-pt layup from 4 ft,32,27
1,0:00.0,,Offensive rebound by Team,32,27
2,11:51.0,T. Ariza misses 2-pt layup from 4 ft,,32,27
2,11:48.0,,Defensive rebound by Z. Pachulia,32,27
2,11:42.0,,S. Johnson makes 2-pt layup from 5 ft,32,29
2,11:26.0,T. Ariza makes 3-pt jump shot from 27 ft,,35,29
2,11:02.0,,I. Smith makes 3-pt jump shot from 28 ft (assist by Z. Pachulia),35,32
2,10:54.0,R. Holmes makes 2-pt layup from 4 ft (assist by I. Canaan),,37,32
2,10:30.0,,R. Bullock misses 2-pt jump shot from 16 ft,37,32
2,10:27.0,Defensive rebound by I. Canaan,,37,32
2,10:20.0,I. Canaan misses 2-pt layup from 6 ft,,37,32
2,10:17.0,,Defensive rebound by Z. Pachulia,37,32
2,10:11.0,,Shooting foul by J. Jackson (drawn by I. Smith),37,32
2,10:11.0,,I. Smith makes free throw 1 of 2,37,33
2,10:11.0,,L. Galloway enters the game for R. Bullock,37,33
2,10:11.0,,I. Smith misses free throw 2 of 2,37,33
2,10:10.0,Defensive rebound by R. Holmes,,37,33
2,9:53.0,Offensive foul by I. Canaan (drawn by I. Smith),,37,33
2,9:53.0,Turnover by I. Canaan (offensive foul),,37,33
2,9:53.0,M. Bridges enters the game for T. Ariza,,37,33
2,9:38.0,,I. Smith misses 2-pt jump shot from 17 ft,37,33
2,9:35.0,,Offensive rebound by Z. Pachulia,37,33
2,9:35.0,,Shooting foul by R. Holmes (drawn by Z. Pachulia),37,33
2,9:35.0,,Z. Pachulia makes free throw 1 of 2,37,34
2,9:35.0,,Z. Pachulia makes free throw 2 of 2,37,35
2,9:25.0,R. Holmes misses 2-pt layup from 2 ft,,37,35
2,9:23.0,,Defensive rebound by S. Johnson,37,35
2,9:19.0,,S. Johnson makes 2-pt layup from 5 ft,37,37
2,9:16.0,Phoenix full timeout,,37,37
2,9:01.0,J. Crawford misses 2-pt jump shot from 18 ft,,37,37
2,8:58.0,Offensive rebound by M. Bridges,,37,37
2,8:56.0,M. Bridges misses 2-pt layup from 5 ft,,37,37
2,8:53.0,Offensive rebound by M. Bridges,,37,37
2,8:50.0,J. Jackson misses 3-pt jump shot from 24 ft,,37,37
2,8:46.0,Offensive rebound by M. Bridges,,37,37
2,8:44.0,Offensive foul by J. Jackson (drawn by S. Johnson),,37,37
2,8:44.0,Turnover by J. Jackson (offensive foul),,37,37
2,8:44.0,T. Warren enters the game for J. Jackson,,37,37
2,8:29.0,,Shooting foul by T. Warren (drawn by S. Johnson),37,37
2,8:29.0,,S. Johnson makes free throw 1 of 2,37,38
2,8:29.0,,S. Johnson makes free throw 2 of 2,37,39
2,8:19.0,Personal foul by Z. Pachulia (drawn by R. Holmes),,37,39
2,8:15.0,M. Bridges misses 2-pt jump shot from 10 ft,,37,39
2,8:13.0,Offensive rebound by R. Holmes,,37,39
2,8:11.0,R. Holmes makes 2-pt layup from 1 ft,,39,39
2,8:03.0,,Z. Pachulia misses 2-pt jump shot from 10 ft,39,39
2,7:59.0,Defensive rebound by M. Bridges,,39,39
2,7:52.0,T. Warren misses 2-pt layup from 5 ft,,39,39
2,7:50.0,,Defensive rebound by L. Galloway,39,39
2,7:46.0,,Z. Pachulia makes 2-pt dunk from 1 ft (assist by I. Smith),39,41
2,7:26.0,J. Crawford misses 2-pt jump shot from 15 ft,,39,41
2,7:23.0,,Defensive rebound by Z. Pachulia,39,41
2,7:11.0,,Turnover by S. Johnson (traveling),39,41
2,7:11.0,D. Booker enters the game for I. Canaan,,39,41
2,6:52.0,T. Warren makes 2-pt jump shot from 7 ft (assist by M. Bridges),,41,41
2,6:45.0,,L. Galloway makes 3-pt jump shot from 24 ft (assist by I. Smith),41,44
2,6:30.0,D. Booker makes 2-pt jump shot from 10 ft,,43,44
2,6:10.0,,L. Galloway makes 3-pt jump shot from 29 ft (assist by I. Smith),43,47
2,5:49.0,R. Holmes misses 2-pt hook shot from 6 ft,,43,47
2,5:47.0,,Defensive rebound by Z. Pachulia,43,47
2,5:41.0,,S. Johnson misses 2-pt layup from 3 ft,43,47
2,5:38.0,Defensive rebound by R. Holmes,,43,47
2,5:35.0,M. Bridges misses 3-pt jump shot from 24 ft,,43,47
2,5:31.0,,Defensive rebound by Z. Pachulia,43,47
2,5:25.0,,Detroit full timeout,43,47
2,5:25.0,T. Ariza enters the game for M. Bridges,,43,47
2,5:25.0,D. Ayton enters the game for R. Holmes,,43,47
2,5:25.0,,R. Bullock enters the game for B. Brown,43,47
2,5:25.0,,A. Drummond enters the game for S. Johnson,43,47
2,5:25.0,,B. Griffin enters the game for Z. Pachulia,43,47
2,5:18.0,,A. Drummond makes 2-pt dunk from 5 ft (assist by L. Galloway),43,49
2,5:18.0,,R. Jackson enters the game for I. Smith,43,49
2,4:56.0,D. Booker misses 2-pt jump shot from 13 ft,,43,49
2,4:54.0,,Defensive rebound by A. Drummond,43,49
2,4:39.0,,Def 3 sec tech foul by Team,43,49
2,4:39.0,,R. Jackson makes technical free throw,43,50
2,4:35.0,,R. Jackson misses 3-pt jump shot from 27 ft,43,50
2,4:30.0,,Offensive rebound by Team,43,50
2,4:17.0,,B. Griffin misses 3-pt jump shot from 30 ft,43,50
2,4:14.0,Defensive rebound by T. Warren,,43,50
2,4:09.0,D. Booker makes 2-pt jump shot from 9 ft,,45,50
2,4:01.0,,R. Jackson misses 2-pt layup from 6 ft (block by D. Ayton),45,50
2,3:57.0,Defensive rebound by T. Ariza,,45,50
2,3:56.0,Offensive foul by T. Warren (drawn by B. Griffin),,45,50
2,3:56.0,Turnover by T. Warren (offensive foul),,45,50
2,3:56.0,Technical foul by T. Warren,,45,50
2,3:56.0,,R. Jackson makes technical free throw,45,51
2,3:56.0,Technical foul by T. Warren,,45,51
2,3:56.0,,R. Jackson makes technical free throw,45,52
2,3:56.0,T. Warren ejected from game,,45,52
2,3:56.0,M. Bridges enters the game for T. Warren,,45,52
2,3:47.0,,Personal foul by T. Ariza (drawn by B. Griffin),45,52
2,3:41.0,,L. Galloway makes 3-pt jump shot from 26 ft (assist by R. Jackson),45,55
2,3:23.0,T. Ariza misses 3-pt jump shot from 26 ft,,45,55
2,3:20.0,,Defensive rebound by B. Griffin,45,55
2,3:15.0,,Turnover by B. Griffin (bad pass; steal by T. Ariza),45,55
2,3:09.0,M. Bridges misses 2-pt layup from 6 ft,,45,55
2,3:08.0,Offensive rebound by D. Ayton,,45,55
2,3:08.0,D. Ayton makes 2-pt layup at rim,,47,55
2,2:52.0,,A. Drummond makes 2-pt layup from 4 ft (assist by B. Griffin),47,57
2,2:35.0,Personal foul by R. Bullock (drawn by D. Ayton),,47,57
2,2:28.0,D. Ayton makes 2-pt jump shot from 15 ft (assist by J. Crawford),,49,57
2,2:11.0,,A. Drummond misses 2-pt layup from 4 ft,49,57
2,2:08.0,Defensive rebound by T. Ariza,,49,57
2,2:05.0,Offensive foul by D. Ayton (drawn by B. Griffin),,49,57
2,2:05.0,Turnover by D. Ayton (offensive foul),,49,57
2,1:50.0,,Turnover by B. Griffin (bad pass),49,57
2,1:40.0,J. Crawford makes 3-pt jump shot from 27 ft,,52,57
2,1:22.0,,R. Bullock misses 3-pt jump shot from 25 ft,52,57
2,1:21.0,,Offensive rebound by Team,52,57
2,1:19.0,,R. Bullock misses 2-pt jump shot from 16 ft,52,57
2,1:18.0,Defensive rebound by Team,,52,57
2,1:18.0,,Loose ball foul by A. Drummond (drawn by D. Booker),52,57
2,1:14.0,J. Crawford makes 3-pt jump shot from 27 ft (assist by T. Ariza),,55,57
2,1:03.0,,R. Jackson makes 3-pt jump shot from 23 ft,55,60
2,0:52.0,J. Crawford makes 3-pt jump shot from 26 ft,,58,60
2,0:38.0,,R. Jackson misses 3-pt jump shot from 27 ft,58,60
2,0:38.0,,Offensive rebound by A. Drummond,58,60
2,0:29.0,,B. Griffin makes 2-pt layup from 2 ft (assist by R. Bullock),58,62
2,0:25.0,Shooting foul by R. Jackson (drawn by D. Booker),,58,62
2,0:25.0,D. Booker makes free throw 1 of 2,,59,62
2,0:25.0,I. Canaan enters the game for J. Crawford,,59,62
2,0:25.0,D. Booker makes free throw 2 of 2,,60,62
2,0:03.0,,R. Jackson misses 2-pt layup from 6 ft (block by D. Ayton),60,62
2,0:03.0,,Offensive rebound by Team,60,62
2,0:02.0,,B. Griffin misses 3-pt jump shot from 23 ft,60,62
2,0:01.0,Defensive rebound by D. Ayton,,60,62
3,11:48.0,D. Booker makes 3-pt jump shot from 27 ft (assist by M. Bridges),,63,62
3,11:27.0,,R. Bullock makes 3-pt jump shot from 28 ft (assist by B. Griffin),63,65
3,11:06.0,D. Booker makes 2-pt jump shot from 9 ft,,65,65
3,10:38.0,,R. Jackson misses 3-pt jump shot from 26 ft,65,65
3,10:35.0,Defensive rebound by D. Booker,,65,65
3,10:28.0,D. Booker makes 2-pt jump shot from 10 ft,,67,65
3,10:06.0,,R. Jackson misses 3-pt jump shot from 27 ft,67,65
3,10:03.0,Defensive rebound by D. Ayton,,67,65
3,9:52.0,D. Booker misses 3-pt jump shot from 28 ft,,67,65
3,9:49.0,,Defensive rebound by A. Drummond,67,65
3,9:36.0,,Personal foul by T. Ariza (drawn by B. Griffin),67,65
3,9:23.0,,Turnover by A. Drummond (traveling),67,65
3,9:10.0,Turnover by M. Bridges (bad pass; steal by A. Drummond),,67,65
3,8:55.0,,G. Robinson makes 2-pt jump shot from 13 ft (assist by R. Jackson),67,67
3,8:40.0,D. Ayton makes 2-pt layup from 3 ft (assist by J. Jackson),,69,67
3,8:30.0,,R. Jackson makes 2-pt layup from 4 ft,69,69
3,8:19.0,Personal foul by R. Jackson (drawn by D. Ayton),,69,69
3,8:07.0,Shooting foul by A. Drummond (drawn by T. Ariza),,69,69
3,8:07.0,T. Ariza makes free throw 1 of 2,,70,69
3,8:07.0,T. Ariza makes free throw 2 of 2,,71,69
3,7:57.0,,R. Bullock misses 3-pt jump shot from 28 ft,71,69
3,7:55.0,Defensive rebound by Team,,71,69
3,7:37.0,D. Booker misses 3-pt jump shot from 23 ft,,71,69
3,7:35.0,,Defensive rebound by Team,71,69
3,7:18.0,,A. Drummond makes 2-pt jump shot from 9 ft (assist by G. Robinson),71,71
3,7:15.0,Phoenix full timeout,,71,71
3,7:05.0,Def 3 sec tech foul by Team,,71,71
3,7:05.0,D. Booker makes technical free throw,,72,71
3,6:55.0,D. Ayton makes 2-pt hook shot from 6 ft (assist by D. Booker),,74,71
3,6:46.0,,Personal foul by D. Ayton (drawn by B. Griffin),74,71
3,6:37.0,,Turnover by R. Bullock (bad pass; steal by J. Jackson),74,71
3,6:31.0,M. Bridges misses 2-pt layup from 4 ft,,74,71
3,6:28.0,Offensive rebound by J. Jackson,,74,71
3,6:26.0,J. Jackson misses 2-pt layup from 6 ft,,74,71
3,6:26.0,Offensive rebound by D. Ayton,,74,71
3,6:26.0,D. Ayton misses 2-pt layup at rim,,74,71
3,6:26.0,,Defensive rebound by R. Jackson,74,71
3,6:20.0,,A. Drummond makes 2-pt dunk from 3 ft (assist by B. Griffin),74,73
3,6:10.0,Shooting foul by B. Griffin (drawn by D. Ayton),,74,73
3,6:10.0,D. Ayton misses free throw 1 of 2,,74,73
3,6:10.0,Offensive rebound by Team,,74,73
3,6:10.0,,B. Brown enters the game for R. Bullock,74,73
3,6:10.0,,L. Galloway enters the game for G. Robinson,74,73
3,6:10.0,D. Ayton makes free throw 2 of 2,,75,73
3,6:10.0,I. Canaan enters the game for M. Bridges,,75,73
3,5:50.0,,R. Jackson misses 3-pt jump shot from 28 ft,75,73
3,5:45.0,,Offensive rebound by A. Drummond,75,73
3,5:42.0,,A. Drummond misses 2-pt hook shot from 5 ft,75,73
3,5:42.0,,Offensive rebound by B. Brown,75,73
3,5:33.0,,B. Brown misses 2-pt layup at rim,75,73
3,5:33.0,Defensive rebound by D. Booker,,75,73
3,5:19.0,J. Jackson misses 3-pt jump shot from 26 ft,,75,73
3,5:16.0,,Defensive rebound by B. Griffin,75,73
3,5:06.0,,B. Griffin misses 2-pt layup from 2 ft,75,73
3,5:02.0,,Offensive rebound by A. Drummond,75,73
3,5:02.0,,A. Drummond makes 2-pt layup at rim,75,75
3,4:59.0,D. Booker misses 3-pt jump shot from 29 ft,,75,75
3,4:56.0,,Defensive rebound by R. Jackson,75,75
3,4:46.0,,R. Jackson misses 3-pt jump shot from 28 ft,75,75
3,4:43.0,,Offensive rebound by A. Drummond,75,75
3,4:35.0,,Turnover by B. Griffin (lost ball; steal by T. Ariza),75,75
3,4:23.0,T. Ariza misses 3-pt jump shot from 26 ft,,75,75
3,4:19.0,,Defensive rebound by B. Brown,75,75
3,4:12.0,,B. Griffin misses 3-pt jump shot from 27 ft,75,75
3,4:07.0,Defensive rebound by J. Jackson,,75,75
3,3:53.0,Personal foul by A. Drummond (drawn by D. Booker),,75,75
3,3:53.0,J. Crawford enters the game for D. Ayton,,75,75
3,3:53.0,R. Holmes enters the game for D. Booker,,75,75
3,3:53.0,,S. Johnson enters the game for A. Drummond,75,75
3,3:53.0,,Z. Pachulia enters the game for B. Griffin,75,75
3,3:53.0,,I. Smith enters the game for R. Jackson,75,75
3,3:42.0,J. Crawford misses 3-pt jump shot from 26 ft,,75,75
3,3:39.0,,Defensive rebound by S. Johnson,75,75
3,3:35.0,,L. Galloway misses 3-pt jump shot from 27 ft,75,75
3,3:32.0,Defensive rebound by R. Holmes,,75,75
3,3:20.0,I. Canaan misses 2-pt layup from 6 ft,,75,75
3,3:18.0,,Defensive rebound by Z. Pachulia,75,75
3,3:14.0,,B. Brown makes 2-pt dunk from 1 ft (assist by I. Smith),75,77
3,2:52.0,Personal foul by Z. Pachulia (drawn by R. Holmes),,75,77
3,2:52.0,,Detroit full timeout,75,77
3,2:52.0,R. Holmes misses free throw 1 of 2,,75,77
3,2:52.0,Offensive rebound by Team,,75,77
3,2:52.0,R. Holmes makes free throw 2 of 2,,76,77
3,2:39.0,Violation by Team (kicked ball),,76,77
3,2:31.0,,I. Smith misses 2-pt jump shot from 20 ft,76,77
3,2:28.0,Defensive rebound by J. Jackson,,76,77
3,2:06.0,T. Ariza misses 2-pt jump shot from 18 ft,,76,77
3,2:03.0,,Defensive rebound by I. Smith,76,77
3,1:55.0,,Shooting foul by R. Holmes (drawn by Z. Pachulia),76,77
3,1:55.0,,Z. Pachulia misses free throw 1 of 2,76,77
3,1:55.0,,Offensive rebound by Team,76,77
3,1:55.0,,Z. Pachulia makes free throw 2 of 2,76,78
3,1:44.0,J. Crawford makes 2-pt jump shot from 18 ft,,78,78
3,1:23.0,,Shooting foul by R. Holmes (drawn by Z. Pachulia),78,78
3,1:23.0,,Z. Pachulia makes free throw 1 of 2,78,79
3,1:23.0,,Z. Pachulia makes free throw 2 of 2,78,80
3,1:10.0,R. Holmes makes 2-pt dunk from 4 ft (assist by J. Crawford),,80,80
3,0:54.0,,B. Brown misses 2-pt layup from 6 ft,80,80
3,0:52.0,,Offensive rebound by Z. Pachulia,80,80
3,0:51.0,,Z. Pachulia misses 2-pt layup from 2 ft (block by R. Holmes),80,80
3,0:51.0,Defensive rebound by J. Crawford,,80,80
3,0:45.0,J. Jackson makes 3-pt jump shot from 30 ft (assist by J. Crawford),,83,80
3,0:32.0,,I. Smith makes 3-pt jump shot from 26 ft,83,83
3,0:12.0,Shooting foul by Z. Pachulia (drawn by R. Holmes),,83,83
3,0:12.0,R. Holmes misses free throw 1 of 2,,83,83
3,0:12.0,Offensive rebound by Team,,83,83
3,0:12.0,M. Bridges enters the game for J. Crawford,,83,83
3,0:12.0,R. Holmes makes free throw 2 of 2,,84,83
3,0:00.0,,I. Smith misses 3-pt jump shot from 28 ft,84,83
3,0:00.0,,Offensive rebound by B. Brown,84,83
4,11:48.0,,I. Smith misses 3-pt jump shot from 29 ft,84,83
4,11:42.0,Defensive rebound by J. Jackson,,84,83
4,11:35.0,Turnover by J. Jackson (bad pass; steal by S. Johnson),,84,83
4,11:28.0,,S. Johnson makes 2-pt layup from 4 ft,84,85
4,11:11.0,R. Holmes makes 2-pt layup from 4 ft,,86,85
4,11:11.0,Shooting foul by Z. Pachulia (drawn by R. Holmes),,86,85
4,11:11.0,R. Holmes misses free throw 1 of 1,,86,85
4,11:08.0,,Defensive rebound by Z. Pachulia,86,85
4,10:49.0,,S. Johnson makes 3-pt jump shot from 26 ft (assist by B. Griffin),86,88
4,10:33.0,J. Crawford misses 2-pt jump shot from 14 ft,,86,88
4,10:32.0,,Defensive rebound by Team,86,88
4,10:21.0,,S. Johnson misses 2-pt layup from 8 ft (block by R. Holmes),86,88
4,10:21.0,Defensive rebound by I. Canaan,,86,88
4,10:13.0,J. Jackson makes 2-pt layup from 3 ft (assist by I. Canaan),,88,88
4,10:05.0,,L. Galloway misses 3-pt jump shot from 28 ft,88,88
4,10:04.0,,Offensive rebound by Team,88,88
4,10:04.0,,Personal foul by R. Holmes (drawn by Z. Pachulia),88,88
4,10:04.0,D. Booker enters the game for M. Bridges,,88,88
4,9:52.0,,I. Smith misses 2-pt jump shot from 13 ft,88,88
4,9:49.0,,Offensive rebound by Z. Pachulia,88,88
4,9:48.0,,L. Galloway makes 3-pt jump shot from 26 ft (assist by Z. Pachulia),88,91
4,9:32.0,D. Booker misses 2-pt jump shot from 18 ft,,88,91
4,9:32.0,,Defensive rebound by Team,88,91
4,9:32.0,Loose ball foul by R. Holmes (drawn by B. Griffin),,88,91
4,9:32.0,D. Ayton enters the game for R. Holmes,,88,91
4,9:32.0,,A. Drummond enters the game for Z. Pachulia,88,91
4,9:32.0,,R. Jackson enters the game for I. Smith,88,91
4,9:24.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by R. Jackson),88,93
4,8:46.0,J. Jackson misses 3-pt jump shot from 27 ft,,88,93
4,8:46.0,,Defensive rebound by A. Drummond,88,93
4,8:41.0,,R. Jackson misses 3-pt jump shot from 28 ft,88,93
4,8:39.0,,Offensive rebound by A. Drummond,88,93
4,8:38.0,,A. Drummond misses 2-pt layup from 6 ft,88,93
4,8:33.0,Defensive rebound by D. Ayton,,88,93
4,8:31.0,Shooting foul by S. Johnson (drawn by J. Crawford),,88,93
4,8:31.0,J. Crawford makes free throw 1 of 2,,89,93
4,8:31.0,M. Bridges enters the game for J. Jackson,,89,93
4,8:31.0,J. Crawford misses free throw 2 of 2,,89,93
4,8:29.0,,Defensive rebound by A. Drummond,89,93
4,8:15.0,,B. Griffin makes 2-pt layup from 2 ft,89,95
4,7:53.0,D. Booker misses 3-pt jump shot from 28 ft,,89,95
4,7:52.0,,Defensive rebound by Team,89,95
4,7:52.0,T. Ariza enters the game for J. Crawford,,89,95
4,7:45.0,,R. Jackson makes 3-pt jump shot from 27 ft (assist by B. Griffin),89,98
4,7:44.0,Phoenix full timeout,,89,98
4,7:44.0,,R. Bullock enters the game for L. Galloway,89,98
4,7:24.0,Shooting foul by B. Griffin (drawn by D. Ayton),,89,98
4,7:24.0,D. Ayton makes free throw 1 of 2,,90,98
4,7:24.0,D. Ayton makes free throw 2 of 2,,91,98
4,7:11.0,,Turnover by R. Jackson (traveling),91,98
4,6:59.0,D. Booker misses 3-pt jump shot from 28 ft,,91,98
4,6:54.0,,Defensive rebound by S. Johnson,91,98
4,6:46.0,,R. Bullock misses 3-pt jump shot from 23 ft,91,98
4,6:46.0,,Offensive rebound by A. Drummond,91,98
4,6:46.0,,Personal foul by D. Booker (drawn by A. Drummond),91,98
4,6:39.0,,R. Bullock makes 2-pt layup from 3 ft (assist by R. Jackson),91,100
4,6:29.0,Turnover by D. Booker (bad pass; steal by A. Drummond),,91,100
4,6:23.0,,S. Johnson makes 3-pt jump shot from 26 ft (assist by B. Griffin),91,103
4,6:22.0,Phoenix full timeout,,91,103
4,6:22.0,J. Crawford enters the game for I. Canaan,,91,103
4,6:10.0,Turnover by J. Crawford (bad pass; steal by A. Drummond),,91,103
4,6:01.0,,B. Griffin misses 2-pt layup from 4 ft,91,103
4,5:59.0,Defensive rebound by D. Ayton,,91,103
4,5:52.0,Turnover by D. Ayton (traveling),,91,103
4,5:31.0,,R. Jackson misses 3-pt jump shot from 26 ft,91,103
4,5:28.0,Defensive rebound by D. Ayton,,91,103
4,5:26.0,Turnover by D. Ayton (bad pass; steal by A. Drummond),,91,103
4,5:26.0,,Shooting foul by D. Ayton (drawn by A. Drummond),91,103
4,5:26.0,,A. Drummond misses free throw 1 of 2,91,103
4,5:26.0,,Offensive rebound by Team,91,103
4,5:26.0,,A. Drummond misses free throw 2 of 2,91,103
4,5:23.0,,Offensive rebound by S. Johnson,91,103
