QUARTER,TIME_REMAINING,DETROIT_ACTION,WASHINGTON_ACTION,DETROIT_SCORE,WASHINGTON_SCORE
1,2:33.0,,B. Beal makes 2-pt layup from 1 ft,12,24
1,2:16.0,J. Leuer misses 2-pt jump shot from 13 ft,,12,24
1,2:13.0,,Defensive rebound by I. Mahinmi,12,24
1,2:06.0,,S. Dekker makes 2-pt hook shot from 3 ft (assist by T. Satoranský),12,26
1,1:48.0,L. Kennard makes 2-pt jump shot from 20 ft (assist by J. Leuer),,14,26
1,1:38.0,,O. Porter makes 3-pt jump shot from 26 ft (assist by T. Satoranský),14,29
1,1:16.0,J. Calderón makes 3-pt jump shot from 25 ft (assist by L. Kennard),,17,29
1,1:07.0,,B. Beal misses 2-pt layup from 1 ft (block by R. Bullock),17,29
1,1:03.0,Defensive rebound by R. Bullock,,17,29
1,1:00.0,L. Kennard misses 3-pt jump shot from 26 ft,,17,29
1,0:58.0,,Defensive rebound by O. Porter,17,29
1,0:39.0,,O. Porter misses 3-pt jump shot from 25 ft,17,29
1,0:36.0,Defensive rebound by R. Bullock,,17,29
1,0:30.0,Personal foul by T. Satoranský (drawn by J. Leuer),,17,29
1,0:30.0,,C. Randle enters the game for T. Satoranský,17,29
1,0:17.0,R. Bullock misses 2-pt jump shot from 7 ft,,17,29
1,0:15.0,,Defensive rebound by S. Dekker,17,29
1,0:05.0,,Personal take foul by J. Calderón (drawn by C. Randle),17,29
1,0:01.0,,I. Mahinmi misses 2-pt layup from 3 ft,17,29
1,0:01.0,Defensive rebound by B. Griffin,,17,29
2,11:36.0,Turnover by Team (shot clock),,17,29
2,11:22.0,,Shooting foul by L. Galloway (drawn by T. Ariza),17,29
2,11:22.0,,T. Ariza makes free throw 1 of 2,17,30
2,11:22.0,,T. Ariza makes free throw 2 of 2,17,31
2,11:07.0,Turnover by L. Kennard (lost ball; steal by I. Mahinmi),,17,31
2,10:53.0,,I. Mahinmi misses 2-pt hook shot from 9 ft,17,31
2,10:50.0,Defensive rebound by K. Lucas,,17,31
2,10:47.0,L. Kennard misses 3-pt jump shot from 26 ft,,17,31
2,10:45.0,,Defensive rebound by C. Randle,17,31
2,10:37.0,,O. Porter misses 2-pt layup from 6 ft,17,31
2,10:35.0,Defensive rebound by K. Lucas,,17,31
2,10:14.0,Z. Pachulia misses 2-pt hook shot from 5 ft,,17,31
2,10:11.0,,Defensive rebound by I. Mahinmi,17,31
2,9:59.0,,S. Dekker misses 2-pt jump shot from 23 ft,17,31
2,9:57.0,Defensive rebound by Z. Pachulia,,17,31
2,9:50.0,Shooting foul by C. Randle (drawn by K. Lucas),,17,31
2,9:50.0,K. Lucas makes free throw 1 of 2,,18,31
2,9:50.0,K. Lucas makes free throw 2 of 2,,19,31
2,9:42.0,,Turnover by C. Randle (bad pass; steal by S. Johnson),19,31
2,9:40.0,S. Johnson makes 2-pt dunk from 2 ft,,21,31
2,9:25.0,,O. Porter makes 2-pt jump shot from 22 ft (assist by T. Ariza),21,33
2,9:00.0,L. Kennard misses 3-pt jump shot from 27 ft,,21,33
2,8:57.0,,Defensive rebound by T. Ariza,21,33
2,8:41.0,,O. Porter misses 2-pt jump shot from 8 ft,21,33
2,8:38.0,Defensive rebound by K. Lucas,,21,33
2,8:35.0,L. Galloway makes 2-pt layup from 2 ft (assist by K. Lucas),,23,33
2,8:29.0,,S. Dekker makes 2-pt dunk from 2 ft (assist by T. Ariza),23,35
2,8:13.0,Personal foul by O. Porter (drawn by L. Kennard),,23,35
2,8:03.0,L. Kennard misses 2-pt layup from 6 ft (block by I. Mahinmi),,23,35
2,7:59.0,Offensive rebound by S. Johnson,,23,35
2,7:58.0,K. Lucas misses 3-pt jump shot from 28 ft,,23,35
2,7:55.0,,Defensive rebound by O. Porter,23,35
2,7:50.0,,Shooting foul by K. Lucas (drawn by C. Randle),23,35
2,7:50.0,,C. Randle misses free throw 1 of 2,23,35
2,7:50.0,,Offensive rebound by Team,23,35
2,7:50.0,,C. Randle makes free throw 2 of 2,23,36
2,7:32.0,L. Galloway misses 3-pt jump shot from 25 ft,,23,36
2,7:30.0,,Defensive rebound by T. Ariza,23,36
2,7:27.0,,Flagrant foul type 1 by Z. Pachulia (drawn by I. Mahinmi),23,36
2,7:27.0,,I. Mahinmi makes flagrant free throw 1 of 2,23,37
2,7:27.0,,I. Mahinmi makes flagrant free throw 2 of 2,23,38
2,7:27.0,R. Jackson enters the game for K. Lucas,,23,38
2,7:27.0,,T. Bryant enters the game for I. Mahinmi,23,38
2,7:20.0,,T. Ariza misses 3-pt jump shot from 27 ft,23,38
2,7:16.0,Defensive rebound by S. Johnson,,23,38
2,7:16.0,Turnover by S. Johnson (bad pass),,23,38
2,7:16.0,,B. Beal enters the game for C. Randle,23,38
2,7:05.0,,Personal foul by Z. Pachulia (drawn by T. Ariza),23,38
2,6:54.0,,B. Beal misses 2-pt jump shot from 15 ft,23,38
2,6:52.0,Defensive rebound by S. Johnson,,23,38
2,6:35.0,S. Johnson misses 2-pt jump shot from 10 ft,,23,38
2,6:32.0,,Defensive rebound by T. Ariza,23,38
2,6:23.0,,T. Ariza misses 2-pt layup from 3 ft,23,38
2,6:22.0,Defensive rebound by Z. Pachulia,,23,38
2,6:13.0,R. Jackson misses 2-pt jump shot from 14 ft,,23,38
2,6:10.0,,Defensive rebound by T. Ariza,23,38
2,5:56.0,,Turnover by T. Bryant (lost ball; steal by R. Jackson),23,38
2,5:50.0,R. Jackson misses 2-pt jump shot from 16 ft,,23,38
2,5:47.0,,Defensive rebound by S. Dekker,23,38
2,5:37.0,,T. Bryant makes 2-pt layup from 2 ft (assist by B. Beal),23,40
2,5:30.0,Detroit full timeout,,23,40
2,5:30.0,B. Brown enters the game for L. Galloway,,23,40
2,5:30.0,R. Bullock enters the game for R. Jackson,,23,40
2,5:30.0,B. Griffin enters the game for S. Johnson,,23,40
2,5:30.0,K. Thomas enters the game for Z. Pachulia,,23,40
2,5:30.0,,J. Green enters the game for S. Dekker,23,40
2,5:30.0,,T. Satoranský enters the game for O. Porter,23,40
2,5:10.0,B. Griffin misses 3-pt jump shot from 26 ft,,23,40
2,5:08.0,Offensive rebound by Team,,23,40
2,5:04.0,B. Griffin makes 2-pt hook shot from 2 ft (assist by L. Kennard),,25,40
2,4:44.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by T. Bryant),25,43
2,4:29.0,B. Brown misses 3-pt jump shot from 25 ft,,25,43
2,4:27.0,,Defensive rebound by T. Bryant,25,43
2,4:19.0,,T. Ariza makes 2-pt layup from 1 ft,25,45
2,4:06.0,L. Kennard makes 2-pt layup from 2 ft (assist by B. Brown),,27,45
2,3:47.0,,Shooting foul by B. Griffin (drawn by T. Bryant),27,45
2,3:47.0,,T. Bryant makes free throw 1 of 2,27,46
2,3:47.0,S. Johnson enters the game for L. Kennard,,27,46
2,3:47.0,,T. Bryant misses free throw 2 of 2,27,46
2,3:45.0,Defensive rebound by B. Griffin,,27,46
2,3:32.0,Turnover by B. Griffin (bad pass),,27,46
2,3:15.0,,T. Ariza misses 2-pt layup from 2 ft,27,46
2,3:13.0,Defensive rebound by R. Bullock,,27,46
2,2:58.0,B. Griffin misses 2-pt jump shot from 10 ft,,27,46
2,2:56.0,,Defensive rebound by T. Bryant,27,46
2,2:48.0,,T. Satoranský misses 2-pt jump shot from 11 ft,27,46
2,2:45.0,Defensive rebound by B. Brown,,27,46
2,2:41.0,B. Brown makes 2-pt layup from 4 ft,,29,46
2,2:39.0,,Washington full timeout,29,46
2,2:21.0,,B. Beal misses 3-pt jump shot from 26 ft,29,46
2,2:19.0,Defensive rebound by Team,,29,46
2,2:01.0,Shooting foul by T. Ariza (drawn by B. Griffin),,29,46
2,2:01.0,B. Griffin makes free throw 1 of 2,,30,46
2,2:01.0,B. Griffin misses free throw 2 of 2,,30,46
2,1:57.0,,Defensive rebound by T. Bryant,30,46
2,1:44.0,,J. Green misses 2-pt layup at rim,30,46
2,1:39.0,,Offensive rebound by Team,30,46
2,1:30.0,,J. Green makes 2-pt layup from 3 ft (assist by T. Satoranský),30,48
2,1:11.0,S. Johnson misses 3-pt jump shot from 25 ft,,30,48
2,1:08.0,,Defensive rebound by T. Ariza,30,48
2,1:04.0,,Turnover by J. Green (out of bounds lost ball),30,48
2,0:49.0,B. Griffin makes 2-pt hook shot from 5 ft,,32,48
2,0:28.0,Flagrant foul type 1 by T. Bryant (drawn by R. Bullock),,32,48
2,0:28.0,,Turnover by T. Bryant (turnover),32,48
2,0:28.0,R. Bullock makes flagrant free throw 2 of 2,,33,48
2,0:28.0,R. Bullock makes flagrant free throw 1 of 2,,34,48
2,0:10.0,B. Griffin misses 2-pt layup from 2 ft,,34,48
2,0:08.0,,Defensive rebound by T. Satoranský,34,48
2,0:01.0,,T. Ariza makes 2-pt layup from 1 ft (assist by T. Satoranský),34,50
2,0:00.0,B. Brown misses 3-pt jump shot from 65 ft,,34,50
2,0:00.0,Offensive rebound by Team,,34,50
3,11:51.0,Offensive foul by Z. Pachulia (drawn by J. Green),,34,50
3,11:51.0,Turnover by Z. Pachulia (offensive foul),,34,50
3,11:40.0,,B. Beal misses 2-pt jump shot from 22 ft,34,50
3,11:40.0,Defensive rebound by R. Bullock,,34,50
3,11:29.0,B. Griffin makes 2-pt layup from 1 ft (assist by R. Bullock),,36,50
3,11:18.0,,Turnover by B. Beal (bad pass),36,50
3,11:02.0,B. Brown makes 2-pt layup from 1 ft (assist by R. Bullock),,38,50
3,10:48.0,,J. Green misses 3-pt jump shot from 26 ft,38,50
3,10:45.0,Defensive rebound by B. Brown,,38,50
3,10:37.0,B. Brown misses 2-pt hook shot from 6 ft,,38,50
3,10:34.0,,Defensive rebound by T. Bryant,38,50
3,10:19.0,,B. Beal misses 2-pt layup from 5 ft (block by B. Brown),38,50
3,10:15.0,Defensive rebound by B. Brown,,38,50
3,10:13.0,R. Jackson makes 2-pt layup from 1 ft (assist by B. Brown),,40,50
3,9:52.0,,B. Beal misses 2-pt layup from 3 ft,40,50
3,9:51.0,Defensive rebound by R. Bullock,,40,50
3,9:45.0,R. Jackson misses 3-pt jump shot from 23 ft,,40,50
3,9:44.0,,Defensive rebound by Team,40,50
3,9:37.0,,Offensive foul by B. Beal (drawn by B. Brown),40,50
3,9:37.0,,Turnover by B. Beal (offensive foul),40,50
3,9:28.0,Personal foul by B. Beal (drawn by B. Brown),,40,50
3,9:28.0,Offensive foul by B. Brown (drawn by B. Beal),,40,50
3,9:28.0,Turnover by B. Brown (offensive foul),,40,50
3,9:16.0,,Turnover by T. Satoranský (bad pass; steal by Z. Pachulia),40,50
3,8:54.0,R. Jackson misses 2-pt jump shot from 20 ft,,40,50
3,8:52.0,,Defensive rebound by T. Bryant,40,50
3,8:49.0,,Shooting foul by R. Bullock (drawn by B. Beal),40,50
3,8:49.0,,B. Beal makes free throw 1 of 2,40,51
3,8:49.0,,B. Beal makes free throw 2 of 2,40,52
3,8:29.0,B. Griffin misses 2-pt layup from 4 ft,,40,52
3,8:27.0,,Defensive rebound by T. Bryant,40,52
3,8:19.0,,T. Bryant makes 2-pt jump shot from 16 ft (assist by T. Ariza),40,54
3,8:04.0,R. Bullock makes 3-pt jump shot from 26 ft (assist by B. Griffin),,43,54
3,7:35.0,,Turnover by Team (shot clock),43,54
3,7:22.0,Turnover by B. Brown (lost ball; steal by T. Satoranský),,43,54
3,7:19.0,,Shooting foul by R. Bullock (drawn by T. Ariza),43,54
3,7:19.0,,T. Ariza makes free throw 1 of 2,43,55
3,7:19.0,,T. Ariza makes free throw 2 of 2,43,56
3,6:56.0,B. Brown misses 2-pt jump shot from 18 ft,,43,56
3,6:53.0,,Defensive rebound by T. Bryant,43,56
3,6:51.0,,J. Green makes 2-pt layup from 2 ft,43,58
3,6:51.0,,Shooting foul by Z. Pachulia (drawn by J. Green),43,58
3,6:51.0,,Washington full timeout,43,58
3,6:51.0,Technical foul by B. Griffin,,43,58
3,6:51.0,K. Thomas enters the game for Z. Pachulia,,43,58
3,6:51.0,,B. Beal makes technical free throw,43,59
3,6:51.0,,J. Green makes free throw 1 of 1,43,60
3,6:38.0,K. Thomas makes 2-pt jump shot from 18 ft (assist by R. Jackson),,45,60
3,6:16.0,,Offensive foul by J. Green (drawn by R. Jackson),45,60
3,6:16.0,,Turnover by J. Green (offensive foul),45,60
3,5:57.0,B. Griffin makes 3-pt jump shot from 25 ft (assist by R. Jackson),,48,60
3,5:39.0,,Turnover by B. Beal (bad pass),48,60
3,5:21.0,R. Jackson misses 3-pt jump shot from 23 ft,,48,60
3,5:17.0,,Defensive rebound by T. Bryant,48,60
3,4:59.0,,T. Satoranský misses 3-pt jump shot from 25 ft,48,60
3,4:55.0,Defensive rebound by B. Griffin,,48,60
3,4:48.0,R. Bullock misses 3-pt jump shot from 27 ft,,48,60
3,4:46.0,,Defensive rebound by T. Ariza,48,60
3,4:39.0,,T. Satoranský makes 2-pt jump shot from 4 ft,48,62
3,4:18.0,B. Brown misses 2-pt layup from 8 ft (block by B. Beal),,48,62
3,4:14.0,,Defensive rebound by J. Green,48,62
3,4:12.0,,T. Ariza makes 3-pt jump shot from 24 ft (assist by T. Satoranský),48,65
3,4:10.0,Detroit full timeout,,48,65
3,4:10.0,J. Calderón enters the game for B. Brown,,48,65
3,4:10.0,L. Kennard enters the game for R. Jackson,,48,65
3,4:10.0,,O. Porter enters the game for T. Bryant,48,65
3,3:50.0,K. Thomas misses 3-pt jump shot from 23 ft (block by B. Beal),,48,65
3,3:46.0,,Defensive rebound by T. Ariza,48,65
3,3:39.0,,Shooting foul by R. Bullock (drawn by B. Beal),48,65
3,3:39.0,,B. Beal makes free throw 1 of 2,48,66
3,3:39.0,,B. Beal makes free throw 2 of 2,48,67
3,3:27.0,B. Griffin makes 2-pt layup from 2 ft,,50,67
3,3:27.0,Shooting foul by J. Green (drawn by B. Griffin),,50,67
3,3:27.0,B. Griffin misses free throw 1 of 1,,50,67
3,3:25.0,,Defensive rebound by T. Ariza,50,67
3,3:06.0,,J. Green makes 2-pt jump shot from 2 ft,50,69
3,2:57.0,B. Griffin makes 3-pt jump shot from 25 ft,,53,69
3,2:40.0,,Turnover by T. Satoranský (bad pass; steal by K. Thomas),53,69
3,2:36.0,K. Thomas misses 2-pt layup from 2 ft,,53,69
3,2:34.0,,Defensive rebound by T. Ariza,53,69
3,2:30.0,,J. Green misses 3-pt jump shot from 24 ft,53,69
3,2:26.0,Defensive rebound by B. Griffin,,53,69
3,2:20.0,R. Bullock misses 2-pt layup from 2 ft (block by J. Green),,53,69
3,2:17.0,,Defensive rebound by O. Porter,53,69
3,2:15.0,,T. Ariza makes 3-pt jump shot from 23 ft (assist by T. Satoranský),53,72
3,2:03.0,B. Griffin makes 3-pt jump shot from 26 ft (assist by J. Calderón),,56,72
3,1:54.0,,Personal foul by J. Calderón (drawn by B. Beal),56,72
3,1:54.0,,B. Beal makes free throw 1 of 2,56,73
3,1:54.0,,I. Mahinmi enters the game for J. Green,56,73
3,1:54.0,,C. Randle enters the game for T. Satoranský,56,73
3,1:54.0,,B. Beal misses free throw 2 of 2,56,73
3,1:51.0,Defensive rebound by L. Kennard,,56,73
3,1:35.0,Shooting foul by C. Randle (drawn by J. Calderón),,56,73
3,1:35.0,J. Calderón makes free throw 1 of 2,,57,73
3,1:35.0,J. Calderón makes free throw 2 of 2,,58,73
3,1:14.0,,T. Ariza makes 2-pt jump shot from 20 ft,58,75
3,0:57.0,L. Kennard misses 3-pt jump shot from 26 ft,,58,75
3,0:55.0,,Defensive rebound by B. Beal,58,75
3,0:51.0,,B. Beal makes 2-pt jump shot from 7 ft,58,77
3,0:51.0,,Shooting foul by R. Bullock (drawn by B. Beal),58,77
3,0:51.0,,S. Dekker enters the game for T. Ariza,58,77
3,0:51.0,,B. Beal makes free throw 1 of 1,58,78
3,0:28.0,K. Thomas makes 3-pt jump shot from 24 ft (assist by R. Bullock),,61,78
3,0:05.0,,O. Porter makes 3-pt jump shot from 25 ft (assist by C. Randle),61,81
3,0:00.0,B. Griffin makes 3-pt jump shot from 30 ft (assist by J. Calderón),,64,81
4,11:49.0,,O. Porter misses 2-pt jump shot from 16 ft,64,81
4,11:46.0,Defensive rebound by L. Kennard,,64,81
4,11:45.0,,Technical foul by I. Mahinmi,64,81
4,11:45.0,L. Kennard makes technical free throw,,65,81
4,11:23.0,Turnover by L. Kennard (lost ball; steal by O. Porter),,65,81
4,11:15.0,,O. Porter makes 2-pt jump shot from 15 ft (assist by S. Dekker),65,83
4,10:55.0,Offensive foul by Z. Pachulia (drawn by T. Satoranský),,65,83
4,10:55.0,Turnover by Z. Pachulia (offensive foul),,65,83
4,10:34.0,,S. Dekker makes 2-pt layup from 2 ft (assist by C. Randle),65,85
4,10:25.0,Personal foul by O. Porter (drawn by L. Kennard),,65,85
4,10:13.0,L. Galloway makes 3-pt jump shot from 28 ft (assist by J. Calderón),,68,85
4,10:05.0,,T. Satoranský misses 2-pt jump shot from 16 ft,68,85
4,10:03.0,Defensive rebound by S. Johnson,,68,85
4,10:02.0,Personal foul by T. Satoranský (drawn by S. Johnson),,68,85
4,9:55.0,J. Calderón makes 2-pt jump shot from 20 ft,,70,85
4,9:35.0,,O. Porter makes 3-pt jump shot from 25 ft,70,88
4,9:19.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by J. Calderón),,72,88
4,9:03.0,,C. Randle misses 3-pt jump shot from 26 ft,72,88
4,8:58.0,,Offensive rebound by T. Satoranský,72,88
4,8:58.0,,T. Satoranský makes 2-pt layup from 1 ft,72,90
4,8:55.0,Turnover by J. Calderón (bad pass; steal by S. Dekker),,72,90
4,8:53.0,,Shooting foul by S. Johnson (drawn by S. Dekker),72,90
4,8:53.0,,S. Dekker makes free throw 1 of 2,72,91
4,8:53.0,,S. Dekker makes free throw 2 of 2,72,92
4,8:35.0,Turnover by J. Calderón (traveling),,72,92
4,8:28.0,,O. Porter makes 3-pt jump shot from 26 ft (assist by C. Randle),72,95
4,8:06.0,S. Johnson makes 2-pt layup from 3 ft,,74,95
4,7:47.0,,I. Mahinmi misses 3-pt jump shot from 24 ft,74,95
4,7:44.0,,Offensive rebound by O. Porter,74,95
4,7:31.0,,O. Porter misses 3-pt jump shot from 27 ft,74,95
4,7:31.0,,Offensive rebound by Team,74,95
4,7:31.0,,Turnover by Team (shot clock),74,95
4,7:15.0,Turnover by L. Kennard (bad pass; steal by T. Satoranský),,74,95
4,7:11.0,,Washington full timeout,74,95
4,7:11.0,R. Bullock enters the game for J. Calderón,,74,95
4,7:11.0,B. Griffin enters the game for L. Kennard,,74,95
4,7:11.0,R. Jackson enters the game for Z. Pachulia,,74,95
4,6:58.0,,S. Dekker makes 3-pt jump shot from 26 ft (assist by C. Randle),74,98
4,6:32.0,R. Bullock makes 3-pt jump shot from 27 ft (assist by B. Griffin),,77,98
4,6:08.0,,S. Dekker misses 3-pt jump shot from 24 ft,77,98
4,6:05.0,Defensive rebound by L. Galloway,,77,98
4,5:52.0,Personal foul by T. Satoranský (drawn by S. Johnson),,77,98
4,5:39.0,B. Griffin misses 3-pt jump shot from 25 ft,,77,98
4,5:36.0,,Defensive rebound by S. Dekker,77,98
4,5:28.0,,O. Porter misses 2-pt jump shot from 13 ft,77,98
4,5:26.0,Defensive rebound by B. Griffin,,77,98
4,5:12.0,L. Galloway makes 3-pt jump shot from 23 ft (assist by B. Griffin),,80,98
4,4:58.0,,Shooting foul by R. Jackson (drawn by C. Randle),80,98
4,4:58.0,,C. Randle misses free throw 1 of 2,80,98
4,4:58.0,,Offensive rebound by Team,80,98
4,4:58.0,,C. Randle misses free throw 2 of 2,80,98
4,4:56.0,Defensive rebound by S. Johnson,,80,98
4,4:37.0,R. Jackson makes 2-pt jump shot from 20 ft,,82,98
4,4:23.0,,Turnover by T. Satoranský (traveling),82,98
4,4:15.0,R. Bullock makes 2-pt layup from 1 ft (assist by B. Griffin),,84,98
4,4:15.0,,Washington full timeout,84,98
4,4:15.0,,T. Ariza enters the game for S. Dekker,84,98
4,4:15.0,,B. Beal enters the game for C. Randle,84,98
4,4:02.0,,O. Porter misses 2-pt layup from 2 ft,84,98
4,4:00.0,Defensive rebound by B. Griffin,,84,98
4,3:57.0,L. Galloway misses 3-pt jump shot from 23 ft,,84,98
4,3:54.0,,Defensive rebound by T. Ariza,84,98
4,3:31.0,,T. Ariza misses 3-pt jump shot from 26 ft,84,98
4,3:27.0,Defensive rebound by R. Jackson,,84,98
4,3:16.0,Shooting foul by T. Ariza (drawn by B. Griffin),,84,98
4,3:16.0,B. Griffin makes free throw 1 of 2,,85,98
4,3:16.0,,T. Bryant enters the game for I. Mahinmi,85,98
4,3:16.0,B. Griffin makes free throw 2 of 2,,86,98
4,2:54.0,,T. Bryant misses 2-pt jump shot from 13 ft,86,98
4,2:50.0,Defensive rebound by L. Galloway,,86,98
4,2:38.0,R. Bullock misses 3-pt jump shot from 26 ft,,86,98
4,2:38.0,,Defensive rebound by Team,86,98
4,2:15.0,,T. Ariza misses 2-pt jump shot from 16 ft,86,98
4,2:13.0,Defensive rebound by B. Griffin,,86,98
4,2:06.0,R. Bullock misses 3-pt jump shot from 26 ft,,86,98
4,2:04.0,,Defensive rebound by T. Satoranský,86,98
4,1:54.0,,T. Bryant makes 2-pt layup from 3 ft (assist by B. Beal),86,100
4,1:42.0,R. Jackson misses 3-pt jump shot from 26 ft,,86,100
4,1:39.0,Offensive rebound by L. Galloway,,86,100
4,1:33.0,Turnover by L. Galloway (bad pass),,86,100
4,1:19.0,,Shooting foul by L. Galloway (drawn by T. Satoranský),86,100
4,1:19.0,,T. Satoranský makes free throw 1 of 2,86,101
4,1:19.0,,T. Brown enters the game for B. Beal,86,101
4,1:19.0,,S. Dekker enters the game for O. Porter,86,101
4,1:19.0,,T. Satoranský misses free throw 2 of 2,86,101
4,1:17.0,Defensive rebound by B. Griffin,,86,101
4,1:02.0,Shooting foul by T. Bryant (drawn by B. Griffin),,86,101
4,1:02.0,B. Griffin misses free throw 1 of 2,,86,101
