QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PHILADELPHIA_ACTION,SACRAMENTO_SCORE,PHILADELPHIA_SCORE
4,8:31.0,Personal foul by B. Simmons (drawn by B. Bogdanović),,98,105
4,8:18.0,B. Hield misses 2-pt layup from 2 ft,,98,105
4,8:15.0,Offensive rebound by W. Cauley-Stein,,98,105
4,8:05.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,98,105
4,8:03.0,,Defensive rebound by J. Butler,98,105
4,7:41.0,,T. Harris misses 2-pt jump shot from 11 ft,98,105
4,7:36.0,,Offensive rebound by J. Ennis,98,105
4,7:36.0,,J. Ennis misses 2-pt layup from 1 ft,98,105
4,7:35.0,Defensive rebound by W. Cauley-Stein,,98,105
4,7:28.0,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by H. Barnes),,100,105
4,7:04.0,,T. Harris makes 2-pt jump shot from 12 ft,100,107
4,6:53.0,Shooting foul by J. Ennis (drawn by B. Hield),,100,107
4,6:53.0,B. Hield makes free throw 1 of 2,,101,107
4,6:53.0,D. Fox enters the game for Y. Ferrell,,101,107
4,6:53.0,,B. Marjanović enters the game for J. Embiid,101,107
4,6:53.0,,T. McConnell enters the game for B. Simmons,101,107
