QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA LAKERS_ACTION,MEMPHIS_SCORE,LA LAKERS_SCORE
1,8:43.0,M. Gasol makes 2-pt hook shot from 2 ft (assist by M. Conley),,6,6
1,8:24.0,,I. Zubac misses 2-pt layup from 1 ft (block by M. Gasol),6,6
1,8:21.0,Defensive rebound by G. Temple,,6,6
1,8:12.0,Turnover by J. Jackson (lost ball; steal by L. Ball),,6,6
1,8:07.0,,L. Ball misses 2-pt layup from 3 ft,6,6
1,8:04.0,Defensive rebound by K. Anderson,,6,6
1,8:00.0,M. Conley misses 3-pt jump shot from 23 ft,,6,6
1,7:58.0,,Defensive rebound by L. James,6,6
1,7:57.0,,Personal take foul by K. Anderson (drawn by L. James),6,6
1,7:51.0,,L. Ball misses 3-pt jump shot from 26 ft,6,6
1,7:49.0,Defensive rebound by K. Anderson,,6,6
1,7:34.0,J. Jackson misses 2-pt hook shot from 6 ft,,6,6
1,7:33.0,,Defensive rebound by L. James,6,6
1,7:27.0,,I. Zubac makes 2-pt dunk from 3 ft (assist by L. James),6,8
1,7:07.0,Personal foul by L. Ball (drawn by J. Jackson),,6,8
1,6:57.0,G. Temple makes 2-pt jump shot from 15 ft (assist by J. Jackson),,8,8
1,6:56.0,,LA Lakers full timeout,8,8
1,6:52.0,,I. Zubac makes 2-pt dunk from 2 ft (assist by L. James),8,10
1,6:32.0,J. Jackson makes 2-pt jump shot from 13 ft (assist by M. Gasol),,10,10
1,6:12.0,,I. Zubac makes 2-pt jump shot from 14 ft (assist by L. Ball),10,12
1,5:50.0,M. Gasol misses 2-pt hook shot from 7 ft,,10,12
1,5:48.0,,Defensive rebound by L. James,10,12
1,5:46.0,,Personal foul by K. Anderson (drawn by L. James),10,12
1,5:46.0,D. Brooks enters the game for K. Anderson,,10,12
1,5:46.0,S. Mack enters the game for M. Conley,,10,12
1,5:37.0,,Shooting foul by D. Brooks (drawn by B. Ingram),10,12
1,5:37.0,,B. Ingram misses free throw 1 of 2,10,12
1,5:37.0,,Offensive rebound by Team,10,12
1,5:37.0,,B. Ingram misses free throw 2 of 2,10,12
1,5:32.0,Defensive rebound by G. Temple,,10,12
1,5:16.0,D. Brooks misses 3-pt jump shot from 26 ft,,10,12
1,5:14.0,,Defensive rebound by L. James,10,12
1,5:07.0,,B. Ingram misses 3-pt jump shot from 26 ft,10,12
1,5:05.0,Defensive rebound by G. Temple,,10,12
1,4:50.0,J. Jackson makes 2-pt hook shot from 3 ft,,12,12
1,4:45.0,,Shooting foul by D. Brooks (drawn by B. Ingram),12,12
1,4:45.0,,B. Ingram makes free throw 1 of 2,12,13
1,4:45.0,,B. Ingram makes free throw 2 of 2,12,14
1,4:34.0,S. Mack misses 2-pt layup from 2 ft (block by L. Ball),,12,14
1,4:31.0,,Defensive rebound by L. James,12,14
1,4:23.0,,L. James makes 2-pt layup from 2 ft (assist by K. Kuzma),12,16
1,4:23.0,Memphis full timeout,,12,16
1,4:23.0,J. Green enters the game for J. Jackson,,12,16
1,4:23.0,,J. Hart enters the game for B. Ingram,12,16
1,4:11.0,,Violation by Team (kicked ball),12,16
1,4:01.0,D. Brooks misses 2-pt layup from 4 ft (block by L. James),,12,16
1,4:01.0,Offensive rebound by Team,,12,16
1,3:58.0,M. Gasol misses 2-pt jump shot from 5 ft,,12,16
1,3:54.0,,Defensive rebound by L. Ball,12,16
1,3:36.0,,I. Zubac makes 2-pt layup from 3 ft (assist by K. Kuzma),12,18
1,3:17.0,M. Gasol misses 2-pt hook shot from 7 ft,,12,18
1,3:15.0,,Defensive rebound by K. Kuzma,12,18
1,3:12.0,,Turnover by K. Kuzma (bad pass; steal by S. Mack),12,18
1,3:06.0,D. Brooks misses 3-pt jump shot from 23 ft,,12,18
1,3:04.0,,Defensive rebound by L. Ball,12,18
1,3:01.0,,Turnover by L. James (bad pass),12,18
1,3:01.0,M. Conley enters the game for M. Gasol,,12,18
1,3:01.0,J. Jackson enters the game for G. Temple,,12,18
1,3:01.0,,R. Rondo enters the game for L. Ball,12,18
1,3:01.0,,M. Wagner enters the game for I. Zubac,12,18
1,2:49.0,J. Jackson makes 2-pt layup from 2 ft (assist by M. Conley),,14,18
1,2:49.0,Shooting foul by J. Hart (drawn by J. Jackson),,14,18
1,2:49.0,,K. Caldwell-Pope enters the game for L. James,14,18
1,2:49.0,J. Jackson makes free throw 1 of 1,,15,18
1,2:36.0,,Turnover by R. Rondo (traveling),15,18
1,2:16.0,J. Jackson makes 2-pt layup from 3 ft (assist by D. Brooks),,17,18
1,2:06.0,,Shooting foul by J. Jackson (drawn by K. Kuzma),17,18
1,2:06.0,,K. Kuzma makes free throw 1 of 2,17,19
1,2:06.0,,K. Kuzma makes free throw 2 of 2,17,20
1,1:52.0,J. Green makes 3-pt jump shot from 26 ft (assist by M. Conley),,20,20
1,1:40.0,,K. Kuzma misses 3-pt jump shot from 25 ft,20,20
1,1:36.0,Defensive rebound by J. Green,,20,20
1,1:19.0,M. Conley makes 2-pt jump shot from 22 ft,,22,20
1,1:15.0,,LA Lakers full timeout,22,20
1,1:15.0,,B. Ingram enters the game for K. Kuzma,22,20
1,1:15.0,,L. Stephenson enters the game for M. Wagner,22,20
1,0:57.0,,Turnover by B. Ingram (lost ball; steal by M. Conley),22,20
1,0:33.0,J. Jackson makes 2-pt dunk from 2 ft (assist by J. Green),,24,20
1,0:18.0,,B. Ingram misses 2-pt jump shot from 20 ft,24,20
1,0:15.0,Defensive rebound by J. Green,,24,20
1,0:02.0,J. Jackson makes 2-pt layup from 3 ft (assist by J. Green),,26,20
2,11:43.0,,Personal foul by J. Green (drawn by I. Zubac),26,20
2,11:37.0,,K. Caldwell-Pope makes 2-pt layup from 3 ft (assist by R. Rondo),26,22
2,11:28.0,Turnover by J. Jackson (offensive foul),,26,22
2,11:28.0,Offensive foul by J. Jackson (drawn by K. Caldwell-Pope),,26,22
2,11:28.0,G. Temple enters the game for S. Mack,,26,22
2,11:13.0,,Personal foul by J. Green (drawn by B. Ingram),26,22
2,11:02.0,,I. Zubac makes 2-pt layup from 2 ft (assist by R. Rondo),26,24
2,10:41.0,J. Jackson misses 2-pt layup from 5 ft (block by I. Zubac),,26,24
2,10:41.0,Offensive rebound by Team,,26,24
2,10:35.0,J. Jackson misses 2-pt hook shot from 12 ft,,26,24
2,10:33.0,,Defensive rebound by R. Rondo,26,24
2,10:29.0,,R. Rondo makes 2-pt layup from 1 ft,26,26
2,10:10.0,M. Conley makes 2-pt jump shot from 16 ft,,28,26
2,10:00.0,,I. Zubac misses 2-pt layup from 4 ft (block by J. Green),28,26
2,9:57.0,Defensive rebound by J. Jackson,,28,26
2,9:53.0,Personal foul by B. Ingram (drawn by J. Green),,28,26
2,9:48.0,Personal foul by K. Caldwell-Pope (drawn by G. Temple),,28,26
2,9:38.0,M. Conley misses 2-pt jump shot from 20 ft,,28,26
2,9:37.0,,Defensive rebound by B. Ingram,28,26
2,9:32.0,,K. Caldwell-Pope makes 3-pt jump shot from 22 ft (assist by J. Hart),28,29
2,9:13.0,J. Jackson makes 2-pt layup from 2 ft,,30,29
2,9:05.0,,J. Hart makes 3-pt jump shot from 27 ft (assist by R. Rondo),30,32
2,8:42.0,J. Green misses 2-pt jump shot from 11 ft,,30,32
2,8:40.0,,Defensive rebound by J. Hart,30,32
2,8:35.0,,J. Hart misses 3-pt jump shot from 27 ft,30,32
2,8:31.0,Defensive rebound by J. Green,,30,32
2,8:30.0,Memphis full timeout,,30,32
2,8:30.0,I. Rabb enters the game for J. Jackson,,30,32
2,8:23.0,M. Conley misses 3-pt jump shot from 23 ft,,30,32
2,8:20.0,,Defensive rebound by R. Rondo,30,32
2,8:14.0,,B. Ingram makes 2-pt layup from 3 ft (assist by K. Caldwell-Pope),30,34
2,7:58.0,W. Selden misses 2-pt jump shot from 3 ft,,30,34
2,7:57.0,Offensive rebound by W. Selden,,30,34
2,7:57.0,Shooting foul by I. Zubac (drawn by W. Selden),,30,34
2,7:57.0,W. Selden misses free throw 1 of 2,,30,34
2,7:57.0,Offensive rebound by Team,,30,34
2,7:57.0,S. Mack enters the game for M. Conley,,30,34
2,7:57.0,,M. Wagner enters the game for I. Zubac,30,34
2,7:57.0,W. Selden makes free throw 2 of 2,,31,34
2,7:36.0,,R. Rondo misses 2-pt layup from 3 ft,31,34
2,7:33.0,Defensive rebound by I. Rabb,,31,34
2,7:23.0,W. Selden makes 3-pt jump shot from 23 ft (assist by I. Rabb),,34,34
2,7:21.0,,LA Lakers full timeout,34,34
2,7:21.0,K. Anderson enters the game for J. Green,,34,34
2,7:21.0,,L. Ball enters the game for K. Caldwell-Pope,34,34
2,7:21.0,,L. James enters the game for B. Ingram,34,34
2,7:21.0,,K. Kuzma enters the game for R. Rondo,34,34
2,7:05.0,,L. Ball misses 3-pt jump shot from 25 ft,34,34
2,7:01.0,Defensive rebound by G. Temple,,34,34
2,6:48.0,I. Rabb misses 2-pt layup from 2 ft,,34,34
2,6:46.0,,Defensive rebound by L. James,34,34
2,6:40.0,,M. Wagner misses 2-pt layup from 2 ft (block by I. Rabb),34,34
2,6:38.0,,Offensive rebound by M. Wagner,34,34
2,6:38.0,,M. Wagner misses 2-pt layup from 1 ft (block by W. Selden),34,34
2,6:38.0,Defensive rebound by Team,,34,34
2,6:38.0,,Loose ball foul by M. Wagner (drawn by W. Selden),34,34
2,6:19.0,W. Selden makes 2-pt jump shot from 9 ft,,36,34
2,6:10.0,,J. Hart misses 3-pt jump shot from 23 ft,36,34
2,6:09.0,,Offensive rebound by M. Wagner,36,34
2,6:05.0,,Turnover by M. Wagner (bad pass; steal by K. Anderson),36,34
2,5:50.0,K. Anderson misses 2-pt layup from 3 ft (block by J. Hart),,36,34
2,5:48.0,,Defensive rebound by M. Wagner,36,34
2,5:47.0,,Offensive foul by K. Kuzma (drawn by W. Selden),36,34
2,5:47.0,,Turnover by K. Kuzma (offensive foul),36,34
2,5:47.0,M. Gasol enters the game for I. Rabb,,36,34
2,5:47.0,J. Jackson enters the game for W. Selden,,36,34
2,5:47.0,,B. Ingram enters the game for J. Hart,36,34
2,5:47.0,,I. Zubac enters the game for M. Wagner,36,34
2,5:29.0,G. Temple misses 3-pt jump shot from 23 ft,,36,34
2,5:26.0,,Defensive rebound by I. Zubac,36,34
2,5:17.0,,I. Zubac makes 2-pt hook shot from 6 ft (assist by L. James),36,36
2,5:04.0,S. Mack misses 2-pt layup from 1 ft (block by L. Ball),,36,36
2,5:00.0,Offensive rebound by J. Jackson,,36,36
2,4:56.0,G. Temple misses 3-pt jump shot from 27 ft,,36,36
2,4:53.0,,Defensive rebound by L. James,36,36
2,4:51.0,,Shooting foul by J. Jackson (drawn by K. Kuzma),36,36
2,4:51.0,,K. Kuzma misses free throw 1 of 2,36,36
2,4:51.0,,Offensive rebound by Team,36,36
2,4:51.0,J. Green enters the game for J. Jackson,,36,36
2,4:51.0,,K. Kuzma misses free throw 2 of 2,36,36
2,4:48.0,Defensive rebound by M. Gasol,,36,36
2,4:36.0,M. Gasol misses 2-pt jump shot from 15 ft,,36,36
2,4:30.0,,Defensive rebound by K. Kuzma,36,36
2,4:24.0,,I. Zubac makes 2-pt dunk from 2 ft (assist by L. James),36,38
2,4:02.0,M. Gasol makes 2-pt hook shot from 4 ft,,38,38
2,3:36.0,,K. Kuzma makes 3-pt jump shot from 23 ft (assist by L. Ball),38,41
2,3:13.0,Personal foul by L. Ball (drawn by M. Gasol),,38,41
2,3:13.0,M. Gasol makes free throw 1 of 2,,39,41
2,3:13.0,M. Conley enters the game for S. Mack,,39,41
2,3:13.0,M. Gasol misses free throw 2 of 2,,39,41
2,3:11.0,,Defensive rebound by L. James,39,41
2,2:55.0,Violation by Team (kicked ball),,39,41
2,2:41.0,,B. Ingram makes 2-pt jump shot from 10 ft (assist by L. James),39,43
2,2:19.0,J. Green misses 2-pt layup from 5 ft (block by I. Zubac),,39,43
2,2:19.0,Offensive rebound by Team,,39,43
2,2:16.0,M. Gasol makes 3-pt jump shot from 26 ft (assist by K. Anderson),,42,43
2,1:59.0,,B. Ingram misses 3-pt jump shot from 25 ft,42,43
2,1:57.0,Defensive rebound by M. Gasol,,42,43
2,1:49.0,M. Gasol makes 2-pt dunk from 3 ft,,44,43
2,1:20.0,,K. Kuzma makes 3-pt jump shot from 25 ft (assist by B. Ingram),44,46
2,1:07.0,M. Gasol makes 2-pt jump shot from 19 ft,,46,46
2,0:56.0,,Personal foul by K. Anderson (drawn by L. James),46,46
2,0:56.0,W. Selden enters the game for K. Anderson,,46,46
2,0:52.0,,K. Kuzma misses 3-pt jump shot from 26 ft,46,46
2,0:49.0,Defensive rebound by M. Gasol,,46,46
2,0:45.0,J. Green makes 2-pt dunk from 2 ft (assist by M. Gasol),,48,46
2,0:27.0,,Turnover by I. Zubac (lost ball; steal by J. Green),48,46
2,0:21.0,W. Selden misses 2-pt layup from 2 ft,,48,46
2,0:19.0,,Defensive rebound by K. Kuzma,48,46
2,0:17.0,,Turnover by K. Kuzma (bad pass),48,46
2,0:17.0,,K. Caldwell-Pope enters the game for L. Ball,48,46
2,0:17.0,,M. Wagner enters the game for I. Zubac,48,46
2,0:00.0,Shooting foul by B. Ingram (drawn by J. Green),,48,46
2,0:00.0,J. Green makes free throw 1 of 2,,49,46
2,0:00.0,J. Green makes free throw 2 of 2,,50,46
3,11:43.0,,L. Ball misses 3-pt jump shot from 25 ft,50,46
3,11:41.0,Defensive rebound by J. Jackson,,50,46
3,11:19.0,Turnover by Team (shot clock),,50,46
3,11:04.0,,L. Ball misses 3-pt jump shot from 26 ft,50,46
3,11:02.0,Defensive rebound by K. Anderson,,50,46
3,10:49.0,J. Jackson misses 2-pt hook shot from 4 ft,,50,46
3,10:47.0,,Defensive rebound by L. James,50,46
3,10:38.0,,Shooting foul by M. Gasol (drawn by I. Zubac),50,46
3,10:38.0,,I. Zubac makes free throw 1 of 2,50,47
3,10:38.0,,I. Zubac makes free throw 2 of 2,50,48
3,10:21.0,M. Gasol misses 2-pt layup from 2 ft,,50,48
3,10:20.0,Offensive rebound by M. Gasol,,50,48
3,10:16.0,J. Jackson misses 2-pt jump shot from 7 ft,,50,48
3,10:14.0,Offensive rebound by K. Anderson,,50,48
3,10:14.0,K. Anderson makes 2-pt layup from 2 ft,,52,48
3,10:14.0,Violation by Team (delay of game),,52,48
3,10:04.0,,L. James makes 3-pt jump shot from 28 ft (assist by K. Kuzma),52,51
3,9:40.0,G. Temple makes 3-pt jump shot from 24 ft (assist by M. Conley),,55,51
3,9:25.0,,L. James misses 3-pt jump shot from 26 ft,55,51
3,9:22.0,Defensive rebound by M. Conley,,55,51
3,9:14.0,J. Jackson makes 2-pt layup from 3 ft (assist by M. Gasol),,57,51
3,8:47.0,,B. Ingram makes 2-pt layup from 2 ft,57,53
3,8:24.0,M. Conley makes 2-pt jump shot from 4 ft (assist by M. Gasol),,59,53
3,8:12.0,,B. Ingram makes 2-pt jump shot from 18 ft,59,55
3,7:49.0,J. Jackson makes 2-pt dunk from 2 ft (assist by M. Gasol),,61,55
3,7:28.0,,L. James makes 2-pt layup from 4 ft,61,57
3,7:19.0,Turnover by M. Gasol (bad pass; steal by L. James),,61,57
3,7:15.0,,B. Ingram makes 2-pt layup from 3 ft (assist by L. James),61,59
3,7:15.0,Memphis full timeout,,61,59
3,6:58.0,K. Anderson misses 2-pt layup from 1 ft,,61,59
3,6:55.0,,Defensive rebound by I. Zubac,61,59
3,6:44.0,,L. James makes 2-pt jump shot from 13 ft (assist by B. Ingram),61,61
3,6:21.0,J. Jackson makes 2-pt dunk from 3 ft (assist by G. Temple),,63,61
3,6:05.0,,Shooting foul by J. Jackson (drawn by I. Zubac),63,61
3,6:05.0,,I. Zubac makes free throw 1 of 2,63,62
3,6:05.0,J. Green enters the game for M. Conley,,63,62
3,6:05.0,S. Mack enters the game for J. Jackson,,63,62
3,6:05.0,,I. Zubac misses free throw 2 of 2,63,62
3,6:03.0,Defensive rebound by J. Green,,63,62
3,5:50.0,M. Gasol misses 3-pt jump shot from 27 ft,,63,62
3,5:47.0,,Defensive rebound by L. James,63,62
3,5:45.0,,Personal foul by K. Anderson (drawn by L. James),63,62
3,5:45.0,D. Brooks enters the game for K. Anderson,,63,62
3,5:45.0,,J. Hart enters the game for I. Zubac,63,62
3,5:41.0,,Turnover by L. James (traveling),63,62
3,5:24.0,M. Gasol misses 2-pt jump shot from 5 ft,,63,62
3,5:22.0,,Defensive rebound by B. Ingram,63,62
3,5:18.0,,L. Ball makes 2-pt layup from 1 ft (assist by K. Kuzma),63,64
3,5:06.0,Turnover by J. Green (bad pass),,63,64
3,5:00.0,,L. James misses 3-pt jump shot from 26 ft,63,64
3,4:57.0,Defensive rebound by M. Gasol,,63,64
3,4:53.0,Memphis full timeout,,63,64
3,4:39.0,S. Mack misses 2-pt jump shot from 13 ft,,63,64
3,4:36.0,,Defensive rebound by Team,63,64
3,4:36.0,Loose ball foul by M. Gasol (drawn by J. Hart),,63,64
3,4:21.0,,L. James makes 2-pt layup from 3 ft,63,66
3,4:05.0,Turnover by D. Brooks (bad pass; steal by L. Ball),,63,66
3,4:01.0,,B. Ingram misses 2-pt layup from 2 ft,63,66
3,3:58.0,Defensive rebound by G. Temple,,63,66
3,3:51.0,D. Brooks misses 2-pt layup from 1 ft,,63,66
3,3:49.0,,Defensive rebound by L. Ball,63,66
3,3:45.0,,Turnover by L. Ball (bad pass),63,66
3,3:45.0,W. Selden enters the game for G. Temple,,63,66
3,3:31.0,W. Selden misses 3-pt jump shot from 26 ft,,63,66
3,3:28.0,,Defensive rebound by K. Kuzma,63,66
3,3:10.0,,Turnover by L. James (bad pass; steal by S. Mack),63,66
3,2:57.0,J. Green makes 2-pt dunk from 3 ft (assist by D. Brooks),,65,66
3,2:35.0,,L. Ball misses 3-pt jump shot from 23 ft,65,66
3,2:33.0,Defensive rebound by M. Gasol,,65,66
3,2:28.0,J. Green makes 3-pt jump shot from 26 ft (assist by M. Gasol),,68,66
3,2:26.0,,LA Lakers full timeout,68,66
3,2:26.0,M. Conley enters the game for M. Gasol,,68,66
3,2:26.0,I. Rabb enters the game for S. Mack,,68,66
3,2:26.0,,K. Caldwell-Pope enters the game for L. Ball,68,66
3,2:26.0,,R. Rondo enters the game for B. Ingram,68,66
3,2:18.0,,Personal foul by J. Green (drawn by L. James),68,66
3,2:18.0,,L. James makes free throw 1 of 2,68,67
3,2:18.0,,L. James makes free throw 2 of 2,68,68
3,2:08.0,Personal foul by K. Caldwell-Pope (drawn by D. Brooks),,68,68
3,1:56.0,D. Brooks makes 2-pt layup from 3 ft,,70,68
3,1:34.0,,J. Hart makes 3-pt jump shot from 25 ft (assist by K. Kuzma),70,71
3,1:08.0,M. Conley misses 2-pt layup from 1 ft,,70,71
3,1:06.0,Offensive rebound by I. Rabb,,70,71
3,1:06.0,I. Rabb makes 2-pt layup from 1 ft,,72,71
3,0:50.0,,Shooting foul by I. Rabb (drawn by K. Kuzma),72,71
3,0:50.0,,K. Kuzma misses free throw 1 of 2,72,71
3,0:50.0,,Offensive rebound by Team,72,71
3,0:50.0,,K. Kuzma makes free throw 2 of 2,72,72
3,0:40.0,W. Selden misses 3-pt jump shot from 26 ft,,72,72
3,0:40.0,,Defensive rebound by Team,72,72
3,0:34.0,,Turnover by L. James (lost ball; steal by J. Green),72,72
3,0:26.0,W. Selden misses 2-pt layup from 1 ft,,72,72
3,0:25.0,,Defensive rebound by Team,72,72
3,0:01.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by J. Hart),72,75
4,11:46.0,Turnover by D. Brooks (bad pass),,72,75
4,11:35.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,72,75
4,11:33.0,Defensive rebound by I. Rabb,,72,75
4,11:26.0,M. Conley misses 2-pt layup from 2 ft,,72,75
4,11:20.0,Offensive rebound by I. Rabb,,72,75
4,11:19.0,I. Rabb makes 2-pt dunk from 2 ft,,74,75
4,11:07.0,,B. Ingram misses 2-pt jump shot from 15 ft,74,75
4,11:07.0,,Offensive rebound by Team,74,75
4,11:07.0,G. Temple enters the game for D. Brooks,,74,75
4,10:51.0,,I. Zubac misses 2-pt jump shot from 8 ft,74,75
4,10:49.0,Defensive rebound by J. Green,,74,75
4,10:45.0,W. Selden makes 2-pt layup from 3 ft (assist by M. Conley),,76,75
4,10:34.0,,Shooting foul by I. Rabb (drawn by J. Hart),76,75
4,10:34.0,,J. Hart makes free throw 1 of 2,76,76
4,10:34.0,,J. Hart makes free throw 2 of 2,76,77
4,10:23.0,M. Conley makes 3-pt jump shot from 26 ft,,79,77
4,10:04.0,,Turnover by R. Rondo (bad pass; steal by G. Temple),79,77
4,9:52.0,I. Rabb misses 2-pt layup from 4 ft (block by I. Zubac),,79,77
4,9:48.0,,Defensive rebound by B. Ingram,79,77
4,9:45.0,,B. Ingram makes 2-pt layup from 3 ft (assist by R. Rondo),79,79
4,9:45.0,,Shooting foul by J. Green (drawn by B. Ingram),79,79
4,9:45.0,J. Jackson enters the game for J. Green,,79,79
4,9:45.0,,B. Ingram makes free throw 1 of 1,79,80
4,9:33.0,J. Jackson misses 2-pt jump shot from 13 ft,,79,80
4,9:32.0,Offensive rebound by Team,,79,80
4,9:18.0,Turnover by Team (shot clock),,79,80
4,9:12.0,,Turnover by B. Ingram (step out of bounds),79,80
4,8:51.0,J. Jackson misses 3-pt jump shot from 25 ft,,79,80
4,8:49.0,,Defensive rebound by J. Hart,79,80
4,8:32.0,,B. Ingram misses 2-pt layup from 3 ft,79,80
4,8:30.0,Defensive rebound by W. Selden,,79,80
4,8:21.0,J. Jackson misses 2-pt layup from 1 ft (block by I. Zubac),,79,80
4,8:17.0,Offensive rebound by J. Jackson,,79,80
4,8:13.0,M. Conley makes 2-pt jump shot from 16 ft,,81,80
4,7:58.0,,B. Ingram makes 3-pt jump shot from 26 ft (assist by J. Hart),81,83
4,7:40.0,G. Temple makes 3-pt jump shot from 24 ft (assist by M. Conley),,84,83
4,7:21.0,,I. Zubac misses 2-pt layup from 4 ft (block by G. Temple),84,83
4,7:19.0,Defensive rebound by G. Temple,,84,83
4,7:08.0,Turnover by J. Jackson (bad pass; steal by K. Caldwell-Pope),,84,83
4,7:05.0,,K. Caldwell-Pope makes 2-pt dunk from 1 ft,84,85
4,7:05.0,Memphis full timeout,,84,85
4,7:05.0,M. Gasol enters the game for M. Conley,,84,85
4,7:05.0,S. Mack enters the game for I. Rabb,,84,85
4,7:05.0,,L. James enters the game for B. Ingram,84,85
4,7:05.0,,K. Kuzma enters the game for I. Zubac,84,85
4,6:47.0,W. Selden makes 3-pt jump shot from 27 ft,,87,85
4,6:25.0,,J. Hart misses 3-pt jump shot from 27 ft,87,85
4,6:22.0,Defensive rebound by G. Temple,,87,85
4,5:58.0,S. Mack misses 2-pt jump shot from 11 ft,,87,85
4,5:54.0,Offensive rebound by J. Jackson,,87,85
4,5:53.0,J. Jackson misses 2-pt layup from 1 ft,,87,85
4,5:51.0,,Defensive rebound by K. Caldwell-Pope,87,85
4,5:46.0,,K. Kuzma makes 2-pt layup from 2 ft (assist by L. James),87,87
4,5:28.0,Shooting foul by R. Rondo (drawn by W. Selden),,87,87
4,5:28.0,W. Selden makes free throw 1 of 2,,88,87
4,5:28.0,M. Conley enters the game for S. Mack,,88,87
4,5:28.0,W. Selden misses free throw 2 of 2,,88,87
4,5:28.0,,Defensive rebound by K. Kuzma,88,87
4,5:08.0,,L. James misses 2-pt layup from 2 ft,88,87
4,5:03.0,,Offensive rebound by L. James,88,87
4,5:02.0,,L. James makes 2-pt layup from 1 ft,88,89
4,4:53.0,Personal foul by K. Kuzma (drawn by M. Conley),,88,89
4,4:53.0,K. Anderson enters the game for W. Selden,,88,89
4,4:41.0,Turnover by M. Conley (lost ball; steal by R. Rondo),,88,89
4,4:23.0,,J. Hart misses 2-pt layup from 4 ft (block by G. Temple),88,89
4,4:20.0,,Offensive rebound by R. Rondo,88,89
4,4:19.0,,Turnover by R. Rondo (bad pass; steal by K. Anderson),88,89
4,4:08.0,M. Gasol makes 3-pt jump shot from 25 ft (assist by M. Conley),,91,89
4,4:01.0,,Shooting foul by K. Anderson (drawn by L. James),91,89
4,4:01.0,,L. James makes free throw 1 of 2,91,90
4,4:01.0,,L. James makes free throw 2 of 2,91,91
4,3:51.0,Personal foul by R. Rondo (drawn by M. Conley),,91,91
4,3:42.0,M. Gasol makes 2-pt layup from 3 ft (assist by M. Conley),,93,91
4,3:42.0,Shooting foul by K. Kuzma (drawn by M. Gasol),,93,91
4,3:42.0,,LA Lakers full timeout,93,91
4,3:42.0,,L. Ball enters the game for K. Caldwell-Pope,93,91
4,3:42.0,,B. Ingram enters the game for J. Hart,93,91
4,3:42.0,,I. Zubac enters the game for R. Rondo,93,91
4,3:42.0,M. Gasol misses free throw 1 of 1,,93,91
4,3:39.0,,Defensive rebound by L. James,93,91
4,3:27.0,,L. Ball misses 3-pt jump shot from 23 ft,93,91
4,3:24.0,Defensive rebound by K. Anderson,,93,91
4,3:08.0,M. Conley makes 3-pt jump shot from 28 ft,,96,91
4,2:54.0,,L. James makes 3-pt jump shot from 28 ft (assist by B. Ingram),96,94
4,2:37.0,M. Conley makes 3-pt jump shot from 29 ft,,99,94
4,2:19.0,,L. Ball misses 3-pt jump shot from 23 ft,99,94
4,2:17.0,Defensive rebound by M. Gasol,,99,94
4,2:02.0,Shooting foul by I. Zubac (drawn by J. Jackson),,99,94
4,2:02.0,J. Jackson makes free throw 1 of 2,,100,94
