QUARTER,TIME_REMAINING,TORONTO_ACTION,DALLAS_ACTION,TORONTO_SCORE,DALLAS_SCORE
1,5:19.0,,D. Finney-Smith enters the game for L. Dončić,22,16
1,5:19.0,P. Siakam makes free throw 2 of 2,,23,16
1,5:08.0,,D. Smith makes 2-pt layup from 1 ft,23,18
1,5:08.0,,Technical foul by D. Smith,23,18
1,5:08.0,K. Leonard makes technical free throw,,24,18
1,4:52.0,K. Leonard misses 3-pt jump shot from 22 ft,,24,18
1,4:49.0,,Defensive rebound by D. Smith,24,18
1,4:34.0,,Turnover by D. Smith (bad pass),24,18
1,4:34.0,O. Anunoby enters the game for P. Siakam,,24,18
1,4:19.0,F. VanVleet misses 2-pt jump shot from 15 ft (block by D. Smith),,24,18
1,4:17.0,Offensive rebound by Team,,24,18
1,4:12.0,K. Leonard makes 2-pt jump shot from 16 ft (assist by F. VanVleet),,26,18
1,3:51.0,,H. Barnes makes 2-pt hook shot from 4 ft,26,20
1,3:36.0,K. Leonard misses 2-pt jump shot from 12 ft,,26,20
1,3:34.0,Offensive rebound by Team,,26,20
1,3:29.0,K. Leonard misses 2-pt jump shot from 18 ft,,26,20
1,3:25.0,,Defensive rebound by D. Smith,26,20
1,3:16.0,,D. Finney-Smith makes 3-pt jump shot from 24 ft (assist by D. Smith),26,23
1,2:58.0,F. VanVleet misses 2-pt jump shot from 18 ft,,26,23
1,2:55.0,,Defensive rebound by D. Finney-Smith,26,23
1,2:43.0,,Turnover by D. Finney-Smith (lost ball; steal by S. Ibaka),26,23
1,2:43.0,Personal take foul by D. Finney-Smith (drawn by S. Ibaka),,26,23
1,2:43.0,Toronto full timeout,,26,23
1,2:43.0,N. Powell enters the game for K. Leonard,,26,23
1,2:43.0,,L. Dončić enters the game for H. Barnes,26,23
1,2:43.0,,D. Harris enters the game for D. Jordan,26,23
1,2:43.0,,M. Kleber enters the game for W. Matthews,26,23
1,2:43.0,,D. Nowitzki enters the game for D. Smith,26,23
1,2:43.0,S. Ibaka makes free throw 1 of 2,,27,23
1,2:43.0,S. Ibaka makes free throw 2 of 2,,28,23
1,2:26.0,,D. Finney-Smith makes 2-pt layup from 1 ft (assist by L. Dončić),28,25
1,2:26.0,,Shooting foul by D. Green (drawn by D. Finney-Smith),28,25
1,2:26.0,P. Siakam enters the game for S. Ibaka,,28,25
1,2:26.0,,D. Finney-Smith misses free throw 1 of 1,28,25
1,2:23.0,Defensive rebound by N. Powell,,28,25
1,2:10.0,O. Anunoby misses 3-pt jump shot from 23 ft,,28,25
1,2:07.0,,Defensive rebound by M. Kleber,28,25
1,2:00.0,,L. Dončić makes 2-pt hook shot from 6 ft,28,27
1,1:47.0,Personal foul by D. Harris (drawn by F. VanVleet),,28,27
1,1:47.0,F. VanVleet makes free throw 1 of 2,,29,27
1,1:47.0,K. Lowry enters the game for D. Green,,29,27
1,1:47.0,F. VanVleet makes free throw 2 of 2,,30,27
1,1:28.0,,Turnover by D. Nowitzki (lost ball; steal by P. Siakam),30,27
1,1:23.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by F. VanVleet),,33,27
1,1:04.0,,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by D. Harris),33,30
1,0:52.0,Shooting foul by D. Finney-Smith (drawn by K. Lowry),,33,30
1,0:52.0,K. Lowry makes free throw 1 of 2,,34,30
1,0:52.0,,W. Matthews enters the game for D. Finney-Smith,34,30
1,0:52.0,K. Lowry makes free throw 2 of 2,,35,30
1,0:33.0,,L. Dončić misses 3-pt jump shot from 27 ft,35,30
1,0:30.0,Defensive rebound by P. Siakam,,35,30
1,0:24.0,P. Siakam misses 2-pt hook shot from 7 ft,,35,30
1,0:22.0,,Defensive rebound by L. Dončić,35,30
1,0:06.0,,Personal take foul by N. Powell (drawn by L. Dončić),35,30
1,0:03.0,,Personal foul by O. Anunoby (drawn by L. Dončić),35,30
1,0:03.0,,L. Dončić makes free throw 1 of 2,35,31
1,0:03.0,,D. Powell enters the game for D. Nowitzki,35,31
1,0:03.0,,L. Dončić makes free throw 2 of 2,35,32
1,0:00.0,K. Lowry makes 3-pt jump shot from 27 ft (assist by F. VanVleet),,38,32
2,11:48.0,N. Powell misses 2-pt layup from 1 ft,,38,32
2,11:45.0,Offensive rebound by O. Anunoby,,38,32
2,11:43.0,O. Anunoby makes 2-pt dunk at rim,,40,32
2,11:34.0,,D. Finney-Smith makes 2-pt dunk from 2 ft (assist by L. Dončić),40,34
2,11:24.0,Personal foul by D. Harris (drawn by P. Siakam),,40,34
2,11:12.0,F. VanVleet makes 3-pt jump shot from 25 ft,,43,34
2,10:56.0,,Personal foul by N. Powell (drawn by L. Dončić),43,34
2,10:45.0,,D. Harris misses 2-pt jump shot from 21 ft,43,34
2,10:43.0,,Offensive rebound by D. Finney-Smith,43,34
2,10:42.0,,Turnover by D. Finney-Smith (out of bounds lost ball),43,34
2,10:33.0,Turnover by K. Lowry (bad pass; steal by D. Finney-Smith),,43,34
2,10:23.0,,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by D. Harris),43,37
2,9:57.0,O. Anunoby misses 3-pt jump shot from 25 ft,,43,37
2,9:54.0,,Defensive rebound by M. Kleber,43,37
2,9:50.0,,D. Harris misses 3-pt jump shot from 26 ft,43,37
2,9:47.0,Defensive rebound by P. Siakam,,43,37
2,9:42.0,P. Siakam misses 2-pt layup from 6 ft,,43,37
2,9:40.0,,Defensive rebound by L. Dončić,43,37
2,9:34.0,,D. Harris misses 2-pt layup from 3 ft,43,37
2,9:32.0,Defensive rebound by P. Siakam,,43,37
2,9:32.0,Personal take foul by D. Nowitzki (drawn by P. Siakam),,43,37
2,9:22.0,Shooting foul by D. Nowitzki (drawn by N. Powell),,43,37
2,9:22.0,N. Powell makes free throw 1 of 2,,44,37
2,9:22.0,N. Powell makes free throw 2 of 2,,45,37
2,9:10.0,,Shooting foul by O. Anunoby (drawn by D. Nowitzki),45,37
2,9:10.0,,D. Nowitzki misses free throw 1 of 2,45,37
2,9:10.0,,Offensive rebound by Team,45,37
2,9:10.0,,D. Nowitzki makes free throw 2 of 2,45,38
2,8:59.0,Personal foul by D. Nowitzki (drawn by N. Powell),,45,38
2,8:59.0,,D. Powell enters the game for D. Nowitzki,45,38
2,8:52.0,K. Lowry misses 3-pt jump shot from 26 ft,,45,38
2,8:48.0,,Defensive rebound by L. Dončić,45,38
2,8:41.0,,L. Dončić makes 3-pt jump shot from 28 ft,45,41
2,8:16.0,O. Anunoby makes 3-pt jump shot from 23 ft (assist by F. VanVleet),,48,41
2,8:07.0,,Personal foul by N. Powell (drawn by M. Kleber),48,41
2,8:07.0,D. Wright enters the game for N. Powell,,48,41
2,7:57.0,,M. Kleber misses 3-pt jump shot from 23 ft,48,41
2,7:53.0,Defensive rebound by P. Siakam,,48,41
2,7:48.0,D. Wright makes 3-pt jump shot from 23 ft (assist by K. Lowry),,51,41
2,7:47.0,,Dallas full timeout,51,41
2,7:32.0,,L. Dončić makes 2-pt jump shot from 10 ft,51,43
2,7:32.0,,Shooting foul by K. Lowry (drawn by L. Dončić),51,43
2,7:32.0,,L. Dončić misses free throw 1 of 1,51,43
2,7:28.0,Defensive rebound by O. Anunoby,,51,43
2,7:19.0,Personal foul by M. Kleber (drawn by P. Siakam),,51,43
2,7:19.0,P. Siakam makes free throw 1 of 2,,52,43
2,7:19.0,K. Leonard enters the game for O. Anunoby,,52,43
2,7:19.0,,W. Matthews enters the game for D. Powell,52,43
2,7:19.0,P. Siakam makes free throw 2 of 2,,53,43
2,7:09.0,,L. Dončić makes 2-pt layup from 1 ft,53,45
2,7:03.0,Shooting foul by L. Dončić (drawn by D. Wright),,53,45
2,7:03.0,D. Wright misses free throw 1 of 2,,53,45
2,7:03.0,Offensive rebound by Team,,53,45
2,7:03.0,S. Ibaka enters the game for P. Siakam,,53,45
2,7:03.0,,H. Barnes enters the game for L. Dončić,53,45
2,7:03.0,,D. Jordan enters the game for D. Harris,53,45
2,7:03.0,,D. Smith enters the game for M. Kleber,53,45
2,7:03.0,D. Wright makes free throw 2 of 2,,54,45
2,6:56.0,,Personal foul by D. Wright (drawn by W. Matthews),54,45
2,6:56.0,,W. Matthews makes free throw 1 of 2,54,46
2,6:56.0,,W. Matthews misses free throw 2 of 2,54,46
2,6:53.0,Defensive rebound by S. Ibaka,,54,46
2,6:37.0,K. Lowry misses 3-pt jump shot from 24 ft,,54,46
2,6:34.0,,Defensive rebound by W. Matthews,54,46
2,6:23.0,,Turnover by W. Matthews (bad pass; steal by K. Lowry),54,46
2,6:20.0,D. Wright makes 2-pt layup at rim,,56,46
2,5:59.0,,H. Barnes makes 2-pt layup from 1 ft (assist by D. Jordan),56,48
2,5:49.0,D. Wright misses 2-pt layup at rim,,56,48
2,5:48.0,,Defensive rebound by H. Barnes,56,48
2,5:45.0,,D. Finney-Smith makes 2-pt jump shot from 4 ft (assist by H. Barnes),56,50
2,5:45.0,,Shooting foul by F. VanVleet (drawn by D. Finney-Smith),56,50
2,5:45.0,D. Green enters the game for F. VanVleet,,56,50
2,5:45.0,,D. Finney-Smith misses free throw 1 of 1,56,50
2,5:43.0,Defensive rebound by S. Ibaka,,56,50
2,5:25.0,Turnover by D. Wright (lost ball; steal by H. Barnes),,56,50
2,5:20.0,,D. Smith misses 2-pt layup from 1 ft (block by D. Wright),56,50
2,5:17.0,Defensive rebound by K. Lowry,,56,50
2,5:10.0,S. Ibaka makes 2-pt hook shot from 3 ft (assist by K. Lowry),,58,50
2,4:43.0,,D. Jordan misses 2-pt jump shot from 17 ft,58,50
2,4:41.0,,Offensive rebound by D. Finney-Smith,58,50
2,4:34.0,,Turnover by D. Jordan (bad pass),58,50
2,4:18.0,K. Leonard makes 2-pt jump shot from 16 ft,,60,50
2,3:58.0,,D. Smith misses 3-pt jump shot from 25 ft,60,50
2,3:56.0,Defensive rebound by D. Green,,60,50
2,3:49.0,K. Leonard misses 2-pt jump shot from 20 ft,,60,50
2,3:46.0,,Defensive rebound by D. Jordan,60,50
2,3:24.0,,Shooting foul by K. Lowry (drawn by D. Jordan),60,50
2,3:24.0,,D. Jordan misses free throw 1 of 2,60,50
2,3:24.0,,Offensive rebound by Team,60,50
2,3:24.0,P. Siakam enters the game for K. Lowry,,60,50
2,3:24.0,,L. Dončić enters the game for D. Finney-Smith,60,50
2,3:24.0,,D. Jordan misses free throw 2 of 2,60,50
2,3:22.0,Defensive rebound by S. Ibaka,,60,50
2,3:18.0,Toronto full timeout,,60,50
2,3:12.0,D. Green misses 3-pt jump shot from 23 ft,,60,50
2,3:10.0,Offensive rebound by D. Green,,60,50
2,3:05.0,K. Leonard makes 3-pt jump shot from 25 ft (assist by P. Siakam),,63,50
2,2:45.0,,H. Barnes misses 2-pt hook shot from 6 ft (block by S. Ibaka),63,50
2,2:43.0,,Offensive rebound by Team,63,50
2,2:41.0,,Personal foul by P. Siakam (drawn by H. Barnes),63,50
2,2:41.0,,H. Barnes makes free throw 1 of 2,63,51
2,2:41.0,,H. Barnes makes free throw 2 of 2,63,52
2,2:29.0,Shooting foul by W. Matthews (drawn by K. Leonard),,63,52
2,2:29.0,K. Leonard makes free throw 1 of 2,,64,52
2,2:29.0,K. Leonard makes free throw 2 of 2,,65,52
2,2:22.0,,H. Barnes misses 2-pt layup from 5 ft,65,52
2,2:19.0,,Offensive rebound by Team,65,52
2,2:19.0,,Personal foul by P. Siakam (drawn by D. Jordan),65,52
2,2:19.0,,D. Jordan makes free throw 1 of 2,65,53
2,2:19.0,,D. Jordan makes free throw 2 of 2,65,54
2,2:05.0,S. Ibaka misses 2-pt jump shot from 17 ft,,65,54
2,2:02.0,,Defensive rebound by D. Jordan,65,54
2,1:56.0,,W. Matthews misses 3-pt jump shot from 23 ft,65,54
2,1:53.0,Defensive rebound by S. Ibaka,,65,54
2,1:41.0,P. Siakam makes 2-pt hook shot from 1 ft,,67,54
2,1:20.0,,L. Dončić makes 2-pt jump shot from 7 ft,67,56
2,0:56.0,K. Leonard misses 2-pt jump shot from 15 ft,,67,56
2,0:53.0,,Defensive rebound by D. Jordan,67,56
2,0:43.0,,D. Smith misses 2-pt jump shot from 5 ft (block by S. Ibaka),67,56
2,0:41.0,,Offensive rebound by D. Jordan,67,56
2,0:38.0,,D. Jordan misses 2-pt layup from 2 ft,67,56
2,0:36.0,Defensive rebound by K. Leonard,,67,56
2,0:34.0,K. Leonard misses 3-pt jump shot from 26 ft,,67,56
2,0:33.0,,Defensive rebound by L. Dončić,67,56
2,0:27.0,,Turnover by L. Dončić (bad pass; steal by D. Wright),67,56
2,0:27.0,Personal foul by D. Smith (drawn by D. Wright),,67,56
2,0:27.0,D. Wright misses free throw 1 of 2,,67,56
2,0:27.0,Offensive rebound by Team,,67,56
2,0:27.0,O. Anunoby enters the game for P. Siakam,,67,56
2,0:27.0,D. Wright makes free throw 2 of 2,,68,56
2,0:12.0,,Personal foul by S. Ibaka (drawn by D. Jordan),68,56
2,0:12.0,,D. Jordan makes free throw 1 of 2,68,57
2,0:12.0,,D. Jordan makes free throw 2 of 2,68,58
2,0:05.0,D. Wright makes 2-pt layup at rim,,70,58
2,0:00.0,,D. Smith misses 3-pt jump shot from 32 ft,70,58
2,0:00.0,,Offensive rebound by Team,70,58
3,11:46.0,Personal foul by D. Jordan (drawn by S. Ibaka),,70,58
3,11:34.0,P. Siakam misses 3-pt jump shot from 27 ft,,70,58
3,11:30.0,,Defensive rebound by W. Matthews,70,58
3,11:11.0,,D. Smith misses 3-pt jump shot from 25 ft,70,58
3,11:09.0,,Offensive rebound by Team,70,58
3,11:09.0,,Personal foul by P. Siakam (drawn by D. Jordan),70,58
3,10:57.0,,H. Barnes makes 3-pt jump shot from 24 ft (assist by D. Smith),70,61
3,10:42.0,S. Ibaka misses 3-pt jump shot from 25 ft,,70,61
3,10:40.0,,Defensive rebound by D. Jordan,70,61
3,10:30.0,,Personal foul by D. Green (drawn by L. Dončić),70,61
3,10:23.0,,D. Jordan makes 2-pt layup from 5 ft (assist by L. Dončić),70,63
3,10:23.0,,Shooting foul by S. Ibaka (drawn by D. Jordan),70,63
3,10:23.0,,D. Jordan makes free throw 1 of 1,70,64
3,10:12.0,K. Leonard misses 3-pt jump shot from 26 ft,,70,64
3,10:08.0,Offensive rebound by K. Lowry,,70,64
3,10:07.0,K. Lowry misses 3-pt jump shot from 25 ft,,70,64
3,10:07.0,,Defensive rebound by H. Barnes,70,64
3,9:57.0,,L. Dončić misses 2-pt jump shot from 14 ft,70,64
3,9:54.0,Defensive rebound by S. Ibaka,,70,64
3,9:45.0,Shooting foul by D. Jordan (drawn by S. Ibaka),,70,64
3,9:45.0,S. Ibaka misses free throw 1 of 2,,70,64
3,9:45.0,Offensive rebound by Team,,70,64
3,9:45.0,S. Ibaka makes free throw 2 of 2,,71,64
3,9:40.0,,Personal foul by D. Green (drawn by L. Dončić),71,64
3,9:31.0,,L. Dončić makes 2-pt jump shot from 7 ft,71,66
3,9:13.0,K. Leonard misses 2-pt layup from 7 ft,,71,66
3,9:11.0,Offensive rebound by P. Siakam,,71,66
3,9:08.0,Turnover by P. Siakam (lost ball; steal by D. Smith),,71,66
3,9:07.0,,H. Barnes misses 2-pt layup from 6 ft (block by K. Lowry),71,66
3,9:05.0,,Offensive rebound by Team,71,66
3,8:52.0,,D. Smith misses 2-pt jump shot from 15 ft,71,66
3,8:49.0,Defensive rebound by D. Green,,71,66
3,8:41.0,K. Leonard misses 2-pt jump shot from 17 ft,,71,66
3,8:40.0,,Defensive rebound by H. Barnes,71,66
3,8:32.0,,Def 3 sec tech foul by Team,71,66
3,8:32.0,,H. Barnes makes technical free throw,71,67
3,8:24.0,,H. Barnes misses 3-pt jump shot from 24 ft,71,67
3,8:21.0,Defensive rebound by S. Ibaka,,71,67
3,8:15.0,D. Green misses 2-pt jump shot from 8 ft,,71,67
3,8:13.0,,Defensive rebound by D. Jordan,71,67
3,8:07.0,,L. Dončić misses 3-pt jump shot from 25 ft,71,67
3,8:04.0,Defensive rebound by S. Ibaka,,71,67
3,7:47.0,P. Siakam misses 2-pt layup from 3 ft,,71,67
3,7:46.0,,Defensive rebound by L. Dončić,71,67
3,7:45.0,,Turnover by D. Smith (traveling),71,67
3,7:33.0,K. Lowry misses 3-pt jump shot from 26 ft,,71,67
3,7:31.0,Offensive rebound by S. Ibaka,,71,67
3,7:27.0,S. Ibaka misses 2-pt jump shot from 21 ft,,71,67
3,7:26.0,,Defensive rebound by Team,71,67
3,7:12.0,,Def 3 sec tech foul by Team,71,67
3,7:12.0,,H. Barnes makes technical free throw,71,68
3,7:06.0,,D. Smith misses 2-pt hook shot from 7 ft,71,68
3,7:04.0,Defensive rebound by K. Leonard,,71,68
3,7:02.0,K. Leonard makes 2-pt layup from 4 ft,,73,68
3,7:02.0,Shooting foul by H. Barnes (drawn by K. Leonard),,73,68
3,7:02.0,K. Leonard makes free throw 1 of 1,,74,68
3,6:44.0,,Shooting foul by D. Green (drawn by W. Matthews),74,68
3,6:44.0,,Dallas full timeout,74,68
3,6:44.0,N. Powell enters the game for D. Green,,74,68
3,6:44.0,,D. Finney-Smith enters the game for L. Dončić,74,68
3,6:44.0,,W. Matthews makes free throw 1 of 2,74,69
3,6:44.0,,W. Matthews makes free throw 2 of 2,74,70
3,6:33.0,Turnover by N. Powell (traveling),,74,70
3,6:20.0,,H. Barnes misses 3-pt jump shot from 26 ft,74,70
3,6:17.0,Defensive rebound by S. Ibaka,,74,70
3,6:01.0,Turnover by N. Powell (lost ball; steal by D. Finney-Smith),,74,70
3,5:40.0,,W. Matthews misses 3-pt jump shot from 25 ft,74,70
3,5:36.0,,Offensive rebound by D. Smith,74,70
3,5:32.0,,D. Smith makes 2-pt layup from 1 ft,74,72
3,5:21.0,S. Ibaka misses 2-pt jump shot from 14 ft,,74,72
3,5:19.0,,Defensive rebound by H. Barnes,74,72
3,5:16.0,,D. Smith makes 3-pt jump shot from 25 ft (assist by H. Barnes),74,75
3,4:57.0,Shooting foul by D. Finney-Smith (drawn by K. Leonard),,74,75
3,4:57.0,K. Leonard makes free throw 1 of 2,,75,75
3,4:57.0,F. VanVleet enters the game for K. Lowry,,75,75
3,4:57.0,K. Leonard makes free throw 2 of 2,,76,75
3,4:42.0,,Personal foul by S. Ibaka (drawn by H. Barnes),76,75
3,4:42.0,,H. Barnes makes free throw 1 of 2,76,76
3,4:42.0,,H. Barnes makes free throw 2 of 2,76,77
3,4:24.0,Shooting foul by D. Jordan (drawn by N. Powell),,76,77
3,4:24.0,,Violation by Team (delay of game),76,77
3,4:24.0,N. Powell makes free throw 1 of 2,,77,77
3,4:24.0,,D. Powell enters the game for D. Jordan,77,77
3,4:24.0,N. Powell makes free throw 2 of 2,,78,77
3,4:11.0,,W. Matthews makes 2-pt layup from 3 ft (assist by D. Smith),78,79
3,4:11.0,,Shooting foul by P. Siakam (drawn by W. Matthews),78,79
3,4:11.0,O. Anunoby enters the game for S. Ibaka,,78,79
3,4:11.0,,W. Matthews makes free throw 1 of 1,78,80
3,3:50.0,P. Siakam misses 2-pt layup from 4 ft,,78,80
3,3:48.0,,Defensive rebound by D. Powell,78,80
3,3:36.0,,W. Matthews misses 3-pt jump shot from 26 ft,78,80
3,3:34.0,Defensive rebound by Team,,78,80
3,3:16.0,F. VanVleet makes 3-pt jump shot from 26 ft (assist by P. Siakam),,81,80
3,2:57.0,,Def 3 sec tech foul by Team,81,80
3,2:57.0,Toronto full timeout,,81,80
3,2:57.0,G. Monroe enters the game for O. Anunoby,,81,80
3,2:57.0,D. Wright enters the game for P. Siakam,,81,80
3,2:57.0,,L. Dončić enters the game for D. Smith,81,80
3,2:57.0,,H. Barnes makes technical free throw,81,81
3,2:57.0,,D. Nowitzki enters the game for H. Barnes,81,81
3,2:50.0,,D. Powell makes 2-pt dunk at rim (assist by L. Dončić),81,83
3,2:24.0,F. VanVleet misses 3-pt jump shot from 24 ft,,81,83
3,2:23.0,Offensive rebound by G. Monroe,,81,83
3,2:23.0,Turnover by Team (shot clock),,81,83
3,2:10.0,,L. Dončić misses 3-pt jump shot from 27 ft,81,83
3,2:06.0,Defensive rebound by F. VanVleet,,81,83
3,2:04.0,N. Powell makes 2-pt dunk from 1 ft (assist by F. VanVleet),,83,83
3,1:45.0,,L. Dončić makes 2-pt jump shot from 6 ft,83,85
3,1:24.0,F. VanVleet misses 2-pt layup from 2 ft,,83,85
3,1:22.0,,Defensive rebound by D. Finney-Smith,83,85
3,1:15.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft,83,85
3,1:12.0,,Offensive rebound by L. Dončić,83,85
3,1:08.0,,Shooting foul by N. Powell (drawn by L. Dončić),83,85
3,1:08.0,Technical foul by K. Leonard,,83,85
3,1:08.0,,D. Nowitzki misses technical free throw,83,85
3,1:08.0,,Offensive rebound by Team,83,85
3,1:08.0,,L. Dončić misses free throw 1 of 2,83,85
3,1:08.0,,Offensive rebound by Team,83,85
3,1:08.0,K. Lowry enters the game for K. Leonard,,83,85
3,1:08.0,,L. Dončić makes free throw 2 of 2,83,86
3,0:53.0,Turnover by D. Wright (bad pass; steal by D. Finney-Smith),,83,86
3,0:51.0,,D. Finney-Smith makes 2-pt dunk from 1 ft,83,88
3,0:32.0,K. Lowry misses 2-pt jump shot from 18 ft,,83,88
3,0:29.0,,Defensive rebound by L. Dončić,83,88
3,0:23.0,,W. Matthews misses 3-pt jump shot from 23 ft,83,88
3,0:20.0,Defensive rebound by D. Wright,,83,88
3,0:03.0,F. VanVleet makes 2-pt layup from 4 ft,,85,88
3,0:02.0,,L. Dončić misses 3-pt jump shot from 38 ft (block by K. Lowry),85,88
3,0:01.0,,Offensive rebound by L. Dončić,85,88
3,0:00.0,,L. Dončić misses 3-pt jump shot from 33 ft,85,88
3,0:00.0,,Offensive rebound by Team,85,88
4,11:43.0,,D. Powell makes 2-pt dunk from 1 ft (assist by L. Dončić),85,90
4,11:28.0,Turnover by D. Wright (bad pass),,85,90
4,11:21.0,,J. Brunson makes 2-pt jump shot from 12 ft,85,92
4,11:07.0,N. Powell makes 3-pt jump shot from 25 ft (assist by F. VanVleet),,88,92
4,10:48.0,,Turnover by L. Dončić (bad pass),88,92
4,10:36.0,F. VanVleet makes 3-pt jump shot from 23 ft (assist by S. Ibaka),,91,92
4,10:34.0,,Dallas full timeout,91,92
4,10:34.0,,M. Kleber enters the game for D. Nowitzki,91,92
4,10:19.0,,J. Brunson makes 2-pt layup from 1 ft (assist by M. Kleber),91,94
4,10:02.0,S. Ibaka makes 2-pt jump shot from 18 ft (assist by D. Wright),,93,94
4,9:49.0,,L. Dončić makes 2-pt layup from 1 ft,93,96
4,9:49.0,,Shooting foul by N. Powell (drawn by L. Dončić),93,96
4,9:49.0,D. Green enters the game for N. Powell,,93,96
4,9:49.0,P. Siakam enters the game for D. Wright,,93,96
4,9:49.0,,L. Dončić makes free throw 1 of 1,93,97
4,9:36.0,F. VanVleet misses 2-pt layup from 4 ft (block by D. Finney-Smith),,93,97
4,9:33.0,,Defensive rebound by L. Dončić,93,97
4,9:30.0,,L. Dončić makes 2-pt dunk from 1 ft,93,99
4,9:29.0,Toronto full timeout,,93,99
4,9:14.0,K. Lowry makes 3-pt jump shot from 28 ft (assist by S. Ibaka),,96,99
4,8:56.0,,D. Powell makes 2-pt dunk at rim (assist by L. Dončić),96,101
4,8:45.0,Personal foul by D. Powell (drawn by K. Lowry),,96,101
4,8:34.0,K. Lowry misses 2-pt jump shot from 18 ft,,96,101
4,8:30.0,,Defensive rebound by J. Brunson,96,101
4,8:18.0,,D. Finney-Smith misses 2-pt layup from 1 ft,96,101
4,8:16.0,Defensive rebound by D. Green,,96,101
4,8:10.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Lowry),,99,101
4,7:51.0,,L. Dončić makes 3-pt jump shot from 26 ft,99,104
4,7:45.0,Personal foul by M. Kleber (drawn by S. Ibaka),,99,104
4,7:31.0,P. Siakam misses 2-pt hook shot from 9 ft,,99,104
4,7:27.0,,Defensive rebound by D. Finney-Smith,99,104
