QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,GOLDEN STATE_ACTION,NEW ORLEANS_SCORE,GOLDEN STATE_SCORE
2,11:42.0,,S. Livingston makes 2-pt layup from 6 ft (assist by D. Green),39,33
2,11:42.0,,Shooting foul by D. Miller (drawn by S. Livingston),39,33
2,11:42.0,,S. Livingston makes free throw 1 of 1,39,34
2,11:30.0,Offensive foul by J. Okafor (drawn by D. Green),,39,34
2,11:30.0,Turnover by J. Okafor (offensive foul),,39,34
2,11:19.0,,A. Iguodala misses 2-pt jump shot from 20 ft,39,34
2,11:18.0,Defensive rebound by N. Mirotić,,39,34
2,11:09.0,E. Moore makes 2-pt layup from 3 ft (assist by E. Payton),,41,34
2,10:50.0,,S. Curry misses 3-pt jump shot from 28 ft,41,34
2,10:48.0,Defensive rebound by J. Okafor,,41,34
2,10:42.0,Shooting foul by J. Jerebko (drawn by N. Mirotić),,41,34
2,10:42.0,N. Mirotić makes free throw 1 of 3,,42,34
2,10:42.0,N. Mirotić makes free throw 2 of 3,,43,34
2,10:42.0,N. Mirotić makes free throw 3 of 3,,44,34
2,10:26.0,,D. Green misses 3-pt jump shot from 27 ft,44,34
2,10:24.0,Defensive rebound by E. Moore,,44,34
2,10:09.0,N. Mirotić makes 3-pt jump shot from 23 ft,,47,34
2,9:57.0,,Shooting foul by J. Okafor (drawn by A. Iguodala),47,34
2,9:57.0,,A. Iguodala misses free throw 1 of 2,47,34
2,9:57.0,,Offensive rebound by Team,47,34
2,9:57.0,,A. Iguodala misses free throw 2 of 2,47,34
2,9:55.0,Defensive rebound by J. Okafor,,47,34
2,9:40.0,N. Mirotić misses 3-pt jump shot from 29 ft,,47,34
2,9:38.0,,Defensive rebound by J. Jerebko,47,34
2,9:28.0,,S. Curry misses 2-pt jump shot from 20 ft,47,34
2,9:27.0,Defensive rebound by J. Okafor,,47,34
2,9:16.0,Shooting foul by S. Curry (drawn by E. Moore),,47,34
2,9:16.0,E. Moore makes free throw 1 of 2,,48,34
2,9:16.0,E. Moore makes free throw 2 of 2,,49,34
2,9:06.0,,S. Livingston misses 2-pt jump shot from 10 ft,49,34
2,9:05.0,Defensive rebound by J. Okafor,,49,34
2,8:55.0,N. Mirotić makes 2-pt hook shot from 8 ft (assist by J. Okafor),,51,34
2,8:48.0,,Golden State full timeout,51,34
2,8:48.0,,K. Looney enters the game for D. Green,51,34
2,8:48.0,,A. McKinnie enters the game for A. Iguodala,51,34
2,8:48.0,,K. Thompson enters the game for J. Jerebko,51,34
2,8:46.0,,K. Thompson makes 3-pt jump shot from 27 ft (assist by K. Looney),51,37
2,8:29.0,N. Mirotić makes 3-pt jump shot from 26 ft (assist by J. Okafor),,54,37
2,8:15.0,,A. McKinnie makes 3-pt jump shot from 23 ft (assist by S. Curry),54,40
2,8:04.0,E. Moore misses 2-pt jump shot from 12 ft,,54,40
2,8:03.0,,Defensive rebound by K. Looney,54,40
2,7:56.0,,S. Livingston makes 2-pt jump shot from 19 ft,54,42
2,7:45.0,Turnover by E. Payton (bad pass; steal by K. Looney),,54,42
2,7:38.0,,S. Curry makes 3-pt jump shot from 29 ft,54,45
2,7:32.0,New Orleans full timeout,,54,45
2,7:32.0,A. Davis enters the game for J. Okafor,,54,45
2,7:32.0,J. Holiday enters the game for E. Payton,,54,45
2,7:23.0,A. Davis makes 2-pt dunk from 2 ft (assist by J. Holiday),,56,45
2,7:00.0,,A. McKinnie misses 2-pt jump shot from 7 ft,56,45
2,6:58.0,,Offensive rebound by K. Looney,56,45
2,6:55.0,,A. McKinnie misses 3-pt jump shot from 23 ft,56,45
2,6:53.0,Defensive rebound by J. Holiday,,56,45
2,6:43.0,N. Mirotić makes 3-pt jump shot from 23 ft (assist by J. Holiday),,59,45
2,6:30.0,,K. Thompson misses 2-pt jump shot from 14 ft,59,45
2,6:29.0,Defensive rebound by J. Holiday,,59,45
2,6:22.0,J. Holiday misses 3-pt jump shot from 26 ft,,59,45
2,6:20.0,,Defensive rebound by A. McKinnie,59,45
2,6:11.0,,Offensive foul by K. Thompson (drawn by A. Davis),59,45
2,6:11.0,,Turnover by K. Thompson (offensive foul),59,45
2,6:11.0,,K. Durant enters the game for A. McKinnie,59,45
2,5:55.0,N. Mirotić misses 3-pt jump shot from 25 ft,,59,45
2,5:53.0,,Defensive rebound by K. Durant,59,45
2,5:48.0,,K. Durant misses 3-pt jump shot from 26 ft,59,45
2,5:46.0,Defensive rebound by N. Mirotić,,59,45
2,5:40.0,E. Moore makes 2-pt jump shot from 7 ft (assist by N. Mirotić),,61,45
2,5:31.0,,Shooting foul by A. Davis (drawn by K. Looney),61,45
2,5:31.0,,K. Looney misses free throw 1 of 2,61,45
2,5:31.0,,Offensive rebound by Team,61,45
2,5:31.0,J. Randle enters the game for N. Mirotić,,61,45
2,5:31.0,,K. Looney makes free throw 2 of 2,61,46
2,5:18.0,D. Miller misses 2-pt jump shot from 13 ft,,61,46
2,5:17.0,,Defensive rebound by K. Looney,61,46
2,5:09.0,,Shooting foul by J. Randle (drawn by S. Curry),61,46
2,5:09.0,,S. Curry makes free throw 1 of 2,61,47
2,5:09.0,,S. Curry makes free throw 2 of 2,61,48
2,4:56.0,J. Holiday misses 3-pt jump shot from 25 ft,,61,48
2,4:54.0,,Defensive rebound by K. Thompson,61,48
2,4:48.0,,S. Livingston makes 2-pt dunk from 1 ft (assist by K. Thompson),61,50
2,4:36.0,A. Davis makes 2-pt jump shot from 9 ft,,63,50
2,4:28.0,,Personal foul by E. Moore (drawn by S. Livingston),63,50
2,4:28.0,,S. Livingston makes free throw 1 of 2,63,51
2,4:28.0,F. Jackson enters the game for D. Miller,,63,51
2,4:28.0,E. Payton enters the game for E. Moore,,63,51
2,4:28.0,,S. Livingston makes free throw 2 of 2,63,52
2,4:13.0,F. Jackson misses 2-pt jump shot from 14 ft,,63,52
2,4:12.0,,Defensive rebound by S. Curry,63,52
2,4:08.0,,Shooting foul by J. Randle (drawn by S. Livingston),63,52
2,4:08.0,,S. Livingston makes free throw 1 of 2,63,53
2,4:08.0,,D. Green enters the game for K. Looney,63,53
2,4:08.0,,S. Livingston makes free throw 2 of 2,63,54
2,3:58.0,A. Davis misses 2-pt jump shot from 5 ft,,63,54
2,3:57.0,,Defensive rebound by K. Durant,63,54
2,3:48.0,,S. Curry misses 3-pt jump shot from 27 ft,63,54
2,3:46.0,Defensive rebound by A. Davis,,63,54
2,3:40.0,Shooting foul by K. Durant (drawn by J. Randle),,63,54
2,3:40.0,J. Randle makes free throw 1 of 2,,64,54
2,3:40.0,,A. Iguodala enters the game for S. Livingston,64,54
2,3:40.0,J. Randle makes free throw 2 of 2,,65,54
2,3:31.0,,K. Durant makes 3-pt jump shot from 23 ft (assist by D. Green),65,57
2,3:21.0,J. Holiday misses 2-pt layup from 1 ft,,65,57
2,3:20.0,,Defensive rebound by D. Green,65,57
2,3:15.0,,K. Thompson makes 3-pt jump shot from 27 ft,65,60
2,3:05.0,New Orleans full timeout,,65,60
2,3:05.0,D. Miller enters the game for F. Jackson,,65,60
2,3:05.0,N. Mirotić enters the game for J. Randle,,65,60
2,2:54.0,E. Payton misses 2-pt hook shot from 10 ft,,65,60
2,2:52.0,,Defensive rebound by K. Thompson,65,60
2,2:43.0,,D. Green makes 2-pt jump shot from 13 ft (assist by K. Thompson),65,62
2,2:26.0,J. Holiday misses 2-pt jump shot from 8 ft,,65,62
2,2:25.0,,Defensive rebound by K. Durant,65,62
2,2:21.0,,Turnover by K. Thompson (step out of bounds),65,62
2,2:09.0,A. Davis makes 3-pt jump shot from 27 ft (assist by E. Payton),,68,62
2,1:47.0,,A. Iguodala misses 3-pt jump shot from 23 ft,68,62
2,1:45.0,Defensive rebound by N. Mirotić,,68,62
2,1:39.0,A. Davis makes 2-pt dunk from 1 ft (assist by E. Payton),,70,62
2,1:24.0,,Shooting foul by J. Holiday (drawn by S. Curry),70,62
2,1:24.0,,S. Curry makes free throw 1 of 2,70,63
2,1:24.0,,S. Curry makes free throw 2 of 2,70,64
2,1:09.0,A. Davis misses 2-pt jump shot from 10 ft,,70,64
2,1:08.0,,Defensive rebound by K. Thompson,70,64
2,0:59.0,,Turnover by S. Curry (bad pass; steal by D. Miller),70,64
2,0:53.0,E. Payton misses 3-pt jump shot from 27 ft,,70,64
2,0:51.0,,Defensive rebound by D. Green,70,64
2,0:44.0,,K. Durant makes 2-pt dunk from 2 ft (assist by A. Iguodala),70,66
2,0:33.0,J. Holiday misses 2-pt jump shot from 18 ft,,70,66
2,0:32.0,,Defensive rebound by S. Curry,70,66
2,0:26.0,,K. Durant misses 3-pt jump shot from 23 ft,70,66
2,0:24.0,Defensive rebound by J. Holiday,,70,66
2,0:01.0,Shooting foul by K. Thompson (drawn by J. Holiday),,70,66
2,0:01.0,J. Holiday makes free throw 1 of 2,,71,66
2,0:01.0,J. Holiday misses free throw 2 of 2,,71,66
2,0:01.0,Offensive rebound by A. Davis,,71,66
2,0:00.0,A. Davis misses 2-pt jump shot from 12 ft,,71,66
2,0:00.0,Offensive rebound by Team,,71,66
3,11:46.0,,D. Green makes 3-pt jump shot from 26 ft (assist by S. Curry),71,69
3,11:24.0,Shooting foul by D. Green (drawn by J. Holiday),,71,69
3,11:24.0,J. Holiday makes free throw 1 of 2,,72,69
3,11:24.0,J. Holiday makes free throw 2 of 2,,73,69
3,11:11.0,,K. Thompson misses 2-pt layup from 2 ft,73,69
3,11:10.0,Defensive rebound by J. Randle,,73,69
3,11:00.0,A. Davis misses 3-pt jump shot from 27 ft,,73,69
3,10:58.0,,Defensive rebound by S. Curry,73,69
3,10:54.0,,K. Thompson misses 3-pt jump shot from 27 ft,73,69
3,10:52.0,Defensive rebound by J. Randle,,73,69
3,10:45.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by J. Randle),,76,69
3,10:27.0,,S. Curry misses 3-pt jump shot from 27 ft,76,69
3,10:25.0,Defensive rebound by E. Payton,,76,69
3,10:20.0,Turnover by E. Payton (bad pass; steal by D. Green),,76,69
3,10:14.0,,K. Durant misses 2-pt layup from 2 ft,76,69
3,10:13.0,Defensive rebound by J. Randle,,76,69
3,10:07.0,J. Holiday misses 3-pt jump shot from 28 ft,,76,69
3,10:05.0,,Defensive rebound by K. Durant,76,69
3,9:54.0,,Shooting foul by J. Randle (drawn by D. Green),76,69
3,9:54.0,,D. Green misses free throw 1 of 2,76,69
3,9:54.0,,Offensive rebound by Team,76,69
3,9:54.0,,D. Green makes free throw 2 of 2,76,70
3,9:41.0,J. Randle makes 3-pt jump shot from 26 ft (assist by A. Davis),,79,70
3,9:30.0,,K. Durant misses 3-pt jump shot from 26 ft,79,70
3,9:28.0,Defensive rebound by A. Davis,,79,70
3,9:09.0,Shooting foul by D. Green (drawn by J. Randle),,79,70
3,9:09.0,J. Randle makes free throw 1 of 2,,80,70
3,9:09.0,J. Randle makes free throw 2 of 2,,81,70
3,9:00.0,,K. Durant makes 2-pt jump shot from 19 ft (assist by D. Green),81,72
3,8:49.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by E. Payton),,84,72
3,8:39.0,,Golden State full timeout,84,72
3,8:33.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),84,75
3,8:13.0,J. Randle makes 3-pt jump shot from 24 ft (assist by E. Payton),,87,75
3,7:52.0,,K. Looney misses 2-pt layup from 4 ft (block by A. Davis),87,75
3,7:50.0,Defensive rebound by A. Davis,,87,75
3,7:47.0,E. Moore makes 2-pt jump shot from 8 ft (assist by E. Payton),,89,75
3,7:32.0,,D. Green makes 2-pt layup from 3 ft (assist by S. Curry),89,77
3,7:27.0,Turnover by E. Payton (bad pass; steal by K. Durant),,89,77
3,7:21.0,,K. Durant makes 3-pt jump shot from 26 ft,89,80
3,6:52.0,E. Moore makes 3-pt jump shot from 26 ft (assist by E. Payton),,92,80
3,6:33.0,,Turnover by S. Curry (bad pass; steal by E. Payton),92,80
3,6:28.0,Shooting foul by K. Thompson (drawn by A. Davis),,92,80
3,6:28.0,A. Davis makes free throw 1 of 2,,93,80
3,6:28.0,A. Davis makes free throw 2 of 2,,94,80
3,6:14.0,,S. Curry misses 2-pt jump shot from 10 ft,94,80
3,6:13.0,Defensive rebound by J. Randle,,94,80
3,6:02.0,J. Randle makes 2-pt layup from 3 ft,,96,80
3,6:01.0,,Golden State full timeout,96,80
3,6:01.0,,A. Iguodala enters the game for D. Green,96,80
3,5:49.0,,K. Thompson misses 3-pt jump shot from 26 ft,96,80
3,5:47.0,Defensive rebound by A. Davis,,96,80
3,5:39.0,Personal foul by A. Iguodala (drawn by A. Davis),,96,80
3,5:33.0,E. Moore misses 2-pt jump shot from 7 ft (block by K. Looney),,96,80
3,5:31.0,,Defensive rebound by A. Iguodala,96,80
3,5:22.0,,K. Durant misses 2-pt jump shot from 16 ft,96,80
3,5:18.0,Defensive rebound by J. Randle,,96,80
3,5:18.0,D. Miller enters the game for E. Moore,,96,80
3,5:18.0,N. Mirotić enters the game for J. Randle,,96,80
3,5:08.0,J. Holiday misses 2-pt jump shot from 11 ft,,96,80
3,5:06.0,,Defensive rebound by S. Curry,96,80
3,5:02.0,,S. Curry makes 2-pt layup from 2 ft,96,82
3,4:49.0,A. Davis makes 2-pt hook shot from 11 ft (assist by E. Payton),,98,82
3,4:34.0,,Turnover by K. Durant (bad pass; steal by N. Mirotić),98,82
3,4:21.0,N. Mirotić misses 3-pt jump shot from 23 ft,,98,82
3,4:19.0,,Defensive rebound by A. Iguodala,98,82
3,4:12.0,,Personal foul by E. Payton (drawn by S. Curry),98,82
3,4:12.0,,D. Green enters the game for K. Looney,98,82
3,4:12.0,,A. McKinnie enters the game for K. Thompson,98,82
3,4:05.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by A. Iguodala),98,85
3,3:49.0,D. Miller makes 3-pt jump shot from 27 ft (assist by E. Payton),,101,85
3,3:39.0,,K. Durant makes 2-pt layup from 3 ft (assist by D. Green),101,87
3,3:39.0,,Shooting foul by N. Mirotić (drawn by K. Durant),101,87
3,3:39.0,,K. Durant makes free throw 1 of 1,101,88
3,3:25.0,J. Holiday misses 2-pt jump shot from 11 ft,,101,88
3,3:24.0,,Defensive rebound by A. McKinnie,101,88
3,3:15.0,,Personal foul by E. Payton (drawn by K. Durant),101,88
3,3:15.0,F. Jackson enters the game for E. Payton,,101,88
3,3:05.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Durant),101,91
3,2:48.0,N. Mirotić makes 3-pt jump shot from 26 ft (assist by A. Davis),,104,91
3,2:37.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),104,94
3,2:27.0,Turnover by A. Davis (bad pass; steal by K. Durant),,104,94
3,2:19.0,,A. Iguodala makes 2-pt layup from 1 ft,104,96
3,2:19.0,New Orleans full timeout,,104,96
3,2:19.0,I. Clark enters the game for F. Jackson,,104,96
3,2:08.0,A. Davis misses 2-pt jump shot from 15 ft,,104,96
3,2:07.0,,Defensive rebound by A. McKinnie,104,96
3,1:59.0,,K. Durant misses 3-pt jump shot from 26 ft,104,96
3,1:59.0,,Offensive rebound by S. Curry,104,96
3,1:48.0,,S. Curry makes 3-pt jump shot from 28 ft,104,99
3,1:32.0,Turnover by I. Clark (out of bounds lost ball),,104,99
3,1:24.0,,S. Curry makes 3-pt jump shot from 28 ft,104,102
3,1:08.0,Shooting foul by A. Iguodala (drawn by A. Davis),,104,102
3,1:08.0,A. Davis makes free throw 1 of 2,,105,102
3,1:08.0,A. Davis makes free throw 2 of 2,,106,102
3,0:57.0,,A. McKinnie makes 2-pt dunk from 1 ft (assist by D. Green),106,104
3,0:40.0,A. Davis makes 2-pt dunk from 2 ft (assist by D. Miller),,108,104
3,0:40.0,Shooting foul by K. Durant (drawn by A. Davis),,108,104
3,0:40.0,A. Davis makes free throw 1 of 1,,109,104
3,0:33.0,,S. Curry makes 3-pt jump shot from 31 ft,109,107
3,0:21.0,A. Davis misses 2-pt jump shot from 18 ft,,109,107
3,0:19.0,Offensive rebound by N. Mirotić,,109,107
3,0:19.0,,J. Evans enters the game for S. Curry,109,107
3,0:05.0,Turnover by D. Miller (bad pass; steal by A. McKinnie),,109,107
3,0:00.0,,A. Iguodala makes 2-pt layup from 2 ft,109,109
3,0:00.0,,Shooting foul by J. Holiday (drawn by A. Iguodala),109,109
3,0:00.0,,A. Iguodala makes free throw 1 of 1,109,110
4,11:46.0,A. Davis makes 2-pt layup from 2 ft (assist by J. Holiday),,111,110
4,11:46.0,Shooting foul by A. McKinnie (drawn by A. Davis),,111,110
4,11:46.0,E. Moore enters the game for I. Clark,,111,110
4,11:46.0,A. Davis makes free throw 1 of 1,,112,110
4,11:35.0,,A. Iguodala misses 2-pt jump shot from 9 ft,112,110
4,11:34.0,Defensive rebound by A. Davis,,112,110
4,11:15.0,A. Davis misses 2-pt hook shot from 9 ft,,112,110
4,11:13.0,,Defensive rebound by K. Thompson,112,110
4,11:07.0,,A. Iguodala misses 3-pt jump shot from 23 ft,112,110
4,11:05.0,Defensive rebound by E. Moore,,112,110
4,10:52.0,J. Holiday makes 2-pt layup from 2 ft,,114,110
4,10:42.0,,K. Thompson misses 2-pt jump shot from 12 ft,114,110
4,10:41.0,Defensive rebound by A. Davis,,114,110
4,10:34.0,D. Miller misses 3-pt jump shot from 29 ft,,114,110
4,10:32.0,,Defensive rebound by A. Iguodala,114,110
4,10:26.0,,A. Iguodala makes 2-pt layup from 3 ft,114,112
4,10:26.0,,Shooting foul by N. Mirotić (drawn by A. Iguodala),114,112
4,10:26.0,E. Payton enters the game for J. Holiday,,114,112
4,10:26.0,,K. Looney enters the game for D. Green,114,112
4,10:26.0,,A. Iguodala makes free throw 1 of 1,114,113
4,10:16.0,E. Moore makes 2-pt layup from 2 ft (assist by A. Davis),,116,113
4,10:02.0,,K. Thompson misses 2-pt jump shot from 19 ft,116,113
4,10:00.0,,Offensive rebound by K. Looney,116,113
4,9:51.0,,K. Thompson makes 2-pt jump shot from 18 ft (assist by A. Iguodala),116,115
4,9:40.0,,Violation by Team (kicked ball),116,115
4,9:28.0,E. Payton makes 2-pt layup from 1 ft (assist by A. Davis),,118,115
4,9:28.0,Shooting foul by K. Looney (drawn by E. Payton),,118,115
4,9:28.0,E. Payton misses free throw 1 of 1,,118,115
4,9:26.0,,Defensive rebound by A. Iguodala,118,115
4,9:17.0,,A. Iguodala makes 3-pt jump shot from 26 ft (assist by K. Thompson),118,118
4,9:04.0,E. Payton misses 2-pt jump shot from 5 ft,,118,118
4,9:02.0,,Defensive rebound by K. Thompson,118,118
4,8:57.0,Violation by Team (kicked ball),,118,118
4,8:45.0,,S. Livingston misses 2-pt jump shot from 9 ft,118,118
4,8:44.0,Defensive rebound by A. Davis,,118,118
4,8:34.0,N. Mirotić makes 2-pt jump shot from 21 ft (assist by E. Payton),,120,118
4,8:17.0,,K. Looney misses 2-pt jump shot from 15 ft,120,118
4,8:16.0,Defensive rebound by E. Payton,,120,118
4,8:09.0,E. Moore misses 2-pt layup from 4 ft (block by A. McKinnie),,120,118
