QUARTER,TIME_REMAINING,INDIANA_ACTION,MEMPHIS_ACTION,INDIANA_SCORE,MEMPHIS_SCORE
2,5:43.0,T. Evans enters the game for D. McDermott,,33,39
2,5:43.0,D. Sabonis makes free throw 2 of 2,,34,39
2,5:27.0,,Turnover by M. Conley (lost ball; steal by D. Collison),34,39
2,5:19.0,C. Joseph makes 2-pt jump shot from 10 ft (assist by D. Collison),,36,39
2,5:18.0,,Memphis full timeout,36,39
2,5:18.0,B. Bogdanović enters the game for C. Joseph,,36,39
2,5:18.0,M. Turner enters the game for D. Sabonis,,36,39
2,5:05.0,,M. Conley misses 3-pt jump shot from 24 ft,36,39
2,5:01.0,Defensive rebound by B. Bogdanović,,36,39
2,4:53.0,Offensive foul by T. Young (drawn by M. Conley),,36,39
2,4:53.0,Turnover by T. Young (offensive foul),,36,39
2,4:53.0,D. Sabonis enters the game for T. Young,,36,39
2,4:41.0,,J. Jackson misses 2-pt layup from 2 ft (block by M. Turner),36,39
2,4:39.0,Defensive rebound by D. Sabonis,,36,39
2,4:30.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,36,39
2,4:26.0,,Defensive rebound by M. Conley,36,39
2,4:19.0,,M. Gasol misses 3-pt jump shot from 26 ft,36,39
2,4:16.0,Defensive rebound by D. Sabonis,,36,39
2,4:09.0,Turnover by T. Evans (bad pass),,36,39
2,3:55.0,,M. Conley makes 2-pt jump shot from 13 ft,36,41
2,3:37.0,T. Evans misses 2-pt jump shot from 21 ft,,36,41
2,3:35.0,,Defensive rebound by M. Gasol,36,41
2,3:20.0,,Turnover by M. Conley (bad pass),36,41
2,3:09.0,B. Bogdanović makes 2-pt jump shot from 4 ft (assist by D. Collison),,38,41
2,2:43.0,,M. Conley misses 3-pt jump shot from 25 ft,38,41
2,2:43.0,,Offensive rebound by Team,38,41
2,2:43.0,Loose ball foul by D. Sabonis (drawn by J. Jackson),,38,41
2,2:43.0,,J. Noah enters the game for M. Gasol,38,41
2,2:37.0,,Shooting foul by D. Collison (drawn by M. Conley),38,41
2,2:37.0,,M. Conley makes free throw 1 of 3,38,42
2,2:37.0,,M. Conley makes free throw 2 of 3,38,43
2,2:37.0,,B. Caboclo enters the game for J. Carter,38,43
2,2:37.0,,M. Conley makes free throw 3 of 3,38,44
2,2:25.0,Turnover by D. Collison (lost ball; steal by M. Conley),,38,44
2,2:15.0,,M. Conley makes 3-pt jump shot from 25 ft (assist by J. Jackson),38,47
2,1:49.0,D. Sabonis misses 2-pt jump shot from 18 ft,,38,47
2,1:48.0,,Defensive rebound by J. Jackson,38,47
2,1:38.0,,J. Jackson makes 2-pt jump shot from 13 ft (assist by M. Conley),38,49
2,1:19.0,T. Evans makes 2-pt layup from 1 ft,,40,49
2,0:55.0,,J. Jackson makes 2-pt hook shot from 9 ft,40,51
2,0:47.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Collison),,42,51
2,0:36.0,,J. Noah makes 2-pt dunk from 2 ft (assist by J. Holiday),42,53
2,0:29.0,D. Sabonis misses 2-pt layup from 1 ft,,42,53
2,0:27.0,,Defensive rebound by Team,42,53
2,0:27.0,C. Joseph enters the game for D. Collison,,42,53
2,0:27.0,K. O'Quinn enters the game for M. Turner,,42,53
2,0:03.0,,Turnover by Team (shot clock),42,53
2,0:00.0,T. Evans misses 2-pt layup from 2 ft (block by B. Caboclo),,42,53
2,0:00.0,Offensive rebound by Team,,42,53
3,11:43.0,B. Bogdanović makes 2-pt layup from 4 ft (assist by M. Turner),,44,53
3,11:19.0,,J. Carter misses 2-pt jump shot from 17 ft,44,53
3,11:16.0,Defensive rebound by T. Young,,44,53
3,11:16.0,Personal foul by J. Carter (drawn by T. Young),,44,53
3,10:57.0,D. Collison makes 3-pt jump shot from 23 ft (assist by M. Turner),,47,53
3,10:44.0,,J. Jackson makes 2-pt layup from 2 ft (assist by M. Conley),47,55
3,10:32.0,B. Bogdanović misses 2-pt layup from 2 ft,,47,55
3,10:30.0,,Defensive rebound by M. Conley,47,55
3,10:23.0,,M. Conley makes 2-pt layup from 3 ft,47,57
3,10:11.0,Personal foul by J. Holiday (drawn by M. Turner),,47,57
3,9:58.0,T. Evans makes 2-pt jump shot from 20 ft,,49,57
3,9:35.0,,M. Gasol misses 2-pt hook shot from 7 ft,49,57
3,9:33.0,Defensive rebound by T. Evans,,49,57
3,9:22.0,T. Young misses 3-pt jump shot from 26 ft,,49,57
3,9:17.0,,Defensive rebound by J. Jackson,49,57
3,9:12.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by M. Conley),49,60
3,8:50.0,M. Turner makes 2-pt jump shot from 7 ft (assist by T. Young),,51,60
3,8:35.0,,M. Gasol misses 2-pt jump shot from 10 ft,51,60
3,8:33.0,Defensive rebound by T. Young,,51,60
3,8:28.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Collison),,53,60
3,8:28.0,,Violation by Team (def goaltending),53,60
3,8:03.0,,J. Jackson makes 2-pt jump shot from 11 ft,53,62
3,7:53.0,B. Bogdanović misses 2-pt jump shot from 14 ft,,53,62
3,7:51.0,,Defensive rebound by J. Jackson,53,62
3,7:46.0,,M. Conley makes 2-pt layup from 2 ft,53,64
3,7:46.0,,Shooting foul by D. Collison (drawn by M. Conley),53,64
3,7:46.0,,M. Conley misses free throw 1 of 1,53,64
3,7:44.0,Defensive rebound by B. Bogdanović,,53,64
3,7:32.0,T. Evans makes 3-pt jump shot from 23 ft (assist by M. Turner),,56,64
3,7:12.0,,Shooting foul by T. Young (drawn by J. Jackson),56,64
3,7:12.0,,J. Jackson misses free throw 1 of 2,56,64
3,7:12.0,,Offensive rebound by Team,56,64
3,7:12.0,D. Sabonis enters the game for T. Young,,56,64
3,7:12.0,,J. Jackson makes free throw 2 of 2,56,65
3,6:55.0,Turnover by T. Evans (lost ball; steal by J. Holiday),,56,65
3,6:55.0,,Personal foul by T. Evans (drawn by J. Holiday),56,65
3,6:55.0,,Memphis full timeout,56,65
3,6:39.0,,J. Carter misses 3-pt jump shot from 26 ft,56,65
3,6:36.0,Defensive rebound by M. Turner,,56,65
3,6:25.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,56,65
3,6:23.0,,Defensive rebound by M. Gasol,56,65
3,6:02.0,,J. Jackson misses 2-pt jump shot from 12 ft,56,65
3,5:59.0,Defensive rebound by T. Evans,,56,65
3,5:51.0,M. Turner misses 3-pt jump shot from 26 ft,,56,65
3,5:46.0,Offensive rebound by D. Sabonis,,56,65
3,5:44.0,D. Sabonis makes 2-pt hook shot from 3 ft,,58,65
3,5:17.0,,Turnover by M. Conley (bad pass; steal by D. Sabonis),58,65
3,5:12.0,T. Evans makes 2-pt layup from 7 ft,,60,65
3,5:10.0,,Memphis full timeout,60,65
3,5:10.0,,B. Caboclo enters the game for J. Carter,60,65
3,5:10.0,,S. Mack enters the game for M. Conley,60,65
3,5:10.0,,I. Rabb enters the game for J. Jackson,60,65
3,4:58.0,,Turnover by J. Holiday (bad pass; steal by M. Turner),60,65
3,4:54.0,T. Evans misses 2-pt layup from 6 ft (block by I. Rabb),,60,65
3,4:51.0,Offensive rebound by Team,,60,65
3,4:46.0,M. Turner misses 2-pt jump shot from 18 ft,,60,65
3,4:42.0,,Defensive rebound by I. Rabb,60,65
3,4:28.0,,Turnover by I. Rabb (traveling),60,65
3,4:28.0,C. Joseph enters the game for T. Evans,,60,65
3,4:18.0,M. Turner makes 3-pt jump shot from 26 ft (assist by D. Collison),,63,65
3,3:56.0,,I. Rabb makes 2-pt dunk from 1 ft (assist by J. Holiday),63,67
3,3:41.0,D. Collison makes 2-pt layup from 1 ft,,65,67
3,3:31.0,,S. Mack misses 2-pt jump shot from 6 ft,65,67
3,3:26.0,Defensive rebound by D. Collison,,65,67
3,3:15.0,M. Turner makes 2-pt dunk from 1 ft (assist by D. Collison),,67,67
3,2:59.0,,S. Mack makes 2-pt layup at rim (assist by M. Gasol),67,69
3,2:55.0,Indiana full timeout,,67,69
3,2:55.0,D. McDermott enters the game for B. Bogdanović,,67,69
3,2:55.0,,J. Noah enters the game for M. Gasol,67,69
3,2:37.0,D. McDermott misses 3-pt jump shot from 24 ft,,67,69
3,2:34.0,,Defensive rebound by J. Noah,67,69
3,2:25.0,,Shooting foul by C. Joseph (drawn by J. Holiday),67,69
3,2:25.0,,J. Holiday makes free throw 1 of 2,67,70
3,2:25.0,A. Holiday enters the game for D. Collison,,67,70
3,2:25.0,,J. Holiday makes free throw 2 of 2,67,71
3,2:09.0,Turnover by D. Sabonis (bad pass; steal by B. Caboclo),,67,71
3,1:49.0,,Turnover by S. Mack (traveling),67,71
3,1:34.0,C. Joseph misses 3-pt jump shot from 26 ft,,67,71
3,1:31.0,,Defensive rebound by J. Noah,67,71
3,1:27.0,,Personal foul by A. Holiday (drawn by S. Mack),67,71
3,1:27.0,,S. Mack misses free throw 1 of 2,67,71
3,1:27.0,,Offensive rebound by Team,67,71
3,1:27.0,T. Leaf enters the game for M. Turner,,67,71
3,1:27.0,,S. Mack makes free throw 2 of 2,67,72
3,1:09.0,D. Sabonis makes 2-pt hook shot from 9 ft,,69,72
3,0:52.0,,B. Caboclo makes 3-pt jump shot from 25 ft (assist by J. Noah),69,75
3,0:40.0,A. Holiday misses 2-pt layup from 1 ft (block by J. Noah),,69,75
3,0:37.0,Offensive rebound by A. Holiday,,69,75
3,0:29.0,A. Holiday misses 3-pt jump shot from 26 ft,,69,75
3,0:26.0,,Defensive rebound by S. Mack,69,75
3,0:18.0,,J. Noah misses 2-pt hook shot from 4 ft (block by T. Leaf),69,75
3,0:16.0,Defensive rebound by T. Leaf,,69,75
3,0:09.0,A. Holiday misses 3-pt jump shot from 26 ft,,69,75
3,0:07.0,,Defensive rebound by Team,69,75
3,0:07.0,Loose ball foul by D. Sabonis (drawn by J. Noah),,69,75
3,0:07.0,,J. Noah makes free throw 1 of 2,69,76
3,0:07.0,,J. Carter enters the game for I. Rabb,69,76
3,0:07.0,,J. Noah misses free throw 2 of 2,69,76
3,0:02.0,,Offensive rebound by B. Caboclo,69,76
3,0:01.0,,S. Mack makes 2-pt jump shot from 3 ft (assist by B. Caboclo),69,78
3,0:00.0,C. Joseph misses 2-pt layup from 5 ft,,69,78
3,0:00.0,Offensive rebound by Team,,69,78
4,11:39.0,,B. Caboclo misses 3-pt jump shot from 23 ft,69,78
4,11:36.0,Defensive rebound by C. Joseph,,69,78
4,11:29.0,A. Holiday misses 2-pt jump shot from 19 ft,,69,78
4,11:24.0,,Defensive rebound by J. Holiday,69,78
4,11:10.0,,J. Noah makes 2-pt hook shot from 2 ft,69,80
4,10:55.0,Personal foul by J. Holiday (drawn by D. McDermott),,69,80
4,10:48.0,Shooting foul by J. Holiday (drawn by C. Joseph),,69,80
4,10:48.0,C. Joseph makes free throw 1 of 2,,70,80
4,10:48.0,,J. Carter enters the game for J. Holiday,70,80
4,10:48.0,C. Joseph makes free throw 2 of 2,,71,80
4,10:30.0,,Personal foul by B. Bogdanović (drawn by I. Rabb),71,80
4,10:20.0,,Turnover by J. Noah (bad pass; steal by C. Joseph),71,80
4,10:11.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,71,80
4,10:11.0,,Defensive rebound by Team,71,80
4,9:45.0,,Shooting foul by B. Bogdanović (drawn by J. Carter),71,80
4,9:45.0,,J. Carter misses free throw 1 of 2,71,80
4,9:45.0,,Offensive rebound by Team,71,80
4,9:45.0,,J. Carter misses free throw 2 of 2,71,80
4,9:44.0,Defensive rebound by Team,,71,80
4,9:44.0,,Loose ball foul by J. Noah (drawn by D. Sabonis),71,80
4,9:29.0,Turnover by D. McDermott (bad pass; steal by S. Mack),,71,80
4,9:18.0,,B. Caboclo misses 2-pt layup from 2 ft,71,80
4,9:16.0,Defensive rebound by D. Sabonis,,71,80
4,8:58.0,D. McDermott makes 3-pt jump shot from 23 ft (assist by C. Joseph),,74,80
4,8:38.0,,J. Carter misses 3-pt jump shot from 26 ft,74,80
4,8:35.0,Defensive rebound by D. Sabonis,,74,80
4,8:30.0,A. Holiday misses 2-pt jump shot from 20 ft,,74,80
4,8:26.0,,Defensive rebound by S. Mack,74,80
4,8:16.0,,J. Carter misses 2-pt jump shot from 12 ft,74,80
4,8:13.0,,Offensive rebound by J. Noah,74,80
4,8:13.0,,J. Noah misses 2-pt layup from 1 ft,74,80
4,8:13.0,Defensive rebound by C. Joseph,,74,80
4,8:09.0,D. McDermott misses 2-pt jump shot from 20 ft,,74,80
4,8:07.0,,Defensive rebound by S. Mack,74,80
4,7:57.0,,S. Mack makes 2-pt layup from 1 ft,74,82
4,7:57.0,,Shooting foul by A. Holiday (drawn by S. Mack),74,82
4,7:57.0,,M. Conley enters the game for J. Carter,74,82
4,7:57.0,,M. Gasol enters the game for J. Noah,74,82
4,7:57.0,,J. Jackson enters the game for I. Rabb,74,82
4,7:57.0,,S. Mack makes free throw 1 of 1,74,83
4,7:57.0,Indiana full timeout,,74,83
4,7:57.0,D. Collison enters the game for A. Holiday,,74,83
4,7:57.0,T. Young enters the game for D. McDermott,,74,83
4,7:44.0,,Technical foul by J. Jackson,74,83
4,7:44.0,B. Bogdanović makes technical free throw,,75,83
4,7:44.0,Shooting foul by J. Jackson (drawn by D. Sabonis),,75,83
4,7:44.0,D. Sabonis makes free throw 2 of 2,,76,83
4,7:44.0,D. Sabonis makes free throw 1 of 2,,77,83
4,7:26.0,,M. Conley makes 2-pt jump shot from 20 ft (assist by S. Mack),77,85
4,6:59.0,C. Joseph makes 2-pt jump shot from 9 ft,,79,85
4,6:39.0,,S. Mack misses 3-pt jump shot from 22 ft,79,85
4,6:37.0,Defensive rebound by Team,,79,85
4,6:37.0,,Loose ball foul by J. Jackson (drawn by T. Young),79,85
4,6:37.0,T. Young misses free throw 1 of 2,,79,85
4,6:37.0,Offensive rebound by Team,,79,85
4,6:37.0,T. Young makes free throw 2 of 2,,80,85
4,6:17.0,,S. Mack misses 2-pt jump shot from 9 ft,80,85
4,6:15.0,Defensive rebound by B. Bogdanović,,80,85
4,6:04.0,Turnover by D. Sabonis (traveling),,80,85
4,6:04.0,,J. Holiday enters the game for S. Mack,80,85
4,5:46.0,,Turnover by J. Jackson (lost ball; steal by T. Young),80,85
4,5:43.0,Turnover by D. Sabonis (bad pass),,80,85
4,5:23.0,,M. Conley misses 2-pt jump shot from 11 ft,80,85
4,5:19.0,,Offensive rebound by J. Jackson,80,85
4,5:19.0,,J. Jackson misses 2-pt layup from 1 ft,80,85
4,5:18.0,Defensive rebound by T. Young,,80,85
4,5:02.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,80,85
4,4:59.0,Offensive rebound by T. Young,,80,85
4,4:59.0,T. Young makes 2-pt dunk at rim,,82,85
4,4:59.0,,Memphis full timeout,82,85
4,4:45.0,,M. Gasol makes 2-pt hook shot from 11 ft,82,87
4,4:27.0,Turnover by D. Collison (bad pass; steal by M. Gasol),,82,87
4,4:21.0,,M. Gasol makes 3-pt jump shot from 27 ft (assist by M. Conley),82,90
4,4:19.0,Indiana full timeout,,82,90
4,4:19.0,M. Turner enters the game for D. Sabonis,,82,90
4,4:03.0,Shooting foul by J. Jackson (drawn by B. Bogdanović),,82,90
4,4:03.0,B. Bogdanović makes free throw 1 of 2,,83,90
4,4:03.0,T. Evans enters the game for C. Joseph,,83,90
4,4:03.0,B. Bogdanović makes free throw 2 of 2,,84,90
4,3:52.0,,M. Gasol misses 3-pt jump shot from 26 ft,84,90
4,3:49.0,Defensive rebound by Team,,84,90
4,3:49.0,,Loose ball foul by B. Caboclo (drawn by B. Bogdanović),84,90
4,3:49.0,B. Bogdanović makes free throw 1 of 2,,85,90
4,3:49.0,B. Bogdanović makes free throw 2 of 2,,86,90
4,3:30.0,,M. Conley makes 3-pt jump shot from 26 ft,86,93
4,3:07.0,B. Bogdanović misses 2-pt layup from 7 ft,,86,93
