QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MIAMI_ACTION,GOLDEN STATE_SCORE,MIAMI_SCORE
1,1:39.0,,G. Dragić misses 2-pt layup from 2 ft,18,27
1,1:36.0,Defensive rebound by A. Iguodala,,18,27
1,1:35.0,Personal foul by D. Wade (drawn by K. Durant),,18,27
1,1:27.0,K. Durant makes 2-pt jump shot from 14 ft,,20,27
1,1:19.0,Violation by Team (kicked ball),,20,27
1,1:14.0,,Personal foul by A. McKinnie (drawn by G. Dragić),20,27
1,1:14.0,,G. Dragić makes free throw 1 of 2,20,28
1,1:14.0,,J. Winslow enters the game for D. Jones,20,28
1,1:14.0,,G. Dragić makes free throw 2 of 2,20,29
1,1:07.0,J. Bell makes 2-pt layup from 1 ft (assist by A. Iguodala),,22,29
1,1:07.0,Shooting foul by K. Olynyk (drawn by J. Bell),,22,29
1,1:07.0,J. Bell misses free throw 1 of 1,,22,29
1,1:05.0,,Defensive rebound by K. Olynyk,22,29
1,0:50.0,,G. Dragić makes 3-pt jump shot from 26 ft (assist by K. Olynyk),22,32
1,0:26.0,J. Jerebko misses 2-pt layup from 2 ft,,22,32
1,0:26.0,Offensive rebound by Team,,22,32
1,0:26.0,Turnover by Team (shot clock),,22,32
1,0:03.0,,J. Richardson misses 3-pt jump shot from 25 ft,22,32
1,0:02.0,Defensive rebound by J. Bell,,22,32
1,0:00.0,J. Bell misses 3-pt jump shot from 50 ft,,22,32
1,0:00.0,Offensive rebound by Team,,22,32
2,11:40.0,,D. Wade makes 2-pt jump shot from 17 ft,22,34
2,11:25.0,K. Thompson makes 2-pt jump shot from 18 ft (assist by S. Livingston),,24,34
2,11:03.0,,G. Dragić makes 3-pt jump shot from 26 ft,24,37
2,10:47.0,Q. Cook makes 2-pt jump shot from 17 ft (assist by D. Green),,26,37
2,10:39.0,,Turnover by D. Wade (bad pass; steal by S. Livingston),26,37
2,10:29.0,Turnover by D. Green (bad pass),,26,37
2,10:13.0,,K. Olynyk makes 2-pt layup from 2 ft (assist by D. Wade),26,39
2,10:02.0,Q. Cook misses 2-pt jump shot from 16 ft,,26,39
2,10:00.0,,Defensive rebound by K. Olynyk,26,39
2,9:47.0,,K. Olynyk makes 2-pt layup from 1 ft (assist by D. Wade),26,41
2,9:42.0,Golden State full timeout,,26,41
2,9:27.0,D. Green misses 3-pt jump shot from 25 ft,,26,41
2,9:25.0,Offensive rebound by Q. Cook,,26,41
2,9:24.0,Q. Cook makes 2-pt layup from 1 ft,,28,41
2,9:03.0,,D. Wade misses 3-pt jump shot from 26 ft,28,41
2,8:59.0,Defensive rebound by Q. Cook,,28,41
2,8:53.0,Q. Cook makes 2-pt layup from 1 ft,,30,41
2,8:30.0,,J. Richardson misses 2-pt jump shot from 16 ft,30,41
2,8:27.0,Defensive rebound by D. Green,,30,41
2,8:18.0,K. Thompson makes 2-pt jump shot from 16 ft,,32,41
2,8:18.0,,Miami full timeout,32,41
2,8:18.0,,B. Adebayo enters the game for K. Olynyk,32,41
2,8:18.0,,D. Jones enters the game for D. Wade,32,41
2,8:09.0,Violation by Team (kicked ball),,32,41
2,8:00.0,,R. McGruder makes 2-pt jump shot from 4 ft,32,43
2,8:00.0,Violation by Team (def goaltending),,32,43
2,7:46.0,K. Thompson makes 2-pt layup from 2 ft,,34,43
2,7:22.0,,G. Dragić makes 2-pt jump shot from 17 ft,34,45
2,7:12.0,K. Thompson misses 3-pt jump shot from 24 ft,,34,45
2,7:09.0,,Defensive rebound by B. Adebayo,34,45
2,7:03.0,,G. Dragić makes 3-pt jump shot from 26 ft,34,48
2,6:50.0,K. Thompson makes 2-pt jump shot from 19 ft (assist by Q. Cook),,36,48
2,6:37.0,,G. Dragić makes 3-pt jump shot from 26 ft (assist by J. Richardson),36,51
2,6:32.0,Shooting foul by D. Jones (drawn by S. Livingston),,36,51
2,6:32.0,S. Curry enters the game for Q. Cook,,36,51
2,6:32.0,K. Durant enters the game for A. Iguodala,,36,51
2,6:32.0,,D. Waiters enters the game for D. Jones,36,51
2,6:32.0,,J. Winslow enters the game for J. Richardson,36,51
2,6:32.0,S. Livingston makes free throw 1 of 2,,37,51
2,6:32.0,S. Livingston makes free throw 2 of 2,,38,51
2,6:13.0,,Shooting foul by D. Green (drawn by G. Dragić),38,51
2,6:13.0,,G. Dragić makes free throw 1 of 3,38,52
2,6:13.0,,G. Dragić makes free throw 2 of 3,38,53
2,6:13.0,D. Lee enters the game for D. Green,,38,53
2,6:13.0,K. Looney enters the game for K. Thompson,,38,53
2,6:13.0,,G. Dragić makes free throw 3 of 3,38,54
2,5:56.0,K. Durant misses 2-pt jump shot from 14 ft,,38,54
2,5:54.0,,Defensive rebound by J. Winslow,38,54
2,5:49.0,,G. Dragić misses 3-pt jump shot from 27 ft,38,54
2,5:45.0,,Offensive rebound by R. McGruder,38,54
2,5:36.0,,Shooting foul by D. Lee (drawn by D. Waiters),38,54
2,5:36.0,,D. Waiters makes free throw 1 of 2,38,55
2,5:36.0,,D. Waiters misses free throw 2 of 2,38,55
2,5:34.0,Defensive rebound by K. Durant,,38,55
2,5:25.0,K. Durant makes 2-pt jump shot from 7 ft,,40,55
2,5:10.0,,R. McGruder makes 2-pt layup from 1 ft,40,57
2,5:01.0,S. Curry misses 3-pt jump shot from 25 ft,,40,57
2,4:56.0,,Defensive rebound by G. Dragić,40,57
2,4:56.0,,Shooting foul by D. Lee (drawn by G. Dragić),40,57
2,4:56.0,,G. Dragić makes free throw 1 of 2,40,58
2,4:56.0,,G. Dragić makes free throw 2 of 2,40,59
2,4:44.0,S. Livingston misses 2-pt jump shot from 13 ft,,40,59
2,4:40.0,,Defensive rebound by B. Adebayo,40,59
2,4:34.0,,J. Winslow makes 2-pt layup at rim,40,61
2,4:23.0,Turnover by K. Looney (bad pass; steal by J. Winslow),,40,61
2,4:20.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Winslow),40,63
2,4:20.0,,Shooting foul by K. Durant (drawn by B. Adebayo),40,63
2,4:20.0,A. Iguodala enters the game for D. Lee,,40,63
2,4:20.0,K. Thompson enters the game for S. Livingston,,40,63
2,4:20.0,,B. Adebayo makes free throw 1 of 1,40,64
2,4:13.0,Personal foul by D. Waiters (drawn by K. Thompson),,40,64
2,4:08.0,K. Durant misses 3-pt jump shot from 24 ft,,40,64
2,4:05.0,,Defensive rebound by G. Dragić,40,64
2,4:02.0,,G. Dragić misses 3-pt jump shot from 26 ft,40,64
2,4:00.0,,Offensive rebound by R. McGruder,40,64
2,3:58.0,,J. Winslow misses 3-pt jump shot from 26 ft,40,64
2,3:58.0,Defensive rebound by K. Looney,,40,64
2,3:51.0,Personal foul by G. Dragić (drawn by S. Curry),,40,64
2,3:41.0,K. Thompson makes 3-pt jump shot from 26 ft,,43,64
2,3:21.0,,J. Winslow makes 3-pt jump shot from 24 ft (assist by G. Dragić),43,67
2,3:07.0,K. Thompson makes 2-pt jump shot from 16 ft (assist by K. Durant),,45,67
2,2:59.0,,Personal foul by K. Looney (drawn by G. Dragić),45,67
2,2:59.0,,G. Dragić makes free throw 1 of 2,45,68
2,2:59.0,J. Bell enters the game for K. Looney,,45,68
2,2:59.0,,J. Richardson enters the game for R. McGruder,45,68
2,2:59.0,,G. Dragić makes free throw 2 of 2,45,69
2,2:45.0,J. Bell misses 2-pt layup from 4 ft (block by B. Adebayo),,45,69
2,2:42.0,Offensive rebound by A. Iguodala,,45,69
2,2:41.0,K. Durant misses 3-pt jump shot from 24 ft,,45,69
2,2:39.0,,Defensive rebound by J. Richardson,45,69
2,2:34.0,,Turnover by G. Dragić (bad pass; steal by J. Bell),45,69
2,2:26.0,K. Thompson makes 2-pt layup from 1 ft (assist by J. Bell),,47,69
2,2:08.0,,B. Adebayo misses 2-pt jump shot from 17 ft,47,69
2,2:02.0,Defensive rebound by S. Curry,,47,69
2,2:01.0,S. Curry misses 3-pt jump shot from 25 ft,,47,69
2,1:59.0,Offensive rebound by J. Bell,,47,69
2,1:59.0,J. Bell makes 2-pt dunk from 1 ft,,49,69
2,1:36.0,,G. Dragić makes 2-pt layup from 4 ft,49,71
2,1:25.0,A. Iguodala makes 2-pt dunk from 1 ft (assist by K. Thompson),,51,71
2,1:06.0,,Turnover by J. Winslow (bad pass; steal by K. Thompson),51,71
2,1:05.0,Personal foul by G. Dragić (drawn by S. Curry),,51,71
2,1:05.0,,R. McGruder enters the game for B. Adebayo,51,71
2,1:05.0,,K. Olynyk enters the game for G. Dragić,51,71
2,1:05.0,,D. Wade enters the game for D. Waiters,51,71
2,0:56.0,S. Curry makes 2-pt layup from 2 ft,,53,71
2,0:39.0,,D. Wade makes 3-pt jump shot from 23 ft,53,74
2,0:33.0,K. Durant makes 3-pt jump shot from 26 ft,,56,74
2,0:17.0,,Turnover by D. Wade (bad pass),56,74
2,0:06.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),,59,74
2,0:06.0,Away from play foul by J. Winslow (drawn by J. Bell),,59,74
2,0:06.0,J. Bell misses free throw 1 of 1,,59,74
2,0:03.0,,Defensive rebound by D. Wade,59,74
2,0:00.0,,J. Winslow misses 3-pt jump shot from 24 ft,59,74
2,0:00.0,,Offensive rebound by Team,59,74
3,11:44.0,,J. Richardson misses 2-pt jump shot from 15 ft (block by K. Durant),59,74
3,11:41.0,Defensive rebound by K. Looney,,59,74
3,11:28.0,K. Durant misses 3-pt jump shot from 25 ft,,59,74
3,11:26.0,,Defensive rebound by J. Winslow,59,74
3,11:16.0,,Shooting foul by K. Durant (drawn by B. Adebayo),59,74
3,11:16.0,,B. Adebayo misses free throw 1 of 2,59,74
3,11:16.0,,Offensive rebound by Team,59,74
3,11:16.0,,B. Adebayo makes free throw 2 of 2,59,75
3,11:04.0,Personal foul by J. Richardson (drawn by K. Durant),,59,75
3,10:52.0,K. Thompson misses 3-pt jump shot from 26 ft,,59,75
3,10:50.0,Offensive rebound by S. Curry,,59,75
3,10:48.0,S. Curry makes 2-pt jump shot from 13 ft,,61,75
3,10:31.0,,D. Waiters makes 3-pt jump shot from 25 ft,61,78
3,10:25.0,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Looney),,64,78
3,10:25.0,Shooting foul by J. Richardson (drawn by S. Curry),,64,78
3,10:25.0,S. Curry makes free throw 1 of 1,,65,78
3,10:09.0,,D. Waiters misses 3-pt jump shot from 23 ft,65,78
3,10:07.0,Defensive rebound by K. Durant,,65,78
3,10:03.0,K. Durant misses 3-pt jump shot from 25 ft,,65,78
3,9:59.0,,Defensive rebound by D. Waiters,65,78
3,9:52.0,,K. Olynyk misses 2-pt jump shot from 14 ft,65,78
3,9:49.0,Defensive rebound by K. Looney,,65,78
3,9:44.0,K. Durant makes 2-pt layup from 4 ft (assist by S. Curry),,67,78
3,9:44.0,Shooting foul by K. Olynyk (drawn by K. Durant),,67,78
3,9:44.0,K. Durant makes free throw 1 of 1,,68,78
3,9:26.0,,J. Richardson misses 2-pt jump shot from 20 ft,68,78
3,9:24.0,,Offensive rebound by K. Olynyk,68,78
3,9:20.0,,K. Olynyk makes 2-pt jump shot from 7 ft,68,80
3,9:10.0,S. Curry misses 3-pt jump shot from 28 ft,,68,80
3,9:08.0,,Defensive rebound by J. Winslow,68,80
3,9:02.0,,J. Winslow misses 2-pt layup from 1 ft,68,80
3,9:00.0,Defensive rebound by K. Looney,,68,80
3,8:56.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by K. Durant),,71,80
3,8:37.0,,J. Winslow makes 3-pt jump shot from 22 ft (assist by J. Richardson),71,83
3,8:31.0,K. Thompson misses 3-pt jump shot from 24 ft,,71,83
3,8:29.0,,Defensive rebound by Team,71,83
3,8:16.0,,J. Winslow misses 3-pt jump shot from 24 ft,71,83
3,8:16.0,Defensive rebound by S. Curry,,71,83
3,8:16.0,Personal foul by K. Olynyk (drawn by S. Curry),,71,83
3,8:02.0,S. Curry misses 3-pt jump shot from 30 ft,,71,83
3,7:59.0,,Defensive rebound by B. Adebayo,71,83
3,7:47.0,,Shooting foul by D. Green (drawn by J. Winslow),71,83
3,7:47.0,,J. Winslow makes free throw 1 of 2,71,84
3,7:47.0,J. Jerebko enters the game for D. Green,,71,84
3,7:47.0,,J. Winslow makes free throw 2 of 2,71,85
3,7:27.0,Shooting foul by D. Waiters (drawn by K. Durant),,71,85
3,7:27.0,K. Durant misses free throw 1 of 2,,71,85
3,7:27.0,Offensive rebound by Team,,71,85
3,7:27.0,K. Durant makes free throw 2 of 2,,72,85
3,7:06.0,,D. Waiters misses 2-pt jump shot from 17 ft,72,85
3,7:03.0,Defensive rebound by S. Curry,,72,85
3,6:55.0,Shooting foul by J. Richardson (drawn by S. Curry),,72,85
3,6:55.0,,Miami full timeout,72,85
3,6:55.0,S. Curry makes free throw 1 of 2,,73,85
3,6:55.0,S. Curry misses free throw 2 of 2,,73,85
3,6:53.0,,Defensive rebound by J. Winslow,73,85
3,6:33.0,,J. Richardson makes 3-pt jump shot from 24 ft,73,88
3,6:16.0,J. Jerebko misses 2-pt jump shot from 19 ft,,73,88
3,6:15.0,Offensive rebound by K. Looney,,73,88
3,6:11.0,K. Durant makes 3-pt jump shot from 26 ft (assist by K. Looney),,76,88
3,6:02.0,,Offensive foul by D. Waiters (drawn by K. Thompson),76,88
3,6:02.0,,Turnover by D. Waiters (offensive foul),76,88
3,6:02.0,J. Bell enters the game for K. Looney,,76,88
3,6:02.0,,D. Wade enters the game for D. Waiters,76,88
3,5:55.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by S. Curry),,79,88
3,5:32.0,,D. Wade misses 2-pt jump shot from 18 ft,79,88
3,5:25.0,Defensive rebound by K. Durant,,79,88
3,5:20.0,K. Thompson misses 3-pt jump shot from 24 ft,,79,88
3,5:20.0,,Defensive rebound by B. Adebayo,79,88
3,5:06.0,,J. Richardson makes 3-pt jump shot from 24 ft (assist by B. Adebayo),79,91
3,4:54.0,J. Jerebko makes 3-pt jump shot from 24 ft (assist by K. Durant),,82,91
3,4:30.0,,J. Winslow misses 3-pt jump shot from 25 ft,82,91
3,4:28.0,Defensive rebound by S. Curry,,82,91
3,4:24.0,S. Curry misses 3-pt jump shot from 29 ft,,82,91
3,4:21.0,,Defensive rebound by B. Adebayo,82,91
3,4:11.0,,K. Olynyk misses 3-pt jump shot from 27 ft,82,91
3,4:08.0,,Offensive rebound by J. Richardson,82,91
3,3:57.0,,J. Richardson makes 2-pt jump shot from 18 ft (assist by B. Adebayo),82,93
3,3:57.0,Golden State full timeout,,82,93
3,3:57.0,A. Iguodala enters the game for K. Thompson,,82,93
3,3:57.0,,G. Dragić enters the game for K. Olynyk,82,93
3,3:57.0,,D. Jones enters the game for J. Winslow,82,93
3,3:46.0,K. Durant misses 3-pt jump shot from 27 ft,,82,93
3,3:42.0,,Defensive rebound by G. Dragić,82,93
3,3:32.0,,D. Wade misses 2-pt layup from 3 ft (block by K. Durant),82,93
3,3:29.0,,Offensive rebound by D. Jones,82,93
3,3:27.0,,D. Jones misses 2-pt layup from 2 ft,82,93
3,3:26.0,Defensive rebound by J. Jerebko,,82,93
3,3:17.0,S. Curry makes 3-pt jump shot from 26 ft,,85,93
3,2:56.0,,Turnover by D. Jones (offensive foul),85,93
3,2:56.0,,Offensive foul by D. Jones (drawn by J. Bell),85,93
3,2:40.0,S. Curry misses 2-pt layup from 2 ft (block by D. Wade),,85,93
3,2:37.0,,Defensive rebound by B. Adebayo,85,93
3,2:30.0,,J. Richardson misses 2-pt layup from 2 ft,85,93
3,2:28.0,Defensive rebound by J. Bell,,85,93
3,2:25.0,Shooting foul by J. Richardson (drawn by J. Bell),,85,93
3,2:25.0,Q. Cook enters the game for S. Curry,,85,93
3,2:25.0,J. Bell misses free throw 1 of 2,,85,93
3,2:25.0,Offensive rebound by Team,,85,93
3,2:25.0,,R. McGruder enters the game for B. Adebayo,85,93
3,2:25.0,,K. Olynyk enters the game for J. Richardson,85,93
3,2:25.0,J. Bell makes free throw 2 of 2,,86,93
3,2:10.0,,D. Wade makes 3-pt jump shot from 23 ft,86,96
3,2:00.0,K. Durant misses 3-pt jump shot from 25 ft,,86,96
3,2:00.0,Offensive rebound by J. Bell,,86,96
3,2:00.0,Shooting foul by K. Olynyk (drawn by J. Bell),,86,96
3,2:00.0,J. Bell makes free throw 1 of 2,,87,96
3,2:00.0,,U. Haslem enters the game for K. Olynyk,87,96
3,2:00.0,J. Bell makes free throw 2 of 2,,88,96
3,1:44.0,,D. Wade misses 2-pt jump shot from 16 ft,88,96
3,1:42.0,Defensive rebound by J. Jerebko,,88,96
3,1:40.0,Shooting foul by G. Dragić (drawn by J. Jerebko),,88,96
3,1:40.0,J. Jerebko misses free throw 1 of 2,,88,96
3,1:40.0,Offensive rebound by Team,,88,96
3,1:40.0,J. Jerebko makes free throw 2 of 2,,89,96
3,1:15.0,,G. Dragić misses 3-pt jump shot from 23 ft,89,96
3,1:14.0,,Offensive rebound by D. Jones,89,96
3,1:13.0,,D. Jones makes 2-pt layup at rim,89,98
3,1:13.0,,Violation by Team (delay of game),89,98
3,0:54.0,J. Jerebko misses 2-pt layup from 1 ft (block by D. Wade),,89,98
3,0:52.0,,Defensive rebound by U. Haslem,89,98
3,0:50.0,,Shooting foul by K. Durant (drawn by R. McGruder),89,98
3,0:50.0,,R. McGruder makes free throw 1 of 2,89,99
3,0:50.0,,R. McGruder makes free throw 2 of 2,89,100
3,0:38.0,Q. Cook makes 2-pt jump shot from 15 ft (assist by J. Bell),,91,100
3,0:22.0,,D. Wade misses 3-pt jump shot from 26 ft,91,100
3,0:18.0,Defensive rebound by A. Iguodala,,91,100
3,0:02.0,Shooting foul by G. Dragić (drawn by J. Bell),,91,100
3,0:02.0,J. Bell makes free throw 1 of 2,,92,100
3,0:02.0,S. Livingston enters the game for Q. Cook,,92,100
3,0:02.0,A. McKinnie enters the game for K. Durant,,92,100
3,0:02.0,J. Bell misses free throw 2 of 2,,92,100
3,0:00.0,,Defensive rebound by D. Wade,92,100
4,11:35.0,S. Livingston misses 2-pt jump shot from 4 ft (block by D. Jones),,92,100
4,11:35.0,Offensive rebound by Team,,92,100
4,11:28.0,Turnover by Team (shot clock),,92,100
4,11:19.0,,Turnover by D. Wade (bad pass; steal by D. Green),92,100
4,11:17.0,Turnover by A. Iguodala (offensive foul),,92,100
4,11:17.0,Offensive foul by A. Iguodala (drawn by G. Dragić),,92,100
4,10:53.0,,G. Dragić makes 2-pt hook shot from 4 ft,92,102
4,10:32.0,A. Iguodala makes 3-pt jump shot from 26 ft (assist by D. Green),,95,102
4,10:14.0,,Turnover by G. Dragić (bad pass; steal by K. Thompson),95,102
4,10:14.0,Personal foul by G. Dragić (drawn by K. Thompson),,95,102
4,10:14.0,,J. Richardson enters the game for G. Dragić,95,102
4,10:01.0,Q. Cook misses 3-pt jump shot from 26 ft,,95,102
4,9:58.0,,Defensive rebound by U. Haslem,95,102
4,9:50.0,,D. Wade misses 2-pt jump shot from 17 ft,95,102
4,9:47.0,Defensive rebound by K. Thompson,,95,102
4,9:44.0,D. Green misses 2-pt layup from 1 ft,,95,102
4,9:42.0,,Defensive rebound by J. Richardson,95,102
4,9:36.0,,U. Haslem misses 3-pt jump shot from 23 ft,95,102
4,9:36.0,,Offensive rebound by R. McGruder,95,102
4,9:29.0,,R. McGruder makes 2-pt layup from 1 ft,95,104
4,9:18.0,K. Thompson makes 2-pt jump shot from 14 ft,,97,104
4,9:02.0,,R. McGruder misses 3-pt jump shot from 23 ft,97,104
4,9:00.0,Defensive rebound by D. Green,,97,104
4,8:57.0,K. Thompson misses 3-pt jump shot from 29 ft,,97,104
4,8:55.0,,Defensive rebound by D. Wade,97,104
4,8:36.0,,D. Wade makes 2-pt layup from 1 ft,97,106
4,8:25.0,Golden State full timeout,,97,106
4,8:25.0,S. Curry enters the game for Q. Cook,,97,106
4,8:25.0,K. Durant enters the game for A. Iguodala,,97,106
4,8:25.0,,B. Adebayo enters the game for U. Haslem,97,106
4,8:12.0,D. Green makes 3-pt jump shot from 23 ft (assist by S. Livingston),,100,106
4,8:11.0,,D. Jones misses 2-pt jump shot from 3 ft,100,106
4,7:52.0,,Offensive rebound by D. Jones,100,106
4,7:50.0,,D. Jones misses 2-pt jump shot from 3 ft,100,106
4,7:50.0,,Offensive rebound by R. McGruder,100,106
4,7:46.0,,Turnover by Team (shot clock),100,106
4,7:37.0,S. Curry makes 3-pt jump shot from 25 ft,,103,106
4,7:14.0,,J. Richardson makes 3-pt jump shot from 25 ft,103,109
4,6:55.0,S. Curry misses 3-pt jump shot from 24 ft,,103,109
4,6:53.0,,Defensive rebound by B. Adebayo,103,109
4,6:47.0,,Turnover by D. Wade (bad pass; steal by K. Thompson),103,109
4,6:44.0,K. Thompson misses 2-pt layup from 7 ft (block by D. Jones),,103,109
4,6:44.0,Offensive rebound by Team,,103,109
4,6:44.0,,D. Waiters enters the game for R. McGruder,103,109
4,6:44.0,,J. Winslow enters the game for D. Wade,103,109
4,6:40.0,K. Durant makes 2-pt jump shot from 13 ft (assist by S. Curry),,105,109
4,6:39.0,,Miami full timeout,105,109
4,6:18.0,,J. Richardson misses 3-pt jump shot from 24 ft,105,109
4,6:15.0,Defensive rebound by K. Thompson,,105,109
4,5:59.0,K. Durant makes 2-pt jump shot from 16 ft,,107,109
